SA3_NAME16	Year	Age	NonSchoolQualification	adults
Queanbeyan	2011	55-64	Certificate III and IV Level	998
Queanbeyan	2011	55-64	Advanced Diploma and Diploma	588
Queanbeyan	2011	55-64	Bachelor	790
Queanbeyan	2011	55-64	Graduate Diploma and Graduate Certificate	230
Queanbeyan	2011	55-64	Postgraduate	424
Queanbeyan	2011	65-74		500
Queanbeyan	2011	65-74	Certificate nfd	55
Queanbeyan	2011	65-74	Certificate I and II Level	20
Queanbeyan	2011	65-74	Certificate III and IV Level	417
Queanbeyan	2011	65-74	Advanced Diploma and Diploma	240
Queanbeyan	2011	65-74	Bachelor	339
Queanbeyan	2011	65-74	Graduate Diploma and Graduate Certificate	67
Queanbeyan	2011	65-74	Postgraduate	159
Queanbeyan	2011	75-84		309
Queanbeyan	2011	75-84	Certificate nfd	13
Queanbeyan	2011	75-84	Certificate I and II Level	3
Queanbeyan	2011	75-84	Certificate III and IV Level	145
Queanbeyan	2011	75-84	Advanced Diploma and Diploma	68
Queanbeyan	2011	75-84	Bachelor	91
Queanbeyan	2011	75-84	Graduate Diploma and Graduate Certificate	9
Queanbeyan	2011	75-84	Postgraduate	33
Queanbeyan	2011	85+		142
Queanbeyan	2011	85+	Certificate nfd	10
Queanbeyan	2011	85+	Certificate I and II Level	4
Queanbeyan	2011	85+	Certificate III and IV Level	44
Queanbeyan	2011	85+	Advanced Diploma and Diploma	15
Queanbeyan	2011	85+	Bachelor	21
Queanbeyan	2011	85+	Graduate Diploma and Graduate Certificate	0
Queanbeyan	2011	85+	Postgraduate	0
Queanbeyan	2016	15-19		334
Queanbeyan	2016	15-19	Certificate nfd	13
Queanbeyan	2016	15-19	Certificate I and II Level	55
Queanbeyan	2016	15-19	Certificate III and IV Level	105
Queanbeyan	2016	15-19	Advanced Diploma and Diploma	22
Queanbeyan	2016	15-19	Bachelor	0
Queanbeyan	2016	15-19	Graduate Diploma and Graduate Certificate	0
Queanbeyan	2016	15-19	Postgraduate	0
Queanbeyan	2016	20-24		286
Queanbeyan	2016	20-24	Certificate nfd	31
Queanbeyan	2016	20-24	Certificate I and II Level	94
Queanbeyan	2016	20-24	Certificate III and IV Level	663
Queanbeyan	2016	20-24	Advanced Diploma and Diploma	206
Queanbeyan	2016	20-24	Bachelor	335
Queanbeyan	2016	20-24	Graduate Diploma and Graduate Certificate	16
Queanbeyan	2016	20-24	Postgraduate	8
Queanbeyan	2016	25-34		735
Queanbeyan	2016	25-34	Certificate nfd	86
Queanbeyan	2016	25-34	Certificate I and II Level	110
Queanbeyan	2016	25-34	Certificate III and IV Level	1684
Queanbeyan	2016	25-34	Advanced Diploma and Diploma	836
Queanbeyan	2016	25-34	Bachelor	1603
Queanbeyan	2016	25-34	Graduate Diploma and Graduate Certificate	204
Queanbeyan	2016	25-34	Postgraduate	461
Queanbeyan	2016	35-44		719
Queanbeyan	2016	35-44	Certificate nfd	143
Queanbeyan	2016	35-44	Certificate I and II Level	81
Queanbeyan	2016	35-44	Certificate III and IV Level	1580
Queanbeyan	2016	35-44	Advanced Diploma and Diploma	1023
Queanbeyan	2016	35-44	Bachelor	1590
Queanbeyan	2016	35-44	Graduate Diploma and Graduate Certificate	297
Queanbeyan	2016	35-44	Postgraduate	697
Queanbeyan	2016	45-54		846
Queanbeyan	2016	45-54	Certificate nfd	223
Queanbeyan	2016	45-54	Certificate I and II Level	86
Queanbeyan	2016	45-54	Certificate III and IV Level	1646
Queanbeyan	2016	45-54	Advanced Diploma and Diploma	1192
Queanbeyan	2016	45-54	Bachelor	1344
Queanbeyan	2016	45-54	Graduate Diploma and Graduate Certificate	362
Queanbeyan	2016	45-54	Postgraduate	798
Queanbeyan	2016	55-64		737
Queanbeyan	2016	55-64	Certificate nfd	192
Queanbeyan	2016	55-64	Certificate I and II Level	77
Queanbeyan	2016	55-64	Certificate III and IV Level	1246
Queanbeyan	2016	55-64	Advanced Diploma and Diploma	791
Queanbeyan	2016	55-64	Bachelor	935
Queanbeyan	2016	55-64	Graduate Diploma and Graduate Certificate	269
Queanbeyan	2016	55-64	Postgraduate	489
Queanbeyan	2016	65-74		619
Queanbeyan	2016	65-74	Certificate nfd	141
Queanbeyan	2016	65-74	Certificate I and II Level	46
Queanbeyan	2016	65-74	Certificate III and IV Level	571
Queanbeyan	2016	65-74	Advanced Diploma and Diploma	364
Queanbeyan	2016	65-74	Bachelor	485
Queanbeyan	2016	65-74	Graduate Diploma and Graduate Certificate	145
Queanbeyan	2016	65-74	Postgraduate	245
Queanbeyan	2016	75-84		341
Queanbeyan	2016	75-84	Certificate nfd	52
Queanbeyan	2016	75-84	Certificate I and II Level	3
Queanbeyan	2016	75-84	Certificate III and IV Level	210
Queanbeyan	2016	75-84	Advanced Diploma and Diploma	123
Queanbeyan	2016	75-84	Bachelor	154
Queanbeyan	2016	75-84	Graduate Diploma and Graduate Certificate	21
Queanbeyan	2016	75-84	Postgraduate	54
Queanbeyan	2016	85+		139
Queanbeyan	2016	85+	Certificate nfd	14
Queanbeyan	2016	85+	Certificate I and II Level	5
Queanbeyan	2016	85+	Certificate III and IV Level	60
Queanbeyan	2016	85+	Advanced Diploma and Diploma	25
Queanbeyan	2016	85+	Bachelor	36
Queanbeyan	2016	85+	Graduate Diploma and Graduate Certificate	0
Queanbeyan	2016	85+	Postgraduate	6
Snowy Mountains	2006	15-19		188
Snowy Mountains	2006	15-19	Certificate nfd	3
Snowy Mountains	2006	15-19	Certificate I and II Level	21
Snowy Mountains	2006	15-19	Certificate III and IV Level	37
Snowy Mountains	2006	15-19	Advanced Diploma and Diploma	3
Snowy Mountains	2006	15-19	Bachelor	0
Snowy Mountains	2006	15-19	Graduate Diploma and Graduate Certificate	0
Snowy Mountains	2006	15-19	Postgraduate	0
Snowy Mountains	2006	20-24		172
Snowy Mountains	2006	20-24	Certificate nfd	9
Snowy Mountains	2006	20-24	Certificate I and II Level	39
Snowy Mountains	2006	20-24	Certificate III and IV Level	189
Snowy Mountains	2006	20-24	Advanced Diploma and Diploma	32
Snowy Mountains	2006	20-24	Bachelor	51
Snowy Mountains	2006	20-24	Graduate Diploma and Graduate Certificate	0
Snowy Mountains	2006	20-24	Postgraduate	0
Snowy Mountains	2006	25-34		406
Snowy Mountains	2006	25-34	Certificate nfd	50
Snowy Mountains	2006	25-34	Certificate I and II Level	45
Snowy Mountains	2006	25-34	Certificate III and IV Level	425
Snowy Mountains	2006	25-34	Advanced Diploma and Diploma	134
Snowy Mountains	2006	25-34	Bachelor	275
Snowy Mountains	2006	25-34	Graduate Diploma and Graduate Certificate	25
Snowy Mountains	2006	25-34	Postgraduate	18
Snowy Mountains	2006	35-44		474
Snowy Mountains	2006	35-44	Certificate nfd	54
Snowy Mountains	2006	35-44	Certificate I and II Level	63
Snowy Mountains	2006	35-44	Certificate III and IV Level	618
Snowy Mountains	2006	35-44	Advanced Diploma and Diploma	237
Snowy Mountains	2006	35-44	Bachelor	302
Snowy Mountains	2006	35-44	Graduate Diploma and Graduate Certificate	38
Snowy Mountains	2006	35-44	Postgraduate	45
Snowy Mountains	2006	45-54		516
Snowy Mountains	2006	45-54	Certificate nfd	51
Snowy Mountains	2006	45-54	Certificate I and II Level	31
Snowy Mountains	2006	45-54	Certificate III and IV Level	575
Snowy Mountains	2006	45-54	Advanced Diploma and Diploma	219
Snowy Mountains	2006	45-54	Bachelor	305
Snowy Mountains	2006	45-54	Graduate Diploma and Graduate Certificate	59
Snowy Mountains	2006	45-54	Postgraduate	56
Snowy Mountains	2006	55-64		381
Snowy Mountains	2006	55-64	Certificate nfd	44
Snowy Mountains	2006	55-64	Certificate I and II Level	20
Snowy Mountains	2006	55-64	Certificate III and IV Level	424
Snowy Mountains	2006	55-64	Advanced Diploma and Diploma	189
Snowy Mountains	2006	55-64	Bachelor	188
Snowy Mountains	2006	55-64	Graduate Diploma and Graduate Certificate	33
Snowy Mountains	2006	55-64	Postgraduate	59
Snowy Mountains	2006	65-74		284
Snowy Mountains	2006	65-74	Certificate nfd	23
Snowy Mountains	2006	65-74	Certificate I and II Level	3
Snowy Mountains	2006	65-74	Certificate III and IV Level	241
Snowy Mountains	2006	65-74	Advanced Diploma and Diploma	92
Snowy Mountains	2006	65-74	Bachelor	92
Snowy Mountains	2006	65-74	Graduate Diploma and Graduate Certificate	11
Snowy Mountains	2006	65-74	Postgraduate	13
Snowy Mountains	2006	75-84		210
Snowy Mountains	2006	75-84	Certificate nfd	15
Snowy Mountains	2006	75-84	Certificate I and II Level	0
Snowy Mountains	2006	75-84	Certificate III and IV Level	99
Snowy Mountains	2006	75-84	Advanced Diploma and Diploma	36
Snowy Mountains	2006	75-84	Bachelor	53
Snowy Mountains	2006	75-84	Graduate Diploma and Graduate Certificate	3
Snowy Mountains	2006	75-84	Postgraduate	3
Snowy Mountains	2006	85+		86
Snowy Mountains	2006	85+	Certificate nfd	3
Snowy Mountains	2006	85+	Certificate I and II Level	0
Snowy Mountains	2006	85+	Certificate III and IV Level	21
Snowy Mountains	2006	85+	Advanced Diploma and Diploma	7
Snowy Mountains	2006	85+	Bachelor	3
Snowy Mountains	2006	85+	Graduate Diploma and Graduate Certificate	0
Snowy Mountains	2006	85+	Postgraduate	0
Snowy Mountains	2011	15-19		167
Snowy Mountains	2011	15-19	Certificate nfd	7
Snowy Mountains	2011	15-19	Certificate I and II Level	17
Snowy Mountains	2011	15-19	Certificate III and IV Level	45
Snowy Mountains	2011	15-19	Advanced Diploma and Diploma	5
Snowy Mountains	2011	15-19	Bachelor	0
Snowy Mountains	2011	15-19	Graduate Diploma and Graduate Certificate	0
Snowy Mountains	2011	15-19	Postgraduate	0
Snowy Mountains	2011	20-24		144
Snowy Mountains	2011	20-24	Certificate nfd	16
Snowy Mountains	2011	20-24	Certificate I and II Level	40
Snowy Mountains	2011	20-24	Certificate III and IV Level	234
Snowy Mountains	2011	20-24	Advanced Diploma and Diploma	32
Snowy Mountains	2011	20-24	Bachelor	49
Snowy Mountains	2011	20-24	Graduate Diploma and Graduate Certificate	0
Snowy Mountains	2011	20-24	Postgraduate	4
Snowy Mountains	2011	25-34		241
Snowy Mountains	2011	25-34	Certificate nfd	37
Snowy Mountains	2011	25-34	Certificate I and II Level	38
Snowy Mountains	2011	25-34	Certificate III and IV Level	511
Snowy Mountains	2011	25-34	Advanced Diploma and Diploma	135
Snowy Mountains	2011	25-34	Bachelor	241
Snowy Mountains	2011	25-34	Graduate Diploma and Graduate Certificate	20
Snowy Mountains	2011	25-34	Postgraduate	32
Snowy Mountains	2011	35-44		355
Snowy Mountains	2011	35-44	Certificate nfd	53
Snowy Mountains	2011	35-44	Certificate I and II Level	57
Snowy Mountains	2011	35-44	Certificate III and IV Level	648
Snowy Mountains	2011	35-44	Advanced Diploma and Diploma	247
Snowy Mountains	2011	35-44	Bachelor	338
Snowy Mountains	2011	35-44	Graduate Diploma and Graduate Certificate	41
Snowy Mountains	2011	35-44	Postgraduate	60
Snowy Mountains	2011	45-54		383
Snowy Mountains	2011	45-54	Certificate nfd	70
Snowy Mountains	2011	45-54	Certificate I and II Level	47
Snowy Mountains	2011	45-54	Certificate III and IV Level	711
Snowy Mountains	2011	45-54	Advanced Diploma and Diploma	253
Snowy Mountains	2011	45-54	Bachelor	357
Snowy Mountains	2011	45-54	Graduate Diploma and Graduate Certificate	69
Snowy Mountains	2011	45-54	Postgraduate	74
Snowy Mountains	2011	55-64		341
Snowy Mountains	2011	55-64	Certificate nfd	59
Snowy Mountains	2011	55-64	Certificate I and II Level	33
Snowy Mountains	2011	55-64	Certificate III and IV Level	485
Snowy Mountains	2011	55-64	Advanced Diploma and Diploma	217
Snowy Mountains	2011	55-64	Bachelor	268
Snowy Mountains	2011	55-64	Graduate Diploma and Graduate Certificate	61
Snowy Mountains	2011	55-64	Postgraduate	84
Snowy Mountains	2011	65-74		258
Snowy Mountains	2011	65-74	Certificate nfd	29
Snowy Mountains	2011	65-74	Certificate I and II Level	10
Snowy Mountains	2011	65-74	Certificate III and IV Level	278
Snowy Mountains	2011	65-74	Advanced Diploma and Diploma	120
Snowy Mountains	2011	65-74	Bachelor	115
Snowy Mountains	2011	65-74	Graduate Diploma and Graduate Certificate	18
Snowy Mountains	2011	65-74	Postgraduate	44
Snowy Mountains	2011	75-84		220
Snowy Mountains	2011	75-84	Certificate nfd	20
Snowy Mountains	2011	75-84	Certificate I and II Level	3
Snowy Mountains	2011	75-84	Certificate III and IV Level	117
Snowy Mountains	2011	75-84	Advanced Diploma and Diploma	52
Snowy Mountains	2011	75-84	Bachelor	43
Snowy Mountains	2011	75-84	Graduate Diploma and Graduate Certificate	7
Snowy Mountains	2011	75-84	Postgraduate	10
Snowy Mountains	2011	85+		103
Snowy Mountains	2011	85+	Certificate nfd	7
Snowy Mountains	2011	85+	Certificate I and II Level	3
Snowy Mountains	2011	85+	Certificate III and IV Level	23
Snowy Mountains	2011	85+	Advanced Diploma and Diploma	10
Snowy Mountains	2011	85+	Bachelor	13
Snowy Mountains	2011	85+	Graduate Diploma and Graduate Certificate	0
Snowy Mountains	2011	85+	Postgraduate	4
Snowy Mountains	2016	15-19		170
Snowy Mountains	2016	15-19	Certificate nfd	4
Snowy Mountains	2016	15-19	Certificate I and II Level	16
Snowy Mountains	2016	15-19	Certificate III and IV Level	49
Snowy Mountains	2016	15-19	Advanced Diploma and Diploma	3
Snowy Mountains	2016	15-19	Bachelor	0
Snowy Mountains	2016	15-19	Graduate Diploma and Graduate Certificate	0
Snowy Mountains	2016	15-19	Postgraduate	0
Snowy Mountains	2016	20-24		139
Snowy Mountains	2016	20-24	Certificate nfd	17
Snowy Mountains	2016	20-24	Certificate I and II Level	31
Snowy Mountains	2016	20-24	Certificate III and IV Level	221
Snowy Mountains	2016	20-24	Advanced Diploma and Diploma	45
Snowy Mountains	2016	20-24	Bachelor	69
Snowy Mountains	2016	20-24	Graduate Diploma and Graduate Certificate	6
Snowy Mountains	2016	20-24	Postgraduate	3
Snowy Mountains	2016	25-34		310
Snowy Mountains	2016	25-34	Certificate nfd	54
Snowy Mountains	2016	25-34	Certificate I and II Level	36
Snowy Mountains	2016	25-34	Certificate III and IV Level	607
Snowy Mountains	2016	25-34	Advanced Diploma and Diploma	188
Snowy Mountains	2016	25-34	Bachelor	313
Snowy Mountains	2016	25-34	Graduate Diploma and Graduate Certificate	19
Snowy Mountains	2016	25-34	Postgraduate	47
Snowy Mountains	2016	35-44		286
Snowy Mountains	2016	35-44	Certificate nfd	40
Snowy Mountains	2016	35-44	Certificate I and II Level	42
Snowy Mountains	2016	35-44	Certificate III and IV Level	632
Snowy Mountains	2016	35-44	Advanced Diploma and Diploma	254
Snowy Mountains	2016	35-44	Bachelor	371
Snowy Mountains	2016	35-44	Graduate Diploma and Graduate Certificate	44
Snowy Mountains	2016	35-44	Postgraduate	74
Snowy Mountains	2016	45-54		382
Snowy Mountains	2016	45-54	Certificate nfd	64
Snowy Mountains	2016	45-54	Certificate I and II Level	46
Snowy Mountains	2016	45-54	Certificate III and IV Level	718
Snowy Mountains	2016	45-54	Advanced Diploma and Diploma	340
Snowy Mountains	2016	45-54	Bachelor	359
Snowy Mountains	2016	45-54	Graduate Diploma and Graduate Certificate	41
Snowy Mountains	2016	45-54	Postgraduate	76
Snowy Mountains	2016	55-64		341
Snowy Mountains	2016	55-64	Certificate nfd	85
Snowy Mountains	2016	55-64	Certificate I and II Level	49
Snowy Mountains	2016	55-64	Certificate III and IV Level	595
Snowy Mountains	2016	55-64	Advanced Diploma and Diploma	259
Snowy Mountains	2016	55-64	Bachelor	327
Snowy Mountains	2016	55-64	Graduate Diploma and Graduate Certificate	69
Snowy Mountains	2016	55-64	Postgraduate	109
Snowy Mountains	2016	65-74		324
Snowy Mountains	2016	65-74	Certificate nfd	66
Snowy Mountains	2016	65-74	Certificate I and II Level	21
Snowy Mountains	2016	65-74	Certificate III and IV Level	385
Snowy Mountains	2016	65-74	Advanced Diploma and Diploma	178
Snowy Mountains	2016	65-74	Bachelor	189
Snowy Mountains	2016	65-74	Graduate Diploma and Graduate Certificate	43
Snowy Mountains	2016	65-74	Postgraduate	68
Snowy Mountains	2016	75-84		254
Snowy Mountains	2016	75-84	Certificate nfd	37
Snowy Mountains	2016	75-84	Certificate I and II Level	3
Snowy Mountains	2016	75-84	Certificate III and IV Level	167
Snowy Mountains	2016	75-84	Advanced Diploma and Diploma	66
Snowy Mountains	2016	75-84	Bachelor	64
Snowy Mountains	2016	75-84	Graduate Diploma and Graduate Certificate	8
Snowy Mountains	2016	75-84	Postgraduate	12
Snowy Mountains	2016	85+		128
Snowy Mountains	2016	85+	Certificate nfd	9
Snowy Mountains	2016	85+	Certificate I and II Level	0
Snowy Mountains	2016	85+	Certificate III and IV Level	39
Snowy Mountains	2016	85+	Advanced Diploma and Diploma	14
Snowy Mountains	2016	85+	Bachelor	22
Snowy Mountains	2016	85+	Graduate Diploma and Graduate Certificate	0
Snowy Mountains	2016	85+	Postgraduate	0
South Coast	2006	15-19		518
South Coast	2006	15-19	Certificate nfd	21
South Coast	2006	15-19	Certificate I and II Level	35
South Coast	2006	15-19	Certificate III and IV Level	119
South Coast	2006	15-19	Advanced Diploma and Diploma	3
South Coast	2006	15-19	Bachelor	8
South Coast	2006	15-19	Graduate Diploma and Graduate Certificate	0
South Coast	2006	15-19	Postgraduate	0
South Coast	2006	20-24		205
South Coast	2006	20-24	Certificate nfd	46
South Coast	2006	20-24	Certificate I and II Level	99
South Coast	2006	20-24	Certificate III and IV Level	532
South Coast	2006	20-24	Advanced Diploma and Diploma	53
South Coast	2006	20-24	Bachelor	67
South Coast	2006	20-24	Graduate Diploma and Graduate Certificate	5
South Coast	2006	20-24	Postgraduate	0
South Coast	2006	25-34		484
South Coast	2006	25-34	Certificate nfd	112
South Coast	2006	25-34	Certificate I and II Level	145
South Coast	2006	25-34	Certificate III and IV Level	1231
South Coast	2006	25-34	Advanced Diploma and Diploma	284
South Coast	2006	25-34	Bachelor	509
South Coast	2006	25-34	Graduate Diploma and Graduate Certificate	37
South Coast	2006	25-34	Postgraduate	31
South Coast	2006	35-44		773
South Coast	2006	35-44	Certificate nfd	196
South Coast	2006	35-44	Certificate I and II Level	153
South Coast	2006	35-44	Certificate III and IV Level	1952
South Coast	2006	35-44	Advanced Diploma and Diploma	526
South Coast	2006	35-44	Bachelor	749
South Coast	2006	35-44	Graduate Diploma and Graduate Certificate	119
South Coast	2006	35-44	Postgraduate	100
South Coast	2006	45-54		1107
South Coast	2006	45-54	Certificate nfd	258
South Coast	2006	45-54	Certificate I and II Level	133
South Coast	2006	45-54	Certificate III and IV Level	2275
South Coast	2006	45-54	Advanced Diploma and Diploma	914
South Coast	2006	45-54	Bachelor	1089
South Coast	2006	45-54	Graduate Diploma and Graduate Certificate	261
South Coast	2006	45-54	Postgraduate	145
South Coast	2006	55-64		1135
South Coast	2006	55-64	Certificate nfd	201
South Coast	2006	55-64	Certificate I and II Level	107
South Coast	2006	55-64	Certificate III and IV Level	1724
South Coast	2006	55-64	Advanced Diploma and Diploma	892
South Coast	2006	55-64	Bachelor	845
South Coast	2006	55-64	Graduate Diploma and Graduate Certificate	171
South Coast	2006	55-64	Postgraduate	192
South Coast	2006	65-74		1188
South Coast	2006	65-74	Certificate nfd	114
South Coast	2006	65-74	Certificate I and II Level	45
South Coast	2006	65-74	Certificate III and IV Level	1224
South Coast	2006	65-74	Advanced Diploma and Diploma	521
South Coast	2006	65-74	Bachelor	496
South Coast	2006	65-74	Graduate Diploma and Graduate Certificate	68
South Coast	2006	65-74	Postgraduate	94
South Coast	2006	75-84		1213
South Coast	2006	75-84	Certificate nfd	62
South Coast	2006	75-84	Certificate I and II Level	8
South Coast	2006	75-84	Certificate III and IV Level	559
South Coast	2006	75-84	Advanced Diploma and Diploma	231
South Coast	2006	75-84	Bachelor	238
South Coast	2006	75-84	Graduate Diploma and Graduate Certificate	18
South Coast	2006	75-84	Postgraduate	42
South Coast	2006	85+		394
South Coast	2006	85+	Certificate nfd	11
South Coast	2006	85+	Certificate I and II Level	7
South Coast	2006	85+	Certificate III and IV Level	109
South Coast	2006	85+	Advanced Diploma and Diploma	62
South Coast	2006	85+	Bachelor	52
South Coast	2006	85+	Graduate Diploma and Graduate Certificate	0
South Coast	2006	85+	Postgraduate	4
South Coast	2011	15-19		441
South Coast	2011	15-19	Certificate nfd	17
South Coast	2011	15-19	Certificate I and II Level	67
South Coast	2011	15-19	Certificate III and IV Level	136
South Coast	2011	15-19	Advanced Diploma and Diploma	10
South Coast	2011	15-19	Bachelor	0
South Coast	2011	15-19	Graduate Diploma and Graduate Certificate	0
South Coast	2011	15-19	Postgraduate	0
South Coast	2011	20-24		208
South Coast	2011	20-24	Certificate nfd	37
South Coast	2011	20-24	Certificate I and II Level	96
South Coast	2011	20-24	Certificate III and IV Level	539
South Coast	2011	20-24	Advanced Diploma and Diploma	68
South Coast	2011	20-24	Bachelor	70
South Coast	2011	20-24	Graduate Diploma and Graduate Certificate	3
South Coast	2011	20-24	Postgraduate	0
South Coast	2011	25-34		452
South Coast	2011	25-34	Certificate nfd	89
South Coast	2011	25-34	Certificate I and II Level	140
South Coast	2011	25-34	Certificate III and IV Level	1371
South Coast	2011	25-34	Advanced Diploma and Diploma	300
South Coast	2011	25-34	Bachelor	512
South Coast	2011	25-34	Graduate Diploma and Graduate Certificate	77
South Coast	2011	25-34	Postgraduate	41
South Coast	2011	35-44		679
South Coast	2011	35-44	Certificate nfd	148
South Coast	2011	35-44	Certificate I and II Level	157
South Coast	2011	35-44	Certificate III and IV Level	1915
South Coast	2011	35-44	Advanced Diploma and Diploma	612
South Coast	2011	35-44	Bachelor	863
South Coast	2011	35-44	Graduate Diploma and Graduate Certificate	136
