SA3_NAME16	Year	medianTotalHouseholdIncomeWeekly
Pittwater	2006	1451
Warringah	2006	1372
Camden	2006	1373
Campbelltown (NSW)	2006	1074
Wollondilly	2006	1190
Blue Mountains	2006	1103
Blue Mountains - South	2006	0
Penrith	2006	1181
Richmond - Windsor	2006	1088
St Marys	2006	1126
Auburn	2006	906
Carlingford	2006	1182
Merrylands - Guildford	2006	887
Parramatta	2006	1099
Pennant Hills - Epping	2006	1548
Ryde - Hunters Hill	2006	1210
Bringelly - Green Valley	2006	1112
Fairfield	2006	895
Liverpool	2006	1079
Cronulla - Miranda - Caringbah	2006	1243
Sutherland - Menai - Heathcote	2006	1467
Migratory - Offshore - Shipping (NSW)	2006	0
No usual address (NSW)	2006	0
Ballarat	2006	848
Creswick - Daylesford - Ballan	2006	778
Maryborough - Pyrenees	2006	610
Bendigo	2006	832
Heathcote - Castlemaine - Kyneton	2006	779
Loddon - Elmore	2006	663
Barwon - West	2006	1070
Geelong	2006	884
Surf Coast - Bellarine Peninsula	2006	951
Upper Goulburn Valley	2006	785
Wangaratta - Benalla	2006	798
Wodonga - Alpine	2006	930
Baw Baw	2006	897
Gippsland - East	2006	656
Gippsland - South West	2006	692
Latrobe Valley	2006	783
Wellington	2006	773
Brunswick - Coburg	2006	1039
Darebin - South	2006	1056
Essendon	2006	1106
Melbourne City	2006	1088
Port Phillip	2006	1227
Stonnington - West	2006	1277
Yarra	2006	1223
Boroondara	2006	1459
Manningham - West	2006	1183
Whitehorse - West	2006	1100
Bayside	2006	1395
Glen Eira	2006	1127
Kingston	2006	1055
Stonnington - East	2006	1391
Banyule	2006	1138
Darebin - North	2006	807
Nillumbik - Kinglake	2006	1452
Whittlesea - Wallan	2006	1057
Keilor	2006	1074
Macedon Ranges	2006	1225
Moreland - North	2006	786
Sunbury	2006	1176
Tullamarine - Broadmeadows	2006	981
Knox	2006	1161
Manningham - East	2006	1525
Maroondah	2006	1087
Whitehorse - East	2006	1133
Yarra Ranges	2006	1085
Cardinia	2006	1085
Casey - North	2006	1121
Casey - South	2006	1094
Dandenong	2006	815
Monash	2006	1121
Brimbank	2006	903
Hobsons Bay	2006	1043
Maribyrnong	2006	931
Melton - Bacchus Marsh	2006	1128
Wyndham	2006	1148
Frankston	2006	954
Mornington Peninsula	2006	913
Grampians	2006	727
Mildura	2006	781
Murray River - Swan Hill	2006	706
Campaspe	2006	790
Moira	2006	740
Shepparton	2006	885
Glenelg - Southern Grampians	2006	817
Colac - Corangamite	2006	798
Warrnambool	2006	882
Migratory - Offshore - Shipping (Vic.)	2006	0
No usual address (Vic.)	2006	0
Capalaba	2006	1177
Cleveland - Stradbroke	2006	1075
Wynnum - Manly	2006	1111
Bald Hills - Everton Park	2006	1246
Chermside	2006	1072
Nundah	2006	1036
Sandgate	2006	1027
Carindale	2006	1267
Holland Park - Yeronga	2006	1102
Mt Gravatt	2006	1150
Nathan	2006	1080
Rocklea - Acacia Ridge	2006	1200
Sunnybank	2006	1113
Centenary	2006	1470
Kenmore - Brookfield - Moggill	2006	1782
Sherwood - Indooroopilly	2006	1233
The Gap - Enoggera	2006	1234
Brisbane Inner	2006	1189
Brisbane Inner - East	2006	1291
Brisbane Inner - North	2006	1248
Brisbane Inner - West	2006	1362
Cairns - North	2006	1168
Cairns - South	2006	1019
Innisfail - Cassowary Coast	2006	830
Port Douglas - Daintree	2006	1061
Tablelands (East) - Kuranda	2006	720
Darling Downs (West) - Maranoa	2006	866
Darling Downs - East	2006	836
Granite Belt	2006	707
Central Highlands (Qld)	2006	1367
Rockhampton	2006	904
Biloela	2006	1130
Gladstone	2006	1161
Broadbeach - Burleigh	2006	988
Coolangatta	2006	880
Gold Coast - North	2006	856
Gold Coast Hinterland	2006	1021
Mudgeeraba - Tallebudgera	2006	1148
Nerang	2006	1091
Ormeau - Oxenford	2006	1185
Robina	2006	1073
Southport	2006	952
Surfers Paradise	2006	1053
Forest Lake - Oxley	2006	1004
Ipswich Hinterland	2006	837
Ipswich Inner	2006	1005
Springfield - Redbank	2006	1099
Beaudesert	2006	798
Beenleigh	2006	917
Browns Plains	2006	1088
Jimboomba	2006	1253
Loganlea - Carbrook	2006	1125
Springwood - Kingston	2006	966
Bowen Basin - North	2006	1252
Mackay	2006	1134
Whitsunday	2006	1088
Bribie - Beachmere	2006	637
Caboolture	2006	908
Caboolture Hinterland	2006	787
Narangba - Burpengary	2006	1074
Redcliffe	2006	773
The Hills District	2006	1445
North Lakes	2006	1151
Strathpine	2006	1080
Far North	2006	885
Outback - North	2006	1208
Outback - South	2006	779
Buderim	2006	1042
Caloundra	2006	841
Maroochy	2006	870
Noosa	2006	928
Sunshine Coast Hinterland	2006	896
Nambour	2006	862
Noosa Hinterland	2006	852
Toowoomba	2006	950
Charters Towers - Ayr - Ingham	2006	812
Townsville	2006	1109
Bundaberg	2006	701
Burnett	2006	659
Gympie - Cooloola	2006	675
Hervey Bay	2006	662
Maryborough	2006	655
Migratory - Offshore - Shipping (Qld)	2006	0
No usual address (Qld)	2006	0
Adelaide City	2006	1028
Adelaide Hills	2006	1126
Burnside	2006	1224
Campbelltown (SA)	2006	907
Norwood - Payneham - St Peters	2006	936
Prospect - Walkerville	2006	1105
Unley	2006	1138
Gawler - Two Wells	2006	962
Playford	2006	713
Port Adelaide - East	2006	761
Salisbury	2006	879
Tea Tree Gully	2006	1084
Holdfast Bay	2006	965
Marion	2006	867
Mitcham	2006	1124
Onkaparinga	2006	922
Charles Sturt	2006	810
Port Adelaide - West	2006	712
West Torrens	2006	813
Barossa	2006	977
Lower North	2006	701
Mid North	2006	627
Yorke Peninsula	2006	607
Eyre Peninsula and South West	2006	784
Outback - North and East	2006	939
Fleurieu - Kangaroo Island	2006	662
Limestone Coast	2006	874
Murray and Mallee	2006	699
Migratory - Offshore - Shipping (SA)	2006	0
No usual address (SA)	2006	0
Augusta - Margaret River - Busselton	2006	950
Bunbury	2006	1068
Manjimup	2006	802
Mandurah	2006	819
Cottesloe - Claremont	2006	1451
Perth City	2006	1145
Bayswater - Bassendean	2006	968
Mundaring	2006	1120
Swan	2006	1097
Joondalup	2006	1313
Stirling	2006	1000
Wanneroo	2006	1105
Armadale	2006	988
Belmont - Victoria Park	2006	933
Canning	2006	1042
Gosnells	2006	1056
Kalamunda	2006	1161
Serpentine - Jarrahdale	2006	1238
South Perth	2006	1140
Cockburn	2006	1102
Fremantle	2006	1024
Kwinana	2006	889
Melville	2006	1197
Rockingham	2006	1040
Albany	2006	821
Wheat Belt - North	2006	841
Wheat Belt - South	2006	865
Kimberley	2006	1036
East Pilbara	2006	1824
West Pilbara	2006	1917
Esperance	2006	948
Gascoyne	2006	839
Goldfields	2006	1370
Mid West	2006	909
Migratory - Offshore - Shipping (WA)	2006	0
No usual address (WA)	2006	0
Brighton	2006	822
Hobart - North East	2006	937
Hobart - North West	2006	723
Hobart - South and West	2006	1065
Hobart Inner	2006	1041
Sorell - Dodges Ferry	2006	808
Launceston	2006	788
Meander Valley - West Tamar	2006	761
North East	2006	689
Central Highlands (Tas.)	2006	723
Huon - Bruny Island	2006	710
South East Coast	2006	612
Burnie - Ulverstone	2006	707
Devonport	2006	730
West Coast	2006	826
Migratory - Offshore - Shipping (Tas.)	2006	0
No usual address (Tas.)	2006	0
Darwin City	2006	1364
Darwin Suburbs	2006	1232
Litchfield	2006	1230
Palmerston	2006	1265
Alice Springs	2006	1146
Barkly	2006	862
Daly - Tiwi - West Arnhem	2006	949
East Arnhem	2006	1469
Katherine	2006	1010
Migratory - Offshore - Shipping (NT)	2006	0
No usual address (NT)	2006	0
Belconnen	2006	1394
Canberra East	2006	720
Gungahlin	2006	1675
North Canberra	2006	1298
South Canberra	2006	1815
Tuggeranong	2006	1497
Weston Creek	2006	1459
Woden Valley	2006	1406
Molonglo	2006	0
Urriarra - Namadgi	2006	1271
Migratory - Offshore - Shipping (ACT)	2006	0
No usual address (ACT)	2006	0
Christmas Island	2006	1221
Cocos (Keeling) Islands	2006	1259
Jervis Bay	2006	1006
Norfolk Island	2006	0
Migratory - Offshore - Shipping (OT)	2006	0
No usual address (OT)	2006	0
Queanbeyan	2011	1643
Snowy Mountains	2011	1033
South Coast	2011	815
Goulburn - Mulwaree	2011	972
Young - Yass	2011	1067
Gosford	2011	1087
Wyong	2011	931
Bathurst	2011	1119
Lachlan Valley	2011	829
Lithgow - Mudgee	2011	907
Orange	2011	1170
Clarence Valley	2011	775
Coffs Harbour	2011	878
Bourke - Cobar - Coonamble	2011	875
Broken Hill and Far West	2011	804
Dubbo	2011	932
Lower Hunter	2011	1183
Maitland	2011	1316
Port Stephens	2011	979
Upper Hunter	2011	1242
Dapto - Port Kembla	2011	997
Illawarra Catchment Reserve	2011	0
Kiama - Shellharbour	2011	1149
Wollongong	2011	1161
Great Lakes	2011	739
Kempsey - Nambucca	2011	738
Lord Howe Island	2011	959
Port Macquarie	2011	838
Taree - Gloucester	2011	777
Albury	2011	1008
Lower Murray	2011	854
Upper Murray exc. Albury	2011	838
Armidale	2011	957
Inverell - Tenterfield	2011	751
Moree - Narrabri	2011	1013
Tamworth - Gunnedah	2011	938
Lake Macquarie - East	2011	1146
Lake Macquarie - West	2011	1058
Newcastle	2011	1154
Richmond Valley - Coastal	2011	893
Richmond Valley - Hinterland	2011	851
Tweed Valley	2011	842
Griffith - Murrumbidgee (West)	2011	973
Tumut - Tumbarumba	2011	929
Wagga Wagga	2011	1021
Shoalhaven	2011	823
Southern Highlands	2011	1093
Baulkham Hills	2011	2136
Dural - Wisemans Ferry	2011	1796
Hawkesbury	2011	1569
Rouse Hill - McGraths Hill	2011	2027
Blacktown	2011	1304
Blacktown - North	2011	1914
Mount Druitt	2011	1167
Botany	2011	1242
Marrickville - Sydenham - Petersham	2011	1547
Sydney Inner City	2011	1591
Eastern Suburbs - North	2011	2060
Eastern Suburbs - South	2011	1558
Bankstown	2011	1103
Canterbury	2011	1020
Hurstville	2011	1291
Kogarah - Rockdale	2011	1293
Canada Bay	2011	1770
Leichhardt	2011	2224
Strathfield - Burwood - Ashfield	2011	1415
Chatswood - Lane Cove	2011	2063
Hornsby	2011	1684
Ku-ring-gai	2011	2504
North Sydney - Mosman	2011	2258
Manly	2011	2210
Pittwater	2011	1793
Warringah	2011	1686
Camden	2011	1768
Campbelltown (NSW)	2011	1251
Wollondilly	2011	1437
Blue Mountains	2011	1264
Blue Mountains - South	2011	0
Penrith	2011	1419
Richmond - Windsor	2011	1245
St Marys	2011	1343
Auburn	2011	1157
Carlingford	2011	1434
Merrylands - Guildford	2011	1057
Parramatta	2011	1372
Pennant Hills - Epping	2011	1875
Ryde - Hunters Hill	2011	1502
Bringelly - Green Valley	2011	1329
Fairfield	2011	1044
Liverpool	2011	1276
Cronulla - Miranda - Caringbah	2011	1530
Sutherland - Menai - Heathcote	2011	1792
Migratory - Offshore - Shipping (NSW)	2011	0
No usual address (NSW)	2011	0
Ballarat	2011	997
Creswick - Daylesford - Ballan	2011	946
Maryborough - Pyrenees	2011	736
Bendigo	2011	993
Heathcote - Castlemaine - Kyneton	2011	959
Loddon - Elmore	2011	773
Barwon - West	2011	1255
Geelong	2011	1047
Surf Coast - Bellarine Peninsula	2011	1131
Upper Goulburn Valley	2011	925
Wangaratta - Benalla	2011	891
Wodonga - Alpine	2011	1009
Baw Baw	2011	1022
Gippsland - East	2011	798
Gippsland - South West	2011	902
Latrobe Valley	2011	941
Wellington	2011	907
Brunswick - Coburg	2011	1362
Darebin - South	2011	1425
Essendon	2011	1446
Melbourne City	2011	1355
Port Phillip	2011	1615
Stonnington - West	2011	1635
Yarra	2011	1627
Boroondara	2011	1851
Manningham - West	2011	1384
Whitehorse - West	2011	1291
Bayside	2011	1778
Glen Eira	2011	1437
Kingston	2011	1315
Stonnington - East	2011	1712
Banyule	2011	1392
Darebin - North	2011	1051
Nillumbik - Kinglake	2011	1821
Whittlesea - Wallan	2011	1285
Keilor	2011	1292
Macedon Ranges	2011	1537
Moreland - North	2011	1042
Sunbury	2011	1415
Tullamarine - Broadmeadows	2011	1156
Knox	2011	1397
Manningham - East	2011	1864
Maroondah	2011	1304
Whitehorse - East	2011	1349
Yarra Ranges	2011	1278
Cardinia	2011	1301
Casey - North	2011	1343
Casey - South	2011	1337
Dandenong	2011	991
Monash	2011	1316
Brimbank	2011	1093
Hobsons Bay	2011	1307
Maribyrnong	2011	1251
Melton - Bacchus Marsh	2011	1346
Wyndham	2011	1407
Frankston	2011	1138
Mornington Peninsula	2011	1053
Grampians	2011	856
Mildura	2011	879
Murray River - Swan Hill	2011	818
Campaspe	2011	885
Moira	2011	825
Shepparton	2011	977
Glenelg - Southern Grampians	2011	906
Colac - Corangamite	2011	913
Warrnambool	2011	1033
Migratory - Offshore - Shipping (Vic.)	2011	0
No usual address (Vic.)	2011	0
Capalaba	2011	1475
Cleveland - Stradbroke	2011	1288
Wynnum - Manly	2011	1483
Bald Hills - Everton Park	2011	1621
Chermside	2011	1373
Nundah	2011	1382
Sandgate	2011	1284
Carindale	2011	1665
Holland Park - Yeronga	2011	1459
Mt Gravatt	2011	1434
Nathan	2011	1361
Rocklea - Acacia Ridge	2011	1534
Sunnybank	2011	1313
Centenary	2011	1890
Kenmore - Brookfield - Moggill	2011	2230
Sherwood - Indooroopilly	2011	1571
The Gap - Enoggera	2011	1625
Brisbane Inner	2011	1585
Brisbane Inner - East	2011	1864
Brisbane Inner - North	2011	1665
Brisbane Inner - West	2011	1859
Cairns - North	2011	1327
Cairns - South	2011	1079
Innisfail - Cassowary Coast	2011	917
Port Douglas - Daintree	2011	986
Tablelands (East) - Kuranda	2011	859
Darling Downs (West) - Maranoa	2011	1046
Darling Downs - East	2011	1003
Granite Belt	2011	840
Central Highlands (Qld)	2011	1782
Rockhampton	2011	1150
Biloela	2011	1370
Gladstone	2011	1660
Broadbeach - Burleigh	2011	1097
Coolangatta	2011	976
Gold Coast - North	2011	962
Gold Coast Hinterland	2011	1122
Mudgeeraba - Tallebudgera	2011	1390
Nerang	2011	1288
Ormeau - Oxenford	2011	1478
Robina	2011	1206
Southport	2011	1017
Surfers Paradise	2011	1106
Forest Lake - Oxley	2011	1201
Ipswich Hinterland	2011	989
Ipswich Inner	2011	1164
Springfield - Redbank	2011	1392
Beaudesert	2011	937
Beenleigh	2011	1066
Browns Plains	2011	1305
Jimboomba	2011	1588
Loganlea - Carbrook	2011	1351
Springwood - Kingston	2011	1139
Bowen Basin - North	2011	1735
Mackay	2011	1547
Whitsunday	2011	1175
Bribie - Beachmere	2011	801
Caboolture	2011	1065
Caboolture Hinterland	2011	962
Narangba - Burpengary	2011	1264
Redcliffe	2011	966
The Hills District	2011	1866
North Lakes	2011	1471
Strathpine	2011	1317
Far North	2011	1053
Outback - North	2011	1526
Outback - South	2011	955
Buderim	2011	1186
Caloundra	2011	972
Maroochy	2011	972
Noosa	2011	980
Sunshine Coast Hinterland	2011	1021
Nambour	2011	997
Noosa Hinterland	2011	972
Toowoomba	2011	1094
Charters Towers - Ayr - Ingham	2011	963
Townsville	2011	1368
Bundaberg	2011	840
Burnett	2011	781
Gympie - Cooloola	2011	806
Hervey Bay	2011	785
Maryborough	2011	785
Migratory - Offshore - Shipping (Qld)	2011	0
No usual address (Qld)	2011	0
Adelaide City	2011	1139
Adelaide Hills	2011	1384
Burnside	2011	1468
Campbelltown (SA)	2011	1072
Norwood - Payneham - St Peters	2011	1131
Prospect - Walkerville	2011	1363
Unley	2011	1423
Gawler - Two Wells	2011	1103
Playford	2011	890
Port Adelaide - East	2011	965
Salisbury	2011	1028
Tea Tree Gully	2011	1245
Holdfast Bay	2011	1161
Marion	2011	1063
Mitcham	2011	1376
Onkaparinga	2011	1081
Charles Sturt	2011	1015
Port Adelaide - West	2011	945
West Torrens	2011	1023
Barossa	2011	1101
Lower North	2011	855
Mid North	2011	778
Yorke Peninsula	2011	750
Eyre Peninsula and South West	2011	936
Outback - North and East	2011	1179
Fleurieu - Kangaroo Island	2011	815
Limestone Coast	2011	938
Murray and Mallee	2011	813
Migratory - Offshore - Shipping (SA)	2011	0
No usual address (SA)	2011	0
Augusta - Margaret River - Busselton	2011	1090
Bunbury	2011	1347
Manjimup	2011	912
Mandurah	2011	989
Cottesloe - Claremont	2011	2097
Perth City	2011	1640
Bayswater - Bassendean	2011	1284
Mundaring	2011	1462
Swan	2011	1454
Joondalup	2011	1758
Stirling	2011	1342
Wanneroo	2011	1509
Armadale	2011	1307
Belmont - Victoria Park	2011	1345
Canning	2011	1380
Gosnells	2011	1369
Kalamunda	2011	1514
Serpentine - Jarrahdale	2011	1630
South Perth	2011	1577
Cockburn	2011	1531
Fremantle	2011	1376
Kwinana	2011	1249
Melville	2011	1608
Rockingham	2011	1406
Albany	2011	961
Wheat Belt - North	2011	990
Wheat Belt - South	2011	964
Kimberley	2011	1309
East Pilbara	2011	2699
West Pilbara	2011	2683
Esperance	2011	1153
Gascoyne	2011	976
Goldfields	2011	1746
Mid West	2011	1100
Migratory - Offshore - Shipping (WA)	2011	0
No usual address (WA)	2011	0
Brighton	2011	968
Hobart - North East	2011	1110
Hobart - North West	2011	862
Hobart - South and West	2011	1242
Hobart Inner	2011	1255
Sorell - Dodges Ferry	2011	976
Launceston	2011	943
Meander Valley - West Tamar	2011	876
North East	2011	811
Central Highlands (Tas.)	2011	851
Huon - Bruny Island	2011	866
South East Coast	2011	734
Burnie - Ulverstone	2011	834
Devonport	2011	866
West Coast	2011	974
Migratory - Offshore - Shipping (Tas.)	2011	0
No usual address (Tas.)	2011	0
Darwin City	2011	1892
Darwin Suburbs	2011	1673
Litchfield	2011	1621
Palmerston	2011	1791
Alice Springs	2011	1461
Barkly	2011	1150
Daly - Tiwi - West Arnhem	2011	1102
East Arnhem	2011	1990
Katherine	2011	1254
Migratory - Offshore - Shipping (NT)	2011	0
No usual address (NT)	2011	0
Belconnen	2011	1736
Canberra East	2011	850
Gungahlin	2011	2167
North Canberra	2011	1717
South Canberra	2011	2385
Tuggeranong	2011	1950
Weston Creek	2011	1777
Woden Valley	2011	1732
Molonglo	2011	725
Urriarra - Namadgi	2011	1829
Migratory - Offshore - Shipping (ACT)	2011	0
No usual address (ACT)	2011	0
Christmas Island	2011	1778
Cocos (Keeling) Islands	2011	1488
Jervis Bay	2011	900
Norfolk Island	2011	0
Migratory - Offshore - Shipping (OT)	2011	0
No usual address (OT)	2011	0
Queanbeyan	2016	1867
Snowy Mountains	2016	1279
South Coast	2016	965
Goulburn - Mulwaree	2016	1178
Young - Yass	2016	1286
Gosford	2016	1328
Wyong	2016	1189
Bathurst	2016	1300
Lachlan Valley	2016	1029
Lithgow - Mudgee	2016	1059
Orange	2016	1314
Clarence Valley	2016	917
Coffs Harbour	2016	1083
Bourke - Cobar - Coonamble	2016	1036
Broken Hill and Far West	2016	975
Dubbo	2016	1172
Lower Hunter	2016	1284
Maitland	2016	1434
Port Stephens	2016	1158
Upper Hunter	2016	1291
Dapto - Port Kembla	2016	1218
Illawarra Catchment Reserve	2016	0
Kiama - Shellharbour	2016	1379
Wollongong	2016	1408
Great Lakes	2016	863
Kempsey - Nambucca	2016	874
Lord Howe Island	2016	1416
Port Macquarie	2016	1043
Taree - Gloucester	2016	906
Albury	2016	1179
Lower Murray	2016	1075
Upper Murray exc. Albury	2016	1041
Armidale	2016	1155
Inverell - Tenterfield	2016	873
Moree - Narrabri	2016	1234
Tamworth - Gunnedah	2016	1172
Lake Macquarie - East	2016	1328
Lake Macquarie - West	2016	1274
Newcastle	2016	1353
Richmond Valley - Coastal	2016	1130
Richmond Valley - Hinterland	2016	1001
Tweed Valley	2016	1056
Griffith - Murrumbidgee (West)	2016	1238
Tumut - Tumbarumba	2016	1123
Wagga Wagga	2016	1243
Shoalhaven	2016	994
Southern Highlands	2016	1334
Baulkham Hills	2016	2325
Dural - Wisemans Ferry	2016	2134
Hawkesbury	2016	1883
Rouse Hill - McGraths Hill	2016	2401
Blacktown	2016	1582
Blacktown - North	2016	2263
Mount Druitt	2016	1432
Botany	2016	1624
Marrickville - Sydenham - Petersham	2016	1938
Sydney Inner City	2016	1925
Eastern Suburbs - North	2016	2413
Eastern Suburbs - South	2016	1910
Bankstown	2016	1330
Canterbury	2016	1266
Hurstville	2016	1569
Kogarah - Rockdale	2016	1597
Canada Bay	2016	2070
Leichhardt	2016	2434
Strathfield - Burwood - Ashfield	2016	1728
Chatswood - Lane Cove	2016	2307
Hornsby	2016	2005
Ku-ring-gai	2016	2636
North Sydney - Mosman	2016	2388
Manly	2016	2611
Pittwater	2016	2115
Warringah	2016	2091
Camden	2016	2044
Campbelltown (NSW)	2016	1457
Wollondilly	2016	1807
Blue Mountains	2016	1466
Blue Mountains - South	2016	450
Penrith	2016	1708
Richmond - Windsor	2016	1480
St Marys	2016	1531
Auburn	2016	1467
Carlingford	2016	1694
Merrylands - Guildford	2016	1279
Parramatta	2016	1715
Pennant Hills - Epping	2016	2201
Ryde - Hunters Hill	2016	1826
Bringelly - Green Valley	2016	1717
Fairfield	2016	1243
Liverpool	2016	1502
Cronulla - Miranda - Caringbah	2016	1863
Sutherland - Menai - Heathcote	2016	2093
Migratory - Offshore - Shipping (NSW)	2016	0
No usual address (NSW)	2016	0
Ballarat	2016	1169
Creswick - Daylesford - Ballan	2016	1120
Maryborough - Pyrenees	2016	838
Bendigo	2016	1175
Heathcote - Castlemaine - Kyneton	2016	1184
Loddon - Elmore	2016	931
Barwon - West	2016	1478
Geelong	2016	1232
Surf Coast - Bellarine Peninsula	2016	1377
Upper Goulburn Valley	2016	1102
Wangaratta - Benalla	2016	1046
Wodonga - Alpine	2016	1218
Baw Baw	2016	1196
Gippsland - East	2016	938
Gippsland - South West	2016	975
Latrobe Valley	2016	1078
Wellington	2016	1108
Brunswick - Coburg	2016	1653
Darebin - South	2016	1723
Essendon	2016	1697
Melbourne City	2016	1348
Port Phillip	2016	1837
Stonnington - West	2016	1912
Yarra	2016	1950
Boroondara	2016	2078
Manningham - West	2016	1539
Whitehorse - West	2016	1467
Bayside	2016	2139
Glen Eira	2016	1733
Kingston	2016	1577
Stonnington - East	2016	2003
Banyule	2016	1651
Darebin - North	2016	1284
Nillumbik - Kinglake	2016	2048
Whittlesea - Wallan	2016	1455
Keilor	2016	1539
Macedon Ranges	2016	1771
Moreland - North	2016	1342
Sunbury	2016	1564
Tullamarine - Broadmeadows	2016	1330
Knox	2016	1558
Manningham - East	2016	2074
Maroondah	2016	1540
Whitehorse - East	2016	1568
Yarra Ranges	2016	1496
Cardinia	2016	1494
Casey - North	2016	1514
Casey - South	2016	1579
Dandenong	2016	1205
Monash	2016	1499
Brimbank	2016	1250
Hobsons Bay	2016	1594
Maribyrnong	2016	1543
Melton - Bacchus Marsh	2016	1524
Wyndham	2016	1605
Frankston	2016	1328
Mornington Peninsula	2016	1275
Grampians	2016	997
Mildura	2016	1061
Murray River - Swan Hill	2016	983
Campaspe	2016	1082
Moira	2016	1011
Shepparton	2016	1160
Glenelg - Southern Grampians	2016	1044
Colac - Corangamite	2016	1051
Warrnambool	2016	1193
Migratory - Offshore - Shipping (Vic.)	2016	0
No usual address (Vic.)	2016	0
Capalaba	2016	1659
Cleveland - Stradbroke	2016	1450
Wynnum - Manly	2016	1727
Bald Hills - Everton Park	2016	1847
Chermside	2016	1610
Nundah	2016	1662
Sandgate	2016	1466
Carindale	2016	1939
Holland Park - Yeronga	2016	1722
Mt Gravatt	2016	1626
Nathan	2016	1649
Rocklea - Acacia Ridge	2016	1645
Sunnybank	2016	1461
Centenary	2016	2033
Kenmore - Brookfield - Moggill	2016	2312
Sherwood - Indooroopilly	2016	1730
The Gap - Enoggera	2016	1881
Brisbane Inner	2016	1728
Brisbane Inner - East	2016	2166
Brisbane Inner - North	2016	1876
Brisbane Inner - West	2016	2087
Cairns - North	2016	1533
Cairns - South	2016	1232
Innisfail - Cassowary Coast	2016	1063
Port Douglas - Daintree	2016	1204
Tablelands (East) - Kuranda	2016	1002
Darling Downs (West) - Maranoa	2016	1220
Darling Downs - East	2016	1174
Granite Belt	2016	990
Central Highlands (Qld)	2016	1703
Rockhampton	2016	1255
Biloela	2016	1545
Gladstone	2016	1547
Broadbeach - Burleigh	2016	1381
Coolangatta	2016	1244
Gold Coast - North	2016	1157
Gold Coast Hinterland	2016	1409
Mudgeeraba - Tallebudgera	2016	1732
Nerang	2016	1482
Ormeau - Oxenford	2016	1723
Robina	2016	1420
Southport	2016	1190
Surfers Paradise	2016	1266
Forest Lake - Oxley	2016	1351
Ipswich Hinterland	2016	1169
Ipswich Inner	2016	1325
Springfield - Redbank	2016	1572
Beaudesert	2016	1084
Beenleigh	2016	1172
Browns Plains	2016	1435
Jimboomba	2016	1842
Loganlea - Carbrook	2016	1489
Springwood - Kingston	2016	1284
Bowen Basin - North	2016	1588
Mackay	2016	1439
Whitsunday	2016	1258
Bribie - Beachmere	2016	931
Caboolture	2016	1209
Caboolture Hinterland	2016	1196
Narangba - Burpengary	2016	1439
Redcliffe	2016	1131
The Hills District	2016	2077
North Lakes	2016	1604
Strathpine	2016	1398
Far North	2016	1202
Outback - North	2016	1670
Outback - South	2016	1091
Buderim	2016	1428
Caloundra	2016	1237
Maroochy	2016	1203
Noosa	2016	1244
Sunshine Coast Hinterland	2016	1242
Nambour	2016	1226
Noosa Hinterland	2016	1213
Toowoomba	2016	1295
Charters Towers - Ayr - Ingham	2016	1086
Townsville	2016	1414
Bundaberg	2016	983
Burnett	2016	902
Gympie - Cooloola	2016	937
Hervey Bay	2016	930
Maryborough	2016	886
Migratory - Offshore - Shipping (Qld)	2016	0
No usual address (Qld)	2016	0
Adelaide City	2016	1255
