SA3_NAME16	Year	Occupation	workers
South Coast	2011	Machinery operators and drivers	1522
South Coast	2011	Managers	3410
South Coast	2011	Professionals	4069
South Coast	2011	Sales workers	2813
South Coast	2011	Technicians and trades workers	4052
South Coast	2016		431
South Coast	2016	Clerical and administrative workers	3051
South Coast	2016	Community and personal service workers	3331
South Coast	2016	Labourers	3286
South Coast	2016	Machinery operators and drivers	1470
South Coast	2016	Managers	3387
South Coast	2016	Professionals	4188
South Coast	2016	Sales workers	2929
South Coast	2016	Technicians and trades workers	4126
Goulburn - Mulwaree	2006		205
Goulburn - Mulwaree	2006	Clerical and administrative workers	1588
Goulburn - Mulwaree	2006	Community and personal service workers	1725
Goulburn - Mulwaree	2006	Labourers	1824
Goulburn - Mulwaree	2006	Machinery operators and drivers	1260
Goulburn - Mulwaree	2006	Managers	2212
Goulburn - Mulwaree	2006	Professionals	1871
Goulburn - Mulwaree	2006	Sales workers	1285
Goulburn - Mulwaree	2006	Technicians and trades workers	1869
Goulburn - Mulwaree	2011		234
Goulburn - Mulwaree	2011	Clerical and administrative workers	1845
Goulburn - Mulwaree	2011	Community and personal service workers	2061
Goulburn - Mulwaree	2011	Labourers	1682
Goulburn - Mulwaree	2011	Machinery operators and drivers	1183
Goulburn - Mulwaree	2011	Managers	2232
Goulburn - Mulwaree	2011	Professionals	2093
Goulburn - Mulwaree	2011	Sales workers	1375
Goulburn - Mulwaree	2011	Technicians and trades workers	2108
Goulburn - Mulwaree	2016		265
Goulburn - Mulwaree	2016	Clerical and administrative workers	1816
Goulburn - Mulwaree	2016	Community and personal service workers	2247
Goulburn - Mulwaree	2016	Labourers	1815
Goulburn - Mulwaree	2016	Machinery operators and drivers	1236
Goulburn - Mulwaree	2016	Managers	2229
Goulburn - Mulwaree	2016	Professionals	2189
Goulburn - Mulwaree	2016	Sales workers	1419
Goulburn - Mulwaree	2016	Technicians and trades workers	2199
Young - Yass	2006		221
Young - Yass	2006	Clerical and administrative workers	1856
Young - Yass	2006	Community and personal service workers	1178
Young - Yass	2006	Labourers	1956
Young - Yass	2006	Machinery operators and drivers	832
Young - Yass	2006	Managers	3258
Young - Yass	2006	Professionals	2277
Young - Yass	2006	Sales workers	1207
Young - Yass	2006	Technicians and trades workers	2032
Young - Yass	2011		332
Young - Yass	2011	Clerical and administrative workers	2053
Young - Yass	2011	Community and personal service workers	1429
Young - Yass	2011	Labourers	1801
Young - Yass	2011	Machinery operators and drivers	875
Young - Yass	2011	Managers	3256
Young - Yass	2011	Professionals	2626
Young - Yass	2011	Sales workers	1264
Young - Yass	2011	Technicians and trades workers	2242
Young - Yass	2016		291
Young - Yass	2016	Clerical and administrative workers	2108
Young - Yass	2016	Community and personal service workers	1635
Young - Yass	2016	Labourers	1911
Young - Yass	2016	Machinery operators and drivers	901
Young - Yass	2016	Managers	3305
Young - Yass	2016	Professionals	2674
Young - Yass	2016	Sales workers	1257
Young - Yass	2016	Technicians and trades workers	2189
Gosford	2006		1019
Gosford	2006	Clerical and administrative workers	10584
Gosford	2006	Community and personal service workers	6822
Gosford	2006	Labourers	6442
Gosford	2006	Machinery operators and drivers	3303
Gosford	2006	Managers	8061
Gosford	2006	Professionals	13216
Gosford	2006	Sales workers	7596
Gosford	2006	Technicians and trades workers	10219
Gosford	2011		1170
Gosford	2011	Clerical and administrative workers	10895
Gosford	2011	Community and personal service workers	7903
Gosford	2011	Labourers	6234
Gosford	2011	Machinery operators and drivers	3346
Gosford	2011	Managers	8573
Gosford	2011	Professionals	14984
Gosford	2011	Sales workers	7603
Gosford	2011	Technicians and trades workers	10679
Gosford	2016		1251
Gosford	2016	Clerical and administrative workers	10557
Gosford	2016	Community and personal service workers	8844
Gosford	2016	Labourers	6701
Gosford	2016	Machinery operators and drivers	3368
Gosford	2016	Managers	9135
Gosford	2016	Professionals	16380
Gosford	2016	Sales workers	7453
Gosford	2016	Technicians and trades workers	10766
Wyong	2006		886
Wyong	2006	Clerical and administrative workers	7643
Wyong	2006	Community and personal service workers	5733
Wyong	2006	Labourers	6831
Wyong	2006	Machinery operators and drivers	4236
Wyong	2006	Managers	5377
Wyong	2006	Professionals	7036
Wyong	2006	Sales workers	6569
Wyong	2006	Technicians and trades workers	9149
Wyong	2011		1030
Wyong	2011	Clerical and administrative workers	8243
Wyong	2011	Community and personal service workers	7170
Wyong	2011	Labourers	7200
Wyong	2011	Machinery operators and drivers	4689
Wyong	2011	Managers	5734
Wyong	2011	Professionals	8486
Wyong	2011	Sales workers	7135
Wyong	2011	Technicians and trades workers	9938
Wyong	2016		1137
Wyong	2016	Clerical and administrative workers	8532
Wyong	2016	Community and personal service workers	8472
Wyong	2016	Labourers	7755
Wyong	2016	Machinery operators and drivers	4985
Wyong	2016	Managers	6504
Wyong	2016	Professionals	9529
Wyong	2016	Sales workers	7403
Wyong	2016	Technicians and trades workers	10832
Bathurst	2006		260
Bathurst	2006	Clerical and administrative workers	2364
Bathurst	2006	Community and personal service workers	1808
Bathurst	2006	Labourers	2352
Bathurst	2006	Machinery operators and drivers	1300
Bathurst	2006	Managers	2561
Bathurst	2006	Professionals	3162
Bathurst	2006	Sales workers	1893
Bathurst	2006	Technicians and trades workers	2814
Bathurst	2011		318
Bathurst	2011	Clerical and administrative workers	2492
Bathurst	2011	Community and personal service workers	2149
Bathurst	2011	Labourers	2428
Bathurst	2011	Machinery operators and drivers	1447
Bathurst	2011	Managers	2571
Bathurst	2011	Professionals	3531
Bathurst	2011	Sales workers	1897
Bathurst	2011	Technicians and trades workers	3004
Bathurst	2016		347
Bathurst	2016	Clerical and administrative workers	2412
Bathurst	2016	Community and personal service workers	2654
Bathurst	2016	Labourers	2344
Bathurst	2016	Machinery operators and drivers	1479
Bathurst	2016	Managers	2591
Bathurst	2016	Professionals	3699
Bathurst	2016	Sales workers	1940
Bathurst	2016	Technicians and trades workers	2950
Lachlan Valley	2006		407
Lachlan Valley	2006	Clerical and administrative workers	2343
Lachlan Valley	2006	Community and personal service workers	1932
Lachlan Valley	2006	Labourers	3124
Lachlan Valley	2006	Machinery operators and drivers	1729
Lachlan Valley	2006	Managers	5914
Lachlan Valley	2006	Professionals	2708
Lachlan Valley	2006	Sales workers	1835
Lachlan Valley	2006	Technicians and trades workers	3001
Lachlan Valley	2011		400
Lachlan Valley	2011	Clerical and administrative workers	2404
Lachlan Valley	2011	Community and personal service workers	2103
Lachlan Valley	2011	Labourers	2651
Lachlan Valley	2011	Machinery operators and drivers	2052
Lachlan Valley	2011	Managers	5361
Lachlan Valley	2011	Professionals	2962
Lachlan Valley	2011	Sales workers	1851
Lachlan Valley	2011	Technicians and trades workers	3054
Lachlan Valley	2016		427
Lachlan Valley	2016	Clerical and administrative workers	2253
Lachlan Valley	2016	Community and personal service workers	2196
Lachlan Valley	2016	Labourers	2791
Lachlan Valley	2016	Machinery operators and drivers	1907
Lachlan Valley	2016	Managers	4708
Lachlan Valley	2016	Professionals	2983
Lachlan Valley	2016	Sales workers	1891
Lachlan Valley	2016	Technicians and trades workers	3031
Lithgow - Mudgee	2006		259
Lithgow - Mudgee	2006	Clerical and administrative workers	1882
Lithgow - Mudgee	2006	Community and personal service workers	1591
Lithgow - Mudgee	2006	Labourers	2252
Lithgow - Mudgee	2006	Machinery operators and drivers	1884
Lithgow - Mudgee	2006	Managers	2626
Lithgow - Mudgee	2006	Professionals	2063
Lithgow - Mudgee	2006	Sales workers	1574
Lithgow - Mudgee	2006	Technicians and trades workers	2826
Lithgow - Mudgee	2011		299
Lithgow - Mudgee	2011	Clerical and administrative workers	2034
Lithgow - Mudgee	2011	Community and personal service workers	1809
Lithgow - Mudgee	2011	Labourers	2132
Lithgow - Mudgee	2011	Machinery operators and drivers	2368
Lithgow - Mudgee	2011	Managers	2404
Lithgow - Mudgee	2011	Professionals	2317
Lithgow - Mudgee	2011	Sales workers	1549
Lithgow - Mudgee	2011	Technicians and trades workers	3051
Lithgow - Mudgee	2016		295
Lithgow - Mudgee	2016	Clerical and administrative workers	2053
Lithgow - Mudgee	2016	Community and personal service workers	1994
Lithgow - Mudgee	2016	Labourers	2179
Lithgow - Mudgee	2016	Machinery operators and drivers	2225
Lithgow - Mudgee	2016	Managers	2293
Lithgow - Mudgee	2016	Professionals	2283
Lithgow - Mudgee	2016	Sales workers	1566
Lithgow - Mudgee	2016	Technicians and trades workers	3072
Orange	2006		349
Orange	2006	Clerical and administrative workers	3054
Orange	2006	Community and personal service workers	1953
Orange	2006	Labourers	2871
Orange	2006	Machinery operators and drivers	1784
Orange	2006	Managers	3451
Orange	2006	Professionals	3751
Orange	2006	Sales workers	2107
Orange	2006	Technicians and trades workers	3288
Orange	2011		389
Orange	2011	Clerical and administrative workers	3400
Orange	2011	Community and personal service workers	2362
Orange	2011	Labourers	2811
Orange	2011	Machinery operators and drivers	2299
Orange	2011	Managers	3407
Orange	2011	Professionals	4483
Orange	2011	Sales workers	2134
Orange	2011	Technicians and trades workers	3738
Orange	2016		403
Orange	2016	Clerical and administrative workers	3288
Orange	2016	Community and personal service workers	2769
Orange	2016	Labourers	2810
Orange	2016	Machinery operators and drivers	1890
Orange	2016	Managers	3482
Orange	2016	Professionals	5043
Orange	2016	Sales workers	2283
Orange	2016	Technicians and trades workers	3752
Clarence Valley	2006		280
Clarence Valley	2006	Clerical and administrative workers	2004
Clarence Valley	2006	Community and personal service workers	1892
Clarence Valley	2006	Labourers	2458
Clarence Valley	2006	Machinery operators and drivers	1234
Clarence Valley	2006	Managers	2235
Clarence Valley	2006	Professionals	2359
Clarence Valley	2006	Sales workers	1901
Clarence Valley	2006	Technicians and trades workers	2391
Clarence Valley	2011		297
Clarence Valley	2011	Clerical and administrative workers	2131
Clarence Valley	2011	Community and personal service workers	2347
Clarence Valley	2011	Labourers	2377
Clarence Valley	2011	Machinery operators and drivers	1287
Clarence Valley	2011	Managers	2113
Clarence Valley	2011	Professionals	2551
Clarence Valley	2011	Sales workers	2015
Clarence Valley	2011	Technicians and trades workers	2493
Clarence Valley	2016		299
Clarence Valley	2016	Clerical and administrative workers	2125
Clarence Valley	2016	Community and personal service workers	2413
Clarence Valley	2016	Labourers	2231
Clarence Valley	2016	Machinery operators and drivers	1294
Clarence Valley	2016	Managers	2001
Clarence Valley	2016	Professionals	2687
Clarence Valley	2016	Sales workers	1883
Clarence Valley	2016	Technicians and trades workers	2485
Coffs Harbour	2006		494
Coffs Harbour	2006	Clerical and administrative workers	4115
Coffs Harbour	2006	Community and personal service workers	3289
Coffs Harbour	2006	Labourers	3706
Coffs Harbour	2006	Machinery operators and drivers	1564
Coffs Harbour	2006	Managers	4037
Coffs Harbour	2006	Professionals	5207
Coffs Harbour	2006	Sales workers	3532
Coffs Harbour	2006	Technicians and trades workers	4402
Coffs Harbour	2011		490
Coffs Harbour	2011	Clerical and administrative workers	4481
Coffs Harbour	2011	Community and personal service workers	3887
Coffs Harbour	2011	Labourers	3808
Coffs Harbour	2011	Machinery operators and drivers	1764
Coffs Harbour	2011	Managers	4220
Coffs Harbour	2011	Professionals	5993
Coffs Harbour	2011	Sales workers	3649
Coffs Harbour	2011	Technicians and trades workers	4640
Coffs Harbour	2016		584
Coffs Harbour	2016	Clerical and administrative workers	4382
Coffs Harbour	2016	Community and personal service workers	4266
Coffs Harbour	2016	Labourers	4343
Coffs Harbour	2016	Machinery operators and drivers	1903
Coffs Harbour	2016	Managers	4276
Coffs Harbour	2016	Professionals	6609
Coffs Harbour	2016	Sales workers	3600
Coffs Harbour	2016	Technicians and trades workers	4702
Bourke - Cobar - Coonamble	2006		250
Bourke - Cobar - Coonamble	2006	Clerical and administrative workers	1017
Bourke - Cobar - Coonamble	2006	Community and personal service workers	1057
Bourke - Cobar - Coonamble	2006	Labourers	1546
Bourke - Cobar - Coonamble	2006	Machinery operators and drivers	1198
Bourke - Cobar - Coonamble	2006	Managers	2802
Bourke - Cobar - Coonamble	2006	Professionals	1260
Bourke - Cobar - Coonamble	2006	Sales workers	561
Bourke - Cobar - Coonamble	2006	Technicians and trades workers	1301
Bourke - Cobar - Coonamble	2011		234
Bourke - Cobar - Coonamble	2011	Clerical and administrative workers	993
Bourke - Cobar - Coonamble	2011	Community and personal service workers	1136
Bourke - Cobar - Coonamble	2011	Labourers	1346
Bourke - Cobar - Coonamble	2011	Machinery operators and drivers	1155
Bourke - Cobar - Coonamble	2011	Managers	2522
Bourke - Cobar - Coonamble	2011	Professionals	1255
Bourke - Cobar - Coonamble	2011	Sales workers	541
Bourke - Cobar - Coonamble	2011	Technicians and trades workers	1229
Bourke - Cobar - Coonamble	2016		203
Bourke - Cobar - Coonamble	2016	Clerical and administrative workers	865
Bourke - Cobar - Coonamble	2016	Community and personal service workers	1119
Bourke - Cobar - Coonamble	2016	Labourers	1158
Bourke - Cobar - Coonamble	2016	Machinery operators and drivers	947
Bourke - Cobar - Coonamble	2016	Managers	2114
Bourke - Cobar - Coonamble	2016	Professionals	1181
Bourke - Cobar - Coonamble	2016	Sales workers	493
Bourke - Cobar - Coonamble	2016	Technicians and trades workers	1121
Broken Hill and Far West	2006		174
Broken Hill and Far West	2006	Clerical and administrative workers	881
Broken Hill and Far West	2006	Community and personal service workers	944
Broken Hill and Far West	2006	Labourers	1039
Broken Hill and Far West	2006	Machinery operators and drivers	783
Broken Hill and Far West	2006	Managers	1193
Broken Hill and Far West	2006	Professionals	1144
Broken Hill and Far West	2006	Sales workers	767
Broken Hill and Far West	2006	Technicians and trades workers	1158
Broken Hill and Far West	2011		150
Broken Hill and Far West	2011	Clerical and administrative workers	892
Broken Hill and Far West	2011	Community and personal service workers	1110
Broken Hill and Far West	2011	Labourers	1034
Broken Hill and Far West	2011	Machinery operators and drivers	832
Broken Hill and Far West	2011	Managers	1151
Broken Hill and Far West	2011	Professionals	1186
Broken Hill and Far West	2011	Sales workers	687
Broken Hill and Far West	2011	Technicians and trades workers	1182
Broken Hill and Far West	2016		159
Broken Hill and Far West	2016	Clerical and administrative workers	804
Broken Hill and Far West	2016	Community and personal service workers	1154
Broken Hill and Far West	2016	Labourers	943
Broken Hill and Far West	2016	Machinery operators and drivers	758
Broken Hill and Far West	2016	Managers	1033
Broken Hill and Far West	2016	Professionals	1201
Broken Hill and Far West	2016	Sales workers	720
Broken Hill and Far West	2016	Technicians and trades workers	1066
Dubbo	2006		424
Dubbo	2006	Clerical and administrative workers	3469
Dubbo	2006	Community and personal service workers	2573
Dubbo	2006	Labourers	3672
Dubbo	2006	Machinery operators and drivers	1828
Dubbo	2006	Managers	5268
Dubbo	2006	Professionals	4205
Dubbo	2006	Sales workers	2819
Dubbo	2006	Technicians and trades workers	3843
Dubbo	2011		433
Dubbo	2011	Clerical and administrative workers	3709
Dubbo	2011	Community and personal service workers	3297
Dubbo	2011	Labourers	3401
Dubbo	2011	Machinery operators and drivers	1977
Dubbo	2011	Managers	5055
Dubbo	2011	Professionals	4799
Dubbo	2011	Sales workers	2850
Dubbo	2011	Technicians and trades workers	3927
Dubbo	2016		492
Dubbo	2016	Clerical and administrative workers	3544
Dubbo	2016	Community and personal service workers	3658
Dubbo	2016	Labourers	3421
Dubbo	2016	Machinery operators and drivers	1933
Dubbo	2016	Managers	4818
Dubbo	2016	Professionals	4884
Dubbo	2016	Sales workers	2871
Dubbo	2016	Technicians and trades workers	4052
Lower Hunter	2006		552
Lower Hunter	2006	Clerical and administrative workers	3567
Lower Hunter	2006	Community and personal service workers	2967
Lower Hunter	2006	Labourers	4150
Lower Hunter	2006	Machinery operators and drivers	4382
Lower Hunter	2006	Managers	3500
Lower Hunter	2006	Professionals	3637
Lower Hunter	2006	Sales workers	2955
Lower Hunter	2006	Technicians and trades workers	6172
Lower Hunter	2011		655
Lower Hunter	2011	Clerical and administrative workers	4215
Lower Hunter	2011	Community and personal service workers	3480
Lower Hunter	2011	Labourers	4345
Lower Hunter	2011	Machinery operators and drivers	5569
Lower Hunter	2011	Managers	3708
Lower Hunter	2011	Professionals	4191
Lower Hunter	2011	Sales workers	3129
Lower Hunter	2011	Technicians and trades workers	6773
Lower Hunter	2016		596
Lower Hunter	2016	Clerical and administrative workers	4086
Lower Hunter	2016	Community and personal service workers	4119
Lower Hunter	2016	Labourers	4554
Lower Hunter	2016	Machinery operators and drivers	5083
Lower Hunter	2016	Managers	3772
Lower Hunter	2016	Professionals	4322
Lower Hunter	2016	Sales workers	3346
Lower Hunter	2016	Technicians and trades workers	6528
Maitland	2006		397
Maitland	2006	Clerical and administrative workers	3802
Maitland	2006	Community and personal service workers	2269
Maitland	2006	Labourers	2856
Maitland	2006	Machinery operators and drivers	2427
Maitland	2006	Managers	2603
Maitland	2006	Professionals	4102
Maitland	2006	Sales workers	2867
Maitland	2006	Technicians and trades workers	4604
Maitland	2011		443
Maitland	2011	Clerical and administrative workers	4257
Maitland	2011	Community and personal service workers	2725
Maitland	2011	Labourers	2977
Maitland	2011	Machinery operators and drivers	3061
Maitland	2011	Managers	2990
Maitland	2011	Professionals	5077
Maitland	2011	Sales workers	2991
Maitland	2011	Technicians and trades workers	5451
Maitland	2016		497
Maitland	2016	Clerical and administrative workers	4467
Maitland	2016	Community and personal service workers	3741
Maitland	2016	Labourers	3468
Maitland	2016	Machinery operators and drivers	3257
Maitland	2016	Managers	3238
Maitland	2016	Professionals	5687
Maitland	2016	Sales workers	3410
Maitland	2016	Technicians and trades workers	5809
Port Stephens	2006		416
Port Stephens	2006	Clerical and administrative workers	3366
Port Stephens	2006	Community and personal service workers	2589
Port Stephens	2006	Labourers	2918
Port Stephens	2006	Machinery operators and drivers	1866
Port Stephens	2006	Managers	2844
Port Stephens	2006	Professionals	3228
Port Stephens	2006	Sales workers	2695
Port Stephens	2006	Technicians and trades workers	4550
Port Stephens	2011		439
Port Stephens	2011	Clerical and administrative workers	3657
Port Stephens	2011	Community and personal service workers	3085
Port Stephens	2011	Labourers	2973
Port Stephens	2011	Machinery operators and drivers	2254
Port Stephens	2011	Managers	3037
Port Stephens	2011	Professionals	3847
Port Stephens	2011	Sales workers	2912
Port Stephens	2011	Technicians and trades workers	5117
Port Stephens	2016		473
Port Stephens	2016	Clerical and administrative workers	3601
Port Stephens	2016	Community and personal service workers	3562
Port Stephens	2016	Labourers	3151
Port Stephens	2016	Machinery operators and drivers	2272
Port Stephens	2016	Managers	3023
Port Stephens	2016	Professionals	4019
Port Stephens	2016	Sales workers	2905
Port Stephens	2016	Technicians and trades workers	4940
Upper Hunter	2006		182
Upper Hunter	2006	Clerical and administrative workers	1272
Upper Hunter	2006	Community and personal service workers	955
Upper Hunter	2006	Labourers	2109
Upper Hunter	2006	Machinery operators and drivers	1633
Upper Hunter	2006	Managers	1903
Upper Hunter	2006	Professionals	1372
Upper Hunter	2006	Sales workers	973
Upper Hunter	2006	Technicians and trades workers	2519
Upper Hunter	2011		241
Upper Hunter	2011	Clerical and administrative workers	1420
Upper Hunter	2011	Community and personal service workers	1075
Upper Hunter	2011	Labourers	1997
Upper Hunter	2011	Machinery operators and drivers	2168
Upper Hunter	2011	Managers	1832
Upper Hunter	2011	Professionals	1551
Upper Hunter	2011	Sales workers	1034
Upper Hunter	2011	Technicians and trades workers	2611
Upper Hunter	2016		206
Upper Hunter	2016	Clerical and administrative workers	1273
Upper Hunter	2016	Community and personal service workers	1092
Upper Hunter	2016	Labourers	1876
Upper Hunter	2016	Machinery operators and drivers	2026
Upper Hunter	2016	Managers	1684
Upper Hunter	2016	Professionals	1489
Upper Hunter	2016	Sales workers	981
Upper Hunter	2016	Technicians and trades workers	2410
Dapto - Port Kembla	2006		518
Dapto - Port Kembla	2006	Clerical and administrative workers	3989
Dapto - Port Kembla	2006	Community and personal service workers	2670
Dapto - Port Kembla	2006	Labourers	3470
Dapto - Port Kembla	2006	Machinery operators and drivers	2874
Dapto - Port Kembla	2006	Managers	2398
Dapto - Port Kembla	2006	Professionals	3871
Dapto - Port Kembla	2006	Sales workers	2910
Dapto - Port Kembla	2006	Technicians and trades workers	4953
Dapto - Port Kembla	2011		521
Dapto - Port Kembla	2011	Clerical and administrative workers	4178
Dapto - Port Kembla	2011	Community and personal service workers	3313
Dapto - Port Kembla	2011	Labourers	3409
Dapto - Port Kembla	2011	Machinery operators and drivers	2852
Dapto - Port Kembla	2011	Managers	2400
Dapto - Port Kembla	2011	Professionals	4349
Dapto - Port Kembla	2011	Sales workers	2980
Dapto - Port Kembla	2011	Technicians and trades workers	4969
Dapto - Port Kembla	2016		495
Dapto - Port Kembla	2016	Clerical and administrative workers	4365
Dapto - Port Kembla	2016	Community and personal service workers	3796
Dapto - Port Kembla	2016	Labourers	3489
Dapto - Port Kembla	2016	Machinery operators and drivers	2621
Dapto - Port Kembla	2016	Managers	2649
Dapto - Port Kembla	2016	Professionals	4849
Dapto - Port Kembla	2016	Sales workers	3123
Dapto - Port Kembla	2016	Technicians and trades workers	5234
Illawarra Catchment Reserve	2006		0
Illawarra Catchment Reserve	2006	Clerical and administrative workers	0
Illawarra Catchment Reserve	2006	Community and personal service workers	0
Illawarra Catchment Reserve	2006	Labourers	0
Illawarra Catchment Reserve	2006	Machinery operators and drivers	0
Illawarra Catchment Reserve	2006	Managers	0
Illawarra Catchment Reserve	2006	Professionals	0
Illawarra Catchment Reserve	2006	Sales workers	0
Illawarra Catchment Reserve	2006	Technicians and trades workers	0
Illawarra Catchment Reserve	2011		0
Illawarra Catchment Reserve	2011	Clerical and administrative workers	0
Illawarra Catchment Reserve	2011	Community and personal service workers	0
Illawarra Catchment Reserve	2011	Labourers	0
Illawarra Catchment Reserve	2011	Machinery operators and drivers	0
Illawarra Catchment Reserve	2011	Managers	3
Illawarra Catchment Reserve	2011	Professionals	0
Illawarra Catchment Reserve	2011	Sales workers	0
Illawarra Catchment Reserve	2011	Technicians and trades workers	0
Illawarra Catchment Reserve	2016		0
Illawarra Catchment Reserve	2016	Clerical and administrative workers	3
Illawarra Catchment Reserve	2016	Community and personal service workers	0
Illawarra Catchment Reserve	2016	Labourers	0
Illawarra Catchment Reserve	2016	Machinery operators and drivers	0
Illawarra Catchment Reserve	2016	Managers	0
Illawarra Catchment Reserve	2016	Professionals	0
Illawarra Catchment Reserve	2016	Sales workers	0
Illawarra Catchment Reserve	2016	Technicians and trades workers	0
Kiama - Shellharbour	2006		570
Kiama - Shellharbour	2006	Clerical and administrative workers	4600
Kiama - Shellharbour	2006	Community and personal service workers	3459
Kiama - Shellharbour	2006	Labourers	3636
Kiama - Shellharbour	2006	Machinery operators and drivers	3096
Kiama - Shellharbour	2006	Managers	3370
Kiama - Shellharbour	2006	Professionals	5358
Kiama - Shellharbour	2006	Sales workers	3660
Kiama - Shellharbour	2006	Technicians and trades workers	5826
Kiama - Shellharbour	2011		574
Kiama - Shellharbour	2011	Clerical and administrative workers	5091
Kiama - Shellharbour	2011	Community and personal service workers	4223
Kiama - Shellharbour	2011	Labourers	3633
Kiama - Shellharbour	2011	Machinery operators and drivers	3216
Kiama - Shellharbour	2011	Managers	3693
Kiama - Shellharbour	2011	Professionals	6086
Kiama - Shellharbour	2011	Sales workers	3848
Kiama - Shellharbour	2011	Technicians and trades workers	6207
Kiama - Shellharbour	2016		609
Kiama - Shellharbour	2016	Clerical and administrative workers	5126
Kiama - Shellharbour	2016	Community and personal service workers	5027
Kiama - Shellharbour	2016	Labourers	3812
Kiama - Shellharbour	2016	Machinery operators and drivers	3145
Kiama - Shellharbour	2016	Managers	4029
Kiama - Shellharbour	2016	Professionals	6642
Kiama - Shellharbour	2016	Sales workers	4052
Kiama - Shellharbour	2016	Technicians and trades workers	6614
Wollongong	2006		776
Wollongong	2006	Clerical and administrative workers	7305
Wollongong	2006	Community and personal service workers	5043
Wollongong	2006	Labourers	3666
Wollongong	2006	Machinery operators and drivers	3124
Wollongong	2006	Managers	5379
Wollongong	2006	Professionals	12443
Wollongong	2006	Sales workers	4434
Wollongong	2006	Technicians and trades workers	7460
Wollongong	2011		839
Wollongong	2011	Clerical and administrative workers	7632
Wollongong	2011	Community and personal service workers	6178
Wollongong	2011	Labourers	3936
Wollongong	2011	Machinery operators and drivers	3085
Wollongong	2011	Managers	5827
Wollongong	2011	Professionals	14249
Wollongong	2011	Sales workers	4441
Wollongong	2011	Technicians and trades workers	7696
Wollongong	2016		880
Wollongong	2016	Clerical and administrative workers	7632
Wollongong	2016	Community and personal service workers	7125
Wollongong	2016	Labourers	4282
Wollongong	2016	Machinery operators and drivers	2850
Wollongong	2016	Managers	6596
Wollongong	2016	Professionals	15637
Wollongong	2016	Sales workers	4817
Wollongong	2016	Technicians and trades workers	7818
Great Lakes	2006		160
Great Lakes	2006	Clerical and administrative workers	1079
Great Lakes	2006	Community and personal service workers	1030
Great Lakes	2006	Labourers	1396
Great Lakes	2006	Machinery operators and drivers	589
Great Lakes	2006	Managers	1324
Great Lakes	2006	Professionals	1282
Great Lakes	2006	Sales workers	1094
Great Lakes	2006	Technicians and trades workers	1524
Great Lakes	2011		164
Great Lakes	2011	Clerical and administrative workers	1110
Great Lakes	2011	Community and personal service workers	1187
Great Lakes	2011	Labourers	1313
