SA3_NAME16	Year	overseas_visitors
Marrickville - Sydenham - Petersham	2011	462
Marrickville - Sydenham - Petersham	2016	590
Sydney Inner City	2006	13470
Sydney Inner City	2011	15068
Sydney Inner City	2016	23918
Eastern Suburbs - North	2006	2836
Eastern Suburbs - North	2011	2353
Eastern Suburbs - North	2016	2866
Eastern Suburbs - South	2006	2489
Eastern Suburbs - South	2011	2587
Eastern Suburbs - South	2016	3508
Bankstown	2006	646
Bankstown	2011	812
Bankstown	2016	1499
Canterbury	2006	847
Canterbury	2011	890
Canterbury	2016	1542
Hurstville	2006	874
Hurstville	2011	1221
Hurstville	2016	2239
Kogarah - Rockdale	2006	1017
Kogarah - Rockdale	2011	1219
Kogarah - Rockdale	2016	2411
Canada Bay	2006	525
Canada Bay	2011	676
Canada Bay	2016	1382
Leichhardt	2006	524
Leichhardt	2011	536
Leichhardt	2016	542
Strathfield - Burwood - Ashfield	2006	1712
Strathfield - Burwood - Ashfield	2011	1677
Strathfield - Burwood - Ashfield	2016	2840
Chatswood - Lane Cove	2006	1581
Chatswood - Lane Cove	2011	1654
Chatswood - Lane Cove	2016	3019
Hornsby	2006	514
Hornsby	2011	755
Hornsby	2016	1144
Ku-ring-gai	2006	1083
Ku-ring-gai	2011	1240
Ku-ring-gai	2016	2035
North Sydney - Mosman	2006	1616
North Sydney - Mosman	2011	1498
North Sydney - Mosman	2016	1592
Manly	2006	926
Manly	2011	721
Manly	2016	788
Pittwater	2006	423
Pittwater	2011	373
Pittwater	2016	498
Warringah	2006	1270
Warringah	2011	1155
Warringah	2016	1458
Camden	2006	122
Camden	2011	128
Camden	2016	220
Campbelltown (NSW)	2006	469
Campbelltown (NSW)	2011	507
Campbelltown (NSW)	2016	1199
Wollondilly	2006	131
Wollondilly	2011	66
Wollondilly	2016	100
Blue Mountains	2006	624
Blue Mountains	2011	494
Blue Mountains	2016	926
Blue Mountains - South	2006	0
Blue Mountains - South	2011	0
Blue Mountains - South	2016	0
Penrith	2006	362
Penrith	2011	350
Penrith	2016	729
Richmond - Windsor	2006	119
Richmond - Windsor	2011	109
Richmond - Windsor	2016	115
St Marys	2006	176
St Marys	2011	134
St Marys	2016	244
Auburn	2006	657
Auburn	2011	829
Auburn	2016	1646
Carlingford	2006	500
Carlingford	2011	601
Carlingford	2016	1112
Merrylands - Guildford	2006	548
Merrylands - Guildford	2011	625
Merrylands - Guildford	2016	1230
Parramatta	2006	1531
Parramatta	2011	2144
Parramatta	2016	3469
Pennant Hills - Epping	2006	422
Pennant Hills - Epping	2011	499
Pennant Hills - Epping	2016	884
Ryde - Hunters Hill	2006	1945
Ryde - Hunters Hill	2011	2130
Ryde - Hunters Hill	2016	3222
Bringelly - Green Valley	2006	195
Bringelly - Green Valley	2011	246
Bringelly - Green Valley	2016	456
Fairfield	2006	529
Fairfield	2011	607
Fairfield	2016	1131
Liverpool	2006	345
Liverpool	2011	587
Liverpool	2016	1086
Cronulla - Miranda - Caringbah	2006	526
Cronulla - Miranda - Caringbah	2011	500
Cronulla - Miranda - Caringbah	2016	629
Sutherland - Menai - Heathcote	2006	303
Sutherland - Menai - Heathcote	2011	342
Sutherland - Menai - Heathcote	2016	498
Migratory - Offshore - Shipping (NSW)	2006	77
Migratory - Offshore - Shipping (NSW)	2011	165
Migratory - Offshore - Shipping (NSW)	2016	333
No usual address (NSW)	2006	0
No usual address (NSW)	2011	0
No usual address (NSW)	2016	0
Ballarat	2006	277
Ballarat	2011	312
Ballarat	2016	409
Creswick - Daylesford - Ballan	2006	49
Creswick - Daylesford - Ballan	2011	82
Creswick - Daylesford - Ballan	2016	89
Maryborough - Pyrenees	2006	21
Maryborough - Pyrenees	2011	28
Maryborough - Pyrenees	2016	46
Bendigo	2006	204
Bendigo	2011	200
Bendigo	2016	357
Heathcote - Castlemaine - Kyneton	2006	103
Heathcote - Castlemaine - Kyneton	2011	156
Heathcote - Castlemaine - Kyneton	2016	155
Loddon - Elmore	2006	12
Loddon - Elmore	2011	12
Loddon - Elmore	2016	30
Barwon - West	2006	39
Barwon - West	2011	48
Barwon - West	2016	47
Geelong	2006	635
Geelong	2011	717
Geelong	2016	975
Surf Coast - Bellarine Peninsula	2006	237
Surf Coast - Bellarine Peninsula	2011	292
Surf Coast - Bellarine Peninsula	2016	311
Upper Goulburn Valley	2006	321
Upper Goulburn Valley	2011	549
Upper Goulburn Valley	2016	588
Wangaratta - Benalla	2006	99
Wangaratta - Benalla	2011	114
Wangaratta - Benalla	2016	120
Wodonga - Alpine	2006	421
Wodonga - Alpine	2011	401
Wodonga - Alpine	2016	519
Baw Baw	2006	100
Baw Baw	2011	105
Baw Baw	2016	239
Gippsland - East	2006	103
Gippsland - East	2011	149
Gippsland - East	2016	176
Gippsland - South West	2006	189
Gippsland - South West	2011	276
Gippsland - South West	2016	272
Latrobe Valley	2006	182
Latrobe Valley	2011	169
Latrobe Valley	2016	154
Wellington	2006	102
Wellington	2011	167
Wellington	2016	168
Brunswick - Coburg	2006	511
Brunswick - Coburg	2011	675
Brunswick - Coburg	2016	848
Darebin - South	2006	265
Darebin - South	2011	248
Darebin - South	2016	349
Essendon	2006	332
Essendon	2011	444
Essendon	2016	647
Melbourne City	2006	8567
Melbourne City	2011	9805
Melbourne City	2016	16312
Port Phillip	2006	1870
Port Phillip	2011	2181
Port Phillip	2016	2737
Stonnington - West	2006	824
Stonnington - West	2011	1058
Stonnington - West	2016	1355
Yarra	2006	777
Yarra	2011	766
Yarra	2016	1312
Boroondara	2006	1538
Boroondara	2011	1973
Boroondara	2016	2994
Manningham - West	2006	686
Manningham - West	2011	814
Manningham - West	2016	1802
Whitehorse - West	2006	980
Whitehorse - West	2011	1273
Whitehorse - West	2016	2360
Bayside	2006	605
Bayside	2011	597
Bayside	2016	943
Glen Eira	2006	1039
Glen Eira	2011	1264
Glen Eira	2016	1930
Kingston	2006	460
Kingston	2011	545
Kingston	2016	888
Stonnington - East	2006	356
Stonnington - East	2011	421
Stonnington - East	2016	527
Banyule	2006	540
Banyule	2011	633
Banyule	2016	1099
Darebin - North	2006	729
Darebin - North	2011	1004
Darebin - North	2016	1324
Nillumbik - Kinglake	2006	188
Nillumbik - Kinglake	2011	227
Nillumbik - Kinglake	2016	281
Whittlesea - Wallan	2006	367
Whittlesea - Wallan	2011	841
Whittlesea - Wallan	2016	1920
Keilor	2006	158
Keilor	2011	184
Keilor	2016	359
Macedon Ranges	2006	59
Macedon Ranges	2011	95
Macedon Ranges	2016	82
Moreland - North	2006	265
Moreland - North	2011	457
Moreland - North	2016	683
Sunbury	2006	82
Sunbury	2011	80
Sunbury	2016	158
Tullamarine - Broadmeadows	2006	407
Tullamarine - Broadmeadows	2011	720
Tullamarine - Broadmeadows	2016	1372
Knox	2006	563
Knox	2011	727
Knox	2016	1523
Manningham - East	2006	131
Manningham - East	2011	126
Manningham - East	2016	188
Maroondah	2006	251
Maroondah	2011	433
Maroondah	2016	848
Whitehorse - East	2006	327
Whitehorse - East	2011	493
Whitehorse - East	2016	964
Yarra Ranges	2006	427
Yarra Ranges	2011	393
Yarra Ranges	2016	577
Cardinia	2006	120
Cardinia	2011	215
Cardinia	2016	457
Casey - North	2006	440
Casey - North	2011	583
Casey - North	2016	1085
Casey - South	2006	327
Casey - South	2011	675
Casey - South	2016	1665
Dandenong	2006	856
Dandenong	2011	1190
Dandenong	2016	2423
Monash	2006	1844
Monash	2011	2434
Monash	2016	4406
Brimbank	2006	505
Brimbank	2011	905
Brimbank	2016	1543
Hobsons Bay	2006	348
Hobsons Bay	2011	430
Hobsons Bay	2016	577
Maribyrnong	2006	443
Maribyrnong	2011	691
Maribyrnong	2016	1040
Melton - Bacchus Marsh	2006	209
Melton - Bacchus Marsh	2011	519
Melton - Bacchus Marsh	2016	990
Wyndham	2006	521
Wyndham	2011	1391
Wyndham	2016	3594
Frankston	2006	393
Frankston	2011	400
Frankston	2016	641
Mornington Peninsula	2006	429
Mornington Peninsula	2011	537
Mornington Peninsula	2016	583
Grampians	2006	174
Grampians	2011	192
Grampians	2016	223
Mildura	2006	415
Mildura	2011	423
Mildura	2016	820
Murray River - Swan Hill	2006	169
Murray River - Swan Hill	2011	247
Murray River - Swan Hill	2016	306
Campaspe	2006	57
Campaspe	2011	78
Campaspe	2016	115
Moira	2006	55
Moira	2011	73
Moira	2016	124
Shepparton	2006	119
Shepparton	2011	200
Shepparton	2016	361
Glenelg - Southern Grampians	2006	125
Glenelg - Southern Grampians	2011	120
Glenelg - Southern Grampians	2016	151
Colac - Corangamite	2006	215
Colac - Corangamite	2011	230
Colac - Corangamite	2016	556
Warrnambool	2006	190
Warrnambool	2011	266
Warrnambool	2016	397
Migratory - Offshore - Shipping (Vic.)	2006	78
Migratory - Offshore - Shipping (Vic.)	2011	73
Migratory - Offshore - Shipping (Vic.)	2016	34
No usual address (Vic.)	2006	0
No usual address (Vic.)	2011	0
No usual address (Vic.)	2016	0
Capalaba	2006	357
Capalaba	2011	382
Capalaba	2016	381
Cleveland - Stradbroke	2006	508
Cleveland - Stradbroke	2011	474
Cleveland - Stradbroke	2016	572
Wynnum - Manly	2006	420
Wynnum - Manly	2011	466
Wynnum - Manly	2016	507
Bald Hills - Everton Park	2006	276
Bald Hills - Everton Park	2011	248
Bald Hills - Everton Park	2016	393
Chermside	2006	485
Chermside	2011	511
Chermside	2016	628
Nundah	2006	305
Nundah	2011	360
Nundah	2016	413
Sandgate	2006	280
Sandgate	2011	375
Sandgate	2016	512
Carindale	2006	410
Carindale	2011	369
Carindale	2016	541
Holland Park - Yeronga	2006	665
Holland Park - Yeronga	2011	799
Holland Park - Yeronga	2016	1016
Mt Gravatt	2006	942
Mt Gravatt	2011	993
Mt Gravatt	2016	1580
Nathan	2006	597
Nathan	2011	599
Nathan	2016	653
Rocklea - Acacia Ridge	2006	437
Rocklea - Acacia Ridge	2011	568
Rocklea - Acacia Ridge	2016	1268
Sunnybank	2006	683
Sunnybank	2011	889
Sunnybank	2016	1378
Centenary	2006	402
Centenary	2011	354
Centenary	2016	376
Kenmore - Brookfield - Moggill	2006	621
Kenmore - Brookfield - Moggill	2011	456
Kenmore - Brookfield - Moggill	2016	607
Sherwood - Indooroopilly	2006	1282
Sherwood - Indooroopilly	2011	1323
Sherwood - Indooroopilly	2016	1559
The Gap - Enoggera	2006	447
The Gap - Enoggera	2011	304
The Gap - Enoggera	2016	369
Brisbane Inner	2006	6102
Brisbane Inner	2011	5236
Brisbane Inner	2016	7268
Brisbane Inner - East	2006	434
Brisbane Inner - East	2011	439
Brisbane Inner - East	2016	464
Brisbane Inner - North	2006	1192
Brisbane Inner - North	2011	1100
Brisbane Inner - North	2016	1531
Brisbane Inner - West	2006	1094
Brisbane Inner - West	2011	886
Brisbane Inner - West	2016	882
Cairns - North	2006	2412
Cairns - North	2011	1936
Cairns - North	2016	2121
Cairns - South	2006	9365
Cairns - South	2011	6560
Cairns - South	2016	8081
Innisfail - Cassowary Coast	2006	818
Innisfail - Cassowary Coast	2011	680
Innisfail - Cassowary Coast	2016	1116
Port Douglas - Daintree	2006	2710
Port Douglas - Daintree	2011	2578
Port Douglas - Daintree	2016	2497
Tablelands (East) - Kuranda	2006	434
Tablelands (East) - Kuranda	2011	473
Tablelands (East) - Kuranda	2016	862
Darling Downs (West) - Maranoa	2006	205
Darling Downs (West) - Maranoa	2011	307
Darling Downs (West) - Maranoa	2016	273
Darling Downs - East	2006	154
Darling Downs - East	2011	117
Darling Downs - East	2016	152
Granite Belt	2006	145
Granite Belt	2011	199
Granite Belt	2016	230
Central Highlands (Qld)	2006	208
Central Highlands (Qld)	2011	238
Central Highlands (Qld)	2016	484
Rockhampton	2006	996
Rockhampton	2011	575
Rockhampton	2016	711
Biloela	2006	111
Biloela	2011	120
Biloela	2016	77
Gladstone	2006	532
Gladstone	2011	581
Gladstone	2016	562
Broadbeach - Burleigh	2006	2752
Broadbeach - Burleigh	2011	3144
Broadbeach - Burleigh	2016	3203
Coolangatta	2006	1236
Coolangatta	2011	970
Coolangatta	2016	1160
Gold Coast - North	2006	951
Gold Coast - North	2011	855
Gold Coast - North	2016	1065
Gold Coast Hinterland	2006	210
Gold Coast Hinterland	2011	139
Gold Coast Hinterland	2016	202
Mudgeeraba - Tallebudgera	2006	167
Mudgeeraba - Tallebudgera	2011	195
Mudgeeraba - Tallebudgera	2016	259
Nerang	2006	550
Nerang	2011	417
Nerang	2016	678
Ormeau - Oxenford	2006	725
Ormeau - Oxenford	2011	679
Ormeau - Oxenford	2016	1049
Robina	2006	658
Robina	2011	669
Robina	2016	736
Southport	2006	867
Southport	2011	942
Southport	2016	1405
Surfers Paradise	2006	6169
Surfers Paradise	2011	4598
Surfers Paradise	2016	7301
Forest Lake - Oxley	2006	402
Forest Lake - Oxley	2011	449
Forest Lake - Oxley	2016	696
Ipswich Hinterland	2006	255
Ipswich Hinterland	2011	187
Ipswich Hinterland	2016	274
Ipswich Inner	2006	356
Ipswich Inner	2011	274
Ipswich Inner	2016	369
Springfield - Redbank	2006	242
Springfield - Redbank	2011	373
Springfield - Redbank	2016	616
Beaudesert	2006	144
Beaudesert	2011	57
Beaudesert	2016	67
Beenleigh	2006	140
Beenleigh	2011	140
Beenleigh	2016	192
Browns Plains	2006	258
Browns Plains	2011	330
Browns Plains	2016	481
Jimboomba	2006	272
Jimboomba	2011	128
Jimboomba	2016	259
Loganlea - Carbrook	2006	298
Loganlea - Carbrook	2011	296
Loganlea - Carbrook	2016	387
Springwood - Kingston	2006	446
Springwood - Kingston	2011	508
Springwood - Kingston	2016	607
Bowen Basin - North	2006	632
Bowen Basin - North	2011	617
Bowen Basin - North	2016	594
Mackay	2006	688
Mackay	2011	577
Mackay	2016	621
Whitsunday	2006	2270
Whitsunday	2011	1326
Whitsunday	2016	2829
Bribie - Beachmere	2006	211
Bribie - Beachmere	2011	210
Bribie - Beachmere	2016	227
Caboolture	2006	235
Caboolture	2011	404
Caboolture	2016	778
Caboolture Hinterland	2006	31
Caboolture Hinterland	2011	55
Caboolture Hinterland	2016	70
Narangba - Burpengary	2006	177
Narangba - Burpengary	2011	181
Narangba - Burpengary	2016	260
Redcliffe	2006	508
Redcliffe	2011	459
Redcliffe	2016	865
The Hills District	2006	422
The Hills District	2011	364
The Hills District	2016	457
North Lakes	2006	165
North Lakes	2011	237
North Lakes	2016	502
Strathpine	2006	127
Strathpine	2011	143
Strathpine	2016	172
Far North	2006	412
Far North	2011	574
Far North	2016	613
Outback - North	2006	324
Outback - North	2011	381
Outback - North	2016	254
Outback - South	2006	135
Outback - South	2011	211
Outback - South	2016	148
Buderim	2006	623
Buderim	2011	594
Buderim	2016	701
Caloundra	2006	970
Caloundra	2011	882
Caloundra	2016	1055
Maroochy	2006	2479
Maroochy	2011	2339
Maroochy	2016	2625
Noosa	2006	1988
Noosa	2011	1805
Noosa	2016	1975
Sunshine Coast Hinterland	2006	338
Sunshine Coast Hinterland	2011	367
Sunshine Coast Hinterland	2016	453
Nambour	2006	177
Nambour	2011	179
Nambour	2016	226
Noosa Hinterland	2006	126
Noosa Hinterland	2011	143
Noosa Hinterland	2016	157
Toowoomba	2006	946
Toowoomba	2011	872
Toowoomba	2016	1031
Charters Towers - Ayr - Ingham	2006	513
Charters Towers - Ayr - Ingham	2011	586
Charters Towers - Ayr - Ingham	2016	499
Townsville	2006	1856
Townsville	2011	1620
Townsville	2016	1899
Bundaberg	2006	1024
Bundaberg	2011	1142
Bundaberg	2016	1151
Burnett	2006	244
Burnett	2011	395
Burnett	2016	404
Gympie - Cooloola	2006	319
Gympie - Cooloola	2011	411
Gympie - Cooloola	2016	537
Hervey Bay	2006	981
Hervey Bay	2011	698
Hervey Bay	2016	1033
Maryborough	2006	599
Maryborough	2011	431
Maryborough	2016	358
Migratory - Offshore - Shipping (Qld)	2006	320
Migratory - Offshore - Shipping (Qld)	2011	797
Migratory - Offshore - Shipping (Qld)	2016	388
No usual address (Qld)	2006	0
No usual address (Qld)	2011	0
No usual address (Qld)	2016	0
Adelaide City	2006	1713
Adelaide City	2011	1954
Adelaide City	2016	2389
Adelaide Hills	2006	295
Adelaide Hills	2011	288
Adelaide Hills	2016	277
Burnside	2006	427
Burnside	2011	464
Burnside	2016	606
Campbelltown (SA)	2006	299
Campbelltown (SA)	2011	350
Campbelltown (SA)	2016	536
Norwood - Payneham - St Peters	2006	309
Norwood - Payneham - St Peters	2011	413
Norwood - Payneham - St Peters	2016	425
Prospect - Walkerville	2006	173
Prospect - Walkerville	2011	212
Prospect - Walkerville	2016	310
Unley	2006	331
Unley	2011	307
Unley	2016	385
Gawler - Two Wells	2006	72
Gawler - Two Wells	2011	60
Gawler - Two Wells	2016	85
Playford	2006	101
Playford	2011	143
Playford	2016	227
Port Adelaide - East	2006	306
Port Adelaide - East	2011	390
Port Adelaide - East	2016	862
Salisbury	2006	374
Salisbury	2011	540
Salisbury	2016	1011
Tea Tree Gully	2006	425
Tea Tree Gully	2011	428
Tea Tree Gully	2016	535
Holdfast Bay	2006	369
Holdfast Bay	2011	383
Holdfast Bay	2016	323
Marion	2006	411
Marion	2011	549
Marion	2016	836
Mitcham	2006	510
Mitcham	2011	520
Mitcham	2016	599
Onkaparinga	2006	535
Onkaparinga	2011	517
Onkaparinga	2016	687
Charles Sturt	2006	368
Charles Sturt	2011	453
Charles Sturt	2016	713
Port Adelaide - West	2006	199
Port Adelaide - West	2011	256
Port Adelaide - West	2016	471
West Torrens	2006	384
West Torrens	2011	471
West Torrens	2016	628
Barossa	2006	144
Barossa	2011	132
Barossa	2016	165
Lower North	2006	74
Lower North	2011	110
Lower North	2016	70
Mid North	2006	40
Mid North	2011	46
Mid North	2016	81
Yorke Peninsula	2006	38
Yorke Peninsula	2011	43
Yorke Peninsula	2016	48
Eyre Peninsula and South West	2006	134
Eyre Peninsula and South West	2011	122
Eyre Peninsula and South West	2016	219
Outback - North and East	2006	292
Outback - North and East	2011	222
Outback - North and East	2016	291
Fleurieu - Kangaroo Island	2006	343
Fleurieu - Kangaroo Island	2011	410
Fleurieu - Kangaroo Island	2016	442
Limestone Coast	2006	240
Limestone Coast	2011	250
Limestone Coast	2016	353
Murray and Mallee	2006	297
Murray and Mallee	2011	378
Murray and Mallee	2016	772
Migratory - Offshore - Shipping (SA)	2006	35
Migratory - Offshore - Shipping (SA)	2011	35
Migratory - Offshore - Shipping (SA)	2016	18
No usual address (SA)	2006	0
No usual address (SA)	2011	0
No usual address (SA)	2016	0
Augusta - Margaret River - Busselton	2006	580
Augusta - Margaret River - Busselton	2011	537
Augusta - Margaret River - Busselton	2016	982
Bunbury	2006	257
Bunbury	2011	402
Bunbury	2016	520
Manjimup	2006	249
Manjimup	2011	250
Manjimup	2016	291
Mandurah	2006	264
Mandurah	2011	398
Mandurah	2016	462
Cottesloe - Claremont	2006	1266
Cottesloe - Claremont	2011	1328
Cottesloe - Claremont	2016	1385
Perth City	2006	4216
Perth City	2011	4350
Perth City	2016	4547
Bayswater - Bassendean	2006	433
Bayswater - Bassendean	2011	636
Bayswater - Bassendean	2016	858
Mundaring	2006	139
Mundaring	2011	141
Mundaring	2016	174
Swan	2006	445
Swan	2011	529
Swan	2016	1054
Joondalup	2006	1262
Joondalup	2011	1178
Joondalup	2016	1194
Stirling	2006	1313
Stirling	2011	1604
Stirling	2016	2186
Wanneroo	2006	609
Wanneroo	2011	873
Wanneroo	2016	1427
Armadale	2006	221
Armadale	2011	285
Armadale	2016	797
Belmont - Victoria Park	2006	677
Belmont - Victoria Park	2011	983
Belmont - Victoria Park	2016	1224
Canning	2006	932
Canning	2011	1219
Canning	2016	1851
Gosnells	2006	439
Gosnells	2011	751
Gosnells	2016	1410
Kalamunda	2006	296
Kalamunda	2011	296
Kalamunda	2016	360
Serpentine - Jarrahdale	2006	46
Serpentine - Jarrahdale	2011	81
Serpentine - Jarrahdale	2016	157
South Perth	2006	793
South Perth	2011	849
South Perth	2016	771
Cockburn	2006	465
Cockburn	2011	552
Cockburn	2016	1034
Fremantle	2006	605
Fremantle	2011	682
Fremantle	2016	614
Kwinana	2006	54
Kwinana	2011	113
Kwinana	2016	324
Melville	2006	1063
Melville	2011	1150
Melville	2016	1329
Rockingham	2006	350
Rockingham	2011	521
Rockingham	2016	696
Albany	2006	302
Albany	2011	314
Albany	2016	449
Wheat Belt - North	2006	496
Wheat Belt - North	2011	465
Wheat Belt - North	2016	557
Wheat Belt - South	2006	106
Wheat Belt - South	2011	144
Wheat Belt - South	2016	114
Kimberley	2006	1137
Kimberley	2011	1403
Kimberley	2016	1312
East Pilbara	2006	240
East Pilbara	2011	336
East Pilbara	2016	341
West Pilbara	2006	270
West Pilbara	2011	529
West Pilbara	2016	805
Esperance	2006	91
Esperance	2011	88
Esperance	2016	74
Gascoyne	2006	589
Gascoyne	2011	551
Gascoyne	2016	557
Goldfields	2006	273
Goldfields	2011	357
Goldfields	2016	291
Mid West	2006	426
Mid West	2011	547
Mid West	2016	622
Migratory - Offshore - Shipping (WA)	2006	376
Migratory - Offshore - Shipping (WA)	2011	459
Migratory - Offshore - Shipping (WA)	2016	465
No usual address (WA)	2006	0
No usual address (WA)	2011	0
No usual address (WA)	2016	0
Brighton	2006	8
Brighton	2011	7
Brighton	2016	15
Hobart - North East	2006	132
Hobart - North East	2011	131
Hobart - North East	2016	150
Hobart - North West	2006	54
Hobart - North West	2011	89
Hobart - North West	2016	143
Hobart - South and West	2006	73
Hobart - South and West	2011	132
Hobart - South and West	2016	163
Hobart Inner	2006	629
Hobart Inner	2011	717
Hobart Inner	2016	1093
Sorell - Dodges Ferry	2006	26
Sorell - Dodges Ferry	2011	16
Sorell - Dodges Ferry	2016	37
Launceston	2006	339
Launceston	2011	396
Launceston	2016	524
Meander Valley - West Tamar	2006	36
Meander Valley - West Tamar	2011	58
Meander Valley - West Tamar	2016	43
North East	2006	94
North East	2011	116
North East	2016	91
Central Highlands (Tas.)	2006	30
Central Highlands (Tas.)	2011	44
Central Highlands (Tas.)	2016	30
Huon - Bruny Island	2006	38
Huon - Bruny Island	2011	40
Huon - Bruny Island	2016	68
South East Coast	2006	52
South East Coast	2011	72
South East Coast	2016	142
Burnie - Ulverstone	2006	86
Burnie - Ulverstone	2011	134
Burnie - Ulverstone	2016	97
Devonport	2006	129
Devonport	2011	123
Devonport	2016	249
West Coast	2006	48
West Coast	2011	95
West Coast	2016	69
Migratory - Offshore - Shipping (Tas.)	2006	31
Migratory - Offshore - Shipping (Tas.)	2011	26
Migratory - Offshore - Shipping (Tas.)	2016	43
No usual address (Tas.)	2006	0
No usual address (Tas.)	2011	0
No usual address (Tas.)	2016	0
Darwin City	2006	1760
Darwin City	2011	1686
Darwin City	2016	2466
Darwin Suburbs	2006	622
Darwin Suburbs	2011	535
Darwin Suburbs	2016	967
Litchfield	2006	156
Litchfield	2011	152
Litchfield	2016	1136
Palmerston	2006	97
Palmerston	2011	127
Palmerston	2016	269
Alice Springs	2006	2345
Alice Springs	2011	2336
Alice Springs	2016	2378
Barkly	2006	134
Barkly	2011	147
