SA3_NAME16	Year	medianTotalFamilyIncomeWeekly
Prospect - Walkerville	2006	1513
Unley	2006	1665
Gawler - Two Wells	2006	1133
Playford	2006	898
Port Adelaide - East	2006	1020
Salisbury	2006	1041
Tea Tree Gully	2006	1234
Holdfast Bay	2006	1352
Marion	2006	1135
Mitcham	2006	1422
Onkaparinga	2006	1098
Charles Sturt	2006	1097
Port Adelaide - West	2006	1003
West Torrens	2006	1122
Barossa	2006	1125
Lower North	2006	950
Mid North	2006	843
Yorke Peninsula	2006	738
Eyre Peninsula and South West	2006	1029
Outback - North and East	2006	1099
Fleurieu - Kangaroo Island	2006	854
Limestone Coast	2006	1082
Murray and Mallee	2006	938
Migratory - Offshore - Shipping (SA)	2006	0
No usual address (SA)	2006	0
Augusta - Margaret River - Busselton	2006	1109
Bunbury	2006	1216
Manjimup	2006	1027
Mandurah	2006	1046
Cottesloe - Claremont	2006	2248
Perth City	2006	1765
Bayswater - Bassendean	2006	1206
Mundaring	2006	1279
Swan	2006	1209
Joondalup	2006	1479
Stirling	2006	1253
Wanneroo	2006	1205
Armadale	2006	1139
Belmont - Victoria Park	2006	1177
Canning	2006	1260
Gosnells	2006	1185
Kalamunda	2006	1311
Serpentine - Jarrahdale	2006	1330
South Perth	2006	1644
Cockburn	2006	1266
Fremantle	2006	1369
Kwinana	2006	1059
Melville	2006	1537
Rockingham	2006	1186
Albany	2006	1034
Wheat Belt - North	2006	1050
Wheat Belt - South	2006	1070
Kimberley	2006	1079
East Pilbara	2006	2039
West Pilbara	2006	2275
Esperance	2006	1106
Gascoyne	2006	1111
Goldfields	2006	1645
Mid West	2006	1098
Migratory - Offshore - Shipping (WA)	2006	0
No usual address (WA)	2006	0
Brighton	2006	949
Hobart - North East	2006	1133
Hobart - North West	2006	977
Hobart - South and West	2006	1219
Hobart Inner	2006	1386
Sorell - Dodges Ferry	2006	1016
Launceston	2006	1046
Meander Valley - West Tamar	2006	985
North East	2006	894
Central Highlands (Tas.)	2006	889
Huon - Bruny Island	2006	883
South East Coast	2006	745
Burnie - Ulverstone	2006	942
Devonport	2006	945
West Coast	2006	1020
Migratory - Offshore - Shipping (Tas.)	2006	0
No usual address (Tas.)	2006	0
Darwin City	2006	1786
Darwin Suburbs	2006	1452
Litchfield	2006	1457
Palmerston	2006	1419
Alice Springs	2006	1207
Barkly	2006	634
Daly - Tiwi - West Arnhem	2006	618
East Arnhem	2006	1024
Katherine	2006	934
Migratory - Offshore - Shipping (NT)	2006	0
No usual address (NT)	2006	0
Belconnen	2006	1667
Canberra East	2006	1197
Gungahlin	2006	1850
North Canberra	2006	1824
South Canberra	2006	2357
Tuggeranong	2006	1733
Weston Creek	2006	1832
Woden Valley	2006	1892
Molonglo	2006	0
Urriarra - Namadgi	2006	1454
Migratory - Offshore - Shipping (ACT)	2006	0
No usual address (ACT)	2006	0
Christmas Island	2006	1415
Cocos (Keeling) Islands	2006	1022
Jervis Bay	2006	1031
Norfolk Island	2006	0
Migratory - Offshore - Shipping (OT)	2006	0
No usual address (OT)	2006	0
Queanbeyan	2011	2070
Snowy Mountains	2011	1252
South Coast	2011	972
Goulburn - Mulwaree	2011	1263
Young - Yass	2011	1354
Gosford	2011	1396
Wyong	2011	1169
Bathurst	2011	1414
Lachlan Valley	2011	1025
Lithgow - Mudgee	2011	1182
Orange	2011	1450
Clarence Valley	2011	925
Coffs Harbour	2011	1065
Bourke - Cobar - Coonamble	2011	1111
Broken Hill and Far West	2011	987
Dubbo	2011	1163
Lower Hunter	2011	1417
Maitland	2011	1582
Port Stephens	2011	1212
Upper Hunter	2011	1533
Dapto - Port Kembla	2011	1241
Illawarra Catchment Reserve	2011	0
Kiama - Shellharbour	2011	1387
Wollongong	2011	1568
Great Lakes	2011	885
Kempsey - Nambucca	2011	881
Lord Howe Island	2011	1284
Port Macquarie	2011	1008
Taree - Gloucester	2011	935
Albury	2011	1326
Lower Murray	2011	1062
Upper Murray exc. Albury	2011	1045
Armidale	2011	1217
Inverell - Tenterfield	2011	920
Moree - Narrabri	2011	1264
Tamworth - Gunnedah	2011	1163
Lake Macquarie - East	2011	1461
Lake Macquarie - West	2011	1295
Newcastle	2011	1508
Richmond Valley - Coastal	2011	1095
Richmond Valley - Hinterland	2011	1044
Tweed Valley	2011	1045
Griffith - Murrumbidgee (West)	2011	1215
Tumut - Tumbarumba	2011	1187
Wagga Wagga	2011	1299
Shoalhaven	2011	984
Southern Highlands	2011	1347
Baulkham Hills	2011	2299
Dural - Wisemans Ferry	2011	2021
Hawkesbury	2011	1735
Rouse Hill - McGraths Hill	2011	2130
Blacktown	2011	1440
Blacktown - North	2011	2010
Mount Druitt	2011	1231
Botany	2011	1489
Marrickville - Sydenham - Petersham	2011	1873
Sydney Inner City	2011	2274
Eastern Suburbs - North	2011	2661
Eastern Suburbs - South	2011	2066
Bankstown	2011	1246
Canterbury	2011	1114
Hurstville	2011	1513
Kogarah - Rockdale	2011	1459
Canada Bay	2011	2177
Leichhardt	2011	2739
Strathfield - Burwood - Ashfield	2011	1623
Chatswood - Lane Cove	2011	2540
Hornsby	2011	2006
Ku-ring-gai	2011	2680
North Sydney - Mosman	2011	2791
Manly	2011	2649
Pittwater	2011	2136
Warringah	2011	2080
Camden	2011	1920
Campbelltown (NSW)	2011	1393
Wollondilly	2011	1619
Blue Mountains	2011	1629
Blue Mountains - South	2011	0
Penrith	2011	1635
Richmond - Windsor	2011	1455
St Marys	2011	1478
Auburn	2011	1161
Carlingford	2011	1660
Merrylands - Guildford	2011	1185
Parramatta	2011	1533
Pennant Hills - Epping	2011	2251
Ryde - Hunters Hill	2011	1913
Bringelly - Green Valley	2011	1388
Fairfield	2011	1081
Liverpool	2011	1416
Cronulla - Miranda - Caringbah	2011	1942
Sutherland - Menai - Heathcote	2011	2074
Migratory - Offshore - Shipping (NSW)	2011	0
No usual address (NSW)	2011	0
Ballarat	2011	1280
Creswick - Daylesford - Ballan	2011	1183
Maryborough - Pyrenees	2011	916
Bendigo	2011	1253
Heathcote - Castlemaine - Kyneton	2011	1230
Loddon - Elmore	2011	965
Barwon - West	2011	1432
Geelong	2011	1343
Surf Coast - Bellarine Peninsula	2011	1408
Upper Goulburn Valley	2011	1157
Wangaratta - Benalla	2011	1147
Wodonga - Alpine	2011	1253
Baw Baw	2011	1274
Gippsland - East	2011	989
Gippsland - South West	2011	1107
Latrobe Valley	2011	1236
Wellington	2011	1171
Brunswick - Coburg	2011	1689
Darebin - South	2011	1881
Essendon	2011	2027
Melbourne City	2011	1959
Port Phillip	2011	2371
Stonnington - West	2011	2447
Yarra	2011	2198
Boroondara	2011	2505
Manningham - West	2011	1610
Whitehorse - West	2011	1705
Bayside	2011	2427
Glen Eira	2011	1914
Kingston	2011	1726
Stonnington - East	2011	2489
Banyule	2011	1734
Darebin - North	2011	1254
Nillumbik - Kinglake	2011	2030
Whittlesea - Wallan	2011	1387
Keilor	2011	1542
Macedon Ranges	2011	1770
Moreland - North	2011	1239
Sunbury	2011	1633
Tullamarine - Broadmeadows	2011	1222
Knox	2011	1614
Manningham - East	2011	2133
Maroondah	2011	1616
Whitehorse - East	2011	1657
Yarra Ranges	2011	1491
Cardinia	2011	1479
Casey - North	2011	1477
Casey - South	2011	1428
Dandenong	2011	1102
Monash	2011	1542
Brimbank	2011	1179
Hobsons Bay	2011	1611
Maribyrnong	2011	1524
Melton - Bacchus Marsh	2011	1486
Wyndham	2011	1539
Frankston	2011	1396
Mornington Peninsula	2011	1351
Grampians	2011	1092
Mildura	2011	1093
Murray River - Swan Hill	2011	1022
Campaspe	2011	1099
Moira	2011	1000
Shepparton	2011	1206
Glenelg - Southern Grampians	2011	1183
Colac - Corangamite	2011	1154
Warrnambool	2011	1289
Migratory - Offshore - Shipping (Vic.)	2011	0
No usual address (Vic.)	2011	0
Capalaba	2011	1688
Cleveland - Stradbroke	2011	1566
Wynnum - Manly	2011	1784
Bald Hills - Everton Park	2011	1884
Chermside	2011	1753
Nundah	2011	1681
Sandgate	2011	1568
Carindale	2011	2038
Holland Park - Yeronga	2011	1944
Mt Gravatt	2011	1655
Nathan	2011	1679
Rocklea - Acacia Ridge	2011	1641
Sunnybank	2011	1402
Centenary	2011	2104
Kenmore - Brookfield - Moggill	2011	2469
Sherwood - Indooroopilly	2011	2179
The Gap - Enoggera	2011	1982
Brisbane Inner	2011	2182
Brisbane Inner - East	2011	2399
Brisbane Inner - North	2011	2334
Brisbane Inner - West	2011	2489
Cairns - North	2011	1579
Cairns - South	2011	1325
Innisfail - Cassowary Coast	2011	1107
Port Douglas - Daintree	2011	1256
Tablelands (East) - Kuranda	2011	1057
Darling Downs (West) - Maranoa	2011	1283
Darling Downs - East	2011	1203
Granite Belt	2011	1003
Central Highlands (Qld)	2011	2254
Rockhampton	2011	1435
Biloela	2011	1654
Gladstone	2011	1942
Broadbeach - Burleigh	2011	1356
Coolangatta	2011	1264
Gold Coast - North	2011	1195
Gold Coast Hinterland	2011	1316
Mudgeeraba - Tallebudgera	2011	1469
Nerang	2011	1420
Ormeau - Oxenford	2011	1582
Robina	2011	1353
Southport	2011	1259
Surfers Paradise	2011	1417
Forest Lake - Oxley	2011	1350
Ipswich Hinterland	2011	1164
Ipswich Inner	2011	1367
Springfield - Redbank	2011	1489
Beaudesert	2011	1126
Beenleigh	2011	1218
Browns Plains	2011	1368
Jimboomba	2011	1621
Loganlea - Carbrook	2011	1485
Springwood - Kingston	2011	1288
Bowen Basin - North	2011	2222
Mackay	2011	1821
Whitsunday	2011	1410
Bribie - Beachmere	2011	949
Caboolture	2011	1191
Caboolture Hinterland	2011	1124
Narangba - Burpengary	2011	1405
Redcliffe	2011	1254
The Hills District	2011	2011
North Lakes	2011	1631
Strathpine	2011	1469
Far North	2011	1022
Outback - North	2011	1946
Outback - South	2011	1252
Buderim	2011	1398
Caloundra	2011	1183
Maroochy	2011	1209
Noosa	2011	1196
Sunshine Coast Hinterland	2011	1182
Nambour	2011	1204
Noosa Hinterland	2011	1146
Toowoomba	2011	1345
Charters Towers - Ayr - Ingham	2011	1221
Townsville	2011	1626
Bundaberg	2011	991
Burnett	2011	926
Gympie - Cooloola	2011	947
Hervey Bay	2011	905
Maryborough	2011	922
Migratory - Offshore - Shipping (Qld)	2011	0
No usual address (Qld)	2011	0
Adelaide City	2011	1857
Adelaide Hills	2011	1657
Burnside	2011	2124
Campbelltown (SA)	2011	1369
Norwood - Payneham - St Peters	2011	1685
Prospect - Walkerville	2011	1888
Unley	2011	2061
Gawler - Two Wells	2011	1370
Playford	2011	1061
Port Adelaide - East	2011	1216
Salisbury	2011	1198
Tea Tree Gully	2011	1503
Holdfast Bay	2011	1750
Marion	2011	1422
Mitcham	2011	1821
Onkaparinga	2011	1315
Charles Sturt	2011	1339
Port Adelaide - West	2011	1221
West Torrens	2011	1373
Barossa	2011	1351
Lower North	2011	1059
Mid North	2011	992
Yorke Peninsula	2011	907
Eyre Peninsula and South West	2011	1223
Outback - North and East	2011	1399
Fleurieu - Kangaroo Island	2011	974
Limestone Coast	2011	1191
Murray and Mallee	2011	1009
Migratory - Offshore - Shipping (SA)	2011	0
No usual address (SA)	2011	0
Augusta - Margaret River - Busselton	2011	1333
Bunbury	2011	1620
Manjimup	2011	1151
Mandurah	2011	1263
Cottesloe - Claremont	2011	2727
Perth City	2011	2418
Bayswater - Bassendean	2011	1623
Mundaring	2011	1731
Swan	2011	1665
Joondalup	2011	2036
Stirling	2011	1760
Wanneroo	2011	1694
Armadale	2011	1534
Belmont - Victoria Park	2011	1688
Canning	2011	1708
Gosnells	2011	1560
Kalamunda	2011	1794
Serpentine - Jarrahdale	2011	1772
South Perth	2011	2263
Cockburn	2011	1807
Fremantle	2011	1997
Kwinana	2011	1451
Melville	2011	2141
Rockingham	2011	1659
Albany	2011	1202
Wheat Belt - North	2011	1247
Wheat Belt - South	2011	1211
Kimberley	2011	1497
East Pilbara	2011	2881
West Pilbara	2011	2916
Esperance	2011	1421
Gascoyne	2011	1442
Goldfields	2011	2144
Mid West	2011	1385
Migratory - Offshore - Shipping (WA)	2011	0
No usual address (WA)	2011	0
Brighton	2011	1103
Hobart - North East	2011	1394
Hobart - North West	2011	1113
Hobart - South and West	2011	1522
Hobart Inner	2011	1786
Sorell - Dodges Ferry	2011	1216
Launceston	2011	1230
Meander Valley - West Tamar	2011	1066
North East	2011	998
Central Highlands (Tas.)	2011	1025
Huon - Bruny Island	2011	1054
South East Coast	2011	864
Burnie - Ulverstone	2011	1066
Devonport	2011	1075
West Coast	2011	1195
Migratory - Offshore - Shipping (Tas.)	2011	0
No usual address (Tas.)	2011	0
Darwin City	2011	2327
Darwin Suburbs	2011	1955
Litchfield	2011	1996
Palmerston	2011	2015
Alice Springs	2011	1597
Barkly	2011	904
Daly - Tiwi - West Arnhem	2011	791
East Arnhem	2011	1289
Katherine	2011	1187
Migratory - Offshore - Shipping (NT)	2011	0
No usual address (NT)	2011	0
Belconnen	2011	2121
Canberra East	2011	1578
Gungahlin	2011	2355
North Canberra	2011	2433
South Canberra	2011	2872
Tuggeranong	2011	2203
Weston Creek	2011	2259
Woden Valley	2011	2391
Molonglo	2011	0
Urriarra - Namadgi	2011	2296
Migratory - Offshore - Shipping (ACT)	2011	0
No usual address (ACT)	2011	0
Christmas Island	2011	2176
Cocos (Keeling) Islands	2011	1108
Jervis Bay	2011	933
Norfolk Island	2011	0
Migratory - Offshore - Shipping (OT)	2011	0
No usual address (OT)	2011	0
Queanbeyan	2016	2296
Snowy Mountains	2016	1539
South Coast	2016	1211
Goulburn - Mulwaree	2016	1491
Young - Yass	2016	1637
Gosford	2016	1691
Wyong	2016	1448
Bathurst	2016	1616
Lachlan Valley	2016	1305
Lithgow - Mudgee	2016	1375
Orange	2016	1670
Clarence Valley	2016	1133
Coffs Harbour	2016	1325
Bourke - Cobar - Coonamble	2016	1345
Broken Hill and Far West	2016	1260
Dubbo	2016	1429
Lower Hunter	2016	1543
Maitland	2016	1690
Port Stephens	2016	1402
Upper Hunter	2016	1629
Dapto - Port Kembla	2016	1486
Illawarra Catchment Reserve	2016	0
Kiama - Shellharbour	2016	1620
Wollongong	2016	1870
Great Lakes	2016	1079
Kempsey - Nambucca	2016	1096
Lord Howe Island	2016	1774
Port Macquarie	2016	1299
Taree - Gloucester	2016	1129
Albury	2016	1512
Lower Murray	2016	1345
Upper Murray exc. Albury	2016	1324
Armidale	2016	1453
Inverell - Tenterfield	2016	1122
Moree - Narrabri	2016	1518
Tamworth - Gunnedah	2016	1445
Lake Macquarie - East	2016	1683
Lake Macquarie - West	2016	1499
Newcastle	2016	1756
Richmond Valley - Coastal	2016	1396
Richmond Valley - Hinterland	2016	1265
Tweed Valley	2016	1332
Griffith - Murrumbidgee (West)	2016	1493
Tumut - Tumbarumba	2016	1417
Wagga Wagga	2016	1552
Shoalhaven	2016	1226
Southern Highlands	2016	1638
Baulkham Hills	2016	2468
Dural - Wisemans Ferry	2016	2308
Hawkesbury	2016	2038
Rouse Hill - McGraths Hill	2016	2455
Blacktown	2016	1723
Blacktown - North	2016	2305
Mount Druitt	2016	1509
Botany	2016	1921
Marrickville - Sydenham - Petersham	2016	2312
Sydney Inner City	2016	2526
Eastern Suburbs - North	2016	3245
Eastern Suburbs - South	2016	2421
Bankstown	2016	1485
Canterbury	2016	1370
Hurstville	2016	1765
Kogarah - Rockdale	2016	1763
Canada Bay	2016	2386
Leichhardt	2016	3324
Strathfield - Burwood - Ashfield	2016	1958
Chatswood - Lane Cove	2016	2784
Hornsby	2016	2248
Ku-ring-gai	2016	3048
North Sydney - Mosman	2016	3353
Manly	2016	3339
Pittwater	2016	2431
Warringah	2016	2427
Camden	2016	2181
Campbelltown (NSW)	2016	1596
Wollondilly	2016	1978
Blue Mountains	2016	1866
Blue Mountains - South	2016	0
Penrith	2016	1933
Richmond - Windsor	2016	1752
St Marys	2016	1694
Auburn	2016	1410
Carlingford	2016	1896
Merrylands - Guildford	2016	1403
Parramatta	2016	1879
Pennant Hills - Epping	2016	2441
Ryde - Hunters Hill	2016	2167
Bringelly - Green Valley	2016	1760
Fairfield	2016	1279
Liverpool	2016	1665
Cronulla - Miranda - Caringbah	2016	2277
Sutherland - Menai - Heathcote	2016	2343
Migratory - Offshore - Shipping (NSW)	2016	0
No usual address (NSW)	2016	0
Ballarat	2016	1499
Creswick - Daylesford - Ballan	2016	1405
Maryborough - Pyrenees	2016	1097
Bendigo	2016	1451
Heathcote - Castlemaine - Kyneton	2016	1479
Loddon - Elmore	2016	1231
Barwon - West	2016	1671
Geelong	2016	1573
Surf Coast - Bellarine Peninsula	2016	1702
Upper Goulburn Valley	2016	1386
Wangaratta - Benalla	2016	1347
Wodonga - Alpine	2016	1483
Baw Baw	2016	1463
Gippsland - East	2016	1190
Gippsland - South West	2016	1243
Latrobe Valley	2016	1414
Wellington	2016	1412
Brunswick - Coburg	2016	2100
Darebin - South	2016	2284
Essendon	2016	2281
Melbourne City	2016	2062
Port Phillip	2016	2559
Stonnington - West	2016	2637
Yarra	2016	2508
Boroondara	2016	2652
Manningham - West	2016	1781
Whitehorse - West	2016	1929
Bayside	2016	2765
Glen Eira	2016	2238
Kingston	2016	2048
Stonnington - East	2016	2750
Banyule	2016	2033
Darebin - North	2016	1542
Nillumbik - Kinglake	2016	2268
Whittlesea - Wallan	2016	1586
Keilor	2016	1870
Macedon Ranges	2016	2029
Moreland - North	2016	1584
Sunbury	2016	1833
Tullamarine - Broadmeadows	2016	1399
Knox	2016	1820
Manningham - East	2016	2363
Maroondah	2016	1895
Whitehorse - East	2016	1900
Yarra Ranges	2016	1768
Cardinia	2016	1701
Casey - North	2016	1668
Casey - South	2016	1647
Dandenong	2016	1314
Monash	2016	1798
Brimbank	2016	1341
Hobsons Bay	2016	1974
Maribyrnong	2016	1913
Melton - Bacchus Marsh	2016	1686
Wyndham	2016	1702
Frankston	2016	1649
Mornington Peninsula	2016	1621
Grampians	2016	1301
Mildura	2016	1340
Murray River - Swan Hill	2016	1265
Campaspe	2016	1350
Moira	2016	1283
Shepparton	2016	1416
Glenelg - Southern Grampians	2016	1367
Colac - Corangamite	2016	1339
Warrnambool	2016	1493
Migratory - Offshore - Shipping (Vic.)	2016	0
No usual address (Vic.)	2016	0
Capalaba	2016	1896
Cleveland - Stradbroke	2016	1780
Wynnum - Manly	2016	2058
Bald Hills - Everton Park	2016	2123
Chermside	2016	2042
Nundah	2016	2003
Sandgate	2016	1787
Carindale	2016	2294
Holland Park - Yeronga	2016	2240
Mt Gravatt	2016	1853
Nathan	2016	1986
Rocklea - Acacia Ridge	2016	1734
Sunnybank	2016	1495
Centenary	2016	2218
Kenmore - Brookfield - Moggill	2016	2534
Sherwood - Indooroopilly	2016	2330
The Gap - Enoggera	2016	2221
Brisbane Inner	2016	2272
Brisbane Inner - East	2016	2684
Brisbane Inner - North	2016	2472
Brisbane Inner - West	2016	2728
Cairns - North	2016	1835
Cairns - South	2016	1486
Innisfail - Cassowary Coast	2016	1273
Port Douglas - Daintree	2016	1462
Tablelands (East) - Kuranda	2016	1242
Darling Downs (West) - Maranoa	2016	1501
Darling Downs - East	2016	1404
Granite Belt	2016	1226
Central Highlands (Qld)	2016	2065
Rockhampton	2016	1555
Biloela	2016	1895
Gladstone	2016	1918
Broadbeach - Burleigh	2016	1720
Coolangatta	2016	1604
Gold Coast - North	2016	1430
Gold Coast Hinterland	2016	1621
Mudgeeraba - Tallebudgera	2016	1846
Nerang	2016	1663
Ormeau - Oxenford	2016	1822
Robina	2016	1617
Southport	2016	1453
Surfers Paradise	2016	1620
Forest Lake - Oxley	2016	1482
Ipswich Hinterland	2016	1354
Ipswich Inner	2016	1549
Springfield - Redbank	2016	1669
Beaudesert	2016	1283
Beenleigh	2016	1356
Browns Plains	2016	1500
Jimboomba	2016	1856
Loganlea - Carbrook	2016	1667
Springwood - Kingston	2016	1435
Bowen Basin - North	2016	2028
Mackay	2016	1774
Whitsunday	2016	1560
Bribie - Beachmere	2016	1152
Caboolture	2016	1354
Caboolture Hinterland	2016	1399
Narangba - Burpengary	2016	1616
Redcliffe	2016	1447
The Hills District	2016	2219
North Lakes	2016	1765
Strathpine	2016	1596
Far North	2016	1207
Outback - North	2016	2080
Outback - South	2016	1454
Buderim	2016	1674
Caloundra	2016	1475
Maroochy	2016	1462
Noosa	2016	1465
Sunshine Coast Hinterland	2016	1423
