SA3_NAME16	Year	employmentToPopulation
Blue Mountains - South	2016	0
Penrith	2006	64.5
Penrith	2011	63.8
Penrith	2016	63
Richmond - Windsor	2006	60
Richmond - Windsor	2011	60
Richmond - Windsor	2016	58
St Marys	2006	60.9
St Marys	2011	60.5
St Marys	2016	58.9
Auburn	2006	45.1
Auburn	2011	48.8
Auburn	2016	51.3
Carlingford	2006	56.3
Carlingford	2011	56.4
Carlingford	2016	56.1
Merrylands - Guildford	2006	48.5
Merrylands - Guildford	2011	48.6
Merrylands - Guildford	2016	48.3
Parramatta	2006	56.9
Parramatta	2011	57.8
Parramatta	2016	58.2
Pennant Hills - Epping	2006	60.7
Pennant Hills - Epping	2011	60.3
Pennant Hills - Epping	2016	59.4
Ryde - Hunters Hill	2006	57.3
Ryde - Hunters Hill	2011	58.1
Ryde - Hunters Hill	2016	58.3
Bringelly - Green Valley	2006	54.8
Bringelly - Green Valley	2011	54.6
Bringelly - Green Valley	2016	55.9
Fairfield	2006	47
Fairfield	2011	46.5
Fairfield	2016	45.2
Liverpool	2006	55.2
Liverpool	2011	54
Liverpool	2016	52.7
Cronulla - Miranda - Caringbah	2006	61.5
Cronulla - Miranda - Caringbah	2011	62.7
Cronulla - Miranda - Caringbah	2016	61.9
Sutherland - Menai - Heathcote	2006	68.4
Sutherland - Menai - Heathcote	2011	66.9
Sutherland - Menai - Heathcote	2016	65.7
Migratory - Offshore - Shipping (NSW)	2006	82
Migratory - Offshore - Shipping (NSW)	2011	26.4
Migratory - Offshore - Shipping (NSW)	2016	32.6
No usual address (NSW)	2006	37.9
No usual address (NSW)	2011	31.1
No usual address (NSW)	2016	28.8
Ballarat	2006	55.2
Ballarat	2011	56.4
Ballarat	2016	54.6
Creswick - Daylesford - Ballan	2006	54.8
Creswick - Daylesford - Ballan	2011	55.7
Creswick - Daylesford - Ballan	2016	53
Maryborough - Pyrenees	2006	44.8
Maryborough - Pyrenees	2011	45.9
Maryborough - Pyrenees	2016	43.2
Bendigo	2006	55.1
Bendigo	2011	56.7
Bendigo	2016	54.6
Heathcote - Castlemaine - Kyneton	2006	53.2
Heathcote - Castlemaine - Kyneton	2011	54.4
Heathcote - Castlemaine - Kyneton	2016	51.8
Loddon - Elmore	2006	54
Loddon - Elmore	2011	51.1
Loddon - Elmore	2016	48.8
Barwon - West	2006	62.7
Barwon - West	2011	63.1
Barwon - West	2016	61.9
Geelong	2006	54.4
Geelong	2011	55.9
Geelong	2016	54.5
Surf Coast - Bellarine Peninsula	2006	54.1
Surf Coast - Bellarine Peninsula	2011	55.6
Surf Coast - Bellarine Peninsula	2016	54.7
Upper Goulburn Valley	2006	54.8
Upper Goulburn Valley	2011	54.9
Upper Goulburn Valley	2016	51.8
Wangaratta - Benalla	2006	57.5
Wangaratta - Benalla	2011	56.6
Wangaratta - Benalla	2016	52.6
Wodonga - Alpine	2006	59.9
Wodonga - Alpine	2011	59.2
Wodonga - Alpine	2016	56.8
Baw Baw	2006	57.6
Baw Baw	2011	57.8
Baw Baw	2016	54.2
Gippsland - East	2006	48.6
Gippsland - East	2011	48.8
Gippsland - East	2016	44.9
Gippsland - South West	2006	50.4
Gippsland - South West	2011	52.8
Gippsland - South West	2016	48.5
Latrobe Valley	2006	51.5
Latrobe Valley	2011	51.9
Latrobe Valley	2016	49.1
Wellington	2006	53.2
Wellington	2011	53.3
Wellington	2016	50.8
Brunswick - Coburg	2006	57.6
Brunswick - Coburg	2011	61.6
Brunswick - Coburg	2016	63.6
Darebin - South	2006	60.1
Darebin - South	2011	64.1
Darebin - South	2016	64.9
Essendon	2006	58.7
Essendon	2011	62.2
Essendon	2016	62
Melbourne City	2006	53.2
Melbourne City	2011	56.1
Melbourne City	2016	51.2
Port Phillip	2006	62.3
Port Phillip	2011	67.6
Port Phillip	2016	64.8
Stonnington - West	2006	60.9
Stonnington - West	2011	63.5
Stonnington - West	2016	63.5
Yarra	2006	62.4
Yarra	2011	65.9
Yarra	2016	66
Boroondara	2006	60.8
Boroondara	2011	61.1
Boroondara	2016	59.4
Manningham - West	2006	56.1
Manningham - West	2011	55.2
Manningham - West	2016	52.4
Whitehorse - West	2006	56.3
Whitehorse - West	2011	55.6
Whitehorse - West	2016	54.1
Bayside	2006	58.9
Bayside	2011	59.2
Bayside	2016	58.5
Glen Eira	2006	59
Glen Eira	2011	61.4
Glen Eira	2016	60.5
Kingston	2006	59.3
Kingston	2011	61.2
Kingston	2016	61
Stonnington - East	2006	59.9
Stonnington - East	2011	62
Stonnington - East	2016	59.9
Banyule	2006	59.4
Banyule	2011	60.3
Banyule	2016	59
Darebin - North	2006	47.7
Darebin - North	2011	51.3
Darebin - North	2016	52.7
Nillumbik - Kinglake	2006	69.5
Nillumbik - Kinglake	2011	68.8
Nillumbik - Kinglake	2016	65.8
Whittlesea - Wallan	2006	57.2
Whittlesea - Wallan	2011	58.7
Whittlesea - Wallan	2016	57.4
Keilor	2006	55.7
Keilor	2011	56.6
Keilor	2016	56.1
Macedon Ranges	2006	64.1
Macedon Ranges	2011	65
Macedon Ranges	2016	61.4
Moreland - North	2006	46.4
Moreland - North	2011	50.5
Moreland - North	2016	53.1
Sunbury	2006	64.5
Sunbury	2011	64.8
Sunbury	2016	61.8
Tullamarine - Broadmeadows	2006	52.1
Tullamarine - Broadmeadows	2011	52.1
Tullamarine - Broadmeadows	2016	50.7
Knox	2006	64.6
Knox	2011	63.8
Knox	2016	60.9
Manningham - East	2006	64.2
Manningham - East	2011	64.4
Manningham - East	2016	60.5
Maroondah	2006	61.9
Maroondah	2011	62.8
Maroondah	2016	61.2
Whitehorse - East	2006	59.6
Whitehorse - East	2011	59.5
Whitehorse - East	2016	57.7
Yarra Ranges	2006	63.2
Yarra Ranges	2011	63.6
Yarra Ranges	2016	61.5
Cardinia	2006	63.2
Cardinia	2011	63.8
Cardinia	2016	62.1
Casey - North	2006	61.3
Casey - North	2011	60.4
Casey - North	2016	57.8
Casey - South	2006	62.9
Casey - South	2011	63
Casey - South	2016	61
Dandenong	2006	49.1
Dandenong	2011	50.2
Dandenong	2016	49.6
Monash	2006	54.6
Monash	2011	54.6
Monash	2016	51.9
Brimbank	2006	50.4
Brimbank	2011	51.3
Brimbank	2016	50.3
Hobsons Bay	2006	56.3
Hobsons Bay	2011	57.9
Hobsons Bay	2016	58.3
Maribyrnong	2006	53.5
Maribyrnong	2011	58
Maribyrnong	2016	60.3
Melton - Bacchus Marsh	2006	62
Melton - Bacchus Marsh	2011	61.6
Melton - Bacchus Marsh	2016	58.6
Wyndham	2006	61.8
Wyndham	2011	62.3
Wyndham	2016	60.1
Frankston	2006	57.8
Frankston	2011	59.3
Frankston	2016	58.1
Mornington Peninsula	2006	52.2
Mornington Peninsula	2011	53.9
Mornington Peninsula	2016	52.7
Grampians	2006	55
Grampians	2011	54.5
Grampians	2016	51.9
Mildura	2006	55.7
Mildura	2011	53.3
Mildura	2016	51.6
Murray River - Swan Hill	2006	55.1
Murray River - Swan Hill	2011	53.7
Murray River - Swan Hill	2016	50.3
Campaspe	2006	56.1
Campaspe	2011	54.8
Campaspe	2016	52.5
Moira	2006	53.6
Moira	2011	51.4
Moira	2016	49.2
Shepparton	2006	57.4
Shepparton	2011	56
Shepparton	2016	52.7
Glenelg - Southern Grampians	2006	57.5
Glenelg - Southern Grampians	2011	56.5
Glenelg - Southern Grampians	2016	52.6
Colac - Corangamite	2006	57.9
Colac - Corangamite	2011	57.8
Colac - Corangamite	2016	55
Warrnambool	2006	59.1
Warrnambool	2011	60.1
Warrnambool	2016	57.3
Migratory - Offshore - Shipping (Vic.)	2006	62.7
Migratory - Offshore - Shipping (Vic.)	2011	91.7
Migratory - Offshore - Shipping (Vic.)	2016	76
No usual address (Vic.)	2006	44
No usual address (Vic.)	2011	34.2
No usual address (Vic.)	2016	29.7
Capalaba	2006	65.5
Capalaba	2011	65.2
Capalaba	2016	62.9
Cleveland - Stradbroke	2006	57.5
Cleveland - Stradbroke	2011	58.3
Cleveland - Stradbroke	2016	55.8
Wynnum - Manly	2006	61.6
Wynnum - Manly	2011	63.9
Wynnum - Manly	2016	62.7
Bald Hills - Everton Park	2006	64.7
Bald Hills - Everton Park	2011	64.9
Bald Hills - Everton Park	2016	62.6
Chermside	2006	60.8
Chermside	2011	62
Chermside	2016	61.6
Nundah	2006	62.1
Nundah	2011	64.4
Nundah	2016	64.4
Sandgate	2006	58.5
Sandgate	2011	60.4
Sandgate	2016	59.3
Carindale	2006	65.5
Carindale	2011	65.9
Carindale	2016	64.4
Holland Park - Yeronga	2006	64.9
Holland Park - Yeronga	2011	66.1
Holland Park - Yeronga	2016	64.4
Mt Gravatt	2006	60.2
Mt Gravatt	2011	59.1
Mt Gravatt	2016	57.2
Nathan	2006	57.6
Nathan	2011	58.6
Nathan	2016	59.4
Rocklea - Acacia Ridge	2006	64.3
Rocklea - Acacia Ridge	2011	63.1
Rocklea - Acacia Ridge	2016	60
Sunnybank	2006	58.5
Sunnybank	2011	56.6
Sunnybank	2016	53.5
Centenary	2006	67.8
Centenary	2011	67.1
Centenary	2016	64.1
Kenmore - Brookfield - Moggill	2006	66
Kenmore - Brookfield - Moggill	2011	64.6
Kenmore - Brookfield - Moggill	2016	61.7
Sherwood - Indooroopilly	2006	60.5
Sherwood - Indooroopilly	2011	58.2
Sherwood - Indooroopilly	2016	55.4
The Gap - Enoggera	2006	64.4
The Gap - Enoggera	2011	65.5
The Gap - Enoggera	2016	63.1
Brisbane Inner	2006	56.8
Brisbane Inner	2011	61.7
Brisbane Inner	2016	60.9
Brisbane Inner - East	2006	68
Brisbane Inner - East	2011	70.8
Brisbane Inner - East	2016	69.7
Brisbane Inner - North	2006	66.3
Brisbane Inner - North	2011	68.2
Brisbane Inner - North	2016	65.7
Brisbane Inner - West	2006	67.8
Brisbane Inner - West	2011	69.8
Brisbane Inner - West	2016	66.6
Cairns - North	2006	68.2
Cairns - North	2011	67
Cairns - North	2016	63.1
Cairns - South	2006	61
Cairns - South	2011	58.2
Cairns - South	2016	55.6
Innisfail - Cassowary Coast	2006	56.5
Innisfail - Cassowary Coast	2011	53.6
Innisfail - Cassowary Coast	2016	49.7
Port Douglas - Daintree	2006	65
Port Douglas - Daintree	2011	60.2
Port Douglas - Daintree	2016	56.6
Tablelands (East) - Kuranda	2006	51.9
Tablelands (East) - Kuranda	2011	51.4
Tablelands (East) - Kuranda	2016	48.1
Darling Downs (West) - Maranoa	2006	64.1
Darling Downs (West) - Maranoa	2011	63.3
Darling Downs (West) - Maranoa	2016	58.3
Darling Downs - East	2006	59.1
Darling Downs - East	2011	57.5
Darling Downs - East	2016	55.3
Granite Belt	2006	54.9
Granite Belt	2011	53.7
Granite Belt	2016	50
Central Highlands (Qld)	2006	70.8
Central Highlands (Qld)	2011	69.5
Central Highlands (Qld)	2016	62.9
Rockhampton	2006	55.4
Rockhampton	2011	57.6
Rockhampton	2016	53.7
Biloela	2006	68.4
Biloela	2011	68.1
Biloela	2016	64.5
Gladstone	2006	61.8
Gladstone	2011	63.3
Gladstone	2016	56.8
Broadbeach - Burleigh	2006	52.9
Broadbeach - Burleigh	2011	56.2
Broadbeach - Burleigh	2016	58.4
Coolangatta	2006	53.4
Coolangatta	2011	54.9
Coolangatta	2016	55.6
Gold Coast - North	2006	52.4
Gold Coast - North	2011	52.1
Gold Coast - North	2016	50.4
Gold Coast Hinterland	2006	58.8
Gold Coast Hinterland	2011	57.6
Gold Coast Hinterland	2016	55.2
Mudgeeraba - Tallebudgera	2006	63.2
Mudgeeraba - Tallebudgera	2011	63.2
Mudgeeraba - Tallebudgera	2016	63.4
Nerang	2006	62.6
Nerang	2011	60.8
Nerang	2016	60
Ormeau - Oxenford	2006	64.4
Ormeau - Oxenford	2011	64
Ormeau - Oxenford	2016	62.5
Robina	2006	57.9
Robina	2011	56.6
Robina	2016	57.2
Southport	2006	56.4
Southport	2011	53.7
Southport	2016	52.8
Surfers Paradise	2006	50.3
Surfers Paradise	2011	54.2
Surfers Paradise	2016	53.1
Forest Lake - Oxley	2006	53.5
Forest Lake - Oxley	2011	53
Forest Lake - Oxley	2016	50.2
Ipswich Hinterland	2006	53.6
Ipswich Hinterland	2011	52.9
Ipswich Hinterland	2016	49.9
Ipswich Inner	2006	57.6
Ipswich Inner	2011	56.7
Ipswich Inner	2016	54.7
Springfield - Redbank	2006	63.3
Springfield - Redbank	2011	63.8
Springfield - Redbank	2016	61.2
Beaudesert	2006	53.9
Beaudesert	2011	53
Beaudesert	2016	48
Beenleigh	2006	56
Beenleigh	2011	54.3
Beenleigh	2016	51.4
Browns Plains	2006	62
Browns Plains	2011	61
Browns Plains	2016	56.9
Jimboomba	2006	66.3
Jimboomba	2011	66.5
Jimboomba	2016	63.7
Loganlea - Carbrook	2006	63.9
Loganlea - Carbrook	2011	62
Loganlea - Carbrook	2016	58
Springwood - Kingston	2006	57.8
Springwood - Kingston	2011	56.2
Springwood - Kingston	2016	52.2
Bowen Basin - North	2006	63
Bowen Basin - North	2011	65.8
Bowen Basin - North	2016	59
Mackay	2006	61.1
Mackay	2011	64.6
Mackay	2016	57.8
Whitsunday	2006	65.1
Whitsunday	2011	63.4
Whitsunday	2016	59.6
Bribie - Beachmere	2006	38.8
Bribie - Beachmere	2011	39.6
Bribie - Beachmere	2016	36.7
Caboolture	2006	55.2
Caboolture	2011	53.9
Caboolture	2016	51.6
Caboolture Hinterland	2006	48.7
Caboolture Hinterland	2011	51.4
Caboolture Hinterland	2016	47
Narangba - Burpengary	2006	60.3
Narangba - Burpengary	2011	59.6
Narangba - Burpengary	2016	57
Redcliffe	2006	50.7
Redcliffe	2011	52.4
Redcliffe	2016	49.6
The Hills District	2006	71.8
The Hills District	2011	70.2
The Hills District	2016	67.1
North Lakes	2006	65.6
North Lakes	2011	66.1
North Lakes	2016	63.6
Strathpine	2006	63.8
Strathpine	2011	63.6
Strathpine	2016	59.2
Far North	2006	58.9
Far North	2011	51.9
Far North	2016	45.6
Outback - North	2006	63.7
Outback - North	2011	62.4
Outback - North	2016	61.3
Outback - South	2006	65.5
Outback - South	2011	65.6
Outback - South	2016	62.3
Buderim	2006	56
Buderim	2011	57.3
Buderim	2016	56.4
Caloundra	2006	50.6
Caloundra	2011	52
Caloundra	2016	51.8
Maroochy	2006	55.6
Maroochy	2011	56
Maroochy	2016	54.5
Noosa	2006	50.9
Noosa	2011	51.7
Noosa	2016	50.9
Sunshine Coast Hinterland	2006	55.3
Sunshine Coast Hinterland	2011	54.6
Sunshine Coast Hinterland	2016	52.9
Nambour	2006	55.8
Nambour	2011	55.5
Nambour	2016	53.8
Noosa Hinterland	2006	53.2
Noosa Hinterland	2011	53
Noosa Hinterland	2016	52
Toowoomba	2006	58
Toowoomba	2011	58.3
Toowoomba	2016	55.7
Charters Towers - Ayr - Ingham	2006	55.3
Charters Towers - Ayr - Ingham	2011	55.3
Charters Towers - Ayr - Ingham	2016	51.1
Townsville	2006	63
Townsville	2011	63.2
Townsville	2016	58
Bundaberg	2006	47.9
Bundaberg	2011	47.4
Bundaberg	2016	44.9
Burnett	2006	50.9
Burnett	2011	48.7
Burnett	2016	44.4
Gympie - Cooloola	2006	49.1
Gympie - Cooloola	2011	47.7
Gympie - Cooloola	2016	43.2
Hervey Bay	2006	43
Hervey Bay	2011	41.1
Hervey Bay	2016	39.1
Maryborough	2006	44.1
Maryborough	2011	42.7
Maryborough	2016	37
Migratory - Offshore - Shipping (Qld)	2006	79.8
Migratory - Offshore - Shipping (Qld)	2011	53.4
Migratory - Offshore - Shipping (Qld)	2016	40.3
No usual address (Qld)	2006	35.3
No usual address (Qld)	2011	31.3
No usual address (Qld)	2016	26.3
Adelaide City	2006	49.4
Adelaide City	2011	49.2
Adelaide City	2016	44.5
Adelaide Hills	2006	64.8
Adelaide Hills	2011	65.3
Adelaide Hills	2016	61.6
Burnside	2006	57.1
Burnside	2011	57.2
Burnside	2016	55.3
Campbelltown (SA)	2006	54.4
Campbelltown (SA)	2011	55.4
Campbelltown (SA)	2016	54.7
Norwood - Payneham - St Peters	2006	55.9
Norwood - Payneham - St Peters	2011	57.5
Norwood - Payneham - St Peters	2016	56
Prospect - Walkerville	2006	60.3
Prospect - Walkerville	2011	61.2
Prospect - Walkerville	2016	59.6
Unley	2006	61.2
Unley	2011	61.2
Unley	2016	58.3
Gawler - Two Wells	2006	57.7
Gawler - Two Wells	2011	58.9
Gawler - Two Wells	2016	55.9
Playford	2006	48.9
Playford	2011	50
Playford	2016	47.2
Port Adelaide - East	2006	50
Port Adelaide - East	2011	52.4
Port Adelaide - East	2016	52.2
Salisbury	2006	56.1
Salisbury	2011	55.3
Salisbury	2016	52.1
Tea Tree Gully	2006	63.2
Tea Tree Gully	2011	62.2
Tea Tree Gully	2016	58.8
Holdfast Bay	2006	54.9
Holdfast Bay	2011	56.5
Holdfast Bay	2016	55.1
Marion	2006	56.3
Marion	2011	57.9
Marion	2016	56.4
Mitcham	2006	59.5
Mitcham	2011	60
Mitcham	2016	57.8
Onkaparinga	2006	59.1
Onkaparinga	2011	59.1
Onkaparinga	2016	55.3
Charles Sturt	2006	52.3
Charles Sturt	2011	54.7
Charles Sturt	2016	54.6
Port Adelaide - West	2006	50.2
Port Adelaide - West	2011	53.1
Port Adelaide - West	2016	51.5
West Torrens	2006	54
West Torrens	2011	57
West Torrens	2016	56.4
Barossa	2006	61.1
Barossa	2011	61.1
Barossa	2016	58.3
Lower North	2006	55.2
Lower North	2011	54.7
Lower North	2016	51.7
Mid North	2006	47.6
Mid North	2011	49.5
Mid North	2016	47
Yorke Peninsula	2006	43.6
Yorke Peninsula	2011	45
Yorke Peninsula	2016	42
Eyre Peninsula and South West	2006	55.7
Eyre Peninsula and South West	2011	56.4
Eyre Peninsula and South West	2016	52.3
Outback - North and East	2006	56.1
Outback - North and East	2011	56.7
Outback - North and East	2016	51
Fleurieu - Kangaroo Island	2006	46.9
Fleurieu - Kangaroo Island	2011	47.6
Fleurieu - Kangaroo Island	2016	43.9
Limestone Coast	2006	61.1
Limestone Coast	2011	60
Limestone Coast	2016	57
Murray and Mallee	2006	55.2
Murray and Mallee	2011	52.4
Murray and Mallee	2016	50
Migratory - Offshore - Shipping (SA)	2006	66.7
Migratory - Offshore - Shipping (SA)	2011	100
Migratory - Offshore - Shipping (SA)	2016	100
No usual address (SA)	2006	39.2
No usual address (SA)	2011	32.8
No usual address (SA)	2016	27.8
Augusta - Margaret River - Busselton	2006	60.5
Augusta - Margaret River - Busselton	2011	59
Augusta - Margaret River - Busselton	2016	56.9
Bunbury	2006	59.5
Bunbury	2011	59.8
Bunbury	2016	54.9
Manjimup	2006	59.5
Manjimup	2011	58.2
Manjimup	2016	53.1
Mandurah	2006	46.8
Mandurah	2011	49.2
Mandurah	2016	46.9
Cottesloe - Claremont	2006	56.4
Cottesloe - Claremont	2011	57.4
Cottesloe - Claremont	2016	55.4
Perth City	2006	60.2
Perth City	2011	64.5
Perth City	2016	61.8
Bayswater - Bassendean	2006	59.9
Bayswater - Bassendean	2011	61.6
Bayswater - Bassendean	2016	59.2
Mundaring	2006	60.3
Mundaring	2011	59.3
Mundaring	2016	54.7
Swan	2006	62.6
Swan	2011	63.9
Swan	2016	60.8
Joondalup	2006	68.3
Joondalup	2011	67.5
Joondalup	2016	63.2
Stirling	2006	58.3
Stirling	2011	60.3
Stirling	2016	58.8
Wanneroo	2006	61.5
Wanneroo	2011	63.8
Wanneroo	2016	61.4
Armadale	2006	58.4
Armadale	2011	60.8
Armadale	2016	58.7
Belmont - Victoria Park	2006	57.8
Belmont - Victoria Park	2011	61.2
Belmont - Victoria Park	2016	58.4
Canning	2006	59.1
Canning	2011	59.3
Canning	2016	55.4
Gosnells	2006	61.6
Gosnells	2011	60.8
Gosnells	2016	56.7
Kalamunda	2006	64.1
Kalamunda	2011	63.2
Kalamunda	2016	58.9
Serpentine - Jarrahdale	2006	64.3
Serpentine - Jarrahdale	2011	64.9
Serpentine - Jarrahdale	2016	63
South Perth	2006	59.4
South Perth	2011	61
South Perth	2016	57.8
Cockburn	2006	62.2
Cockburn	2011	65
Cockburn	2016	62
Fremantle	2006	57.5
Fremantle	2011	59.8
Fremantle	2016	57.1
Kwinana	2006	52
Kwinana	2011	56.5
Kwinana	2016	55.6
Melville	2006	60.1
Melville	2011	61.2
Melville	2016	57.6
Rockingham	2006	56.1
Rockingham	2011	59.8
