SA3_NAME16	Year	NonSchoolQualification	persons
Lachlan Valley	2016	Graduate Diploma and Graduate Certificate	437
Lachlan Valley	2016	Postgraduate	447
Lithgow - Mudgee	2006		31206
Lithgow - Mudgee	2006	Certificate nfd	622
Lithgow - Mudgee	2006	Certificate I and II Level	511
Lithgow - Mudgee	2006	Certificate III and IV Level	5996
Lithgow - Mudgee	2006	Advanced Diploma and Diploma	1697
Lithgow - Mudgee	2006	Bachelor	1934
Lithgow - Mudgee	2006	Graduate Diploma and Graduate Certificate	306
Lithgow - Mudgee	2006	Postgraduate	261
Lithgow - Mudgee	2011		30686
Lithgow - Mudgee	2011	Certificate nfd	614
Lithgow - Mudgee	2011	Certificate I and II Level	539
Lithgow - Mudgee	2011	Certificate III and IV Level	7007
Lithgow - Mudgee	2011	Advanced Diploma and Diploma	2032
Lithgow - Mudgee	2011	Bachelor	2335
Lithgow - Mudgee	2011	Graduate Diploma and Graduate Certificate	364
Lithgow - Mudgee	2011	Postgraduate	341
Lithgow - Mudgee	2016		31006
Lithgow - Mudgee	2016	Certificate nfd	866
Lithgow - Mudgee	2016	Certificate I and II Level	631
Lithgow - Mudgee	2016	Certificate III and IV Level	7886
Lithgow - Mudgee	2016	Advanced Diploma and Diploma	2521
Lithgow - Mudgee	2016	Bachelor	2790
Lithgow - Mudgee	2016	Graduate Diploma and Graduate Certificate	414
Lithgow - Mudgee	2016	Postgraduate	498
Orange	2006		35888
Orange	2006	Certificate nfd	803
Orange	2006	Certificate I and II Level	683
Orange	2006	Certificate III and IV Level	6330
Orange	2006	Advanced Diploma and Diploma	2606
Orange	2006	Bachelor	3345
Orange	2006	Graduate Diploma and Graduate Certificate	413
Orange	2006	Postgraduate	631
Orange	2011		36194
Orange	2011	Certificate nfd	774
Orange	2011	Certificate I and II Level	733
Orange	2011	Certificate III and IV Level	7852
Orange	2011	Advanced Diploma and Diploma	3174
Orange	2011	Bachelor	4334
Orange	2011	Graduate Diploma and Graduate Certificate	544
Orange	2011	Postgraduate	864
Orange	2016		35676
Orange	2016	Certificate nfd	1154
Orange	2016	Certificate I and II Level	686
Orange	2016	Certificate III and IV Level	8777
Orange	2016	Advanced Diploma and Diploma	3812
Orange	2016	Bachelor	5413
Orange	2016	Graduate Diploma and Graduate Certificate	775
Orange	2016	Postgraduate	1321
Clarence Valley	2006		35198
Clarence Valley	2006	Certificate nfd	720
Clarence Valley	2006	Certificate I and II Level	597
Clarence Valley	2006	Certificate III and IV Level	6428
Clarence Valley	2006	Advanced Diploma and Diploma	1980
Clarence Valley	2006	Bachelor	2116
Clarence Valley	2006	Graduate Diploma and Graduate Certificate	346
Clarence Valley	2006	Postgraduate	285
Clarence Valley	2011		34269
Clarence Valley	2011	Certificate nfd	834
Clarence Valley	2011	Certificate I and II Level	692
Clarence Valley	2011	Certificate III and IV Level	7734
Clarence Valley	2011	Advanced Diploma and Diploma	2314
Clarence Valley	2011	Bachelor	2591
Clarence Valley	2011	Graduate Diploma and Graduate Certificate	405
Clarence Valley	2011	Postgraduate	399
Clarence Valley	2016		32686
Clarence Valley	2016	Certificate nfd	1157
Clarence Valley	2016	Certificate I and II Level	657
Clarence Valley	2016	Certificate III and IV Level	8615
Clarence Valley	2016	Advanced Diploma and Diploma	2980
Clarence Valley	2016	Bachelor	3099
Clarence Valley	2016	Graduate Diploma and Graduate Certificate	492
Clarence Valley	2016	Postgraduate	575
Coffs Harbour	2006		54136
Coffs Harbour	2006	Certificate nfd	1230
Coffs Harbour	2006	Certificate I and II Level	959
Coffs Harbour	2006	Certificate III and IV Level	10638
Coffs Harbour	2006	Advanced Diploma and Diploma	4294
Coffs Harbour	2006	Bachelor	5037
Coffs Harbour	2006	Graduate Diploma and Graduate Certificate	753
Coffs Harbour	2006	Postgraduate	758
Coffs Harbour	2011		52623
Coffs Harbour	2011	Certificate nfd	1290
Coffs Harbour	2011	Certificate I and II Level	1089
Coffs Harbour	2011	Certificate III and IV Level	12653
Coffs Harbour	2011	Advanced Diploma and Diploma	5071
Coffs Harbour	2011	Bachelor	6601
Coffs Harbour	2011	Graduate Diploma and Graduate Certificate	889
Coffs Harbour	2011	Postgraduate	1149
Coffs Harbour	2016		52076
Coffs Harbour	2016	Certificate nfd	1791
Coffs Harbour	2016	Certificate I and II Level	1182
Coffs Harbour	2016	Certificate III and IV Level	13735
Coffs Harbour	2016	Advanced Diploma and Diploma	6435
Coffs Harbour	2016	Bachelor	8062
Coffs Harbour	2016	Graduate Diploma and Graduate Certificate	1175
Coffs Harbour	2016	Postgraduate	1565
Bourke - Cobar - Coonamble	2006		21215
Bourke - Cobar - Coonamble	2006	Certificate nfd	255
Bourke - Cobar - Coonamble	2006	Certificate I and II Level	244
Bourke - Cobar - Coonamble	2006	Certificate III and IV Level	2625
Bourke - Cobar - Coonamble	2006	Advanced Diploma and Diploma	866
Bourke - Cobar - Coonamble	2006	Bachelor	1195
Bourke - Cobar - Coonamble	2006	Graduate Diploma and Graduate Certificate	135
Bourke - Cobar - Coonamble	2006	Postgraduate	99
Bourke - Cobar - Coonamble	2011		19370
Bourke - Cobar - Coonamble	2011	Certificate nfd	254
Bourke - Cobar - Coonamble	2011	Certificate I and II Level	264
Bourke - Cobar - Coonamble	2011	Certificate III and IV Level	2919
Bourke - Cobar - Coonamble	2011	Advanced Diploma and Diploma	910
Bourke - Cobar - Coonamble	2011	Bachelor	1301
Bourke - Cobar - Coonamble	2011	Graduate Diploma and Graduate Certificate	131
Bourke - Cobar - Coonamble	2011	Postgraduate	143
Bourke - Cobar - Coonamble	2016		17907
Bourke - Cobar - Coonamble	2016	Certificate nfd	322
Bourke - Cobar - Coonamble	2016	Certificate I and II Level	292
Bourke - Cobar - Coonamble	2016	Certificate III and IV Level	2867
Bourke - Cobar - Coonamble	2016	Advanced Diploma and Diploma	1079
Bourke - Cobar - Coonamble	2016	Bachelor	1345
Bourke - Cobar - Coonamble	2016	Graduate Diploma and Graduate Certificate	135
Bourke - Cobar - Coonamble	2016	Postgraduate	205
Broken Hill and Far West	2006		17304
Broken Hill and Far West	2006	Certificate nfd	227
Broken Hill and Far West	2006	Certificate I and II Level	240
Broken Hill and Far West	2006	Certificate III and IV Level	2545
Broken Hill and Far West	2006	Advanced Diploma and Diploma	623
Broken Hill and Far West	2006	Bachelor	829
Broken Hill and Far West	2006	Graduate Diploma and Graduate Certificate	153
Broken Hill and Far West	2006	Postgraduate	109
Broken Hill and Far West	2011		15913
Broken Hill and Far West	2011	Certificate nfd	225
Broken Hill and Far West	2011	Certificate I and II Level	246
Broken Hill and Far West	2011	Certificate III and IV Level	2863
Broken Hill and Far West	2011	Advanced Diploma and Diploma	728
Broken Hill and Far West	2011	Bachelor	915
Broken Hill and Far West	2011	Graduate Diploma and Graduate Certificate	165
Broken Hill and Far West	2011	Postgraduate	147
Broken Hill and Far West	2016		14193
Broken Hill and Far West	2016	Certificate nfd	323
Broken Hill and Far West	2016	Certificate I and II Level	257
Broken Hill and Far West	2016	Certificate III and IV Level	3151
Broken Hill and Far West	2016	Advanced Diploma and Diploma	911
Broken Hill and Far West	2016	Bachelor	989
Broken Hill and Far West	2016	Graduate Diploma and Graduate Certificate	188
Broken Hill and Far West	2016	Postgraduate	205
Dubbo	2006		49320
Dubbo	2006	Certificate nfd	864
Dubbo	2006	Certificate I and II Level	793
Dubbo	2006	Certificate III and IV Level	7846
Dubbo	2006	Advanced Diploma and Diploma	2529
Dubbo	2006	Bachelor	3528
Dubbo	2006	Graduate Diploma and Graduate Certificate	496
Dubbo	2006	Postgraduate	442
Dubbo	2011		47368
Dubbo	2011	Certificate nfd	935
Dubbo	2011	Certificate I and II Level	915
Dubbo	2011	Certificate III and IV Level	9435
Dubbo	2011	Advanced Diploma and Diploma	2991
Dubbo	2011	Bachelor	4288
Dubbo	2011	Graduate Diploma and Graduate Certificate	553
Dubbo	2011	Postgraduate	615
Dubbo	2016		46105
Dubbo	2016	Certificate nfd	1180
Dubbo	2016	Certificate I and II Level	887
Dubbo	2016	Certificate III and IV Level	10584
Dubbo	2016	Advanced Diploma and Diploma	3784
Dubbo	2016	Bachelor	5209
Dubbo	2016	Graduate Diploma and Graduate Certificate	703
Dubbo	2016	Postgraduate	962
Lower Hunter	2006		56055
Lower Hunter	2006	Certificate nfd	1063
Lower Hunter	2006	Certificate I and II Level	898
Lower Hunter	2006	Certificate III and IV Level	11450
Lower Hunter	2006	Advanced Diploma and Diploma	3056
Lower Hunter	2006	Bachelor	3122
Lower Hunter	2006	Graduate Diploma and Graduate Certificate	411
Lower Hunter	2006	Postgraduate	409
Lower Hunter	2011		56890
Lower Hunter	2011	Certificate nfd	1125
Lower Hunter	2011	Certificate I and II Level	1046
Lower Hunter	2011	Certificate III and IV Level	14109
Lower Hunter	2011	Advanced Diploma and Diploma	3729
Lower Hunter	2011	Bachelor	4029
Lower Hunter	2011	Graduate Diploma and Graduate Certificate	476
Lower Hunter	2011	Postgraduate	583
Lower Hunter	2016		57684
Lower Hunter	2016	Certificate nfd	1597
Lower Hunter	2016	Certificate I and II Level	1182
Lower Hunter	2016	Certificate III and IV Level	16341
Lower Hunter	2016	Advanced Diploma and Diploma	4770
Lower Hunter	2016	Bachelor	4588
Lower Hunter	2016	Graduate Diploma and Graduate Certificate	637
Lower Hunter	2016	Postgraduate	876
Maitland	2006		40921
Maitland	2006	Certificate nfd	926
Maitland	2006	Certificate I and II Level	779
Maitland	2006	Certificate III and IV Level	8423
Maitland	2006	Advanced Diploma and Diploma	2968
Maitland	2006	Bachelor	3372
Maitland	2006	Graduate Diploma and Graduate Certificate	467
Maitland	2006	Postgraduate	505
Maitland	2011		42251
Maitland	2011	Certificate nfd	940
Maitland	2011	Certificate I and II Level	851
Maitland	2011	Certificate III and IV Level	10652
Maitland	2011	Advanced Diploma and Diploma	3763
Maitland	2011	Bachelor	4359
Maitland	2011	Graduate Diploma and Graduate Certificate	583
Maitland	2011	Postgraduate	806
Maitland	2016		45866
Maitland	2016	Certificate nfd	1284
Maitland	2016	Certificate I and II Level	924
Maitland	2016	Certificate III and IV Level	13402
Maitland	2016	Advanced Diploma and Diploma	5114
Maitland	2016	Bachelor	5550
Maitland	2016	Graduate Diploma and Graduate Certificate	769
Maitland	2016	Postgraduate	1253
Port Stephens	2006		43501
Port Stephens	2006	Certificate nfd	1057
Port Stephens	2006	Certificate I and II Level	727
Port Stephens	2006	Certificate III and IV Level	9901
Port Stephens	2006	Advanced Diploma and Diploma	3518
Port Stephens	2006	Bachelor	3083
Port Stephens	2006	Graduate Diploma and Graduate Certificate	414
Port Stephens	2006	Postgraduate	511
Port Stephens	2011		44339
Port Stephens	2011	Certificate nfd	1084
Port Stephens	2011	Certificate I and II Level	818
Port Stephens	2011	Certificate III and IV Level	11700
Port Stephens	2011	Advanced Diploma and Diploma	4280
Port Stephens	2011	Bachelor	3981
Port Stephens	2011	Graduate Diploma and Graduate Certificate	519
Port Stephens	2011	Postgraduate	780
Port Stephens	2016		43742
Port Stephens	2016	Certificate nfd	1626
Port Stephens	2016	Certificate I and II Level	906
Port Stephens	2016	Certificate III and IV Level	13351
Port Stephens	2016	Advanced Diploma and Diploma	5289
Port Stephens	2016	Bachelor	4736
Port Stephens	2016	Graduate Diploma and Graduate Certificate	664
Port Stephens	2016	Postgraduate	1067
Upper Hunter	2006		20984
Upper Hunter	2006	Certificate nfd	355
Upper Hunter	2006	Certificate I and II Level	344
Upper Hunter	2006	Certificate III and IV Level	3966
Upper Hunter	2006	Advanced Diploma and Diploma	1035
Upper Hunter	2006	Bachelor	1231
Upper Hunter	2006	Graduate Diploma and Graduate Certificate	147
Upper Hunter	2006	Postgraduate	146
Upper Hunter	2011		20814
Upper Hunter	2011	Certificate nfd	383
Upper Hunter	2011	Certificate I and II Level	362
Upper Hunter	2011	Certificate III and IV Level	4798
Upper Hunter	2011	Advanced Diploma and Diploma	1285
Upper Hunter	2011	Bachelor	1518
Upper Hunter	2011	Graduate Diploma and Graduate Certificate	184
Upper Hunter	2011	Postgraduate	204
Upper Hunter	2016		20476
Upper Hunter	2016	Certificate nfd	484
Upper Hunter	2016	Certificate I and II Level	366
Upper Hunter	2016	Certificate III and IV Level	5175
Upper Hunter	2016	Advanced Diploma and Diploma	1542
Upper Hunter	2016	Bachelor	1667
Upper Hunter	2016	Graduate Diploma and Graduate Certificate	202
Upper Hunter	2016	Postgraduate	284
Dapto - Port Kembla	2006		51668
Dapto - Port Kembla	2006	Certificate nfd	1167
Dapto - Port Kembla	2006	Certificate I and II Level	799
Dapto - Port Kembla	2006	Certificate III and IV Level	9692
Dapto - Port Kembla	2006	Advanced Diploma and Diploma	3133
Dapto - Port Kembla	2006	Bachelor	3169
Dapto - Port Kembla	2006	Graduate Diploma and Graduate Certificate	393
Dapto - Port Kembla	2006	Postgraduate	645
Dapto - Port Kembla	2011		49847
Dapto - Port Kembla	2011	Certificate nfd	1060
Dapto - Port Kembla	2011	Certificate I and II Level	865
Dapto - Port Kembla	2011	Certificate III and IV Level	11155
Dapto - Port Kembla	2011	Advanced Diploma and Diploma	3855
Dapto - Port Kembla	2011	Bachelor	3747
Dapto - Port Kembla	2011	Graduate Diploma and Graduate Certificate	499
Dapto - Port Kembla	2011	Postgraduate	890
Dapto - Port Kembla	2016		48436
Dapto - Port Kembla	2016	Certificate nfd	1526
Dapto - Port Kembla	2016	Certificate I and II Level	885
Dapto - Port Kembla	2016	Certificate III and IV Level	12684
Dapto - Port Kembla	2016	Advanced Diploma and Diploma	4930
Dapto - Port Kembla	2016	Bachelor	4887
Dapto - Port Kembla	2016	Graduate Diploma and Graduate Certificate	692
Dapto - Port Kembla	2016	Postgraduate	1314
Illawarra Catchment Reserve	2006		0
Illawarra Catchment Reserve	2006	Certificate nfd	0
Illawarra Catchment Reserve	2006	Certificate I and II Level	0
Illawarra Catchment Reserve	2006	Certificate III and IV Level	0
Illawarra Catchment Reserve	2006	Advanced Diploma and Diploma	0
Illawarra Catchment Reserve	2006	Bachelor	0
Illawarra Catchment Reserve	2006	Graduate Diploma and Graduate Certificate	0
Illawarra Catchment Reserve	2006	Postgraduate	0
Illawarra Catchment Reserve	2011		8
Illawarra Catchment Reserve	2011	Certificate nfd	0
Illawarra Catchment Reserve	2011	Certificate I and II Level	0
Illawarra Catchment Reserve	2011	Certificate III and IV Level	3
Illawarra Catchment Reserve	2011	Advanced Diploma and Diploma	0
Illawarra Catchment Reserve	2011	Bachelor	0
Illawarra Catchment Reserve	2011	Graduate Diploma and Graduate Certificate	0
Illawarra Catchment Reserve	2011	Postgraduate	0
Illawarra Catchment Reserve	2016		8
Illawarra Catchment Reserve	2016	Certificate nfd	0
Illawarra Catchment Reserve	2016	Certificate I and II Level	0
Illawarra Catchment Reserve	2016	Certificate III and IV Level	0
Illawarra Catchment Reserve	2016	Advanced Diploma and Diploma	0
Illawarra Catchment Reserve	2016	Bachelor	0
Illawarra Catchment Reserve	2016	Graduate Diploma and Graduate Certificate	0
Illawarra Catchment Reserve	2016	Postgraduate	0
Kiama - Shellharbour	2006		55431
Kiama - Shellharbour	2006	Certificate nfd	1329
Kiama - Shellharbour	2006	Certificate I and II Level	924
Kiama - Shellharbour	2006	Certificate III and IV Level	11607
Kiama - Shellharbour	2006	Advanced Diploma and Diploma	4221
Kiama - Shellharbour	2006	Bachelor	4368
Kiama - Shellharbour	2006	Graduate Diploma and Graduate Certificate	630
Kiama - Shellharbour	2006	Postgraduate	813
Kiama - Shellharbour	2011		54339
Kiama - Shellharbour	2011	Certificate nfd	1437
Kiama - Shellharbour	2011	Certificate I and II Level	968
Kiama - Shellharbour	2011	Certificate III and IV Level	13926
Kiama - Shellharbour	2011	Advanced Diploma and Diploma	5288
Kiama - Shellharbour	2011	Bachelor	5558
Kiama - Shellharbour	2011	Graduate Diploma and Graduate Certificate	845
Kiama - Shellharbour	2011	Postgraduate	1169
Kiama - Shellharbour	2016		54254
Kiama - Shellharbour	2016	Certificate nfd	1973
Kiama - Shellharbour	2016	Certificate I and II Level	995
Kiama - Shellharbour	2016	Certificate III and IV Level	15800
Kiama - Shellharbour	2016	Advanced Diploma and Diploma	6776
Kiama - Shellharbour	2016	Bachelor	7128
Kiama - Shellharbour	2016	Graduate Diploma and Graduate Certificate	1145
Kiama - Shellharbour	2016	Postgraduate	1766
Wollongong	2006		71765
Wollongong	2006	Certificate nfd	2039
Wollongong	2006	Certificate I and II Level	1219
Wollongong	2006	Certificate III and IV Level	14707
Wollongong	2006	Advanced Diploma and Diploma	7302
Wollongong	2006	Bachelor	11334
Wollongong	2006	Graduate Diploma and Graduate Certificate	1493
Wollongong	2006	Postgraduate	3687
Wollongong	2011		71134
Wollongong	2011	Certificate nfd	1837
Wollongong	2011	Certificate I and II Level	1255
Wollongong	2011	Certificate III and IV Level	16509
Wollongong	2011	Advanced Diploma and Diploma	8566
Wollongong	2011	Bachelor	14129
Wollongong	2011	Graduate Diploma and Graduate Certificate	1888
Wollongong	2011	Postgraduate	5206
Wollongong	2016		70334
Wollongong	2016	Certificate nfd	2519
Wollongong	2016	Certificate I and II Level	1210
Wollongong	2016	Certificate III and IV Level	17780
Wollongong	2016	Advanced Diploma and Diploma	10067
Wollongong	2016	Bachelor	17162
Wollongong	2016	Graduate Diploma and Graduate Certificate	2437
Wollongong	2016	Postgraduate	6792
Great Lakes	2006		20532
Great Lakes	2006	Certificate nfd	442
Great Lakes	2006	Certificate I and II Level	331
Great Lakes	2006	Certificate III and IV Level	4410
Great Lakes	2006	Advanced Diploma and Diploma	1387
Great Lakes	2006	Bachelor	1255
Great Lakes	2006	Graduate Diploma and Graduate Certificate	181
Great Lakes	2006	Postgraduate	190
Great Lakes	2011		20298
Great Lakes	2011	Certificate nfd	456
Great Lakes	2011	Certificate I and II Level	402
Great Lakes	2011	Certificate III and IV Level	5001
Great Lakes	2011	Advanced Diploma and Diploma	1673
Great Lakes	2011	Bachelor	1524
Great Lakes	2011	Graduate Diploma and Graduate Certificate	231
Great Lakes	2011	Postgraduate	264
Great Lakes	2016		19974
Great Lakes	2016	Certificate nfd	750
Great Lakes	2016	Certificate I and II Level	399
Great Lakes	2016	Certificate III and IV Level	5526
Great Lakes	2016	Advanced Diploma and Diploma	2075
Great Lakes	2016	Bachelor	1881
