SA3_NAME16	Year	SameAddress5YearsAgo	persons
Maitland	2006	0	22319
Maitland	2006	1	28976
Maitland	2011		7525
Maitland	2011	0	22431
Maitland	2011	1	34249
Maitland	2016		9441
Maitland	2016	0	28821
Maitland	2016	1	35900
Port Stephens	2006		7121
Port Stephens	2006	0	24816
Port Stephens	2006	1	30775
Port Stephens	2011		8008
Port Stephens	2011	0	24339
Port Stephens	2011	1	35154
Port Stephens	2016		9277
Port Stephens	2016	0	26154
Port Stephens	2016	1	35950
Upper Hunter	2006		3930
Upper Hunter	2006	0	10390
Upper Hunter	2006	1	13888
Upper Hunter	2011		4187
Upper Hunter	2011	0	10549
Upper Hunter	2011	1	14812
Upper Hunter	2016		4836
Upper Hunter	2016	0	10507
Upper Hunter	2016	1	14853
Dapto - Port Kembla	2006		8338
Dapto - Port Kembla	2006	0	19304
Dapto - Port Kembla	2006	1	43024
Dapto - Port Kembla	2011		7828
Dapto - Port Kembla	2011	0	18853
Dapto - Port Kembla	2011	1	45237
Dapto - Port Kembla	2016		9096
Dapto - Port Kembla	2016	0	21672
Dapto - Port Kembla	2016	1	44586
Illawarra Catchment Reserve	2006		0
Illawarra Catchment Reserve	2006	0	0
Illawarra Catchment Reserve	2006	1	0
Illawarra Catchment Reserve	2011		7
Illawarra Catchment Reserve	2011	0	4
Illawarra Catchment Reserve	2011	1	0
Illawarra Catchment Reserve	2016		1
Illawarra Catchment Reserve	2016	0	0
Illawarra Catchment Reserve	2016	1	7
Kiama - Shellharbour	2006		9064
Kiama - Shellharbour	2006	0	25109
Kiama - Shellharbour	2006	1	45150
Kiama - Shellharbour	2011		8299
Kiama - Shellharbour	2011	0	25975
Kiama - Shellharbour	2011	1	49256
Kiama - Shellharbour	2016		10844
Kiama - Shellharbour	2016	0	29036
Kiama - Shellharbour	2016	1	49957
Wollongong	2006		13009
Wollongong	2006	0	38509
Wollongong	2006	1	62028
Wollongong	2011		13062
Wollongong	2011	0	41898
Wollongong	2011	1	65564
Wollongong	2016		14477
Wollongong	2016	0	46654
Wollongong	2016	1	67170
Great Lakes	2006		2953
Great Lakes	2006	0	11107
Great Lakes	2006	1	14668
Great Lakes	2011		3262
Great Lakes	2011	0	10162
Great Lakes	2011	1	16425
Great Lakes	2016		3972
Great Lakes	2016	0	11173
Great Lakes	2016	1	16127
Kempsey - Nambucca	2006		5707
Kempsey - Nambucca	2006	0	15978
Kempsey - Nambucca	2006	1	23595
Kempsey - Nambucca	2011		5739
Kempsey - Nambucca	2011	0	14551
Kempsey - Nambucca	2011	1	26540
Kempsey - Nambucca	2016		7598
Kempsey - Nambucca	2016	0	14392
Kempsey - Nambucca	2016	1	26137
Lord Howe Island	2006		23
Lord Howe Island	2006	0	115
Lord Howe Island	2006	1	207
Lord Howe Island	2011		39
Lord Howe Island	2011	0	103
Lord Howe Island	2011	1	217
Lord Howe Island	2016		64
Lord Howe Island	2016	0	117
Lord Howe Island	2016	1	201
Port Macquarie	2006		7001
Port Macquarie	2006	0	28719
Port Macquarie	2006	1	32714
Port Macquarie	2011		7519
Port Macquarie	2011	0	28290
Port Macquarie	2011	1	36903
Port Macquarie	2016		9592
Port Macquarie	2016	0	30739
Port Macquarie	2016	1	38236
Taree - Gloucester	2006		4938
Taree - Gloucester	2006	0	18773
Taree - Gloucester	2006	1	26233
Taree - Gloucester	2011		5684
Taree - Gloucester	2011	0	16763
Taree - Gloucester	2011	1	28911
Taree - Gloucester	2016		6967
Taree - Gloucester	2016	0	18592
Taree - Gloucester	2016	1	28297
Albury	2006		6506
Albury	2006	0	21512
Albury	2006	1	27879
Albury	2011		6800
Albury	2011	0	20607
Albury	2011	1	30030
Albury	2016		8543
Albury	2016	0	22344
Albury	2016	1	30384
Lower Murray	2006		1606
Lower Murray	2006	0	4037
Lower Murray	2006	1	7405
Lower Murray	2011		1525
Lower Murray	2011	0	3553
Lower Murray	2011	1	7345
Lower Murray	2016		2140
Lower Murray	2016	0	3481
Lower Murray	2016	1	6926
Upper Murray exc. Albury	2006		4376
Upper Murray exc. Albury	2006	0	14839
Upper Murray exc. Albury	2006	1	21461
Upper Murray exc. Albury	2011		4420
Upper Murray exc. Albury	2011	0	12212
Upper Murray exc. Albury	2011	1	23826
Upper Murray exc. Albury	2016		6355
Upper Murray exc. Albury	2016	0	12664
Upper Murray exc. Albury	2016	1	22961
Armidale	2006		3830
Armidale	2006	0	13798
Armidale	2006	1	17147
Armidale	2011		4145
Armidale	2011	0	13564
Armidale	2011	1	18236
Armidale	2016		5097
Armidale	2016	0	13808
Armidale	2016	1	18185
Inverell - Tenterfield	2006		4223
Inverell - Tenterfield	2006	0	13408
Inverell - Tenterfield	2006	1	19733
Inverell - Tenterfield	2011		4309
Inverell - Tenterfield	2011	0	12103
Inverell - Tenterfield	2011	1	21347
Inverell - Tenterfield	2016		6202
Inverell - Tenterfield	2016	0	11213
Inverell - Tenterfield	2016	1	20930
Moree - Narrabri	2006		4153
Moree - Narrabri	2006	0	8772
Moree - Narrabri	2006	1	13471
Moree - Narrabri	2011		4057
Moree - Narrabri	2011	0	7836
Moree - Narrabri	2011	1	13793
Moree - Narrabri	2016		5085
Moree - Narrabri	2016	0	6924
Moree - Narrabri	2016	1	13613
Tamworth - Gunnedah	2006		8592
Tamworth - Gunnedah	2006	0	27794
Tamworth - Gunnedah	2006	1	37478
Tamworth - Gunnedah	2011		9734
Tamworth - Gunnedah	2011	0	26717
Tamworth - Gunnedah	2011	1	40353
Tamworth - Gunnedah	2016		12316
Tamworth - Gunnedah	2016	0	28184
Tamworth - Gunnedah	2016	1	39996
Lake Macquarie - East	2006		11566
Lake Macquarie - East	2006	0	34512
Lake Macquarie - East	2006	1	68613
Lake Macquarie - East	2011		11760
Lake Macquarie - East	2011	0	34690
Lake Macquarie - East	2011	1	70416
Lake Macquarie - East	2016		12652
Lake Macquarie - East	2016	0	37739
Lake Macquarie - East	2016	1	69623
Lake Macquarie - West	2006		7060
Lake Macquarie - West	2006	0	22697
Lake Macquarie - West	2006	1	37196
Lake Macquarie - West	2011		6835
Lake Macquarie - West	2011	0	22863
Lake Macquarie - West	2011	1	40308
Lake Macquarie - West	2016		8507
Lake Macquarie - West	2016	0	26644
Lake Macquarie - West	2016	1	40054
Newcastle	2006		17831
Newcastle	2006	0	54440
Newcastle	2006	1	76044
Newcastle	2011		17441
Newcastle	2011	0	57910
Newcastle	2011	1	80386
Newcastle	2016		18078
Newcastle	2016	0	64840
Newcastle	2016	1	80966
Richmond Valley - Coastal	2006		8610
Richmond Valley - Coastal	2006	0	29020
Richmond Valley - Coastal	2006	1	34506
Richmond Valley - Coastal	2011		7862
Richmond Valley - Coastal	2011	0	27260
Richmond Valley - Coastal	2011	1	38108
Richmond Valley - Coastal	2016		11513
Richmond Valley - Coastal	2016	0	28771
Richmond Valley - Coastal	2016	1	37996
Richmond Valley - Hinterland	2006		7275
Richmond Valley - Hinterland	2006	0	25781
Richmond Valley - Hinterland	2006	1	34817
Richmond Valley - Hinterland	2011		7825
Richmond Valley - Hinterland	2011	0	23557
Richmond Valley - Hinterland	2011	1	37905
Richmond Valley - Hinterland	2016		9934
Richmond Valley - Hinterland	2016	0	21766
Richmond Valley - Hinterland	2016	1	38250
Tweed Valley	2006		9333
Tweed Valley	2006	0	32786
Tweed Valley	2006	1	37201
Tweed Valley	2011		9656
Tweed Valley	2011	0	31555
Tweed Valley	2011	1	43896
Tweed Valley	2016		12083
Tweed Valley	2016	0	34530
Tweed Valley	2016	1	44758
Griffith - Murrumbidgee (West)	2006		6351
Griffith - Murrumbidgee (West)	2006	0	15431
Griffith - Murrumbidgee (West)	2006	1	25105
Griffith - Murrumbidgee (West)	2011		6269
Griffith - Murrumbidgee (West)	2011	0	14373
Griffith - Murrumbidgee (West)	2011	1	25953
Griffith - Murrumbidgee (West)	2016		8148
Griffith - Murrumbidgee (West)	2016	0	14284
Griffith - Murrumbidgee (West)	2016	1	25712
Tumut - Tumbarumba	2006		1730
Tumut - Tumbarumba	2006	0	4788
Tumut - Tumbarumba	2006	1	7926
Tumut - Tumbarumba	2011		1684
Tumut - Tumbarumba	2011	0	4213
Tumut - Tumbarumba	2011	1	8433
Tumut - Tumbarumba	2016		2371
Tumut - Tumbarumba	2016	0	4027
Tumut - Tumbarumba	2016	1	8039
Wagga Wagga	2006		10176
Wagga Wagga	2006	0	33409
Wagga Wagga	2006	1	43279
Wagga Wagga	2011		10727
Wagga Wagga	2011	0	31623
Wagga Wagga	2011	1	46843
Wagga Wagga	2016		13425
Wagga Wagga	2016	0	33533
Wagga Wagga	2016	1	46399
Shoalhaven	2006		9637
Shoalhaven	2006	0	33687
Shoalhaven	2006	1	45082
Shoalhaven	2011		10901
Shoalhaven	2011	0	31133
Shoalhaven	2011	1	50585
Shoalhaven	2016		13457
Shoalhaven	2016	0	35649
Shoalhaven	2016	1	50384
Southern Highlands	2006		4839
Southern Highlands	2006	0	15989
Southern Highlands	2006	1	21444
Southern Highlands	2011		4568
Southern Highlands	2011	0	15491
Southern Highlands	2011	1	24327
Southern Highlands	2016		5740
Southern Highlands	2016	0	18362
Southern Highlands	2016	1	23767
Baulkham Hills	2006		11350
Baulkham Hills	2006	0	45489
Baulkham Hills	2006	1	68920
Baulkham Hills	2011		12045
Baulkham Hills	2011	0	41701
Baulkham Hills	2011	1	80076
Baulkham Hills	2016		12387
Baulkham Hills	2016	0	48934
Baulkham Hills	2016	1	82417
Dural - Wisemans Ferry	2006		2473
Dural - Wisemans Ferry	2006	0	7054
Dural - Wisemans Ferry	2006	1	15109
Dural - Wisemans Ferry	2011		2087
Dural - Wisemans Ferry	2011	0	7259
Dural - Wisemans Ferry	2011	1	15992
Dural - Wisemans Ferry	2016		2556
Dural - Wisemans Ferry	2016	0	7998
Dural - Wisemans Ferry	2016	1	15675
Hawkesbury	2006		2868
Hawkesbury	2006	0	6579
Hawkesbury	2006	1	14039
Hawkesbury	2011		2795
Hawkesbury	2011	0	6106
Hawkesbury	2011	1	15174
Hawkesbury	2016		3138
Hawkesbury	2016	0	6941
Hawkesbury	2016	1	14509
Rouse Hill - McGraths Hill	2006		3623
Rouse Hill - McGraths Hill	2006	0	10157
Rouse Hill - McGraths Hill	2006	1	11866
Rouse Hill - McGraths Hill	2011		3156
Rouse Hill - McGraths Hill	2011	0	8413
Rouse Hill - McGraths Hill	2011	1	15612
Rouse Hill - McGraths Hill	2016		3568
Rouse Hill - McGraths Hill	2016	0	13108
Rouse Hill - McGraths Hill	2016	1	16506
Blacktown	2006		14793
Blacktown	2006	0	35940
Blacktown	2006	1	66416
Blacktown	2011		15064
Blacktown	2011	0	38116
Blacktown	2011	1	71844
Blacktown	2016		16976
Blacktown	2016	0	45273
Blacktown	2016	1	72504
Blacktown - North	2006		9205
Blacktown - North	2006	0	25814
Blacktown - North	2006	1	24973
Blacktown - North	2011		9946
Blacktown - North	2011	0	29309
Blacktown - North	2011	1	35521
Blacktown - North	2016		12342
Blacktown - North	2016	0	36849
Blacktown - North	2016	1	43632
Mount Druitt	2006		15471
Mount Druitt	2006	0	29437
Mount Druitt	2006	1	51863
Mount Druitt	2011		14679
Mount Druitt	2011	0	29981
Mount Druitt	2011	1	59067
Mount Druitt	2016		16559
Mount Druitt	2016	0	35653
Mount Druitt	2016	1	59854
Botany	2006		5000
Botany	2006	0	11922
Botany	2006	1	19072
Botany	2011		5096
Botany	2011	0	13425
Botany	2011	1	20838
Botany	2016		6037
Botany	2016	0	18776
Botany	2016	1	21880
Marrickville - Sydenham - Petersham	2006		7213
Marrickville - Sydenham - Petersham	2006	0	18809
Marrickville - Sydenham - Petersham	2006	1	21784
Marrickville - Sydenham - Petersham	2011		6833
Marrickville - Sydenham - Petersham	2011	0	20216
Marrickville - Sydenham - Petersham	2011	1	23563
Marrickville - Sydenham - Petersham	2016		7308
Marrickville - Sydenham - Petersham	2016	0	22713
Marrickville - Sydenham - Petersham	2016	1	24588
Sydney Inner City	2006		44015
Sydney Inner City	2006	0	77680
Sydney Inner City	2006	1	39176
Sydney Inner City	2011		29700
Sydney Inner City	2011	0	93760
Sydney Inner City	2011	1	51113
Sydney Inner City	2016		34285
Sydney Inner City	2016	0	122612
Sydney Inner City	2016	1	57352
Eastern Suburbs - North	2006		22992
Eastern Suburbs - North	2006	0	46438
Eastern Suburbs - North	2006	1	46186
Eastern Suburbs - North	2011		20435
Eastern Suburbs - North	2011	0	50590
Eastern Suburbs - North	2011	1	49534
Eastern Suburbs - North	2016		19693
Eastern Suburbs - North	2016	0	56558
Eastern Suburbs - North	2016	1	50131
Eastern Suburbs - South	2006		18332
Eastern Suburbs - South	2006	0	47652
Eastern Suburbs - South	2006	1	53898
Eastern Suburbs - South	2011		18664
Eastern Suburbs - South	2011	0	53199
Eastern Suburbs - South	2011	1	57125
Eastern Suburbs - South	2016		19598
Eastern Suburbs - South	2016	0	61582
Eastern Suburbs - South	2016	1	59474
Bankstown	2006		20653
Bankstown	2006	0	41000
Bankstown	2006	1	85821
Bankstown	2011		21469
Bankstown	2011	0	44250
Bankstown	2011	1	93354
Bankstown	2016		22573
Bankstown	2016	0	53395
Bankstown	2016	1	95461
Canterbury	2006		18380
Canterbury	2006	0	35717
Canterbury	2006	1	63428
Canterbury	2011		18188
Canterbury	2011	0	38480
Canterbury	2011	1	68759
Canterbury	2016		18058
Canterbury	2016	0	46177
Canterbury	2016	1	70835
Hurstville	2006		12628
Hurstville	2006	0	36486
Hurstville	2006	1	61188
Hurstville	2011		12284
Hurstville	2011	0	38937
Hurstville	2011	1	65381
Hurstville	2016		13149
Hurstville	2016	0	46387
Hurstville	2016	1	67657
Kogarah - Rockdale	2006		16768
Kogarah - Rockdale	2006	0	39159
Kogarah - Rockdale	2006	1	59765
Kogarah - Rockdale	2011		15493
Kogarah - Rockdale	2011	0	41666
Kogarah - Rockdale	2011	1	65339
Kogarah - Rockdale	2016		16980
Kogarah - Rockdale	2016	0	53070
Kogarah - Rockdale	2016	1	67673
Canada Bay	2006		8772
Canada Bay	2006	0	23339
Canada Bay	2006	1	32416
Canada Bay	2011		9571
Canada Bay	2011	0	28137
Canada Bay	2011	1	36447
Canada Bay	2016		10297
Canada Bay	2016	0	35553
Canada Bay	2016	1	39506
Leichhardt	2006		7492
Leichhardt	2006	0	21017
Leichhardt	2006	1	20268
Leichhardt	2011		7427
Leichhardt	2011	0	22647
Leichhardt	2011	1	22124
Leichhardt	2016		8453
Leichhardt	2016	0	23311
Leichhardt	2016	1	24302
Strathfield - Burwood - Ashfield	2006		17452
Strathfield - Burwood - Ashfield	2006	0	49090
Strathfield - Burwood - Ashfield	2006	1	63259
Strathfield - Burwood - Ashfield	2011		17255
Strathfield - Burwood - Ashfield	2011	0	52605
Strathfield - Burwood - Ashfield	2011	1	67345
Strathfield - Burwood - Ashfield	2016		17261
Strathfield - Burwood - Ashfield	2016	0	65165
Strathfield - Burwood - Ashfield	2016	1	69447
Chatswood - Lane Cove	2006		12643
Chatswood - Lane Cove	2006	0	38625
Chatswood - Lane Cove	2006	1	43392
Chatswood - Lane Cove	2011		11566
Chatswood - Lane Cove	2011	0	40330
Chatswood - Lane Cove	2011	1	48304
Chatswood - Lane Cove	2016		12834
Chatswood - Lane Cove	2016	0	49377
Chatswood - Lane Cove	2016	1	50034
Hornsby	2006		7995
Hornsby	2006	0	25235
Hornsby	2006	1	39696
Hornsby	2011		8101
Hornsby	2011	0	25483
Hornsby	2011	1	42951
Hornsby	2016		8267
Hornsby	2016	0	28125
Hornsby	2016	1	44211
Ku-ring-gai	2006		8651
Ku-ring-gai	2006	0	32720
Ku-ring-gai	2006	1	60168
Ku-ring-gai	2011		9798
Ku-ring-gai	2011	0	37857
Ku-ring-gai	2011	1	61924
Ku-ring-gai	2016		10442
Ku-ring-gai	2016	0	44749
Ku-ring-gai	2016	1	63180
North Sydney - Mosman	2006		12379
North Sydney - Mosman	2006	0	41075
North Sydney - Mosman	2006	1	29952
North Sydney - Mosman	2011		12075
North Sydney - Mosman	2011	0	42906
North Sydney - Mosman	2011	1	33373
North Sydney - Mosman	2016		12166
North Sydney - Mosman	2016	0	45877
North Sydney - Mosman	2016	1	36096
Manly	2006		5734
Manly	2006	0	15197
Manly	2006	1	16183
Manly	2011		5421
Manly	2011	0	17109
Manly	2011	1	17218
Manly	2016		5277
Manly	2016	0	17994
Manly	2016	1	18617
Pittwater	2006		6931
Pittwater	2006	0	18016
Pittwater	2006	1	29211
Pittwater	2011		6207
Pittwater	2011	0	19425
Pittwater	2011	1	31522
Pittwater	2016		6518
Pittwater	2016	0	21355
Pittwater	2016	1	32565
Warringah	2006		16123
Warringah	2006	0	47172
Warringah	2006	1	70542
Warringah	2011		15845
Warringah	2011	0	49524
Warringah	2011	1	75370
Warringah	2016		17394
Warringah	2016	0	53381
Warringah	2016	1	79768
Camden	2006		5649
Camden	2006	0	17628
Camden	2006	1	21209
Camden	2011		5967
Camden	2011	0	19617
Camden	2011	1	26651
Camden	2016		7423
Camden	2016	0	24552
Camden	2016	1	30535
Campbelltown (NSW)	2006		19867
Campbelltown (NSW)	2006	0	44026
Campbelltown (NSW)	2006	1	80528
Campbelltown (NSW)	2011		18893
Campbelltown (NSW)	2011	0	43005
Campbelltown (NSW)	2011	1	85270
Campbelltown (NSW)	2016		21381
Campbelltown (NSW)	2016	0	52118
Campbelltown (NSW)	2016	1	84902
Wollondilly	2006		4226
Wollondilly	2006	0	10953
Wollondilly	2006	1	19578
Wollondilly	2011		4137
Wollondilly	2011	0	10355
Wollondilly	2011	1	21909
Wollondilly	2016		5228
Wollondilly	2016	0	13732
Wollondilly	2016	1	22192
Blue Mountains	2006		8014
Blue Mountains	2006	0	24181
Blue Mountains	2006	1	41653
Blue Mountains	2011		8308
Blue Mountains	2011	0	23281
Blue Mountains	2011	1	44110
Blue Mountains	2016		7991
Blue Mountains	2016	0	24323
Blue Mountains	2016	1	44380
Blue Mountains - South	2006		0
Blue Mountains - South	2006	0	0
Blue Mountains - South	2006	1	0
Blue Mountains - South	2011		2
Blue Mountains - South	2011	0	3
Blue Mountains - South	2011	1	3
Blue Mountains - South	2016		0
Blue Mountains - South	2016	0	3
Blue Mountains - South	2016	1	0
Penrith	2006		15051
Penrith	2006	0	39394
Penrith	2006	1	64708
Penrith	2011		15131
Penrith	2011	0	38394
Penrith	2011	1	71148
Penrith	2016		18217
Penrith	2016	0	49659
Penrith	2016	1	71816
Richmond - Windsor	2006		5389
Richmond - Windsor	2006	0	12213
Richmond - Windsor	2006	1	17587
Richmond - Windsor	2011		5018
Richmond - Windsor	2011	0	11840
Richmond - Windsor	2011	1	18893
Richmond - Windsor	2016		5507
Richmond - Windsor	2016	0	12009
Richmond - Windsor	2016	1	19031
St Marys	2006		6538
St Marys	2006	0	14449
St Marys	2006	1	29827
St Marys	2011		6488
St Marys	2011	0	14168
St Marys	2011	1	31410
St Marys	2016		7396
St Marys	2016	0	16101
St Marys	2016	1	30496
Auburn	2006		13333
Auburn	2006	0	24109
Auburn	2006	1	28674
Auburn	2011		12372
Auburn	2011	0	28157
Auburn	2011	1	33890
Auburn	2016		13753
Auburn	2016	0	38590
Auburn	2016	1	37327
Carlingford	2006		5953
Carlingford	2006	0	17249
Carlingford	2006	1	32469
Carlingford	2011		6253
Carlingford	2011	0	18664
Carlingford	2011	1	34681
Carlingford	2016		7113
Carlingford	2016	0	24146
Carlingford	2016	1	35311
Merrylands - Guildford	2006		18113
Merrylands - Guildford	2006	0	36687
Merrylands - Guildford	2006	1	68788
Merrylands - Guildford	2011		19662
Merrylands - Guildford	2011	0	41309
Merrylands - Guildford	2011	1	74945
Merrylands - Guildford	2016		21659
Merrylands - Guildford	2016	0	49306
Merrylands - Guildford	2016	1	80297
Parramatta	2006		16441
Parramatta	2006	0	45225
Parramatta	2006	1	48749
Parramatta	2011		17605
Parramatta	2011	0	51080
Parramatta	2011	1	56091
Parramatta	2016		20199
Parramatta	2016	0	61666
Parramatta	2016	1	59026
Pennant Hills - Epping	2006		3729
Pennant Hills - Epping	2006	0	13709
Pennant Hills - Epping	2006	1	23603
Pennant Hills - Epping	2011		3349
Pennant Hills - Epping	2011	0	14471
Pennant Hills - Epping	2011	1	25187
Pennant Hills - Epping	2016		4148
Pennant Hills - Epping	2016	0	17979
Pennant Hills - Epping	2016	1	25463
Ryde - Hunters Hill	2006		13939
Ryde - Hunters Hill	2006	0	40552
Ryde - Hunters Hill	2006	1	59528
Ryde - Hunters Hill	2011		12827
Ryde - Hunters Hill	2011	0	44198
Ryde - Hunters Hill	2011	1	62818
Ryde - Hunters Hill	2016		14374
Ryde - Hunters Hill	2016	0	55634
Ryde - Hunters Hill	2016	1	64520
Bringelly - Green Valley	2006		11381
Bringelly - Green Valley	2006	0	20906
Bringelly - Green Valley	2006	1	42491
Bringelly - Green Valley	2011		10327
Bringelly - Green Valley	2011	0	20825
Bringelly - Green Valley	2011	1	49187
Bringelly - Green Valley	2016		14281
Bringelly - Green Valley	2016	0	36829
Bringelly - Green Valley	2016	1	51701
Fairfield	2006		21712
Fairfield	2006	0	45631
Fairfield	2006	1	101742
Fairfield	2011		19641
Fairfield	2011	0	45980
Fairfield	2011	1	110016
Fairfield	2016		20088
Fairfield	2016	0	53395
Fairfield	2016	1	112319
Liverpool	2006		15137
Liverpool	2006	0	32631
Liverpool	2006	1	45821
Liverpool	2011		15210
Liverpool	2011	0	34218
Liverpool	2011	1	54759
Liverpool	2016		18060
Liverpool	2016	0	40486
Liverpool	2016	1	58810
Cronulla - Miranda - Caringbah	2006		12179
Cronulla - Miranda - Caringbah	2006	0	33549
Cronulla - Miranda - Caringbah	2006	1	55385
Cronulla - Miranda - Caringbah	2011		10831
Cronulla - Miranda - Caringbah	2011	0	35709
Cronulla - Miranda - Caringbah	2011	1	57827
Cronulla - Miranda - Caringbah	2016		12227
Cronulla - Miranda - Caringbah	2016	0	38132
Cronulla - Miranda - Caringbah	2016	1	59482
Sutherland - Menai - Heathcote	2006		10606
Sutherland - Menai - Heathcote	2006	0	28516
Sutherland - Menai - Heathcote	2006	1	64678
Sutherland - Menai - Heathcote	2011		10711
Sutherland - Menai - Heathcote	2011	0	27781
Sutherland - Menai - Heathcote	2011	1	67406
Sutherland - Menai - Heathcote	2016		10631
Sutherland - Menai - Heathcote	2016	0	29571
Sutherland - Menai - Heathcote	2016	1	67834
Migratory - Offshore - Shipping (NSW)	2006		3
Migratory - Offshore - Shipping (NSW)	2006	0	32
Migratory - Offshore - Shipping (NSW)	2006	1	15
Migratory - Offshore - Shipping (NSW)	2011		0
Migratory - Offshore - Shipping (NSW)	2011	0	40
Migratory - Offshore - Shipping (NSW)	2011	1	72
Migratory - Offshore - Shipping (NSW)	2016		63
Migratory - Offshore - Shipping (NSW)	2016	0	104
Migratory - Offshore - Shipping (NSW)	2016	1	245
No usual address (NSW)	2006		1852
No usual address (NSW)	2006	0	7073
No usual address (NSW)	2006	1	1250
No usual address (NSW)	2011		3541
