SA3_NAME16	Year	medianTotalPersonalIncomeWeekly
Casey - South	2006	489
Dandenong	2006	355
Monash	2006	441
Brimbank	2006	351
Hobsons Bay	2006	471
Maribyrnong	2006	423
Melton - Bacchus Marsh	2006	498
Wyndham	2006	509
Frankston	2006	459
Mornington Peninsula	2006	437
Grampians	2006	389
Mildura	2006	395
Murray River - Swan Hill	2006	378
Campaspe	2006	396
Moira	2006	379
Shepparton	2006	426
Glenelg - Southern Grampians	2006	411
Colac - Corangamite	2006	409
Warrnambool	2006	425
Migratory - Offshore - Shipping (Vic.)	2006	1321
No usual address (Vic.)	2006	373
Capalaba	2006	518
Cleveland - Stradbroke	2006	469
Wynnum - Manly	2006	524
Bald Hills - Everton Park	2006	561
Chermside	2006	537
Nundah	2006	524
Sandgate	2006	493
Carindale	2006	574
Holland Park - Yeronga	2006	592
Mt Gravatt	2006	492
Nathan	2006	488
Rocklea - Acacia Ridge	2006	515
Sunnybank	2006	447
Centenary	2006	621
Kenmore - Brookfield - Moggill	2006	660
Sherwood - Indooroopilly	2006	518
The Gap - Enoggera	2006	577
Brisbane Inner	2006	622
Brisbane Inner - East	2006	690
Brisbane Inner - North	2006	691
Brisbane Inner - West	2006	664
Cairns - North	2006	578
Cairns - South	2006	515
Innisfail - Cassowary Coast	2006	404
Port Douglas - Daintree	2006	509
Tablelands (East) - Kuranda	2006	376
Darling Downs (West) - Maranoa	2006	447
Darling Downs - East	2006	406
Granite Belt	2006	368
Central Highlands (Qld)	2006	615
Rockhampton	2006	433
Biloela	2006	517
Gladstone	2006	499
Broadbeach - Burleigh	2006	482
Coolangatta	2006	443
Gold Coast - North	2006	449
Gold Coast Hinterland	2006	457
Mudgeeraba - Tallebudgera	2006	494
Nerang	2006	487
Ormeau - Oxenford	2006	527
Robina	2006	476
Southport	2006	450
Surfers Paradise	2006	539
Forest Lake - Oxley	2006	443
Ipswich Hinterland	2006	383
Ipswich Inner	2006	456
Springfield - Redbank	2006	508
Beaudesert	2006	385
Beenleigh	2006	434
Browns Plains	2006	479
Jimboomba	2006	524
Loganlea - Carbrook	2006	499
Springwood - Kingston	2006	455
Bowen Basin - North	2006	539
Mackay	2006	511
Whitsunday	2006	542
Bribie - Beachmere	2006	345
Caboolture	2006	406
Caboolture Hinterland	2006	377
Narangba - Burpengary	2006	462
Redcliffe	2006	404
The Hills District	2006	605
North Lakes	2006	529
Strathpine	2006	494
Far North	2006	330
Outback - North	2006	578
Outback - South	2006	460
Buderim	2006	462
Caloundra	2006	415
Maroochy	2006	453
Noosa	2006	444
Sunshine Coast Hinterland	2006	402
Nambour	2006	409
Noosa Hinterland	2006	394
Toowoomba	2006	441
Charters Towers - Ayr - Ingham	2006	397
Townsville	2006	530
Bundaberg	2006	359
Burnett	2006	345
Gympie - Cooloola	2006	347
Hervey Bay	2006	348
Maryborough	2006	338
Migratory - Offshore - Shipping (Qld)	2006	1052
No usual address (Qld)	2006	354
Adelaide City	2006	491
Adelaide Hills	2006	512
Burnside	2006	605
Campbelltown (SA)	2006	415
Norwood - Payneham - St Peters	2006	493
Prospect - Walkerville	2006	546
Unley	2006	581
Gawler - Two Wells	2006	436
Playford	2006	368
Port Adelaide - East	2006	388
Salisbury	2006	419
Tea Tree Gully	2006	498
Holdfast Bay	2006	517
Marion	2006	440
Mitcham	2006	522
Onkaparinga	2006	439
Charles Sturt	2006	402
Port Adelaide - West	2006	377
West Torrens	2006	434
Barossa	2006	460
Lower North	2006	381
Mid North	2006	336
Yorke Peninsula	2006	327
Eyre Peninsula and South West	2006	391
Outback - North and East	2006	427
Fleurieu - Kangaroo Island	2006	366
Limestone Coast	2006	445
Murray and Mallee	2006	378
Migratory - Offshore - Shipping (SA)	2006	1733
No usual address (SA)	2006	344
Augusta - Margaret River - Busselton	2006	469
Bunbury	2006	468
Manjimup	2006	409
Mandurah	2006	383
Cottesloe - Claremont	2006	628
Perth City	2006	634
Bayswater - Bassendean	2006	492
Mundaring	2006	492
Swan	2006	493
Joondalup	2006	564
Stirling	2006	511
Wanneroo	2006	491
Armadale	2006	450
Belmont - Victoria Park	2006	506
Canning	2006	463
Gosnells	2006	484
Kalamunda	2006	526
Serpentine - Jarrahdale	2006	506
South Perth	2006	578
Cockburn	2006	499
Fremantle	2006	515
Kwinana	2006	434
Melville	2006	532
Rockingham	2006	460
Albany	2006	423
Wheat Belt - North	2006	426
Wheat Belt - South	2006	453
Kimberley	2006	456
East Pilbara	2006	844
West Pilbara	2006	924
Esperance	2006	479
Gascoyne	2006	475
Goldfields	2006	657
Mid West	2006	453
Migratory - Offshore - Shipping (WA)	2006	1589
No usual address (WA)	2006	446
Brighton	2006	382
Hobart - North East	2006	458
Hobart - North West	2006	380
Hobart - South and West	2006	487
Hobart Inner	2006	526
Sorell - Dodges Ferry	2006	402
Launceston	2006	408
Meander Valley - West Tamar	2006	374
North East	2006	357
Central Highlands (Tas.)	2006	358
Huon - Bruny Island	2006	353
South East Coast	2006	339
Burnie - Ulverstone	2006	357
Devonport	2006	371
West Coast	2006	406
Migratory - Offshore - Shipping (Tas.)	2006	1379
No usual address (Tas.)	2006	308
Darwin City	2006	782
Darwin Suburbs	2006	650
Litchfield	2006	663
Palmerston	2006	682
Alice Springs	2006	487
Barkly	2006	248
Daly - Tiwi - West Arnhem	2006	232
East Arnhem	2006	244
Katherine	2006	329
Migratory - Offshore - Shipping (NT)	2006	890
No usual address (NT)	2006	418
Belconnen	2006	680
Canberra East	2006	551
Gungahlin	2006	813
North Canberra	2006	646
South Canberra	2006	937
Tuggeranong	2006	703
Weston Creek	2006	738
Woden Valley	2006	769
Molonglo	2006	0
Urriarra - Namadgi	2006	543
Migratory - Offshore - Shipping (ACT)	2006	0
No usual address (ACT)	2006	444
Christmas Island	2006	682
Cocos (Keeling) Islands	2006	341
Jervis Bay	2006	418
Norfolk Island	2006	0
Migratory - Offshore - Shipping (OT)	2006	0
No usual address (OT)	2006	883
Queanbeyan	2011	833
Snowy Mountains	2011	556
South Coast	2011	437
Goulburn - Mulwaree	2011	510
Young - Yass	2011	551
Gosford	2011	534
Wyong	2011	469
Bathurst	2011	542
Lachlan Valley	2011	437
Lithgow - Mudgee	2011	446
Orange	2011	573
Clarence Valley	2011	397
Coffs Harbour	2011	460
Bourke - Cobar - Coonamble	2011	461
Broken Hill and Far West	2011	417
Dubbo	2011	506
Lower Hunter	2011	511
Maitland	2011	569
Port Stephens	2011	493
Upper Hunter	2011	584
Dapto - Port Kembla	2011	437
Illawarra Catchment Reserve	2011	549
Kiama - Shellharbour	2011	502
Wollongong	2011	522
Great Lakes	2011	393
Kempsey - Nambucca	2011	382
Lord Howe Island	2011	602
Port Macquarie	2011	447
Taree - Gloucester	2011	396
Albury	2011	545
Lower Murray	2011	463
Upper Murray exc. Albury	2011	454
Armidale	2011	485
Inverell - Tenterfield	2011	396
Moree - Narrabri	2011	548
Tamworth - Gunnedah	2011	501
Lake Macquarie - East	2011	535
Lake Macquarie - West	2011	496
Newcastle	2011	558
Richmond Valley - Coastal	2011	482
Richmond Valley - Hinterland	2011	440
Tweed Valley	2011	442
Griffith - Murrumbidgee (West)	2011	506
Tumut - Tumbarumba	2011	478
Wagga Wagga	2011	536
Shoalhaven	2011	426
Southern Highlands	2011	548
Baulkham Hills	2011	724
Dural - Wisemans Ferry	2011	651
Hawkesbury	2011	641
Rouse Hill - McGraths Hill	2011	739
Blacktown	2011	551
Blacktown - North	2011	740
Mount Druitt	2011	471
Botany	2011	575
Marrickville - Sydenham - Petersham	2011	730
Sydney Inner City	2011	888
Eastern Suburbs - North	2011	1049
Eastern Suburbs - South	2011	718
Bankstown	2011	439
Canterbury	2011	413
Hurstville	2011	543
Kogarah - Rockdale	2011	562
Canada Bay	2011	791
Leichhardt	2011	1086
Strathfield - Burwood - Ashfield	2011	591
Chatswood - Lane Cove	2011	903
Hornsby	2011	695
Ku-ring-gai	2011	814
North Sydney - Mosman	2011	1188
Manly	2011	986
Pittwater	2011	754
Warringah	2011	744
Camden	2011	719
Campbelltown (NSW)	2011	547
Wollondilly	2011	601
Blue Mountains	2011	590
Blue Mountains - South	2011	325
Penrith	2011	643
Richmond - Windsor	2011	594
St Marys	2011	587
Auburn	2011	420
Carlingford	2011	566
Merrylands - Guildford	2011	424
Parramatta	2011	609
Pennant Hills - Epping	2011	698
Ryde - Hunters Hill	2011	646
Bringelly - Green Valley	2011	489
Fairfield	2011	372
Liverpool	2011	532
Cronulla - Miranda - Caringbah	2011	720
Sutherland - Menai - Heathcote	2011	716
Migratory - Offshore - Shipping (NSW)	2011	490
No usual address (NSW)	2011	349
Ballarat	2011	515
Creswick - Daylesford - Ballan	2011	475
Maryborough - Pyrenees	2011	388
Bendigo	2011	519
Heathcote - Castlemaine - Kyneton	2011	491
Loddon - Elmore	2011	395
Barwon - West	2011	552
Geelong	2011	516
Surf Coast - Bellarine Peninsula	2011	555
Upper Goulburn Valley	2011	484
Wangaratta - Benalla	2011	490
Wodonga - Alpine	2011	536
Baw Baw	2011	512
Gippsland - East	2011	436
Gippsland - South West	2011	475
Latrobe Valley	2011	468
Wellington	2011	479
Brunswick - Coburg	2011	632
Darebin - South	2011	698
Essendon	2011	708
Melbourne City	2011	711
Port Phillip	2011	985
Stonnington - West	2011	972
Yarra	2011	865
Boroondara	2011	772
Manningham - West	2011	547
Whitehorse - West	2011	544
Bayside	2011	758
Glen Eira	2011	674
Kingston	2011	639
Stonnington - East	2011	783
Banyule	2011	618
Darebin - North	2011	457
Nillumbik - Kinglake	2011	689
Whittlesea - Wallan	2011	526
Keilor	2011	545
Macedon Ranges	2011	629
Moreland - North	2011	463
Sunbury	2011	626
Tullamarine - Broadmeadows	2011	436
Knox	2011	598
Manningham - East	2011	675
Maroondah	2011	611
Whitehorse - East	2011	588
Yarra Ranges	2011	579
Cardinia	2011	592
Casey - North	2011	555
Casey - South	2011	588
Dandenong	2011	412
Monash	2011	518
Brimbank	2011	421
Hobsons Bay	2011	595
Maribyrnong	2011	577
Melton - Bacchus Marsh	2011	604
Wyndham	2011	628
Frankston	2011	568
Mornington Peninsula	2011	538
Grampians	2011	478
Mildura	2011	463
Murray River - Swan Hill	2011	450
Campaspe	2011	469
Moira	2011	437
Shepparton	2011	510
Glenelg - Southern Grampians	2011	483
Colac - Corangamite	2011	489
Warrnambool	2011	531
Migratory - Offshore - Shipping (Vic.)	2011	1949
No usual address (Vic.)	2011	352
Capalaba	2011	647
Cleveland - Stradbroke	2011	580
Wynnum - Manly	2011	691
Bald Hills - Everton Park	2011	706
Chermside	2011	690
Nundah	2011	688
Sandgate	2011	627
Carindale	2011	726
Holland Park - Yeronga	2011	744
Mt Gravatt	2011	583
Nathan	2011	600
Rocklea - Acacia Ridge	2011	629
Sunnybank	2011	503
Centenary	2011	754
Kenmore - Brookfield - Moggill	2011	774
Sherwood - Indooroopilly	2011	616
The Gap - Enoggera	2011	737
Brisbane Inner	2011	825
Brisbane Inner - East	2011	912
Brisbane Inner - North	2011	854
Brisbane Inner - West	2011	859
Cairns - North	2011	683
Cairns - South	2011	601
Innisfail - Cassowary Coast	2011	474
Port Douglas - Daintree	2011	586
Tablelands (East) - Kuranda	2011	455
Darling Downs (West) - Maranoa	2011	569
Darling Downs - East	2011	505
Granite Belt	2011	446
Central Highlands (Qld)	2011	801
Rockhampton	2011	578
Biloela	2011	630
Gladstone	2011	689
Broadbeach - Burleigh	2011	591
Coolangatta	2011	536
Gold Coast - North	2011	528
Gold Coast Hinterland	2011	538
Mudgeeraba - Tallebudgera	2011	581
Nerang	2011	568
Ormeau - Oxenford	2011	652
Robina	2011	549
Southport	2011	505
Surfers Paradise	2011	613
Forest Lake - Oxley	2011	534
Ipswich Hinterland	2011	472
Ipswich Inner	2011	565
Springfield - Redbank	2011	650
Beaudesert	2011	466
Beenleigh	2011	529
Browns Plains	2011	589
Jimboomba	2011	637
Loganlea - Carbrook	2011	607
Springwood - Kingston	2011	542
Bowen Basin - North	2011	773
Mackay	2011	704
Whitsunday	2011	659
Bribie - Beachmere	2011	421
Caboolture	2011	511
Caboolture Hinterland	2011	474
Narangba - Burpengary	2011	565
Redcliffe	2011	520
The Hills District	2011	748
North Lakes	2011	678
Strathpine	2011	623
Far North	2011	420
Outback - North	2011	783
Outback - South	2011	583
Buderim	2011	541
Caloundra	2011	511
Maroochy	2011	552
Noosa	2011	529
Sunshine Coast Hinterland	2011	498
Nambour	2011	504
Noosa Hinterland	2011	479
Toowoomba	2011	557
Charters Towers - Ayr - Ingham	2011	491
Townsville	2011	675
Bundaberg	2011	430
Burnett	2011	392
Gympie - Cooloola	2011	413
Hervey Bay	2011	397
Maryborough	2011	395
Migratory - Offshore - Shipping (Qld)	2011	660
No usual address (Qld)	2011	379
Adelaide City	2011	562
Adelaide Hills	2011	634
Burnside	2011	715
Campbelltown (SA)	2011	518
Norwood - Payneham - St Peters	2011	601
Prospect - Walkerville	2011	671
Unley	2011	722
Gawler - Two Wells	2011	539
Playford	2011	454
Port Adelaide - East	2011	488
Salisbury	2011	504
Tea Tree Gully	2011	593
Holdfast Bay	2011	648
Marion	2011	553
Mitcham	2011	636
Onkaparinga	2011	543
Charles Sturt	2011	521
Port Adelaide - West	2011	482
West Torrens	2011	552
Barossa	2011	551
Lower North	2011	468
Mid North	2011	408
Yorke Peninsula	2011	396
Eyre Peninsula and South West	2011	503
Outback - North and East	2011	597
Fleurieu - Kangaroo Island	2011	441
Limestone Coast	2011	518
Murray and Mallee	2011	445
Migratory - Offshore - Shipping (SA)	2011	1125
No usual address (SA)	2011	369
Augusta - Margaret River - Busselton	2011	566
Bunbury	2011	597
Manjimup	2011	486
Mandurah	2011	492
Cottesloe - Claremont	2011	817
Perth City	2011	893
Bayswater - Bassendean	2011	655
Mundaring	2011	633
Swan	2011	658
Joondalup	2011	718
Stirling	2011	682
Wanneroo	2011	656
Armadale	2011	621
Belmont - Victoria Park	2011	699
Canning	2011	582
Gosnells	2011	623
Kalamunda	2011	681
Serpentine - Jarrahdale	2011	666
South Perth	2011	779
Cockburn	2011	689
Fremantle	2011	713
Kwinana	2011	605
Melville	2011	695
Rockingham	2011	620
Albany	2011	514
Wheat Belt - North	2011	531
Wheat Belt - South	2011	550
Kimberley	2011	667
East Pilbara	2011	1608
West Pilbara	2011	1650
Esperance	2011	594
Gascoyne	2011	629
Goldfields	2011	896
Mid West	2011	599
Migratory - Offshore - Shipping (WA)	2011	3000
No usual address (WA)	2011	490
Brighton	2011	491
Hobart - North East	2011	577
Hobart - North West	2011	478
Hobart - South and West	2011	609
Hobart Inner	2011	641
Sorell - Dodges Ferry	2011	521
Launceston	2011	501
Meander Valley - West Tamar	2011	442
North East	2011	421
Central Highlands (Tas.)	2011	418
Huon - Bruny Island	2011	447
South East Coast	2011	397
Burnie - Ulverstone	2011	440
Devonport	2011	458
West Coast	2011	500
Migratory - Offshore - Shipping (Tas.)	2011	1238
No usual address (Tas.)	2011	338
Darwin City	2011	1012
Darwin Suburbs	2011	846
Litchfield	2011	861
Palmerston	2011	913
Alice Springs	2011	695
Barkly	2011	367
Daly - Tiwi - West Arnhem	2011	297
East Arnhem	2011	345
Katherine	2011	468
Migratory - Offshore - Shipping (NT)	2011	1298
No usual address (NT)	2011	493
Belconnen	2011	858
Canberra East	2011	647
Gungahlin	2011	1019
North Canberra	2011	853
South Canberra	2011	1170
Tuggeranong	2011	900
Weston Creek	2011	909
Woden Valley	2011	948
Molonglo	2011	700
Urriarra - Namadgi	2011	902
Migratory - Offshore - Shipping (ACT)	2011	0
No usual address (ACT)	2011	498
Christmas Island	2011	1021
Cocos (Keeling) Islands	2011	487
Jervis Bay	2011	456
Norfolk Island	2011	0
Migratory - Offshore - Shipping (OT)	2011	0
No usual address (OT)	2011	1525
Queanbeyan	2016	930
Snowy Mountains	2016	669
South Coast	2016	524
Goulburn - Mulwaree	2016	618
Young - Yass	2016	662
Gosford	2016	632
Wyong	2016	568
Bathurst	2016	642
Lachlan Valley	2016	543
Lithgow - Mudgee	2016	529
Orange	2016	663
Clarence Valley	2016	478
Coffs Harbour	2016	557
Bourke - Cobar - Coonamble	2016	557
Broken Hill and Far West	2016	524
Dubbo	2016	617
Lower Hunter	2016	578
Maitland	2016	652
Port Stephens	2016	563
Upper Hunter	2016	635
Dapto - Port Kembla	2016	526
Illawarra Catchment Reserve	2016	374
Kiama - Shellharbour	2016	604
Wollongong	2016	620
Great Lakes	2016	476
Kempsey - Nambucca	2016	471
Lord Howe Island	2016	762
Port Macquarie	2016	540
Taree - Gloucester	2016	476
Albury	2016	634
Lower Murray	2016	576
Upper Murray exc. Albury	2016	561
Armidale	2016	569
Inverell - Tenterfield	2016	482
Moree - Narrabri	2016	656
Tamworth - Gunnedah	2016	620
Lake Macquarie - East	2016	624
Lake Macquarie - West	2016	582
Newcastle	2016	655
Richmond Valley - Coastal	2016	592
Richmond Valley - Hinterland	2016	516
Tweed Valley	2016	539
Griffith - Murrumbidgee (West)	2016	648
Tumut - Tumbarumba	2016	577
Wagga Wagga	2016	652
Shoalhaven	2016	511
Southern Highlands	2016	645
Baulkham Hills	2016	809
Dural - Wisemans Ferry	2016	748
Hawkesbury	2016	762
Rouse Hill - McGraths Hill	2016	854
Blacktown	2016	652
Blacktown - North	2016	845
Mount Druitt	2016	577
Botany	2016	720
Marrickville - Sydenham - Petersham	2016	900
Sydney Inner City	2016	956
Eastern Suburbs - North	2016	1238
Eastern Suburbs - South	2016	834
Bankstown	2016	509
Canterbury	2016	492
Hurstville	2016	612
Kogarah - Rockdale	2016	667
Canada Bay	2016	895
Leichhardt	2016	1235
Strathfield - Burwood - Ashfield	2016	700
Chatswood - Lane Cove	2016	1027
Hornsby	2016	793
Ku-ring-gai	2016	942
North Sydney - Mosman	2016	1361
Manly	2016	1193
Pittwater	2016	874
Warringah	2016	871
Camden	2016	820
Campbelltown (NSW)	2016	630
Wollondilly	2016	724
Blue Mountains	2016	689
Blue Mountains - South	2016	0
Penrith	2016	751
Richmond - Windsor	2016	688
St Marys	2016	683
Auburn	2016	519
Carlingford	2016	645
Merrylands - Guildford	2016	490
Parramatta	2016	722
Pennant Hills - Epping	2016	797
Ryde - Hunters Hill	2016	749
Bringelly - Green Valley	2016	614
Fairfield	2016	442
Liverpool	2016	603
Cronulla - Miranda - Caringbah	2016	839
Sutherland - Menai - Heathcote	2016	833
Migratory - Offshore - Shipping (NSW)	2016	540
No usual address (NSW)	2016	405
Ballarat	2016	592
Creswick - Daylesford - Ballan	2016	561
Maryborough - Pyrenees	2016	464
Bendigo	2016	609
Heathcote - Castlemaine - Kyneton	2016	590
Loddon - Elmore	2016	487
Barwon - West	2016	646
Geelong	2016	595
Surf Coast - Bellarine Peninsula	2016	662
Upper Goulburn Valley	2016	570
Wangaratta - Benalla	2016	578
Wodonga - Alpine	2016	636
Baw Baw	2016	585
Gippsland - East	2016	505
Gippsland - South West	2016	519
Latrobe Valley	2016	544
Wellington	2016	563
Brunswick - Coburg	2016	763
Darebin - South	2016	834
Essendon	2016	818
Melbourne City	2016	642
Port Phillip	2016	1087
Stonnington - West	2016	1111
Yarra	2016	1037
Boroondara	2016	869
Manningham - West	2016	604
Whitehorse - West	2016	595
Bayside	2016	897
Glen Eira	2016	776
Kingston	2016	749
Stonnington - East	2016	909
Banyule	2016	728
Darebin - North	2016	556
Nillumbik - Kinglake	2016	776
Whittlesea - Wallan	2016	601
Keilor	2016	655
Macedon Ranges	2016	728
Moreland - North	2016	584
Sunbury	2016	695
Tullamarine - Broadmeadows	2016	491
Knox	2016	664
Manningham - East	2016	735
Maroondah	2016	696
Whitehorse - East	2016	658
Yarra Ranges	2016	667
Cardinia	2016	679
Casey - North	2016	611
Casey - South	2016	661
Dandenong	2016	486
Monash	2016	564
Brimbank	2016	482
Hobsons Bay	2016	721
Maribyrnong	2016	703
Melton - Bacchus Marsh	2016	656
Wyndham	2016	680
Frankston	2016	660
Mornington Peninsula	2016	630
Grampians	2016	556
Mildura	2016	555
Murray River - Swan Hill	2016	531
Campaspe	2016	562
Moira	2016	524
Shepparton	2016	588
Glenelg - Southern Grampians	2016	556
Colac - Corangamite	2016	562
Warrnambool	2016	618
Migratory - Offshore - Shipping (Vic.)	2016	3000
No usual address (Vic.)	2016	398
Capalaba	2016	725
Cleveland - Stradbroke	2016	658
Wynnum - Manly	2016	783
Bald Hills - Everton Park	2016	805
Chermside	2016	792
Nundah	2016	814
Sandgate	2016	701
Carindale	2016	852
Holland Park - Yeronga	2016	829
Mt Gravatt	2016	647
Nathan	2016	689
Rocklea - Acacia Ridge	2016	664
Sunnybank	2016	535
Centenary	2016	813
Kenmore - Brookfield - Moggill	2016	860
Sherwood - Indooroopilly	2016	642
The Gap - Enoggera	2016	833
Brisbane Inner	2016	855
Brisbane Inner - East	2016	1032
Brisbane Inner - North	2016	951
Brisbane Inner - West	2016	953
Cairns - North	2016	768
Cairns - South	2016	662
Innisfail - Cassowary Coast	2016	540
Port Douglas - Daintree	2016	677
Tablelands (East) - Kuranda	2016	528
Darling Downs (West) - Maranoa	2016	661
Darling Downs - East	2016	589
Granite Belt	2016	510
Central Highlands (Qld)	2016	814
Rockhampton	2016	623
Biloela	2016	714
Gladstone	2016	678
Broadbeach - Burleigh	2016	721
Coolangatta	2016	648
Gold Coast - North	2016	604
Gold Coast Hinterland	2016	639
Mudgeeraba - Tallebudgera	2016	691
Nerang	2016	661
Ormeau - Oxenford	2016	731
Robina	2016	651
Southport	2016	575
Surfers Paradise	2016	672
Forest Lake - Oxley	2016	580
Ipswich Hinterland	2016	538
Ipswich Inner	2016	640
Springfield - Redbank	2016	715
Beaudesert	2016	524
Beenleigh	2016	591
Browns Plains	2016	636
Jimboomba	2016	717
Loganlea - Carbrook	2016	672
Springwood - Kingston	2016	584
Bowen Basin - North	2016	772
Mackay	2016	698
Whitsunday	2016	735
Bribie - Beachmere	2016	489
Caboolture	2016	558
Caboolture Hinterland	2016	568
Narangba - Burpengary	2016	629
Redcliffe	2016	595
The Hills District	2016	821
North Lakes	2016	751
Strathpine	2016	669
Far North	2016	494
Outback - North	2016	842
Outback - South	2016	670
Buderim	2016	644
Caloundra	2016	607
Maroochy	2016	650
Noosa	2016	630
Sunshine Coast Hinterland	2016	572
Nambour	2016	589
Noosa Hinterland	2016	560
Toowoomba	2016	649
Charters Towers - Ayr - Ingham	2016	552
Townsville	2016	703
Bundaberg	2016	495
Burnett	2016	471
Gympie - Cooloola	2016	479
Hervey Bay	2016	477
Maryborough	2016	457
Migratory - Offshore - Shipping (Qld)	2016	606
No usual address (Qld)	2016	407
Adelaide City	2016	553
Adelaide Hills	2016	709
Burnside	2016	807
Campbelltown (SA)	2016	589
Norwood - Payneham - St Peters	2016	681
Prospect - Walkerville	2016	766
Unley	2016	791
Gawler - Two Wells	2016	607
Playford	2016	497
Port Adelaide - East	2016	558
Salisbury	2016	533
Tea Tree Gully	2016	658
Holdfast Bay	2016	751
Marion	2016	629
Mitcham	2016	713
Onkaparinga	2016	594
Charles Sturt	2016	611
Port Adelaide - West	2016	542
West Torrens	2016	621
Barossa	2016	635
Lower North	2016	550
Mid North	2016	484
Yorke Peninsula	2016	480
Eyre Peninsula and South West	2016	576
Outback - North and East	2016	640
Fleurieu - Kangaroo Island	2016	504
Limestone Coast	2016	607
Murray and Mallee	2016	523
Migratory - Offshore - Shipping (SA)	2016	1749
No usual address (SA)	2016	370
Augusta - Margaret River - Busselton	2016	658
Bunbury	2016	643
Manjimup	2016	566
Mandurah	2016	553
Cottesloe - Claremont	2016	926
Perth City	2016	973
Bayswater - Bassendean	2016	728
Mundaring	2016	682
Swan	2016	721
Joondalup	2016	776
Stirling	2016	761
Wanneroo	2016	708
Armadale	2016	698
Belmont - Victoria Park	2016	761
Canning	2016	605
Gosnells	2016	636
