SA3_NAME16	Year	adults
Loganlea - Carbrook	2006	38054
Loganlea - Carbrook	2011	43041
Loganlea - Carbrook	2016	47308
Lord Howe Island	2006	289
Lord Howe Island	2011	301
Lord Howe Island	2016	323
Lower Hunter	2006	59320
Lower Hunter	2011	64530
Lower Hunter	2016	69748
Lower Murray	2006	10176
Lower Murray	2011	9938
Lower Murray	2016	10181
Lower North	2006	17080
Lower North	2011	17825
Lower North	2016	18526
Macedon Ranges	2006	18101
Macedon Ranges	2011	20709
Macedon Ranges	2016	23259
Mackay	2006	78672
Mackay	2011	88834
Mackay	2016	91203
Maitland	2006	45101
Maitland	2011	50158
Maitland	2016	57912
Mandurah	2006	54234
Mandurah	2011	67504
Mandurah	2016	79181
Manjimup	2006	16092
Manjimup	2011	17220
Manjimup	2016	18683
Manly	2006	30629
Manly	2011	32235
Manly	2016	34018
Manningham - East	2006	20137
Manningham - East	2011	20568
Manningham - East	2016	21286
Manningham - West	2006	70974
Manningham - West	2011	72518
Manningham - West	2016	76330
Maribyrnong	2006	52832
Maribyrnong	2011	59772
Maribyrnong	2016	69096
Marion	2006	66821
Marion	2011	70679
Marion	2016	75454
Maroochy	2006	39707
Maroochy	2011	42830
Maroochy	2016	48068
Maroondah	2006	79510
Maroondah	2011	84020
Maroondah	2016	89413
Marrickville - Sydenham - Petersham	2006	41124
Marrickville - Sydenham - Petersham	2011	43191
Marrickville - Sydenham - Petersham	2016	46955
Maryborough	2006	31201
Maryborough	2011	34433
Maryborough	2016	37411
Maryborough - Pyrenees	2006	18758
Maryborough - Pyrenees	2011	19782
Maryborough - Pyrenees	2016	21245
Meander Valley - West Tamar	2006	17421
Meander Valley - West Tamar	2011	17841
Meander Valley - West Tamar	2016	18670
Melbourne City	2006	71057
Melbourne City	2011	86974
Melbourne City	2016	127246
Melton - Bacchus Marsh	2006	69738
Melton - Bacchus Marsh	2011	94178
Melton - Bacchus Marsh	2016	116254
Melville	2006	78774
Melville	2011	81714
Melville	2016	83485
Merrylands - Guildford	2006	96754
Merrylands - Guildford	2011	106456
Merrylands - Guildford	2016	118529
Mid North	2006	21798
Mid North	2011	22065
Mid North	2016	22582
Mid West	2006	37328
Mid West	2011	42205
Mid West	2016	43354
Migratory - Offshore - Shipping (ACT)	2006	0
Migratory - Offshore - Shipping (ACT)	2011	0
Migratory - Offshore - Shipping (ACT)	2016	0
Migratory - Offshore - Shipping (NSW)	2006	47
Migratory - Offshore - Shipping (NSW)	2011	110
Migratory - Offshore - Shipping (NSW)	2016	371
Migratory - Offshore - Shipping (NT)	2006	101
Migratory - Offshore - Shipping (NT)	2011	108
Migratory - Offshore - Shipping (NT)	2016	67
Migratory - Offshore - Shipping (OT)	2006	0
Migratory - Offshore - Shipping (OT)	2011	0
Migratory - Offshore - Shipping (OT)	2016	3
Migratory - Offshore - Shipping (Qld)	2006	101
Migratory - Offshore - Shipping (Qld)	2011	453
Migratory - Offshore - Shipping (Qld)	2016	154
Migratory - Offshore - Shipping (SA)	2006	4
Migratory - Offshore - Shipping (SA)	2011	6
Migratory - Offshore - Shipping (SA)	2016	3
Migratory - Offshore - Shipping (Tas.)	2006	86
Migratory - Offshore - Shipping (Tas.)	2011	102
Migratory - Offshore - Shipping (Tas.)	2016	70
Migratory - Offshore - Shipping (Vic.)	2006	47
Migratory - Offshore - Shipping (Vic.)	2011	38
Migratory - Offshore - Shipping (Vic.)	2016	23
Migratory - Offshore - Shipping (WA)	2006	340
Migratory - Offshore - Shipping (WA)	2011	410
Migratory - Offshore - Shipping (WA)	2016	436
Mildura	2006	38672
Mildura	2011	40277
Mildura	2016	43645
Mitcham	2006	50457
Mitcham	2011	50942
Mitcham	2016	52358
Moira	2006	21586
Moira	2011	22687
Moira	2016	23970
Molonglo	2006	0
Molonglo	2011	10
Molonglo	2016	3602
Monash	2006	130687
Monash	2011	137156
Monash	2016	147479
Moree - Narrabri	2006	20102
Moree - Narrabri	2011	19808
Moree - Narrabri	2016	20048
Moreland - North	2006	50635
Moreland - North	2011	55358
Moreland - North	2016	61460
Mornington Peninsula	2006	110742
Mornington Peninsula	2011	118054
Mornington Peninsula	2016	128156
Mount Druitt	2006	69948
Mount Druitt	2011	77032
Mount Druitt	2016	85033
Mt Gravatt	2006	50203
Mt Gravatt	2011	54196
Mt Gravatt	2016	58569
Mudgeeraba - Tallebudgera	2006	20329
Mudgeeraba - Tallebudgera	2011	23719
Mudgeeraba - Tallebudgera	2016	25754
Mundaring	2006	30436
Mundaring	2011	32695
Mundaring	2016	34650
Murray River - Swan Hill	2006	30763
Murray River - Swan Hill	2011	29923
Murray River - Swan Hill	2016	30714
Murray and Mallee	2006	53211
Murray and Mallee	2011	55025
Murray and Mallee	2016	57724
Nambour	2006	26632
Nambour	2011	29860
Nambour	2016	34309
Narangba - Burpengary	2006	39001
Narangba - Burpengary	2011	44443
Narangba - Burpengary	2016	49008
Nathan	2006	28181
Nathan	2011	30051
Nathan	2016	31858
Nerang	2006	42603
Nerang	2011	49180
Nerang	2016	53529
Newcastle	2006	122656
Newcastle	2011	128997
Newcastle	2016	136112
Nillumbik - Kinglake	2006	49483
Nillumbik - Kinglake	2011	50577
Nillumbik - Kinglake	2016	52293
No usual address (ACT)	2006	610
No usual address (ACT)	2011	573
No usual address (ACT)	2016	510
No usual address (NSW)	2006	9214
No usual address (NSW)	2011	11731
No usual address (NSW)	2016	11554
No usual address (NT)	2006	1736
No usual address (NT)	2011	1722
No usual address (NT)	2016	2283
No usual address (OT)	2006	25
No usual address (OT)	2011	23
No usual address (OT)	2016	51
No usual address (Qld)	2006	11574
No usual address (Qld)	2011	11475
No usual address (Qld)	2016	11696
No usual address (SA)	2006	2352
No usual address (SA)	2011	2774
No usual address (SA)	2016	2645
No usual address (Tas.)	2006	773
No usual address (Tas.)	2011	970
No usual address (Tas.)	2016	829
No usual address (Vic.)	2006	5651
No usual address (Vic.)	2011	7263
No usual address (Vic.)	2016	6830
No usual address (WA)	2006	5495
No usual address (WA)	2011	6690
No usual address (WA)	2016	5558
Noosa	2006	26300
Noosa	2011	29409
Noosa	2016	33976
Noosa Hinterland	2006	14930
Noosa Hinterland	2011	16255
Noosa Hinterland	2016	17840
Norfolk Island	2006	0
Norfolk Island	2011	0
Norfolk Island	2016	1441
North Canberra	2006	36508
North Canberra	2011	42065
North Canberra	2016	46396
North East	2006	28775
North East	2011	29581
North East	2016	30842
North Lakes	2006	25720
North Lakes	2011	38832
North Lakes	2016	53771
North Sydney - Mosman	2006	73279
North Sydney - Mosman	2011	76499
North Sydney - Mosman	2016	80754
Norwood - Payneham - St Peters	2006	29128
Norwood - Payneham - St Peters	2011	30025
Norwood - Payneham - St Peters	2016	30319
Nundah	2006	24975
Nundah	2011	28960
Nundah	2016	32410
Onkaparinga	2006	120192
Onkaparinga	2011	129447
Onkaparinga	2016	136591
Orange	2006	39329
Orange	2011	42317
Orange	2016	45328
Ormeau - Oxenford	2006	49526
Ormeau - Oxenford	2011	70916
Ormeau - Oxenford	2016	91612
Outback - North	2006	22890
Outback - North	2011	25214
Outback - North	2016	22650
Outback - North and East	2006	21021
Outback - North and East	2011	22437
Outback - North and East	2016	21140
Outback - South	2006	15291
Outback - South	2011	15529
Outback - South	2016	14251
Palmerston	2006	16634
Palmerston	2011	20222
Palmerston	2016	25017
Parramatta	2006	90612
Parramatta	2011	101806
Parramatta	2016	113535
Pennant Hills - Epping	2006	33335
Pennant Hills - Epping	2011	35317
Pennant Hills - Epping	2016	38924
Penrith	2006	91726
Penrith	2011	97266
Penrith	2016	109649
Perth City	2006	69501
Perth City	2011	80090
Perth City	2016	88013
Pittwater	2006	43362
Pittwater	2011	45728
Pittwater	2016	48693
Playford	2006	54141
Playford	2011	61555
Playford	2016	69496
Port Adelaide - East	2006	45653
Port Adelaide - East	2011	50161
Port Adelaide - East	2016	55942
Port Adelaide - West	2006	43492
Port Adelaide - West	2011	47083
Port Adelaide - West	2016	48871
Port Douglas - Daintree	2006	8205
Port Douglas - Daintree	2011	8765
Port Douglas - Daintree	2016	9707
Port Macquarie	2006	55902
Port Macquarie	2011	59756
Port Macquarie	2016	65465
Port Phillip	2006	76693
Port Phillip	2011	81335
Port Phillip	2016	89082
Port Stephens	2006	49799
Port Stephens	2011	54507
Port Stephens	2016	58823
Prospect - Walkerville	2006	21873
Prospect - Walkerville	2011	22558
Prospect - Walkerville	2016	23469
Queanbeyan	2006	38398
Queanbeyan	2011	42500
Queanbeyan	2016	46103
Redcliffe	2006	42314
Redcliffe	2011	46483
Redcliffe	2016	49652
Richmond - Windsor	2006	27154
Richmond - Windsor	2011	28151
Richmond - Windsor	2016	29612
Richmond Valley - Coastal	2006	58390
Richmond Valley - Coastal	2011	59954
Richmond Valley - Coastal	2016	65270
Richmond Valley - Hinterland	2006	53568
Richmond Valley - Hinterland	2011	55365
Richmond Valley - Hinterland	2016	57194
Robina	2006	32718
Robina	2011	36948
Robina	2016	40784
Rockhampton	2006	79351
Rockhampton	2011	86496
Rockhampton	2016	92575
Rockingham	2006	64777
Rockingham	2011	80417
Rockingham	2016	97191
