SA3_NAME16	Year	CountryOfBirth	Sex	persons
Snowy Mountains	2011	GBR	M	367
Snowy Mountains	2011	GRC	F	6
Snowy Mountains	2011	GRC	M	7
Snowy Mountains	2011	HKG	F	3
Snowy Mountains	2011	HKG	M	5
Snowy Mountains	2011	HRV	F	6
Snowy Mountains	2011	HRV	M	11
Snowy Mountains	2011	IDN	F	14
Snowy Mountains	2011	IDN	M	5
Snowy Mountains	2011	IND	F	19
Snowy Mountains	2011	IND	M	22
Snowy Mountains	2011	IRL	F	18
Snowy Mountains	2011	IRL	M	17
Snowy Mountains	2011	IRN	F	0
Snowy Mountains	2011	IRN	M	3
Snowy Mountains	2011	IRQ	F	0
Snowy Mountains	2011	IRQ	M	0
Snowy Mountains	2011	ITA	F	40
Snowy Mountains	2011	ITA	M	47
Snowy Mountains	2011	JPN	F	10
Snowy Mountains	2011	JPN	M	0
Snowy Mountains	2011	KOR	F	0
Snowy Mountains	2011	KOR	M	3
Snowy Mountains	2011	LBN	F	11
Snowy Mountains	2011	LBN	M	21
Snowy Mountains	2011	LKA	F	8
Snowy Mountains	2011	LKA	M	10
Snowy Mountains	2011	MKD	F	3
Snowy Mountains	2011	MKD	M	3
Snowy Mountains	2011	MLT	F	3
Snowy Mountains	2011	MLT	M	3
Snowy Mountains	2011	MYS	F	16
Snowy Mountains	2011	MYS	M	9
Snowy Mountains	2011	NLD	F	48
Snowy Mountains	2011	NLD	M	41
Snowy Mountains	2011	NZL	F	116
Snowy Mountains	2011	NZL	M	126
Snowy Mountains	2011	PAK	F	0
Snowy Mountains	2011	PAK	M	0
Snowy Mountains	2011	PHL	F	26
Snowy Mountains	2011	PHL	M	11
Snowy Mountains	2011	POL	F	9
Snowy Mountains	2011	POL	M	12
Snowy Mountains	2011	SGP	F	7
Snowy Mountains	2011	SGP	M	6
Snowy Mountains	2011	THA	F	22
Snowy Mountains	2011	THA	M	7
Snowy Mountains	2011	TUR	F	3
Snowy Mountains	2011	TUR	M	4
Snowy Mountains	2011	USA	F	42
Snowy Mountains	2011	USA	M	26
Snowy Mountains	2011	VNM	F	3
Snowy Mountains	2011	VNM	M	0
Snowy Mountains	2011	ZAF	F	27
