GCCSA_CODE_2016,C16_P_NatPhy_sci_15_19,C16_P_NatPhy_sci_20_24,C16_P_NatPhy_sci_25_34,C16_P_NatPhy_sci_35_44,C16_P_NatPhy_sci_45_54,C16_P_NatPhy_sci_55_64,C16_P_NatPhy_sci_65_74,C16_P_NatPhy_sci_75_84,C16_P_NatPhy_sci_85_ov,C16_P_NatPhy_sci_Tot,C16_P_InfTec_15_19,C16_P_InfTec_20_24,C16_P_InfTec_25_34,C16_P_InfTec_35_44,C16_P_InfTec_45_54,C16_P_InfTec_55_64,C16_P_InfTec_65_74,C16_P_InfTec_75_84,C16_P_InfTec_85_ov,C16_P_InfTec_Tot,C16_P_EngRT_15_19,C16_P_EngRT_20_24,C16_P_EngRT_25_34,C16_P_EngRT_35_44,C16_P_EngRT_45_54,C16_P_EngRT_55_64,C16_P_EngRT_65_74,C16_P_EngRT_75_84,C16_P_EngRT_85_ov,C16_P_EngRT_Tot,C16_P_ArchBuild_15_19,C16_P_ArchBuild_20_24,C16_P_ArchBuild_25_34,C16_P_ArchBuild_35_44,C16_P_ArchBuild_45_54,C16_P_ArchBuild_55_64,C16_P_ArchBuild_65_74,C16_P_ArchBuild_75_84,C16_P_ArchBuild_85o,C16_P_Arch_building_Tot,C16_P_AgEnv_RS_15_19,C16_P_AgEnv_RS_20_24,C16_P_AgEnv_RS_25_34,C16_P_AgEnv_RS_35_44,C16_P_AgEnv_RS_45_54,C16_P_AgEnv_RS_55_64,C16_P_AgEnv_RS_65_74,C16_P_AgEnv_RS_75_84,C16_P_AgEnv_RS_85o,C16_P_AgEnv_RS_Tot,C16_P_Health_15_19,C16_P_Health_20_24,C16_P_Health_25_34,C16_P_Health_35_44,C16_P_Health_45_54,C16_P_Health_55_64,C16_P_Health_65_74,C16_P_Health_75_84,C16_P_Health_85o,C16_P_Healt_To,C16_P_Educ_15_19,C16_P_Educ_20_24,C16_P_Educ_25_34,C16_P_Educ_35_44,C16_P_Educ_45_54,C16_P_Educ_55_64,C16_P_Educ_65_74,C16_P_Educ_75_84,C16_P_Educ_85o,C16_P_Educ_Tot,C16_P_MngtCom_15_19,C16_P_MngtCom_20_24,C16_P_MngtCom_25_34,C16_P_MngtCom_35_44,C16_P_MngtCom_45_54,C16_P_MngtCom_55_64,C16_P_MngtCom_65_74,C16_P_MngtCom_75_84,C16_P_MngtCom_85o,C16_P_MngtCom_Tot,C16_P_Soc_cult_15_19,C16_P_Soc_cult_20_24,C16_P_Soc_cult_25_34,C16_P_Soc_cult_35_44,C16_P_Soc_cult_45_54,C16_P_Soc_cult_55_64,C16_P_Soc_cult_65_74,C16_P_Soc_cult_75_84,C16_P_Soc_cult_85o,C16_P_Society_cultur_Tot,C16_P_Creative_art_15_19,C16_P_Creative_art_20_24,C16_P_Creative_art_25_34,C16_P_Creative_art_35_44,C16_P_Creative_art_45_54,C16_P_Creative_art_55_64,C16_P_Creative_art_65_74,C16_P_Creative_art_75_84,C16_P_Creative_art_85o,C16_P_Creative_arts_Tot,C16_P_FoodHos_PS_15_19,C16_P_FoodHos_PS_20_24,C16_P_FoodHos_PS_25_34,C16_P_FoodHos_PS_35_44,C16_P_FoodHos_PS_45_54,C16_P_FoodHos_PS_55_64,C16_P_FoodHos_PS_65_74,C16_P_FoodHos_PS_75_84,C16_P_FoodHos_PS_85o,C16_P_Foo_hos_pers_S_Tot,C16_P_MixFld_pr_15_19,C16_P_MixFld_pr_20_24,C16_P_MixFld_pr_25_34,C16_P_MixFld_pr_35_44,C16_P_MixFld_pr_45_54,C16_P_MixFld_pr_55_64,C16_P_MixFld_pr_65_74,C16_P_MixFld_pr_75_84,C16_P_MixFld_pr_85_ov,C16_P_MixFld_pr_Tot,C16_P_FldStu_ID_15_19,C16_P_FldStu_ID_20_24,C16_P_FldStu_ID_25_34,C16_P_FldStu_ID_35_44,C16_P_FldStu_ID_45_54,C16_P_FldStu_ID_55_64,C16_P_FldStu_ID_65_74,C16_P_FldStu_ID_75_84,C16_P_FldStu_ID_85o,C16_P_FldStu_ID_Tot,C16_P_FldStu_NS_15_19,C16_P_FldStu_NS_20_24,C16_P_FldStu_NS_25_34,C16_P_FldStu_NS_35_44,C16_P_FldStu_NS_45_54,C16_P_FldStu_NS_55_64,C16_P_FldStu_NS_65_74,C16_P_FldStu_NS_75_84,C16_P_FldStu_NS_85o,C16_P_FldStu_NS_T,C16_P_Tot_15_19,C16_P_Tot_20_24,C16_P_Tot_25_34,C16_P_Tot_35_44,C16_P_Tot_45_54,C16_P_Tot_55_64,C16_P_Tot_65_74,C16_P_Tot_75_84,C16_P_Tot_85o,C16_P_T_T
6RTAS,5,74,337,454,455,453,371,116,33,2297,36,178,460,385,320,237,101,21,0,1733,183,1099,2858,3228,3939,4171,3136,1466,396,20479,104,630,1431,1101,1453,1620,1058,544,111,8052,93,350,918,1055,1010,698,397,173,37,4740,69,585,1896,1839,2433,2863,1727,702,232,12344,26,231,1347,1811,1962,2390,1824,829,211,10616,227,1081,3091,3323,3381,2911,1710,505,172,16396,215,935,2184,2504,2992,2741,1403,352,80,13407,25,222,550,608,553,559,439,158,46,3164,290,815,1779,1613,1297,968,662,208,44,7689,19,29,34,29,35,83,97,64,32,416,17,46,192,227,322,306,204,83,23,1414,1918,1298,2401,2610,3500,3822,4175,2848,1272,23833,3226,7578,19474,20787,23651,23809,17295,8072,2687,126584
6GHOB,3,252,928,987,838,647,419,141,61,4279,29,280,891,642,405,248,105,16,3,2617,68,618,2031,2182,2510,2524,1956,1080,360,13327,62,474,1416,1083,1170,1134,678,371,136,6526,31,121,432,568,546,408,157,68,23,2343,41,518,2023,1911,2125,2138,1318,627,243,10941,11,156,1206,1476,1489,2108,1423,638,211,8716,208,1139,3947,3636,3342,2647,1516,595,270,17302,133,978,2937,2922,2830,2580,1466,412,125,14383,40,273,903,766,629,489,356,142,44,3645,144,643,1498,1219,996,629,363,129,45,5665,26,43,35,29,23,43,69,45,18,322,18,71,250,324,280,262,146,71,33,1461,1107,1016,2131,1958,2150,2252,2097,1704,869,15282,1918,6584,20624,19713,19325,18103,12072,6043,2445,106815
69799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,8,3,3,0,0,21,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,6,19,6,5,5,7,0,0,44
69499,0,0,7,0,0,3,8,0,0,12,0,0,3,0,0,0,0,0,0,4,3,3,17,11,10,9,7,0,0,59,0,0,3,6,0,6,4,0,0,20,0,4,3,0,3,0,0,0,0,16,0,3,7,8,10,11,0,0,0,42,0,0,3,0,3,4,3,0,0,19,0,8,11,10,5,7,4,0,0,47,0,5,9,10,12,12,3,0,0,47,0,0,10,6,4,0,4,0,0,21,3,7,12,0,3,0,0,0,0,28,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,7,12,20,44,34,37,18,13,6,0,186,20,51,127,93,80,78,50,10,0,517
5RWAU,20,228,1140,1302,863,652,381,108,25,4720,105,234,600,573,369,229,105,20,0,2231,581,3062,10766,10087,9541,7799,4652,1726,415,48630,238,923,2990,2486,2465,2256,1367,603,130,13455,254,616,1881,2231,1929,1469,829,344,78,9631,197,775,3758,3906,4056,4257,2363,975,247,20542,95,651,3270,4231,4309,4107,2110,723,154,19658,626,1818,6309,6423,5651,4121,2315,716,183,28158,482,1114,3781,3958,3620,3185,1529,350,84,18102,143,339,1041,960,752,610,421,145,37,4445,349,1074,3183,2796,2285,1394,833,232,73,12228,59,61,88,66,69,83,103,91,32,659,26,96,441,520,580,407,197,90,24,2378,4157,3562,10131,9277,9457,8229,6036,3924,1881,56648,7340,14554,49371,48832,45940,38800,23237,10054,3361,241489
5GPER,100,3283,8969,7983,6385,4371,2601,790,256,34745,491,1872,7920,7448,4116,1951,587,86,7,24477,1433,10669,37194,34801,32610,26610,17702,8319,2242,171572,753,4297,13738,10127,9365,7163,4930,2769,698,53832,188,979,3573,3556,2767,1810,1092,476,128,14577,700,6300,23629,19664,18071,14516,8332,3903,1259,96373,417,2674,12259,14486,15315,14259,8117,3339,931,71798,2160,11509,45126,42110,34037,21966,12859,4902,1576,176246,1757,7789,24840,22336,18347,14418,7715,2312,600,100115,945,4086,9540,6494,4111,2657,1648,682,227,30385,1478,5114,14403,10313,8331,5036,3101,1052,359,49185,269,292,331,286,269,299,372,326,115,2556,120,689,2459,2412,2258,1525,857,467,170,10954,8489,10637,26980,21348,19309,16107,13860,12114,8540,137378,19297,70182,230955,203347,175294,132687,83771,41545,17115,974194
59799,0,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4,46,51,38,13,3,0,0,163,0,0,15,0,3,3,0,0,0,22,0,0,0,3,0,0,0,0,0,3,0,0,0,3,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,3,3,0,6,0,0,0,0,12,0,0,3,0,0,0,0,0,0,6,0,0,3,0,0,0,0,0,0,3,0,0,8,6,4,4,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,0,3,27,22,21,8,0,0,0,82,0,11,106,100,83,31,4,3,0,338
59499,0,12,26,18,10,10,3,0,0,73,0,4,13,10,5,8,5,0,0,45,3,36,161,90,111,110,70,9,3,593,4,14,65,42,23,35,18,0,0,197,0,11,22,16,12,17,12,0,0,82,4,12,67,23,30,46,25,4,0,205,0,10,30,16,13,42,26,3,3,138,3,33,101,57,43,68,41,8,0,354,3,19,73,26,28,42,16,0,0,212,0,14,38,10,12,9,10,0,0,85,0,13,45,31,23,30,10,3,0,161,0,0,4,0,0,0,3,0,0,13,0,3,6,11,10,3,4,3,0,44,45,132,382,320,360,212,130,26,8,1601,66,310,1033,673,680,633,368,58,13,3820
4RSAU,3,80,471,498,444,442,376,91,28,2436,47,119,311,305,219,186,103,17,5,1302,280,1614,4521,4584,5414,5503,4472,2115,579,29086,121,549,1374,1096,1309,1473,1213,582,148,7863,184,527,1571,1950,1664,1151,689,222,97,8057,83,673,2266,2307,3252,3970,2127,824,270,15769,41,469,2107,2149,2043,2814,2322,657,187,12794,274,1208,3805,4274,4015,3331,1980,634,211,19725,325,1012,2891,3014,3460,3118,1656,379,74,15931,50,190,493,455,366,387,255,101,44,2335,331,881,2097,1870,1514,1118,818,258,57,8953,23,25,66,53,66,71,95,87,55,540,27,79,201,250,346,230,232,95,46,1511,2472,1836,3944,4023,4913,5121,5029,3691,2223,33257,4257,9254,26117,26842,29030,28921,21363,9766,4009,159554
4GADE,31,1436,4696,4536,3605,2935,1921,700,214,20083,232,1073,5183,4758,2717,1585,496,74,9,16123,640,4725,16501,16339,18051,15663,12529,6828,2459,93739,544,2663,6994,5169,5283,4581,3256,1909,629,31031,161,794,2447,2317,2061,1456,745,280,101,10368,355,4177,16098,13918,13580,12800,6660,2881,1228,71692,94,1511,7677,8067,7919,10251,7727,2452,902,46602,1083,7174,27306,26909,21725,15055,8572,3073,1194,112093,1217,5836,17579,16824,15248,12542,7098,1978,580,78899,422,2196,5723,4277,2973,2046,1271,501,189,19602,1057,3528,8267,6285,5347,3341,2329,803,281,31228,127,185,169,172,230,212,289,290,129,1806,89,370,1620,1819,1473,1115,741,354,180,7774,5097,5323,11452,10151,10679,10066,9386,8205,5884,76231,11159,41001,131717,121543,110892,93644,63012,30330,13966,617270
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
49499,0,3,13,3,9,3,3,0,0,32,0,0,5,3,0,0,0,0,0,11,3,21,61,33,28,42,36,10,5,229,0,3,22,11,13,10,13,3,0,83,0,3,10,7,9,3,8,0,0,40,0,3,25,17,25,18,3,0,0,92,0,0,11,7,11,12,13,0,0,51,3,15,60,14,25,28,16,0,3,167,3,9,36,16,28,19,15,0,0,130,3,10,14,9,8,0,5,0,0,43,4,8,20,14,6,9,3,0,0,66,0,0,0,0,0,4,0,0,0,10,0,3,0,3,10,0,0,0,0,18,33,51,112,127,152,89,49,12,3,630,49,128,393,264,317,247,159,30,10,1595
3RQLD,139,1403,4023,4249,3645,3044,2181,762,183,19632,568,1542,3812,3942,2553,1710,763,121,13,15025,2060,10741,33221,33674,35925,32882,25154,11592,2981,188219,810,4160,14583,14633,14218,13745,9261,4171,928,76519,638,1842,5284,6430,5596,4077,2140,892,219,27108,804,6407,21661,21030,22641,20472,11134,4796,1436,110369,357,2797,14056,18315,18757,17581,10945,4040,1016,87866,3985,12323,36987,38101,34229,24982,14303,4768,1358,171030,3075,8743,22018,23120,21734,17747,9273,2441,458,108615,888,2943,6700,5659,4135,3066,2122,838,244,26602,3494,7362,16559,14822,12242,7649,5190,1506,419,69250,343,289,313,247,326,420,530,435,227,3141,279,559,1961,2591,2684,1962,1222,631,201,12083,15678,15177,31223,29736,31793,29446,26320,18653,10890,208916,33117,76295,212410,216546,210481,178773,120546,55642,20575,1124382
3GBRI,179,2903,8212,7358,5841,4070,2576,825,226,32189,813,3028,10312,10636,5942,2648,787,104,8,34271,1473,8808,32036,31351,31625,27045,19097,8989,2545,162974,777,4430,15226,12736,11090,8930,6110,2891,796,62991,299,1162,3422,4018,3180,2136,1154,453,116,15944,806,7395,25890,22814,21130,16510,9229,4005,1369,109155,349,2703,13547,17216,16838,15256,9652,3532,866,79954,4041,18612,57244,53544,42674,26537,13042,3937,1320,220934,3245,11941,31945,29999,24025,17694,9203,2428,606,131092,1468,6390,12679,8472,5405,3128,1700,736,261,40238,3066,6807,14876,11267,8242,4837,3208,960,313,53580,443,493,401,268,272,326,392,381,153,3129,237,813,2770,3339,2841,2005,1178,462,214,13866,10542,13073,27583,22846,21474,17858,15256,11636,8672,148944,27741,88553,256134,235871,200591,148977,92602,41329,17476,1109268
39799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,7,0,0,0,0,0,0,8,0,0,0,0,0,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,9,0,3,23,3,4,11,12,8,15,15,6,3,71
39499,4,23,48,13,12,17,16,0,3,130,3,7,18,13,17,15,4,0,0,87,8,45,185,114,148,224,223,52,7,989,3,26,89,54,52,81,87,18,3,415,6,11,41,27,29,20,18,3,0,156,7,43,133,53,81,141,86,10,0,542,0,12,46,25,40,81,66,13,0,281,16,98,214,114,117,166,105,21,0,854,7,88,180,71,78,123,64,5,0,616,4,42,91,26,14,15,19,3,0,218,13,43,76,52,43,60,47,0,0,340,0,3,3,3,0,3,0,0,0,16,3,9,9,15,9,19,10,3,0,71,79,241,579,474,447,461,311,94,18,2696,159,682,1709,1058,1085,1426,1050,215,24,7409
2RVIC,30,900,2199,2926,2234,2225,1523,437,142,12610,146,703,2516,2268,1553,1220,531,49,14,9011,772,5075,14895,15540,19235,18858,15151,6809,2140,98474,569,3701,9537,7583,7281,7086,4651,2306,640,43352,410,1623,4981,6029,5790,4258,2393,962,288,26730,375,3745,13707,12537,14118,15165,8870,3827,1293,73635,182,1922,9085,10189,10372,13675,10634,3785,1026,60876,722,5016,17099,19033,16920,13434,7821,2521,979,83539,1159,5500,12885,14162,14837,13664,7365,1730,392,71688,424,1603,3881,3607,2659,2338,1553,518,196,16771,1090,4305,9645,7438,6263,4490,3110,1101,337,37784,95,155,183,124,180,213,328,277,117,1681,77,309,1179,1803,1700,1479,955,407,175,8081,9642,7286,14474,15052,17996,19229,19534,15333,8728,127271,15695,41830,116274,118303,121121,117330,84407,40072,16459,671490
