GCCSA_CODE_2016,C16_650_799_CF_1C,C16_650_799_CF_2C,C16_650_799_CF_3C,C16_650_799_CF_4mC,C16_650_799_CF_T,C16_800_999_CF_1C,C16_800_999_CF_2C,C16_800_999_CF_3C,C16_800_999_CF_4mC,C16_800_999_CF_T,C16_1000_1499_CF_1C,C16_1000_1499_CF_2C,C16_1000_1499_CF_3C,C16_1000_1499_CF_4mC,C16_1000_1499_CF_T,C16_1500_1999_CF_1C,C16_1500_1999_CF_2C,C16_1500_1999_CF_3C,C16_1500_1999_CF_4mC,C16_1500_1999_CF_T,C16_2000_2499_CF_1C,C16_2000_2499_CF_2C,C16_2000_2499_CF_3C,C16_2000_2499_CF_4mC,C16_2000_2499_CF_T,C16_2500_2999_CF_1C,C16_2500_2999_CF_2C,C16_2500_2999_CF_3C,C16_2500_2999_CF_4mC,C16_2500_2999_CF_T,C16_3000_3999_CF_1C,C16_3000_3999_CF_2C,C16_3000_3999_CF_3C,C16_3000_3999_CF_4mC,C16_3000_3999_CF_T,C16_4000m_CF_1C,C16_4000m_CF_2C,C16_4000m_CF_3C,C16_4000m_Cou_fa_4mo_ch,C16_4000m_CF_T,C16_Par_inc_st_CF_1C,C16_Par_inc_st_CF_2C,C16_Par_inc_st_CF_3C,C16_Par_inc_st_CF_4mC,C16_Par_inc_st_CF_T,C16_All_inc_ns_CF_1Ch,C16_All_inc_ns_CF_2C,C16_All_inc_ns_CF_3C,C16_All_inc_ns_CF_4mC,C16_All_inc_ns_CF_T,C16_Tot_CF_1C,C16_Tot_CF_2C,C16_Tot_CF_3C,C16_Tot_CF_4mC,C16_Tot_CF_T
5GPER,1796,1218,504,251,3774,2743,2204,854,451,6254,10447,9311,3274,1293,24320,11373,12453,4302,1553,29683,12508,15208,5072,1487,34280,9405,11932,3692,954,25989,12020,15870,5130,1206,34218,11202,18080,6564,1512,37359,11739,14378,5670,2107,33890,706,769,317,120,1904,86957,103765,36281,11516,238521
59799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4RSAU,482,375,181,71,1114,766,682,307,153,1909,2437,2660,1187,448,6730,2104,2550,1156,374,6182,1911,2263,925,270,5367,1208,1432,628,158,3430,1037,1283,492,117,2924,631,745,322,107,1803,1686,1959,969,404,5019,148,144,69,35,404,13026,14538,6470,2255,36293
4GADE,1740,1228,426,220,3605,2589,2189,752,372,5905,9126,8354,2752,1049,21282,8734,9677,3145,1037,22592,8520,10099,2953,785,22361,6037,7968,2275,521,16804,5986,8820,2583,558,17944,4162,7162,2667,593,14578,5876,7142,2841,1079,16936,401,414,166,93,1073,55493,64897,21265,6794,148447
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3RQLD,2708,1859,828,433,5823,4046,3425,1527,766,9764,14825,13689,5940,2622,37077,14313,16055,6341,2668,39378,14088,16386,6077,2027,38584,9696,12291,4344,1321,27657,9671,12813,4434,1209,28128,6476,9082,3662,1149,20368,12026,13640,6158,2697,34515,1054,992,411,221,2676,92351,102872,40822,15760,251804
3GBRI,2202,1543,617,370,4730,3669,2817,1188,690,8365,13584,11610,4783,2487,32462,14035,15057,5615,2533,37236,15097,17124,5761,2054,40042,11095,14044,4629,1308,31075,12978,17644,5855,1474,37950,10377,17393,6660,1732,36159,9917,12046,5073,2315,29346,902,853,342,211,2308,96958,112427,41451,15859,266696
39799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2RVIC,1668,1226,548,260,3703,2727,2312,1027,489,6543,9305,9327,4361,1648,24636,8822,10437,4613,1563,25434,7815,9596,4047,1171,22635,5097,6712,2729,718,15259,4532,6094,2552,587,13766,2791,4102,1955,564,9417,6251,7301,3688,1681,18924,671,598,310,127,1709,51723,59288,26560,9230,146809
2GMEL,5705,4432,1762,945,12845,8852,7822,2843,1298,20812,30345,28036,9772,3713,71878,29822,33254,11053,3605,77730,30629,36293,11103,3048,81072,21493,28196,8696,2039,60422,24295,34523,10754,2339,71910,21622,38316,14351,3087,77384,20289,25826,10948,4557,61621,2148,2469,951,424,5990,204286,246649,85266,26956,563155
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1RNSW,2872,2012,823,455,6157,4428,3545,1649,830,10461,16617,14705,6549,2711,40585,15300,17056,7242,2784,42379,14538,17258,7007,2240,41044,10340,13280,5174,1380,30167,10213,13949,5464,1457,31093,6745,10203,4584,1234,22762,11796,13734,6658,2858,35048,1082,986,435,196,2704,97274,109218,46718,16728,269939
1GSYD,5649,4474,2001,1063,13186,8220,7346,3022,1573,20158,28262,25006,9787,4399,67450,29581,29502,10810,4257,74151,32210,35044,11464,3718,82438,23885,28612,9302,2772,64569,30912,41520,13641,3526,89597,32039,54245,20090,4865,111231,22279,27512,12205,5204,67202,2002,2163,988,472,5625,224034,262923,96672,33794,617424
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
