GCCSA_CODE_2016,C16_Chr_Chi_nfd_0_14,C16_Chr_Chi_nfd_15_24,C16_Chr_Chi_nfd_25_34,C16_Chr_Chi_nfd_35_44,C16_Chr_Chi_nfd_45_54,C16_Chr_Chi_nfd_55_64,C16_Chr_Chi_nfd_65_74,C16_Chr_Chi_nfd_75_84,C16_Chr_Chi_nfd_85ov,C16_Chr_Chi_nfd_Tot,C16_Chr_Oth_Chi_0_14,C16_Chr_Oth_Chi_15_24,C16_Chr_Oth_Chi_25_34,C16_Chr_Oth_Chi_35_44,C16_Chr_Oth_Chi_45_54,C16_Chr_Oth_Chi_55_64,C16_Chr_Oth_Chi_65_74,C16_Chr_Oth_Chi_75_84,C16_Chr_Oth_Chi_85ov,C16_Chr_Oth_Chi_Tot,C16_Christ_Tot_0_14,C16_Christ_Tot_15_24,C16_Christ_Tot_25_34,C16_Christ_Tot_35_44,C16_Christ_Tot_45_54,C16_Christ_Tot_55_64,C16_Christ_Tot_65_74,C16_Christ_Tot_75_84,C16_Christ_Tot_85ov,C16_Christ_T_T,C16_Hinduism_0_14,C16_Hinduism_15_24,C16_Hinduism_25_34,C16_Hinduism_35_44,C16_Hinduism_45_54,C16_Hinduism_55_64,C16_Hinduism_65_74,C16_Hinduism_75_84,C16_Hinduism_85ov,C16_Hinduism_Tot,C16_Islam_0_14,C16_Islam_15_24,C16_Islam_25_34,C16_Islam_35_44,C16_Islam_45_54,C16_Islam_55_64,C16_Islam_65_74,C16_Islam_75_84,C16_Islam_85ov,C16_Islam_Tot,C16_Judaism_0_14,C16_Judaism_15_24,C16_Judaism_25_34,C16_Judaism_35_44,C16_Judaism_45_54,C16_Judaism_55_64,C16_Judaism_65_74,C16_Judaism_75_84,C16_Judaism_85ov,C16_Judaism_Tot,C16_OR_AusAborTrad_0_14,C16_OR_AusAborTrad15_24,C16_OR_AusAborTrad25_34,C16_OR_AusAborTrad35_44,C16_OR_AusAborTrad45_54,C16_OR_AusAborTrad55_64,C16_OR_AusAborTrad65_74,C16_OR_AusAborTrad75_84,C16_OR_AusAborTrad85oe,C16_OR_AusAborTrade_Tot,C16_OR_Sikhism_0_14,C16_OR_Sikhism_15_24,C16_OR_Sikhism_25_34,C16_OR_Sikhism_35_44,C16_OR_Sikhism_45_54,C16_OR_Sikhism_55_64,C16_OR_Sikhism_65_74,C16_OR_Sikhism_75_84,C16_OR_Sikhism_85oe,C16_OR_Sikhism_Tot,C16_OR_Ot_Re_Gr_0_14,C16_OR_Ot_Re_Gr_15_24,C16_OR_Ot_Re_Gr_25_34,C16_OR_Ot_Re_Gr_35_44,C16_OR_Ot_Re_Gr_45_54,C16_OR_Ot_Re_Gr_55_64,C16_OR_Ot_Re_Gr_65_74,C16_OR_Ot_Re_Gr_75_84,C16_O_R_Ot_Re_Gr_85ov,C16_OR_Ot_Re_Gr_Tot,C16_Oth_Rel_Tot_0_14,C16_Oth_Rel_Tot_15_24,C16_Oth_Rel_Tot_25_34,C16_Oth_Rel_Tot_35_44,C16_Oth_Rel_Tot_45_54,C16_Oth_Rel_Tot_55_64,C16_Oth_Rel_Tot_65_74,C16_Oth_Rel_Tot_75_84,C16_Oth_Rel_Tot_85ov,C16_Other_Rel_T_T,C16_SBOSB_No_RA_0_14,C16_SBOSB_No_RA_15_24,C16_SBOSB_No_RA_25_34,C16_SBOSB_No_RA_35_44,C16_SBOSB_No_RA_45_54,C16_SBOSB_No_RA_55_64,C16_SBOSB_No_RA_65_74,C16_SBOSB_No_RA_75_84,C16_SBOSB_No_RA_85ov,C16_SBOSB_No_RA_Tot,C16_Oth_rel_affi_0_14,C16_Rel_aff_ns_15_24,C16_Rel_aff_ns_25_34,C16_Rel_aff_ns_35_44,C16_Rel_aff_ns_45_54,C16_Rel_aff_ns_55_64,C16_Rel_aff_ns_65_74,C16_Rel_aff_ns_75_84,C16_Rel_aff_ns_85ov,C16_Rel_aff_ns_Tot,C16_Tot_0_14_yrs,C16_Tot_15_24_yrs,C16_Tot_25_34_yrs,C16_Tot_35_44_yrs,C16_Tot_45_54_yrs,C16_Tot_55_64_yrs,C16_Tot_65_74_yrs,C16_Tot_75_84_yrs,C16_Tot_85o,C16_T_T
6RTAS,1954,1114,950,1009,1199,1079,786,347,103,8542,36,39,29,34,47,59,59,37,9,360,19313,13347,10859,14786,22274,26004,23518,12994,4950,148051,190,121,250,147,108,63,34,11,3,928,310,169,177,142,80,37,13,3,0,946,18,3,12,15,19,27,15,7,0,114,14,6,3,3,9,5,3,0,0,47,18,9,48,13,6,3,3,3,0,106,127,123,159,181,212,136,90,28,7,1068,161,142,213,201,225,150,89,29,7,1220,25013,15929,14740,13347,13269,11607,7496,2544,685,104626,4777,3154,2792,3127,3971,4455,3757,1879,828,28739,50036,33168,29338,32094,40297,42594,35104,17500,6490,286627
6GHOB,945,498,544,567,579,532,349,149,56,4226,31,29,17,30,47,73,55,33,12,322,14615,9957,8953,11653,15424,17153,14645,8874,3839,105116,312,295,443,272,150,90,43,21,4,1627,438,299,358,246,116,57,32,10,0,1549,16,7,18,19,23,25,25,7,3,133,10,0,5,3,3,0,0,0,0,27,71,53,176,48,18,13,3,0,0,382,36,112,145,141,137,100,48,13,9,747,115,169,324,191,152,115,54,19,8,1156,21145,14042,15191,12375,10703,8811,5120,1843,780,90005,3249,2534,2787,2470,2740,2910,2127,1293,633,20737,40091,27607,28485,27577,29598,29440,22183,12093,5275,222356
69799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,5,9,7,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,13,0,10,3,0,0,0,37,0,0,4,0,0,0,0,0,0,4,0,10,23,5,15,12,7,0,0,68
69499,12,3,0,4,3,0,3,0,0,28,0,0,0,0,0,0,0,0,0,0,22,43,43,46,50,50,45,8,3,308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,7,47,74,80,67,40,38,26,4,0,372,7,29,51,35,44,18,16,3,0,209,79,153,183,147,135,113,84,12,3,912
5RWAU,4259,2184,2318,2453,2388,2061,1233,459,122,17486,103,84,75,96,117,110,46,29,3,676,45783,23832,27001,33089,40877,40260,31066,15727,5571,263211,448,101,662,476,192,88,41,7,0,2014,838,338,689,556,364,231,127,52,8,3199,19,13,32,25,34,48,34,5,8,219,235,156,182,117,101,61,34,15,3,893,101,32,186,71,14,10,0,0,0,413,238,143,254,328,347,239,125,43,10,1737,570,333,624,512,461,311,160,54,13,3046,45463,24107,30263,25775,22551,17937,9337,3239,969,179649,12119,6913,10872,9924,9780,8501,5635,2846,1175,67768,105965,56089,71057,71401,75202,68053,46655,21993,7752,524167
5GPER,14649,9514,10581,10020,8671,6622,3921,1582,469,66029,471,319,335,386,420,374,235,142,44,2729,166175,109846,109029,124555,141634,127280,103443,60036,24200,966198,8489,4273,11296,7250,2887,1491,702,228,61,36684,13996,7781,10191,7555,4336,2189,974,316,70,47398,813,557,496,575,741,800,656,341,215,5187,64,41,33,28,31,16,9,0,0,218,2343,1793,4866,1308,460,413,201,73,14,11486,965,918,1488,1452,1488,1040,591,232,87,8253,3372,2754,6385,2793,1970,1470,803,307,98,19955,140323,99158,126776,94177,76073,54187,28619,10998,4101,634404,30788,23156,33255,26574,24060,19858,14217,8827,5635,186361,370325,253558,306680,272610,258693,212965,152368,82007,34652,1943858
59799,0,0,8,3,5,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,7,49,46,48,24,4,0,0,172,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,43,45,24,13,0,0,0,146,0,3,30,27,23,6,0,0,0,92,0,20,127,127,105,43,8,3,3,434
59499,6,14,37,15,20,24,20,3,0,144,0,0,0,0,0,3,0,0,0,4,129,166,304,245,306,453,357,51,11,2027,7,6,13,3,0,3,3,0,0,32,4,7,11,7,8,0,3,0,0,47,5,0,0,6,0,3,3,0,0,19,0,0,0,0,3,0,0,0,0,3,0,0,3,0,0,0,0,0,0,3,0,0,8,6,3,3,0,0,0,27,0,0,11,6,6,7,0,0,0,31,173,274,521,299,267,259,129,23,0,1949,73,188,412,328,368,243,136,16,8,1761,398,656,1306,910,957,977,633,98,23,5950
4RSAU,2201,1252,1178,1222,1454,1405,1038,421,124,10304,119,106,62,83,108,64,77,45,8,664,28739,16748,15049,19206,28035,33441,31831,17995,7478,198515,174,44,223,161,63,36,24,3,0,737,319,165,278,314,179,87,37,7,4,1392,3,6,9,12,8,14,21,6,3,81,93,43,52,40,32,22,9,7,3,299,199,72,234,123,79,61,36,7,3,813,108,103,162,185,197,155,89,21,4,1023,396,219,440,350,310,245,130,37,10,2136,30721,17980,18387,16946,18011,15883,10694,4063,1316,133997,6203,3902,4437,4408,5293,5751,4835,2553,1463,38854,66835,39320,39251,41789,52332,55791,47762,24701,10292,378074
4GADE,7476,4950,5113,5006,4939,4165,2844,1169,461,36125,635,395,407,401,382,348,369,206,92,3233,92489,67164,59005,69729,90434,90102,79403,50343,25309,623978,5394,2214,6743,4968,1499,753,384,178,39,22165,8105,4939,5782,4489,2139,1015,457,162,40,27121,98,89,91,143,111,158,148,63,40,951,54,20,21,22,26,23,4,3,0,179,1924,803,3200,1353,302,217,141,37,12,7983,748,765,1011,979,1000,764,410,188,70,5938,2723,1594,4235,2363,1322,1002,556,229,77,14100,94551,74873,81600,66442,59428,47338,27951,10873,4823,467881,18414,13882,15751,14025,14788,13732,10272,6137,3638,110645,225948,168917,178301,167253,174077,157723,120817,68502,34170,1295714
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3
49499,15,12,22,16,15,11,3,0,0,101,0,0,0,0,3,3,0,0,0,5,52,107,135,117,151,171,133,49,19,927,4,3,11,6,0,0,0,0,0,27,12,4,10,4,3,0,0,0,0,31,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,3,10,0,0,0,0,0,0,0,12,0,0,7,0,3,3,0,0,0,19,3,9,4,3,3,0,0,0,0,31,108,194,257,155,143,132,87,7,3,1074,42,106,123,137,165,98,51,0,0,722,217,439,556,421,474,403,271,59,22,2863
3RQLD,17563,9830,9659,9478,9606,8368,5682,2383,831,73403,693,451,355,531,622,619,524,308,103,4216,249393,148160,139326,169965,204380,200978,172521,92258,34979,1411957,2539,1590,3723,2387,1047,689,294,104,26,12405,3020,1618,2345,1903,1067,572,328,113,30,10986,265,183,198,251,271,368,376,176,95,2178,341,134,135,126,118,74,36,8,0,966,1057,606,2190,615,206,170,81,33,4,4963,992,1008,1268,1397,1381,1042,556,171,50,7868,2392,1748,3592,2139,1705,1284,672,209,57,13803,163102,106566,112412,94226,83213,65972,41085,15374,5226,687177,43201,31504,34972,32713,34804,32497,25464,13309,6618,255082,467466,294262,301158,308690,330959,305688,242444,121922,47131,2419724
3GBRI,16314,10415,10598,9633,9031,6950,4243,1754,634,69563,1088,758,608,792,794,734,584,349,137,5857,221701,144496,135382,160817,178277,156984,126431,66197,27859,1218141,7084,3798,10097,6474,2936,1801,868,354,79,33485,10149,5782,7200,5226,2886,1591,715,224,49,33826,322,252,268,311,335,326,248,89,50,2195,68,37,38,43,54,30,6,3,0,273,2565,1820,5363,1546,475,399,204,65,18,12456,1094,1270,1677,1685,1449,985,490,181,44,8880,3726,3126,7080,3272,1978,1418,699,249,65,21609,158408,124651,140135,104346,79304,54962,30529,10739,4103,707185,36840,29051,34923,29285,26669,22300,16125,8819,5865,209874,444404,317323,343233,317932,299059,244790,178208,87505,38357,2270800
39799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,10,9,19,19,23,9,3,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,7,3,9,7,3,0,33,0,4,0,0,4,5,4,0,0,22,5,16,11,14,24,30,33,16,4,150
39499,41,48,50,37,58,78,53,15,0,380,0,0,0,4,3,6,0,0,0,15,299,412,586,480,689,1288,1144,222,21,5143,5,11,29,13,0,3,0,0,0,65,9,13,24,12,9,3,0,0,0,69,0,3,0,0,0,3,3,0,0,12,5,0,0,0,0,0,0,0,0,7,3,3,5,0,0,0,0,0,0,13,5,14,10,7,11,5,4,0,0,60,8,13,17,14,11,5,4,0,0,82,331,707,935,446,439,554,413,74,3,3905,156,359,632,501,489,497,331,78,10,3063,821,1539,2293,1485,1663,2373,1916,381,44,12510
2RVIC,6398,3712,3441,3597,4183,3998,2941,1239,422,29940,124,85,85,95,148,134,137,78,31,924,116706,73916,61543,78566,107849,119455,109739,65313,28911,762003,1236,612,1998,1149,405,302,152,39,8,5905,2843,1762,1895,1611,1075,528,294,101,22,10125,60,54,67,72,83,107,121,32,4,602,58,27,18,23,25,24,9,0,0,180,759,261,1312,478,142,120,49,11,4,3143,411,463,599,710,743,572,278,73,21,3877,1226,744,1931,1216,912,725,335,85,31,7196,113552,71862,70848,64202,60705,55947,35123,12537,4326,489105,23294,16150,16674,16793,19258,21140,18335,10550,5451,147643,260469,166501,157001,165539,192122,199728,164829,88833,38801,1433818
2GMEL,23697,16119,17831,17594,15706,12462,7896,3664,1375,116344,604,413,485,492,590,524,384,295,156,3946,346812,236372,232689,268743,305524,261469,219125,141375,62887,2075002,28517,13810,42881,25715,8602,5499,2734,940,235,128940,54222,31232,39423,28242,17084,9357,4866,1785,431,186654,8219,4046,4633,5303,4483,5316,5172,2558,1917,41643,58,31,41,36,43,7,8,3,0,224,11168,6541,20059,7069,1834,1835,827,218,62,49601,1834,1884,3184,2849,2468,1821,965,362,111,15472,13057,8456,23283,9950,4340,3660,1791,585,170,65297,276162,229129,283720,214542,170550,128462,70562,26682,11293,1411108,68263,54051,72016,56655,50997,43343,31139,18698,10854,406021,819696,602383,730345,639084,587317,476902,344283,196050,89151,4485211
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,3,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,4,3,11,5,0,0,0,29
29499,31,25,28,18,22,15,7,8,0,149,0,0,0,0,0,0,0,0,0,0,231,235,397,292,293,335,243,77,22,2129,6,16,50,12,3,0,3,0,0,99,73,58,58,33,16,0,3,0,0,247,0,0,0,6,6,0,0,0,0,15,0,0,0,0,0,0,0,0,0,4,3,7,4,0,0,0,0,0,0,19,0,3,5,6,10,3,4,0,0,35,3,12,16,7,10,6,3,0,0,54,267,538,747,386,282,209,139,18,5,2591,155,355,525,526,352,248,92,24,13,2289,747,1254,1848,1295,975,816,482,121,38,7565
1RNSW,12296,6973,6649,7068,7576,7716,5449,2393,735,56848,446,226,210,319,327,398,365,179,60,2534,265797,165764,144104,177291,225189,243693,219744,130627,54730,1626929,2354,1107,3280,2153,993,724,361,123,29,11122,4107,1903,3171,2348,1230,645,442,136,23,13997,249,120,151,239,227,275,289,76,54,1679,300,157,148,137,140,94,47,9,3,1028,1072,452,1606,687,349,320,150,67,26,4720,730,858,1025,1286,1395,1107,561,194,48,7203,2099,1462,2779,2107,1883,1522,757,268,70,12954,166981,105453,103793,87795,82220,77970,49427,19143,6740,699522,40809,28883,29880,29071,33111,35653,30552,18002,9663,255632,485265,307088,290388,304924,348557,363959,303231,168736,71398,2643536
1GSYD,21746,15138,17864,15776,14331,11927,7016,3215,1210,108213,722,504,519,631,600,626,489,264,136,4490,450300,292035,295933,334989,350943,307174,247520,147817,69312,2496030,35656,19447,50544,33211,14504,9696,4693,1890,521,170161,75796,39454,51146,38997,23595,14317,7190,2361,584,253436,6401,3346,3518,4529,4345,4694,4378,2339,1646,35196,133,81,79,84,71,41,9,4,0,503,5943,3611,8646,4357,1930,1446,665,329,64,26996,3869,2916,4340,3794,3276,2688,1419,622,206,23123,9943,6613,13061,8232,5282,4176,2101,954,263,50625,228708,189578,246577,182681,146831,114290,62921,25343,10037,1206971,71050,55453,78879,61687,52577,44266,31733,18342,11561,425538,900297,629103,774405,696037,627580,524011,372488,204051,96022,4823991
19799,0,0,4,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,19,8,14,18,28,39,80,30,4,249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,16,12,10,17,11,10,3,0,88,4,3,6,0,6,14,19,8,0,60,39,25,32,34,50,74,108,42,10,412
