GCCSA_CODE_2016,C11_F_u_a_a_h_FH_One_PFam,C11_F_u_a_a_h_FH_oth_fa,C11_F_u_a_a_h_FH_Tot,C11_F_u_a_a_h_LP_H,C11_F_u_a_a_h_GH,C11_F_u_a_a_h_OH,C11_F_u_a_a_h_Tot,C11_F_u_a_T_FH_CF_no_ch,C11_F_u_a_T_FH_CF_w_ch,C11_F_u_a_T_FH_One_PFam,C11_F_u_a_T_FH_oth_fa,C11_F_u_a_T_FH_Tot,C11_F_u_a_T_LP_H,C11_F_u_a_T_GH,C11_F_u_a_T_OH,C11_F_u_a_T_Tot,C11_OD_C_c_hb_FH_CF_no_ch,C11_OD_C_c_hb_FH_CF_w_ch,C11_OD_C_c_hb_FH_One_PFam,C11_OD_C_c_hb_FH_oth_fa,C11_OD_C_c_hb_FH_Tot,C11_OD_C_c_hb_LP_H,C11_OD_C_c_hb_GH,C11_OD_C_c_hb_OH,C11_OD_C_c_hb_Tot,C11_OD_Ih_t_s_FH_CF_no_ch,C11_OD_Ih_t_s_FH_CF_w_ch,C11_OD_Ih_t_s_FH_One_PFam,C11_OD_Ih_t_s_FH_oth_fa,C11_OD_Ih_t_s_FH_Tot,C11_OD_Ih_t_s_LP_H,C11_OD_Ih_t_s_GH,C11_OD_Ih_t_s_OH,C11_OD_Ih_t_s_Tot,C11_OD_H_f_so_FH_CF_no_ch,C11_OD_H_f_so_FH_CF_w_ch,C11_OD_H_f_so_FH_One_PFam,C11_OD_H_f_so_FH_oth_fa,C11_OD_H_f_so_FH_Tot,C11_OD_H_f_so_LP_H,C11_OD_H_f_so_GH,C11_OD_H_f_so_OH,C11_OD_H_f_so_Tot,C11_OD_T_FH_CF_no_ch,C11_OD_T_FH_CF_w_ch,C11_OD_T_FH_One_PFam,C11_OD_T_FH_oth_fa,C11_OD_T_FH_Tot,C11_OD_Tot_LP_H,C11_OD_Tot_GH,C11_OD_Tot_OH,C11_OD_T_T,C11_DS_ns_FH_CF_no_ch,C11_DS_ns_FH_CF_w_ch,C11_DS_ns_FH_One_PFam,C11_DS_ns_FH_oth_fa,C11_DS_ns_FH_Tot,C11_DS_ns_LP_H,C11_DS_ns_GH,C11_DS_ns_OH,C11_DS_NS_T,C11_T_FH_CF_no_ch,C11_T_FH_CF_w_ch,C11_T_FH_One_PFam,C11_T_FH_oth_fa,C11_T_FH_Tot,C11_Tot_LP_H,C11_Tot_GH,C11_Tot_OH,C11_T_T,C16_S_h_FH_CF_no_ch,C16_S_h_FH_CF_w_ch,C16_S_h_FH_One_PFam,C16_S_h_FH_oth_fa,C16_S_h_FH_Tot,C16_S_h_LP_H,C16_S_h_GH,C16_S_h_OH,C16_S_h_Tot,C16_Sd_r_t_1_FH_CF_no_ch,C16_Sd_r_t_1_FH_CF_w_ch,C16_Sd_r_t_1_FH_One_PFam,C16_Sd_r_t_1_FH_oth_fa,C16_Sd_r_t_1_FH_Tot,C16_Sd_r_t_1_LP_H,C16_Sd_r_t_1_GH,C16_Sd_r_t_1_OH,C16_Sd_r_t_1_Tot,C16_Sd_r_t_2m_FH_CF_no_ch,C16_Sd_r_t_2m_FH_CF_w_ch,C16_Sd_r_t_2m_FH_One_PFam,C16_Sd_r_t_2m_FH_oth_fa,C16_Sd_r_t_2m_FH_Tot,C16_Sd_r_t_2m_LP_H,C16_Sd_r_t_2m_GH,C16_Sd_r_t_2m_OH,C16_Sd_r_t_2m_Tot,C16_Sd_r_t_T_FH_CF_no_ch,C16_Sd_r_t_T_FH_CF_w_ch,C16_Sd_r_t_T_FH_One_PFam,C16_Sd_r_t_T_FH_oth_fa,C16_Sd_r_t_T_FH_Tot,C16_Sd_r_t_T_LP_H,C16_Sd_r_t_T_GH,C16_Sd_r_t_T_OH,C16_Sd_r_t_T_Tot,C16_F_u_a_1_2_FH_CF_no_ch,C16_F_u_a_1_2_FH_CF_w_ch,C16_F_u_a_1_2_FH_One_PFam,C16_F_u_a_1_2_FH_oth_fa,C16_F_u_a_1_2_FH_Tot,C16_F_u_a_1_2_LP_H,C16_F_u_a_1_2_GH,C16_F_u_a_1_2_OH,C16_F_u_a_1_2_Tot,C16_F_u_a_3_FH_CF_no_ch,C16_F_u_a_3_FH_CF_w_ch,C16_F_u_a_3_FH_One_PFam,C16_F_u_a_3_FH_oth_fa,C16_F_u_a_3_FH_Tot,C16_F_u_a_3_LP_H,C16_F_u_a_3_GH,C16_F_u_a_3_OH,C16_F_u_a_3_Tot,C16_F_u_a_4m_FH_CF_no_ch,C16_F_u_a_4m_FH_CF_w_ch,C16_F_u_a_4m_FH_One_PFam,C16_F_u_a_4m_FH_oth_fa,C16_F_u_a_4m_FH_Tot,C16_F_u_a_4m_LP_H,C16_F_u_a_4m_GH,C16_F_u_a_4m_OH,C16_F_u_a_4m_Tot,C16_F_u_a_a_h_FH_CF_no_ch,C16_F_u_a_a_h_FH_CF_w_ch,C16_F_u_a_a_h_FH_One_PFam,C16_F_u_a_a_h_FH_oth_fa,C16_F_u_a_a_h_FH_Tot,C16_F_u_a_a_h_LP_H,C16_F_u_a_a_h_GH,C16_F_u_a_a_h_OH,C16_F_u_a_a_h_Tot,C16_F_u_a_T_FH_CF_no_ch,C16_F_u_a_T_FH_CF_w_ch,C16_F_u_a_T_FH_One_PFam,C16_F_u_a_T_FH_oth_fa,C16_F_u_a_T_FH_Tot,C16_F_u_a_T_LP_H,C16_F_u_a_T_GH,C16_F_u_a_T_OH,C16_F_u_a_T_Tot,C16_OD_C_c_hb_FH_CF_no_ch,C16_OD_C_c_hb_FH_CF_w_ch,C16_OD_C_c_hb_FH_One_PFam,C16_OD_C_c_hb_FH_oth_fa,C16_OD_C_c_hb_FH_Tot,C16_OD_C_c_hb_LP_H,C16_OD_C_c_hb_GH,C16_OD_C_c_hb_OH,C16_OD_C_c_hb_Tot,C16_OD_Ih_t_s_FH_CF_no_ch,C16_OD_Ih_t_s_FH_CF_w_ch,C16_OD_Ih_t_s_FH_One_PFam,C16_OD_Ih_t_s_FH_oth_fa,C16_OD_Ih_t_s_FH_Tot,C16_OD_Ih_t_s_LP_H,C16_OD_Ih_t_s_GH,C16_OD_Ih_t_s_OH,C16_OD_Ih_t_s_Tot,C16_OD_H_f_so_FH_CF_no_ch,C16_OD_H_f_so_FH_CF_w_ch,C16_OD_H_f_so_FH_One_PFam,C16_OD_H_f_so_FH_oth_fa,C16_OD_H_f_so_FH_Tot,C16_OD_H_f_so_LP_H,C16_OD_H_f_so_GH,C16_OD_H_f_so_OH,C16_OD_H_f_so_Tot,C16_OD_T_FH_CF_no_ch,C16_OD_T_FH_CF_w_ch,C16_OD_T_FH_One_PFam,C16_OD_T_FH_oth_fa,C16_OD_T_FH_Tot,C16_OD_Tot_LP_H,C16_OD_Tot_GH,C16_OD_Tot_OH,C16_OD_T_T,C16_DS_ns_FH_CF_no_ch,C16_DS_ns_FH_CF_w_ch,C16_DS_ns_FH_One_PFam,C16_DS_ns_FH_oth_fa,C16_DS_ns_FH_Tot,C16_DS_ns_LP_H,C16_DS_ns_GH,C16_DS_ns_OH,C16_DS_NS_T,C16_T_FH_CF_no_ch,C16_T_FH_CF_w_ch,C16_T_FH_One_PFam,C16_T_FH_oth_fa
6RTAS,4,0,41,96,3,12,153,971,256,469,43,1744,3866,219,375,6199,118,35,28,0,180,338,13,137,669,20,21,7,0,40,51,3,67,163,115,58,24,7,210,137,18,29,396,249,114,51,8,432,527,35,233,1227,16,27,3,0,41,14,0,14,70,33552,30084,12060,896,76595,30825,3049,4069,114543,32066,27260,11276,791,71387,26380,2614,6002,106388,754,228,425,49,1453,3520,198,437,5603,259,164,103,18,543,493,76,108,1226,1014,395,523,66,1998,4010,273,543,6828,544,183,310,34,1071,2277,140,430,3918,17,6,8,0,29,107,15,25,174,20,3,3,0,28,159,3,30,227,8,12,11,0,29,62,6,6,108,589,203,334,34,1158,2609,169,496,4423,121,26,23,0,167,304,20,272,753,23,10,0,0,32,31,3,39,112,80,53,33,3,163,106,23,46,338,222,88,53,7,361,440,40,359,1206,121,98,38,3,259,223,26,50,556,34001,28035,12226,906
6GHOB,14,3,81,135,26,9,248,1564,565,808,118,3050,5026,605,626,9310,28,13,3,0,41,72,0,39,150,3,7,0,3,9,14,0,38,69,50,55,13,0,121,79,19,21,248,77,80,15,3,178,166,15,104,464,12,14,3,0,30,20,6,3,59,22101,22921,10142,825,55982,23209,3152,2987,85333,20520,22050,9358,710,52635,17628,2357,3240,75850,449,191,343,33,1019,1833,175,257,3289,476,235,210,33,955,898,216,154,2226,923,434,554,69,1976,2734,390,415,5507,944,384,576,74,1976,3322,409,518,6232,198,41,37,18,297,525,110,123,1057,134,34,21,10,199,368,65,103,727,14,11,4,0,26,36,3,13,80,1291,463,642,100,2500,4252,586,758,8089,53,6,6,0,67,77,3,73,223,4,9,0,0,15,21,0,66,100,41,48,17,0,101,50,22,22,196,93,61,26,0,184,147,20,166,517,48,41,24,0,118,90,20,13,242,22880,23046,10606,878
69799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5RWAU,5,0,36,54,4,22,113,1237,556,521,64,2381,3549,313,1210,7449,1368,296,113,28,1806,1934,128,9302,13178,95,62,20,7,184,171,30,1227,1611,196,106,36,3,342,170,30,136,683,1659,468,173,39,2337,2279,183,10674,15470,132,65,19,3,221,171,18,866,1270,50734,52294,16819,1434,121285,40749,5028,24551,191612,48470,50862,16160,1445,116937,33796,4251,14709,169694,2153,1062,1114,131,4459,5909,389,1621,12374,488,322,151,18,981,580,104,322,1979,2642,1381,1266,151,5438,6486,487,1940,14351,702,265,209,23,1208,1959,150,906,4213,55,10,10,0,87,92,9,57,240,45,14,7,0,68,68,5,102,237,10,0,4,0,15,19,0,5,37,814,291,229,26,1369,2131,162,1069,4737,963,116,78,11,1170,1847,66,9168,12251,119,65,26,4,215,216,24,1399,1853,167,123,50,4,343,176,30,111,660,1250,304,155,21,1731,2242,112,10672,14761,390,272,86,18,763,549,36,853,2200,53573,53117,17896,1654
5GPER,37,7,221,278,19,48,572,13954,4821,3557,1064,23404,28875,4471,7337,64085,608,46,71,5,726,1379,39,589,2741,20,27,4,0,46,33,3,381,469,88,64,30,6,186,128,35,58,408,707,142,101,15,966,1547,76,1036,3621,82,61,12,3,154,105,22,65,348,169503,208684,65195,9041,452423,148017,26663,32680,659779,144706,212890,58271,6550,422416,90986,17429,25002,555837,19509,13221,8533,1307,42570,34685,4190,5898,87341,8488,5864,2579,542,17475,8834,2399,2428,31133,27995,19084,11117,1850,60046,43516,6588,8323,118472,3839,1524,1072,256,6687,9348,1087,2109,19228,2981,923,517,228,4648,5771,992,1837,13253,5618,1442,594,292,7944,7523,1359,3207,20037,9,8,3,0,20,33,3,13,65,12450,3892,2185,773,19298,22680,3441,7166,52589,402,57,74,5,537,1022,44,737,2346,34,36,11,0,80,33,3,549,665,137,147,53,9,338,133,36,89,599,575,242,135,12,962,1186,83,1374,3612,414,368,123,17,918,630,98,200,1837,186134,236471,71821,9212
59799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4RSAU,3,0,10,52,0,7,77,781,197,334,50,1361,4020,173,524,6083,291,45,24,4,362,670,36,1979,3042,47,31,8,3,82,85,3,195,361,120,81,26,5,235,110,14,34,385,461,158,52,8,680,859,50,2205,3792,53,30,5,0,82,50,3,250,391,46271,37429,13944,1089,98737,41517,3359,8595,152210,43752,34565,12383,950,91655,34044,2856,7873,136425,1946,1020,1527,110,4604,6141,354,970,12074,129,63,44,0,237,139,22,72,468,2073,1086,1568,111,4848,6282,379,1041,12547,482,152,210,37,876,2608,108,451,4042,16,0,3,0,23,40,0,6,74,11,3,4,0,11,17,0,5,34,3,3,0,0,3,3,0,0,10,509,153,210,37,914,2669,106,465,4161,331,37,25,7,402,660,32,2097,3195,30,16,5,0,53,113,4,618,793,122,75,33,0,227,132,11,44,418,483,126,60,12,684,905,50,2765,4407,264,193,71,5,538,392,19,323,1265,47087,36127,14306,1114
4GADE,28,4,133,219,24,20,393,9305,3807,3344,852,17306,28633,3467,3536,52947,213,15,26,3,254,564,20,327,1168,5,3,4,0,13,19,0,135,169,77,57,34,7,175,144,33,30,382,294,75,62,9,439,729,54,494,1725,36,27,16,0,84,90,10,38,222,125347,140121,54174,5976,325617,131147,18658,16258,491684,100996,130629,44605,4159,280393,76221,11635,13023,381275,12784,8117,7055,906,28862,30310,2936,3715,65828,5418,4313,2503,439,12676,6365,1843,1406,22296,18205,12433,9558,1343,41542,36676,4779,5128,88129,5283,3244,2068,415,11012,15941,1675,1989,30611,799,396,191,83,1473,2072,433,561,4541,1499,400,237,124,2254,2600,761,752,6371,14,16,4,3,44,42,7,9,101,7598,4059,2501,633,14784,20655,2872,3312,41623,178,50,31,0,268,510,16,429,1220,9,13,4,0,27,29,3,170,227,124,117,59,15,312,159,57,71,601,313,180,96,13,606,697,74,668,2052,370,337,138,17,857,579,72,156,1667,127484,147638,56892,6166
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3RQLD,72,5,264,372,31,113,778,22806,8101,9668,1334,41915,46006,8046,14168,110134,3541,579,480,62,4663,6860,416,19002,30932,273,202,91,12,580,537,49,2193,3362,467,288,142,19,918,521,59,234,1726,4280,1068,712,88,6155,7915,524,21426,36023,304,166,64,6,535,328,61,745,1674,243300,242700,92280,8389,586664,193539,34607,70703,885513,207542,227871,77390,6420,519226,124891,22588,43082,709788,11347,4778,5934,571,22632,25352,2274,4163,54417,10979,7699,7646,604,26930,15151,3420,4515,50016,22329,12478,13581,1175,49558,40505,5694,8674,104436,6353,3166,4520,498,14533,20820,2556,5565,43474,5700,1824,2163,291,9970,9294,2314,3379,24958,9825,2545,1894,294,14559,10420,2433,5124,32541,38,23,20,0,75,116,10,37,239,21914,7556,8594,1075,39140,40649,7315,14100,101206,2468,348,341,46,3201,5981,353,19693,29227,292,195,82,7,579,557,42,2311,3489,411,313,135,16,883,470,88,316,1758,3172,863,556,71,4665,7011,486,22322,34472,1399,1008,394,29,2834,2599,215,2793,8435,256358,249773,100516,8777
3GBRI,85,14,405,439,63,82,984,20894,6400,5736,2028,35050,40696,10000,7997,93749,800,134,212,21,1167,2973,122,1006,5264,29,28,6,0,61,52,6,222,340,142,122,53,6,324,226,53,67,671,973,281,271,27,1552,3251,177,1293,6277,91,78,34,3,208,138,14,60,416,194392,244315,84510,10940,534159,159969,38362,30537,763027,162160,241433,73200,7594,484381,95164,23393,25149,628096,5472,2428,3090,313,11302,13386,1037,1864,27593,12206,10500,8682,1122,32510,16051,4940,4088,57586,17676,12928,11770,1436,43810,29435,5974,5958,85182,7005,2886,2844,601,13339,19111,3133,3088,38672,8026,2756,1910,732,13421,12816,4125,2613,32973,11088,3054,1513,691,16341,12654,4551,4517,38061,35,19,25,6,87,69,27,30,211,26151,8720,6292,2029,43191,44651,11838,10238,109915,700,141,178,25,1039,2544,114,1583,5280,35,34,15,0,84,86,9,370,545,165,201,118,16,495,225,68,137,929,898,379,300,34,1612,2856,186,2092,6751,655,498,257,34,1440,1309,214,497,3455,207546,263950,91815,11117
39799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2RVIC,27,0,91,167,12,45,315,4989,1453,2736,299,9470,20510,1396,2564,33947,815,164,162,14,1154,2624,137,2057,5972,58,77,22,0,156,160,12,343,671,418,314,89,9,832,398,67,106,1401,1291,551,273,26,2141,3180,213,2511,8044,67,62,14,0,147,66,13,50,285,149281,144552,56510,4436,354778,143591,15659,22541,536563,145506,141390,53350,4221,344468,120923,13918,29975,509283,5692,2323,2882,315,11208,19573,1462,2863,35096,1099,595,505,62,2255,1666,357,617,4892,6784,2918,3379,379,13459,21233,1816,3472,39986,2043,701,1086,108,3939,9368,608,2087,15996,83,28,21,4,138,300,39,243,722,59,26,12,3,101,190,16,286,597,12,3,5,0,16,27,0,8,48,2188,762,1127,117,4190,9889,670,2625,17372,588,129,127,17,859,2012,85,2347,5297,39,41,19,3,97,107,3,341,549,421,391,130,11,958,522,65,201,1741,1046,557,273,28,1909,2636,161,2890,7586,851,593,237,28,1705,1147,105,545,3506,156376,146220,58368,4771
2GMEL,93,13,478,558,73,85,1188,52683,22548,16382,5438,97052,100127,21934,21588,240695,545,84,128,21,774,2271,74,616,3734,29,25,5,0,63,62,5,593,721,675,696,220,61,1652,909,352,366,3271,1245,806,352,83,2483,3248,432,1572,7731,147,118,49,17,324,193,51,59,629,351304,501707,155810,21584,1030407,333280,66973,63996,1494665,255060,464961,124263,13358,857633,178151,31848,43924,1111561,37351,34961,16432,2264,91013,59665,9148,9165,168985,27908,32266,11718,1879,73769,21905,8913,6430,111013,65260,67232,28149,4143,164784,81565,18060,15597,280003,20642,12332,7015,1574,41567,39546,7576,8170,96854,12971,3847,2525,1006,20352,22713,6075,6297,55443,25362,6923,4747,2772,39805,38869,14449,13422,106546,78,52,36,3,163,156,23,42,380,59052,23155,14320,5359,101892,101280,28129,27925,259221,376,92,121,11,604,1823,50,847,3326,16,31,9,0,53,102,0,729,888,883,740,383,82,2091,1225,449,636,4395,1278,867,507,95,2744,3145,503,2211,8610,1033,1036,360,73,2503,1865,375,406,5153,381683,557251,167595,23033
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1RNSW,147,11,489,826,72,140,1517,13351,4659,6932,836,25775,42868,4655,7249,80554,2664,435,552,79,3726,6555,272,7293,17843,97,108,52,4,267,328,18,774,1388,722,513,296,18,1547,1241,180,319,3283,3491,1056,895,105,5543,8127,471,8383,22519,277,189,88,8,562,460,47,671,1742,276367,266314,113033,9048,664768,255336,29799,47758,997665,247450,251402,97808,7655,604315,178289,22992,47640,853234,12759,4891,6690,580,24915,31989,2429,4592,63921,7357,4388,4460,321,16525,12387,1967,2403,33287,20119,9276,11153,896,41440,44377,4391,6995,97211,6628,2980,4249,471,14329,25816,2284,5394,47821,1972,776,959,128,3833,5173,877,1519,11399,3272,887,675,110,4950,4605,846,1405,11802,76,49,39,10,177,238,26,48,488,11951,4693,5930,712,23289,35825,4031,8364,71509,2543,457,488,66,3546,6271,289,8401,18507,204,148,82,8,441,470,37,1379,2324,887,701,478,51,2120,1104,191,473,3889,3633,1308,1043,129,6108,7840,513,10259,24714,1858,1252,558,56,3713,3028,285,1485,8510,285009,267921,116488,9447
1GSYD,342,26,1428,1356,125,228,3141,101158,65600,33247,8047,208051,150247,33591,39688,431576,451,130,214,21,819,1772,82,544,3212,16,29,15,0,62,59,3,948,1068,865,946,472,97,2379,1339,492,607,4820,1332,1112,703,117,3260,3169,577,2096,9099,462,463,187,45,1163,956,156,191,2465,361159,556697,173046,21736,1112635,343808,64954,80136,1601530,210448,440847,111207,11351,773853,129054,21314,33256,957477,18238,22101,9327,1077,50738,27921,3753,4953,87364,31198,52735,19556,1945,105434,31390,8004,8382,153211,49439,74834,28881,3023,156172,59305,11762,13342,240580,20810,18122,8998,1476,49406,37966,6813,8769,102954,38909,31407,14694,2723,87737,51447,13391,13819,166397,62487,38340,13988,4126,118942,66736,21996,22747,230420,401,366,183,29,977,677,145,227,2023,122611,88243,37865,8354,257065,156816,42352,45561,501793,390,170,198,27,777,1351,90,918,3136,47,92,35,3,181,171,16,1106,1472,1456,1562,735,141,3881,1864,795,958,7504,1889,1818,965,164,4840,3385,896,2975,12103,1482,1606,547,96,3724,2853,470,671,7721,385859,607343,179463,22993
