GCCSA_CODE_2016,C06_M_Post_Deg_15_19_yrs,C06_M_Post_Deg_20_24_yrs,C06_M_Post_Deg_25_34_yrs,C06_M_Post_Deg_35_44_yrs,C06_M_Post_Deg_45_54_yrs,C06_M_Post_Deg_55_64_yrs,C06_M_Post_Deg_65_74_yrs,C06_M_Post_Deg_75_84_yrs,C06_M_Post_Deg_85o,C06_M_Post_Deg_Tot,C06_M_GrDip_GrCe_15_19,C06_M_GrDip_GrCe_20_24,C06_M_GrDip_GrCe_25_34,C06_M_GrDip_GrCe_35_44,C06_M_GrDip_GrCe_45_54,C06_M_GrDip_GrCe_55_64,C06_M_GrDip_GrCe_65_74,C06_M_GrDip_GrCe_75_84,C06_M_GrDip_GrCe_85ov,C06_M_GrDip_GrCe_Tot,C06_M_BD_15_19,C06_M_BD_20_24,C06_M_BD_25_34,C06_M_BD_35_44,C06_M_BD_45_54,C06_M_BD_55_64,C06_M_BD_65_74,C06_M_BD_75_84,C06_M_BD_85o,C06_M_BD_T,C06_M_AdD_DL_15_19,C06_M_AdD_DL_20_24,C06_M_AdD_DL_25_34,C06_M_AdD_DL_35_44,C06_M_AdD_DL_45_54,C06_M_AdD_DL_55_64,C06_M_AdD_DL_65_74,C06_M_AdD_DL_75_84,C06_M_AdD_DL_85o,C06_M_AdD_DL_Tot,C06_M_CL_C_III_IV_15_19,C06_M_CL_C_III_IV_20_24,C06_M_CL_C_III_IV_25_34,C06_M_CL_C_III_IV_35_44,C06_M_CL_C_III_IV_45_54,C06_M_CL_C_III_IV_55_64,C06_M_CL_C_III_IV_65_74,C06_M_CL_C_III_IV_75_84,C06_M_CL_C_III_IV_85_ov,C06_M_CL_C_III_IV_Tot,C06_M_CL_C_I_II_15_19,C06_M_CL_C_I_II_20_24,C06_M_CL_C_I_II_25_34,C06_M_CL_C_I_II_35_44,C06_M_CL_C_I_II_45_54,C06_M_CL_C_I_II_55_64,C06_M_CL_C_I_II_65_74,C06_M_CL_C_I_II_75_84,C06_M_CL_C_I_II_85_ov,C06_M_CL_C_I_II_Tot,C06_M_CL_CL_nfd_15_19,C06_M_CL_CL_nfd_20_24,C06_M_CL_CL_nfd_25_34,C06_M_CL_CL_nfd_35_44,C06_M_CL_CL_nfd_45_54,C06_M_CL_CL_nfd_55_64,C06_M_CL_CL_nfd_65_74,C06_M_CL_CL_nfd_75_84,C06_M_CL_CL_nfd_85_ov,C06_M_CL_CL_nfd_Tot,C06_M_CL_T_15_19,C06_M_CL_T_20_24,C06_M_CL_T_25_34,C06_M_CL_T_35_44,C06_M_CL_T_45_54,C06_M_CL_T_55_64,C06_M_CL_T_65_74,C06_M_CL_T_75_84,C06_M_CL_T_85_ov,C06_M_CL_T_Tot,C06_M_LE_ID_15_19,C06_M_LE_ID_20_24,C06_M_LE_ID_25_34,C06_M_LE_ID_35_44,C06_M_LE_ID_45_54,C06_M_LE_ID_55_64,C06_M_LE_ID_65_74,C06_M_LE_ID_75_84,C06_M_LE_ID_85o,C06_M_LE_ID_Tot,C06_M_LE_NS_15_19,C06_M_LE_NS_20_24,C06_M_LE_NS_25_34,C06_M_LE_NS_35_44,C06_M_LE_NS_45_54,C06_M_LE_NS_55_64,C06_M_LE_NS_65_74,C06_M_LE_NS_75_84,C06_M_LE_NS_85_ov,C06_M_LE_NS_T,C06_M_Tot_15_19_yrs,C06_M_Tot_20_24_yrs,C06_M_Tot_25_34_yrs,C06_M_Tot_35_44_yrs,C06_M_Tot_45_54_yrs,C06_M_Tot_55_64_yrs,C06_M_Tot_65_74_yrs,C06_M_Tot_75_84_yrs,C06_M_Tot_85o,C06_M_T_T,C11_M_Post_Deg_15_19_yrs,C11_M_Post_Deg_20_24_yrs,C11_M_Post_Deg_25_34_yrs,C11_M_Post_Deg_35_44_yrs,C11_M_Post_Deg_45_54_yrs,C11_M_Post_Deg_55_64_yrs,C11_M_Post_Deg_65_74_yrs,C11_M_Post_Deg_75_84_yrs,C11_M_Post_Deg_85o,C11_M_Post_Deg_Tot,C11_M_GrDip_GrCe_15_19,C11_M_GrDip_GrCe_20_24,C11_M_GrDip_GrCe_25_34,C11_M_GrDip_GrCe_35_44,C11_M_GrDip_GrCe_45_54,C11_M_GrDip_GrCe_55_64,C11_M_GrDip_GrCe_65_74,C11_M_GrDip_GrCe_75_84,C11_M_GrDip_GrCe_85ov,C11_M_GrDip_GrCe_Tot,C11_M_BD_15_19,C11_M_BD_20_24,C11_M_BD_25_34,C11_M_BD_35_44,C11_M_BD_45_54,C11_M_BD_55_64,C11_M_BD_65_74,C11_M_BD_75_84,C11_M_BD_85o,C11_M_BD_Tot,C11_M_AdD_DL_15_19,C11_M_AdD_DL_20_24,C11_M_AdD_DL_25_34,C11_M_AdD_DL_35_44,C11_M_AdD_DL_45_54,C11_M_AdD_DL_55_64,C11_M_AdD_DL_65_74,C11_M_AdD_DL_75_84,C11_M_AdD_DL_85o,C11_M_AdD_DL_Tot,C11_M_CL_C_III_IV_15_19,C11_M_CL_C_III_IV_20_24,C11_M_CL_C_III_IV_25_34,C11_M_CL_C_III_IV_35_44,C11_M_CL_C_III_IV_45_54,C11_M_CL_C_III_IV_55_64,C11_M_CL_C_III_IV_65_74,C11_M_CL_C_III_IV_75_84,C11_M_CL_C_III_IV_85_ov,C11_M_CL_C_III_IV_Tot,C11_M_CL_C_I_II_15_19,C11_M_CL_C_I_II_20_24,C11_M_CL_C_I_II_25_34,C11_M_CL_C_I_II_35_44,C11_M_CL_C_I_II_45_54,C11_M_CL_C_I_II_55_64,C11_M_CL_C_I_II_65_74,C11_M_CL_C_I_II_75_84,C11_M_CL_C_I_II_85_ov,C11_M_CL_C_I_II_Tot,C11_M_CL_CL_nfd_15_19,C11_M_CL_CL_nfd_20_24,C11_M_CL_CL_nfd_25_34,C11_M_CL_CL_nfd_35_44,C11_M_CL_CL_nfd_45_54,C11_M_CL_CL_nfd_55_64,C11_M_CL_CL_nfd_65_74,C11_M_CL_CL_nfd_75_84,C11_M_CL_CL_nfd_85_ov,C11_M_CL_CL_nfd_Tot,C11_M_CL_T_15_19,C11_M_CL_T_20_24,C11_M_CL_T_25_34,C11_M_CL_T_35_44,C11_M_CL_T_45_54,C11_M_CL_T_55_64,C11_M_CL_T_65_74,C11_M_CL_T_75_84,C11_M_CL_T_85_ov,C11_M_CL_T_Tot,C11_M_LE_ID_15_19,C11_M_LE_ID_20_24,C11_M_LE_ID_25_34,C11_M_LE_ID_35_44,C11_M_LE_ID_45_54,C11_M_LE_ID_55_64,C11_M_LE_ID_65_74,C11_M_LE_ID_75_84,C11_M_LE_ID_85o,C11_M_LE_ID_Tot
6RTAS,0,3,103,246,362,366,166,42,11,1305,0,9,72,157,193,163,49,21,3,662,8,407,1223,1341,1471,981,421,213,38,6108,7,171,638,1020,1280,1063,516,222,46,4978,359,1601,4203,5703,5673,4119,2454,1046,198,25364,109,245,228,128,113,101,24,9,3,948,30,84,172,173,189,210,105,37,10,1006,496,1921,4600,6006,5975,4433,2580,1091,211,27315,16,82,178,243,262,233,146,76,9,1245,1120,605,1110,1488,1597,1563,1624,1508,456,11062,1652,3202,7930,10501,11146,8803,5505,3171,773,52681,0,20,206,316,388,442,307,76,17,1765,0,4,101,195,221,220,96,22,3,871,3,329,1419,1532,1507,1397,664,251,61,7160,9,167,658,1190,1397,1398,765,300,80,5947,492,2185,4545,5563,6277,5140,3143,1326,317,28981,153,208,322,160,164,98,57,15,3,1168,20,52,133,165,153,204,139,48,11,937,663,2442,5004,5884,6593,5441,3347,1388,326,31084,9,45,130,138,205,213,149,83,20,992
6GHOB,0,10,243,535,645,505,215,117,29,2297,0,9,126,276,280,193,55,21,3,962,11,695,2031,1775,1836,1182,461,321,59,8382,7,202,655,993,1140,1026,486,296,61,4871,251,1162,2870,3522,3539,2473,1533,840,154,16340,81,198,169,81,73,51,31,13,3,698,17,84,135,131,188,142,82,31,11,823,351,1446,3173,3735,3794,2657,1646,885,172,17861,17,50,153,164,179,158,130,75,8,939,929,693,1038,1102,1192,1066,973,987,344,8336,1324,3111,7419,8580,9077,6790,3962,2715,680,43659,0,31,497,687,750,674,362,141,33,3171,0,30,181,320,336,268,88,28,10,1251,0,580,2366,2134,1821,1678,712,342,119,9760,15,204,669,1075,1245,1135,692,333,98,5461,288,1592,3410,3608,3828,2963,1923,925,261,18795,113,176,246,106,81,70,42,28,6,877,9,46,91,109,136,165,100,46,13,725,410,1819,3747,3828,4050,3200,2064,995,284,20389,14,40,92,123,137,136,109,61,19,719
69799,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,3,0,0,0,8,0,0,0,3,7,0,0,0,0,10,0,0,13,13,7,7,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,9,18,7,7,0,0,0,37,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,18,26,14,10,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8,0,3,3,0,3,0,0,0,0,13,0,0,6,3,10,4,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,10,4,0,0,0,25,0,0,0,0,0,0,0,0,0,3
69499,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,12,9,8,6,0,0,0,36,0,0,8,3,3,0,3,0,0,16,0,9,25,13,11,6,0,0,0,70,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,0,0,0,6,0,8,25,19,11,11,0,0,0,78,0,0,0,0,3,0,0,0,0,3,5,6,8,4,11,5,5,4,3,64,11,19,57,44,35,22,13,4,3,210,0,0,5,0,3,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,16,4,3,14,3,0,0,40,0,0,3,4,5,3,4,0,0,23,0,7,27,25,23,8,11,0,0,98,0,0,3,3,0,0,0,0,0,7,0,0,3,0,5,0,0,0,0,7,0,12,31,28,21,15,9,0,0,114,0,0,0,3,0,0,0,0,0,9
5RWAU,3,9,204,380,433,346,129,47,8,1553,3,19,184,293,339,164,54,14,0,1071,3,509,2411,2452,2038,1192,434,179,24,9241,44,299,1133,1615,2028,1577,690,278,33,7692,723,2927,8440,10242,9196,5768,2915,1063,177,41439,269,321,348,247,212,123,58,23,3,1603,73,161,378,445,426,337,128,46,5,2001,1068,3405,9163,10932,9831,6223,3097,1136,189,45043,47,99,327,403,469,375,218,95,24,2051,2099,1804,4001,4546,4092,3093,2266,1774,499,24181,3260,6147,17425,20625,19221,12964,6894,3521,773,90829,0,32,397,550,557,465,238,65,12,2314,0,18,221,384,377,297,96,18,3,1416,6,581,3132,3251,2422,1860,779,245,52,12316,38,340,1485,2319,2473,2177,1024,333,53,10243,1169,4767,11834,12298,11990,8409,4107,1598,368,56548,345,410,485,354,269,151,76,14,6,2105,62,141,353,443,396,385,198,81,11,2063,1581,5312,12670,13097,12656,8940,4379,1695,383,60714,52,151,490,521,580,588,421,205,54,3057
5GPER,0,164,2649,4659,4720,3255,1203,425,77,17162,4,121,1219,1821,1834,1029,355,123,22,6522,57,6033,18532,16371,14014,8758,3201,1499,317,68798,426,3398,6749,8482,9253,7685,3677,1691,350,41713,2269,8867,23368,28907,27866,20635,12012,5430,1059,130416,622,1042,991,599,467,339,143,80,9,4290,200,590,1175,1285,1286,1059,459,239,46,6326,3090,10497,25536,30791,29619,22036,12607,5752,1113,141034,186,587,1378,1689,1606,1362,874,519,142,8348,6939,6574,11175,11270,10082,8435,6560,6227,2119,69375,10704,27379,67234,75085,71136,52560,28480,16234,4143,352957,5,341,5999,6771,6134,4425,2070,623,133,26486,0,173,1729,2578,2336,1637,609,173,26,9257,47,6972,26443,21688,16555,11838,5141,1881,518,91082,353,3694,9891,10816,10519,9301,5052,2126,554,52318,3469,13579,30061,30933,31945,24611,14665,6928,1721,157904,921,1004,1364,888,616,461,209,86,18,5569,191,561,1173,1278,1223,1196,673,310,78,6685,4582,15144,32600,33106,33782,26267,15547,7321,1815,170155,183,808,2030,2085,1956,1930,1493,927,349,11757
59799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0,12,0,0,7,7,7,0,0,0,0,17,0,7,33,38,21,8,0,0,0,101,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,11,33,41,21,13,0,0,0,113,0,0,4,4,3,0,0,0,0,12,0,13,13,16,11,3,0,0,0,45,0,21,59,71,42,16,0,0,0,203,0,0,3,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,17,0,0,11,6,5,0,0,0,0,31,0,9,40,36,27,8,0,0,0,125,0,3,4,3,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,8,0,8,47,39,28,10,0,0,0,143,0,4,7,3,5,6,0,0,0,20
59499,0,0,11,14,10,7,0,0,0,46,0,0,3,8,0,3,0,0,0,15,0,27,102,52,24,19,16,3,0,244,0,18,37,30,27,35,12,0,0,156,8,44,183,136,154,136,73,3,0,743,8,14,8,3,0,3,0,0,0,36,0,3,4,6,14,4,3,0,0,32,11,61,193,145,167,148,81,3,0,817,0,4,11,4,6,11,5,0,0,43,28,66,119,122,85,99,42,12,0,568,38,174,481,372,316,330,152,24,4,1888,0,3,30,26,13,0,5,0,0,81,0,0,4,4,3,3,0,0,0,16,0,41,116,68,40,46,5,0,0,317,0,10,51,39,39,53,25,4,0,222,9,75,222,163,150,196,120,12,0,957,0,5,16,5,4,3,0,0,0,39,0,4,7,13,3,10,3,0,0,37,9,86,242,184,159,204,125,12,4,1027,0,3,18,8,11,20,15,0,0,81
4RSAU,0,3,93,208,214,223,113,45,4,904,0,12,92,158,275,158,50,14,4,765,0,303,1330,1247,1287,993,341,152,41,5699,10,131,590,1089,1449,1272,588,283,41,5451,440,2193,5252,6892,6799,5258,3214,1455,228,31730,148,298,353,225,165,130,51,22,0,1382,46,140,333,371,406,323,152,86,8,1858,632,2629,5930,7482,7370,5714,3413,1558,238,34971,40,112,262,330,359,325,210,92,19,1748,1444,992,1955,2451,2375,2140,2051,1998,622,16024,2128,4184,10249,12971,13340,10825,6774,4129,969,65567,0,3,169,234,255,292,199,52,14,1224,0,7,78,155,254,284,104,19,3,916,0,306,1539,1587,1179,1350,690,195,47,6894,11,127,696,1181,1443,1744,935,331,67,6527,514,2699,6021,7048,7681,6400,4247,1844,436,36892,191,316,508,279,229,167,76,11,0,1768,39,125,281,363,355,387,215,88,15,1875,745,3135,6806,7689,8264,6953,4541,1948,452,40533,25,53,192,249,236,277,194,117,36,1379
4GADE,4,190,1993,3010,3192,2444,1054,430,63,12377,0,64,746,1303,1672,1069,301,116,13,5282,33,4316,12665,10186,9624,6677,2301,1366,312,47490,85,1629,4764,6438,6933,5638,2478,1420,305,29699,1265,6479,16604,20541,19597,15438,9726,5654,1183,96494,515,942,1125,630,504,353,147,68,21,4312,134,481,1133,1105,1384,1202,565,296,72,6380,1917,7910,18866,22269,21491,16997,10433,6020,1277,107178,106,392,898,1034,952,903,549,388,114,5339,4314,3719,5906,6509,6187,5230,4605,5353,1937,43761,6462,18223,45841,50755,50039,38951,21721,15095,4031,251123,5,228,4350,4273,3892,3186,1599,596,127,18247,0,76,963,1472,1655,1534,543,150,16,6410,36,4444,16223,13096,10150,8689,3921,1550,515,58623,85,1892,5695,7289,7605,6766,3573,1440,452,34788,1353,7889,18731,20681,21057,17174,10859,6085,1775,105603,609,993,1333,800,540,384,205,84,18,4970,145,512,1003,1034,1128,1254,671,339,88,6181,2111,9393,21073,22513,22726,18815,11734,6507,1885,116757,106,306,838,947,864,900,633,357,149,5097
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3
49499,0,0,5,9,5,3,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,11,44,19,12,18,4,0,0,111,0,4,6,14,7,14,0,0,0,54,3,23,65,63,41,51,19,4,3,265,0,3,0,3,0,0,0,0,0,12,0,7,3,3,5,3,0,0,0,19,7,33,67,68,46,48,24,4,3,295,0,4,4,6,3,0,0,0,0,19,11,17,40,37,34,23,12,3,3,186,18,73,171,149,105,111,41,12,3,682,0,0,16,9,8,3,3,0,0,34,0,0,7,0,0,0,0,0,0,9,0,7,51,34,9,8,3,0,0,114,0,3,9,11,22,10,4,0,0,71,4,23,72,48,57,67,32,3,0,309,0,5,11,6,0,3,0,0,0,22,0,0,3,3,3,0,4,0,0,17,8,32,77,54,57,75,39,3,0,351,0,0,4,0,4,7,0,0,3,21
3RQLD,3,129,1452,2535,2985,2309,1020,300,62,10794,3,47,708,1421,1634,1003,397,99,8,5315,39,3852,12580,11525,10570,7315,3088,1404,298,50681,252,1916,6461,9280,9261,7594,3725,1703,278,40467,3102,13461,36662,43131,42708,31975,18136,7926,1398,198499,896,1595,1745,1009,775,469,169,68,11,6753,267,702,1665,1763,1650,1393,689,314,53,8498,4266,15760,40081,45907,45128,33836,19001,8306,1462,213743,200,563,1522,1913,1978,1798,1279,680,149,10076,9193,7921,14241,15179,14808,13151,11233,9703,3440,98882,13970,30192,77035,87758,86365,67002,39746,22197,5699,429965,0,185,2482,3600,3791,3185,1770,499,87,15613,7,121,945,1648,1763,1598,640,148,18,6891,47,3994,15457,15195,12063,10173,4990,1730,420,64071,300,1999,7297,11800,11781,9894,5410,2131,489,51097,4070,17560,43704,48230,48801,39049,23842,9827,2227,237317,1751,1600,2100,1339,1009,666,336,105,22,8934,347,666,1488,1847,1641,1706,993,375,94,9156,6172,19828,47291,51421,51452,41421,25168,10309,2348,255407,205,499,1296,1582,1726,1668,1369,707,209,9253
3GBRI,3,281,4394,6489,5994,3958,1410,497,79,23115,9,144,1458,2431,2347,1195,394,123,11,8113,78,7896,24407,19465,15102,9419,3421,1524,322,81638,442,3813,8702,10683,10149,7628,3168,1457,301,46349,2349,10405,29109,33244,30887,24390,13372,6364,1217,151339,747,1378,1480,809,557,392,143,63,5,5578,236,802,1678,1396,1503,1310,568,266,63,7822,3337,12584,32270,35448,32943,26094,14088,6696,1283,164740,173,632,1637,1863,1744,1515,969,582,126,9245,7493,7269,12329,11630,10351,9014,6924,6593,2661,74260,11536,32613,85193,88008,78637,58823,30378,17472,4793,407455,0,465,8106,9121,7916,5611,2407,723,133,34478,6,174,2036,3099,2815,1997,624,169,23,10947,85,8706,31246,26653,18236,12748,5586,1968,510,105729,497,3924,10983,13052,12463,9611,4717,1716,436,57399,3505,14432,35199,35918,34342,27506,16842,7559,1889,177196,1565,1446,1920,1131,717,506,252,84,16,7641,308,733,1634,1637,1344,1527,814,328,84,8406,5381,16610,38749,38692,36409,29539,17915,7963,1990,193242,160,582,1515,1606,1414,1295,944,562,153,8230
39799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,4,0,3,0,0,0,0,11,0,3,7,4,4,3,0,0,0,23,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4,6,7,5,3,0,0,0,28,0,0,0,0,0,0,0,0,0,7,0,0,0,0,3,5,4,0,0,11,0,3,14,8,16,9,8,0,0,58,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,7,3,0,3,0,0,0,13,0,0,3,4,7,4,0,0,0,17,0,8,14,7,17,10,4,9,0,66,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,4,0,9,16,5,18,12,4,10,0,74,0,0,0,0,0,0,0,0,0,5
39499,0,3,30,23,17,14,4,0,0,93,0,0,6,13,10,16,0,0,0,41,0,53,167,77,64,52,27,8,0,449,0,24,60,50,41,75,32,3,0,283,18,125,287,258,266,337,207,27,6,1534,5,23,13,9,4,7,0,0,0,60,0,7,10,13,6,17,4,0,0,57,21,152,313,275,278,355,216,27,6,1654,3,19,21,17,21,14,18,4,0,111,43,121,225,209,224,175,98,35,9,1151,79,374,821,658,650,701,394,70,17,3768,0,3,44,15,24,28,8,5,0,125,0,0,9,4,5,9,6,0,0,31,0,58,173,85,53,66,33,7,0,468,0,18,55,45,51,103,46,8,0,331,18,90,252,208,222,405,245,49,3,1498,9,8,19,8,8,11,0,0,0,64,0,3,17,6,6,16,8,0,0,67,30,106,288,223,239,437,251,54,0,1625,0,4,17,15,17,17,19,3,0,81
2RVIC,0,28,662,1472,1777,1532,612,218,39,6340,0,45,602,1210,1797,1130,349,105,14,5257,14,1941,7108,6607,7612,4902,1839,872,162,31057,71,1250,3618,5024,6402,5771,2747,1249,232,26364,2007,8751,20698,27308,25421,18137,10914,5452,941,119631,537,947,895,525,535,308,121,48,6,3920,108,400,756,877,1059,926,437,246,28,4831,2645,10096,22348,28709,27013,19370,11469,5747,978,128378,122,321,729,954,1158,1059,715,456,111,5626,4809,3038,5745,7147,7688,7409,7642,7736,2503,53720,7667,16720,40813,51128,53454,41172,25365,16377,4040,256737,0,74,1189,1879,2094,2022,1139,313,70,8781,0,69,743,1362,1696,1776,642,128,23,6432,14,2083,8511,8593,7330,7132,3165,1127,304,38264,74,1265,4189,6212,6810,7416,4206,1696,361,32227,2297,10666,22887,26818,28660,22592,14122,6516,1580,136142,614,830,1031,751,567,444,203,49,13,4509,150,402,754,790,993,1173,612,234,66,5167,3059,11892,24674,28362,30219,24214,14938,6802,1659,145818,82,213,561,653,761,853,672,403,119,4316
2GMEL,29,1227,13307,14905,12991,8660,2999,1116,236,55480,7,317,4530,6026,6103,3243,976,353,38,21603,177,17298,60784,46122,36120,20634,7910,4212,937,194195,493,9385,20678,20989,19551,15785,7436,4092,790,99196,3833,18390,50468,62014,52390,37593,23135,12076,2473,262369,907,1656,2268,1420,1100,664,280,144,25,8461,322,1214,3006,3412,3037,2375,1025,561,108,15062,5063,21255,55741,66840,56536,40636,24442,12777,2607,285892,320,1342,3600,3724,3355,2547,1626,1141,323,17976,15742,14654,25369,24548,21757,18682,15780,15198,5783,157518,21841,65472,184009,183152,156412,110195,61177,38902,10709,831868,7,1297,23597,20982,16669,11348,5435,1660,367,81366,4,403,5557,7453,6859,5140,1681,479,82,27663,115,19828,77983,59597,41882,28580,12279,5004,1555,246829,579,12396,29803,26620,22414,18717,10672,4691,1278,127169,4810,23082,55984,61766,58709,42246,27105,13859,3839,291402,1174,1671,2538,1769,1381,950,441,194,47,10166,379,1267,2884,3063,2989,2620,1358,605,175,15333,6357,26022,61406,66596,63076,45817,28906,14655,4060,316899,206,1010,3008,2876,2720,2137,1504,968,381,14804
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,3,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,9,3,5,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,4,0,0,3,8,3,3,3,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,7,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,15,0,0,0,0,0,3,0,0,0,3
29499,0,4,42,23,16,8,0,0,0,98,0,0,16,16,6,0,0,0,0,39,0,52,163,57,26,21,8,5,0,339,3,25,45,48,24,31,5,0,0,175,18,73,174,141,76,65,30,5,0,580,3,13,11,0,3,0,0,0,0,33,3,3,14,5,3,3,0,0,0,31,22,83,198,152,81,69,33,5,0,641,0,11,17,10,3,3,3,0,0,53,21,59,132,84,55,43,26,16,3,447,51,233,616,392,218,172,68,26,11,1785,0,7,50,25,19,5,9,0,0,106,0,3,18,9,4,9,0,0,0,38,0,51,190,96,45,24,10,3,0,426,0,23,69,37,30,24,9,7,0,199,11,70,146,148,109,78,61,8,4,637,3,15,16,3,3,0,0,0,0,50,0,10,11,8,7,4,0,0,0,45,19,90,169,164,120,88,65,11,4,732,0,3,6,6,9,5,0,0,0,33
1RNSW,8,122,1746,3436,4430,3750,1605,632,81,15804,0,71,859,1621,2636,1651,590,170,17,7625,42,3490,13309,13687,15210,10093,4371,2194,378,62780,166,2127,7040,10249,11315,8780,4691,2468,461,47298,3084,15343,39304,51182,51928,39706,25266,12767,2186,240764,946,1931,1850,1422,1226,891,396,129,21,8801,315,810,1681,2055,2619,2504,1277,646,97,12004,4348,18081,42829,54658,55771,43101,26937,13539,2310,261566,224,699,1503,2049,2540,2306,1505,942,216,11980,10009,6650,12057,14052,14587,13730,13584,13183,3869,101734,14797,31242,79344,99759,106492,83406,53274,33124,7334,508790,6,157,2752,4361,4987,4944,2661,927,187,20979,0,69,966,1813,2375,2710,927,269,39,9166,33,3610,15095,16695,14385,14561,7051,2713,761,74898,155,2186,7544,12344,12746,11790,6583,2970,743,57070,3420,18238,41950,48950,56284,46784,31157,15213,3762,265758,1001,1678,2181,1535,1371,1110,559,217,30,9670,296,739,1521,1694,2163,2717,1698,764,198,11790,4715,20654,45658,52177,59810,50604,33412,16196,3991,287219,188,503,1196,1473,1947,2162,1596,857,252,10170
1GSYD,43,1317,18147,21552,18106,11317,4037,1495,284,76288,10,250,3695,4493,4563,2538,893,353,46,16841,209,18203,67494,55289,44295,26360,10365,5253,1156,228631,769,10174,26205,27190,21414,14413,7099,4060,979,112315,3668,20567,57722,65325,56755,44772,25950,14747,3049,292552,1015,2209,2740,2033,1727,1345,521,255,30,11878,416,1642,3882,4521,4670,4080,1811,887,171,22081,5094,24414,64347,71880,63157,50196,28286,15885,3251,326514,417,1707,4746,5367,4837,3712,2182,1338,387,24684,18394,18948,37059,32671,28441,23466,17648,15733,5882,198241,24931,75019,221695,218449,184816,131996,70513,44115,11987,983522,15,1456,29093,28221,22988,15414,6859,2158,486,106689,11,325,4547,5922,5007,4184,1420,452,97,21960,166,19804,81619,66973,50478,35342,15566,6425,1909,278287,698,11565,32285,32522,26374,18260,9429,4493,1389,137020,3884,22678,57533,63656,62563,47886,30725,15813,4685,309422,976,1883,3015,2419,2060,1560,790,271,76,13041,399,1415,3232,3692,4203,4098,2559,1084,273,20945,5255,25976,63776,69770,68821,53546,34069,17167,5025,343405,464,1937,5447,5454,5523,4810,3202,2010,808,29652
