GCCSA_CODE_2016,C11_DS_ns_NPUR_5,C11_DS_ns_NPUR_6more,C11_Dwg_st_NS_T,C11_Tot_NPUR_1,C11_Tot_NPUR_2,C11_Tot_NPUR_3,C11_Tot_NPUR_4,C11_Tot_NPUR_5,C11_Tot_NPUR_6more,C11_T_T,C16_Se_h_NPUR_1,C16_Se_h_NPUR_2,C16_Se_h_NPUR_3,C16_Se_h_NPUR_4,C16_Se_h_NPUR_5,C16_Se_h_NPUR_6more,C16_Se_h_Tot,C16_S_r_t_h_t_1_s_NPUR_1,C16_S_r_t_h_t_1_s_NPUR_2,C16_S_r_t_h_t_1_s_NPUR_3,C16_S_r_t_h_t_1_s_NPUR_4,C16_S_r_t_h_t_1_s_NPUR_5,C16_S_r_t_h_t_1_s_NPUR_6mo,C16_SDRTHTS_To,C16_S_r_t_h_t_2mor_s_NPUR_1,C16_S_r_t_h_t_2mor_s_NPUR_2,C16_S_r_t_h_t_2mor_s_NPUR_3,C16_S_r_t_h_t_2mor_s_NPUR_4,C16_S_r_t_h_t_2mor_s_NPUR_5,C16_SDRTHT2S_NPUR_6mo,C16_SDRTHT2S_To,C16_Sd_r_t_h_t_To_NPUR_1,C16_Sd_r_t_h_t_To_NPUR_2,C16_Sd_r_t_h_t_To_NPUR_3,C16_Sd_r_t_h_t_To_NPUR_4,C16_Sd_r_t_h_t_To_NPUR_5,C16_SDRTHT_NPUR_6mor,C16_Sd_r_t_h_t_To_Tot,C16_Fl_u_a_1_2SB_NPUR_1,C16_Fl_u_a_1_2SB_NPUR_2,C16_Fl_u_a_1_2SB_NPUR_3,C16_Fl_u_a_1_2SB_NPUR_4,C16_Fl_u_a_1_2SB_NPUR_5,C16_F_u_a_1_2SB_NPUR_6mor,C16_FUA_1_2SB_Tot,C16_F_u_a_I_a_3SB_NPUR_1,C16_F_u_a_I_a_3SB_NPUR_2,C16_F_u_a_I_a_3SB_NPUR_3,C16_F_u_a_I_a_3SB_NPUR_4,C16_F_u_a_I_a_3SB_NPUR_5,C16_F_u_a_I_a_3SB_NPUR_6m,C16_FUA_In_a_3_st_b_To,C16_F_u_a_4mor_s_b_NPUR_1,C16_F_u_a_4mor_s_b_NPUR_2,C16_F_u_a_4mor_s_b_NPUR_3,C16_F_u_a_4mor_s_b_NPUR_4,C16_F_u_a_4mor_s_b_NPUR_5,C16_F_u_a_4m_s_b_NPUR_6mor,C16_FUA_4mor_st_bl_Tot,C16_FUA_AH_NPUR_1,C16_FUA_AH_NPUR_2,C16_FUA_AH_NPUR_3,C16_FUA_AH_NPUR_4,C16_FUA_AH_NPUR_5,C16_FUA_AH_NPUR_6mo,C16_FUA_AH_Tot,C16_FUA_To_NPUR_1,C16_FUA_To_NPUR_2,C16_FUA_To_NPUR_3,C16_FUA_To_NPUR_4,C16_FUA_To_NPUR_5,C16_FUA_To_NPUR_6mo,C16_FUA_To_To,C16_OD_CCH_NPUR_1,C16_OD_CCH_NPUR_2,C16_OD_CCH_NPUR_3,C16_OD_CCH_NPUR_4,C16_OD_CCH_NPUR_5,C16_OD_CCH_NPUR_6mo,C16_OD_CCH_Tot,C16_OD_IHTSO_NPUR_1,C16_OD_IHTSO_NPUR_2,C16_OD_IHTSO_NPUR_3,C16_OD_IHTSO_NPUR_4,C16_OD_IHTSO_NPUR_5,C16_OD_IHTSO_NPUR_6mo,C16_OD_IHTSO_Tot,C16_OD_H_f_a_s_o_NPUR_1,C16_OD_H_f_a_s_o_NPUR_2,C16_OD_H_f_a_s_o_NPUR_3,C16_OD_H_f_a_s_o_NPUR_4,C16_OD_H_f_a_s_o_NPUR_5,C16_OD_H_f_a_s_o_NPUR_6mor,C16_OD_H_f_a_s_o_TO,C16_OD_Tot_NPUR_1,C16_OD_Tot_NPUR_2,C16_OD_Tot_NPUR_3,C16_OD_Tot_NPUR_4,C16_OD_Tot_NPUR_5,C16_OD_Tot_NPUR_6mor,C16_OD_T_T,C16_DS_ns_NPUR_1,C16_DS_ns_NPUR_2,C16_DS_ns_NPUR_3,C16_DS_ns_NPUR_4,C16_DS_ns_NPUR_5,C16_DS_ns_NPUR_6more,C16_Dwg_st_NS_T,C16_Tot_NPUR_1,C16_Tot_NPUR_2,C16_Tot_NPUR_3,C16_Tot_NPUR_4,C16_Tot_NPUR_5,C16_Tot_NPUR_6more,C16_T_T
4GADE,3,4,183,131147,163446,74095,70589,25799,10354,475428,76221,126787,63780,66112,24663,10691,368244,30310,19228,6677,4051,1244,601,62108,6365,7626,3632,2374,642,250,20886,36676,26853,10310,6421,1888,851,83001,15941,8086,2831,1369,306,95,28620,2072,1228,421,203,43,5,3974,2600,2230,544,201,35,9,5622,42,25,14,9,3,0,93,20655,11572,3812,1780,382,110,38308,510,220,28,24,13,6,791,29,17,3,3,3,3,62,159,192,77,65,23,17,527,697,423,109,88,41,21,1383,579,470,196,171,48,38,1509,134833,166107,78212,74579,27023,11704,492448
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3RQLD,38,16,925,193539,303104,124735,115716,50947,26773,814810,124891,246526,109957,110169,49119,26045,666707,25352,16900,4682,2326,697,296,50253,15151,17042,7468,4146,1264,432,45505,40505,33945,12154,6471,1962,730,95759,20820,11295,3449,1620,489,243,37910,9294,8876,2289,883,179,57,21576,10420,12664,2809,1121,297,102,27416,116,55,13,8,3,5,200,40649,32888,8564,3630,966,400,87105,5981,2963,293,177,67,52,9532,557,360,114,81,37,30,1179,470,512,175,150,68,69,1444,7011,3841,581,402,174,151,12156,2599,1700,550,458,226,116,5646,215655,318892,131802,121135,52451,27433,867368
3GBRI,12,6,355,159969,248412,124767,120457,52047,26832,732495,95164,195626,111499,119291,52364,28993,602947,13386,8102,2312,1250,439,239,25725,16051,18687,10507,5639,1819,799,53503,29435,26785,12820,6881,2257,1040,79224,19111,11051,3385,1483,393,153,35582,12816,12353,3478,1356,274,81,30362,12654,14977,3795,1647,332,136,33551,69,66,18,10,6,4,184,44651,38455,10681,4497,1011,376,99677,2544,913,130,66,29,10,3695,86,42,12,17,9,7,176,225,235,131,109,44,43,787,2856,1194,274,192,86,61,4661,1309,882,357,247,95,74,2959,173424,262943,135628,131112,55813,30540,789464
39799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2RVIC,16,6,232,143591,186791,71183,67445,31678,13343,514024,120923,178680,69094,66928,30919,12764,479310,19573,8867,2224,1100,329,150,32240,1666,1572,569,334,92,41,4273,21233,10437,2797,1432,425,188,36513,9368,3331,802,307,68,34,13912,300,137,24,8,4,0,475,190,79,25,9,8,3,313,27,11,0,3,0,3,47,9889,3558,856,330,80,40,14748,2012,737,80,84,31,7,2956,107,51,16,14,11,3,205,522,535,196,172,68,45,1542,2636,1325,297,275,115,57,4703,1147,1044,317,262,126,66,2958,155827,195040,73363,69223,31662,13113,538228
2GMEL,24,9,568,333280,457539,242652,248732,102605,45851,1430661,178151,314288,198174,230620,97738,48662,1067637,59665,51865,24072,17014,5076,2137,159820,21905,36055,21750,17212,5449,2212,104584,81565,87917,45824,34222,10529,4350,264409,39546,30012,11105,5843,1575,613,88688,22713,19350,4913,1657,379,140,49149,38869,38794,10219,3677,982,585,93124,156,107,37,22,8,3,336,101280,88260,26280,11200,2940,1335,231297,1823,506,70,46,14,14,2475,102,20,10,15,0,11,158,1225,1268,603,385,174,99,3764,3145,1800,686,441,196,121,6392,1865,1390,653,525,209,104,4746,366005,493655,271619,277011,111605,54576,1574474
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1RNSW,46,27,1069,255336,346961,135391,126494,58650,27072,949900,178289,300081,123491,121127,56214,26393,805591,31989,18970,4856,2476,767,275,59334,12387,10867,4253,2351,731,294,30878,44377,29838,9104,4824,1499,568,90207,25816,11352,3218,1430,412,197,42429,5173,3325,918,349,80,30,9876,4605,4301,1021,379,78,18,10402,238,131,28,30,14,5,437,35825,19109,5182,2192,582,254,63149,6271,3121,377,188,84,62,10102,470,279,80,60,39,21,941,1104,1210,460,379,173,97,3414,7840,4613,908,625,294,176,14459,3028,2315,690,524,283,175,7028,269360,355952,139382,129290,58872,27575,980442
1GSYD,99,44,2275,343808,467724,261648,266473,118568,63168,1521399,129054,251870,167538,209153,103394,63220,924225,27921,25106,12717,11486,3634,1551,82409,31390,41381,28558,27492,10480,5532,144826,59305,66488,41277,38972,14118,7081,227238,37966,29538,13655,8968,2808,1248,94186,51447,54788,25925,14894,4026,1507,152577,66736,78465,34622,19716,5486,2654,207670,677,569,256,185,70,41,1798,156816,163363,74452,43756,12391,5452,456233,1351,590,146,81,35,14,2215,171,69,46,39,22,21,370,1864,2026,1175,805,397,282,6546,3385,2680,1364,925,449,316,9129,2853,1952,938,699,363,253,7045,351423,486347,285569,293508,130712,76323,1623872
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
