GCCSA_CODE_2016,C11_M_25_29_Tot_LF,C11_M_25_29_Notin_LF,C11_M_25_29_LF_NS,C11_M_25_29_Tot,C11_M_30_34_Em_FT,C11_M_30_34_Em_PT,C11_M_30_34_Em_AFW,C11_M_30_34_Em_Hrs_NS,C11_M_30_34_Em_Tot,C11_M_30_34_Unem_Look_FT,C11_M_30_34_Unem_Look_PT,C11_M_30_34_Unem_Tot,C11_M_30_34_Tot_LF,C11_M_30_34_Notin_LF,C11_M_30_34_LF_NS,C11_M_30_34_Tot,C11_M_35_39_Em_FT,C11_M_35_39_Em_PT,C11_M_35_39_Em_AFW,C11_M_35_39_Em_Hrs_NS,C11_M_35_39_Em_Tot,C11_M_35_39_Unem_Look_FT,C11_M_35_39_Unem_Look_PT,C11_M_35_39_Unem_Tot,C11_M_35_39_Tot_LF,C11_M_35_39_Notin_LF,C11_M_35_39_LF_NS,C11_M_35_39_Tot,C11_M_40_44_Em_FT,C11_M_40_44_Em_PT,C11_M_40_44_Em_AFW,C11_M_40_44_Em_Hrs_NS,C11_M_40_44_Em_Tot,C11_M_40_44_Unem_Look_FT,C11_M_40_44_Unem_Look_PT,C11_M_40_44_Unem_Tot,C11_M_40_44_Tot_LF,C11_M_40_44_Notin_LF,C11_M_40_44_LF_NS,C11_M_40_44_Tot,C11_M_45_49_Em_FT,C11_M_45_49_Em_PT,C11_M_45_49_Em_AFW,C11_M_45_49_Em_Hrs_NS,C11_M_45_49_Em_Tot,C11_M_45_49_Unem_Look_FT,C11_M_45_49_Unem_Look_PT,C11_M_45_49_Unem_Tot,C11_M_45_49_Tot_LF,C11_M_45_49_Notin_LF,C11_M_45_49_LF_NS,C11_M_45_49_Tot,C11_M_50_54_Em_FT,C11_M_50_54_Em_PT,C11_M_50_54_Em_AFW,C11_M_50_54_Em_Hrs_NS,C11_M_50_54_Em_Tot,C11_M_50_54_Unem_Look_FT,C11_M_50_54_Unem_Look_PT,C11_M_50_54_Unem_Tot,C11_M_50_54_Tot_LF,C11_M_50_54_Notin_LF,C11_M_50_54_LF_NS,C11_M_50_54_Tot,C11_M_55_59_Em_FT,C11_M_55_59_Em_PT,C11_M_55_59_Em_AFW,C11_M_55_59_Em_Hrs_NS,C11_M_55_59_Em_Tot,C11_M_55_59_Unem_Look_FT,C11_M_55_59_Unem_Look_PT,C11_M_55_59_Unem_Tot,C11_M_55_59_Tot_LF,C11_M_55_59_Notin_LF,C11_M_55_59_LF_NS,C11_M_55_59_Tot,C11_M_60_64_Em_FT,C11_M_60_64_Em_PT,C11_M_60_64_Em_AFW,C11_M_60_64_Em_Hrs_NS,C11_M_60_64_Em_Tot,C11_M_60_64_Unem_Look_FT,C11_M_60_64_Unem_Look_PT,C11_M_60_64_Unem_Tot,C11_M_60_64_Tot_LF,C11_M_60_64_Notin_LF,C11_M_60_64_LF_NS,C11_M_60_64_Tot,C11_M_65_69_Em_FT,C11_M_65_69_Em_PT,C11_M_65_69_Em_AFW,C11_M_65_69_Em_Hrs_NS,C11_M_65_69_Em_Tot,C11_M_65_69_Unem_Look_FT,C11_M_65_69_Unem_Look_PT,C11_M_65_69_Unem_Tot,C11_M_65_69_Tot_LF,C11_M_65_69_Notin_LF,C11_M_65_69_LF_NS,C11_M_65_69_Tot,C11_M_70_74_Em_FT,C11_M_70_74_Em_PT,C11_M_70_74_Em_AFW,C11_M_70_74_Em_Hrs_NS,C11_M_70_74_Em_Tot,C11_M_70_74_Unem_Look_FT,C11_M_70_74_Unem_Look_PT,C11_M_70_74_Unem_Tot,C11_M_70_74_Tot_LF,C11_M_70_74_Notin_LF,C11_M_70_74_LF_NS,C11_M_70_74_Tot,C11_M_75ov_Em_FT,C11_M_75ov_Em_PT,C11_M_75ov_Em_AFW,C11_M_75ov_Em_Hrs_NS,C11_M_75over_Em_Tot,C11_M_75ov_Unem_Lo_ft_wor,C11_M_75ov_Unem_Lo_pt_wor,C11_M_75ov_Unempl_Tot,C11_M_75ov_Tot_LF,C11_M_75ov_Notin_LF,C11_M_75ov_LF_NS,C11_M_75ov_Tot,C11_M_Tot_Em_FT,C11_M_Tot_Em_PT,C11_M_Tot_Em_AFW,C11_M_Tot_Em_Hrs_NS,C11_M_Tot_Em_Tot,C11_M_Tot_Unem_Look_FT,C11_M_Tot_Unem_Look_PT,C11_M_Tot_Unem_Tot,C11_M_T_T_labo_for,C11_M_Tot_Notin_LF,C11_M_Tot_LF_NS,C11_M_T_T,C16_M_15_19_Em_FT,C16_M_15_19_Em_PT,C16_M_15_19_Em_AFW,C16_M_15_19_Em_Hrs_NS,C16_M_15_19_Em_Tot,C16_M_15_19_Unem_Look_FT,C16_M_15_19_Unem_Look_PT,C16_M_15_19_Unem_Tot,C16_M_15_19_Tot_LF,C16_M_15_19_Notin_LF,C16_M_15_19_LF_NS,C16_M_15_19_Tot,C16_M_20_24_Em_FT,C16_M_20_24_Em_PT,C16_M_20_24_Em_AFW,C16_M_20_24_Em_Hrs_NS,C16_M_20_24_Em_Tot,C16_M_20_24_Unem_Look_FT,C16_M_20_24_Unem_Look_PT,C16_M_20_24_Unem_Tot,C16_M_20_24_Tot_LF,C16_M_20_24_Notin_LF,C16_M_20_24_LF_NS,C16_M_20_24_Tot,C16_M_25_29_Em_FT,C16_M_25_29_Em_PT,C16_M_25_29_Em_AFW,C16_M_25_29_Em_Hrs_NS,C16_M_25_29_Em_Tot,C16_M_25_29_Unem_Look_FT,C16_M_25_29_Unem_Look_PT,C16_M_25_29_Unem_Tot,C16_M_25_29_Tot_LF,C16_M_25_29_Notin_LF,C16_M_25_29_LF_NS,C16_M_25_29_Tot,C16_M_30_34_Em_FT,C16_M_30_34_Em_PT,C16_M_30_34_Em_AFW,C16_M_30_34_Em_Hrs_NS,C16_M_30_34_Em_Tot,C16_M_30_34_Unem_Look_FT,C16_M_30_34_Unem_Look_PT,C16_M_30_34_Unem_Tot,C16_M_30_34_Tot_LF,C16_M_30_34_Notin_LF,C16_M_30_34_LF_NS,C16_M_30_34_Tot,C16_M_35_39_Em_FT,C16_M_35_39_Em_PT,C16_M_35_39_Em_AFW,C16_M_35_39_Em_Hrs_NS,C16_M_35_39_Em_Tot,C16_M_35_39_Unem_Look_FT,C16_M_35_39_Unem_Look_PT,C16_M_35_39_Unem_Tot,C16_M_35_39_Tot_LF,C16_M_35_39_Notin_LF,C16_M_35_39_LF_NS,C16_M_35_39_Tot,C16_M_40_44_Em_FT,C16_M_40_44_Em_PT,C16_M_40_44_Em_AFW,C16_M_40_44_Em_Hrs_NS
6RTAS,5947,751,266,6966,4459,742,197,149,5549,353,54,403,5947,711,267,6928,5179,914,233,146,6461,384,78,463,6930,954,317,8202,5877,1066,284,153,7379,370,72,449,7824,1146,382,9355,6161,1088,324,150,7722,337,69,410,8133,1408,395,9931,6068,1279,373,146,7860,355,88,440,8302,1686,400,10389,4736,1355,328,110,6526,311,114,423,6953,2528,386,9865,2879,1419,279,102,4678,222,121,347,5020,4399,436,9855,866,790,120,46,1821,13,30,43,1865,5707,375,7944,245,330,34,22,636,0,10,10,645,4852,360,5854,144,190,33,24,394,3,6,7,401,7583,887,8881,46481,12913,2776,1474,63640,3788,1223,5007,68648,37687,5165,111496,1120,1843,112,105,3185,407,464,867,4052,4521,474,9049,3485,1444,179,126,5239,699,257,950,6190,1425,523,8144,4037,884,146,117,5178,416,119,542,5720,861,456,7037,4423,827,208,120,5582,318,74,394,5972,796,449,7219,4345,805,157,112,5420,323,68,388,5806,830,424,7067,4952,964,189,119
6GHOB,5477,844,317,6638,3794,758,173,84,4816,237,55,288,5099,688,265,6056,4248,773,186,79,5289,208,44,256,5545,733,254,6535,4514,760,192,102,5572,217,57,268,5846,787,278,6909,4503,902,196,114,5715,171,41,208,5926,888,276,7096,4643,850,193,107,5789,183,40,220,6008,1018,291,7310,3533,905,211,63,4715,150,76,226,4937,1559,293,6790,2071,989,167,49,3276,87,66,149,3425,2614,287,6336,549,549,65,15,1183,13,19,27,1214,3173,233,4623,133,241,27,13,414,6,8,12,425,2974,211,3615,44,115,18,18,194,0,3,5,196,5437,524,6158,35514,10884,1850,947,49190,2403,1031,3433,52625,25921,3860,82400,569,1606,100,63,2333,240,498,735,3070,3550,268,6880,2364,1783,125,88,4361,508,285,785,5148,1564,371,7088,3687,1135,121,98,5037,399,136,537,5575,1002,408,6986,4247,931,134,107,5423,274,85,353,5774,799,385,6959,4052,794,134,75,5045,236,57,288,5339,750,318,6403,4307,834,138,70
69799,10,0,0,12,4,0,0,0,4,0,0,0,5,0,0,8,3,0,0,0,4,0,0,0,4,0,0,4,6,0,0,0,5,0,0,0,6,0,3,15,8,0,0,0,9,0,0,0,10,0,0,10,7,0,0,0,7,0,0,0,7,0,0,8,7,0,0,0,7,0,0,0,4,0,0,8,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,53,5,3,4,60,5,0,5,63,7,11,82,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,4,0,0,6,5,0,0,0,9,0,0,0,9,3,0,8,7,0,0,0,8,0,0,0,8,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
69499,40,18,17,75,14,8,0,0,24,6,0,6,26,10,16,60,12,3,0,0,20,11,0,6,27,12,13,56,15,8,0,0,25,3,0,3,30,12,8,54,19,0,3,0,22,3,0,3,24,11,14,48,15,5,0,0,19,0,0,0,16,10,5,39,3,0,0,0,8,4,0,4,11,23,3,37,5,8,0,0,7,0,0,3,14,25,8,48,0,0,0,0,0,0,0,0,0,18,4,24,0,0,0,0,0,0,0,0,0,12,0,17,0,0,0,0,0,0,0,0,0,9,3,9,113,46,12,5,186,64,7,66,254,206,105,566,3,3,0,0,4,3,4,5,11,12,3,34,5,3,0,3,15,10,0,15,28,11,19,56,22,4,3,0,27,11,0,12,39,8,18,66,17,10,0,0,31,3,5,3,38,3,12,55,8,11,6,0,21,5,0,6,25,15,16,53,8,0,0,0
5RWAU,14438,1674,2455,18564,11454,1233,716,365,13766,458,86,542,14315,1535,2023,17870,12636,1413,799,391,15241,485,70,562,15800,1591,2062,19456,13366,1565,844,383,16158,415,85,499,16658,1563,2163,20391,13077,1567,806,343,15797,396,79,478,16275,1719,2070,20057,12455,1689,819,345,15310,374,68,438,15749,1893,1887,19525,9804,1702,808,216,12532,317,83,401,12934,2556,1454,16940,6181,1950,614,192,8940,224,106,331,9267,4509,1130,14903,2056,1238,287,92,3671,40,51,95,3772,5959,695,10423,646,643,115,53,1457,6,17,26,1478,5485,568,7536,331,416,84,64,897,12,5,15,915,8728,1122,10766,106046,18861,7395,3492,135795,4712,1296,6008,141805,45624,20852,208286,2465,3022,191,212,5893,682,569,1253,7147,7193,1296,15633,6976,1646,356,283,9255,1034,251,1283,10542,1999,1401,13936,10457,1468,553,251,12729,813,133,939,13672,1727,2263,17657,11951,1425,729,303,14409,689,105,795,15205,1582,2423,19206,11546,1328,627,258,13750,677,106,782,14532,1551,2116,18201,12032,1571,622,285
5GPER,56929,5446,5290,67666,42186,5429,1842,1044,50497,1591,331,1916,52413,4089,4305,60809,43793,4995,1951,1177,51917,1417,259,1673,53591,3937,3913,61444,44800,5269,1903,1079,53050,1374,254,1624,54677,4360,3878,62922,42669,5026,2020,983,50698,1267,208,1474,52179,4433,3423,60039,38150,5021,1959,779,45908,1125,237,1362,47276,5016,3143,55431,30394,5299,1832,626,38152,1024,235,1264,39413,7028,2795,49241,19713,6952,1514,498,28673,708,339,1049,29722,13418,2340,45481,6048,4716,606,232,11588,121,132,257,11847,19209,1817,32872,1199,2055,187,86,3531,28,67,98,3623,19402,1584,24606,369,1030,106,98,1603,7,29,33,1636,34954,4195,40788,352622,81410,18681,10301,463013,15552,6776,22331,485340,157823,44440,687602,5495,15034,674,538,21735,2265,4867,7130,28866,29763,2770,61400,24790,17860,1253,1166,45064,4529,2845,7374,52443,11680,4228,68351,43177,10731,1689,1223,56818,3974,1111,5083,61902,7099,5884,74881,51641,8114,1780,1157,62692,3510,669,4175,66868,5691,5756,78313,46627,6337,1586,960,55510,3042,442,3481,58994,5075,4685,68747,45451,5972,1431,865
59799,62,0,12,69,49,4,4,5,56,0,0,0,56,0,14,71,42,0,0,0,47,0,0,0,49,0,8,58,27,0,4,0,38,0,0,0,38,0,3,37,21,0,3,0,28,0,0,0,30,0,3,34,31,0,0,0,34,0,0,0,34,0,3,34,13,0,0,0,18,0,0,0,18,3,3,22,10,0,0,0,10,0,0,0,10,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,3,272,11,19,5,310,3,0,3,316,10,53,381,0,0,0,0,0,0,0,0,0,0,0,0,13,7,0,0,11,0,0,0,11,0,3,17,31,4,0,0,37,0,0,0,34,0,9,43,53,0,0,0,55,0,0,0,62,0,14,74,41,0,0,3,48,0,0,0,47,0,10,63,44,4,3,0
59499,328,62,103,492,165,26,9,9,213,24,4,35,250,76,105,427,149,18,24,3,197,17,6,27,220,57,95,370,134,15,16,9,173,31,10,40,214,64,81,362,139,18,17,3,176,30,0,33,209,65,96,367,116,16,11,3,147,19,0,22,173,71,74,313,85,16,4,3,113,27,5,32,141,146,71,362,59,12,6,3,79,12,9,24,97,224,44,368,16,6,5,0,24,0,3,3,28,208,32,265,0,4,0,0,4,0,0,0,4,105,20,120,0,0,0,0,0,0,0,0,3,53,22,70,1236,214,131,44,1620,224,57,288,1903,1238,831,3975,3,6,0,0,6,18,3,19,29,32,26,84,55,34,4,7,101,26,8,32,139,66,58,254,146,41,10,10,201,42,3,39,243,44,105,391,132,24,14,8,177,36,0,34,214,60,110,382,89,25,12,7,128,23,6,24,152,50,90,294,76,22,8,0
4RSAU,7938,1046,486,9475,6181,853,324,206,7565,358,67,430,7995,1006,451,9449,6899,1010,351,188,8451,377,67,440,8891,1235,544,10674,8345,1206,364,220,10134,389,100,486,10622,1542,649,12813,8344,1406,420,187,10365,400,82,482,10844,1880,669,13395,8428,1416,518,193,10554,358,99,461,11012,2126,626,13759,7185,1521,529,153,9386,274,110,379,9774,2934,579,13283,4555,1835,396,145,6928,200,118,318,7247,5251,611,13114,1593,1164,187,51,2991,21,21,41,3032,7152,518,10697,513,548,73,51,1182,6,6,13,1200,6488,495,8180,321,328,53,64,757,4,4,12,769,11198,1159,13135,65857,15951,4022,2085,87921,4010,1270,5284,93202,48475,7843,149522,1465,2466,141,156,4219,451,431,885,5102,5230,601,10933,4696,1550,210,174,6626,768,202,967,7601,1352,610,9562,5781,1163,233,143,7317,538,100,642,7959,1178,698,9833,6188,995,212,168,7560,471,89,557,8115,1248,662,10026,6059,993,244,142,7433,353,69,426,7862,1259,674,9792,6856,1096,281,146
4GADE,36042,4643,2079,42762,26032,4320,1040,627,32015,1482,334,1816,33830,3698,1753,39276,27671,4195,1037,597,33507,1334,270,1607,35116,3997,1670,40777,29080,4297,1048,636,35060,1263,262,1530,36589,4512,1703,42806,28226,4424,1034,621,34300,1239,270,1506,35812,5022,1701,42539,26531,4342,1188,529,32588,1038,209,1248,33843,5697,1697,41232,20868,4348,1160,408,26783,854,261,1120,27906,7198,1355,36463,12961,5064,931,284,19235,525,289,821,20056,13203,1360,34616,3526,3171,387,128,7219,50,85,128,7348,17084,1106,25543,752,1284,125,53,2213,17,31,47,2263,16242,1058,19558,271,666,81,74,1089,13,6,22,1116,33855,3282,38244,223776,62275,10583,6123,302763,13531,5919,19450,322215,144499,22382,489094,2682,9422,447,301,12855,1297,3219,4518,17377,21693,1423,40489,14442,12223,739,655,28054,3062,2072,5137,33196,10253,2047,45495,23749,7261,770,640,32416,2457,786,3239,35661,5636,2195,43487,28030,5880,838,611,35368,2155,469,2623,37991,4323,2269,44579,26669,4863,769,508,32813,1815,361,2180,34989,4162,2038,41184,27380,4690,735,464
49799,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49499,115,30,21,168,70,15,6,0,86,18,3,21,108,37,29,179,44,22,5,6,80,14,0,14,97,33,27,153,45,15,5,0,62,7,4,10,77,46,30,153,35,9,9,3,54,20,3,25,75,30,28,139,32,4,3,3,48,5,0,5,51,43,30,128,29,20,4,0,53,9,0,11,58,52,27,140,12,6,0,0,15,3,3,10,25,76,25,125,6,4,0,0,10,0,0,0,10,63,6,75,0,0,0,0,0,0,0,0,0,47,11,60,0,0,0,0,3,0,0,0,3,62,14,73,376,145,50,16,590,138,20,160,748,600,279,1628,4,11,0,0,13,13,6,17,30,54,11,95,26,20,4,7,52,35,4,39,88,44,34,161,50,29,6,9,89,27,3,28,114,40,25,187,44,19,4,5,69,21,0,21,90,39,37,164,33,6,0,3,39,15,3,25,65,37,40,136,20,17,5,0
3RQLD,57995,5710,6015,69723,44649,6320,1736,1330,54035,2505,503,3005,57039,5225,5186,67451,50473,6695,1864,1608,60639,2483,438,2923,63561,6123,5442,75130,52356,7185,1944,1560,63046,2414,442,2854,65904,6868,5726,78498,51180,7273,2064,1485,62006,2317,467,2782,64789,8132,5569,78491,48213,7649,2241,1218,59319,2218,438,2652,61973,9752,5300,77025,37971,8044,2210,1010,49235,1943,513,2456,51684,13774,4500,69963,25319,8446,1822,772,36367,1455,660,2111,38483,25208,4270,67956,8595,5502,696,397,15183,194,224,421,15603,34678,3514,53794,2445,2370,268,199,5280,53,80,127,5413,31561,3025,40001,1249,1348,227,254,3076,21,37,57,3138,50897,7136,61165,415463,96857,19703,14518,546537,27011,8965,35969,582506,236510,65938,884963,9910,19456,1020,889,31274,3831,4846,8685,39960,31532,4969,76455,32498,13910,1147,1311,48863,5706,2026,7730,56595,10178,6415,73189,42552,9220,1419,1227,54418,3984,961,4941,59361,6961,6915,73236,47180,7461,1634,1183,57453,3161,651,3811,61259,6270,6731,74265,46186,6929,1524,1129,55769,2893,493,3390,59156,6417,6111,71682,50454,7489,1644,1175
3GBRI,66553,7370,4970,78893,51067,6944,1598,1298,60910,2317,495,2814,63727,5494,4018,73242,53964,6544,1654,1350,63512,2167,384,2545,66057,5569,3904,75534,52813,6310,1579,1334,62037,2038,302,2342,64382,5913,3623,73914,49114,5851,1555,1250,57764,1793,327,2116,59875,6327,3427,69634,43589,5795,1634,966,51988,1565,297,1867,53849,7203,3075,64131,33786,5993,1688,715,42172,1374,378,1751,43919,10334,2615,56869,21839,6583,1423,578,30420,1005,412,1418,31838,18615,2491,52943,6507,4290,596,232,11626,145,189,335,11955,24765,1974,38697,1431,1787,181,109,3505,33,71,107,3606,22141,1669,27411,502,905,114,121,1642,13,23,35,1681,37877,4472,44024,408541,95311,16371,12364,532589,23352,9818,33174,565765,196412,44470,806640,7390,18919,835,729,27885,3199,6037,9230,37119,34059,3353,74523,32669,21265,1236,1458,56631,5512,3282,8786,65423,14966,5145,85533,49070,12598,1353,1381,64405,3930,1340,5268,69668,9054,5442,84171,56476,9124,1491,1269,68352,3183,795,3973,72325,7216,5346,84890,53552,7381,1237,1081,63248,2606,520,3128,66372,6392,4509,77269,54555,7215,1277,1051
39799,21,0,3,28,12,0,0,0,12,0,0,0,12,3,3,18,11,0,0,0,14,0,0,0,14,3,5,22,9,0,0,3,12,3,0,3,18,3,3,17,8,0,0,0,9,0,0,0,9,0,8,16,16,0,4,0,19,0,0,0,19,0,7,28,10,4,0,0,11,0,0,0,11,3,0,21,9,0,0,0,13,0,0,0,13,3,3,22,4,0,0,0,4,0,0,0,4,8,3,16,0,0,0,0,0,0,0,0,0,7,0,9,0,0,0,0,0,0,0,0,0,13,3,17,121,14,7,8,158,3,3,8,158,55,52,265,0,0,0,0,3,0,0,0,3,0,0,3,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,3,0,0,0,3,0,0,3,7,0,0,0,7,0,0,0,7,0,0,6,3,0,0,0
39499,441,122,123,684,183,50,24,4,261,53,3,60,322,101,112,532,164,31,15,13,220,39,5,48,270,108,107,486,131,42,15,5,193,35,8,40,240,135,113,487,154,54,9,7,219,49,10,58,275,114,127,517,133,32,14,4,182,38,4,47,231,166,76,466,161,36,12,7,220,41,12,51,265,272,101,638,103,47,14,4,165,19,20,41,206,500,91,798,19,23,7,0,47,6,3,10,52,485,61,607,8,6,4,0,15,0,0,0,20,268,35,325,0,0,0,0,3,0,0,3,3,182,38,230,1534,459,146,65,2199,462,106,572,2775,2659,1174,6606,23,23,3,3,52,26,14,43,89,80,39,212,125,79,10,17,223,69,19,87,315,136,113,559,210,80,9,19,323,46,21,68,395,143,178,714,155,54,18,12,234,72,11,84,318,105,149,573,117,24,9,15,163,56,7,67,229,116,141,479,124,23,10,7
2RVIC,29222,3430,1752,34400,23282,3022,884,662,27857,1195,250,1447,29304,3378,1531,34217,27011,3497,1047,794,32350,1150,270,1419,33771,4003,1814,39588,29329,4014,1107,894,35342,1165,234,1398,36735,4781,2010,43527,30599,4252,1167,785,36809,1142,251,1392,38204,5374,2031,45602,30452,4730,1522,765,37469,999,268,1263,38731,6302,2040,47076,24969,5831,1618,585,33003,993,352,1349,34348,9305,1980,45633,15612,6778,1457,442,24290,715,425,1142,25431,17023,2035,44483,5207,4130,616,258,10215,55,122,170,10384,22827,1867,35084,1820,1922,262,167,4169,20,42,65,4233,21280,1765,27281,1205,1256,224,216,2901,6,17,24,2924,38930,4646,46499,239675,59456,12335,8023,319489,12789,4818,17607,337096,164330,27244,528671,5481,10963,623,623,17688,1383,2130,3516,21203,21191,2534,44925,18489,7981,707,874,28046,2645,1099,3739,31781,6310,2827,40923,23315,4687,737,685,29429,1780,444,2228,31661,4167,2699,38530,24816,3869,807,624,30121,1414,297,1716,31832,3891,2570,38294,24597,3689,829,573,29682,1276,255,1530,31210,4126,2395,37726,27302,4264,895,638
2GMEL,133287,14525,10289,158101,104281,14480,3163,2746,124675,4393,991,5383,130059,10690,8513,149258,104984,13239,3245,2753,124216,4009,788,4794,129019,10778,7410,147205,103432,13207,3025,2773,122433,3912,805,4720,127154,11793,6927,145868,95403,12465,2803,2519,113198,3477,647,4123,117323,12410,6418,136146,85116,11984,3054,2222,102373,3102,693,3794,106167,13777,5796,125743,64377,12403,2846,1592,81221,2580,772,3355,84570,19504,5099,109168,39335,14765,2576,1187,57866,1783,885,2668,60535,33180,4807,98521,12992,9546,1136,523,24200,231,320,550,24743,45867,4162,74778,2966,4278,427,215,7881,65,140,205,8084,45522,3906,57515,1099,2525,304,245,4168,38,49,89,4262,88314,10475,103045,782272,192532,30009,25740,1030559,38551,19350,57906,1088457,409923,88600,1586977,9044,30062,1306,1179,41591,2718,10065,12778,54372,76387,5986,136742,51090,46489,2181,3012,102768,7632,8423,16054,118825,39839,9696,168363,102158,28162,2411,3430,136157,7408,3095,10506,146669,20172,11649,178485,121990,20101,2846,3055,147990,5739,1478,7218,155207,14077,11512,180801,112976,15948,2457,2513,133891,4919,1062,5978,139873,12512,9363,161748,106559,14909,2269,2181
29799,3,0,0,3,6,0,0,0,6,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,7,0,0,0,7,0,0,4,3,0,0,0,5,0,0,0,5,0,0,5,4,0,0,0,4,0,0,0,4,0,0,4,3,0,0,0,3,0,0,0,3,0,0,3,3,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,3,30,0,0,0,30,0,4,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29499,325,113,147,582,185,45,12,6,248,47,8,50,299,93,117,506,135,45,8,5,185,46,12,53,243,105,137,480,105,21,13,3,144,34,5,42,184,92,139,415,86,20,9,3,113,22,4,31,146,98,90,332,73,19,3,3,103,23,4,32,128,82,83,295,47,15,0,0,63,12,5,17,81,97,55,223,21,10,9,5,44,9,0,9,50,100,23,178,12,6,0,0,19,3,0,3,16,107,28,156,7,3,0,0,7,0,0,0,7,70,24,102,0,0,0,0,0,0,0,0,0,72,27,92,999,324,77,44,1440,328,73,403,1846,1256,1037,4134,22,17,3,0,42,12,12,27,68,72,41,180,78,61,4,0,145,33,26,56,202,124,121,447,157,58,5,11,231,41,18,63,294,108,141,542,142,31,7,10,186,48,11,60,251,110,153,513,110,31,3,9,156,29,5,41,196,77,167,441,70,24,9,8
1RNSW,54249,7395,3494,65140,41958,5972,1555,1265,50750,2535,522,3056,53809,6747,3307,63862,49315,6905,1739,1481,59443,2494,508,3002,62442,7917,3626,73982,51734,7551,1923,1583,62798,2544,568,3114,65912,9251,3953,79109,54152,8468,2067,1542,66227,2447,599,3053,69278,11460,4120,84853,53943,9591,2464,1380,67379,2323,685,3012,70387,14050,4340,88785,43421,10203,2704,1117,57447,1939,703,2647,60087,19697,3977,83757,26675,10918,2006,835,40437,1448,854,2305,42745,35700,3912,82355,9002,6668,877,440,16985,137,228,360,17348,46142,3553,67046,3099,3063,338,259,6767,51,102,155,6920,42402,3300,52619,1847,2151,320,318,4634,26,47,75,4711,76283,8448,89437,425088,107975,20647,14473,568188,27808,10639,38442,606634,328061,54038,988731,11181,18572,1185,1059,31996,3360,4213,7569,39564,37612,4658,81832,32356,14871,1327,1516,50069,5162,2313,7475,57542,12762,5143,75449,41651,9296,1325,1215,53484,3337,954,4289,57776,8634,5093,71505,45530,7692,1498,1147,55865,2670,693,3360,59232,7661,4847,71734,44948,7066,1269,1062,54352,2453,552,3005,57359,7878,4550,69787,50087,8073,1450,1105
1GSYD,138720,16338,12716,167771,114272,15955,3338,3095,136661,4900,1099,6002,142663,12501,10882,166035,116342,14428,3262,3042,137076,4607,926,5536,142607,12083,9575,164267,107987,13948,3019,2995,127939,4355,901,5263,133204,13342,8517,155065,103217,14246,2963,2899,123325,4241,891,5129,128455,14964,7982,151396,92205,13859,2986,2470,111527,3846,875,4713,116242,16916,7786,140941,70454,13437,2985,1834,88710,3331,1049,4382,93091,22251,6508,121853,44144,15557,2373,1243,63310,2351,1258,3610,66920,38273,5999,111195,15038,10188,1159,544,26930,310,442,751,27681,50464,5077,83218,3557,4740,415,251,8961,75,176,243,9209,48055,4316,61572,1341,2788,350,278,4748,30,91,130,4881,93350,10711,108942,844912,200389,30640,28057,1103995,45274,21018,66296,1170289,450626,107649,1728563,12874,29858,1709,1451,45892,3026,8337,11367,57260,83990,6728,147983,58598,44784,2291,3444,109120,7024,7239,14264,123383,38224,10672,172289,109017,28224,2477,3712,143422,6452,3090,9543,152965,21669,13518,188149,131171,20608,2779,3548,158108,5448,1503,6949,165057,15353,13145,193554,124467,16755,2479,2925,146631,4799,1112,5910,152545,13603,10800,176949,117744,15757,2273,2466
