GCCSA_CODE_2016,Managers_C06_M,Managers_C06_F,Managers_C06_P,Managers_C11_M,Managers_C11_F,Managers_C11_P,Managers_C16_M,Managers_C16_F,Managers_C16_P,Professionals_C06_M,Professionals_C06_F,Professionals_C06_P,Professionals_C11_M,Professionals_C11_F,Professionals_C11_P,Professionals_C16_M,Professionals_C16_F,Professionals_C16_P,Tech_trad_wkrs_C06_M,Tech_trad_wkrs_C06_F,Tech_trad_wkrs_C06_P,Tech_trad_wkrs_C11_M,Tech_trad_wkrs_C11_F,Tech_trad_wkrs_C11_P,Tech_trad_wkrs_C16_M,Tech_trad_wkrs_C16_F,Tech_trad_wkrs_C16_P,Com_pers_S_work_C06_Cens_M,Com_pers_S_work_C06_Cens_F,Com_pers_S_work_C06_Cens_P,Com_pers_S_work_C11_Cens_M,Com_pers_S_work_C11_Cens_F,Com_pers_S_work_C11_Cens_P,Com_pers_S_work_C16_Cens_M,Com_pers_S_work_C16_Cens_F,Com_pers_S_work_C16_Cens_P,Cler_admin_work_C06_M,Cler_admin_work_C06_F,Cler_admin_work_C06_P,Cler_admin_work_C11_M,Cler_admin_work_C11_F,Cler_admin_work_C11_P,Cler_admin_work_C16_M,Cler_admin_work_C16_F,Cler_admin_work_C16_P,Sales_workers_C06_M,Sales_workers_C06_F,Sales_workers_C06_P,Sales_workers_C11_M,Sales_workers_C11_F,Sales_workers_C11_P,Sales_workers_C16_M,Sales_workers_C16_F,Sales_workers_C16_P,Mach_oper_driv_C06_M,Mach_oper_driv_C06_F,Mach_oper_driv_C06_P,Mach_oper_driv_C11_M,Mach_oper_driv_C11_F,Mach_oper_driv_C11_P,Mach_oper_driv_C16_M,Mach_oper_driv_C16_F,Mach_oper_driv_C16_P,Labourers_C06_M,Labourers_C06_F,Labourers_C06_P,Labourers_C11_M,Labourers_C11_F,Labourers_C11_P,Labourers_C16_M,Labourers_C16_F,Labourers_C16_P,Inadeq_descr_Ns_C06_M,Inadeq_descr_Ns_C06_F,Inadeq_descr_Ns_C06_P,Inadeq_descr_Ns_C11_M,Inadeq_descr_Ns_C11_F,Inadeq_descr_Ns_C11_P,Inadeq_descr_Ns_C16_M,Inadeq_descr_Ns_C16_F,Inadeq_descr_Ns_C16_P,Tot_C06_M,Tot_C06_F,Tot_C06_P,Tot_C11_M,Tot_C11_F,Tot_C11_P,Tot_C16_M,Tot_C16_F,Tot_C16_P
49499,33,23,57,46,20,70,35,20,54,65,79,142,65,57,129,52,54,103,125,19,138,116,8,127,94,20,112,39,57,89,29,62,88,19,32,53,15,53,65,39,53,94,18,40,57,29,39,70,21,33,50,27,23,49,89,7,93,81,0,85,82,6,85,155,84,242,163,76,239,132,75,212,20,3,18,28,5,30,11,0,11,567,354,920,590,317,911,465,263,734
3RQLD,78731,44137,122868,81053,47201,128259,81059,49956,131019,57051,73283,130336,67051,93287,160333,70020,107148,177163,130781,20961,151739,143965,23103,167066,141551,24434,165977,25315,61407,86722,29977,75147,105124,35430,89564,124999,21297,99257,120554,23562,111788,135353,23655,108882,132531,34744,62599,97340,36183,67886,104069,38338,69291,107632,65839,6058,71897,77016,7536,84550,72486,7609,80093,77860,44829,122689,76674,44813,121492,77119,45909,123030,10174,6794,16966,11054,7524,18582,10521,6555,17077,501798,419319,921111,546537,478291,1024830,550177,509346,1059525
3GBRI,66281,36264,102544,74566,42484,117054,78702,48518,127222,87111,94798,181909,105044,119525,224568,110920,135380,246294,109495,18442,127933,116853,20045,136905,117647,21408,139054,24137,55171,79306,30451,67068,97524,35173,81431,116612,35253,113069,148321,39238,124438,163676,39368,119180,158546,36402,55065,91467,37965,57366,95326,39551,60428,99974,53197,6547,59746,57974,6320,64296,60337,6908,67242,59336,34130,93464,59869,33056,92927,65956,35455,101412,8905,6112,15022,10625,7714,18347,10368,7056,17421,480109,419595,899710,532589,478029,1010616,558022,515756,1073778
39799,3,0,3,16,10,24,7,0,13,20,0,25,39,15,51,0,10,8,4,3,6,28,3,35,6,4,9,4,3,9,13,8,26,0,0,0,0,0,3,3,15,20,4,7,7,0,0,0,6,13,20,5,5,7,4,0,3,12,0,12,0,0,0,31,0,33,38,16,52,4,7,6,0,0,0,3,4,7,0,4,4,67,7,81,158,82,239,31,33,60
39499,184,95,283,180,93,275,144,117,264,316,281,594,306,322,624,207,237,446,589,77,661,486,69,554,339,54,392,142,221,370,110,196,303,121,230,349,67,255,323,62,212,277,56,170,226,92,136,228,93,127,218,74,114,182,429,34,466,415,44,461,271,29,300,682,384,1070,480,287,765,459,361,825,84,24,108,69,30,99,66,24,97,2589,1509,4097,2199,1391,3594,1743,1336,3087
2RVIC,61927,30253,92175,60796,30249,91044,59293,30843,90136,35678,51333,87008,39806,60693,100494,40747,66802,107552,72258,13219,85473,77800,14404,92195,76331,15255,91588,13692,37027,50719,16168,45377,61549,19274,53351,72622,12847,52662,65513,13690,56397,70083,13723,56094,69811,19310,36202,55511,19801,38349,58153,21090,38723,59819,35789,3670,39459,37653,3514,41167,36855,3244,40101,46278,28193,74471,46541,27012,73551,48382,28286,76668,5786,3906,9692,7237,4712,11947,6209,4076,10291,303571,256459,560033,319489,280701,600187,321909,296681,618583
2GMEL,142352,71609,213955,157298,84343,241643,177107,102496,279601,186386,198466,384847,221094,242671,463766,246044,282214,528261,198828,34503,233329,219435,38748,258182,223993,42858,266855,44562,94858,139424,53835,118702,172533,66751,149690,216447,69541,202102,271646,77850,216298,294148,80585,212636,293226,69791,104898,174690,75542,111448,186987,83150,122045,205194,94353,15175,109524,98874,14300,113170,104512,14387,118891,94247,55406,149653,100463,52834,153298,113276,57174,170451,20348,14472,34817,26161,18028,44188,21533,15041,36574,920403,791482,1711886,1030559,897372,1927928,1116953,998542,2115493
29799,0,0,0,0,0,0,0,0,0,3,0,3,8,0,8,4,0,4,9,0,9,5,0,5,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4,0,4,0,0,0,17,0,22,8,0,8,3,0,3,0,0,0,0,0,0,0,0,0,36,0,39,30,0,33,23,0,23
29499,116,71,189,148,97,243,123,54,178,231,215,441,253,257,505,203,202,405,323,51,376,309,57,367,249,44,297,136,207,343,121,176,294,120,161,277,80,179,259,76,184,258,56,126,182,86,91,177,82,106,190,53,74,134,225,15,238,181,28,205,183,17,200,276,117,400,222,106,321,214,86,307,52,22,73,61,31,88,41,16,57,1521,967,2488,1440,1043,2481,1242,786,2033
1RNSW,95609,49551,145162,93958,50119,144075,91793,52254,144050,69865,93451,163310,76925,109309,186233,77415,122252,199664,131825,22692,154517,138305,24341,162652,138156,25531,163683,28070,68335,96409,32736,82407,115144,36826,94777,131603,24215,105394,129611,25970,113338,139308,25337,111222,136560,35115,65521,100635,35780,68525,104306,37622,68498,106127,67692,5416,73104,75188,5767,80951,72308,6161,78469,79682,43869,123552,78790,42514,121306,81673,44170,125843,9751,6326,16078,10541,6863,17400,10897,7273,18165,541817,460563,1002381,568188,503185,1071373,572026,532137,1104163
1GSYD,163393,87582,250973,174943,98976,273917,194389,117375,311762,222565,229720,452290,256408,270158,526563,284781,313021,597798,206227,35494,241713,213277,38198,251472,224085,40969,265056,54304,98419,152725,63980,118078,182060,71736,146468,218206,81261,236742,318005,87971,245462,333436,89725,241410,331135,75757,105630,181387,77737,108212,185951,86017,119035,205051,100397,13281,113683,105121,13016,118138,113473,14549,128020,99339,54116,153460,100391,50934,151325,114751,56703,171450,23141,16156,39292,24161,16247,40413,25976,18258,44228,1026384,877140,1903529,1103995,959273,2063269,1204929,1067789,2272718
19799,0,3,3,0,0,3,3,0,3,9,0,9,0,3,3,9,15,22,11,0,15,8,0,8,14,10,18,6,0,9,0,0,3,3,11,16,0,0,0,0,3,3,0,18,21,0,0,0,0,0,3,0,15,17,0,0,0,3,0,3,9,0,10,12,0,12,13,0,13,15,3,18,0,0,0,0,0,0,3,3,5,33,7,43,24,11,32,59,72,130
19499,217,106,322,226,115,338,167,106,274,319,349,676,376,367,741,321,329,649,415,57,478,468,71,542,397,80,480,225,216,441,200,264,464,186,247,430,112,222,333,107,287,394,88,172,261,118,149,266,87,145,238,109,111,224,322,21,343,315,33,349,314,29,339,409,115,530,369,123,490,395,183,582,67,39,106,55,39,93,63,37,103,2210,1281,3493,2208,1444,3649,2042,1291,3331
