GCCSA_CODE_2016,C16_F_Tot_Em_Tot,C16_F_Tot_Unem_Look_FT,C16_F_Tot_Unem_Look_PT,C16_F_Tot_Unem_Tot,C16_F_T_T_labo_for,C16_F_Tot_Notin_LF,C16_F_Tot_LF_NS,C16_F_T_T,C06_P_15_19_Em_FT,C06_P_15_19_Em_PT,C06_P_15_19_Em_AFW,C06_P_15_19_Em_Hrs_NS,C06_P_15_19_Em_Tot,C06_P_15_19_Unem_Look_FT,C06_P_15_19_Unem_Look_PT,C06_P_15_19_Unem_Tot,C06_P_15_19_Tot_LF,C06_P_15_19_Notin_LF,C06_P_15_19_LF_NS,C06_P_15_19_Tot,C06_P_20_24_Em_FT,C06_P_20_24_Em_PT,C06_P_20_24_Em_AFW,C06_P_20_24_Em_Hrs_NS,C06_P_20_24_Em_Tot,C06_P_20_24_Unem_Look_FT,C06_P_20_24_Unem_Look_PT,C06_P_20_24_Unem_Tot,C06_P_20_24_Tot_LF,C06_P_20_24_Notin_LF,C06_P_20_24_LF_NS,C06_P_20_24_Tot,C06_P_25_29_Em_FT,C06_P_25_29_Em_PT,C06_P_25_29_Em_AFW,C06_P_25_29_Em_Hrs_NS,C06_P_25_29_Em_Tot,C06_P_25_29_Unem_Look_FT,C06_P_25_29_Unem_Look_PT,C06_P_25_29_Unem_Tot,C06_P_25_29_Tot_LF,C06_P_25_29_Notin_LF,C06_P_25_29_LF_NS,C06_P_25_29_Tot,C06_P_30_34_Em_FT,C06_P_30_34_Em_PT,C06_P_30_34_Em_AFW,C06_P_30_34_Em_Hrs_NS,C06_P_30_34_Em_Tot,C06_P_30_34_Unem_Look_FT,C06_P_30_34_Unem_Look_PT,C06_P_30_34_Unem_Tot,C06_P_30_34_Tot_LF,C06_P_30_34_Notin_LF,C06_P_30_34_LF_NS,C06_P_30_34_Tot,C06_P_35_39_Em_FT,C06_P_35_39_Em_PT,C06_P_35_39_Em_AFW,C06_P_35_39_Em_Hrs_NS,C06_P_35_39_Em_Tot,C06_P_35_39_Unem_Look_FT,C06_P_35_39_Unem_Look_PT,C06_P_35_39_Unem_Tot,C06_P_35_39_Tot_LF,C06_P_35_39_Notin_LF,C06_P_35_39_LF_NS,C06_P_35_39_Tot,C06_P_40_44_Em_FT,C06_P_40_44_Em_PT,C06_P_40_44_Em_AFW,C06_P_40_44_Em_Hrs_NS,C06_P_40_44_Em_Tot,C06_P_40_44_Unem_Look_FT,C06_P_40_44_Unem_Look_PT,C06_P_40_44_Unem_Tot,C06_P_40_44_Tot_LF,C06_P_40_44_Notin_LF,C06_P_40_44_LF_NS,C06_P_40_44_Tot,C06_P_45_49_Em_FT,C06_P_45_49_Em_PT,C06_P_45_49_Em_AFW,C06_P_45_49_Em_Hrs_NS,C06_P_45_49_Em_Tot,C06_P_45_49_Unem_Look_FT,C06_P_45_49_Unem_Look_PT,C06_P_45_49_Unem_Tot,C06_P_45_49_Tot_LF,C06_P_45_49_Notin_LF,C06_P_45_49_LF_NS,C06_P_45_49_Tot,C06_P_50_54_Em_FT,C06_P_50_54_Em_PT,C06_P_50_54_Em_AFW,C06_P_50_54_Em_Hrs_NS,C06_P_50_54_Em_Tot,C06_P_50_54_Unem_Look_FT,C06_P_50_54_Unem_Look_PT,C06_P_50_54_Unem_Tot,C06_P_50_54_Tot_LF,C06_P_50_54_Notin_LF,C06_P_50_54_LF_NS,C06_P_50_54_Tot,C06_P_55_59_Em_FT,C06_P_55_59_Em_PT,C06_P_55_59_Em_AFW,C06_P_55_59_Em_Hrs_NS,C06_P_55_59_Em_Tot,C06_P_55_59_Unem_Look_FT,C06_P_55_59_Unem_Look_PT,C06_P_55_59_Unem_Tot,C06_P_55_59_Tot_LF,C06_P_55_59_Notin_LF,C06_P_55_59_LF_NS,C06_P_55_59_Tot,C06_P_60_64_Em_FT,C06_P_60_64_Em_PT,C06_P_60_64_Em_AFW,C06_P_60_64_Em_Hrs_NS,C06_P_60_64_Em_Tot,C06_P_60_64_Unem_Look_FT,C06_P_60_64_Unem_Look_PT,C06_P_60_64_Unem_Tot,C06_P_60_64_Tot_LF,C06_P_60_64_Notin_LF,C06_P_60_64_LF_NS,C06_P_60_64_Tot,C06_P_65_69_Em_FT,C06_P_65_69_Em_PT,C06_P_65_69_Em_AFW,C06_P_65_69_Em_Hrs_NS,C06_P_65_69_Em_Tot,C06_P_65_69_Unem_Look_FT,C06_P_65_69_Unem_Look_PT,C06_P_65_69_Unem_Tot,C06_P_65_69_Tot_LF,C06_P_65_69_Notin_LF,C06_P_65_69_LF_NS,C06_P_65_69_Tot,C06_P_70_74_Em_FT,C06_P_70_74_Em_PT,C06_P_70_74_Em_AFW,C06_P_70_74_Em_Hrs_NS,C06_P_70_74_Em_Tot,C06_P_70_74_Unem_Look_FT,C06_P_70_74_Unem_Look_PT,C06_P_70_74_Unem_Tot,C06_P_70_74_Tot_LF,C06_P_70_74_Notin_LF,C06_P_70_74_LF_NS,C06_P_70_74_Tot,C06_P_75ov_Em_FT,C06_P_75ov_Em_PT,C06_P_75ov_Em_Aw_fr_w,C06_P_75ov_Emp_H_wor_ns,C06_P_75ov_Em_Tot,C06_P_75ov_Unem_Lo_ft_wor,C06_P_75ov_Unem_Lo_pt_wor,C06_P_75ov_Unemp_Tot,C06_P_75ov_Tot_lab_for,C06_P_75over_N_lab_forc,C06_P_75over_LF_NS,C06_P_75over_Tot,C06_P_Tot_Em_FT,C06_P_Tot_Em_PT,C06_P_Tot_Em_AFW,C06_P_Tot_Em_Hrs_NS,C06_P_Tot_Em_Tot,C06_P_Tot_Unem_Look_FT,C06_P_Tot_Unem_Look_PT,C06_P_Tot_Unem_Tot,C06_P_T_T_labo_for,C06_P_Tot_Notin_LF,C06_P_Tot_LF_NS,C06_P_T_T,C11_P_15_19_Em_FT,C11_P_15_19_Em_PT,C11_P_15_19_Em_AFW,C11_P_15_19_Em_Hrs_NS,C11_P_15_19_Em_Tot,C11_P_15_19_Unem_Look_FT,C11_P_15_19_Unem_Look_PT,C11_P_15_19_Unem_Tot,C11_P_15_19_Tot_LF,C11_P_15_19_Notin_LF,C11_P_15_19_LF_NS,C11_P_15_19_Tot,C11_P_20_24_Em_FT,C11_P_20_24_Em_PT,C11_P_20_24_Em_AFW,C11_P_20_24_Em_Hrs_NS,C11_P_20_24_Em_Tot,C11_P_20_24_Unem_Look_FT,C11_P_20_24_Unem_Look_PT,C11_P_20_24_Unem_Tot,C11_P_20_24_Tot_LF,C11_P_20_24_Notin_LF,C11_P_20_24_LF_NS,C11_P_20_24_Tot
6RTAS,56603,1911,2066,3978,60585,52430,8187,121201,2909,4191,277,370,7741,793,642,1434,9176,8408,741,18328,6250,2919,452,324,9937,959,314,1264,11204,2971,667,14843,6331,2324,430,283,9370,601,224,828,10194,2891,552,13640,6698,3340,578,288,10909,564,275,841,11742,3638,663,16044,8091,4386,533,347,13356,599,275,872,14227,3766,728,18720,9195,4659,545,396,14790,595,266,860,15653,3454,721,19824,10000,4574,612,379,15563,561,233,793,16359,3659,773,20797,8648,4034,604,292,13581,463,214,676,14259,4566,703,19527,6204,3525,617,265,10613,439,212,655,11268,7401,718,19386,2960,1947,347,125,5377,252,158,419,5797,9311,733,15839,788,870,133,71,1856,12,17,28,1887,10066,731,12691,232,363,43,37,677,3,3,4,681,8435,863,9979,210,207,41,54,515,7,5,16,526,15902,2580,19004,68522,37333,5209,3231,114292,5839,2849,8688,122985,84474,11171,218630,2496,4558,368,243,7669,761,803,1565,9235,8910,664,18800,6064,3142,457,261,9919,906,349,1255,11180,3159,582,14918
6GHOB,49382,1142,1720,2857,52238,37327,5362,94929,1797,3682,245,295,6017,511,631,1140,7157,6601,672,14433,5199,3389,335,309,9234,681,373,1049,10279,2980,747,14002,5547,2031,332,201,8118,464,188,651,8768,2164,584,11513,5789,2719,486,222,9213,332,169,499,9708,2322,592,12626,6255,3366,450,213,10289,313,174,489,10773,2396,663,13827,6904,3570,386,253,11107,298,186,478,11590,2148,636,14366,7936,3359,401,268,11965,291,139,424,12385,2273,672,15334,7088,2888,406,210,10589,276,100,371,10961,2684,590,14237,4911,2488,393,154,7945,173,120,296,8242,4395,593,13224,1981,1476,215,89,3761,115,75,192,3953,5558,507,10012,462,633,87,42,1222,0,17,19,1243,6359,482,8089,83,222,25,25,351,6,3,13,365,5753,536,6651,89,152,23,24,289,3,0,3,295,12670,1690,14654,54051,29979,3772,2301,90100,3453,2163,5621,95719,58300,8948,162971,1383,3741,256,164,5541,459,651,1110,6652,6635,502,13784,5013,3808,372,194,9382,742,435,1176,10553,3344,647,14547
69799,9,0,0,0,15,6,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0,0,4,0,0,0,7,0,0,7,12,0,0,0,12,0,0,0,12,3,0,11,18,0,0,0,18,0,0,0,18,0,0,21,12,0,0,0,13,0,0,0,13,0,0,13,3,0,0,0,3,0,0,0,3,0,0,4,10,0,0,0,14,0,0,0,14,0,0,10,7,0,0,0,7,0,0,0,7,0,0,7,6,0,0,0,4,0,0,0,4,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,5,3,0,73,0,0,0,74,5,4,89,0,0,0,0,3,0,0,0,3,0,0,3,3,0,0,0,5,0,0,0,10,0,0,6
69499,98,20,18,38,136,168,48,350,12,4,0,3,11,16,3,15,33,24,5,65,22,12,3,0,40,23,0,24,66,29,5,94,34,11,7,0,48,11,5,21,61,30,5,94,40,7,3,0,49,20,0,20,74,21,9,103,24,5,0,0,28,5,0,4,35,32,3,71,13,3,0,3,21,8,3,9,28,20,3,45,16,4,3,0,27,0,0,0,27,26,3,59,14,3,0,0,15,6,0,6,24,27,9,57,11,6,6,0,19,3,0,3,26,33,0,61,3,0,0,0,4,0,0,0,3,35,8,44,0,0,0,0,0,0,0,0,0,24,5,28,0,0,0,0,0,0,0,0,0,11,0,11,0,0,0,0,0,0,0,0,0,20,8,31,176,67,18,11,274,88,22,106,384,325,60,767,4,9,0,0,14,13,3,20,38,46,10,92,17,13,3,0,32,17,3,17,51,37,12,103
5RWAU,104674,3594,3264,6860,111532,71392,18727,201648,6564,6660,539,807,14575,828,590,1423,15997,10654,2241,28890,12063,3694,665,657,17078,834,254,1091,18163,3991,2213,24371,12942,3737,878,626,18177,612,237,849,19030,4842,2397,26273,13818,5609,1051,688,21170,550,307,861,22028,6198,2653,30872,15599,7087,1158,749,24594,639,317,958,25555,5720,2947,34214,17283,7274,1058,769,26390,535,306,841,27229,4640,2858,34733,17814,6736,1206,682,26435,518,233,749,27182,4314,2586,34087,15354,5541,1278,552,22726,401,207,602,23324,5000,2324,30647,11230,4745,1047,393,17414,318,207,521,17941,7453,1973,27367,5334,3007,601,250,9194,192,147,333,9527,9225,1548,20304,1817,1542,281,160,3796,23,24,47,3847,10734,1253,15834,580,626,126,67,1393,3,11,20,1415,9218,1088,11716,428,446,89,104,1066,0,7,12,1084,16319,2847,20250,130813,56705,9981,6510,204016,5457,2854,8306,212323,98308,28929,339557,6056,6621,650,564,13894,1124,793,1918,15807,12198,2217,30223,14025,3910,893,546,19380,1162,390,1548,20933,5189,3060,29183
5GPER,432800,16595,20316,36904,469701,280385,50057,800146,18785,33175,1818,2833,56622,2257,3275,5540,62154,42151,6559,110867,48516,25571,2608,2952,79647,2664,2023,4689,84333,18690,7964,110988,53399,14511,2782,1979,72669,1979,1064,3042,75711,15141,6976,97831,53089,17768,3617,1891,76360,1687,1012,2699,79061,19418,6645,105121,54463,23249,3471,1925,83099,1623,1155,2777,85876,20199,7025,113101,57194,24694,3198,2078,87161,1443,1095,2537,89698,17139,6715,113551,58665,23253,3302,2045,87256,1384,901,2282,89545,15505,6310,111356,52718,20036,3469,1630,77855,1069,627,1694,79551,17295,5781,102624,40362,17547,3007,1244,62151,856,601,1457,63614,26050,5187,94847,18211,11217,1689,713,31827,543,421,966,32791,32757,4175,69730,4306,4966,577,307,10157,62,107,175,10326,40710,3851,54891,813,1769,174,121,2881,19,29,51,2930,37475,3657,44059,554,1008,131,188,1876,21,35,58,1939,75219,11134,88290,461071,218767,29828,19908,729573,15604,12353,27959,757528,377750,81981,1217261,15709,34084,2136,1856,53782,3415,5159,8579,62356,49698,5698,117749,53331,31597,3544,2426,90903,4457,3296,7749,98645,22594,7943,129180
59799,17,0,0,0,17,6,8,26,7,0,3,0,12,0,0,0,12,0,0,9,24,0,3,0,26,0,0,0,26,4,3,38,41,4,0,6,55,0,0,0,55,0,3,54,37,0,4,3,42,0,0,0,42,4,3,48,44,0,3,0,46,0,0,0,46,0,5,52,43,0,0,4,47,0,0,0,47,0,6,50,23,0,3,3,30,0,0,0,30,0,4,36,26,0,0,0,29,0,0,0,29,0,0,31,11,0,0,0,11,0,0,0,11,0,0,14,7,0,0,0,7,0,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260,11,15,13,298,0,0,0,298,10,31,339,3,0,0,0,3,0,0,0,3,0,0,4,23,0,0,0,28,0,0,0,28,3,8,37
59499,648,99,49,143,792,882,547,2220,47,35,9,4,93,24,3,34,122,76,30,226,232,86,12,13,346,46,13,57,402,145,79,629,272,73,23,18,381,53,4,58,444,146,70,663,207,56,28,3,287,43,12,52,335,174,67,575,186,37,22,7,258,35,14,43,301,130,71,505,134,41,23,11,210,31,7,40,246,111,66,425,155,43,10,3,208,35,4,36,250,139,57,445,148,41,15,6,211,19,11,28,245,180,50,474,111,30,14,0,156,18,8,27,176,352,57,588,34,22,7,3,67,8,6,19,84,319,53,457,13,4,0,0,20,0,0,4,19,238,35,297,0,3,0,0,6,0,0,0,6,115,22,139,0,0,0,0,3,0,0,0,3,55,19,73,1527,468,176,73,2249,308,85,392,2639,2182,679,5502,26,29,0,0,55,25,13,41,98,76,55,231,219,68,22,3,309,36,14,56,365,146,106,611
4RSAU,73903,2395,2247,4646,78550,66177,10558,155286,3599,5562,426,546,10135,864,583,1448,11582,9557,1056,22189,8323,2991,486,413,12213,899,256,1155,13370,2941,862,17168,8335,2889,565,319,12117,623,236,854,12972,3418,830,17214,8840,4295,641,438,14218,529,292,825,15045,4106,985,20133,10965,5669,685,461,17784,628,350,976,18758,4315,1172,24242,12460,6095,756,465,19771,679,291,964,20738,4080,1169,25991,13673,5879,828,467,20845,565,242,804,21649,4047,1148,26844,12262,4983,854,395,18488,460,199,660,19143,4902,1111,25159,9219,4562,824,301,14909,380,235,618,15526,8225,1039,24788,4748,2966,505,203,8427,245,184,431,8859,11171,1042,21064,1471,1391,223,126,3212,10,18,31,3241,12997,1035,17270,546,570,90,91,1298,3,6,9,1310,11357,1030,13695,388,364,86,98,940,10,3,19,960,23216,3154,27328,94836,48225,6968,4322,154347,5900,2894,8797,163145,104314,15623,283086,2939,6355,443,349,10087,797,831,1630,11718,10139,927,22786,8174,3349,520,382,12419,1076,308,1380,13803,3327,871,17999
4GADE,284414,9445,12137,21578,305996,218993,26782,551769,8681,22529,1186,1598,33993,2390,3306,5698,39699,35500,3203,78398,32848,21274,1897,1935,57948,3328,1912,5243,63194,15394,4045,82630,37869,12081,2021,1260,53233,2419,943,3360,56594,11437,3334,71363,38035,14519,2606,1217,56381,1946,885,2835,59211,14131,3162,76505,39489,18276,2427,1436,61633,1824,997,2815,64457,15291,3467,83210,42097,19767,2042,1371,65277,1811,927,2737,68017,13728,3433,85178,44823,18230,2306,1440,66791,1464,707,2173,68960,13354,3380,85693,40152,15614,2322,1126,59210,1234,571,1797,61013,14864,2978,78855,29892,13895,2094,875,46756,943,522,1473,48231,23817,2924,74966,12920,8351,1066,455,22795,457,361,818,23612,30625,2407,56651,2871,3440,375,178,6863,41,75,110,6975,35656,2449,45083,607,1294,130,103,2124,23,22,44,2172,33978,2747,38896,471,821,129,190,1606,16,21,45,1654,78730,10254,90635,330758,170089,20594,13181,534620,17905,11255,29160,563777,336514,47779,948069,6782,23536,1321,1132,32769,2395,4233,6622,39397,38205,2720,80320,29936,24501,2137,1515,58092,3861,2869,6733,64818,18837,3651,87304
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,6,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49499,263,61,38,106,367,454,191,1016,18,19,4,3,55,21,12,34,85,73,9,168,85,58,8,5,156,31,4,41,194,95,19,305,100,28,14,5,154,23,5,29,181,65,24,270,91,21,12,4,127,17,3,19,148,80,20,253,67,17,10,5,100,23,3,21,123,69,18,212,71,28,6,7,102,17,3,26,131,67,28,227,47,13,7,0,65,14,4,17,83,42,12,141,48,15,3,0,77,17,6,19,92,77,28,204,32,17,3,0,48,5,3,7,56,101,17,167,16,5,3,0,28,3,0,7,32,137,11,183,3,0,0,0,4,3,0,3,13,80,10,101,3,0,0,0,3,0,0,0,3,41,7,51,0,0,0,0,0,0,0,0,0,52,15,63,585,233,67,36,920,179,42,221,1142,982,219,2346,14,18,0,3,35,20,5,27,65,63,19,145,61,53,8,3,118,33,12,40,159,95,28,287
3RQLD,509346,20263,20374,40632,549977,368032,76846,994854,25463,40812,2227,3408,71911,4451,4157,8611,80519,48492,8480,137487,60359,23821,2638,3048,89862,5030,2213,7243,97105,18996,9957,126056,61123,18831,3095,2458,85504,3401,1569,4969,90476,20078,8926,119482,65339,25125,3823,2658,96942,3022,1752,4772,101716,24544,9030,135289,69680,30161,3561,2866,106266,2864,1939,4802,111071,24605,9262,144937,75536,32103,3433,2924,113993,2966,1758,4724,118717,22424,9482,150622,78046,30066,3505,2704,114328,2771,1408,4184,118513,22433,9377,150320,66939,25340,3671,2262,98212,2412,1203,3619,101827,26223,8558,136608,50141,22334,3267,1786,77529,2095,1120,3211,80742,43106,7994,131841,25181,14175,1980,1102,42444,1185,824,2007,44451,55828,6859,107134,7318,6274,772,538,14902,114,170,280,15189,62617,6393,84196,2313,2459,284,323,5383,37,40,73,5454,53694,6305,65452,1540,1517,314,462,3832,37,41,77,3908,100056,18746,122708,588990,273018,32568,26534,921111,30377,18192,48567,969682,523095,119368,1612148,22238,44307,2633,2675,71855,6423,6830,13252,85104,56656,8283,150045,59150,27656,3355,2695,92856,7124,3088,10212,103067,23103,9899,136068
3GBRI,515756,19017,21445,40460,556220,324913,55886,937019,19751,41459,2073,3222,66498,3657,5168,8824,75326,50273,6671,132271,62769,32861,2728,3278,101634,4555,2874,7431,109065,23207,9268,141542,71345,19535,3283,2325,96486,3055,1537,4594,101078,19252,7925,128250,73949,23334,4362,2340,103979,2595,1470,4067,108049,22952,7346,138350,73531,27424,3720,2579,107251,2319,1604,3928,111180,23074,7037,141292,73957,27346,2919,2520,106736,2166,1433,3603,110343,19775,6878,136991,72635,24722,2927,2453,102744,1902,1025,2927,105673,18872,6219,130760,63804,21180,3175,1815,89975,1658,804,2467,92442,21356,5757,119558,47967,19146,2953,1408,71473,1285,766,2049,73519,33385,5576,112481,22295,11701,1688,800,36486,787,492,1279,37761,41417,4416,83595,5245,4918,478,340,10972,70,125,194,11174,46336,3902,61408,1140,1728,182,129,3181,28,49,80,3263,40139,3804,47199,798,1088,170,224,2282,23,26,46,2334,83522,14624,100472,589178,256446,30660,23420,899710,24114,17371,41489,941195,443560,89411,1474171,15552,43013,2261,2221,63049,5504,8116,13623,76671,60592,6071,143337,61781,39177,3634,2916,107509,7192,4575,11764,119273,28921,8410,156611
39799,33,0,0,0,35,32,9,81,3,0,0,0,4,0,0,0,4,0,0,3,13,0,0,0,12,0,0,0,12,0,0,12,6,0,0,0,6,0,0,0,6,0,0,6,4,0,0,0,8,0,0,0,8,0,0,8,7,0,0,0,7,0,0,0,7,0,0,12,9,0,0,0,10,0,0,0,10,0,0,10,10,0,0,0,10,0,0,3,8,0,0,7,9,0,0,0,9,0,0,0,9,0,0,9,10,0,0,0,10,0,0,0,9,0,3,14,3,0,0,0,3,0,0,0,3,0,3,9,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,72,3,3,0,81,0,0,4,82,4,8,99,4,3,0,0,7,0,3,3,13,10,3,18,28,11,0,3,35,0,0,0,41,8,6,56
39499,1336,270,106,375,1712,2514,959,5179,84,85,6,22,198,49,31,82,273,196,68,535,445,173,26,28,670,130,33,162,838,307,152,1295,403,134,41,16,596,93,23,120,720,313,171,1206,368,106,34,19,518,74,21,94,609,265,130,1008,268,89,30,19,407,66,22,90,493,275,130,902,252,75,30,9,376,59,17,76,450,241,114,803,254,102,25,6,387,56,18,69,458,273,131,855,247,95,27,12,376,54,25,80,452,458,148,1061,220,106,29,3,360,43,27,75,437,832,134,1405,82,47,19,9,152,23,18,36,189,795,94,1072,10,17,3,0,31,3,6,4,36,699,81,811,0,8,0,3,8,0,0,3,12,307,33,347,11,4,0,3,18,0,0,0,17,206,59,279,2647,1032,278,142,4097,648,237,890,4988,5165,1429,11582,62,64,5,3,134,67,32,94,224,182,111,520,318,145,29,14,506,110,41,147,645,281,192,1119
2RVIC,296681,7970,9769,17739,314414,244136,44427,602974,11786,24754,1534,1916,39992,2981,3066,6052,46036,40591,3353,89982,31609,14068,1619,1567,48864,3817,1399,5215,54077,11763,3156,68994,32290,10069,1848,1168,45376,2350,871,3220,48602,11496,2545,62641,34032,14651,2424,1369,52483,2152,966,3119,55597,15045,2926,73566,38321,19561,2361,1614,61854,2045,1163,3210,65067,15819,3314,84193,44008,21929,2362,1774,70075,2199,1107,3305,73376,14339,3596,91315,48904,21196,2515,1716,74329,2092,936,3032,77358,13780,3541,94678,44422,18478,2996,1466,67366,1849,771,2623,69985,16782,3455,90223,31930,16670,2846,1111,52557,1518,796,2314,54869,28066,3651,86589,15130,10499,1828,771,28230,843,547,1383,29614,36651,3220,69480,5038,4643,752,412,10851,54,93,144,10995,43733,3595,58318,1865,1971,340,236,4416,21,25,45,4458,40237,4085,48776,1516,1375,358,398,3648,44,34,77,3719,83421,13977,101119,340851,179867,23776,15534,560033,21958,11772,33730,593766,371720,54399,1019881,10676,26024,1712,1525,39933,2640,3726,6361,46296,41890,3562,91749,31679,16850,1924,1467,51920,3570,1627,5194,57115,13816,3288,74215
2GMEL,998542,30861,43544,74403,1072952,702548,110852,1886350,20951,63597,3321,5123,92992,5434,10148,15585,108572,123623,12603,244793,100523,67657,5016,7265,180465,9871,7737,17605,198072,52589,18176,268828,147614,36338,6180,4986,195116,7897,3353,11258,206367,36539,17380,260290,149312,43861,8644,4825,206634,6721,3067,9792,216430,46758,16492,279678,144231,56121,7816,5226,213387,6107,3304,9411,222800,51434,16002,290240,140198,57039,5795,5262,208299,5670,3212,8874,217173,43029,14340,274544,138835,52600,5449,5135,202014,5218,2475,7690,209706,38529,13217,261448,119497,42751,5689,4142,172077,4585,1892,6476,178553,42099,11857,232503,86627,38364,5175,3086,133249,3559,1829,5389,138633,63976,11358,213967,40517,25328,3323,1669,70843,1818,1182,3003,73840,80306,9736,163885,10615,11311,1251,690,23866,173,274,448,24319,96297,9260,129870,2361,4307,473,331,7477,54,98,157,7630,91140,9534,108304,1716,2809,452,497,5474,87,102,185,5663,190310,32105,228082,1102998,502078,58572,48234,1711886,57190,38688,95876,1807760,956632,192054,2956448,17682,63388,3523,3525,88120,4981,13782,18766,106882,136041,10171,253091,102695,80910,6295,6407,196309,10867,10265,21131,217438,66147,16258,299849
29799,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,3,0,0,0,3,0,0,3,5,0,0,0,5,0,0,0,5,0,0,4,6,0,0,0,8,0,0,0,8,0,0,9,3,0,0,0,6,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,4,0,0,4,6,0,0,0,6,0,0,0,6,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,29,0,3,0,39,0,0,0,40,5,8,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29499,786,136,115,251,1038,1175,669,2883,66,43,3,9,119,40,30,71,192,178,36,402,249,126,20,19,424,80,36,121,536,270,74,882,345,130,30,15,518,73,11,80,602,203,84,894,282,102,34,20,436,63,20,82,519,191,86,800,182,74,14,14,290,55,16,69,362,177,65,604,137,45,11,10,206,31,10,46,255,151,37,445,109,44,13,3,169,25,4,32,201,118,46,369,75,30,7,8,125,20,7,28,157,109,23,289,75,26,3,3,112,12,6,17,128,158,36,323,36,16,4,6,62,6,0,6,70,146,22,231,3,3,3,0,16,0,0,0,17,116,26,155,0,4,0,3,4,0,0,0,4,75,12,96,3,0,3,0,7,0,0,0,7,122,45,175,1572,649,142,118,2488,414,140,550,3042,2016,597,5654,46,46,0,3,98,35,35,69,167,215,110,492,248,141,20,15,420,78,43,121,545,290,200,1037
1RNSW,532137,16317,18920,35237,567378,457951,80323,1105649,23446,42021,3033,3534,72034,7490,6278,13768,85806,73650,7483,166947,55201,28000,3042,2967,89219,8075,3317,11391,100610,25743,6807,133151,56356,20273,3474,2266,82377,5374,2011,7382,89760,23668,5719,119151,62500,28533,4455,2607,98087,4715,2310,7020,105112,28515,6311,139945,69519,35468,3973,3040,111998,4741,2716,7457,119452,29418,6867,155743,80080,39411,3831,3278,126607,4946,2567,7507,134114,29065,7484,170663,88169,38942,4306,3108,134530,4750,2211,6959,141492,30256,7673,179416,77802,33059,4503,2527,117889,4031,1762,5789,123685,36019,7006,166704,56477,27899,4396,2004,90780,3172,1677,4854,95628,58491,7026,161148,26201,17594,2416,1165,47380,1846,1228,3076,50453,78227,6324,135001,8550,7984,1001,617,18159,108,209,318,18475,88847,6681,114008,3115,3401,468,402,7389,44,66,111,7501,80862,7228,95587,2453,2407,471,604,5935,67,50,118,6047,161705,21620,189370,609874,324997,39376,28130,1002381,49346,26408,75755,1078130,744469,104232,1926832,21070,44475,3377,2591,71516,6049,7379,13431,84948,74696,7229,166873,56530,31041,3630,2669,93866,7430,3736,11163,105035,28956,7123,141115
