GCCSA_CODE_2016,C06_PI_S_R225_274,C06_PI_S_R275_349,C06_PI_S_R350_449,C06_PI_S_R450_549,C06_PI_S_R550_649,C06_PI_S_R650m,C06_PI_S_R_NS,C06_PI_S_R_Tot,C06_AI_NS_R0_74,C06_AI_NS_R75_99,C06_AI_NS_R100_149,C06_AI_NS_R150_199,C06_AI_NS_R200_224,C06_AI_NS_R225_274,C06_AI_NS_R275_349,C06_AI_NS_R350_449,C06_AI_NS_R450_549,C06_AI_NS_R550_649,C06_AI_NS_R650m,C06_AI_NS_R_NS,C06_AI_NS_R_Tot,C06_Tot_R0_74,C06_Tot_R75_99,C06_Tot_R100_149,C06_Tot_R150_199,C06_Tot_R200_224,C06_Tot_R225_274,C06_Tot_R275_349,C06_Tot_R350_449,C06_Tot_R450_549,C06_Tot_R550_649,C06_Tot_R650m,C06_Tot_R_NS,C06_Tot_R_Tot,C11_N_inc_R0_74,C11_N_inc_R75_99,C11_Ne_Ni_inc_R100_149,C11_Ne_Ni_inc_R150_199,C11_Ne_Ni_inc_R200_224,C11_Ne_Ni_inc_R225_274,C11_Ne_Ni_inc_R275_349,C11_Ne_Ni_inc_R350_449,C11_Ne_Ni_inc_R450_549,C11_Ne_Ni_inc_R550_649,C11_Ne_Ni_inc_R650m,C11_Ne_Ni_inc_R_NS,C11_N_inc_R_Tot,C11_1_149_R0_74,C11_1_149_R75_99,C11_1_149_R100_149,C11_1_149_R150_199,C11_1_149_R200_224,C11_1_149_R225_274,C11_1_149_R275_349,C11_1_149_R350_449,C11_1_149_R450_549,C11_1_149_R550_649,C11_1_149_R650m,C11_1_149_R_NS,C11_1_149_R_Tot,C11_150_299_R0_74,C11_150_299_R75_99,C11_150_299_R100_149,C11_150_299_R150_199,C11_150_299_R200_224,C11_150_299_R225_274,C11_150_299_R275_349,C11_150_299_R350_449,C11_150_299_R450_549,C11_150_299_R550_649,C11_150_299_R650m,C11_150_299_R_NS,C11_150_299_R_Tot,C11_300_399_R0_74,C11_300_399_R75_99,C11_300_399_R100_149,C11_300_399_R150_199,C11_300_399_R200_224,C11_300_399_R225_274,C11_300_399_R275_349,C11_300_399_R350_449,C11_300_399_R450_549,C11_300_399_R550_649,C11_300_399_R650m,C11_300_399_R_NS,C11_300_399_R_Tot,C11_400_499_R0_74,C11_400_499_R75_99,C11_400_499_R100_149,C11_400_499_R150_199,C11_400_499_R200_224,C11_400_499_R225_274,C11_400_499_R275_349,C11_400_499_R350_449,C11_400_499_R450_549,C11_400_499_R550_649,C11_400_499_R650m,C11_400_499_R_NS,C11_400_499_R_Tot,C11_500_649_R0_74,C11_500_649_R75_99,C11_500_649_R100_149,C11_500_649_R150_199,C11_500_649_R200_224,C11_500_649_R225_274,C11_500_649_R275_349,C11_500_649_R350_449,C11_500_649_R450_549,C11_500_649_R550_649,C11_500_649_R650m,C11_500_649_R_NS,C11_500_649_R_Tot,C11_650_799_R0_74,C11_650_799_R75_99,C11_650_799_R100_149,C11_650_799_R150_199,C11_650_799_R200_224,C11_650_799_R225_274,C11_650_799_R275_349,C11_650_799_R350_449,C11_650_799_R450_549,C11_650_799_R550_649,C11_650_799_R650m,C11_650_799_R_NS,C11_650_799_R_Tot,C11_800_999_R0_74,C11_800_999_R75_99,C11_800_999_R100_149,C11_800_999_R150_199,C11_800_999_R200_224,C11_800_999_R225_274,C11_800_999_R275_349,C11_800_999_R350_449,C11_800_999_R450_549,C11_800_999_R550_649,C11_800_999_R650m,C11_800_999_R_NS,C11_800_999_R_Tot,C11_1000_1249_R0_74,C11_1000_1249_R75_99,C11_1000_1249_R100_149,C11_1000_1249_R150_199,C11_1000_1249_R200_224,C11_1000_1249_R225_274,C11_1000_1249_R275_349,C11_1000_1249_R350_449,C11_1000_1249_R450_549,C11_1000_1249_R550_649,C11_1000_1249_R650m,C11_1000_1249_R_NS,C11_1000_1249_R_Tot,C11_1250_1499_R0_74,C11_1250_1499_R75_99,C11_1250_1499_R100_149,C11_1250_1499_R150_199,C11_1250_1499_R200_224,C11_1250_1499_R225_274,C11_1250_1499_R275_349,C11_1250_1499_R350_449,C11_1250_1499_R450_549,C11_1250_1499_R550_649,C11_1250_1499_R650m,C11_1250_1499_R_NS,C11_1250_1499_R_Tot,C11_1500_1999_R0_74,C11_1500_1999_R75_99,C11_1500_1999_R100_149,C11_1500_1999_R150_199,C11_1500_1999_R200_224,C11_1500_1999_R225_274,C11_1500_1999_R275_349,C11_1500_1999_R350_449,C11_1500_1999_R450_549,C11_1500_1999_R550_649,C11_1500_1999_R650m,C11_1500_1999_R_NS,C11_1500_1999_R_Tot,C11_2000_2499_R0_74,C11_2000_2499_R75_99,C11_2000_2499_R100_149,C11_2000_2499_R150_199,C11_2000_2499_R200_224,C11_2000_2499_R225_274,C11_2000_2499_R275_349,C11_2000_2499_R350_449,C11_2000_2499_R450_549,C11_2000_2499_R550_649,C11_2000_2499_R650m,C11_2000_2499_R_NS,C11_2000_2499_R_Tot,C11_2500_2999_R0_74,C11_2500_2999_R75_99,C11_2500_2999_R100_149,C11_2500_2999_R150_199,C11_2500_2999_R200_224,C11_2500_2999_R225_274,C11_2500_2999_R275_349,C11_2500_2999_R350_449,C11_2500_2999_R450_549,C11_2500_2999_R550_649
6RTAS,96,38,22,4,0,12,60,1517,199,67,188,114,17,10,3,3,8,0,17,172,806,5620,2513,7818,5993,1537,995,382,115,43,28,197,926,26155,45,36,47,53,36,49,24,6,0,0,6,32,336,128,79,86,84,29,32,21,8,0,0,6,25,505,393,514,455,485,175,145,51,10,0,0,12,93,2340,503,1095,767,690,259,202,78,16,5,0,16,102,3734,252,202,756,938,492,481,188,17,3,9,15,73,3413,172,94,473,534,273,264,110,19,5,0,7,51,1990,286,147,467,946,525,648,296,45,12,6,18,92,3473,210,60,355,721,438,641,303,49,4,0,11,55,2848,192,29,221,493,395,637,335,68,10,3,6,57,2443,182,23,113,292,246,417,285,56,14,0,9,53,1694,251,22,113,264,236,407,393,111,15,0,8,60,1877,104,9,61,103,76,187,200,49,10,3,9,36,839,118,10,39,50,40,94,124,70,22,6
6GHOB,205,164,73,14,3,11,54,1275,133,54,145,81,29,29,17,3,10,3,22,112,629,3123,1361,4554,4459,1859,2256,1204,456,163,44,151,623,20262,25,11,36,30,25,44,52,40,8,10,9,29,305,97,73,46,50,24,42,34,18,4,0,5,21,411,224,442,278,249,107,136,84,36,10,7,6,59,1650,221,896,411,351,166,221,149,46,9,0,11,74,2554,88,143,441,485,283,446,353,64,14,0,6,61,2380,50,50,265,257,105,249,202,55,12,3,7,27,1289,89,115,268,425,300,553,512,136,22,9,17,56,2495,87,35,155,303,265,547,542,173,21,9,13,38,2183,62,11,98,229,204,551,628,236,34,3,15,53,2126,47,12,38,141,136,300,564,257,34,8,10,24,1560,69,6,57,104,132,345,597,409,72,16,20,24,1832,39,8,18,49,43,143,308,301,70,14,14,12,1012,30,4,17,23,20,49,137,191,90,37
69799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5RWAU,373,241,131,56,31,50,276,4304,411,152,307,184,74,49,32,16,6,16,77,381,1692,14185,4330,10653,8978,3394,3383,1802,948,465,260,834,2979,52214,140,27,76,72,48,62,63,38,19,3,22,118,692,160,100,94,66,35,45,37,21,5,0,6,55,614,631,461,484,305,129,198,119,49,11,4,20,146,2551,966,855,761,494,216,280,203,52,17,6,33,181,4053,483,294,736,678,404,572,469,109,14,13,24,161,3953,504,153,586,345,145,202,169,52,13,3,20,103,2303,765,204,623,735,468,683,669,200,34,9,53,203,4662,740,147,511,587,418,711,697,235,44,17,71,271,4448,872,139,508,561,453,716,873,319,80,21,79,280,4910,768,142,485,512,328,572,841,412,95,26,117,222,4519,1212,210,606,666,422,765,1224,764,146,89,214,411,6717,675,97,360,333,220,338,636,499,138,56,164,201,3724,1809,131,493,411,190,388,602,663,239,127
5GPER,2145,1376,573,173,87,209,446,11438,662,249,631,808,291,337,237,149,67,44,139,802,4418,14840,5952,21884,39583,18238,20042,11250,4403,1526,683,1789,4404,144589,271,96,151,181,134,245,609,698,301,110,153,287,3233,412,256,204,168,81,156,309,294,88,32,36,151,2177,1371,1578,1047,624,381,616,836,559,126,39,74,380,7634,1976,2911,1528,999,573,833,1179,658,133,36,101,469,11415,619,683,1457,1219,890,1702,2674,1479,245,57,97,358,11480,313,160,1289,687,354,563,1046,641,133,36,51,188,5472,624,338,893,1237,966,1988,3861,2402,400,113,125,365,13320,558,146,643,933,878,2035,4331,3104,585,151,146,312,13840,468,88,391,726,828,1979,4757,4179,775,200,195,284,14870,399,50,268,469,559,1372,4202,4269,873,223,196,275,13143,607,46,240,468,670,1628,5430,7153,1824,473,474,339,19366,359,18,134,248,359,838,3134,5260,1493,386,300,197,12727,425,38,108,193,246,609,2119,4502,2507,1105
59799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4RSAU,98,34,22,6,0,18,147,2104,313,129,268,101,25,11,7,3,3,6,39,285,1184,9384,3693,11496,6830,1357,835,408,255,96,68,429,1895,36740,94,33,70,70,33,31,25,3,0,3,12,74,444,210,129,151,105,39,23,13,7,3,3,9,57,746,701,599,739,521,155,108,34,9,3,6,26,183,3084,977,1424,1075,815,232,176,57,27,0,3,27,209,5019,417,277,1059,1226,480,418,108,28,12,4,16,134,4173,321,115,777,641,232,225,74,13,11,0,10,79,2498,554,249,850,1362,552,558,200,35,9,10,20,159,4564,477,117,637,1003,464,542,204,36,12,10,21,138,3663,440,110,503,932,462,571,250,45,19,9,25,143,3508,337,86,345,556,315,433,277,50,19,10,28,130,2581,450,87,379,619,334,485,339,90,36,20,29,129,2995,235,46,197,253,143,208,208,74,17,7,15,53,1465,243,44,172,198,85,143,193,118,41,18
4GADE,1167,715,300,86,35,73,318,7237,766,258,557,512,197,225,114,60,31,18,120,756,3611,18519,6951,20590,30609,13853,13431,6460,2389,715,332,1256,4334,119440,226,109,169,239,181,403,520,407,158,51,63,268,2791,552,426,312,242,118,251,216,145,25,20,19,194,2521,1745,2393,1323,944,517,788,638,207,58,30,56,503,9205,2267,5093,1986,1267,713,1079,837,234,39,25,85,619,14252,583,805,1975,1918,1405,2461,2065,392,78,28,75,394,12179,292,326,1977,966,549,1059,918,266,49,10,33,229,6672,559,529,1273,2197,1758,3464,3181,805,134,45,77,379,14403,409,223,889,1541,1507,3411,3429,990,139,44,77,291,12956,356,145,478,1119,1286,3286,3957,1434,184,51,66,238,12595,204,42,261,602,873,2233,3299,1342,199,59,59,207,9384,285,50,234,559,761,2287,4329,2432,418,114,125,178,11783,178,21,99,249,383,1034,2407,1662,341,90,67,120,6659,172,26,70,111,159,475,1157,1397,530,214
