GCCSA_CODE_2016,C16_P_35_39_Tot_LF,C16_P_35_39_Notin_LF,C16_P_35_39_LF_NS,C16_P_35_39_Tot,C16_P_40_44_Em_FT,C16_P_40_44_Em_PT,C16_P_40_44_Em_AFW,C16_P_40_44_Em_Hrs_NS,C16_P_40_44_Em_Tot,C16_P_40_44_Unem_Look_FT,C16_P_40_44_Unem_Look_PT,C16_P_40_44_Unem_Tot,C16_P_40_44_Tot_LF,C16_P_40_44_Notin_LF,C16_P_40_44_LF_NS,C16_P_40_44_Tot,C16_P_45_49_Em_FT,C16_P_45_49_Em_PT,C16_P_45_49_Em_AFW,C16_P_45_49_Em_Hrs_NS,C16_P_45_49_Em_Tot,C16_P_45_49_Unem_Look_FT,C16_P_45_49_Unem_Look_PT,C16_P_45_49_Unem_Tot,C16_P_45_49_Tot_LF,C16_P_45_49_Notin_LF,C16_P_45_49_LF_NS,C16_P_45_49_Tot,C16_P_50_54_Em_FT,C16_P_50_54_Em_PT,C16_P_50_54_Em_AFW,C16_P_50_54_Em_Hrs_NS,C16_P_50_54_Em_Tot,C16_P_50_54_Unem_Look_FT,C16_P_50_54_Unem_Look_PT,C16_P_50_54_Unem_Tot,C16_P_50_54_Tot_LF,C16_P_50_54_Notin_LF,C16_P_50_54_LF_NS,C16_P_50_54_Tot,C16_P_55_59_Em_FT,C16_P_55_59_Em_PT,C16_P_55_59_Em_AFW,C16_P_55_59_Em_Hrs_NS,C16_P_55_59_Em_Tot,C16_P_55_59_Unem_Look_FT,C16_P_55_59_Unem_Look_PT,C16_P_55_59_Unem_Tot,C16_P_55_59_Tot_LF,C16_P_55_59_Notin_LF,C16_P_55_59_LF_NS,C16_P_55_59_Tot,C16_P_60_64_Em_FT,C16_P_60_64_Em_PT,C16_P_60_64_Em_AFW,C16_P_60_64_Em_Hrs_NS,C16_P_60_64_Em_Tot,C16_P_60_64_Unem_Look_FT,C16_P_60_64_Unem_Look_PT,C16_P_60_64_Unem_Tot,C16_P_60_64_Tot_LF,C16_P_60_64_Notin_LF,C16_P_60_64_LF_NS,C16_P_60_64_Tot,C16_P_65_69_Em_FT,C16_P_65_69_Em_PT,C16_P_65_69_Em_AFW,C16_P_65_69_Em_Hrs_NS,C16_P_65_69_Em_Tot,C16_P_65_69_Unem_Look_FT,C16_P_65_69_Unem_Look_PT,C16_P_65_69_Unem_Tot,C16_P_65_69_Tot_LF,C16_P_65_69_Notin_LF,C16_P_65_69_LF_NS,C16_P_65_69_Tot,C16_P_70_74_Em_FT,C16_P_70_74_Em_PT,C16_P_70_74_Em_AFW,C16_P_70_74_Em_Hrs_NS,C16_P_70_74_Em_Tot,C16_P_70_74_Unem_Look_FT,C16_P_70_74_Unem_Look_PT,C16_P_70_74_Unem_Tot,C16_P_70_74_Tot_LF,C16_P_70_74_Notin_LF,C16_P_70_74_LF_NS,C16_P_70_74_Tot,C16_P_75over_Emp_Wor_ft,C16_P_75ov_Em_Work_pt,C16_P_75ov_Em_Aw_fr_w,C16_P_75ov_Emp_Hou_w_ns,C16_P_75andOver_Em_Tot,C16_P_75over_Unem_Lo_ft_w,C16_P_75over_Unem_Lo_pt_w,C16_P_75over_Unemp_Tot,C16_P_75over_Tot_lab_for,C16_P_75over_N_lab_forc,C16_P_75over_LF_NS,C16_P_75over_Tot,C16_P_Tot_Em_FT,C16_P_Tot_Em_PT,C16_P_Tot_Em_AFW,C16_P_Tot_Em_Hrs_NS,C16_P_Tot_Em_Tot,C16_P_Tot_Unem_Look_FT,C16_P_Tot_Unem_Look_PT,C16_P_Tot_Unem_Tot,C16_P_T_T_labo_for,C16_P_Tot_Notin_LF,C16_P_Tot_LF_NS,C16_P_T_T
5RWAU,25912,5441,3550,34902,17553,7505,1005,469,26535,1069,462,1534,28065,4812,3618,36491,18727,7384,1188,514,27811,1054,369,1427,29240,4870,3710,37816,18018,6880,1335,504,26738,1098,344,1449,28181,5486,3716,37385,15439,6813,1456,418,24118,919,404,1321,25441,7333,3574,36346,9393,5839,1163,301,16694,629,393,1017,17709,11027,2967,31706,3652,3354,531,182,7712,94,140,233,7952,17025,2565,27537,1152,1579,217,111,3062,23,47,74,3136,14111,1870,19120,664,937,123,162,1890,6,20,29,1912,23936,3899,29744,148695,69864,12047,4819,235431,10780,5256,16033,251465,124292,42445,418207
5GPER,107699,21547,8386,137621,67239,29438,2818,1473,100965,4867,2350,7213,108183,18916,7890,134986,69423,28553,2790,1476,102243,4958,1857,6815,109057,17446,7688,134195,63299,25551,2995,1225,93064,4464,1527,5993,99064,18270,7174,124498,50128,23411,3055,991,77583,3699,1460,5158,82742,23676,6607,113020,29903,20356,2537,665,53459,2625,1367,3994,57452,36526,5971,99944,10295,12091,1229,337,23958,406,560,967,24929,58364,5483,88770,2312,4891,403,190,7801,97,219,311,8115,50943,4545,63597,850,2385,202,199,3633,59,95,158,3793,99144,13724,116651,565148,306272,33645,15130,920196,48359,33126,81482,1001684,469289,102559,1573536
59799,51,0,10,60,48,4,3,0,49,0,0,0,49,7,5,65,39,7,0,0,40,0,0,0,40,0,10,60,30,0,3,0,38,0,0,0,38,0,9,44,23,0,3,0,23,0,0,0,23,0,5,27,11,0,0,0,11,0,0,0,11,3,0,15,3,0,0,0,3,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,3,0,0,0,3,0,0,7,301,23,16,4,334,0,0,0,341,20,76,434
59499,215,96,141,449,104,30,11,3,148,33,8,40,191,96,167,458,102,34,22,3,153,37,5,43,198,79,173,453,95,33,14,7,149,38,10,44,197,154,158,505,114,47,6,3,168,28,5,36,204,182,112,500,59,28,16,4,104,23,8,33,134,255,87,474,19,13,4,0,37,0,0,3,36,322,86,442,3,3,0,0,3,0,3,3,7,144,36,191,0,0,3,0,3,0,0,0,3,90,20,116,1143,431,140,60,1773,352,88,444,2215,1845,1490,5559
4RSAU,14794,3536,1228,19557,10230,5313,556,259,16360,685,281,967,17328,3584,1320,22227,11919,5936,582,290,18728,710,287,993,19720,4105,1611,25436,11868,6094,730,323,19009,762,312,1072,20084,5039,1778,26897,10861,6258,888,280,18291,681,312,997,19286,7115,1878,28286,7278,5169,819,218,13488,472,317,792,14278,11407,1822,27505,2684,2905,416,136,6148,42,80,117,6267,18697,1865,26827,926,1346,161,112,2539,9,27,36,2576,16750,1614,20935,596,825,117,188,1733,14,21,37,1765,29614,3612,34984,91144,57000,7038,3131,158308,7281,3847,11133,169447,120195,21588,311230
4GADE,65964,13282,3785,83037,41263,20266,1655,815,64004,2645,1222,3865,67875,12713,3634,84217,44025,20255,1648,876,66803,2690,1170,3857,70661,13364,3921,87943,41937,19024,1938,722,63628,2381,1050,3428,67052,15252,3829,86131,35311,17906,2085,583,55878,2099,946,3044,58928,20570,3907,83406,21013,14490,1625,466,37593,1241,901,2141,39730,31126,3465,74316,6815,8249,820,264,16145,138,254,386,16533,49237,3511,69278,1546,3279,250,147,5224,36,69,104,5326,43267,2943,51538,645,1518,147,200,2516,34,55,90,2611,91638,8418,102671,343558,213169,21442,8891,587060,27928,21122,49051,636107,380752,52911,1069769
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,3
49499,96,61,60,221,29,25,8,0,60,18,7,23,87,55,54,205,38,22,5,3,74,22,3,29,100,55,90,238,37,21,4,0,60,18,3,23,79,100,57,235,33,19,0,0,61,16,3,26,82,79,38,207,22,10,4,3,38,10,0,10,53,105,44,198,9,12,3,0,20,0,0,0,18,136,25,183,0,0,0,0,3,3,0,3,5,66,14,85,3,0,0,0,3,0,0,0,3,68,8,78,404,250,53,32,734,238,68,301,1038,1040,571,2648
3RQLD,113463,22463,11230,147156,79332,34717,3182,2133,119364,5111,2415,7525,126891,22626,12020,161537,83300,34174,3223,2033,122735,5266,2120,7384,130118,23556,12685,166356,78462,32874,3768,1791,116897,5418,1932,7345,124243,27693,12671,164603,65605,31050,4079,1563,102296,4783,2083,6866,109170,39027,12390,160585,39703,25270,3192,1207,69373,3481,2001,5485,74856,59153,11099,145106,14767,14440,1490,720,31416,440,677,1115,32529,94340,10932,137801,4632,6277,556,425,11892,108,256,366,12260,83456,8931,104645,2406,3141,331,620,6498,88,120,209,6709,142068,20276,169052,649705,351455,37980,20383,1059525,55616,33413,89036,1148556,644430,159270,1952257
3GBRI,125785,22965,8567,157315,86364,32510,2846,1820,123539,4495,2212,6705,130244,21846,8522,160613,85015,30586,2652,1729,119989,4322,1808,6129,126121,21255,8493,155861,75853,26532,2919,1397,106696,3930,1535,5464,112162,23193,7837,143199,59235,24114,3093,1121,87573,3364,1451,4818,92386,31018,7113,130519,34263,19446,2441,765,56920,2187,1375,3565,60483,47212,6575,114276,11443,11312,1100,404,24262,297,508,808,25066,71822,6233,103118,2750,4497,331,222,7796,79,176,257,8053,62030,5010,75090,984,2049,153,312,3501,63,64,133,3631,108066,14163,125854,681706,339295,34817,17962,1073778,49160,36480,85640,1159423,556409,110566,1826402
39799,7,0,0,6,3,0,0,0,7,0,0,0,9,0,0,12,7,0,0,0,6,0,0,0,6,0,0,6,0,3,3,0,3,0,0,0,4,7,0,14,9,3,0,0,9,0,0,0,10,4,3,19,3,3,0,0,5,0,0,0,5,5,0,12,0,0,0,0,0,0,0,0,0,15,4,19,0,0,0,0,0,0,0,0,0,13,0,16,0,0,0,0,0,0,0,0,0,14,0,18,32,16,9,0,60,0,0,4,68,57,22,144
39499,334,212,200,738,150,58,19,13,238,72,21,90,330,175,238,742,143,62,12,14,238,70,15,86,324,235,192,752,156,79,29,10,272,70,11,82,356,334,227,914,127,78,29,6,243,64,24,79,326,547,205,1080,85,69,25,9,188,56,15,72,259,815,225,1294,25,32,6,6,67,3,12,16,83,1005,169,1253,0,3,0,0,13,0,3,5,12,547,103,661,5,0,0,3,6,0,0,0,8,329,81,418,1749,978,195,158,3087,757,228,986,4074,5145,2472,11693
2RVIC,59888,13301,4825,78014,40549,21539,1993,1117,65206,2058,1202,3261,68465,13509,5544,87518,44557,22317,2079,1147,70091,2163,1047,3209,73299,14364,6273,93933,45104,22458,2787,1171,71524,2136,996,3126,74651,16950,6588,98187,40052,23005,3318,1117,67482,1995,1078,3080,70565,23936,6862,101361,24891,19928,2977,907,48702,1486,1154,2644,51349,39881,7133,98363,9101,10900,1543,512,22063,133,313,444,22501,64236,7352,94086,2931,4404,539,381,8250,27,117,145,8392,56133,6220,70745,2018,2747,381,554,5701,50,53,98,5801,106594,15236,127635,353709,225059,27008,12812,618583,23008,16214,39226,657811,428695,86838,1173346
2GMEL,257225,50078,18017,325319,160936,68173,5426,3769,238303,7833,4672,12501,250802,46470,16492,313768,159445,66126,4690,3802,234056,7452,4038,11497,245552,46242,15789,307580,141544,57087,4883,3335,206846,6786,3324,10110,216954,47952,14830,279728,111964,51920,5185,2599,171665,5513,3134,8650,180316,61793,13710,255824,64065,42797,4445,1783,113097,3629,2735,6368,119469,89328,12285,221078,22563,25495,2261,962,51283,563,973,1533,52819,132204,11983,197002,5769,10582,856,522,17734,119,368,491,18218,119145,9918,147281,2319,5173,480,660,8630,82,180,266,8895,248821,27485,285205,1315635,695178,64518,40164,2115493,79707,73917,153625,2269119,1179140,217251,3665515
29799,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,0,0,0,6,0,0,6,5,0,0,0,5,0,0,0,5,0,0,3,3,0,0,0,4,0,0,0,4,0,0,5,0,0,0,0,4,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,23,0,0,0,23,4,3,25
29499,281,170,245,693,102,48,14,8,167,36,18,55,225,144,231,601,86,53,16,8,160,38,14,51,214,139,172,524,84,33,4,7,136,33,6,40,174,127,150,451,66,44,12,0,130,13,7,21,149,162,113,425,36,43,10,0,88,15,9,28,113,181,95,390,6,16,3,0,31,5,0,4,37,225,53,311,10,0,0,0,7,3,3,5,17,127,27,174,0,3,3,0,7,0,0,0,7,125,30,161,1194,641,111,84,2033,410,204,613,2647,2291,1886,6825
1RNSW,110913,23605,8778,143294,78030,37115,3139,1971,120253,4163,2170,6333,126583,24927,10116,161625,82921,37189,3319,2057,125483,4318,2017,6333,131815,26926,11035,169780,82680,38305,4030,2000,127019,4188,2020,6215,133227,33617,11921,178773,72907,38866,5025,1801,118599,3772,2249,6020,124625,49996,12668,187279,42457,31817,4035,1379,79679,2680,2149,4830,84510,79815,12355,176678,15566,17373,1941,869,35752,273,595,864,36617,120803,12670,170095,5130,7562,742,581,14017,76,211,287,14307,107769,11067,133140,3287,4358,524,981,9152,91,116,206,9361,200909,29860,240132,652283,387471,42391,22017,1104163,46140,32276,78414,1182580,817222,158473,2158275
1GSYD,280540,54195,20726,355460,184171,65965,5363,4180,259677,7344,4662,12003,271686,50610,18281,340580,173087,61341,4304,4101,242833,7342,4144,11484,254323,50331,17108,321762,159098,56399,4811,3778,224087,6923,3780,10699,234792,54924,16105,305817,127463,51495,5166,2896,187020,5737,3780,9518,196532,69955,15067,281558,72516,43100,4171,2008,121801,3922,3254,7181,128980,100210,13265,242452,27207,26881,2303,1033,57429,635,1054,1687,59115,141828,12585,213531,7113,11922,839,496,20366,149,402,549,20916,127596,10449,158961,2624,6023,477,598,9722,125,216,345,10064,261288,28723,300075,1480218,682605,65069,44829,2272718,77147,69039,146187,2418899,1266780,238019,3923700
19799,9,0,0,9,3,4,11,0,16,0,0,0,16,3,0,21,3,3,9,0,10,0,0,0,10,4,0,16,11,3,11,0,24,0,0,0,24,7,8,35,3,0,3,3,14,0,0,0,14,13,5,35,3,9,0,0,10,0,0,0,15,21,7,42,0,3,4,0,6,0,0,0,6,40,11,63,0,0,0,0,3,0,0,0,3,32,6,46,0,0,0,0,0,0,0,0,3,36,13,55,48,25,43,4,130,3,3,4,130,185,63,374
19499,433,231,300,955,188,87,15,18,302,56,10,67,366,212,362,940,154,80,6,11,250,64,14,85,333,254,295,881,138,93,16,10,253,52,8,64,316,287,312,919,124,77,19,8,228,47,17,66,290,326,232,850,69,61,13,3,151,34,14,51,196,457,212,866,29,32,8,0,70,7,5,9,80,536,165,779,8,10,0,0,18,3,0,4,17,322,77,413,7,3,0,3,8,0,3,3,13,255,95,361,1977,1047,148,158,3331,699,245,941,4272,4062,3220,11545
