GCCSA_CODE_2016,C06_SH_FH_CF_no_ch,C06_SH_FH_CF_w_ch,C06_SH_FH_One_PFam,C06_SH_FH_oth_fa,C06_SH_FH_Tot,C06_SH_LP_H,C06_SH_GH,C06_SH_OH,C06_SH_Tot,C06_SDRTHT1S_FH_CF_no_ch,C06_SDRTHT1S_FH_CF_w_ch,C06_SDRTHT1S_FH_One_PFam,C06_SDRTHT1S_FH_oth_fa,C06_SDRTHT1S_FH_Tot,C06_SDRTHT1S_LP_H,C06_SDRTHT1S_GH,C06_SDRTHT1S_OH,C06_SDRTHT1S_Tot,C06_SDRTHT2S_FH_CF_no_ch,C06_SDRTHT2S_FH_CF_w_ch,C06_SDRTHT2S_FH_One_PFam,C06_SDRTHT2S_FH_oth_fa,C06_SDRTHT2S_FH_Tot,C06_SDRTHT2S_LP_H,C06_SDRTHT2S_GH,C06_SDRTHT2S_OH,C06_SDRTHT2S_Tot,C06_SDRTHT_FH_CF_no_ch,C06_SDRTHT_FH_CF_w_ch,C06_SDRTHT_FH_One_PFam,C06_SDRTHT_FH_oth_fa,C06_SDRTHT_FH_Tot,C06_SDRTHT_LP_H,C06_SDRTHT_GH,C06_SDRTHT_OH,C06_SDRTHT_Tot,C06_F_u_a_1_2_FH_CF_no_ch,C06_F_u_a_1_2_FH_CF_w_ch,C06_F_u_a_1_2_FH_One_PFam,C06_F_u_a_1_2_FH_oth_fa,C06_F_u_a_1_2_FH_Tot,C06_F_u_a_1_2_LP_H,C06_F_u_a_1_2_GH,C06_F_u_a_1_2_OH,C06_F_u_a_1_2_Tot,C06_F_u_a_3_FH_CF_no_ch,C06_F_u_a_3_FH_CF_w_ch,C06_F_u_a_3_FH_One_PFam,C06_F_u_a_3_FH_oth_fa,C06_F_u_a_3_FH_Tot,C06_F_u_a_3_LP_H,C06_F_u_a_3_GH,C06_F_u_a_3_OH,C06_F_u_a_3_Tot,C06_F_u_a_4m_FH_CF_no_ch,C06_F_u_a_4m_FH_CF_w_ch,C06_F_u_a_4m_FH_One_PFam,C06_F_u_a_4m_FH_oth_fa,C06_F_u_a_4m_FH_Tot,C06_F_u_a_4m_LP_H,C06_F_u_a_4m_GH,C06_F_u_a_4m_OH,C06_F_u_a_4m_Tot,C06_F_u_a_a_h_FH_CF_no_ch,C06_F_u_a_a_h_FH_CF_w_ch,C06_F_u_a_a_h_FH_One_PFam,C06_F_u_a_a_h_FH_oth_fa,C06_F_u_a_a_h_FH_Tot,C06_F_u_a_a_h_LP_H,C06_F_u_a_a_h_GH,C06_F_u_a_a_h_OH,C06_F_u_a_a_h_Tot,C06_F_u_a_T_FH_CF_no_ch,C06_F_u_a_T_FH_CF_w_ch,C06_F_u_a_T_FH_One_PFam,C06_F_u_a_T_FH_oth_fa,C06_F_u_a_T_FH_Tot,C06_F_u_a_T_LP_H,C06_F_u_a_T_GH,C06_F_u_a_T_OH,C06_F_u_a_T_Tot,C06_OD_C_c_hb_FH_CF_no_ch,C06_OD_C_c_hb_FH_CF_w_ch,C06_OD_C_c_hb_FH_One_PFam,C06_OD_C_c_hb_FH_oth_fa,C06_OD_C_c_hb_FH_Tot,C06_OD_C_c_hb_LP_H,C06_OD_C_c_hb_GH,C06_OD_C_c_hb_OH,C06_OD_C_c_hb_Tot,C06_OD_Ih_t_s_FH_CF_no_ch,C06_OD_Ih_t_s_FH_CF_w_ch,C06_OD_Ih_t_s_FH_One_PFam,C06_OD_Ih_t_s_FH_oth_fa,C06_OD_Ih_t_s_FH_Tot,C06_OD_Ih_t_s_LP_H,C06_OD_Ih_t_s_GH,C06_OD_Ih_t_s_OH,C06_OD_Ih_t_s_Tot,C06_OD_H_f_so_FH_CF_no_ch,C06_OD_H_f_so_FH_CF_w_ch,C06_OD_H_f_so_FH_One_PFam,C06_OD_H_f_so_FH_oth_fa,C06_OD_H_f_so_FH_Tot,C06_OD_H_f_so_LP_H,C06_OD_H_f_so_GH,C06_OD_H_f_so_OH,C06_OD_H_f_so_Tot,C06_OD_T_FH_CF_no_ch,C06_OD_T_FH_CF_w_ch,C06_OD_T_FH_One_PFam,C06_OD_T_FH_oth_fa,C06_OD_T_FH_Tot,C06_OD_Tot_LP_H,C06_OD_Tot_GH,C06_OD_Tot_OH,C06_OD_T_T,C06_DS_ns_FH_CF_no_ch,C06_DS_ns_FH_CF_w_ch,C06_DS_ns_FH_One_PFam,C06_DS_ns_FH_oth_fa,C06_DS_ns_FH_Tot,C06_DS_ns_LP_H,C06_DS_ns_GH,C06_DS_ns_OH,C06_DS_NS_T,C06_T_FH_CF_no_ch,C06_T_FH_CF_w_ch,C06_T_FH_One_PFam,C06_T_FH_oth_fa,C06_T_FH_Tot,C06_Tot_LP_H,C06_Tot_GH,C06_Tot_OH,C06_T_T,C11_SH_FH_CF_no_ch,C11_SH_FH_CF_w_ch,C11_SH_FH_One_PFam,C11_SH_FH_oth_fa,C11_SH_FH_Tot,C11_SH_LP_H,C11_SH_GH,C11_SH_OH,C11_SH_Tot,C11_Sd_r_t_1_FH_CF_no_ch,C11_Sd_r_t_1_FH_CF_w_ch,C11_Sd_r_t_1_FH_One_PFam,C11_Sd_r_t_1_FH_oth_fa,C11_Sd_r_t_1_FH_Tot,C11_Sd_r_t_1_LP_H,C11_Sd_r_t_1_GH,C11_Sd_r_t_1_OH,C11_Sd_r_t_1_Tot,C11_Sd_r_t_2m_FH_CF_no_ch,C11_Sd_r_t_2m_FH_CF_w_ch,C11_Sd_r_t_2m_FH_One_PFam,C11_Sd_r_t_2m_FH_oth_fa,C11_Sd_r_t_2m_FH_Tot,C11_Sd_r_t_2m_LP_H,C11_Sd_r_t_2m_GH,C11_Sd_r_t_2m_OH,C11_Sd_r_t_2m_Tot,C11_Sd_r_t_T_FH_CF_no_ch,C11_Sd_r_t_T_FH_CF_w_ch,C11_Sd_r_t_T_FH_One_PFam,C11_Sd_r_t_T_FH_oth_fa,C11_Sd_r_t_T_FH_Tot,C11_Sd_r_t_T_LP_H,C11_Sd_r_t_T_GH,C11_Sd_r_t_T_OH,C11_Sd_r_t_T_Tot,C11_F_u_a_1_2_FH_CF_no_ch,C11_F_u_a_1_2_FH_CF_w_ch,C11_F_u_a_1_2_FH_One_PFam,C11_F_u_a_1_2_FH_oth_fa,C11_F_u_a_1_2_FH_Tot,C11_F_u_a_1_2_LP_H,C11_F_u_a_1_2_GH,C11_F_u_a_1_2_OH,C11_F_u_a_1_2_Tot,C11_F_u_a_3_FH_CF_no_ch,C11_F_u_a_3_FH_CF_w_ch,C11_F_u_a_3_FH_One_PFam,C11_F_u_a_3_FH_oth_fa,C11_F_u_a_3_FH_Tot,C11_F_u_a_3_LP_H,C11_F_u_a_3_GH,C11_F_u_a_3_OH,C11_F_u_a_3_Tot,C11_F_u_a_4m_FH_CF_no_ch,C11_F_u_a_4m_FH_CF_w_ch,C11_F_u_a_4m_FH_One_PFam,C11_F_u_a_4m_FH_oth_fa,C11_F_u_a_4m_FH_Tot,C11_F_u_a_4m_LP_H,C11_F_u_a_4m_GH,C11_F_u_a_4m_OH,C11_F_u_a_4m_Tot,C11_F_u_a_a_h_FH_CF_no_ch,C11_F_u_a_a_h_FH_CF_w_ch
6RTAS,29439,29981,10555,763,70734,20779,2312,3118,96942,473,148,239,19,883,1547,98,127,2647,49,36,36,0,126,103,34,27,293,526,186,272,24,1008,1649,131,158,2944,1108,273,551,87,2030,4541,273,380,7219,27,11,10,3,47,132,19,14,211,14,3,4,0,21,55,4,6,89,31,18,15,3,62,115,18,26,224,1177,301,578,95,2154,4840,311,430,7738,169,66,32,0,268,335,17,227,844,25,29,11,0,65,50,0,29,138,109,78,27,6,218,117,23,37,398,296,180,67,8,553,505,40,290,1382,3,0,0,0,3,5,0,0,10,31444,30648,11476,885,74455,27780,2801,3989,109021,31417,29354,11014,785,72571,23387,2613,3196,101771,787,279,445,49,1562,2835,143,211,4747,106,62,70,6,245,199,42,37,520,897,340,518,54,1807,3030,185,249,5272,889,232,452,45,1620,3630,198,321,5768,25,15,3,3,40,85,3,17,149,26,3,11,0,42,61,13,23,133,27,7
6GHOB,17543,21537,8378,660,48121,13806,2031,2142,66096,571,254,338,45,1209,1734,184,162,3285,353,149,148,33,683,571,213,158,1625,923,405,488,70,1894,2303,392,322,4913,1077,310,584,94,2063,3955,378,387,6782,110,15,46,13,179,419,69,76,737,112,32,21,7,172,312,63,152,702,46,28,29,4,109,187,26,33,347,1349,382,677,115,2520,4874,533,639,8568,28,21,8,0,67,61,5,47,175,14,12,3,0,24,33,0,6,59,39,51,16,6,109,66,11,22,214,84,87,33,3,203,163,13,74,455,3,3,3,0,10,0,0,3,18,19904,22415,9577,858,52751,21143,2970,3177,80048,19332,21778,8720,643,50477,15339,2120,1984,69920,715,294,424,31,1464,2016,193,171,3844,396,198,166,29,789,639,209,106,1744,1116,490,588,55,2253,2653,406,277,5584,1213,477,746,86,2525,4130,428,443,7526,180,38,24,16,255,485,98,108,950,126,30,22,11,194,282,45,62,586,39,20
69799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5RWAU,40103,46607,13019,1149,100877,25565,3393,9799,139627,1848,1115,872,87,3925,3864,366,1187,9333,236,133,67,10,443,286,56,185,970,2085,1243,938,97,4370,4144,423,1374,10304,1058,428,517,66,2063,3318,246,1005,6635,51,21,20,4,96,165,23,60,339,42,12,4,0,60,65,7,64,192,10,3,3,0,25,33,0,11,76,1164,463,546,71,2240,3581,276,1140,7240,1197,310,153,21,1677,1844,102,8298,11918,155,107,39,7,306,350,27,801,1484,163,146,41,6,352,148,17,123,636,1512,557,232,24,2327,2338,150,9225,14041,29,25,3,0,58,49,6,53,166,44887,48891,14747,1345,109871,35676,4239,21589,171382,45449,49947,15157,1237,111787,29934,4087,10401,156203,1834,980,836,81,3737,4419,346,1127,9626,423,273,113,14,821,412,86,279,1590,2261,1256,948,94,4561,4826,427,1404,11222,1133,516,495,63,2204,3303,276,1070,6851,52,15,11,3,79,126,24,63,289,34,16,5,3,64,66,13,49,187,15,17
5GPER,121078,170564,49943,5438,347015,78463,13506,20459,459438,11760,5139,4962,813,22670,24668,2599,2894,52834,4086,2032,1406,382,7905,5188,1355,1723,16172,15841,7172,6367,1198,30576,29857,3952,4618,69006,5517,1436,1986,493,9428,16895,1864,2883,31075,1657,399,388,201,2649,5730,824,1885,11083,1992,508,351,175,3026,4988,614,2668,11297,107,118,48,3,275,197,21,55,552,9273,2449,2777,875,15378,27809,3317,7495,54002,716,158,103,8,988,1431,38,568,3021,50,59,20,0,131,353,3,46,532,72,65,17,0,165,99,22,37,323,841,287,144,12,1282,1887,66,645,3872,65,65,26,4,161,89,10,26,288,147092,180549,59261,7520,394426,138103,20845,33236,586607,135814,192829,54440,6592,389674,86356,16931,19436,512398,13204,7337,5387,922,26848,24801,3285,3074,58006,5735,3496,1694,453,11376,6322,1884,1730,21317,18944,10835,7074,1374,38232,31125,5170,4802,79324,6998,2974,2609,569,13140,16519,2205,2772,34641,2961,824,488,259,4533,6089,1177,1860,13657,3880,966,427,234,5507,5986,1064,2655,15220,112,57
59799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4RSAU,39677,36642,11007,919,88237,27536,2433,5279,123483,1671,1093,1424,87,4275,4190,296,472,9233,56,64,23,3,141,66,3,76,289,1730,1155,1448,86,4413,4261,304,540,9517,898,186,300,46,1433,4025,204,505,6167,7,3,6,0,19,47,4,47,122,14,10,7,4,33,71,11,11,124,14,14,9,0,35,44,3,4,84,936,205,322,51,1517,4186,217,568,6492,398,158,56,14,625,902,38,1871,3433,57,33,16,3,114,146,7,349,611,124,135,23,5,288,110,11,34,451,579,331,97,19,1024,1165,53,2256,4492,12,14,3,0,28,29,3,9,64,42934,38343,12875,1082,95225,37173,3011,8646,144052,43144,36084,12379,918,92529,32218,2818,5104,132662,1676,877,1130,102,3790,4232,294,453,8767,155,83,47,4,288,140,25,64,513,1836,967,1172,104,4081,4372,317,513,9280,719,183,310,47,1257,3719,162,443,5583,21,3,6,0,29,96,3,19,143,36,11,15,0,60,155,7,52,281,3,3
4GADE,97477,125278,41470,3864,268084,70109,10017,10449,358662,9268,4192,5542,582,19586,21252,1831,2060,44727,2651,1323,1107,247,5332,3499,930,737,10500,11917,5509,6651,832,24915,24752,2762,2795,55229,6347,1870,2886,608,11706,24980,2424,2550,41658,502,155,142,87,886,1914,435,479,3708,706,190,161,74,1133,1714,402,569,3811,86,39,43,12,174,249,20,47,496,7638,2253,3230,781,13901,28852,3279,3638,49677,237,89,42,3,379,567,19,343,1305,17,10,5,0,33,174,0,25,232,88,122,48,6,260,141,30,41,472,341,221,92,8,665,884,57,407,2014,66,93,40,3,200,47,10,16,278,117437,133361,51483,5490,307771,124649,16129,17309,465856,102548,129367,43766,4196,279875,75335,11695,9741,376651,9696,4725,5563,647,20629,22258,2175,1692,46748,3473,2123,1419,271,7281,4096,1257,757,13391,13167,6844,6981,914,27910,26352,3430,2451,60146,7490,3204,3015,655,14363,24257,2378,2134,43130,691,309,136,71,1203,1954,423,416,3999,1056,261,172,126,1611,2211,641,971,5429,60,40
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3RQLD,178938,207525,64900,5463,456827,99728,18897,28403,603860,9854,4193,4109,370,18528,15304,1688,2178,37698,6354,3916,3883,352,14499,6761,2267,2671,26192,16208,8109,7991,719,33027,22064,3953,4844,63892,9896,3536,5939,761,20137,27527,4142,8903,60707,3886,992,1154,252,6279,5988,1609,6909,20785,5403,1244,773,144,7566,5409,1077,13595,27644,134,74,78,13,295,312,24,74,708,19316,5842,7944,1166,34269,39235,6852,29480,109842,3202,825,633,77,4741,6634,390,18269,30028,421,341,126,19,908,1048,64,1619,3646,571,468,159,23,1223,495,90,186,1998,4200,1638,918,114,6865,8176,546,20080,35675,200,206,85,6,501,281,32,112,919,218866,223312,81839,7474,531493,169489,30286,82924,814192,198697,223585,72270,6126,500675,114201,21576,29527,665976,9556,4299,4570,404,18831,16485,1854,2171,39343,7647,5479,4999,429,18557,8593,2554,2660,32363,17211,9777,9568,833,37386,25084,4409,4834,71708,9975,4509,6488,767,21737,29474,3797,5974,60987,5236,1594,1722,318,8867,8317,2313,3512,23007,7487,1927,1383,249,11041,7845,1900,4574,25358,116,77
3GBRI,145178,209581,64778,6844,426382,85300,19740,19119,550540,5017,2343,2371,273,10003,10182,946,909,22042,6048,3456,3928,705,14144,8741,2853,1785,27528,11063,5797,6300,981,24149,18922,3797,2698,49567,7403,2128,3457,868,13858,24499,3887,3531,45772,4178,971,1090,556,6792,8661,2779,2264,20501,4668,1146,657,447,6917,5695,2122,4954,19685,128,70,61,8,266,411,55,55,786,16380,4318,5265,1874,27830,39264,8843,10802,86746,983,269,274,25,1552,3110,127,1134,5922,43,45,18,0,104,396,8,97,615,158,150,52,11,369,201,39,78,689,1184,465,346,35,2024,3708,174,1310,7220,40,43,19,3,104,108,20,30,263,173841,220201,76702,9743,480489,147302,32580,33965,694335,157550,228791,70410,7565,464310,91662,22879,18019,596869,5940,2844,2775,370,11926,12846,1262,984,27014,8947,5933,5293,950,21112,11379,4024,2180,38699,14883,8775,8068,1319,33038,24224,5291,3164,65718,8174,2935,3431,872,15415,22222,3938,2948,44520,5710,1510,1255,622,9103,9906,3170,1888,24071,6793,1851,959,525,10130,8129,2834,3089,24183,208,95
39799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2RVIC,128553,139727,47497,3765,319541,95214,11569,13411,439731,3013,1270,1363,173,5815,8856,809,743,16224,531,341,228,14,1110,592,177,198,2079,3543,1611,1587,186,6925,9446,987,945,18302,4539,1188,2430,321,8479,19812,1327,2031,31653,60,26,19,4,107,139,11,112,366,38,20,19,0,78,91,10,255,429,68,39,20,3,136,235,15,29,413,4707,1276,2490,330,8796,20276,1371,2425,32869,845,269,194,23,1336,2578,124,1770,5816,124,141,34,3,300,306,13,108,728,451,444,150,12,1055,479,73,127,1738,1417,859,381,39,2697,3368,207,2007,8275,39,31,12,0,74,42,6,11,141,138261,143500,51963,4318,338037,128342,14148,18798,499318,138827,140779,51685,3887,335177,108323,13130,16174,472806,3356,1231,1499,191,6273,10675,711,955,18612,756,476,302,36,1572,821,196,283,2869,4111,1704,1796,223,7839,11499,910,1236,21486,4808,1395,2689,291,9178,20065,1350,2052,32650,83,23,11,4,127,220,21,172,534,52,16,11,0,71,61,13,293,439,44,26
2GMEL,234830,412449,110973,11290,769536,158695,26363,34802,989394,25216,17110,10336,1713,54373,40829,6775,5548,107524,11971,11335,4790,1013,29116,10057,4462,3227,46861,37190,28444,15128,2724,83489,50888,11235,8774,154383,24546,12944,11674,2687,51845,61343,9885,10638,133712,7054,1664,1547,1019,11283,17485,4794,5461,39018,8642,2594,2581,1828,15650,15661,4803,8076,44192,275,183,119,21,601,681,67,110,1460,40521,17380,15923,5550,79378,95169,19556,24283,218384,499,247,172,18,942,1975,81,584,3573,55,78,28,3,162,329,5,40,544,720,758,267,55,1804,961,316,416,3494,1275,1088,468,84,2912,3263,399,1038,7612,59,57,20,3,139,103,16,36,294,313867,459416,142523,19652,935459,308116,57567,68930,1370068,254335,442148,121891,13128,831498,175995,31846,32339,1071684,26196,19666,10595,1665,58120,40455,7037,4924,110539,16709,16426,6535,1253,40923,13268,5681,3518,63386,42901,36093,17127,2923,99042,53727,12719,8439,173926,29121,15820,11002,2517,58459,58001,10131,8745,135341,10039,2646,1959,992,15633,19185,5397,4663,44884,13307,3933,3336,1910,22483,22380,6335,8091,59280,218,151
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1RNSW,228940,254944,90871,6878,581629,156228,19131,25713,782703,10238,4031,4820,388,19471,19417,1684,1676,42260,4266,2390,2959,213,9827,6390,1328,1384,18928,14504,6421,7779,602,29301,25814,3009,3064,61189,8758,3134,5669,672,18233,34340,3355,4993,60921,1534,456,775,118,2885,4484,791,1361,9527,1786,499,433,92,2809,2992,598,1309,7708,248,169,159,10,587,875,52,141,1660,12328,4257,7038,884,24511,42695,4801,7811,79818,3256,782,726,84,4850,7223,308,6887,19266,380,219,90,9,698,856,31,349,1927,766,676,309,35,1779,1130,182,296,3386,4405,1674,1125,126,7333,9208,517,7531,24590,135,134,49,7,323,169,13,184,693,260311,267423,106854,8497,643093,234110,27476,44301,948988,242789,252591,96004,7333,598720,171731,21187,27570,819215,11058,4527,5623,477,21692,23932,1855,2493,49977,5408,3294,3487,281,12475,8211,1584,1387,23661,16463,7821,9111,761,34167,32151,3443,3885,73639,8831,3287,5394,608,18123,33815,3034,4644,59617,1948,629,897,128,3608,4908,856,1174,10544,2346,632,492,90,3561,3320,693,1288,8867,218,116
1GSYD,211659,421837,107457,10307,751265,134640,19721,33442,939076,17669,18000,9534,1057,46254,25823,3301,4325,79710,22449,27282,13390,1552,64674,22189,6181,7407,100451,40120,45285,22925,2604,110930,48015,9486,11732,180162,18937,13714,8922,1635,43208,42577,6381,10420,102587,28854,19788,11925,2746,63316,48539,10668,14992,137518,33613,15818,8377,3189,60997,48807,12575,25204,147577,524,497,251,27,1306,1266,156,269,2993,81929,49819,29475,7593,168820,141193,29779,50891,390676,715,356,247,24,1334,2168,124,589,4221,41,69,20,0,133,676,12,241,1055,816,944,447,101,2318,1495,389,765,4964,1571,1373,707,130,3781,4340,529,1588,10234,218,279,94,20,604,334,101,274,1316,335500,518597,160655,20655,1035406,328516,59613,97929,1521462,213975,431737,113328,10713,769749,136320,19991,28258,954317,18882,21270,10215,1157,51523,28294,3641,3677,87128,25351,36517,15366,1660,78894,24827,7000,6228,116941,44227,57790,25580,2813,130414,53123,10637,9907,204073,20975,16258,8961,1624,47820,41522,6398,8297,104030,34448,25422,13605,2790,76268,49923,11573,11784,149555,45155,23437,10340,3609,82539,57442,15492,19374,174851,574,489
