GCCSA_CODE_2016,C16_1PF_Cu15DS_4000ov,C16_1PF_Cu15DS_NS,C16_1PF_Cu15DS_Tot,C16_1PF_CU15_NDS_0_299,C16_1PF_CU15_NDS_300_449,C16_1PF_CU15_NDS_450_599,C16_1PF_CU15_NDS_600_799,C16_1PF_CU15_NDS_800_999,C16_1PF_CU15_NDS_1000_1399,C16_1PF_CU15_NDS_1400_1799,C16_1PF_CU15_NDS_1800_2399,C16_1PF_CU15_NDS_2400_2999,C16_1PF_CU15_NDS_3000_3999,C16_1PF_CU15_NDS_4000ov,C16_1PF_CU15_NDS_NS,C16_1PF_CU15_NDS_Tot,C16_1PF_NCu15DS_0_299,C16_1PF_NCu15DS_300_449,C16_1PF_NCu15DS_450_599,C16_1PF_NCu15DS_600_799,C16_1PF_NCu15DS_800_999,C16_1PF_NCu15DS_1000_1399,C16_1PF_NCu15DS_1400_1799,C16_1PF_NCu15DS_1800_2399,C16_1PF_NCu15DS_2400_2999,C16_1PF_NCu15DS_3000_3999,C16_1PF_NCu15DS_4000ov,C16_1PF_NCu15DS_NS,C16_1PF_NCu15DS_Tot,C16_1PF_NDCO_0_299,C16_1PF_NDCO_300_449,C16_1PF_NDCO_450_599,C16_1PF_NDCO_600_799,C16_1PF_NDCO_800_999,C16_1PF_NDCO_1000_1399,C16_1PF_NDCO_1400_1799,C16_1PF_NDCO_1800_2399,C16_1PF_NDCO_2400_2999,C16_1PF_NDCO_3000_3999,C16_1PF_NDCO_4000ov,C16_1PF_NDCO_NS,C16_1PF_NDCO_Tot,C16_1PF_T_0_299,C16_1PF_T_300_449,C16_1PF_T_450_599,C16_1PF_T_600_799,C16_1PF_T_800_999,C16_1PF_T_1000_1399,C16_1PF_T_1400_1799,C16_1PF_T_1800_2399,C16_1PF_T_2400_2999,C16_1PF_T_3000_3999,C16_1PF_T_4000ov,C16_1PF_T_NS,C16_1_PF_T_T,C16_T_0_299,C16_T_300_449,C16_T_450_599,C16_T_600_799,C16_T_800_999,C16_T_1000_1399,C16_T_1400_1799,C16_T_1800_2399,C16_T_2400_2999,C16_T_3000_3999,C16_T_4000ov,C16_T_NS,C16_T_T
6RTAS,0,15,366,65,62,70,163,241,482,239,96,31,20,0,38,1504,35,25,38,83,103,179,104,45,16,3,0,17,644,93,75,76,132,162,268,138,53,13,10,9,46,1073,192,183,198,428,551,1042,534,222,69,35,11,123,3597,1483,1142,1177,2262,3183,7567,5730,3633,1089,778,422,1072,29536
6GHOB,4,7,332,51,35,39,114,168,411,308,172,37,32,8,44,1435,35,37,40,63,99,205,143,58,27,6,5,19,740,83,63,52,96,121,218,167,80,32,14,7,46,975,185,144,140,311,434,934,676,348,105,55,25,115,3477,1111,726,621,1339,1910,5155,5198,4497,1528,1120,625,711,24536
69799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5RWAU,11,12,499,92,59,75,141,177,454,429,410,135,104,44,83,2201,27,21,29,41,66,172,134,99,27,25,7,26,689,108,85,65,125,132,265,197,198,68,62,33,85,1426,245,186,187,330,428,984,863,808,258,209,100,207,4820,2201,1074,1012,1844,2422,6992,7709,10457,4735,3826,2010,1921,46202
5GPER,121,91,2464,420,188,167,361,499,1477,2130,2553,1142,787,463,347,10533,265,135,136,237,350,888,955,1084,425,352,221,202,5248,602,311,292,468,600,1429,1448,1567,629,445,298,411,8502,1378,682,641,1169,1588,4209,4942,5767,2452,1760,1094,1054,26744,9894,3732,3435,5981,7896,24717,33251,61422,37029,29671,19615,8561,245204
59799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4RSAU,3,11,491,58,80,92,256,322,537,251,130,25,22,21,82,1864,29,40,49,87,126,210,91,47,15,8,0,24,726,106,99,116,171,198,285,133,64,19,24,7,74,1300,213,239,286,580,720,1170,554,269,66,61,38,192,4388,2184,1548,1585,3177,4100,8974,6639,4704,1404,992,597,1484,37396
4GADE,37,59,1714,240,150,160,435,624,1651,1570,1152,317,203,117,237,6858,201,153,163,313,437,941,780,535,163,155,95,121,4054,431,355,322,580,657,1387,1002,687,159,119,94,265,6069,932,690,694,1430,1896,4427,3733,2613,713,536,347,684,18699,6733,3833,3487,6585,8907,26036,29392,31390,12454,9400,5763,4640,148623
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3RQLD,53,92,2360,389,271,278,538,794,2293,2538,2178,758,509,249,491,11293,167,125,81,229,339,843,881,676,231,179,99,176,4041,549,327,264,542,729,1645,1399,1232,446,276,139,473,8027,1181,779,679,1417,2036,5282,5328,4555,1611,1075,549,1231,25721,10142,4898,4365,8583,12340,36106,43006,55684,25411,17613,9207,9840,237188
3GBRI,91,66,2348,401,175,177,386,533,1842,2354,2441,922,626,339,456,10645,231,137,118,216,312,887,947,882,394,295,173,182,4766,546,286,255,461,598,1530,1562,1388,481,369,178,402,8060,1268,645,588,1143,1574,4679,5359,5255,1989,1439,784,1097,25818,9995,4190,3696,6545,9201,29985,41363,61381,31341,24649,14528,9276,246142
39799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2RVIC,17,62,1853,246,260,296,636,924,2013,1283,722,188,111,70,312,7062,161,156,156,367,459,875,552,283,100,64,39,143,3357,373,333,307,584,688,1274,709,406,92,81,57,336,5238,865,826,833,1739,2298,4689,2917,1590,423,292,188,851,17508,6904,4527,4299,8916,12666,32557,29035,24647,8207,5736,3459,6839,147803
2GMEL,251,257,5434,938,387,390,736,1164,3723,4054,4043,1497,1204,994,950,20079,765,367,371,578,891,2387,2182,1976,718,632,623,627,12119,1410,779,674,1125,1467,3573,3086,2784,952,760,488,1158,18267,3406,1666,1584,2671,3876,10783,10394,9736,3526,2911,2360,2995,55898,23331,8895,8159,13282,19377,62429,80358,114470,54079,48644,37055,22247,492338
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1RNSW,53,109,3127,456,336,341,795,1123,2889,2682,2228,643,468,218,617,12806,212,171,177,373,528,1211,1023,817,257,170,93,211,5234,672,469,437,782,904,2116,1564,1147,395,285,162,566,9497,1426,1064,1029,2137,2846,7006,5915,4715,1467,1033,524,1503,30666,11549,6098,5575,11006,15942,43139,47281,54957,23862,17719,9519,10914,257553
1GSYD,374,211,4582,871,271,249,450,659,2296,2789,4242,2204,2157,1671,876,18750,702,230,225,379,572,1500,1619,2112,973,932,853,526,10623,1275,547,433,736,1090,2743,2746,3549,1585,1512,1022,1081,18315,3095,1104,986,1701,2534,7181,7873,10876,5252,5041,3925,2696,52264,22533,6763,5912,9419,13688,43257,54761,100169,66022,76570,68988,21428,489514
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
