GCCSA_CODE_2016,Age_37_C11_F,Age_37_C11_P,Age_37_C16_M,Age_37_C16_F,Age_37_C16_P,Age_38_C06_M,Age_38_C06_F,Age_38_C06_P,Age_38_C11_M,Age_38_C11_F,Age_38_C11_P,Age_38_C16_M,Age_38_C16_F,Age_38_C16_P,Age_39_C06_M,Age_39_C06_F,Age_39_C06_P,Age_39_C11_M,Age_39_C11_F,Age_39_C11_P,Age_39_C16_M,Age_39_C16_F,Age_39_C16_P,Age_35_39_C06_M,Age_35_39_C06_F,Age_35_39_C06_P,Age_35_39_C11_M,Age_35_39_C11_F,Age_35_39_C11_P,Age_35_39_C16_M,Age_35_39_C16_F,Age_35_39_C16_P,Age_40_C06_M,Age_40_C06_F,Age_40_C06_P,Age_40_C11_M,Age_40_C11_F,Age_40_C11_P,Age_40_C16_M,Age_40_C16_F,Age_40_C16_P,Age_41_C06_M,Age_41_C06_F,Age_41_C06_P,Age_41_C11_M,Age_41_C11_F,Age_41_C11_P,Age_41_C16_M,Age_41_C16_F,Age_41_C16_P,Age_42_C06_M,Age_42_C06_F,Age_42_C06_P,Age_42_C11_M,Age_42_C11_F,Age_42_C11_P,Age_42_C16_M,Age_42_C16_F,Age_42_C16_P,Age_43_C06_M,Age_43_C06_F,Age_43_C06_P,Age_43_C11_M,Age_43_C11_F,Age_43_C11_P,Age_43_C16_M,Age_43_C16_F,Age_43_C16_P,Age_44_C06_M,Age_44_C06_F,Age_44_C06_P,Age_44_C11_M,Age_44_C11_F,Age_44_C11_P,Age_44_C16_M,Age_44_C16_F,Age_44_C16_P,Age_40_44_C06_M,Age_40_44_C06_F,Age_40_44_C06_P,Age_40_44_C11_M,Age_40_44_C11_F,Age_40_44_C11_P,Age_40_44_C16_M,Age_40_44_C16_F,Age_40_44_C16_P,Age_45_C06_M,Age_45_C06_F,Age_45_C06_P,Age_45_C11_M,Age_45_C11_F,Age_45_C11_P,Age_45_C16_M,Age_45_C16_F,Age_45_C16_P,Age_46_C06_M,Age_46_C06_F,Age_46_C06_P,Age_46_C11_M,Age_46_C11_F,Age_46_C11_P,Age_46_C16_M,Age_46_C16_F,Age_46_C16_P,Age_47_C06_M,Age_47_C06_F,Age_47_C06_P,Age_47_C11_M,Age_47_C11_F,Age_47_C11_P,Age_47_C16_M,Age_47_C16_F,Age_47_C16_P,Age_48_C06_M,Age_48_C06_F,Age_48_C06_P,Age_48_C11_M,Age_48_C11_F,Age_48_C11_P,Age_48_C16_M,Age_48_C16_F,Age_48_C16_P,Age_49_C06_M,Age_49_C06_F,Age_49_C06_P,Age_49_C11_M,Age_49_C11_F,Age_49_C11_P,Age_49_C16_M,Age_49_C16_F,Age_49_C16_P,Age_45_49_C06_M,Age_45_49_C06_F,Age_45_49_C06_P,Age_45_49_C11_M,Age_45_49_C11_F,Age_45_49_C11_P,Age_45_49_C16_M,Age_45_49_C16_F,Age_45_49_C16_P,Age_50_C06_M,Age_50_C06_F,Age_50_C06_P,Age_50_C11_M,Age_50_C11_F,Age_50_C11_P,Age_50_C16_M,Age_50_C16_F,Age_50_C16_P,Age_51_C06_M,Age_51_C06_F,Age_51_C06_P,Age_51_C11_M,Age_51_C11_F,Age_51_C11_P,Age_51_C16_M,Age_51_C16_F,Age_51_C16_P,Age_52_C06_M,Age_52_C06_F,Age_52_C06_P,Age_52_C11_M,Age_52_C11_F,Age_52_C11_P,Age_52_C16_M,Age_52_C16_F,Age_52_C16_P,Age_53_C06_M,Age_53_C06_F,Age_53_C06_P,Age_53_C11_M,Age_53_C11_F,Age_53_C11_P,Age_53_C16_M,Age_53_C16_F,Age_53_C16_P,Age_54_C06_M,Age_54_C06_F,Age_54_C06_P,Age_54_C11_M,Age_54_C11_F,Age_54_C11_P,Age_54_C16_M,Age_54_C16_F,Age_54_C16_P,Age_50_54_C06_M,Age_50_54_C06_F,Age_50_54_C06_P,Age_50_54_C11_M,Age_50_54_C11_F,Age_50_54_C11_P,Age_50_54_C16_M,Age_50_54_C16_F,Age_50_54_C16_P,Age_55_C06_M,Age_55_C06_F,Age_55_C06_P,Age_55_C11_M,Age_55_C11_F,Age_55_C11_P
5RWAU,3505,7267,3618,3353,6968,3463,3318,6782,4004,3486,7487,3559,3307,6862,3339,3279,6625,4274,3786,8058,3600,3239,6846,17169,17042,34214,19456,17530,36985,18201,16706,34902,3501,3346,6844,4365,3946,8315,3558,3299,6860,3440,3446,6883,4098,3651,7750,3554,3433,6989,3583,3324,6908,4046,3660,7706,3809,3473,7280,3686,3417,7109,4065,3506,7569,3973,3480,7456,3583,3412,6998,3812,3449,7264,4220,3694,7914,17787,16947,34733,20391,18216,38605,19115,17375,36491,3670,3507,7170,3965,3381,7339,4168,3937,8103,3445,3416,6863,4024,3441,7466,3935,3655,7591,3514,3291,6810,4026,3433,7456,3968,3660,7629,3438,3204,6644,4115,3571,7685,3888,3470,7355,3520,3078,6599,3934,3534,7466,3779,3366,7149,17582,16501,34087,20057,17356,37412,19738,18083,37816,3415,3261,6680,4170,3634,7804,3935,3452,7389,3248,2946,6191,3795,3518,7322,3848,3506,7353,3188,2864,6050,3933,3467,7400,3923,3507,7424,3137,2845,5981,3821,3309,7126,4048,3685,7734,3021,2731,5747,3806,3186,6990,3848,3640,7485,16002,14646,30647,19525,17118,36642,19602,17783,37385,3013,2692,5707,3679,3293,6977
5GPER,12249,24203,13457,13762,27223,10726,11266,21987,12454,12615,25066,13413,13260,26673,10765,11168,21933,13212,13439,26649,13019,13160,26181,55649,57454,113101,61444,62448,123890,68747,68877,137621,10645,11303,21948,13433,13826,27260,13198,13403,26605,10642,11368,22005,12770,13034,25804,13091,13245,26341,11274,11758,23033,12637,13105,25741,13032,13485,26516,11436,11979,23413,12037,12447,24485,13393,13650,27041,11415,11732,23150,12037,12196,24226,14015,14472,28484,55413,58138,113551,62922,64608,127521,66728,68258,134986,11288,11865,23154,11760,12207,23969,14251,14617,28870,11219,11651,22870,11762,12320,24074,13480,13642,27124,10807,11462,22275,12222,12402,24629,13429,13657,27087,10562,11156,21717,12257,12613,24870,12799,13052,25852,10388,10952,21345,12034,12288,24321,12515,12750,25263,54272,57085,111356,60039,61833,121866,66480,67715,134195,10657,10971,21631,11684,12185,23868,12318,12577,24896,9971,10816,20793,11420,11789,23211,12188,12537,24726,9790,10411,20197,11108,11529,22634,12514,12715,25229,9850,10427,20277,10733,11141,21870,12327,12697,25024,9705,10024,19731,10493,11064,21551,12235,12391,24617,49972,52654,102624,55431,57708,113136,61581,62922,124498,9691,9818,19509,10620,10986,21602
59799,3,13,13,0,13,14,0,14,20,0,20,10,3,13,9,0,13,11,0,11,12,0,12,52,0,52,58,5,59,63,3,60,11,3,12,14,0,14,15,0,15,5,0,11,7,0,7,13,0,13,13,0,14,7,0,7,11,0,11,10,0,10,7,0,7,8,4,11,11,0,11,6,0,10,7,0,7,46,8,50,37,0,41,59,4,65,7,0,7,8,0,8,11,0,11,9,0,9,5,0,9,5,0,8,8,0,8,3,0,3,5,0,5,5,0,5,4,0,4,15,3,22,3,3,6,6,0,6,5,0,7,31,3,36,34,3,37,54,7,60,9,0,12,9,3,10,13,0,13,3,0,3,9,0,9,4,0,4,3,0,4,4,0,4,5,0,5,3,0,3,4,0,4,9,0,7,3,0,3,8,0,8,9,0,9,27,3,31,34,3,34,43,0,44,0,0,0,6,0,6
59499,44,117,59,29,83,52,33,83,65,38,104,62,38,100,52,19,74,69,29,99,61,32,89,339,172,505,370,216,586,294,155,449,46,24,76,76,39,110,58,31,85,52,40,88,82,52,140,51,40,92,50,31,85,60,32,95,56,27,81,67,32,96,81,45,120,77,21,100,46,38,82,66,38,96,70,29,101,265,161,425,362,198,564,313,147,458,53,32,82,71,38,107,71,35,102,56,35,89,73,33,111,69,22,91,58,46,101,75,42,119,76,30,111,52,38,91,56,27,87,43,28,69,41,41,80,84,36,121,49,21,76,258,188,445,367,177,541,314,137,453,63,51,114,65,54,124,65,37,104,51,46,94,64,41,103,53,35,93,44,42,89,56,47,98,56,37,99,46,37,88,59,50,109,69,36,110,42,50,95,73,50,119,71,41,105,247,235,474,313,235,553,324,185,505,53,60,119,70,74,145
4RSAU,2067,4172,1938,1906,3840,2455,2398,4854,2209,2321,4522,1976,1976,3955,2396,2380,4774,2314,2419,4732,1919,1952,3871,12096,12146,24242,10674,10941,21613,9792,9763,19557,2429,2424,4853,2646,2652,5292,2101,2155,4255,2548,2415,4969,2500,2530,5031,2126,2055,4176,2633,2533,5170,2635,2536,5171,2169,2110,4276,2755,2744,5497,2548,2396,4938,2300,2338,4642,2778,2723,5499,2482,2431,4914,2431,2447,4871,13151,12844,25991,12813,12537,25351,11130,11099,22227,2803,2737,5537,2448,2450,4900,2618,2691,5312,2756,2727,5482,2623,2470,5094,2504,2577,5083,2701,2640,5338,2727,2545,5270,2601,2520,5116,2748,2513,5259,2795,2733,5528,2586,2428,5021,2714,2503,5222,2798,2744,5545,2483,2417,4901,13720,13115,26844,13395,12936,26329,12796,12640,25436,2640,2545,5185,2889,2807,5697,2505,2448,4950,2578,2392,4967,2763,2713,5477,2651,2528,5183,2606,2379,4983,2716,2694,5403,2699,2658,5358,2566,2457,5027,2719,2570,5293,2854,2839,5700,2524,2472,4995,2678,2560,5234,2883,2829,5706,12915,12243,25159,13759,13343,27108,13594,13304,26897,2457,2426,4884,2720,2572,5291
4GADE,8144,16131,8175,8254,16433,8135,8264,16400,8316,8452,16769,7904,8093,15995,7921,8189,16114,8821,9102,17923,8188,8347,16531,41122,42090,83210,40777,41324,82102,41184,41853,83037,8108,8470,16585,9006,9172,18178,8087,7997,16087,8208,8526,16736,8724,8859,17582,8160,8244,16408,8450,8741,17195,8537,8877,17415,8239,8405,16645,8620,8784,17401,8392,8689,17082,8383,8690,17071,8363,8900,17263,8148,8427,16572,8923,9089,18012,41756,43422,85178,42806,44023,86834,41800,42425,84217,8794,9039,17830,8404,8622,17028,9103,9325,18432,8531,8885,17412,8411,8793,17199,8828,9072,17895,8332,8806,17138,8636,8884,17514,8609,8932,17539,8179,8519,16697,8615,8755,17366,8521,8919,17440,7962,8645,16609,8483,8950,17437,8189,8453,16641,41804,43894,85693,42539,44003,86544,43247,44698,87943,7881,8451,16336,8765,9006,17768,8376,8713,17093,7962,8083,16043,8385,8735,17119,8306,8672,16981,7437,8177,15613,8262,8772,17030,8564,8879,17444,7599,8108,15703,8081,8360,16444,8626,8846,17468,7306,7846,15155,7747,8393,16141,8319,8826,17146,38181,40670,78855,41232,43272,84503,42190,43942,86131,7313,7887,15201,7540,8230,15774
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49499,21,48,23,17,44,29,15,41,27,17,45,30,15,45,30,15,42,43,30,72,23,10,32,140,77,212,153,96,248,136,80,221,40,21,57,34,25,57,25,11,34,30,11,44,40,15,57,33,12,47,26,17,44,25,13,39,29,15,45,28,6,36,18,18,31,23,14,38,26,18,45,28,13,38,34,6,40,151,70,227,153,79,229,141,61,205,15,17,33,36,18,50,30,27,59,18,4,21,30,15,44,26,34,57,13,11,24,31,15,40,14,13,24,18,10,32,16,10,30,34,13,52,7,18,31,27,16,44,36,14,47,78,56,141,139,73,209,142,96,238,20,19,37,25,34,55,40,21,64,16,17,31,20,20,42,28,13,41,19,11,30,35,27,61,31,23,55,29,19,46,24,17,38,17,13,33,29,30,58,24,24,49,25,20,44,116,85,204,128,117,248,143,91,235,15,14,32,32,14,53
3RQLD,15495,30670,14215,14997,29209,13729,14443,28172,15574,16382,31953,13875,14908,28784,13675,14436,28111,16275,17141,33414,14487,15096,29589,70701,74243,144937,75130,78308,153440,71682,75472,147156,13878,14607,28488,16910,17539,34450,14680,15598,30280,14001,15110,29111,15811,16374,32183,14760,15603,30367,14905,15664,30566,15776,16437,32213,15921,16520,32436,15061,15921,30985,15001,15704,30703,16350,17237,33589,15362,16109,31472,14998,15577,30569,16909,17954,34872,73211,77415,150622,78498,81626,160122,78620,82915,161537,15580,16059,31639,14947,15669,30624,17521,18536,36062,15218,15460,30676,15105,15936,31046,16353,17109,33464,14828,14976,29807,16028,16383,32412,16262,17027,33283,14409,15038,29447,16120,16759,32880,15547,16313,31858,14370,14380,28749,16290,16760,33045,15380,16308,31688,74406,75915,150320,78491,81512,160007,81063,85294,166356,14041,14370,28409,16386,16798,33183,15465,16177,31641,13830,14057,27892,15688,16053,31742,15542,16210,31757,13259,13617,26878,15360,15696,31054,16380,17065,33444,13586,13396,26980,14882,15540,30420,16569,17280,33845,13409,13048,26454,14709,14850,29557,16554,17369,33921,68123,68485,136608,77025,78933,155958,80501,84100,164603,13305,12956,26258,14493,14858,29346
3GBRI,15418,30458,15138,15539,30675,13145,13927,27070,15466,16093,31551,15055,15793,30847,13124,13763,26883,15821,16649,32465,14911,15722,30634,68529,72761,141292,75534,78394,153924,77269,80046,157315,12926,13534,26461,16000,17028,33031,15152,15765,30916,13199,13620,26822,15210,16009,31219,15391,16030,31422,13570,14031,27596,14594,15429,30022,15774,16359,32132,13512,14460,27975,14137,14788,28927,16000,16762,32761,13665,14474,28136,13974,14477,28446,16274,17106,33387,66866,70125,136991,73914,77728,151643,78597,82021,160613,13361,14077,27435,13609,14115,27723,16490,17450,33943,12997,13650,26651,13768,14165,27938,15587,16461,32052,12726,13514,26241,14268,14573,28839,14924,15738,30664,12321,13132,25455,13987,14750,28738,14674,15253,29926,12055,12920,24974,13998,14661,28662,14327,14957,29277,63465,67295,130760,69634,72268,141901,76005,79858,155861,12226,12415,24643,13756,14227,27985,13774,14456,28225,11729,12306,24037,13141,13790,26927,13827,14254,28085,11508,12137,23639,12861,13542,26407,14331,14834,29169,11665,12217,23888,12384,12985,25369,14043,14872,28908,11551,11798,23353,11992,12542,24540,14010,14794,28809,58676,60876,119558,64131,67095,131232,69989,73211,143199,11152,11631,22784,12016,12260,24277
39799,3,6,0,0,0,4,0,4,3,0,3,0,0,0,3,0,3,9,6,14,0,0,0,9,0,12,22,13,35,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,0,0,0,4,0,4,0,0,0,0,0,3,0,0,0,0,4,3,3,4,4,4,0,4,8,4,7,0,0,3,10,0,10,17,6,29,4,3,12,0,0,0,3,0,3,0,3,3,3,0,4,3,7,11,0,0,0,3,0,3,3,3,5,0,0,3,0,0,0,4,0,4,0,0,0,0,0,0,3,0,3,0,0,3,11,3,7,16,13,32,5,5,6,0,0,0,8,9,15,0,0,3,3,0,3,3,6,7,0,0,0,0,0,0,3,3,6,3,0,3,0,0,0,4,3,10,0,3,3,3,0,3,7,5,6,0,0,3,9,0,9,28,22,49,5,3,14,0,0,0,8,0,9
39499,59,162,81,66,146,99,59,159,70,60,124,91,51,135,93,68,158,110,57,166,90,42,126,574,331,902,486,306,788,479,261,738,89,57,147,115,63,179,127,55,184,95,56,155,78,72,155,93,44,135,110,41,153,101,50,156,103,42,141,105,78,177,91,52,142,79,69,143,121,54,179,93,46,136,87,47,132,520,284,803,487,289,773,487,256,742,74,55,131,101,59,165,98,59,161,129,86,215,95,47,149,88,56,145,118,74,194,80,53,140,83,46,128,85,66,143,108,63,172,100,64,160,102,71,173,122,67,193,85,79,160,511,349,855,517,301,811,455,298,752,104,108,209,101,86,188,113,83,198,112,121,229,92,84,178,85,76,162,102,101,206,90,87,178,110,75,179,112,94,206,90,100,184,108,77,180,116,91,208,96,81,177,101,87,192,552,505,1061,466,433,899,518,393,914,136,135,276,121,97,220
2RVIC,8459,16424,7399,7859,15259,8012,8472,16487,8117,8740,16856,7811,8018,15824,8090,8522,16613,8644,9366,18005,7539,8198,15729,40574,43621,84193,39588,42376,81958,37726,40290,78014,8172,8940,17109,8944,9769,18711,7913,8309,16217,8430,8946,17376,8557,9234,17789,8095,8670,16760,8941,9417,18355,8996,9487,18479,8447,8986,17429,9242,9800,19045,8616,9004,17616,8662,9286,17951,9411,10018,19433,8413,8982,17391,9332,9830,19162,44187,47126,91315,43527,46468,89991,42442,45080,87518,9412,10048,19469,8462,9195,17658,9465,10323,19792,9290,9732,19024,8779,9249,18029,8917,9548,18461,9540,9628,19172,9190,9602,18792,9366,9836,19203,9133,9487,18622,9426,10019,19450,8979,9428,18404,9066,9330,18395,9740,10333,20067,8747,9329,18073,46453,48229,94678,45602,48398,94003,45471,48463,93933,9102,9319,18424,9701,10174,19871,8926,9667,18593,9032,9229,18259,9328,9854,19182,9091,9561,18650,8966,9062,18034,9594,9854,19453,9588,10220,19811,8835,9043,17878,9277,9659,18937,9846,10460,20300,8880,8755,17627,9168,9513,18682,10042,10788,20828,44822,45405,90223,47076,49052,96128,47486,50695,98187,8544,8723,17263,9300,9571,18868
2GMEL,30849,60291,32009,32569,64574,27515,29024,56543,29756,30916,60669,30992,31406,62394,26509,28049,54562,30482,32363,62843,30577,30773,61356,140646,149596,290240,147205,153497,300695,161748,163566,325319,26354,27873,54226,31002,33703,64704,30427,31149,61574,26503,27824,54324,29898,31478,61378,30118,31205,61325,26801,28266,55065,29337,31031,60367,30747,32213,62964,27426,28351,55776,28496,29992,58486,30569,32312,62882,27118,28029,55149,27129,28480,55612,31378,33651,65026,134206,140335,274544,145868,154680,300547,153241,160525,313768,26825,27795,54619,27097,28463,55562,31840,34832,66672,26051,27401,53446,27050,28375,55422,30526,32296,62825,25841,26741,52588,27197,28511,55714,29702,31736,61439,24998,26118,51115,27568,28387,55955,29237,30706,59937,24227,25452,49681,27237,27939,55169,27646,29065,56706,127939,133511,261448,136146,141682,277825,148946,158634,307580,24555,25119,49677,26714,27873,54583,27739,28944,56683,23029,24183,47207,25548,26943,52495,26919,28300,55220,22231,23442,45676,25528,26447,51979,27527,29018,56544,22305,23563,45863,24372,25569,49941,27653,28757,56412,21554,22528,44081,23578,24927,48507,26988,27882,54873,113675,118829,232503,125743,131764,257499,136829,142906,279728,21140,22444,43581,23673,24518,48187
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,4,0,4,3,0,3,0,0,3,4,0,4,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,4,0,4,6,0,6,4,0,4,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4,0,4,5,0,4,3,0,3,3,0,3,0,0,0
29499,45,128,85,50,131,73,43,110,86,46,139,79,36,118,63,30,88,115,54,164,74,34,104,378,222,604,480,276,759,441,253,693,59,40,92,109,52,166,93,33,129,66,29,88,71,61,135,56,53,108,65,39,101,73,49,128,89,34,120,53,21,77,74,49,120,68,42,111,52,31,78,78,31,111,77,57,128,290,150,445,415,249,662,372,229,601,54,36,89,70,37,111,93,47,138,38,28,63,64,42,101,60,32,99,43,30,73,59,43,102,75,31,109,48,24,70,74,34,104,69,21,96,39,26,67,71,47,117,50,32,83,222,147,369,332,198,531,349,170,524,42,18,62,81,41,121,65,29,93,37,21,55,67,29,103,54,34,90,31,31,65,43,39,85,56,42,93,31,20,49,46,37,79,53,42,96,34,18,54,50,35,85,51,32,86,170,118,289,295,182,477,277,177,451,36,23,59,45,28,72
1RNSW,15585,30260,13759,14508,28273,14664,15523,30189,15343,16545,31887,13766,14603,28369,14735,16138,30876,16584,17503,34085,14138,14833,28967,75162,80580,155743,73982,78484,152469,69787,73506,143294,15148,16198,31348,16830,17997,34832,14405,15374,29778,15577,16497,32071,15687,16703,32392,14914,15462,30374,17021,17659,34683,15866,17009,32875,15683,16393,32076,17364,18470,35833,15230,16165,31398,16268,17353,33623,18053,18678,36729,15498,16576,32071,17459,18312,35772,83159,87501,170663,79109,84452,163555,78729,82902,161625,18205,18677,36889,15577,16450,32022,17771,18677,36447,17621,18649,36277,16142,16601,32746,16486,17386,33878,17681,18323,36001,17278,17809,35088,16491,17542,34028,17348,17934,35283,17649,18605,36253,15801,16781,32583,17475,17501,34974,18208,18684,36894,15856,16991,32850,88326,91092,179416,84853,88144,173000,82400,87382,169780,17107,17141,34253,18258,18868,37124,16221,17047,33271,16848,16916,33762,17856,18477,36336,16450,17060,33512,16533,16612,33148,17842,18571,36412,17836,18482,36313,16637,16772,33409,17428,18178,35607,18208,19244,37455,16076,16061,32138,17398,17686,35085,18781,19444,38221,83201,83504,166704,88785,91780,180567,87489,91280,178773,16220,15970,32188,17055,17110,34161
1GSYD,33988,66655,34918,35389,70306,29815,31230,61043,33039,34572,67614,34168,34634,68802,29568,30291,59862,33990,35624,69614,33306,33904,67208,155286,162706,317988,164267,170337,334601,176949,178510,355460,29970,30390,60357,33851,36012,69862,33240,34092,67334,30166,30902,61069,31549,33307,64854,32945,33688,66633,31147,32001,63147,30708,32788,63494,33600,34482,68079,31587,32318,63905,29777,31434,61206,33531,35029,68560,31339,31868,63208,29181,30279,59465,34201,35777,69976,154207,157482,311694,155065,163817,318886,167516,173063,340580,30652,31631,62280,29656,30221,59878,34253,36617,70869,29705,30770,60471,29612,31057,60669,31847,33351,65202,28723,29410,58132,30562,31690,62246,30891,32836,63726,28378,29590,57971,30992,31986,62978,30249,32126,62369,27749,28556,56310,30572,31136,61705,29379,30218,59594,145208,149963,295173,151396,156086,307485,156617,165145,321762,27046,28061,55110,30162,31303,61463,29816,30369,60179,25998,27480,53478,28773,29895,58669,29306,30477,59787,25444,26473,51916,27897,28628,56526,30495,31544,62043,25218,26289,51507,27362,28872,56236,30812,31700,62518,24347,25316,49661,26744,27863,54610,30340,30955,61294,128049,133621,261670,140941,146554,287499,150766,155048,305817,24020,24866,48882,25977,27200,53171
19799,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,9,3,0,3,0,0,0,3,3,3,0,0,0,0,0,0,0,5,7,0,0,0,0,0,0,5,0,8,0,0,0,0,0,0,3,3,6,0,0,0,0,0,0,3,3,3,8,0,8,5,0,5,10,12,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,4,0,4,3,6,8,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,3,0,3,12,0,12,10,7,16,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,4,3,8,0,0,0,0,0,0,0,7,10,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,3,10,13,0,0,0,0,3,3,15,22,35,0,0,0,3,0,3
19499,76,191,115,59,176,107,57,160,124,72,198,128,77,204,106,60,165,120,88,209,93,63,154,622,334,951,665,387,1052,625,338,955,121,58,174,185,74,268,162,59,219,110,42,151,142,85,227,127,59,185,112,46,162,149,61,214,136,73,208,104,52,161,122,67,188,107,53,162,107,50,151,108,49,162,116,45,168,544,247,796,704,345,1052,644,290,940,63,55,120,149,69,220,149,77,225,83,50,136,126,54,179,102,43,151,98,43,149,123,58,181,115,59,171,83,48,135,92,59,149,108,75,180,74,42,117,127,82,206,93,55,153,407,241,641,619,317,939,572,310,881,83,73,155,157,71,227,160,74,233,94,66,164,106,80,188,107,63,166,68,48,120,108,70,177,106,67,170,88,50,138,99,72,171,82,57,146,85,65,152,125,62,188,132,73,201,421,303,723,597,356,954,585,338,919,83,60,142,109,67,178
