GCCSA_CODE_2016,CFNC_FI_H_MI_C06_Fam,CFNC_FI_H_MI_C06_Per,CFNC_FI_H_MI_C11_Fam,CFNC_FI_H_MI_C11_Per,CFNC_FI_H_MI_C16_Fam,CFNC_FI_H_MI_C16_Per,CFNC_FI_S_MI_C06_Fam,CFNC_FI_S_MI_C06_Per,CFNC_FI_S_MI_C11_Fam,CFNC_FI_S_MI_C11_Per,CFNC_FI_S_MI_C16_Fam,CFNC_FI_S_MI_C16_Per,CFNC_FI_L_MI_C06_Fam,CFNC_FI_L_MI_C06_Per,CFNC_FI_L_MI_C11_Fam,CFNC_FI_L_MI_C11_Per,CFNC_FI_L_MI_C16_Fam,CFNC_FI_L_MI_C16_Per,CF_CU15_DS_FI_H_MI_C06_Fam,CF_CU15_DS_FI_H_MI_C06_Per,CF_CU15_DS_FI_H_MI_C11_Fam,CF_CU15_DS_FI_H_MI_C11_Per,CF_CU15_DS_FI_H_MI_C16_Fam,CF_CU15_DS_FI_H_MI_C16_Per,CF_CU15_DS_FI_S_MI_C06_Fam,CF_CU15_DS_FI_S_MI_C06_Per,CF_CU15_DS_FI_S_MI_C11_Fam,CF_CU15_DS_FI_S_MI_C11_Per,CF_CU15_DS_FI_S_MI_C16_Fam,CF_CU15_DS_FI_S_MI_C16_Per,CF_CU15_DS_FI_L_MI_C06_Fam,CF_CU15_DS_FI_L_MI_C06_Per,CF_CU15_DS_FI_L_MI_C11_Fam,CF_CU15_DS_FI_L_MI_C11_Per,CF_CU15_DS_FI_L_MI_C16_Fam,CF_CU15_DS_FI_L_MI_C16_Per,CF_CU15noDS_FI_H_MI_C06_Fam,CF_CU15noDS_FI_H_MI_C06_Per,CF_CU15noDS_FI_H_MI_C11_Fam,CF_CU15noDS_FI_H_MI_C11_Per,CF_CU15noDS_FI_H_MI_C16_Fam,CF_CU15noDS_FI_H_MI_C16_Per,CF_CU15noDS_FI_S_MI_C06_Fam,CF_CU15noDS_FI_S_MI_C06_Per,CF_CU15noDS_FI_S_MI_C11_Fam,CF_CU15noDS_FI_S_MI_C11_Per,CF_CU15noDS_FI_S_MI_C16_Fam,CF_CU15noDS_FI_S_MI_C16_Per,CF_CU15noDS_FI_L_MI_C06_Fam,CF_CU15noDS_FI_L_MI_C06_Per,CF_CU15noDS_FI_L_MI_C11_Fam,CF_CU15noDS_FI_L_MI_C11_Per,CF_CU15noDS_FI_L_MI_C16_Fam,CF_CU15noDS_FI_L_MI_C16_Per,CFNCU15_DS_FI_H_MI_C06_Fam,CFNCU15_DS_FI_H_MI_C06_Per,CFNCU15_DS_FI_H_MI_C11_Fam,CFNCU15_DS_FI_H_MI_C11_Per,CFNCU15_DS_FI_H_MI_C16_Fam,CFNCU15_DS_FI_H_MI_C16_Per,CFNCU15_DS_FI_S_MI_C06_Fam,CFNCU15_DS_FI_S_MI_C06_Per,CFNCU15_DS_FI_S_MI_C11_Fam,CFNCU15_DS_FI_S_MI_C11_Per,CFNCU15_DS_FI_S_MI_C16_Fam,CFNCU15_DS_FI_S_MI_C16_Per,CFNCU15_DS_FI_L_MI_C06_Fam,CFNCU15_DS_FI_L_MI_C06_Per,CFNCU15_DS_FI_L_MI_C11_Fam,CFNCU15_DS_FI_L_MI_C11_Per,CFNCU15_DS_FI_L_MI_C16_Fam,CFNCU15_DS_FI_L_MI_C16_Per,CF_nonDC_FI_H_MI_C06_Fam,CF_nonDC_FI_H_MI_C06_Per,CF_nonDC_FI_H_MI_C11_Fam,CF_nonDC_FI_H_MI_C11_Per,CF_nonDC_FI_H_MI_C16_Fam,CF_nonDC_FI_H_MI_C16_Per,CF_nonDC_FI_S_MI_C06_Fam,CF_nonDC_FI_S_MI_C06_Per,CF_nonDC_FI_S_MI_C11_Fam,CF_nonDC_FI_S_MI_C11_Per,CF_nonDC_FI_S_MI_C16_Fam,CF_nonDC_FI_S_MI_C16_Per,CF_nonDC_FI_L_MI_C06_Fam,CF_nonDC_FI_L_MI_C06_Per,CF_nonDC_FI_L_MI_C11_Fam,CF_nonDC_FI_L_MI_C11_Per,CF_nonDC_FI_L_MI_C16_Fam,CF_nonDC_FI_L_MI_C16_Per,Tot_CF_FI_H_MI_C06_Fam,Tot_CF_FI_H_MI_C06_Per,Tot_CF_FI_H_MI_C11_Fam,Tot_CF_FI_H_MI_C11_Per,Tot_CF_FI_H_MI_C16_Fam,Tot_CF_FI_H_MI_C16_Per,Tot_CF_FI_S_MI_C06_Fam,Tot_CF_FI_S_MI_C06_Per,Tot_CF_FI_S_MI_C11_Fam,Tot_CF_FI_S_MI_C11_Per,Tot_CF_FI_S_MI_C16_Fam,Tot_CF_FI_S_MI_C16_Per,Tot_CF_FI_L_MI_C06_Fam,Tot_CF_FI_L_MI_C06_Per,Tot_CF_FI_L_MI_C11_Fam,Tot_CF_FI_L_MI_C11_Per,Tot_CF_FI_L_MI_C16_Fam,Tot_CF_FI_L_MI_C16_Per,Tot_CF_Tot_C06_Fam,Tot_CF_Tot_C06_Per,Tot_CF_Tot_C11_Fam,Tot_CF_Tot_C11_Per,Tot_CF_Tot_C16_Fam,Tot_CF_Tot_C16_Per
4GADE,15372,14.1,19253,16.5,23135,19.4,47024,43.2,46713,39.9,41876,35.2,46504,42.7,50991,43.6,53987,45.4,1844,13.3,2196,15,2700,18.1,2965,21.4,2984,20.3,2616,17.6,9066,65.3,9494,64.7,9583,64.3,8004,11.8,9980,13.8,13307,17.3,11269,16.7,11390,15.7,10452,13.6,48290,71.5,51057,70.5,52952,69,2693,15.3,3269,17,4482,21.1,4187,23.7,4308,22.4,4036,19,10776,61,11650,60.6,12681,59.8,3067,12.7,3628,15.2,4709,19,8951,37.1,8069,33.8,7352,29.7,12140,50.3,12191,51,12660,51.2,30979,13.3,38326,15.5,48328,18.8,74399,32,73463,29.7,66332,25.9,126765,54.6,135382,54.8,141866,55.3,232148,100,247169,100,256522,100
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3RQLD,24409,12.2,33060,14.9,42164,17.8,91988,46,93765,42.2,90849,38.4,83760,41.8,95176,42.9,103368,43.7,3140,13.6,3779,15.5,4500,17.5,5370,23.2,4740,19.4,4374,17,14636,63.2,15877,65.1,16843,65.5,14749,11.8,18594,13.7,21835,15.9,23175,18.6,22119,16.3,19596,14.3,86931,69.6,94594,69.9,95671,69.8,2772,14.3,3648,16.2,4763,19,5208,26.9,5287,23.5,5021,20.1,11371,58.8,13528,60.2,15241,60.9,3814,11.6,5202,15,7115,18.4,12923,39.2,12001,34.6,12116,31.3,16189,49.2,17436,50.3,19444,50.3,48878,12.2,64283,14.6,80374,17.4,138664,34.6,137905,31.4,131952,28.5,212884,53.2,236616,53.9,250568,54.1,400427,100,438806,100,462895,100
3GBRI,23963,14.7,32186,17.5,39462,20.1,63895,39.3,67293,36.7,64095,32.6,74674,45.9,83952,45.8,92796,47.3,2787,11.9,3817,14.9,4763,17.2,4749,20.2,4831,18.8,4458,16.1,15979,68,17017,66.3,18534,66.8,13563,11.4,18296,13.7,23948,16.5,19328,16.2,20664,15.4,19683,13.6,86190,72.4,95051,70.9,101513,69.9,3302,13.2,4750,16.1,6277,19.4,5822,23.3,6303,21.4,5709,17.6,15914,63.6,18457,62.5,20432,63,4240,12.1,5701,15.4,7637,18.7,11861,33.8,11563,31.2,11384,27.9,18993,54.1,19752,53.4,21741,53.3,47849,13.1,64756,15.8,82097,18.6,105659,28.9,110653,27,105333,23.8,211752,58,234236,57.2,255016,57.6,365256,100,409648,100,442445,100
39799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2RVIC,16156,12.7,20589,15,24663,17.2,60778,48,61257,44.7,59496,41.5,49784,39.3,55154,40.3,59100,41.3,2501,13.8,2648,15.2,2788,17,4512,24.9,3710,21.3,3070,18.7,11143,61.4,11033,63.4,10567,64.3,8589,11.4,10009,13.2,11627,15,14386,19,12150,16.1,10999,14.2,52580,69.6,53531,70.7,54717,70.7,2458,15,2935,16.7,3273,18.4,4284,26.2,4178,23.8,3771,21.2,9604,58.8,10458,59.5,10713,60.3,2593,11.9,3251,14.6,4081,17.1,8905,40.8,7936,35.8,7863,32.9,10336,47.3,11006,49.6,11978,50.1,32298,12.5,39434,14.6,46433,16.7,92858,35.9,89229,33.1,85201,30.6,133441,51.6,141186,52.3,147077,52.8,258601,100,269849,100,278711,100
2GMEL,43154,14.7,54821,16.5,69791,19.4,122044,41.7,130256,39.3,123450,34.4,127388,43.5,146453,44.2,166021,46.2,5880,11.5,6921,13,9003,15.9,10936,21.4,10447,19.6,9222,16.2,34268,67.1,35899,67.4,38566,67.9,24470,10.7,31627,12.3,43771,14.8,37036,16.2,40111,15.6,39541,13.3,167486,73.1,185931,72.2,212973,71.9,8545,13.8,10949,15.5,14580,18.5,14910,24,15733,22.2,14405,18.3,38672,62.2,44143,62.3,49874,63.2,9620,11.7,12336,14.4,15816,17.4,32411,39.5,30771,36,28616,31.6,39995,48.8,42321,49.5,46216,51,91671,12.8,116656,14.6,152965,17.3,217352,30.3,227320,28.5,215240,24.4,407805,56.9,454745,56.9,513663,58.2,716835,100,798719,100,881865,100
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
