GCCSA_CODE_2016,Tot_persons_C06_M,Tot_persons_C06_F,Tot_persons_C06_P,Tot_persons_C11_M,Tot_persons_C11_F,Tot_persons_C11_P,Tot_persons_C16_M,Tot_persons_C16_F,Tot_persons_C16_P,Age_0_4_C06_M,Age_0_4_C06_F,Age_0_4_C06_P,Age_0_4_C11_M,Age_0_4_C11_F,Age_0_4_C11_P,Age_0_4_C16_M,Age_0_4_C16_F,Age_0_4_C16_P,Age_5_14_C06_M,Age_5_14_C06_F,Age_5_14_C06_P,Age_5_14_C11_M,Age_5_14_C11_F,Age_5_14_C11_P,Age_5_14_C16_M,Age_5_14_C16_F,Age_5_14_C16_P,Age_15_19_C06_M,Age_15_19_C06_F,Age_15_19_C06_P,Age_15_19_C11_M,Age_15_19_C11_F,Age_15_19_C11_P,Age_15_19_C16_M,Age_15_19_C16_F,Age_15_19_C16_P,Age_20_24_C06_M,Age_20_24_C06_F,Age_20_24_C06_P,Age_20_24_C11_M,Age_20_24_C11_F,Age_20_24_C11_P,Age_20_24_C16_M,Age_20_24_C16_F,Age_20_24_C16_P,Age_25_34_C06_M,Age_25_34_C06_F,Age_25_34_C06_P,Age_25_34_C11_M,Age_25_34_C11_F,Age_25_34_C11_P,Age_25_34_C16_M,Age_25_34_C16_F,Age_25_34_C16_P,Age_35_44_C06_M,Age_35_44_C06_F,Age_35_44_C06_P,Age_35_44_C11_M,Age_35_44_C11_F,Age_35_44_C11_P,Age_35_44_C16_M,Age_35_44_C16_F,Age_35_44_C16_P,Age_45_54_C06_M,Age_45_54_C06_F,Age_45_54_C06_P,Age_45_54_C11_M,Age_45_54_C11_F,Age_45_54_C11_P,Age_45_54_C16_M,Age_45_54_C16_F,Age_45_54_C16_P,Age_55_64_C06_M,Age_55_64_C06_F,Age_55_64_C06_P,Age_55_64_C11_M,Age_55_64_C11_F,Age_55_64_C11_P,Age_55_64_C16_M,Age_55_64_C16_F,Age_55_64_C16_P,Age_65_74_C06_M,Age_65_74_C06_F,Age_65_74_C06_P,Age_65_74_C11_M,Age_65_74_C11_F,Age_65_74_C11_P,Age_65_74_C16_M,Age_65_74_C16_F,Age_65_74_C16_P,Age_75_84_C06_M,Age_75_84_C06_F,Age_75_84_C06_P,Age_75_84_C11_M,Age_75_84_C11_F,Age_75_84_C11_P,Age_75_84_C16_M,Age_75_84_C16_F,Age_75_84_C16_P,Age_grp_85ov_C06_M,Age_grp_85ov_C06_F,Age_grp_85ov_C06_P,Age_grp_85ov_C11_M,Age_grp_85ov_C11_F,Age_grp_85ov_C11_P,Age_grp_85ov_C16_M,Age_grp_85ov_C16_F,Age_grp_85ov_C16_P,OS_vis_C06_M,OS_vis_C06_F,OS_vis_C06_P,OS_vis_C11_M,OS_vis_C11_F,OS_vis_C11_P,OS_vis_C16_M,OS_vis_C16_F,OS_vis_C16_P,IP_Abor_C06_M,IP_Abor_C06_F,IP_Abor_C06_P,IP_Abor_C11_M,IP_Abor_C11_F,IP_Abor_C11_P,IP_Abor_C16_M,IP_Abor_C16_F,IP_Abor_C16_P,IP_Tor_Strt_Is_2006_Ce_M,IP_Tor_Strt_Is_2006_Ce_F,IP_Tor_Strt_Is_2006_Ce_P,IP_Tor_Strt_Is_2011_Ce_M,IP_Tor_Strt_Is_2011_Ce_F,IP_Tor_Strt_Is_2011_Ce_P,IP_Tor_Strt_Is_2016_Ce_M,IP_Tor_Strt_Is_2016_Ce_F,IP_Tor_Strt_Is_2016_Ce_P,IP_B_Ab_To_St_Is_2006_Ce_M,IP_B_Ab_To_St_Is_2006_Ce_F,IP_B_Ab_To_St_Is_2006_Ce_P,IP_B_Ab_To_St_Is_2011_Ce_M,IP_B_Ab_To_St_Is_2011_Ce_F,IP_B_Ab_To_St_Is_2011_Ce_P,IP_B_Ab_To_St_Is_2016_Ce_M,IP_B_Ab_To_St_Is_2016_Ce_F,IP_B_Ab_To_St_Is_2016_Ce_P,IP_Tot_2006_Ce_M,IP_Tot_2006_Ce_F,IP_Tot_2006_Ce_P,IP_Tot_2011_Ce_M,IP_Tot_2011_Ce_F,IP_Tot_2011_Ce_P,IP_Tot_2016_Ce_M,IP_Tot_2016_Ce_F,IP_Tot_2016_Ce_P,Brthplace_Aust_2006_Ce_M,Brthplace_Aust_2006_Ce_F,Brthplace_Aust_2006_Ce_P,Brthplace_Aust_2011_Ce_M,Brthplace_Aust_2011_Ce_F,Brthplace_Aust_2011_Ce_P,Brthplace_Aust_2016_Ce_M,Brthplace_Aust_2016_Ce_F,Brthplace_Aust_2016_Ce_P,Brthplace_Elsewhere_2006_Ce_M,Brthplace_Elsewhere_2006_Ce_F,Brthplace_Elsewhere_2006_Ce_P,Brthplace_Elsewhere_2011_Ce_M,Brthplace_Elsewhere_2011_Ce_F,Brthplace_Elsewhere_2011_Ce_P,Brthplace_Elsewhere_2016_Ce_M,Brthplace_Elsewhere_2016_Ce_F,Brthplace_Elsewhere_2016_Ce_P,LSH_Eng_only_2006_Ce_M,LSH_Eng_only_2006_Ce_F,LSH_Eng_only_2006_Ce_P,LSH_Eng_only_2011_Ce_M,LSH_Eng_only_2011_Ce_F,LSH_Eng_only_2011_Ce_P,LSH_Eng_only_2016_Ce_M,LSH_Eng_only_2016_Ce_F,LSH_Eng_only_2016_Ce_P,LSH_Oth_Lan_2006_Ce_M,LSH_Oth_Lan_2006_Ce_F,LSH_Oth_Lan_2006_Ce_P,LSH_Oth_Lan_2011_Ce_M,LSH_Oth_Lan_2011_Ce_F,LSH_Oth_Lan_2011_Ce_P,LSH_Oth_Lan_2016_Ce_M,LSH_Oth_Lan_2016_Ce_F,LSH_Oth_Lan_2016_Ce_P,Aust_citiz_C06_M,Aust_citiz_C06_F,Aust_citiz_C06_P,Aust_citiz_C11_M,Aust_citiz_C11_F,Aust_citiz_C11_P,Aust_citiz_C16_M,Aust_citiz_C16_F,Aust_citiz_C16_P
6RTAS,135147,138808,273961,139094,143412,282509,140977,145646,286627,8447,7999,16443,9049,8525,17573,7854,7575,15434,20027,18860,38885,18553,17875,36428,17733,16868,34604,9497,8827,18328,9779,9025,18800,9049,8395,17443,7410,7431,14843,7535,7379,14918,8144,7579,15724,14281,15400,29684,13898,15159,29056,14256,15080,29338,18742,19800,38547,17561,19054,36611,15328,16761,32094,19949,20374,40325,20319,21072,41389,19526,20777,40297,17742,17484,35223,19723,19934,39661,20926,21667,42594,11256,11414,22672,13804,13641,27441,17444,17663,35104,6259,8013,14271,6885,8055,14935,8281,9219,17500,1532,3203,4736,1996,3697,5691,2440,4046,6490,400,441,839,516,555,1068,661,655,1321,4829,4986,9811,5681,5871,11553,6735,7065,13802,355,378,728,329,343,674,342,317,662,195,188,389,201,222,422,241,276,520,5379,5555,10930,6207,6439,12651,7319,7662,14983,113897,117424,231323,117688,121906,239600,114818,118475,233293,13021,13260,26277,14537,14949,29493,14847,15562,30416,126104,129938,256041,129712,134088,263803,126591,130708,257298,3105,3352,6450,3969,4481,8452,4866,5355,10224,123196,127166,250359,127104,131679,258783,126057,130448,256509
6GHOB,97699,103858,201557,102881,108776,211655,107930,114422,222356,6340,5836,12171,6948,6617,13569,6666,6338,12995,13548,12868,26414,13535,12670,26201,13936,13158,27099,7329,7103,14433,7014,6763,13784,6880,6684,13565,7017,6989,14002,7326,7220,14547,7088,6952,14042,11649,12484,24140,12692,13304,25998,13947,14541,28485,13522,14675,28197,13437,14612,28053,13171,14411,27577,14267,15304,29568,14407,15587,29992,14285,15312,29598,11353,11882,23239,13117,13866,26989,14085,15358,29440,6941,7797,14741,8233,8998,17234,10584,11598,22183,4590,6275,10868,4648,6093,10735,5388,6703,12093,1150,2639,3786,1516,3037,4551,1906,3368,5275,420,508,925,486,612,1097,687,917,1607,2528,2496,5027,2977,3134,6108,3817,3898,7715,268,250,523,241,259,496,231,222,451,103,140,246,141,148,290,178,193,367,2899,2890,5788,3356,3538,6895,4225,4309,8534,79550,85059,164608,84242,89520,173766,86306,91182,177488,11852,12255,24111,13657,14303,27953,14735,15934,30671,87557,93722,181279,91731,97621,189360,93339,99040,192382,4851,5338,10184,6539,7072,13617,7984,9009,16993,87441,93844,181282,92221,98589,190805,95080,101548,196624
69799,78,10,89,82,36,113,49,21,68,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,3,3,6,6,4,8,19,3,18,16,10,27,15,3,23,31,4,32,20,10,21,5,0,5,15,4,23,22,3,21,10,3,15,10,0,10,13,4,16,8,4,12,0,0,0,4,3,8,4,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,31,21,8,26,34,9,43,0,0,0,5,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,8,0,0,0,56,13,64,55,26,85,28,16,49,20,6,20,17,5,19,15,3,18,62,10,73,66,29,101,37,18,60,4,0,4,4,0,7,9,0,10,60,15,72,63,28,92,34,19,51
69499,460,413,872,613,460,1072,524,393,912,21,24,48,22,21,40,27,20,40,31,26,62,28,30,58,16,22,36,30,27,65,44,52,92,34,33,62,54,41,94,59,43,103,56,29,90,105,90,196,133,71,203,120,69,183,72,47,119,103,56,163,93,54,147,63,58,120,87,64,155,77,59,135,50,59,106,89,72,156,52,56,113,21,19,41,41,35,75,48,38,84,8,6,16,9,12,23,8,5,12,3,10,16,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,20,21,44,58,16,74,34,22,54,0,0,6,0,0,0,4,0,4,0,0,0,0,0,0,3,0,3,26,23,51,59,15,75,34,22,55,341,325,659,468,347,821,376,286,659,75,60,130,95,83,183,72,66,139,402,374,769,475,387,855,378,300,680,18,24,40,38,38,77,31,31,67,371,356,726,450,374,821,363,301,666
5RWAU,225528,215130,440658,263212,239385,502593,270936,253230,524167,16116,15597,31711,18648,17536,36183,18037,16823,34861,35841,33542,69385,36280,34592,70878,36347,34759,71105,15138,13752,28890,16055,14170,30223,15633,14085,29712,12492,11876,24371,15798,13379,29183,13936,12444,26382,28709,28437,57147,36429,32245,68676,36864,34190,71057,34956,33989,68947,39843,35749,75588,37316,34084,71401,33586,31146,64730,39586,34468,74053,39332,35869,75202,25311,22354,47668,31840,28034,59878,35231,32821,68053,14351,13202,27553,17964,16301,34264,24386,22272,46655,7363,8144,15507,8545,9181,17729,10696,11297,21993,1653,3084,4743,2222,3727,5949,3157,4595,7752,2659,2342,5001,3131,2792,5923,3464,3449,6917,17294,17844,35142,19976,20731,40714,21135,21396,42537,271,181,458,345,279,620,365,322,686,303,298,597,368,400,767,474,473,944,17868,18322,36192,20687,21417,42102,21977,22198,44169,172836,165821,338657,191676,181164,372841,193393,182469,375860,31664,31456,63113,46706,41179,87893,47572,45924,93497,194379,187760,382139,218667,205937,424606,219403,208689,428090,11720,12070,23790,18318,17796,36113,21782,21956,43732,192031,186244,378280,213912,203473,417391,219601,209989,429591
5GPER,746839,765266,1512105,858307,870562,1728865,963536,980326,1943858,47661,45227,92888,59080,55739,114820,65040,61672,126713,103752,98210,201960,111620,105966,217588,125113,118507,243617,56614,54249,110867,60287,57460,117749,61400,58729,120129,56850,54137,110988,66024,63158,129180,68351,65083,133434,100763,102189,202950,128476,125250,253729,153198,153484,306680,111068,115588,226654,124362,127056,251416,135474,137133,272610,104245,109738,213985,115468,119537,235005,128061,130632,258693,82546,82027,164576,94722,98456,193178,103140,109824,212965,47648,51304,98951,57483,60180,117656,73986,78385,152368,28523,37044,65567,31096,39193,70288,37102,44899,82007,7168,15552,22727,9692,18560,28253,12680,21972,34652,7547,8336,15885,8921,9598,18520,10026,13844,23867,10452,10837,21289,12849,13072,25922,14970,14849,29824,331,270,597,348,321,666,394,336,728,216,192,403,264,248,512,331,332,664,11001,11289,22293,13466,13641,27103,15704,15518,31214,461042,475704,936741,507974,522528,1030495,553138,560148,1113290,228593,238272,466868,296251,301674,597927,345029,357510,702545,598387,617392,1215778,665445,680253,1345694,709057,719772,1428821,97001,105549,202552,139696,148503,288202,188965,202000,390963,613017,639015,1252033,679378,704233,1383610,750315,770916,1521235
59799,314,26,339,381,33,417,408,26,434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,9,4,0,4,0,0,0,35,0,38,30,5,37,17,3,20,93,9,107,143,13,150,124,6,127,96,3,105,100,4,104,120,3,127,58,3,63,68,3,69,94,8,105,13,0,18,32,0,33,43,7,43,0,0,0,4,3,6,8,0,8,0,0,0,3,0,7,3,0,3,0,0,0,0,0,0,3,0,3,262,118,376,434,25,459,359,102,465,8,0,8,5,0,5,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,5,0,5,10,0,10,179,17,200,214,23,239,177,16,193,105,12,114,110,9,112,164,9,168,255,22,281,282,25,311,288,14,309,27,3,27,37,7,39,51,3,53,246,21,263,260,26,285,250,20,272
59499,3442,2541,5986,4285,3010,7299,3532,2415,5950,99,111,216,125,134,260,81,79,161,134,134,271,179,167,342,120,120,237,120,102,226,119,111,231,84,65,151,353,273,629,335,274,611,254,242,503,771,471,1240,920,629,1548,773,534,1306,602,334,930,730,413,1144,606,305,910,505,420,921,678,411,1095,638,325,957,551,498,1046,726,613,1336,540,442,977,271,165,434,388,219,608,375,254,633,37,21,57,65,33,98,58,37,98,4,12,12,9,6,19,12,11,23,0,0,0,0,0,0,0,0,0,119,94,212,240,185,424,324,237,563,0,3,3,9,3,12,6,6,11,0,8,11,12,7,15,7,3,12,116,104,220,260,190,454,341,247,587,2055,1566,3622,2433,1804,4239,2138,1378,3512,935,719,1651,1327,962,2285,851,634,1484,2752,2088,4837,3047,2288,5334,2258,1559,3819,255,204,460,380,317,698,305,281,585,2441,1882,4326,2639,2012,4655,2133,1447,3584
4RSAU,178579,176179,354758,185427,182834,368260,190368,187706,378074,10946,10561,21507,11576,10877,22448,10628,10211,20840,25602,24555,50160,24330,23227,47551,23789,22211,46004,11923,10265,22189,11969,10821,22786,10933,10195,21132,9076,8096,17168,9595,8406,17999,9562,8629,18193,18612,18736,37352,18919,18895,37815,19858,19391,39251,25243,24991,50231,23481,23477,46959,20921,20866,41789,26635,25359,51997,27155,26285,53440,26390,25939,52332,23287,22563,45854,26396,25379,51775,28251,27537,55791,15654,15312,30967,18879,18539,37419,24131,23633,47762,9366,11214,20582,10196,11455,21652,11942,12753,24701,2226,4519,6748,2932,5484,8415,3954,6336,10292,780,820,1600,790,918,1711,1252,1189,2443,5941,6216,12156,6991,7134,14125,7512,7520,15030,166,151,322,153,187,343,148,141,286,84,75,162,98,105,202,108,103,207,6196,6443,12636,7249,7429,14672,7770,7755,15530,148692,146986,295682,155273,153234,308505,154890,151524,306411,18540,18764,37303,20345,21046,41394,20682,21748,42430,162012,161539,323555,167559,167317,334880,166487,165980,332472,6975,7040,14011,8533,8642,17175,9253,9378,18630,161205,160816,322022,167054,166882,333935,168369,167770,336146
4GADE,565131,591827,1156957,600011,625224,1225235,633888,661823,1295714,33864,31832,65697,37499,36057,73556,39238,36906,76145,73441,69749,143186,73420,69656,143074,76657,73146,149800,39992,38403,78398,41041,39281,80320,40489,38894,79385,41687,40944,82630,44230,43070,87304,45495,44039,89535,74082,73786,147870,82044,81873,163917,88071,90237,178301,82877,85515,168387,83585,85348,168938,82983,84275,167253,79982,84562,164546,83774,87281,171049,85442,88637,174077,64069,67554,131616,71077,76325,147401,75675,82047,157723,39411,44572,83980,45102,50453,95556,57017,63808,120817,28092,38712,66807,28206,36248,64457,30457,38044,68502,7626,16208,23829,10040,19621,29664,12371,21797,34170,3409,4196,7602,4069,4627,8699,5054,6840,11901,5720,6128,11846,7130,7423,14546,8450,8888,17339,354,368,715,335,366,697,324,321,645,129,130,268,180,169,353,201,214,416,6202,6622,12827,7636,7962,15596,8977,9426,18403,401308,421398,822701,421431,438856,860280,434535,449707,884250,131097,138615,269717,150905,160039,310940,164565,176489,341062,456804,480341,937147,472765,493191,965951,478987,498145,977128,82146,88041,170187,102290,109741,212035,122891,132244,255134,492342,519981,1012321,513824,539382,1053205,536690,560730,1097418
49799,7,0,6,5,0,5,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,3,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,19,35,23,15,35,12,9,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,3,5,0,5,0,0,0,3,0,3,3,0,8,7,0,7,4,0,0,4,0,4,3,0,3,4,0,4,3,0,3,0,0,0,3,0,6
49499,1494,1125,2618,1778,1287,3069,1734,1129,2863,68,63,127,68,64,132,50,43,91,74,67,147,81,83,169,56,68,129,81,88,168,74,69,145,95,80,173,173,133,305,154,132,287,161,99,266,310,208,524,350,236,588,349,209,556,287,145,441,304,171,479,280,140,421,193,145,342,265,194,458,282,192,474,185,170,357,261,165,428,239,164,403,87,66,149,140,89,228,168,97,271,25,23,40,42,41,84,43,21,59,10,13,26,34,40,77,13,7,22,0,0,0,0,0,0,0,0,0,43,34,83,79,71,157,136,114,246,3,4,3,0,0,3,4,0,4,0,0,0,3,4,6,4,0,4,49,42,88,87,75,166,141,114,249,987,710,1699,1171,832,1996,1137,748,1886,354,309,658,383,288,668,366,235,605,1189,890,2075,1281,943,2231,1167,769,1933,163,145,312,184,157,336,196,150,347,1147,864,2013,1274,925,2196,1152,788,1941
3RQLD,1017264,1021871,2039128,1121239,1132488,2253723,1197426,1222294,2419724,68389,64722,133109,78825,74393,153224,76005,72221,148226,151079,142789,293868,157448,149611,307060,164017,155225,319243,70777,66714,137487,77296,72743,150045,76455,72830,149284,63947,62102,126056,68465,67605,136068,73189,71787,144979,125924,128848,254769,137178,141564,278743,147501,153661,301158,143904,151656,295561,153625,159940,313566,150306,158382,308690,142525,144400,286931,155517,160448,315963,161566,169397,330959,121647,117325,238977,137920,136894,274814,150381,155306,305688,75794,73852,149652,93796,92410,186201,121315,121125,242444,42593,50157,92751,47313,53282,100598,58621,63300,121922,10664,19301,29965,13854,23597,37453,18069,29061,47131,23836,26162,49994,20296,22814,43107,23979,29416,53393,34073,35705,69771,41947,43658,85600,49349,50872,100222,7853,7741,15594,8477,8565,17038,8810,8948,17756,4270,4413,8685,5214,5334,10547,6712,6825,13543,46200,47864,94058,55639,57554,113187,64873,66649,131520,790354,796724,1587073,859800,871220,1731017,893422,904142,1797567,146245,153895,300137,182155,193888,376044,199955,220134,420086,894764,906459,1801224,976009,994215,1970224,1009655,1031069,2040720,51822,57512,109336,70394,78747,149136,88915,102104,191020,876485,892077,1768557,952992,976323,1929320,1004462,1029693,2034156
3GBRI,910766,941733,1852501,1019555,1046438,2065998,1117452,1153351,2270800,63506,59954,123454,74139,70035,144169,75846,72050,147903,130250,124624,254878,138775,131552,270326,152224,144286,296503,67138,65133,132271,72847,70486,143337,74523,72056,146581,70537,71005,141542,78501,78112,156611,85533,85209,170741,131184,135414,266599,152132,154369,306504,169060,174171,343233,135398,142882,278282,149447,156121,305571,155864,162065,317932,122145,128170,250316,133763,139362,273129,145989,153071,299059,97915,98159,196080,109814,113743,223556,118736,126053,244790,52838,55771,108608,66110,68791,134899,86138,92065,178208,31366,42487,73851,33259,42348,75601,39855,47651,87505,8490,18138,26625,10771,21519,32290,13676,24673,38357,10262,12340,22599,10074,11836,21914,12921,17236,30161,13916,14612,28533,18062,18619,36689,23729,24307,48040,1406,1307,2714,1531,1458,2984,1661,1559,3226,866,901,1767,1085,1152,2237,1418,1477,2894,16191,16822,33018,20680,21228,41903,26813,27347,54158,656336,683587,1339921,714707,738192,1452895,760476,778334,1538813,194768,201531,396294,250135,259023,509159,287771,304822,592593,765554,794355,1559906,835404,860209,1695612,874756,896353,1771105,91773,101116,192886,131137,142504,273644,173738,191620,365356,773396,810440,1583834,844029,879070,1723101,908184,940827,1849010
39799,83,11,99,275,193,473,66,87,150,0,0,0,0,3,0,0,3,3,0,0,0,13,5,22,0,0,4,4,0,3,14,5,18,3,5,11,11,5,12,37,18,56,3,4,11,14,0,16,50,13,66,4,6,11,18,0,15,42,23,59,7,3,14,22,3,24,45,31,79,10,7,24,15,3,23,41,35,70,7,19,30,8,0,8,19,34,57,13,16,33,0,0,0,17,27,42,7,7,16,0,0,0,3,3,6,0,0,4,136,187,320,346,446,797,158,231,388,0,0,0,6,0,6,0,3,6,10,0,6,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,8,0,10,11,0,11,0,5,3,47,10,57,159,122,281,43,50,89,32,3,33,67,44,110,18,20,40,63,10,76,210,150,359,56,56,110,11,3,15,27,14,40,7,10,21,73,11,81,184,142,329,51,65,116
39499,7268,5542,12806,7153,5396,12543,6937,5572,12510,273,233,510,260,231,494,182,160,339,381,329,713,285,284,563,249,233,489,253,283,535,269,252,520,212,203,408,750,548,1295,572,543,1119,559,576,1133,1279,926,2209,1218,882,2100,1288,1005,2293,1093,617,1706,967,587,1555,964,514,1485,1059,860,1918,984,730,1711,975,688,1663,1273,1206,2473,1440,1207,2644,1147,1224,2373,739,423,1162,929,551,1483,1120,798,1916,137,76,209,201,94,292,225,153,381,28,46,67,22,27,51,19,18,44,0,0,0,0,0,0,0,0,0,245,165,409,345,253,601,423,255,678,30,22,58,44,27,71,42,24,67,13,16,33,32,21,49,21,29,51,296,204,495,419,307,720,488,310,799,4621,3580,8208,4500,3421,7922,4186,3164,7348,1621,1360,2982,1789,1524,3316,1580,1575,3157,5868,4610,10476,5453,4307,9760,4759,3934,8697,453,404,859,515,503,1019,636,657,1293,5370,4205,9572,4917,3868,8782,4444,3602,8050
2RVIC,628734,650228,1278965,661408,684305,1345717,704128,729694,1433818,39155,37772,76930,43611,41048,84656,43001,40662,83665,93600,88553,182151,89124,84797,173921,90754,86052,176804,46309,43675,89982,47312,44438,91749,44925,42043,86967,35196,33801,68994,37978,36236,74215,40923,38606,79529,66578,69625,136211,68618,72298,140914,76820,80178,157001,84765,90745,175506,83109,88838,171952,80170,85363,165539,91268,93628,184902,92672,97451,190127,92963,99158,192122,78045,78023,156072,90117,91527,181652,97495,102238,199728,52407,54691,107096,62362,63878,126246,81432,83397,164829,33181,42628,75808,35595,42986,78583,41289,47547,88833,8232,17083,25314,10903,20800,31704,14351,24446,38801,2151,2472,4628,2680,2940,5625,3501,4212,7717,6881,7400,14273,8920,9485,18402,10799,11240,22032,438,460,895,447,446,894,436,422,861,197,211,407,189,192,380,297,259,551,7513,8065,15582,9559,10126,19680,11531,11912,23444,530378,549208,1079586,556846,578095,1134934,568777,588241,1157016,62187,64381,126570,70305,72822,143126,77153,80839,157988,571716,594548,1166266,595890,621133,1217020,607852,633556,1241408,28665,30193,58862,34700,36439,71130,41964,44525,86498,572543,596398,1168939,597942,624990,1222933,618924,646010,1264937
2GMEL,1788040,1858982,3647019,1966504,2033479,3999981,2199597,2285616,4485211,117314,111335,228652,133263,126368,259633,147382,139793,287178,237069,224842,461916,246263,233288,479551,273047,259469,532524,125058,119736,244793,129460,123628,253091,136742,132275,269015,135470,133364,268828,152174,147683,299849,168363,165007,333367,266224,273751,539975,307358,310600,617962,359284,371061,730345,274849,289930,564780,293067,308176,601245,314991,324092,639084,241612,252344,493955,261890,273444,535332,285775,301538,587317,185246,192605,377848,207697,221146,428841,229601,247299,476902,113576,124597,238177,132290,143294,275585,163110,181172,344283,72788,96801,169584,77703,97964,175660,88091,107963,196050,18830,39671,58500,25344,47893,73236,33202,55950,89151,13897,15836,29731,17664,20790,38454,27943,37432,65378,6271,6440,12713,8049,8219,16270,11065,11247,22309,675,634,1310,638,621,1257,589,562,1154,217,232,449,257,245,497,282,327,604,7167,7307,14471,8941,9079,18023,11933,12136,24062,1148559,1202279,2350834,1242304,1288469,2530774,1322366,1361718,2684080,511409,533519,1044927,616376,643591,1259966,738906,781344,1520253,1221550,1275696,2497243,1303630,1348960,2652595,1371118,1410070,2781188,460663,486853,947516,565475,597407,1162882,702072,748867,1450937,1503154,1580866,3084020,1624765,1696612,3321372,1749174,1819643,3568816
29799,49,3,51,36,0,36,28,4,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,4,0,4,10,0,10,4,0,4,17,0,17,3,0,3,3,0,3,6,0,6,8,0,14,11,0,11,8,0,11,11,0,11,5,0,5,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,25,78,62,10,73,16,14,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,3,31,19,0,19,17,0,17,11,0,11,13,0,13,6,4,6,32,3,38,34,0,36,18,0,18,8,0,8,0,0,0,7,4,10,38,3,37,31,0,28,25,4,27
29499,3598,2798,6394,4672,3636,8307,4331,3238,7565,193,157,353,232,220,448,215,163,379,190,192,385,307,281,588,173,197,367,206,194,402,232,258,492,180,178,357,465,422,882,532,507,1037,447,453,898,983,710,1692,1093,905,2000,1052,795,1848,669,374,1045,898,522,1415,813,479,1295,389,262,653,630,381,1010,628,347,975,290,264,557,401,345,748,460,352,816,137,108,247,250,147,394,283,204,482,56,59,117,71,39,112,72,49,121,15,45,56,22,32,55,9,28,38,0,0,0,0,0,0,0,0,0,53,23,83,169,109,271,146,102,247,6,8,7,3,0,5,13,7,16,5,0,5,0,3,3,3,6,11,62,31,90,173,112,281,160,117,279,2250,1763,4015,2952,2252,5202,2581,1804,4389,953,745,1700,1212,1021,2235,1057,952,2011,2648,2089,4741,2840,2367,5206,2372,1835,4201,600,462,1058,732,684,1416,698,692,1393,2671,2079,4751,2863,2378,5238,2454,1897,4355
1RNSW,1193752,1226014,2419769,1239007,1273940,2512952,1301717,1341813,2643536,76609,72570,149173,81546,77732,159284,79636,74976,154615,175957,167805,343756,168731,160096,328824,169451,161194,330645,85913,81029,166947,85914,80956,166873,81832,77694,159525,68249,64905,133151,71870,69238,141115,75449,72109,147560,127337,131760,259094,129000,132943,261942,143234,147152,290388,158326,168080,326401,153093,162928,316022,148516,156403,304924,171533,174596,346124,173640,179930,353569,169896,178659,348557,148495,147656,296149,166117,166864,332977,178427,185530,363959,102563,107035,209597,119663,122891,242552,150284,152945,303231,63853,79999,143855,68880,82374,151252,78420,90318,168736,14929,30593,45519,20565,37979,58543,26562,44829,71398,4885,5563,10443,5510,5827,11342,6193,7537,13728,44366,45470,89840,55083,56921,112000,69159,70314,139473,1369,1242,2614,1411,1368,2780,1508,1376,2880,1090,1005,2094,1115,1066,2182,1437,1390,2830,46824,47719,94547,57602,59358,116960,72102,73085,145189,999768,1028235,2028004,1037484,1069005,2106486,1055655,1084118,2139772,120545,125204,245745,132579,139180,271761,143260,152549,295805,1083028,1120117,2203146,1115892,1156297,2272193,1131372,1170957,2302328,52242,55541,107784,61339,65724,127069,73164,79365,152530,1082746,1121328,2204081,1118649,1161895,2280547,1150097,1193469,2343561
