GCCSA_CODE_2016,C16_1PF_lf_ns_Fi_1000_1499,C16_1PF_lf_ns_Fi_1500_1999,C16_1PF_lf_ns_Fi_2000_2499,C16_1PF_lf_ns_Fi_2500_2999,C16_1PF_lf_ns_Fi_3000_3999,C16_1PF_LFns_4000mo,C16_1PF_LFns_Ns,C16_1PF_LF_NS_T,C16_1PF_TFI_N,C16_1PF_TFI_1_149,C16_1PF_TFI_150_299,C16_1PF_TFI_300_399,C16_1PF_TFI_400_499,C16_1PF_TFI_500_649,C16_1PF_T_Fi_650_799,C16_1PF_T_Fi_800_999,C16_1PF_T_Fi_1000_1499,C16_1PF_T_Fi_1500_1999,C16_1PF_T_Fi_2000_2499,C16_1PF_T_Fi_2500_2999,C16_1PF_T_Fi_3000_3999,C16_1PF_TFI_4000_mr,C16_One_par_f_TFI_Ns,C16_One_parent_f_T_T,C16_TFI_N,C16_TFI_1_149,C16_TFI_150_299,C16_TFI_300_399,C16_TFI_400_499,C16_TFI_500_649,C16_TFI_650_799,C16_TFI_800_999,C16_TFI_1000_1499,C16_TFI_1500_1999,C16_TFI_2000_2499,C16_TFI_2500_2999,C16_TFI_3000_3999,C16_TFI_4000_more,C16_TFI_Ns,C16_T_T
6RTAS,8,10,0,0,3,0,106,168,118,87,405,672,1010,1702,1666,1468,2205,965,453,145,102,57,1489,12544,525,412,732,869,3326,3343,9050,6312,14574,9736,7702,4471,3485,2152,8485,75165
6GHOB,5,3,3,0,0,0,68,100,105,53,279,449,707,1291,1235,1289,2172,1106,598,185,158,63,1187,10877,390,203,482,548,1660,2147,4636,4115,10308,7786,7167,4513,4512,3043,5891,57396
69799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5RWAU,18,8,0,0,0,0,249,345,336,202,775,973,1379,2113,2136,1818,3045,1618,1049,339,388,212,2408,18789,1211,766,1305,1309,4193,3985,9731,7190,17869,14872,15161,10232,11659,9294,18423,127211
5GPER,36,25,16,3,5,4,482,681,1903,770,2205,2633,4133,6666,6668,7053,14029,8520,5798,2462,2304,1230,8180,74556,6194,2573,4303,3946,12026,12867,29920,25487,68370,59147,63771,44955,55036,53870,63657,506109
59799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4RSAU,5,3,4,0,0,0,168,224,159,131,548,802,1222,1931,1902,1747,2464,1137,484,156,132,71,1817,14707,765,635,1009,1063,4317,3941,11477,8147,19150,12604,10232,5943,4830,3058,11569,98730
4GADE,41,8,4,3,3,0,374,527,911,512,1570,2079,3495,6166,6456,6594,11620,6387,3427,1307,988,509,6413,58427,3363,1760,2917,2903,10175,11384,27933,23504,58250,44467,41345,27464,27045,20605,34605,337723
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3RQLD,78,39,14,6,3,5,784,1145,1704,899,2903,4066,6958,12190,12695,12528,20710,10064,5244,1836,1574,737,10868,104978,6313,3531,5471,5729,20634,22180,55556,43200,107798,80406,73214,46611,44887,31823,73507,620867
3GBRI,66,32,12,8,6,6,621,917,1815,753,2285,3127,5240,9154,9710,10436,19945,11479,6842,2767,2293,1166,9310,96326,6005,2646,4316,4465,14257,16660,38506,34104,90041,74994,75057,51977,58440,50569,58338,580385
39799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2RVIC,58,30,13,0,0,6,518,789,725,504,1757,2638,4492,7357,7419,7155,11051,5067,2452,865,692,390,7266,59832,3339,2278,3382,3573,13765,13579,35714,27932,68128,48769,41634,25115,21390,14704,42374,365663
2GMEL,130,54,19,16,11,7,1367,1904,4975,1915,5254,5733,8952,14475,15717,17691,33632,20355,12636,5311,5021,2650,20459,174769,18103,6974,10622,9113,30338,30795,70951,64378,169889,143014,143632,99496,111145,108779,121385,1138614
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1RNSW,103,41,19,6,6,13,1062,1566,1488,951,3469,5025,8352,14015,14631,14348,22654,11133,5833,2103,1637,860,14353,120862,5794,3724,6175,6695,24857,24949,68496,49994,122249,85961,76112,49046,47343,34124,78221,683729
1GSYD,123,77,44,11,15,15,1410,1975,4903,1779,5201,5666,9418,14409,16121,17620,35615,23165,15985,7470,7750,4310,20617,190048,19374,6743,10486,9296,30657,31247,70275,62246,165852,141485,147730,106537,137789,157260,127073,1224059
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
