GCCSA_CODE_2016,C06_F_55_59_Em_FT,C06_F_55_59_Em_PT,C06_F_55_59_Em_AFW,C06_F_55_59_Em_Hrs_NS,C06_F_55_59_Em_Tot,C06_F_55_59_Unem_Look_FT,C06_F_55_59_Unem_Look_PT,C06_F_55_59_Unem_Tot,C06_F_55_59_Tot_LF,C06_F_55_59_Notin_LF,C06_F_55_59_LF_NS,C06_F_55_59_Tot,C06_F_60_64_Em_FT,C06_F_60_64_Em_PT,C06_F_60_64_Em_AFW,C06_F_60_64_Em_Hrs_NS,C06_F_60_64_Em_Tot,C06_F_60_64_Unem_Look_FT,C06_F_60_64_Unem_Look_PT,C06_F_60_64_Unem_Tot,C06_F_60_64_Tot_LF,C06_F_60_64_Notin_LF,C06_F_60_64_LF_NS,C06_F_60_64_Tot,C06_F_65_69_Em_FT,C06_F_65_69_Em_PT,C06_F_65_69_Em_AFW,C06_F_65_69_Em_Hrs_NS,C06_F_65_69_Em_Tot,C06_F_65_69_Unem_Look_FT,C06_F_65_69_Unem_Look_PT,C06_F_65_69_Unem_Tot,C06_F_65_69_Tot_LF,C06_F_65_69_Notin_LF,C06_F_65_69_LF_NS,C06_F_65_69_Tot,C06_F_70_74_Em_FT,C06_F_70_74_Em_PT,C06_F_70_74_Em_AFW,C06_F_70_74_Em_Hrs_NS,C06_F_70_74_Em_Tot,C06_F_70_74_Unem_Look_FT,C06_F_70_74_Unem_Look_PT,C06_F_70_74_Unem_Tot,C06_F_70_74_Tot_LF,C06_F_70_74_Notin_LF,C06_F_70_74_LF_NS,C06_F_70_74_Tot,C06_F_75ov_Em_FT,C06_F_75ov_Em_PT,C06_F_75ov_Em_AFW,C06_F_75ov_Em_Hrs_NS,C06_F_75andOver_Em_Tot,C06_F_75over_Unem_Lo_ft_wo,C06_F_75ov_Unem_Lo_pt_wor,C06_F_75andOver_Unemp_Tot,C06_F_75over_Tot_lab_for,C06_F_75over_N_lab_forc,C06_F_75over_LF_NS,C06_F_75over_Tot,C06_F_Tot_Em_FT,C06_F_Tot_Em_PT,C06_F_Tot_Em_AFW,C06_F_Tot_Em_Hrs_NS,C06_F_Tot_Em_Tot,C06_F_Tot_Unem_Look_FT,C06_F_Tot_Unem_Look_PT,C06_F_Tot_Unem_Tot,C06_F_T_T_labo_for,C06_F_Tot_Notin_LF,C06_F_Tot_LF_NS,C06_F_T_T,C11_F_15_19_Em_FT,C11_F_15_19_Em_PT,C11_F_15_19_Em_AFW,C11_F_15_19_Em_Hrs_NS,C11_F_15_19_Em_Tot,C11_F_15_19_Unem_Look_FT,C11_F_15_19_Unem_Look_PT,C11_F_15_19_Unem_Tot,C11_F_15_19_Tot_LF,C11_F_15_19_Notin_LF,C11_F_15_19_LF_NS,C11_F_15_19_Tot,C11_F_20_24_Em_FT,C11_F_20_24_Em_PT,C11_F_20_24_Em_AFW,C11_F_20_24_Em_Hrs_NS,C11_F_20_24_Em_Tot,C11_F_20_24_Unem_Look_FT,C11_F_20_24_Unem_Look_PT,C11_F_20_24_Unem_Tot,C11_F_20_24_Tot_LF,C11_F_20_24_Notin_LF,C11_F_20_24_LF_NS,C11_F_20_24_Tot,C11_F_25_29_Em_FT,C11_F_25_29_Em_PT,C11_F_25_29_Em_AFW,C11_F_25_29_Em_Hrs_NS,C11_F_25_29_Em_Tot,C11_F_25_29_Unem_Look_FT,C11_F_25_29_Unem_Look_PT,C11_F_25_29_Unem_Tot,C11_F_25_29_Tot_LF,C11_F_25_29_Notin_LF,C11_F_25_29_LF_NS,C11_F_25_29_Tot,C11_F_30_34_Em_FT,C11_F_30_34_Em_PT,C11_F_30_34_Em_AFW,C11_F_30_34_Em_Hrs_NS,C11_F_30_34_Em_Tot,C11_F_30_34_Unem_Look_FT,C11_F_30_34_Unem_Look_PT,C11_F_30_34_Unem_Tot,C11_F_30_34_Tot_LF,C11_F_30_34_Notin_LF,C11_F_30_34_LF_NS,C11_F_30_34_Tot,C11_F_35_39_Em_FT,C11_F_35_39_Em_PT,C11_F_35_39_Em_AFW,C11_F_35_39_Em_Hrs_NS,C11_F_35_39_Em_Tot,C11_F_35_39_Unem_Look_FT,C11_F_35_39_Unem_Look_PT,C11_F_35_39_Unem_Tot,C11_F_35_39_Tot_LF,C11_F_35_39_Notin_LF,C11_F_35_39_LF_NS,C11_F_35_39_Tot,C11_F_40_44_Em_FT,C11_F_40_44_Em_PT,C11_F_40_44_Em_AFW,C11_F_40_44_Em_Hrs_NS,C11_F_40_44_Em_Tot,C11_F_40_44_Unem_Look_FT,C11_F_40_44_Unem_Look_PT,C11_F_40_44_Unem_Tot,C11_F_40_44_Tot_LF,C11_F_40_44_Notin_LF,C11_F_40_44_LF_NS,C11_F_40_44_Tot,C11_F_45_49_Em_FT,C11_F_45_49_Em_PT,C11_F_45_49_Em_AFW,C11_F_45_49_Em_Hrs_NS,C11_F_45_49_Em_Tot,C11_F_45_49_Unem_Look_FT,C11_F_45_49_Unem_Look_PT,C11_F_45_49_Unem_Tot,C11_F_45_49_Tot_LF,C11_F_45_49_Notin_LF,C11_F_45_49_LF_NS,C11_F_45_49_Tot,C11_F_50_54_Em_FT,C11_F_50_54_Em_PT,C11_F_50_54_Em_AFW,C11_F_50_54_Em_Hrs_NS,C11_F_50_54_Em_Tot,C11_F_50_54_Unem_Look_FT,C11_F_50_54_Unem_Look_PT,C11_F_50_54_Unem_Tot,C11_F_50_54_Tot_LF,C11_F_50_54_Notin_LF,C11_F_50_54_LF_NS,C11_F_50_54_Tot,C11_F_55_59_Em_FT,C11_F_55_59_Em_PT,C11_F_55_59_Em_AFW,C11_F_55_59_Em_Hrs_NS,C11_F_55_59_Em_Tot,C11_F_55_59_Unem_Look_FT,C11_F_55_59_Unem_Look_PT,C11_F_55_59_Unem_Tot,C11_F_55_59_Tot_LF,C11_F_55_59_Notin_LF,C11_F_55_59_LF_NS,C11_F_55_59_Tot,C11_F_60_64_Em_FT,C11_F_60_64_Em_PT,C11_F_60_64_Em_AFW,C11_F_60_64_Em_Hrs_NS,C11_F_60_64_Em_Tot,C11_F_60_64_Unem_Look_FT,C11_F_60_64_Unem_Look_PT,C11_F_60_64_Unem_Tot,C11_F_60_64_Tot_LF,C11_F_60_64_Notin_LF,C11_F_60_64_LF_NS,C11_F_60_64_Tot,C11_F_65_69_Em_FT,C11_F_65_69_Em_PT,C11_F_65_69_Em_AFW,C11_F_65_69_Em_Hrs_NS,C11_F_65_69_Em_Tot,C11_F_65_69_Unem_Look_FT,C11_F_65_69_Unem_Look_PT,C11_F_65_69_Unem_Tot
6RTAS,1905,2294,290,97,4587,127,122,250,4843,4499,340,9674,737,1024,148,53,1960,36,52,85,2043,5386,374,7812,158,374,45,30,616,3,4,11,618,5342,374,6338,45,140,23,17,221,3,0,3,224,4375,480,5079,41,56,19,27,136,3,3,7,143,9498,1577,11215,21893,26224,2703,1250,52074,2104,1813,3916,55994,50333,5625,111953,748,2835,206,108,3898,312,454,768,4663,4048,316,9025,2274,1960,226,97,4553,317,195,511,5069,2061,251,7379,2440,1854,323,70,4689,165,164,329,5020,2238,229,7480,1822,2404,399,70,4707,165,183,346,5049,2353,268,7671,2178,3322,294,90,5884,175,179,359,6236,2391,316,8941,2935,3830,265,93,7120,202,199,405,7524,2280,307,10116,3444,3682,300,106,7534,207,145,353,7892,2142,291,10328,3486,3473,408,105,7477,187,139,323,7799,2605,333,10746,2347,2883,354,85,5671,124,115,234,5903,3823,338,10064,1102,1946,273,58,3381,57,88,143,3526,5956,383,9870,271,677,76,36,1061,3,17,21
6GHOB,1724,1697,214,70,3704,51,66,119,3821,2643,285,6753,575,843,91,40,1536,18,23,38,1581,3297,250,5133,108,277,38,21,443,0,10,10,449,3532,233,4223,17,82,14,14,120,0,3,3,128,3160,290,3574,30,52,9,13,105,0,0,0,105,7774,1032,8916,19867,20790,2123,951,43728,1146,1290,2438,46170,34525,4468,85157,510,2258,131,93,2995,177,343,525,3520,3007,244,6763,2218,2211,213,84,4721,240,199,443,5168,1778,275,7220,2653,1681,320,56,4712,157,131,292,5005,1591,258,6854,1997,2006,378,47,4429,105,114,215,4645,1578,233,6454,2024,2732,317,62,5149,100,103,206,5347,1558,235,7145,2399,2921,198,79,5601,95,112,208,5809,1425,230,7462,2956,2634,216,73,5879,100,97,200,6071,1272,237,7583,3080,2581,282,80,6024,101,66,171,6195,1544,269,8007,2055,2150,250,70,4520,62,71,129,4652,2382,254,7293,960,1428,161,34,2581,28,42,68,2655,3687,237,6578,187,498,46,18,747,0,12,8
69799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,7,0,0,0,11,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,3,3,0,0,0,5,0,0,0,5,0,0,3,0,0,3,0,3,0,0,0,3,0,0,3,0,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,3,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,0
69499,8,6,3,0,16,0,0,0,18,22,0,32,0,0,0,0,0,0,0,0,0,20,0,25,0,0,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,15,3,17,61,39,11,3,114,31,13,43,164,180,22,360,0,3,0,0,7,3,4,9,12,33,5,52,4,9,0,0,12,3,0,4,19,22,6,43,15,3,5,0,18,6,0,3,24,18,0,50,3,3,0,0,9,0,0,0,11,14,3,28,6,0,0,0,6,3,3,8,9,8,0,26,11,5,0,0,12,6,0,4,17,11,0,35,11,7,0,0,12,3,0,3,19,12,0,38,9,4,0,0,13,0,4,3,17,11,0,33,0,3,0,0,8,0,0,7,8,18,0,30,3,0,0,0,3,0,0,0,3,32,3,44,0,0,0,0,0,0,0,0
5RWAU,3281,3199,482,144,7103,87,118,206,7312,4669,824,12805,1296,1653,233,97,3275,31,53,83,3363,5484,703,9552,381,699,117,55,1250,3,9,12,1264,5682,555,7497,147,220,43,30,441,0,3,5,444,4752,506,5703,103,140,21,45,308,3,3,8,320,9309,1606,11230,41325,40150,4511,2496,88479,1968,1891,3863,92337,60582,13063,165986,2140,3982,300,255,6678,456,413,866,7550,5688,933,14170,5337,2410,402,197,8344,405,229,637,8983,3281,1118,13379,5976,3085,660,166,9885,299,251,545,10428,4431,1290,16147,4342,4255,714,168,9478,272,278,553,10023,4872,1198,16094,4722,5594,619,185,11121,270,278,557,11671,4542,1313,17530,5888,6113,587,224,12808,305,284,591,13405,3619,1193,18216,6563,5379,593,205,12743,277,198,478,13218,3039,1102,17356,6425,5052,710,216,12404,203,137,348,12754,3339,1023,17118,4560,4177,617,155,9511,112,122,233,9748,4523,818,15088,2135,2822,434,115,5509,54,81,138,5645,6555,744,12948,641,1096,155,69,1954,11,16,21
5GPER,12763,12468,1421,539,27199,237,365,601,27799,17357,2364,47520,4464,6333,714,289,11805,98,167,265,12069,20505,1934,34511,894,2111,209,122,3327,12,34,44,3374,22727,1925,28026,169,603,69,48,887,4,9,15,899,20423,1960,23278,147,303,57,90,598,10,12,18,619,45189,6786,52598,158394,152239,14843,7834,333306,5680,8017,13696,347007,236182,38652,621838,5697,19915,1133,867,27613,1425,2660,4091,31705,23131,2626,57460,23226,17902,1788,956,43875,1686,1707,3394,47268,12624,3265,63158,29692,12600,2308,604,45204,1250,1072,2317,47526,13558,3584,64665,20857,15164,2913,503,39439,906,1105,2006,41447,15987,3154,60588,17856,19874,2302,611,40643,834,1194,2024,42667,16836,2944,62448,20609,22774,1771,684,45842,893,1231,2121,47962,13820,2826,64608,23013,20865,1779,669,46325,857,867,1722,48046,11287,2494,61833,22033,17812,1921,595,42362,686,660,1343,43702,11690,2315,57708,16239,15019,1741,505,33508,377,467,846,34352,15360,2204,51916,8176,11123,1273,307,20878,184,311,500,21382,23057,2114,46543,1835,4148,434,128,6545,23,91,118
59799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,21,0,0,0,21,4,0,26,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,0,0,0,7,0,0,5,5,0,0,0,3,0,0,0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,3,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59499,35,19,3,0,56,3,3,11,70,200,27,291,10,8,4,0,20,0,0,0,23,166,16,204,3,0,0,0,3,0,0,0,3,99,21,125,0,0,0,0,0,0,0,0,0,39,4,47,0,0,0,0,3,0,0,0,3,19,6,30,499,239,69,19,823,98,36,130,954,1103,226,2288,13,16,0,0,27,17,8,25,50,29,24,111,87,42,8,0,140,20,13,29,163,74,36,274,117,51,11,7,185,26,3,29,214,71,42,334,87,33,13,3,138,5,13,22,154,95,44,295,44,23,3,0,69,5,3,10,85,80,52,216,53,23,8,8,81,15,5,20,101,61,35,198,42,29,14,3,83,17,4,20,105,48,28,177,57,29,6,0,97,12,3,15,112,94,29,235,43,35,12,0,90,5,3,11,98,196,43,337,25,23,9,4,55,0,5,7,59,204,21,282,8,4,0,0,6,0,0,0
4RSAU,2807,3154,379,135,6471,108,118,225,6693,4974,492,12165,1226,1735,196,86,3246,38,69,106,3351,6523,526,10401,333,642,81,53,1107,6,6,6,1120,6857,495,8477,119,216,37,39,415,4,0,6,423,5875,537,6840,88,119,32,41,279,9,3,8,284,13605,1848,15737,29605,34329,3298,1786,69019,1969,1808,3773,72793,60795,7472,141060,795,3763,227,174,4965,308,437,747,5712,4708,398,10821,2792,2150,263,138,5350,400,177,575,5920,2135,346,8406,3001,2416,468,103,5982,221,152,369,6352,2694,405,9450,2195,3193,436,87,5911,187,181,370,6278,2825,342,9448,2788,4193,372,114,7476,201,197,402,7876,2663,396,10941,3805,4849,341,136,9132,228,181,406,9539,2547,449,12537,4423,4644,403,168,9641,213,179,391,10034,2464,442,12936,4506,4645,465,125,9750,187,157,349,10094,2808,442,13343,3419,3752,459,99,7726,122,122,242,7963,4225,450,12641,1772,2760,344,92,4971,63,74,139,5107,7111,523,12739,498,1112,130,60,1795,8,13,25
4GADE,10066,9839,1039,374,21317,260,287,552,21873,15196,1382,38445,3559,4812,493,189,9051,82,150,228,9284,18577,1243,29101,606,1483,150,53,2289,7,32,37,2330,20137,1300,23769,115,488,51,41,698,11,3,14,711,18542,1549,20799,124,248,58,102,531,7,8,15,551,47859,6511,54918,116845,117758,11054,5406,251065,5963,6812,12780,263837,202559,23847,490246,2167,13892,734,554,17349,971,2253,3224,20568,17506,1214,39281,12494,14081,1166,661,28403,1433,1509,2941,31346,10194,1534,43070,17992,9700,1780,422,29901,1036,866,1898,31798,9191,1530,42517,13020,11055,2293,346,26717,731,786,1520,28238,9757,1360,39357,12020,14297,1691,406,28411,752,811,1564,29976,10033,1313,41324,14221,16116,1212,463,32013,687,754,1435,33449,9240,1332,44023,16367,15299,1121,434,33224,638,605,1245,34470,8215,1323,44003,16398,13481,1403,425,31700,520,458,985,32677,9268,1323,43272,12349,11169,1229,302,25053,345,369,711,25767,12423,1219,39408,6058,8052,867,245,15222,123,223,343,15565,20046,1306,36916,1264,2823,269,80,4435,10,41,49
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49499,9,10,3,0,18,0,0,3,17,60,6,87,3,3,3,0,12,0,0,3,9,71,5,82,0,3,0,0,7,0,0,0,7,37,5,40,3,0,0,0,3,0,0,0,3,11,4,23,0,0,0,0,0,0,0,0,0,25,8,31,198,110,32,15,354,46,24,74,430,476,83,991,4,7,0,0,12,8,7,15,31,29,9,69,25,19,0,0,51,11,7,14,68,54,14,132,41,26,4,0,68,7,3,15,81,37,14,136,23,18,3,0,45,7,0,12,51,42,8,106,18,17,4,0,36,8,3,6,46,40,13,96,17,7,0,0,31,6,0,4,37,35,10,79,10,7,0,0,16,7,3,7,25,35,13,73,13,11,3,0,29,10,3,13,44,61,13,117,12,4,0,0,19,0,6,3,25,50,6,84,3,7,3,0,13,0,0,0,13,65,3,86,0,0,0,0,0,0,0,0
3RQLD,15995,14930,1486,760,33162,767,656,1420,34581,26797,3499,64877,6507,7939,806,451,15701,240,332,567,16269,33010,3177,52453,1727,2789,331,207,5052,20,38,59,5108,33060,3115,41288,555,933,109,134,1730,10,12,23,1755,27663,3154,32570,384,481,120,204,1187,15,24,38,1224,57117,11106,69450,202427,189947,16490,10451,419319,12058,12057,24111,443427,315300,55628,814359,7876,26010,1327,1316,36535,2579,3572,6153,42685,26365,3698,72743,24032,17302,1732,963,44030,2694,1838,4529,48562,14822,4226,67605,27405,15651,2840,795,46690,1769,1485,3252,49942,17183,4186,71311,21461,19389,3000,739,44592,1393,1459,2852,47444,18896,3916,70251,23894,24988,2444,909,52232,1509,1676,3187,55413,18858,4030,78308,28575,26756,1934,1020,58290,1785,1616,3403,61692,15893,4041,81626,31460,25472,2025,1001,59958,1717,1245,2963,62923,14661,3925,81512,29809,22680,2193,912,55594,1464,1083,2550,58144,16976,3813,78933,20793,18419,2017,699,41930,934,821,1758,43690,23519,3323,70535,10713,12950,1384,553,25600,460,618,1075,26677,36358,3319,66354,2996,4987,508,271,8760,33,137,177
3GBRI,16229,13427,1391,576,31616,411,468,882,32501,21542,2558,56601,6134,6772,723,323,13959,142,194,336,14297,25145,2119,41560,1100,2181,177,148,3599,8,47,50,3649,25443,1891,30986,263,632,73,54,1018,15,12,25,1049,21724,2013,24785,248,367,71,92,773,12,7,21,792,50505,9323,60620,215990,177554,16683,9371,419595,9689,11120,20816,440411,272908,43835,757156,5792,25311,1200,1069,33373,2266,4104,6372,39745,28002,2742,70486,27056,22485,1987,1147,52672,2736,2481,5217,57886,16690,3531,78112,36604,15746,3079,816,56242,2036,1450,3483,59729,16134,3656,79512,28846,18228,3904,660,51640,1471,1426,2892,54533,17125,3199,74858,27166,23300,3049,740,54250,1460,1528,2988,57238,18087,3070,78394,29731,24553,1961,853,57087,1335,1290,2632,59719,15051,2955,77728,30455,21355,1795,837,54440,1269,1020,2290,56727,12965,2569,72268,27917,18479,1919,763,49071,995,752,1750,50820,13853,2422,67095,19693,14923,1651,535,36806,677,575,1253,38062,19131,2175,59365,10321,11039,1229,360,22948,248,389,637,23591,28574,2211,54377,2273,4167,400,154,6996,30,85,119
39799,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,7,0,0,0,14,0,0,11,0,0,0,0,3,0,0,0,3,5,0,5,6,3,0,0,9,0,0,0,9,0,0,18,3,3,0,0,11,0,0,0,7,0,0,11,0,0,0,0,0,0,0,0,3,0,0,4,3,7,0,0,10,0,0,0,10,0,0,13,3,4,3,0,9,0,0,0,9,0,0,6,3,0,0,0,4,0,0,0,8,3,0,13,11,0,0,0,19,0,0,0,18,0,0,22,4,3,0,0,5,0,0,0,5,0,4,16,4,3,0,0,6,0,0,0,6,8,4,21,0,3,0,0,3,0,0,0
39499,80,50,16,6,151,16,19,31,177,455,52,690,20,24,5,0,57,9,7,15,73,404,36,512,0,3,3,0,8,0,0,0,5,286,28,314,0,3,0,0,3,0,0,0,3,86,15,107,4,0,0,3,9,0,0,0,8,80,27,121,813,552,100,37,1509,249,137,388,1895,2579,496,4978,24,38,8,0,64,26,12,42,104,96,50,252,139,97,15,9,253,44,27,70,326,155,64,543,151,81,17,9,262,41,13,59,318,162,56,535,69,51,11,0,137,23,7,34,168,143,38,340,60,39,8,0,107,25,11,27,140,125,35,306,46,35,14,0,100,29,8,31,130,107,50,289,59,37,9,0,113,17,4,28,133,132,28,301,72,58,15,3,143,28,20,49,188,200,45,433,60,49,9,0,119,23,13,38,152,357,52,560,28,38,8,0,72,18,4,26,98,499,53,646,6,13,0,0,24,0,5,3
2RVIC,9654,11490,1395,481,23020,400,442,843,23860,17640,1717,43223,3743,5858,797,322,10719,162,202,361,11083,22135,1586,34803,1119,2024,297,158,3597,14,23,38,3633,23903,1893,29426,445,761,135,94,1433,11,8,18,1450,21591,2217,25263,319,477,131,168,1096,14,16,39,1132,49800,8773,59709,109002,128764,12425,6267,256459,7942,7687,15627,272093,223877,27933,523898,2983,15402,965,688,20030,1052,2059,3110,23141,19657,1646,44438,11638,10829,1087,601,24151,1337,980,2312,26465,8358,1414,36236,13359,8363,1723,372,23825,780,676,1454,25279,9259,1385,35921,9443,11344,1880,339,23010,639,690,1333,24344,10692,1341,36377,10509,15898,1551,462,28425,622,796,1422,29846,10994,1539,42376,13680,17992,1223,587,33485,664,820,1480,34968,9875,1625,46468,16659,17882,1364,639,36536,670,658,1324,37867,8876,1663,48398,16992,16738,1751,568,36054,597,551,1149,37197,10195,1657,49052,12325,14295,1667,421,28710,413,475,888,29596,15342,1690,46620,5880,9951,1232,340,17404,195,304,503,17908,25128,1877,44913,1592,3617,440,219,5870,16,54,70
2GMEL,28307,26944,2683,1277,59209,993,1055,2053,61260,43010,5534,109803,10284,14499,1461,644,26888,309,441,747,27640,50333,4825,82805,2054,4840,508,243,7649,35,95,127,7771,54361,4766,66897,493,1545,164,144,2346,13,34,43,2392,50241,5064,57697,415,915,186,251,1762,32,53,81,1846,114518,20107,136473,396185,343139,32486,19673,791482,20729,23927,44655,836139,591600,95055,1522795,5314,37080,1870,1736,46000,2029,7271,9296,55296,63677,4660,123628,44975,44933,3414,2687,96009,4447,5305,9755,105766,34946,6966,147683,77263,29207,5289,2023,113789,4055,2654,6709,120497,30627,7996,159113,59594,34106,7459,1456,102619,2794,2514,5305,107921,36632,6932,151484,48164,46230,6114,1582,102090,2359,2862,5221,107311,39940,6250,153497,50477,52108,3818,1719,108118,2371,2835,5204,113328,35270,6089,154680,52895,45662,3016,1822,103399,2174,2314,4485,107884,28446,5348,141682,48790,39544,3516,1612,93468,1801,1683,3475,96945,29646,5171,131764,34597,31105,3094,1148,69946,1200,1258,2464,72412,38527,4665,115601,16822,22723,2271,789,42595,498,778,1276,43868,56969,4703,105543,3971,8569,844,351,13739,45,181,231
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29499,25,19,0,0,46,3,4,5,54,86,18,155,8,14,0,0,23,0,0,0,22,71,11,108,3,0,0,0,5,0,0,0,3,50,14,68,0,0,0,3,4,0,0,0,4,33,6,45,0,0,0,0,3,0,0,0,3,81,30,109,531,345,60,35,967,129,71,200,1170,1029,245,2446,18,39,0,4,62,11,23,33,88,119,56,258,113,77,10,4,198,27,29,59,263,155,91,507,155,78,14,3,249,42,14,58,311,163,75,543,91,53,8,5,154,28,15,43,192,118,54,359,44,42,6,3,102,16,12,23,126,112,44,276,32,36,3,3,75,16,12,19,95,93,52,249,25,20,7,5,50,11,3,21,67,89,40,198,19,29,3,3,59,13,3,18,73,79,26,182,18,27,3,0,50,10,4,15,60,103,20,180,7,22,0,0,34,7,0,7,43,112,14,167,7,0,0,0,8,0,0,0
1RNSW,17637,18441,2031,840,38952,932,908,1838,40788,35987,3192,79965,6996,9680,1070,466,18213,344,452,797,19012,45608,3075,67686,2029,3580,382,239,6227,27,65,91,6318,47984,3381,57683,806,1328,186,190,2510,16,25,38,2546,42963,3843,49351,618,815,187,271,1897,25,23,49,1944,95479,13169,110595,202623,226266,20496,11174,460563,17275,16614,33890,494447,439786,51412,985645,6585,26753,1878,1251,36475,2259,3941,6197,42676,35015,3268,80956,21492,19279,1972,1085,43834,2649,2066,4719,48548,17616,3078,69238,23405,15587,2961,677,42629,1680,1361,3039,45674,17443,2712,65829,18172,20707,3433,649,42959,1353,1509,2863,45830,18668,2623,67115,21442,27743,2767,861,52811,1468,1654,3121,55936,19481,3068,78484,27521,30201,2113,1006,60840,1494,1624,3121,63958,17302,3190,84452,31978,29614,2216,992,64794,1568,1338,2910,67704,17287,3151,88144,32911,28210,2774,1001,64899,1303,1119,2421,67323,21085,3372,91780,23027,22988,2568,738,49318,822,941,1770,51087,30520,3240,84850,11160,15628,1695,563,29048,398,646,1045,30091,48531,3384,82010,3152,5855,684,312,10003,28,124,154
1GSYD,34564,27339,2653,1458,66013,1177,1184,2362,68378,45340,6940,120659,13269,15704,1489,716,31183,446,556,1001,32188,52583,5775,90540,2967,5745,557,306,9579,45,117,159,9733,56450,5460,71645,647,1924,201,149,2923,17,51,69,2994,52307,5628,60928,562,1270,220,319,2377,42,45,91,2461,128660,20363,151485,475804,343943,35223,22172,877140,23278,25524,48803,925940,651926,122105,1699976,7809,34558,2313,1702,46381,2522,6457,8974,55352,72842,5658,133858,49054,42076,3514,2785,97429,4797,5234,10033,107460,36662,8758,152879,82675,28941,5671,2226,119517,4309,2918,7229,126743,35774,10481,173003,67886,35310,8349,1647,113200,3195,2779,5979,119174,41495,9416,170083,58216,46403,6500,1680,112801,2838,3275,6110,118910,43051,8379,170337,58508,47870,3625,1837,111843,2736,3232,5966,117813,38509,7501,163817,61640,43794,3009,2033,110472,2793,2677,5464,115938,33106,7043,156086,57818,37951,3379,1715,100861,2401,2103,4503,105368,34634,6554,146554,41721,30395,3126,1281,76525,1462,1452,2919,79442,42866,5987,128290,20930,22956,2203,850,46941,672,1012,1684,48626,60040,5606,114269,5611,9592,841,358,16403,58,225,281
