GCCSA_CODE_2016,C11_P_25_29_Em_FT,C11_P_25_29_Em_PT,C11_P_25_29_Em_AFW,C11_P_25_29_Em_Hrs_NS,C11_P_25_29_Em_Tot,C11_P_25_29_Unem_Look_FT,C11_P_25_29_Unem_Look_PT,C11_P_25_29_Unem_Tot,C11_P_25_29_Tot_LF,C11_P_25_29_Notin_LF,C11_P_25_29_LF_NS,C11_P_25_29_Tot,C11_P_30_34_Em_FT,C11_P_30_34_Em_PT,C11_P_30_34_Em_AFW,C11_P_30_34_Em_Hrs_NS,C11_P_30_34_Em_Tot,C11_P_30_34_Unem_Look_FT,C11_P_30_34_Unem_Look_PT,C11_P_30_34_Unem_Tot,C11_P_30_34_Tot_LF,C11_P_30_34_Notin_LF,C11_P_30_34_LF_NS,C11_P_30_34_Tot,C11_P_35_39_Em_FT,C11_P_35_39_Em_PT,C11_P_35_39_Em_AFW,C11_P_35_39_Em_Hrs_NS,C11_P_35_39_Em_Tot,C11_P_35_39_Unem_Look_FT,C11_P_35_39_Unem_Look_PT,C11_P_35_39_Unem_Tot,C11_P_35_39_Tot_LF,C11_P_35_39_Notin_LF,C11_P_35_39_LF_NS,C11_P_35_39_Tot,C11_P_40_44_Em_FT,C11_P_40_44_Em_PT,C11_P_40_44_Em_AFW,C11_P_40_44_Em_Hrs_NS,C11_P_40_44_Em_Tot,C11_P_40_44_Unem_Look_FT,C11_P_40_44_Unem_Look_PT,C11_P_40_44_Unem_Tot,C11_P_40_44_Tot_LF,C11_P_40_44_Notin_LF,C11_P_40_44_LF_NS,C11_P_40_44_Tot,C11_P_45_49_Em_FT,C11_P_45_49_Em_PT,C11_P_45_49_Em_AFW,C11_P_45_49_Em_Hrs_NS,C11_P_45_49_Em_Tot,C11_P_45_49_Unem_Look_FT,C11_P_45_49_Unem_Look_PT,C11_P_45_49_Unem_Tot,C11_P_45_49_Tot_LF,C11_P_45_49_Notin_LF,C11_P_45_49_LF_NS,C11_P_45_49_Tot,C11_P_50_54_Em_FT,C11_P_50_54_Em_PT,C11_P_50_54_Em_AFW,C11_P_50_54_Em_Hrs_NS,C11_P_50_54_Em_Tot,C11_P_50_54_Unem_Look_FT,C11_P_50_54_Unem_Look_PT,C11_P_50_54_Unem_Tot,C11_P_50_54_Tot_LF,C11_P_50_54_Notin_LF,C11_P_50_54_LF_NS,C11_P_50_54_Tot,C11_P_55_59_Em_FT,C11_P_55_59_Em_PT,C11_P_55_59_Em_AFW,C11_P_55_59_Em_Hrs_NS,C11_P_55_59_Em_Tot,C11_P_55_59_Unem_Look_FT,C11_P_55_59_Unem_Look_PT,C11_P_55_59_Unem_Tot,C11_P_55_59_Tot_LF,C11_P_55_59_Notin_LF,C11_P_55_59_LF_NS,C11_P_55_59_Tot,C11_P_60_64_Em_FT,C11_P_60_64_Em_PT,C11_P_60_64_Em_AFW,C11_P_60_64_Em_Hrs_NS,C11_P_60_64_Em_Tot,C11_P_60_64_Unem_Look_FT,C11_P_60_64_Unem_Look_PT,C11_P_60_64_Unem_Tot,C11_P_60_64_Tot_LF,C11_P_60_64_Notin_LF,C11_P_60_64_LF_NS,C11_P_60_64_Tot,C11_P_65_69_Em_FT,C11_P_65_69_Em_PT,C11_P_65_69_Em_AFW,C11_P_65_69_Em_Hrs_NS,C11_P_65_69_Em_Tot,C11_P_65_69_Unem_Look_FT,C11_P_65_69_Unem_Look_PT,C11_P_65_69_Unem_Tot,C11_P_65_69_Tot_LF,C11_P_65_69_Notin_LF,C11_P_65_69_LF_NS,C11_P_65_69_Tot,C11_P_70_74_Em_FT,C11_P_70_74_Em_PT,C11_P_70_74_Em_AFW,C11_P_70_74_Em_Hrs_NS,C11_P_70_74_Em_Tot,C11_P_70_74_Unem_Look_FT,C11_P_70_74_Unem_Look_PT,C11_P_70_74_Unem_Tot,C11_P_70_74_Tot_LF,C11_P_70_74_Notin_LF,C11_P_70_74_LF_NS,C11_P_70_74_Tot,C11_P_75ov_Em_FT,C11_P_75ov_Em_PT,C11_P_75ov_Emp_Aw_fr_w,C11_P_75ov_Emp_Hou_w_ns,C11_P_75andOver_Em_Tot,C11_P_75over_Unem_Lo_ft_wor,C11_P_75over_Unem_Lo_pt_wor,C11_P_75over_Unemp_Tot,C11_P_75over_Tot_lab_for,C11_P_75over_N_lab_forc,C11_P_75over_LF_NS,C11_P_75over_Tot,C11_P_Tot_Em_FT,C11_P_Tot_Em_PT,C11_P_Tot_Em_AFW,C11_P_Tot_Em_Hrs_NS,C11_P_Tot_Em_Tot,C11_P_Tot_Unem_Look_FT,C11_P_Tot_Unem_Look_PT,C11_P_Tot_Unem_Tot,C11_P_T_T_labo_for,C11_P_Tot_Notin_LF,C11_P_Tot_LF_NS,C11_P_T_T,C16_P_15_19_Em_FT,C16_P_15_19_Em_PT,C16_P_15_19_Em_AFW,C16_P_15_19_Em_Hrs_NS,C16_P_15_19_Em_Tot,C16_P_15_19_Unem_Look_FT,C16_P_15_19_Unem_Look_PT,C16_P_15_19_Unem_Tot,C16_P_15_19_Tot_LF,C16_P_15_19_Notin_LF,C16_P_15_19_LF_NS,C16_P_15_19_Tot,C16_P_20_24_Em_FT,C16_P_20_24_Em_PT,C16_P_20_24_Em_AFW,C16_P_20_24_Em_Hrs_NS,C16_P_20_24_Em_Tot,C16_P_20_24_Unem_Look_FT,C16_P_20_24_Unem_Look_PT,C16_P_20_24_Unem_Tot,C16_P_20_24_Tot_LF,C16_P_20_24_Notin_LF,C16_P_20_24_LF_NS,C16_P_20_24_Tot,C16_P_25_29_Em_FT,C16_P_25_29_Em_PT,C16_P_25_29_Em_AFW,C16_P_25_29_Em_Hrs_NS,C16_P_25_29_Em_Tot,C16_P_25_29_Unem_Look_FT,C16_P_25_29_Unem_Look_PT,C16_P_25_29_Unem_Tot,C16_P_25_29_Tot_LF,C16_P_25_29_Notin_LF,C16_P_25_29_LF_NS,C16_P_25_29_Tot,C16_P_30_34_Em_FT,C16_P_30_34_Em_PT,C16_P_30_34_Em_AFW,C16_P_30_34_Em_Hrs_NS,C16_P_30_34_Em_Tot,C16_P_30_34_Unem_Look_FT,C16_P_30_34_Unem_Look_PT,C16_P_30_34_Unem_Tot,C16_P_30_34_Tot_LF,C16_P_30_34_Notin_LF,C16_P_30_34_LF_NS,C16_P_30_34_Tot,C16_P_35_39_Em_FT,C16_P_35_39_Em_PT,C16_P_35_39_Em_AFW,C16_P_35_39_Em_Hrs_NS,C16_P_35_39_Em_Tot,C16_P_35_39_Unem_Look_FT,C16_P_35_39_Unem_Look_PT,C16_P_35_39_Unem_Tot
6RTAS,6770,2692,498,203,10165,563,238,803,10968,2989,494,14450,6279,3146,601,223,10250,517,233,752,11000,3066,538,14601,7355,4236,521,238,12346,565,259,823,13166,3345,631,17147,8807,4894,546,243,14497,573,275,853,15350,3431,690,19470,9606,4777,626,255,15258,549,215,762,16023,3549,682,20256,9560,4745,774,254,15338,538,226,769,16103,4296,736,21136,7084,4232,686,195,12195,434,223,662,12855,6350,729,19935,3980,3361,551,162,8056,278,216,491,8550,10349,826,19724,1140,1469,194,79,2882,14,49,63,2942,11957,770,15668,318,553,57,29,955,0,13,13,962,10088,718,11772,166,259,48,44,523,3,10,16,531,17999,2096,20630,69619,42071,5926,2427,120048,5704,3110,8813,128863,89487,10159,228513,1630,4640,264,214,6741,644,952,1594,8336,8199,911,17443,5468,3871,378,220,9945,1020,502,1522,11465,3278,984,15724,6221,2910,466,179,9775,588,308,899,10675,2808,909,14396,6288,3435,608,178,10501,461,248,709,11212,2830,908,14943,6166,3776,434,182,10554,478,217,693
6GHOB,6468,2625,472,177,9742,516,224,738,10476,2436,575,13485,5795,2768,547,134,9243,338,165,506,9745,2263,503,12515,6275,3508,507,148,10437,310,150,460,10896,2293,491,13676,6915,3679,395,184,11173,310,162,474,11653,2217,506,14373,7455,3539,414,186,11595,271,134,408,12000,2163,515,14676,7724,3429,473,184,11811,287,105,390,12204,2557,553,15320,5589,3054,464,128,9238,206,143,354,9594,3938,550,14080,3031,2420,320,89,5858,115,108,219,6081,6303,530,12911,734,1046,113,35,1930,12,29,39,1966,7161,461,9593,170,405,42,20,642,6,9,11,651,6534,458,7646,56,182,30,24,291,0,3,5,293,13596,1395,15284,56609,34215,4393,1656,96870,3575,2322,5896,102767,61444,7674,171886,846,3969,237,125,5175,358,973,1330,6513,6468,589,13565,4122,4210,330,153,8821,709,543,1252,10068,3234,741,14042,6254,3054,431,167,9912,582,323,897,10813,2606,781,14194,6496,3299,600,172,10565,394,223,620,11180,2362,752,14289,6035,3447,434,116,10037,335,185,521
69799,12,0,0,0,14,0,0,0,14,0,0,17,4,0,3,0,6,0,0,0,7,0,0,9,3,3,0,0,5,0,0,0,5,0,0,11,8,0,0,0,9,0,0,0,9,0,6,18,8,0,0,0,9,0,0,0,10,0,0,15,7,0,0,0,7,0,0,0,10,3,0,12,8,0,0,0,8,0,0,0,11,0,0,10,4,0,0,0,4,0,0,0,4,4,0,7,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,59,4,8,0,76,6,0,6,82,15,12,110,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,6,0,0,0,6,3,0,8,5,3,0,0,9,0,0,0,9,3,0,14,6,0,3,0,9,0,0,0,9,0,0,11,0,0,0,0,0,0,0,0
69499,33,10,3,0,50,13,4,14,64,36,15,125,14,8,3,0,33,6,0,8,40,22,21,80,23,6,0,0,27,8,0,15,44,22,11,77,29,11,0,0,35,9,0,10,45,22,10,87,24,10,3,3,39,3,0,7,48,29,15,86,21,6,4,0,35,4,4,5,37,20,5,65,9,5,0,0,14,9,0,9,22,40,9,72,7,6,0,0,13,0,0,3,16,59,9,84,0,0,0,0,3,0,0,0,3,39,6,46,0,0,0,0,0,0,0,0,0,22,4,28,0,0,0,0,0,0,0,0,0,21,4,23,179,90,27,6,301,90,22,113,414,426,140,976,4,10,0,0,12,9,4,12,25,29,5,62,10,8,0,3,22,16,3,21,41,27,20,90,28,14,3,0,46,8,3,15,59,19,26,103,28,8,4,0,35,7,6,8,50,13,18,79,17,17,3,0,31,4,0,4
5RWAU,17406,4389,1320,551,23669,851,349,1197,24867,6098,3744,34711,15803,5486,1423,532,23241,727,364,1092,24337,6403,3222,33962,17352,7006,1426,576,26360,759,353,1115,27479,6132,3377,36985,19256,7674,1432,606,28970,715,374,1089,30057,5182,3363,38605,19642,6943,1397,555,28540,672,279,957,29495,4755,3170,37412,18880,6747,1527,563,27712,581,206,785,28501,5232,2911,36642,14365,5879,1426,376,22038,431,210,636,22675,7080,2275,32026,8317,4775,1047,304,14444,274,190,465,14912,11061,1877,27850,2691,2330,439,162,5627,51,70,121,5746,12731,1206,19686,832,1077,184,87,2179,15,23,35,2208,11330,1041,14579,428,613,118,107,1267,12,12,20,1293,19820,2563,23672,155051,63456,13284,5521,237325,7378,3605,10986,248307,113219,34017,395538,3769,7310,387,386,11858,1051,1146,2202,14062,13252,2396,29712,11341,4412,676,461,16897,1551,526,2075,18970,4817,2595,26382,16109,4695,1201,415,22420,1209,454,1658,24082,5834,3915,33831,16832,6369,1582,474,25252,1044,509,1557,26805,6342,4079,37225,16044,6796,1178,427,24444,1025,436,1468
5GPER,72880,20366,4311,1853,99407,3379,1664,5046,104459,19006,8877,132331,63037,20598,4754,1547,89939,2491,1434,3923,93861,20073,7458,121391,61651,24875,4248,1789,92558,2248,1450,3703,96263,20769,6861,123890,65409,28043,3673,1767,98891,2267,1478,3747,102639,18177,6704,127521,65682,25891,3804,1651,97023,2126,1077,3201,100220,15721,5917,121866,60179,22833,3882,1373,88272,1805,895,2702,90972,16709,5451,113136,46637,20319,3573,1130,71657,1404,709,2110,73768,22383,5000,101153,27893,18073,2786,805,49556,897,654,1546,51099,36472,4456,92023,7878,8858,1038,359,18136,142,226,373,18511,44192,3505,66205,1507,3273,288,145,5220,40,83,118,5339,42823,3295,51452,475,1477,181,167,2297,14,50,58,2355,85290,10895,98537,542259,260272,38224,16868,857632,24687,18173,42859,900492,413911,82056,1396460,8226,35453,1449,1085,46211,3672,9818,13497,59703,55115,5305,120129,43748,40067,2618,2065,88498,6973,5641,12619,101116,24115,8207,133434,74965,27286,4153,2042,108437,6284,3132,9415,117852,21482,11003,150329,78103,28398,5464,1856,113817,5496,2674,8172,121992,23759,10598,156352,66648,28410,3945,1523,100521,4742,2429,7172
59799,59,0,4,0,64,0,0,0,62,0,15,81,47,4,4,5,57,0,0,0,57,0,14,72,45,0,0,0,53,0,0,0,50,0,8,59,33,0,4,0,35,0,0,0,35,0,3,41,23,0,3,0,28,0,0,0,33,0,3,37,30,0,0,0,31,0,0,0,31,0,3,34,13,0,0,0,18,0,0,0,18,3,3,22,10,0,0,0,10,0,0,0,10,0,0,10,3,0,0,0,3,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,3,0,3,295,15,17,5,333,3,0,3,335,19,64,417,0,0,0,0,0,0,0,0,0,0,0,0,15,7,0,0,19,0,0,0,19,3,3,20,32,4,0,0,38,0,0,0,38,0,7,47,55,3,0,0,58,0,0,0,62,0,17,78,43,0,0,3,46,0,0,0
59499,342,88,34,10,478,47,11,65,544,137,143,824,251,65,26,13,346,32,18,51,398,170,148,719,195,38,26,7,269,26,6,32,299,139,148,586,186,39,24,10,257,49,11,61,315,131,116,564,179,40,29,9,258,49,4,56,310,109,120,541,166,48,26,6,244,36,3,38,278,164,109,553,133,50,18,4,200,35,9,38,242,339,109,696,85,31,14,6,129,14,15,22,156,423,62,641,23,13,4,0,34,0,3,3,36,352,47,428,0,4,0,0,8,0,0,0,8,152,21,180,0,0,0,0,4,0,0,0,3,72,35,108,1809,507,209,62,2596,356,113,464,3058,2410,1224,6693,10,19,0,3,26,19,8,26,57,56,43,151,123,59,3,10,202,44,15,56,256,125,121,503,229,78,16,6,330,55,9,67,404,116,178,698,183,50,19,15,264,44,9,49,312,118,179,607,115,40,19,7,178,30,7,34
4RSAU,8959,3293,808,321,13386,682,223,910,14292,3733,896,18921,8376,4046,762,294,13481,544,250,796,14272,3831,793,18897,9694,5207,723,304,15929,577,262,843,16771,3898,941,21613,12151,6058,704,351,19269,622,275,895,20160,4086,1095,25351,12768,6050,823,357,20002,612,260,879,20877,4338,1112,26329,12941,6063,983,321,20300,548,252,807,21109,4928,1068,27108,10604,5277,986,249,17114,395,225,618,17736,7156,1028,25919,6331,4590,743,235,11898,261,189,456,12355,12365,1137,25854,2089,2272,314,110,4786,30,35,63,4853,15288,972,21108,685,935,149,84,1849,8,15,20,1875,13467,966,16308,401,507,95,107,1100,5,16,18,1122,26020,2924,30068,96102,54012,8052,3466,161620,6160,3155,9312,170935,112588,14736,298257,2023,5950,303,286,8564,696,915,1611,10172,9810,1141,21132,7136,4280,482,290,12189,1168,434,1602,13795,3196,1194,18193,8712,3669,687,249,13312,791,297,1094,14410,3565,1275,19247,8485,4504,735,281,14003,666,299,963,14967,3771,1258,19997,8414,4748,553,228,13942,587,264,849
4GADE,43801,15814,2775,1140,63531,2884,1423,4313,67844,13836,3607,85284,39053,15373,3333,970,58734,2214,1120,3333,62065,13456,3116,78636,39689,18495,2727,1007,61914,2086,1089,3174,65087,14032,2984,82102,43297,20412,2262,1095,67070,1950,1016,2965,70036,13755,3036,86834,44594,19726,2153,1056,67530,1880,876,2753,70280,13234,3023,86544,42927,17816,2586,952,64287,1564,675,2233,66523,14967,3021,84503,33218,15520,2388,710,51839,1202,627,1828,53670,19627,2581,75868,19016,13114,1797,530,34458,652,512,1160,35623,33248,2660,71536,4795,5986,664,211,11655,60,122,180,11839,39301,2282,53416,970,2039,208,89,3308,21,50,68,3378,36413,2343,42134,340,980,144,159,1630,15,17,29,1663,83734,8723,94118,348427,193322,24495,10576,576823,20788,14614,35404,612225,352644,43735,1008605,3885,22983,987,640,28487,2059,6590,8651,37140,39384,2862,79385,24471,28255,1727,1169,55620,4671,4113,8781,64407,21150,3982,89535,40873,18142,2482,1129,62623,3853,1938,5790,68422,15085,4302,87807,42886,19289,3605,1029,66806,3255,1409,4662,71471,14683,4346,90495,38900,19507,2468,846,61722,2834,1409,4244
49799,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49499,101,38,16,0,162,28,8,39,193,72,34,304,86,32,8,4,130,26,6,34,163,83,43,284,59,39,14,7,113,26,3,25,136,76,34,248,60,23,6,0,89,10,4,20,109,77,44,229,46,19,9,3,72,24,9,27,100,69,41,209,45,20,6,3,74,20,3,20,97,103,45,248,36,26,4,0,73,10,4,15,82,108,36,221,11,8,3,0,26,3,3,10,36,140,28,204,6,5,0,0,8,0,0,0,8,108,14,132,0,0,0,0,0,0,0,0,3,79,16,91,0,0,3,0,4,0,0,0,4,123,29,160,538,271,71,28,911,197,51,252,1164,1198,407,2764,4,18,0,0,23,16,17,34,59,87,25,173,42,35,5,7,88,43,7,49,138,72,51,266,82,41,9,9,139,36,11,43,181,69,46,304,56,26,3,4,95,28,3,28,129,78,54,259,38,14,0,3,65,25,13,33
3RQLD,70925,23025,4559,2383,100899,4900,2138,7045,107941,22893,10208,141036,66114,25713,4729,2068,98627,3900,1962,5857,104485,24124,9094,137702,74373,31679,4303,2519,112876,3987,2117,6105,118977,24986,9475,153440,80935,33941,3875,2581,121334,4201,2064,6259,127595,22762,9770,160122,82641,32743,4089,2487,121969,4037,1712,5745,127712,22798,9498,160007,78019,30328,4434,2132,114911,3685,1524,5203,120118,26731,9111,155958,58766,26466,4226,1709,91165,2881,1331,4214,95379,37293,7821,140497,36028,21402,3207,1332,61967,1912,1277,3187,65157,61566,7590,134315,11588,10493,1196,663,23938,229,368,596,24536,75407,6533,106478,3240,3982,432,347,7998,70,116,186,8181,65556,5985,79725,1621,2018,354,447,4443,31,60,89,4529,116154,17367,138052,645649,313750,41395,24031,1024830,43376,24578,67956,1092785,580026,120629,1793448,15281,46423,2142,1811,65656,6212,9757,15964,81621,58091,9577,149284,55299,34496,2724,2224,94742,8779,4473,13250,107992,24770,12209,144979,70315,27088,4325,2057,103787,6219,2745,8959,112744,23080,12910,148732,71292,29859,5250,1946,108352,5064,2541,7608,115962,24116,12347,152423,69308,31635,3716,1854,106516,4649,2298,6947
3GBRI,86059,25662,4717,2310,118753,5235,2291,7532,126281,23502,8623,158407,79915,25172,5502,1958,112552,3786,1922,5712,118259,22620,7217,148102,81125,29845,4696,2092,117758,3625,1912,5535,123294,23650,6978,153924,82540,30863,3536,2183,119125,3379,1592,4975,124096,20963,6583,151643,79566,27207,3346,2084,112205,3056,1343,4407,116604,19294,5998,141901,71506,24275,3548,1724,101053,2559,1057,3612,104665,21059,5504,131232,53478,20912,3334,1249,78980,2051,947,3003,81981,29462,4786,116232,32155,17622,2652,944,53370,1255,803,2055,55426,47190,4708,107323,8779,8454,1000,386,18623,184,273,451,19071,55363,3824,78255,1803,2943,288,185,5229,45,93,137,5364,47835,3441,56643,632,1368,178,233,2415,23,38,61,2483,93487,11922,107894,654898,296517,38717,20487,1010616,37892,24970,62863,1073479,493947,84071,1651498,11328,45444,1813,1495,60083,5233,12167,17407,77488,62528,6562,146581,57448,48597,2924,2466,111449,8936,6827,15762,127209,33376,10156,170741,85512,31753,4218,2354,123840,6649,3465,10116,133954,25791,10919,170661,89517,31203,6096,2072,128890,5327,2636,7962,136848,25303,10416,172568,81994,31247,4223,1795,119257,4279,2250,6528
39799,19,3,3,3,26,0,0,0,33,3,4,41,12,0,0,0,18,0,0,0,16,3,3,21,14,7,4,3,26,0,0,0,26,3,9,35,9,3,4,3,23,3,0,3,19,3,3,29,13,5,0,0,19,0,0,0,16,3,6,32,28,7,3,0,31,0,0,0,32,0,13,49,11,7,0,0,20,0,0,0,20,6,7,35,11,3,0,0,21,0,0,0,21,14,6,42,4,3,0,0,10,0,0,0,10,15,6,29,0,0,0,0,0,0,0,0,0,20,3,21,0,0,0,0,0,0,0,0,0,37,14,53,157,48,20,14,239,9,3,6,246,125,78,453,0,3,0,0,8,0,0,0,8,0,0,11,3,0,0,0,3,0,0,0,3,3,3,11,0,3,0,0,4,0,0,0,4,0,0,5,3,3,0,0,7,0,0,0,7,0,0,7,7,0,0,0,7,0,0,0
39499,406,153,33,26,614,118,31,142,758,283,180,1220,254,97,36,6,400,77,9,85,483,241,149,872,221,65,27,15,327,65,14,79,406,235,148,788,183,71,31,10,292,63,14,74,365,241,164,773,218,89,18,10,335,66,17,78,413,245,159,811,204,81,30,9,327,67,25,89,420,364,119,899,223,83,29,3,336,63,25,88,419,628,149,1200,126,81,17,3,239,44,26,70,305,1001,143,1448,24,33,8,0,67,4,7,12,81,816,88,994,8,11,4,0,18,0,0,0,22,416,52,496,0,0,0,0,7,0,0,3,8,284,56,347,2249,986,261,100,3594,739,230,972,4560,5209,1714,11485,40,52,4,9,103,52,32,83,179,162,72,408,257,181,15,19,480,107,27,140,618,287,228,1133,380,190,27,34,621,90,34,125,748,286,314,1349,231,114,18,18,385,97,16,117,500,222,227,948,144,54,13,22,236,78,16,95
2RVIC,35808,11749,2569,1111,51237,2296,969,3257,54497,12686,3137,70323,32727,14366,2765,1005,50862,1843,944,2786,53646,14072,2871,70591,37521,19393,2599,1260,60776,1774,1064,2844,63620,14999,3350,81958,43008,22005,2336,1484,68828,1823,1053,2876,71709,14652,3632,89991,47257,22133,2540,1423,73343,1811,907,2716,76062,14241,3692,94003,47447,21473,3272,1328,73520,1594,820,2412,75932,16498,3689,96128,37292,20127,3285,1005,61714,1407,829,2228,63942,24642,3668,92257,21499,16733,2692,779,41693,913,727,1639,43335,42152,3908,89395,6795,7744,1057,482,16084,65,175,243,16326,50496,3701,70522,2330,3108,412,303,6151,27,63,85,6241,45873,3604,55717,1525,1851,355,391,4121,15,28,41,4162,94339,11787,110288,355568,203544,27504,13576,600187,19782,12913,32692,632878,400374,53888,1087136,7596,26099,1426,1296,36413,2238,4470,6709,43122,38864,4977,86967,29196,20853,1851,1528,53437,4030,2375,6404,59836,14262,5432,79529,37519,14768,2506,1114,55905,2672,1278,3948,59855,12737,5252,77842,35469,17157,3230,1012,56863,2118,1091,3212,60076,13929,5148,79154,34723,18887,2378,963,56954,1904,1037,2942
2GMEL,175466,50573,8189,5475,239697,9642,4439,14084,253784,45144,18287,317213,163877,48586,10625,4206,227294,7189,3506,10691,237985,47318,15443,300750,153149,59473,9356,4331,226304,6368,3654,10016,236327,50717,13659,300695,153914,65312,6841,4494,230556,6282,3641,9923,240480,47062,13012,300547,148299,58134,5817,4340,216588,5658,2954,8612,225200,40857,11771,277825,133906,51527,6568,3837,195839,4900,2376,7275,203116,43422,10969,257499,98974,43509,5942,2739,151167,3779,2036,5814,156979,58029,9761,224771,56157,37487,4850,1973,100459,2277,1662,3944,104402,90153,9513,204070,16964,18118,1980,876,37933,281,500,776,38707,106835,8593,154136,3656,6912,677,398,11649,85,179,267,11916,101260,8268,121442,1391,3629,509,480,6007,70,94,159,6165,215678,27059,248899,1226134,587551,71156,43083,1927928,62369,49083,111457,2039382,1048662,172754,3260797,12287,70517,2862,2450,88109,4492,20803,25299,113411,143833,11777,269015,89963,102045,5088,5378,202474,12668,16868,29532,232006,82377,18980,333367,183543,66508,7339,5773,263163,12630,7302,19940,283099,55993,23341,362435,194420,63861,12094,5046,275419,9904,5029,14935,290359,54906,22647,367913,166826,64897,8915,4072,244707,8028,4488,12514
29799,3,0,0,0,3,0,0,0,3,0,0,3,6,0,0,0,6,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,7,0,0,0,7,0,0,4,3,0,0,0,4,0,0,0,4,0,0,4,4,0,0,0,4,0,0,0,4,0,0,4,3,0,0,0,3,0,0,0,3,0,0,3,3,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,3,33,0,0,0,33,0,4,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0
29499,335,142,17,16,509,96,28,122,630,274,219,1129,275,96,23,10,397,76,19,96,494,208,168,867,178,86,18,12,284,61,20,74,366,213,181,759,141,56,17,10,219,53,13,65,282,184,191,662,106,44,11,4,168,39,12,45,217,183,134,531,95,47,7,5,160,38,9,48,203,156,118,477,63,39,5,0,109,28,4,27,141,198,72,405,34,32,7,5,77,18,0,15,96,210,46,342,11,8,0,3,28,3,0,3,31,184,31,248,3,3,0,0,10,0,0,0,10,108,29,154,0,0,0,0,0,0,0,0,0,129,39,167,1537,747,125,76,2481,509,187,697,3179,2556,1531,7268,27,32,3,6,64,21,29,47,117,165,74,357,136,136,5,12,289,52,59,111,397,284,215,898,267,125,18,12,420,70,35,105,529,228,233,994,215,59,17,9,300,75,19,90,394,217,244,856,148,48,7,8,221,48,10,60
1RNSW,63834,22588,4446,2013,92880,4974,2065,7037,99920,24845,6207,130970,60127,26680,4986,1920,93708,3883,2035,5920,99630,25417,5929,130979,70752,34646,4509,2341,112256,3962,2160,6122,118378,27400,6690,152469,79257,37755,4038,2589,123637,4043,2186,6229,129864,26551,7137,163555,86128,38082,4279,2536,131023,4018,1940,5958,136981,28744,7275,173000,86850,37806,5245,2387,132278,3630,1805,5432,137714,35142,7717,180567,66448,33186,5274,1850,106764,2763,1645,4411,111177,50220,7220,168614,37829,26550,3704,1401,69483,1848,1503,3352,72837,84231,7298,164368,12157,12523,1558,752,26983,161,352,514,27497,100428,6900,134828,4049,5161,600,438,10241,54,132,188,10431,90625,6668,107724,2397,3201,554,576,6730,33,75,108,6840,181774,21181,209798,647427,353684,46202,24068,1071373,42856,27020,69874,1141256,779024,104570,2024844,16025,45251,2655,2133,66071,5446,8774,14217,80285,70263,8976,159525,53001,37320,3223,2584,96123,7871,4931,12801,108928,28810,9828,147560,67566,27681,4441,1992,101682,5199,2627,7822,109506,24868,9761,144133,66738,31339,5544,1854,105480,4123,2303,6427,111914,24912,9431,146254,65986,33298,3771,1804,104858,3937,2113,6050
