GCCSA_CODE_2016,C11_M_LE_NS_15_19,C11_M_LE_NS_20_24,C11_M_LE_NS_25_34,C11_M_LE_NS_35_44,C11_M_LE_NS_45_54,C11_M_LE_NS_55_64,C11_M_LE_NS_65_74,C11_M_LE_NS_75_84,C11_M_LE_NS_85_ov,C11_M_LE_NS_T,C11_M_Tot_15_19_yrs,C11_M_Tot_20_24_yrs,C11_M_Tot_25_34_yrs,C11_M_Tot_35_44_yrs,C11_M_Tot_45_54_yrs,C11_M_Tot_55_64_yrs,C11_M_Tot_65_74_yrs,C11_M_Tot_75_84_yrs,C11_M_Tot_85o,C11_M_T_T,C16_M_Post_Deg_15_19_yrs,C16_M_Post_Deg_20_24_yrs,C16_M_Post_Deg_25_34_yrs,C16_M_Post_Deg_35_44_yrs,C16_M_Post_Deg_45_54_yrs,C16_M_Post_Deg_55_64_yrs,C16_M_Post_Deg_65_74_yrs,C16_M_Post_Deg_75_84_yrs,C16_M_Post_Deg_85o,C16_M_Post_Deg_Tot,C16_M_GrDip_GrCe_15_19,C16_M_GrDip_GrCe_20_24,C16_M_GrDip_GrCe_25_34,C16_M_GrDip_GrCe_35_44,C16_M_GrDip_GrCe_45_54,C16_M_GrDip_GrCe_55_64,C16_M_GrDip_GrCe_65_74,C16_M_GrDip_GrCe_75_84,C16_M_GrDip_GrCe_85ov,C16_M_GrDip_GrCe_Tot,C16_M_BD_15_19,C16_M_BD_20_24,C16_M_BD_25_34,C16_M_BD_35_44,C16_M_BD_45_54,C16_M_BD_55_64,C16_M_BD_65_74,C16_M_BD_75_84,C16_M_BD_85o,C16_M_BD_Tot,C16_M_AdD_DL_15_19,C16_M_AdD_DL_20_24,C16_M_AdD_DL_25_34,C16_M_AdD_DL_35_44,C16_M_AdD_DL_45_54,C16_M_AdD_DL_55_64,C16_M_AdD_DL_65_74,C16_M_AdD_DL_75_84,C16_M_AdD_DL_85o,C16_M_AdD_DL_Tot,C16_M_CL_C_III_IV_15_19,C16_M_CL_C_III_IV_20_24,C16_M_CL_C_III_IV_25_34,C16_M_CL_C_III_IV_35_44,C16_M_CL_C_III_IV_45_54,C16_M_CL_C_III_IV_55_64,C16_M_CL_C_III_IV_65_74,C16_M_CL_C_III_IV_75_84,C16_M_CL_C_III_IV_85_ov,C16_M_CL_C_III_IV_Tot,C16_M_CL_C_I_II_15_19,C16_M_CL_C_I_II_20_24,C16_M_CL_C_I_II_25_34,C16_M_CL_C_I_II_35_44,C16_M_CL_C_I_II_45_54,C16_M_CL_C_I_II_55_64,C16_M_CL_C_I_II_65_74,C16_M_CL_C_I_II_75_84,C16_M_CL_C_I_II_85_ov,C16_M_CL_C_I_II_Tot,C16_M_CL_CL_nfd_15_19,C16_M_CL_CL_nfd_20_24,C16_M_CL_CL_nfd_25_34,C16_M_CL_CL_nfd_35_44,C16_M_CL_CL_nfd_45_54,C16_M_CL_CL_nfd_55_64,C16_M_CL_CL_nfd_65_74,C16_M_CL_CL_nfd_75_84,C16_M_CL_CL_nfd_85_ov,C16_M_CL_CL_nfd_Tot,C16_M_CL_T_15_19,C16_M_CL_T_20_24,C16_M_CL_T_25_34,C16_M_CL_T_35_44,C16_M_CL_T_45_54,C16_M_CL_T_55_64,C16_M_CL_T_65_74,C16_M_CL_T_75_84,C16_M_CL_T_85_ov,C16_M_CL_T_Tot,C16_M_LE_ID_15_19,C16_M_LE_ID_20_24,C16_M_LE_ID_25_34,C16_M_LE_ID_35_44,C16_M_LE_ID_45_54,C16_M_LE_ID_55_64,C16_M_LE_ID_65_74,C16_M_LE_ID_75_84,C16_M_LE_ID_85o,C16_M_LE_ID_Tot,C16_M_LE_NS_15_19,C16_M_LE_NS_20_24,C16_M_LE_NS_25_34,C16_M_LE_NS_35_44,C16_M_LE_NS_45_54,C16_M_LE_NS_55_64,C16_M_LE_NS_65_74,C16_M_LE_NS_75_84,C16_M_LE_NS_85_ov,C16_M_LE_NS_T,C16_M_Tot_15_19_yrs,C16_M_Tot_20_24_yrs,C16_M_Tot_25_34_yrs,C16_M_Tot_35_44_yrs,C16_M_Tot_45_54_yrs,C16_M_Tot_55_64_yrs,C16_M_Tot_65_74_yrs,C16_M_Tot_75_84_yrs,C16_M_Tot_85o,C16_M_T_T,C06_F_Post_Deg_15_19_yrs,C06_F_Post_Deg_20_24_yrs,C06_F_Post_Deg_25_34_yrs,C06_F_Post_Deg_35_44_yrs,C06_F_Post_Deg_45_54_yrs,C06_F_Post_Deg_55_64_yrs,C06_F_Post_Deg_65_74_yrs,C06_F_Post_Deg_75_84_yrs,C06_F_Post_Deg_85o,C06_F_Post_Deg_Tot,C06_F_GrDip_GrCe_15_19,C06_F_GrDip_GrCe_20_24,C06_F_GrDip_GrCe_25_34,C06_F_GrDip_GrCe_35_44,C06_F_GrDip_GrCe_45_54,C06_F_GrDip_GrCe_55_64,C06_F_GrDip_GrCe_65_74,C06_F_GrDip_GrCe_75_84,C06_F_GrDip_GrCe_85ov,C06_F_GrDip_GrCe_Tot,C06_F_BD_15_19,C06_F_BD_20_24,C06_F_BD_25_34,C06_F_BD_35_44,C06_F_BD_45_54,C06_F_BD_55_64,C06_F_BD_65_74,C06_F_BD_75_84,C06_F_BD_85o,C06_F_BD_Tot,C06_F_AdD_DL_15_19,C06_F_AdD_DL_20_24,C06_F_AdD_DL_25_34,C06_F_AdD_DL_35_44,C06_F_AdD_DL_45_54,C06_F_AdD_DL_55_64,C06_F_AdD_DL_65_74,C06_F_AdD_DL_75_84,C06_F_AdD_DL_85o,C06_F_AdD_DL_Tot,C06_F_CL_C_III_IV_15_19,C06_F_CL_C_III_IV_20_24,C06_F_CL_C_III_IV_25_34,C06_F_CL_C_III_IV_35_44,C06_F_CL_C_III_IV_45_54,C06_F_CL_C_III_IV_55_64,C06_F_CL_C_III_IV_65_74,C06_F_CL_C_III_IV_75_84,C06_F_CL_C_III_IV_85_ov,C06_F_CL_C_III_IV_Tot,C06_F_CL_C_I_II_15_19,C06_F_CL_C_I_II_20_24,C06_F_CL_C_I_II_25_34,C06_F_CL_C_I_II_35_44,C06_F_CL_C_I_II_45_54,C06_F_CL_C_I_II_55_64,C06_F_CL_C_I_II_65_74,C06_F_CL_C_I_II_75_84,C06_F_CL_C_I_II_85_ov,C06_F_CL_C_I_II_Tot,C06_F_CL_CL_nfd_15_19,C06_F_CL_CL_nfd_20_24,C06_F_CL_CL_nfd_25_34,C06_F_CL_CL_nfd_35_44,C06_F_CL_CL_nfd_45_54,C06_F_CL_CL_nfd_55_64,C06_F_CL_CL_nfd_65_74,C06_F_CL_CL_nfd_75_84,C06_F_CL_CL_nfd_85_ov,C06_F_CL_CL_nfd_Tot
6RTAS,901,517,874,1184,1414,1569,1531,1341,531,9864,1589,3525,8390,10426,11713,10676,6854,3460,1038,57675,0,11,275,392,434,520,470,134,25,2275,4,10,126,173,254,286,195,38,9,1096,0,338,1403,1547,1453,1596,1108,355,101,7904,15,191,719,1145,1511,1608,1165,406,101,6853,371,2122,5008,4870,5831,5791,3903,1808,424,30135,155,300,318,216,150,122,69,23,5,1355,38,98,185,293,314,343,315,167,37,1790,562,2523,5513,5382,6292,6258,4286,1996,472,33283,10,24,73,88,98,119,137,92,23,660,1000,689,1239,1308,1856,2070,2176,1395,519,12260,1586,3779,9342,10032,11906,12472,9539,4427,1242,64331,0,8,125,247,304,221,49,12,3,967,0,12,173,232,336,274,80,22,4,1126,4,739,2204,2160,2314,1289,489,221,65,9486,29,262,968,1373,1647,1393,783,311,90,6846,291,1207,2136,2208,1915,905,243,119,49,9084,258,484,439,391,316,113,46,18,3,2069,48,156,417,533,526,322,141,76,19,2239
6GHOB,636,587,983,949,1034,1064,979,802,355,7386,1072,3295,8533,9110,9376,8155,5003,2698,907,48145,4,23,813,887,871,749,528,187,65,4126,0,25,230,305,407,334,185,53,9,1547,6,591,2585,2357,1865,1799,1197,395,175,10969,11,195,807,1105,1283,1256,982,415,132,6178,224,1441,3837,3359,3648,3461,2206,1171,342,19694,84,205,249,132,82,88,52,20,9,922,23,73,167,175,220,255,193,105,34,1242,332,1715,4256,3665,3955,3806,2447,1300,384,21857,9,33,85,74,94,100,104,78,30,606,543,556,1176,1045,1142,1210,1101,806,338,7915,902,3137,9949,9432,9620,9247,6544,3242,1125,53202,0,11,329,461,526,292,89,34,10,1747,0,24,250,442,447,272,70,27,6,1555,6,1040,2818,2398,2390,1312,515,241,58,10784,33,277,919,1295,1351,1060,571,316,92,5906,172,1001,1515,1449,1193,553,219,122,29,6250,164,304,297,227,146,62,36,18,0,1266,35,118,295,354,378,235,117,83,25,1641
69799,0,0,3,5,0,3,3,0,0,13,0,3,14,17,10,13,7,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,4,0,3,4,3,3,7,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,3,0,7,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,17,6,5,3,4,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
69499,8,5,34,26,17,10,9,4,0,118,5,23,97,64,57,46,28,7,0,319,0,3,6,0,0,0,3,0,0,12,0,0,3,0,0,0,0,0,0,3,0,0,17,5,4,7,6,0,0,36,0,0,3,4,3,3,4,0,0,18,3,10,14,15,13,15,10,3,0,91,0,0,4,3,0,0,0,0,0,10,0,0,3,0,0,0,3,0,0,7,9,11,19,21,17,14,14,3,0,103,0,0,0,0,0,0,0,0,0,0,5,21,35,31,25,10,8,3,0,128,13,38,80,59,47,35,30,8,0,308,0,0,3,4,0,0,0,0,0,9,0,0,0,3,0,0,0,0,0,3,0,9,19,3,6,11,0,0,0,54,0,0,11,3,0,5,0,3,0,15,0,3,7,5,3,0,0,0,0,20,0,5,0,0,0,0,0,0,0,5,0,0,0,0,9,0,0,0,0,10
5RWAU,2023,2630,6075,5690,5076,3502,1982,1313,452,28739,3701,9075,24463,25808,24128,17825,8916,3878,1010,118807,0,11,522,741,623,543,418,113,21,2997,0,25,261,403,384,396,187,44,3,1703,7,455,3304,3388,2708,2262,1297,391,97,13903,48,337,1841,2549,2783,2526,1601,535,116,12331,945,4171,13051,12250,12059,9902,5533,2070,448,60436,464,461,556,368,314,228,93,36,0,2525,92,179,500,670,639,654,535,205,52,3523,1502,4811,14109,13288,13013,10786,6161,2312,503,66485,22,64,178,218,220,209,206,95,35,1250,2188,1983,6149,5613,5536,4709,3432,2002,780,32382,3760,7680,26355,26209,25268,21433,13306,5491,1549,131058,0,12,232,332,303,183,49,5,3,1112,0,76,566,601,616,270,72,24,7,2234,4,1115,4367,3746,2827,1677,688,231,58,14712,79,600,2063,3005,3101,1804,792,243,60,11746,577,1757,3291,3134,2585,1214,341,150,37,13089,447,648,684,561,396,191,74,12,3,3022,135,302,894,1010,778,433,146,60,14,3769
5GPER,5346,6111,12353,10500,8933,7481,5542,4799,2282,63337,10512,33244,91049,87537,80212,62872,35452,17833,5679,424392,3,372,8385,10308,7841,5464,3235,1087,248,36944,0,214,2242,2801,2915,2232,1092,263,55,11808,59,8342,32279,26936,19678,13907,8085,2774,799,112861,454,3747,13403,13390,12760,10373,7175,2878,737,64914,2846,13561,38133,32391,33639,27449,18097,9043,2245,177409,1378,1331,1558,970,712,466,255,69,27,6766,255,655,1783,1969,2092,1818,1480,770,208,11027,4476,15543,41472,35331,36442,29732,19840,9885,2477,195204,129,356,1232,1251,1085,884,812,403,143,6288,4348,5715,15002,12068,10846,8815,7360,5558,2898,72616,9470,34288,114013,102086,91570,71403,47595,22851,7357,500624,0,195,2884,3473,3033,1597,409,132,12,11740,13,320,2565,3137,2858,1361,420,121,30,10814,68,8767,24352,19305,14634,7841,3254,1351,368,79938,786,4381,10389,13252,12767,7679,3471,1517,394,54646,2227,6767,10506,9912,7960,4504,1567,878,315,44632,916,1608,1844,1543,1261,704,214,92,13,8195,404,1101,3106,3357,3077,1992,885,451,127,14506
59799,0,8,27,18,10,9,0,0,0,65,0,21,95,70,57,20,4,3,0,276,0,0,6,4,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,3,6,8,6,0,0,3,0,31,0,0,13,20,16,9,0,0,0,52,0,0,41,40,32,10,0,0,0,130,0,0,3,3,0,0,0,0,0,3,0,0,4,3,3,0,0,0,0,13,0,0,49,47,34,10,0,0,0,139,0,0,0,0,0,0,0,0,0,0,0,3,28,20,21,9,0,0,0,78,0,7,100,95,77,33,4,3,0,318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59499,39,74,211,188,187,122,49,26,3,893,53,216,675,516,464,457,219,40,6,2645,0,0,27,13,11,3,8,0,0,62,0,0,8,3,0,3,3,0,0,16,0,22,91,39,12,32,15,3,0,225,0,11,27,23,28,29,24,0,0,151,5,46,179,137,137,146,89,15,3,748,4,6,10,5,3,3,0,0,0,28,0,0,15,4,13,6,9,0,0,51,9,48,196,147,151,158,96,17,3,829,0,3,4,5,0,3,5,0,0,26,22,66,230,214,251,137,79,15,3,1021,35,155,588,450,459,369,233,35,4,2331,0,3,15,10,7,7,0,0,0,46,0,6,11,17,3,7,0,0,0,36,0,46,125,45,27,42,11,0,0,295,0,17,60,29,42,35,10,4,0,194,8,33,42,28,40,31,3,0,0,191,3,13,9,7,7,7,0,0,0,45,0,9,9,4,16,6,0,0,0,46
4RSAU,1210,876,1789,2183,2351,2387,2142,1787,684,15407,1990,4512,11278,13286,13978,13291,8811,4453,1299,72890,0,15,205,285,286,331,298,86,15,1528,0,8,101,154,215,345,196,46,7,1080,3,299,1558,1644,1327,1426,1107,317,78,7772,23,152,818,1266,1647,1873,1520,478,127,7913,524,2635,6904,6652,7581,7416,5468,2480,641,40298,191,328,498,339,257,212,129,32,8,1994,60,137,377,453,548,574,517,192,48,2902,769,3094,7782,7441,8386,8206,6113,2701,702,45202,19,43,117,147,159,217,190,93,44,1024,1275,1067,2385,2424,2876,2945,2889,1913,873,18643,2091,4680,12972,13374,14904,15342,12321,5636,1850,83163,0,8,127,165,201,153,36,12,0,707,0,10,223,378,502,292,88,22,6,1530,3,774,2702,2007,2059,1322,577,220,61,9723,18,267,1089,1929,2323,1658,617,297,78,8274,268,1275,2575,2816,2383,1209,376,186,53,11137,307,557,708,475,305,145,41,6,0,2548,64,175,650,601,496,334,132,54,13,2522
4GADE,3612,3223,5845,5567,5760,5044,4452,4608,2359,40469,5955,19555,54986,55153,52657,44934,26448,15207,5493,280397,7,248,5547,6237,4645,3699,2444,945,235,24007,3,99,1178,1687,1808,1795,1023,242,51,7889,32,4838,18088,15695,11112,9255,6277,2047,765,68116,126,1789,7010,8015,8706,7489,5312,1901,619,40965,1813,7831,21677,19141,21362,18471,13296,7316,2361,113267,588,1125,1433,957,678,475,295,94,27,5680,173,471,1089,1300,1481,1564,1379,647,216,8317,2577,9426,24203,21395,23522,20511,14975,8058,2602,127265,78,238,702,709,674,652,627,374,162,4211,2619,2806,5965,5474,5758,5436,4795,3753,2205,38811,5439,19447,62690,59211,56227,48837,35449,17319,6641,311269,3,156,2064,2377,2365,1431,330,104,21,8862,0,121,1586,2208,2576,1476,392,119,34,8511,36,6606,17507,12588,11103,6204,2238,1179,373,57841,171,2219,6340,8612,8975,5723,2306,1293,499,36145,1064,5108,8796,8317,6782,3645,1416,960,267,36353,835,1687,1801,1252,874,402,138,71,14,7068,258,855,2501,2361,1982,1374,620,332,95,10380
49799,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49499,7,19,65,62,75,56,29,30,23,373,17,69,227,174,173,162,84,30,32,960,0,0,9,8,5,10,0,0,0,38,0,0,4,0,3,0,3,0,0,7,0,17,46,11,11,12,6,0,0,99,0,9,9,11,14,4,13,3,0,65,4,19,75,38,51,52,55,12,5,305,0,4,9,4,0,0,0,0,0,16,0,0,7,4,3,4,0,0,0,22,8,21,88,50,50,59,54,12,5,345,0,3,4,0,3,3,3,0,0,16,16,33,77,90,106,69,33,4,4,428,23,88,236,165,190,151,111,20,11,994,0,0,7,8,0,7,0,0,0,23,0,0,9,5,0,3,0,0,0,18,0,22,50,22,9,14,3,0,0,118,0,11,22,11,15,9,0,3,0,79,3,11,28,7,14,12,3,0,0,84,7,4,3,4,4,3,0,0,0,21,0,3,3,4,4,3,0,0,0,16
3RQLD,8342,7587,15082,15449,15286,13581,11499,9075,3819,99717,15069,34222,89854,100682,97870,81525,50846,24596,7391,502049,3,221,3569,4829,4628,3968,2828,948,137,21134,4,178,1272,1824,2208,2142,1187,319,49,9185,70,4526,17683,17281,13900,11654,7965,2822,693,76604,493,2602,9243,13038,14514,12353,8249,2962,770,64227,4716,18137,49825,49084,49955,44709,31101,13572,3200,264303,1815,1973,1964,1398,1111,774,492,171,21,9710,451,878,2118,2486,2764,2800,2370,1137,258,15259,6979,20989,53901,52968,53832,48284,33964,14873,3483,289272,124,292,858,1001,1033,1063,1054,668,200,6284,8069,8221,17208,16425,17713,16636,15069,9855,4256,113446,15745,37032,103736,107362,107835,96093,70320,32454,9588,580153,3,157,1851,2432,2450,1347,344,84,20,8685,0,149,1699,2663,2817,1429,495,109,19,9372,50,7231,22231,17837,14654,8097,3301,1378,333,75109,488,3652,11434,14291,12922,8588,4009,1533,370,57285,2646,9075,15796,15693,12825,6738,2018,922,257,65974,1705,2867,3120,2219,1679,856,232,74,16,12759,500,1455,3741,3644,2960,2046,741,340,88,15531
3GBRI,6634,6880,12699,11303,10048,8617,6789,5649,2746,71364,12759,37329,105342,103527,89288,69415,38976,18752,5992,481392,8,477,10381,12541,9907,6931,3945,1247,299,45729,6,298,2591,3413,3505,2698,1229,320,58,14109,89,10221,35441,30336,21879,14815,8831,2970,736,125320,781,5130,13523,15154,15143,11512,6936,2439,634,71243,4840,15667,41539,37323,36185,30018,20820,9595,2605,198586,1644,1734,1741,1213,807,528,343,107,20,8145,474,953,2159,2396,2183,2075,1714,763,244,12974,6963,18354,45438,40928,39173,32618,22886,10474,2865,219698,137,464,1223,1169,1007,863,834,498,166,6356,5452,6936,14692,12495,11628,9804,8496,5865,3068,78436,13440,41890,123282,116040,102241,79234,53143,23819,7818,560897,11,395,4726,5355,4277,2187,495,153,38,17631,12,276,2933,3974,3518,1817,573,142,22,13271,105,12430,33853,23697,16998,8976,3031,1411,403,100896,766,5433,13121,14528,12323,7793,3326,1521,450,59267,2258,8196,13549,12141,10128,5256,1513,776,252,54069,1364,2331,2632,1822,1408,666,178,70,22,10488,413,1306,3649,3495,3051,1748,631,325,97,14723
39799,0,7,8,14,18,8,3,3,3,62,4,22,36,31,40,26,17,11,3,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,3,6,0,0,4,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,6,0,0,4,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,9,0,3,3,8,3,3,10,5,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39499,76,132,256,246,225,226,148,48,10,1353,107,318,834,631,612,880,512,120,10,4024,0,5,54,23,20,23,17,4,0,143,0,0,12,4,4,14,6,0,0,48,0,66,172,46,49,47,56,8,0,448,4,26,48,49,45,80,61,8,0,327,19,73,244,189,212,292,299,53,3,1395,4,12,11,12,4,5,3,0,0,48,0,14,16,11,5,27,21,3,0,95,26,89,271,207,226,324,320,58,3,1534,0,8,7,11,8,9,8,3,0,55,45,121,357,337,292,269,194,52,9,1669,79,312,925,669,647,771,673,135,14,4223,0,4,30,18,19,16,0,0,0,87,0,3,22,12,16,7,3,0,0,72,4,85,239,78,63,63,23,0,0,549,6,38,73,59,59,109,28,0,0,384,17,49,77,49,63,67,10,0,3,334,10,21,16,15,11,8,0,0,0,85,4,14,20,19,20,29,8,0,0,115
2RVIC,4597,3016,5724,6623,7479,7854,7538,6861,2795,52491,7835,18611,45585,53674,56392,51266,32307,17327,5333,288323,3,148,1842,2475,2476,2426,1848,555,102,11878,3,76,942,1506,1741,2038,1275,263,47,7883,22,2386,9704,10075,7644,8083,5405,1670,462,45455,138,1483,5564,6898,7625,8059,6381,2280,586,39014,2148,11148,27177,25317,29084,26813,18567,8456,2358,151078,487,838,994,776,633,624,369,83,22,4831,114,461,1086,1248,1398,1632,1464,565,187,8163,2752,12454,29260,27345,31121,29078,20401,9104,2566,164071,42,146,410,453,468,571,604,410,124,3231,4870,3947,8001,8037,9637,10372,10540,7342,3393,66141,7833,20640,55725,56796,60709,60614,46461,21630,7280,337677,0,50,879,1339,1538,953,231,57,7,5052,3,173,1849,2601,3111,1560,456,114,26,9893,13,3770,12808,10892,11022,6200,2585,1103,264,48660,142,2179,6176,7809,8554,6566,3104,1543,369,36450,1424,5798,9904,10413,8679,4539,1473,722,209,43167,898,1833,2114,1706,1407,626,142,69,18,8822,260,792,1834,1841,1739,1262,492,259,84,8561
2GMEL,12442,13025,25364,21294,19738,17488,14929,13246,6198,143725,19721,73976,226714,205426,173352,129232,75400,40711,13918,958452,18,2097,34515,32798,21260,14625,8554,2710,626,117203,17,517,6266,8201,7596,6764,3302,794,174,33627,186,26009,95073,73083,49094,34775,19379,7090,2291,306975,848,11691,37063,32248,27422,20926,14265,5813,1944,152216,5096,24002,65989,58768,62917,48356,31431,17249,5356,319171,982,1888,2510,2009,1571,1000,580,208,43,10794,442,1524,3824,4189,4395,4037,2889,1346,468,23105,6523,27408,72319,64967,68879,53391,34897,18805,5871,353062,241,962,2938,2668,2205,1895,1576,920,357,13765,9693,12382,28532,22832,20672,17917,16006,12022,6196,146257,17521,81060,276711,236790,197121,150305,97982,48156,17471,1123109,11,976,12803,11896,8866,4817,1199,427,103,41099,15,842,9209,11114,9609,4691,1300,363,73,37210,197,25066,80841,54256,37426,18845,7097,3210,912,227851,887,12499,29827,30318,25252,16361,7339,3657,1122,127263,2785,12286,22398,21384,15868,9363,3625,2163,659,90535,1138,2931,4502,3294,2620,1226,332,185,49,16277,524,2392,6072,6949,5468,3641,1549,970,273,27834
29799,0,0,0,0,0,0,0,0,0,3,0,0,4,6,5,4,3,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,3,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,3,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,4,3,5,10,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29499,65,126,275,300,204,89,60,31,7,1163,82,305,777,643,435,247,143,45,15,2697,0,5,63,27,14,17,4,0,0,133,0,0,10,14,5,4,0,0,0,30,0,33,162,60,39,31,18,3,0,344,0,19,61,36,30,30,13,9,0,190,9,43,141,110,90,81,45,11,0,540,0,10,6,5,3,0,0,0,0,25,0,7,11,12,7,3,6,0,0,45,12,55,157,128,105,85,56,13,0,602,0,3,3,6,3,0,3,0,0,20,45,120,320,352,254,151,75,19,3,1335,58,236,769,620,444,313,166,39,3,2654,0,0,30,16,4,5,0,0,0,58,0,3,12,15,10,0,4,0,0,43,0,75,224,65,29,21,6,3,0,415,0,17,68,33,32,30,3,6,0,190,11,50,60,38,24,15,3,0,0,199,6,17,9,6,3,3,0,0,0,43,0,11,12,14,6,9,0,0,0,52
1RNSW,8744,6481,11407,12846,14493,14320,13673,12383,4881,99227,13841,33666,84614,101698,110751,101104,65899,36304,10845,558724,8,139,4038,5669,5647,5737,4336,1428,328,27345,5,87,1231,1978,2329,3189,1884,466,102,11275,45,4073,17961,18259,15303,16059,10943,3880,1085,87606,201,2191,9217,13182,14787,13934,9865,3792,1084,68256,3244,18927,48586,47507,53815,52773,39174,18992,5188,288213,951,1771,2134,1568,1460,1260,825,278,59,10302,351,889,1982,2410,3052,3729,3553,1685,465,18118,4549,21588,52705,51478,58332,57759,43553,20964,5712,316637,137,310,814,865,926,1134,1242,682,226,6340,8587,7430,14852,14484,16911,18173,18358,13412,6381,118598,13531,35817,100827,105924,114237,115988,90186,44623,14919,636044,3,125,2035,3152,3595,2224,598,147,33,11915,4,210,2050,3255,4832,2417,744,222,35,13768,51,6140,22999,19880,19676,11033,4644,1981,498,86896,425,4006,11729,16204,18005,12283,6123,2729,671,72174,2670,10794,19478,20141,16571,8044,2873,1671,423,82658,1737,3260,4479,4317,3515,1648,455,189,35,19636,482,1339,4099,5945,5769,4161,1822,866,226,24701
1GSYD,14105,14161,30076,24680,22951,19403,15775,12809,6018,159987,20711,75212,246840,233547,202143,150963,86323,45517,15731,1076997,18,1808,39243,42049,28180,19688,11076,3625,868,146564,23,404,5059,6959,5846,5157,2642,767,169,27022,257,26922,102761,80125,56386,42241,24124,9095,2849,344760,887,10388,35832,35403,31480,22279,12939,5368,1907,156477,3928,22183,61484,60583,62605,50787,35959,18975,6174,322677,769,1638,2673,2177,1928,1431,983,326,103,12035,485,1678,4499,5225,5873,5940,4843,2103,642,31293,5176,25502,68654,67985,70408,58161,41782,21407,6925,366004,296,1155,3634,3492,3123,2692,2120,1134,429,18073,10395,13624,33054,26261,23020,19692,16755,12173,6900,161872,17054,79804,288236,262271,218447,169909,111443,53565,20045,1220774,28,1515,18945,16996,12350,6409,1714,555,113,58617,23,631,6299,7295,7463,3958,1276,454,99,27491,225,27340,89267,62658,42771,21083,7512,3667,1063,255586,1453,13387,36401,37786,31334,20074,8906,4561,1427,155333,3491,14570,26592,23082,17058,9274,3748,2524,899,101231,1615,3631,6137,5133,4053,2007,596,327,80,23581,717,2578,8206,10392,9088,6245,2559,1505,510,41800
