GCCSA_CODE_2016,C06_N_inc_R0_74,C06_N_inc_R75_99,C06_Ne_Ni_inc_R100_149,C06_Ne_Ni_inc_R150_199,C06_Ne_Ni_inc_R200_224,C06_Ne_Ni_inc_R225_274,C06_Ne_Ni_inc_R275_349,C06_Ne_Ni_inc_R350_449,C06_Ne_Ni_inc_R450_549,C06_Ne_Ni_inc_R550_649,C06_Ne_Ni_inc_R650m,C06_Ne_Ni_inc_R_NS,C06_N_inc_R_Tot,C06_1_149_R0_74,C06_1_149_R75_99,C06_1_149_R100_149,C06_1_149_R150_199,C06_1_149_R200_224,C06_1_149_R225_274,C06_1_149_R275_349,C06_1_149_R350_449,C06_1_149_R450_549,C06_1_149_R550_649,C06_1_149_R650m,C06_1_149_R_NS,C06_1_149_R_Tot,C06_150_299_R0_74,C06_150_299_R75_99,C06_150_299_R100_149,C06_150_299_R150_199,C06_150_299_R200_224,C06_150_299_R225_274,C06_150_299_R275_349,C06_150_299_R350_449,C06_150_299_R450_549,C06_150_299_R550_649,C06_150_299_R650m,C06_150_299_R_NS,C06_150_299_R_Tot,C06_300_399_R0_74,C06_300_399_R75_99,C06_300_399_R100_149,C06_300_399_R150_199,C06_300_399_R200_224,C06_300_399_R225_274,C06_300_399_R275_349,C06_300_399_R350_449,C06_300_399_R450_549,C06_300_399_R550_649,C06_300_399_R650m,C06_300_399_R_NS,C06_300_399_R_Tot,C06_400_499_R0_74,C06_400_499_R75_99,C06_400_499_R100_149,C06_400_499_R150_199,C06_400_499_R200_224,C06_400_499_R225_274,C06_400_499_R275_349,C06_400_499_R350_449,C06_400_499_R450_549,C06_400_499_R550_649,C06_400_499_R650m,C06_400_499_R_NS,C06_400_499_R_Tot,C06_500_649_R0_74,C06_500_649_R75_99,C06_500_649_R100_149,C06_500_649_R150_199,C06_500_649_R200_224,C06_500_649_R225_274,C06_500_649_R275_349,C06_500_649_R350_449,C06_500_649_R450_549,C06_500_649_R550_649,C06_500_649_R650m,C06_500_649_R_NS,C06_500_649_R_Tot,C06_650_799_R0_74,C06_650_799_R75_99,C06_650_799_R100_149,C06_650_799_R150_199,C06_650_799_R200_224,C06_650_799_R225_274,C06_650_799_R275_349,C06_650_799_R350_449,C06_650_799_R450_549,C06_650_799_R550_649,C06_650_799_R650m,C06_650_799_R_NS,C06_650_799_R_Tot,C06_800_999_R0_74,C06_800_999_R75_99,C06_800_999_R100_149,C06_800_999_R150_199,C06_800_999_R200_224,C06_800_999_R225_274,C06_800_999_R275_349,C06_800_999_R350_449,C06_800_999_R450_549,C06_800_999_R550_649,C06_800_999_R650m,C06_800_999_R_NS,C06_800_999_R_Tot,C06_1000_1249_R0_74,C06_1000_1249_R75_99,C06_1000_1249_R100_149,C06_1000_1249_R150_199,C06_1000_1249_R200_224,C06_1000_1249_R225_274,C06_1000_1249_R275_349,C06_1000_1249_R350_449,C06_1000_1249_R450_549,C06_1000_1249_R550_649,C06_1000_1249_R650m,C06_1000_1249_R_NS,C06_1000_1249_R_Tot,C06_1250_1499_R0_74,C06_1250_1499_R75_99,C06_1250_1499_R100_149,C06_1250_1499_R150_199,C06_1250_1499_R200_224,C06_1250_1499_R225_274,C06_1250_1499_R275_349,C06_1250_1499_R350_449,C06_1250_1499_R450_549,C06_1250_1499_R550_649,C06_1250_1499_R650m,C06_1250_1499_R_NS,C06_1250_1499_R_Tot,C06_1500_1999_R0_74,C06_1500_1999_R75_99,C06_1500_1999_R100_149,C06_1500_1999_R150_199,C06_1500_1999_R200_224,C06_1500_1999_R225_274,C06_1500_1999_R275_349,C06_1500_1999_R350_449,C06_1500_1999_R450_549,C06_1500_1999_R550_649,C06_1500_1999_R650m,C06_1500_1999_R_NS,C06_1500_1999_R_Tot,C06_2000_2499_R0_74,C06_2000_2499_R75_99,C06_2000_2499_R100_149,C06_2000_2499_R150_199,C06_2000_2499_R200_224,C06_2000_2499_R225_274,C06_2000_2499_R275_349,C06_2000_2499_R350_449,C06_2000_2499_R450_549,C06_2000_2499_R550_649,C06_2000_2499_R650m,C06_2000_2499_R_NS,C06_2000_2499_R_Tot,C06_2500_2999_R0_74,C06_2500_2999_R75_99,C06_2500_2999_R100_149,C06_2500_2999_R150_199,C06_2500_2999_R200_224,C06_2500_2999_R225_274,C06_2500_2999_R275_349,C06_2500_2999_R350_449,C06_2500_2999_R450_549,C06_2500_2999_R550_649,C06_2500_2999_R650m,C06_2500_2999_R_NS,C06_2500_2999_R_Tot,C06_3000_3999_R0_74,C06_3000_3999_R75_99,C06_3000_3999_R100_149,C06_3000_3999_R150_199,C06_3000_3999_R200_224,C06_3000_3999_R225_274,C06_3000_3999_R275_349,C06_3000_3999_R350_449,C06_3000_3999_R450_549,C06_3000_3999_R550_649,C06_3000_3999_R650m,C06_3000_3999_R_NS,C06_3000_3999_R_Tot,C06_4000m_R0_74,C06_4000m_R75_99,C06_4000m_R100_149,C06_4000m_R150_199,C06_4000m_R200_224,C06_4000m_R225_274,C06_4000m_R275_349,C06_4000m_R350_449,C06_4000m_R450_549,C06_4000m_R550_649,C06_4000m_R650m,C06_4000m_R_NS,C06_4000m_R_Tot,C06_PI_S_R0_74,C06_PI_S_R75_99,C06_PI_S_R100_149,C06_PI_S_R150_199,C06_PI_S_R200_224
6RTAS,55,10,51,36,16,17,10,0,0,0,8,32,241,168,57,145,66,15,12,6,3,0,0,6,36,533,1527,355,797,317,46,28,11,5,0,3,34,112,3236,1178,518,1276,648,88,39,13,0,0,3,24,106,3896,233,241,612,357,43,19,5,3,0,0,11,46,1576,631,537,1567,1225,255,111,33,4,3,3,30,110,4495,308,180,753,600,162,101,29,4,6,0,8,41,2188,259,134,620,643,169,90,29,0,3,0,6,42,1991,364,175,777,836,260,173,41,14,7,5,9,61,2727,175,40,277,313,131,96,44,3,3,3,3,33,1114,141,34,209,280,131,104,45,13,5,3,4,40,1011,71,12,55,95,34,39,38,11,3,3,3,8,366,85,13,45,48,20,46,23,10,4,4,10,18,315,7,4,15,11,6,12,13,7,0,0,3,5,90,9,7,9,3,0,0,5,9,0,0,4,3,43,205,120,413,410,134
6GHOB,39,22,45,34,28,24,29,14,3,0,3,26,258,125,40,92,50,22,24,4,3,7,3,4,16,395,1178,220,475,245,54,50,17,9,8,3,32,108,2386,712,357,750,488,110,105,27,8,0,0,16,78,2662,90,99,322,170,63,48,20,3,3,0,14,18,857,278,284,899,879,309,278,90,19,13,3,20,71,3128,98,76,482,545,206,200,76,12,6,3,5,33,1753,107,50,392,484,213,234,96,21,5,0,14,26,1643,111,56,425,643,329,375,155,45,10,0,4,33,2184,52,18,122,290,156,221,127,29,17,3,4,16,1056,53,17,100,218,139,267,167,61,14,9,4,17,1058,22,5,41,70,49,108,102,52,10,8,3,7,469,28,5,15,29,18,62,75,64,24,7,0,6,335,3,0,6,5,11,19,46,24,7,3,3,0,126,3,0,3,4,0,3,3,14,5,3,0,0,40,101,53,237,222,136
69799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5RWAU,140,26,76,78,31,25,8,7,3,0,8,59,456,256,86,153,75,24,13,9,3,3,3,9,71,710,1720,397,711,314,62,38,24,11,6,3,72,194,3552,1248,503,1144,653,127,82,30,16,7,10,37,168,4020,577,313,492,245,63,33,9,11,5,3,17,92,1867,1233,546,1621,1438,353,243,76,33,14,10,57,248,5871,847,296,897,877,281,202,72,19,11,3,27,154,3693,1002,322,894,906,323,293,96,41,12,10,29,179,4098,1387,439,1235,1362,588,537,208,91,39,21,74,268,6243,928,224,617,673,369,396,223,100,36,25,42,212,3835,1204,317,759,806,415,509,299,148,66,40,74,252,4880,614,173,422,297,160,253,166,93,50,19,44,115,2406,1013,137,314,243,128,212,187,128,69,42,108,215,2785,539,63,144,81,50,100,94,70,51,27,62,74,1349,163,17,35,25,18,24,28,30,29,12,36,35,448,907,339,826,738,337
5GPER,208,78,311,487,267,331,259,137,49,18,37,208,2391,635,198,469,455,171,183,100,53,20,7,57,142,2473,4836,1057,2367,1779,462,342,142,75,27,17,190,516,11808,3068,1402,3734,3623,922,690,250,77,22,18,136,434,14369,402,696,1236,1193,313,263,110,40,8,3,42,138,4440,1347,1004,4082,6595,2347,1756,586,163,35,22,108,452,18497,655,297,2321,4642,1753,1499,540,139,37,22,60,241,12200,524,226,1757,4277,1889,1719,672,208,57,17,49,238,11627,655,230,1875,5758,2978,3034,1378,340,80,30,77,254,16702,357,79,791,2715,1717,2133,1075,318,92,32,53,151,9511,396,82,695,2708,1916,2673,1588,500,136,45,85,153,10985,213,25,246,953,867,1343,1090,362,114,32,40,81,5366,200,9,140,585,486,1029,1161,743,359,159,315,114,5305,77,9,52,200,203,469,537,416,145,64,115,32,2314,20,5,23,44,42,94,142,127,83,58,89,10,748,581,305,1158,2770,1598
59799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4RSAU,130,37,86,51,14,3,7,3,0,3,6,44,394,337,98,243,53,14,11,0,3,6,3,13,70,855,2308,638,933,281,32,25,12,10,5,6,102,206,4552,1473,719,1430,642,63,43,7,7,4,7,50,173,4623,381,214,956,288,27,16,3,3,3,4,17,88,2000,985,526,2232,1269,167,65,23,16,6,3,39,219,5563,541,218,1168,753,131,49,13,7,9,0,15,97,3007,536,258,972,722,144,61,26,14,10,8,14,106,2863,780,298,1250,1017,216,143,61,14,8,6,38,149,3986,396,124,498,450,131,75,39,29,6,5,17,96,1864,415,132,446,407,149,111,65,42,6,8,6,90,1877,189,51,172,156,69,47,28,17,3,3,20,41,804,152,47,146,110,44,55,46,38,4,3,16,49,709,65,8,45,38,19,27,26,16,3,0,9,20,288,15,0,14,11,3,3,12,11,3,0,3,11,84,376,185,648,463,100
4GADE,235,77,290,491,201,213,232,104,31,8,35,204,2117,920,297,556,405,129,132,66,33,12,8,68,202,2830,7602,1489,2081,1521,414,277,126,34,24,38,285,713,14603,4360,2044,3063,2841,833,524,155,47,20,19,182,586,14680,508,592,2229,950,321,219,70,23,10,3,42,154,5112,1427,1046,4469,5867,2050,1405,444,102,35,20,93,486,17454,537,317,2112,4193,1559,1151,322,97,16,12,39,210,10564,450,226,1433,3451,1536,1301,430,128,37,13,45,178,9227,533,190,1566,4300,2394,2340,865,223,56,17,63,209,12749,236,55,576,1783,1223,1403,605,204,48,5,38,118,6293,249,52,409,1625,1290,1755,955,306,65,16,36,104,6860,111,15,133,542,438,794,586,207,36,20,14,54,2940,103,15,66,236,180,360,513,297,113,62,74,46,2064,27,7,28,73,58,136,200,172,68,30,31,10,844,16,3,12,18,18,22,47,47,23,8,27,5,252,440,282,1018,1800,1020
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
