GCCSA_CODE_2016,C06_F_CL_T_15_19,C06_F_CL_T_20_24,C06_F_CL_T_25_34,C06_F_CL_T_35_44,C06_F_CL_T_45_54,C06_F_CL_T_55_64,C06_F_CL_T_65_74,C06_F_CL_T_75_84,C06_F_CL_T_85_ov,C06_F_CL_T_Tot,C06_F_LE_ID_15_19,C06_F_LE_ID_20_24,C06_F_LE_ID_25_34,C06_F_LE_ID_35_44,C06_F_LE_ID_45_54,C06_F_LE_ID_55_64,C06_F_LE_ID_65_74,C06_F_LE_ID_75_84,C06_F_LE_ID_85o,C06_F_LE_ID_Tot,C06_F_LE_NS_15_19,C06_F_LE_NS_20_24,C06_F_LE_NS_25_34,C06_F_LE_NS_35_44,C06_F_LE_NS_45_54,C06_F_LE_NS_55_64,C06_F_LE_NS_65_74,C06_F_LE_NS_75_84,C06_F_LE_NS_85_ov,C06_F_LE_NS_T,C06_F_Tot_15_19_yrs,C06_F_Tot_20_24_yrs,C06_F_Tot_25_34_yrs,C06_F_Tot_35_44_yrs,C06_F_Tot_45_54_yrs,C06_F_Tot_55_64_yrs,C06_F_Tot_65_74_yrs,C06_F_Tot_75_84_yrs,C06_F_Tot_85o,C06_F_T_T,C11_F_Post_Deg_15_19_yrs,C11_F_Post_Deg_20_24_yrs,C11_F_Post_Deg_25_34_yrs,C11_F_Post_Deg_35_44_yrs,C11_F_Post_Deg_45_54_yrs,C11_F_Post_Deg_55_64_yrs,C11_F_Post_Deg_65_74_yrs,C11_F_Post_Deg_75_84_yrs,C11_F_Post_Deg_85o,C11_F_Post_Deg_Tot,C11_F_GrDip_GrCe_15_19,C11_F_GrDip_GrCe_20_24,C11_F_GrDip_GrCe_25_34,C11_F_GrDip_GrCe_35_44,C11_F_GrDip_GrCe_45_54,C11_F_GrDip_GrCe_55_64,C11_F_GrDip_GrCe_65_74,C11_F_GrDip_GrCe_75_84,C11_F_GrDip_GrCe_85ov,C11_F_GrDip_GrCe_Tot,C11_F_BD_15_19,C11_F_BD_20_24,C11_F_BD_25_34,C11_F_BD_35_44,C11_F_BD_45_54,C11_F_BD_55_64,C11_F_BD_65_74,C11_F_BD_75_84,C11_F_BD_85o,C11_F_BD_Tot,C11_F_AdD_DL_15_19,C11_F_AdD_DL_20_24,C11_F_AdD_DL_25_34,C11_F_AdD_DL_35_44,C11_F_AdD_DL_45_54,C11_F_AdD_DL_55_64,C11_F_AdD_DL_65_74,C11_F_AdD_DL_75_84,C11_F_AdD_DL_85o,C11_F_AdD_DL_Tot,C11_F_CL_C_III_IV_15_19,C11_F_CL_C_III_IV_20_24,C11_F_CL_C_III_IV_25_34,C11_F_CL_C_III_IV_35_44,C11_F_CL_C_III_IV_45_54,C11_F_CL_C_III_IV_55_64,C11_F_CL_C_III_IV_65_74,C11_F_CL_C_III_IV_75_84,C11_F_CL_C_III_IV_85_ov,C11_F_CL_C_III_IV_Tot,C11_F_CL_C_I_II_15_19,C11_F_CL_C_I_II_20_24,C11_F_CL_C_I_II_25_34,C11_F_CL_C_I_II_35_44,C11_F_CL_C_I_II_45_54,C11_F_CL_C_I_II_55_64,C11_F_CL_C_I_II_65_74,C11_F_CL_C_I_II_75_84,C11_F_CL_C_I_II_85_ov,C11_F_CL_C_I_II_Tot,C11_F_CL_CL_nfd_15_19,C11_F_CL_CL_nfd_20_24,C11_F_CL_CL_nfd_25_34,C11_F_CL_CL_nfd_35_44,C11_F_CL_CL_nfd_45_54,C11_F_CL_CL_nfd_55_64,C11_F_CL_CL_nfd_65_74,C11_F_CL_CL_nfd_75_84,C11_F_CL_CL_nfd_85_ov,C11_F_CL_CL_nfd_Tot,C11_F_CL_T_15_19,C11_F_CL_T_20_24,C11_F_CL_T_25_34,C11_F_CL_T_35_44,C11_F_CL_T_45_54,C11_F_CL_T_55_64,C11_F_CL_T_65_74,C11_F_CL_T_75_84,C11_F_CL_T_85_ov,C11_F_CL_T_Tot,C11_F_LE_ID_15_19,C11_F_LE_ID_20_24,C11_F_LE_ID_25_34,C11_F_LE_ID_35_44,C11_F_LE_ID_45_54,C11_F_LE_ID_55_64,C11_F_LE_ID_65_74,C11_F_LE_ID_75_84,C11_F_LE_ID_85o,C11_F_LE_ID_Tot,C11_F_LE_NS_15_19,C11_F_LE_NS_20_24,C11_F_LE_NS_25_34,C11_F_LE_NS_35_44,C11_F_LE_NS_45_54,C11_F_LE_NS_55_64,C11_F_LE_NS_65_74,C11_F_LE_NS_75_84,C11_F_LE_NS_85_ov,C11_F_LE_NS_T,C11_F_Tot_15_19_yrs,C11_F_Tot_20_24_yrs,C11_F_Tot_25_34_yrs,C11_F_Tot_35_44_yrs,C11_F_Tot_45_54_yrs,C11_F_Tot_55_64_yrs,C11_F_Tot_65_74_yrs,C11_F_Tot_75_84_yrs,C11_F_Tot_85o,C11_F_T_T,C16_F_Post_Deg_15_19_yrs,C16_F_Post_Deg_20_24_yrs,C16_F_Post_Deg_25_34_yrs,C16_F_Post_Deg_35_44_yrs,C16_F_Post_Deg_45_54_yrs,C16_F_Post_Deg_55_64_yrs,C16_F_Post_Deg_65_74_yrs,C16_F_Post_Deg_75_84_yrs,C16_F_Post_Deg_85o,C16_F_Post_Deg_Tot,C16_F_GrDip_GrCe_15_19,C16_F_GrDip_GrCe_20_24,C16_F_GrDip_GrCe_25_34,C16_F_GrDip_GrCe_35_44,C16_F_GrDip_GrCe_45_54,C16_F_GrDip_GrCe_55_64,C16_F_GrDip_GrCe_65_74,C16_F_GrDip_GrCe_75_84,C16_F_GrDip_GrCe_85ov,C16_F_GrDip_GrCe_Tot,C16_F_BD_15_19,C16_F_BD_20_24,C16_F_BD_25_34,C16_F_BD_35_44,C16_F_BD_45_54,C16_F_BD_55_64,C16_F_BD_65_74,C16_F_BD_75_84,C16_F_BD_85o,C16_F_BD_Tot,C16_F_AdD_DL_15_19,C16_F_AdD_DL_20_24,C16_F_AdD_DL_25_34,C16_F_AdD_DL_35_44,C16_F_AdD_DL_45_54,C16_F_AdD_DL_55_64,C16_F_AdD_DL_65_74,C16_F_AdD_DL_75_84,C16_F_AdD_DL_85o,C16_F_AdD_DL_Tot,C16_F_CL_C_III_IV_15_19,C16_F_CL_C_III_IV_20_24,C16_F_CL_C_III_IV_25_34,C16_F_CL_C_III_IV_35_44,C16_F_CL_C_III_IV_45_54,C16_F_CL_C_III_IV_55_64,C16_F_CL_C_III_IV_65_74,C16_F_CL_C_III_IV_75_84,C16_F_CL_C_III_IV_85_ov,C16_F_CL_C_III_IV_Tot
6RTAS,594,1851,2993,3135,2759,1341,431,217,72,13396,17,87,210,310,396,322,214,104,31,1689,952,474,1017,1458,1567,1860,2149,2250,1009,12735,1599,3428,7678,8930,9325,6695,4193,3126,1275,46248,0,11,279,387,449,409,126,24,4,1685,0,19,210,379,415,404,131,37,3,1613,3,603,2665,2623,2456,1951,890,283,78,11551,19,231,985,1753,1979,1785,1064,379,115,8311,426,1471,3081,2912,2666,1627,437,134,46,12793,261,453,623,456,385,246,85,19,10,2539,29,116,239,398,518,448,202,89,37,2079,712,2033,3946,3766,3569,2319,726,242,96,17408,33,50,163,206,265,326,196,106,33,1381,806,377,778,1109,1378,1717,2069,1932,968,11135,1580,3325,9026,10220,10514,8919,5204,3005,1299,53079,0,33,418,513,573,553,317,43,8,2453,3,35,281,393,488,510,264,66,14,2049,0,630,2755,2810,2525,2484,1442,435,136,13212,25,302,1215,1768,2296,2234,1537,663,160,10196,355,1501,3184,2942,2897,2224,867,188,56,14210
6GHOB,374,1424,2109,2027,1718,859,368,224,57,9159,23,62,157,227,287,221,159,102,32,1264,749,499,868,1133,1264,1334,1370,1748,836,9796,1179,3341,7454,7984,7976,5340,3156,2688,1085,40209,0,48,618,733,700,532,183,55,11,2884,0,53,437,534,565,449,123,43,10,2223,3,1002,3302,2933,2579,1877,795,318,124,12946,24,268,951,1491,1533,1361,709,351,129,6810,272,1147,2206,1843,1674,970,319,155,47,8621,192,344,454,262,283,125,54,25,13,1748,31,89,198,281,356,293,164,72,35,1518,493,1578,2856,2380,2314,1387,536,259,97,11891,20,52,113,157,192,233,143,97,36,1052,612,437,754,841,1051,1270,1317,1354,783,8423,1150,3454,9029,9071,8938,7111,3804,2481,1203,46233,0,76,1211,1122,915,719,370,89,22,4525,4,60,528,611,675,583,293,60,22,2825,5,972,3527,3349,2556,2395,1304,475,177,14764,25,305,1153,1535,1793,1601,1083,520,183,8196,217,1150,2566,2028,1940,1444,496,181,72,10089
69799,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,5,3,3,3,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,3
69499,4,10,7,6,9,0,0,0,0,40,0,0,3,0,0,0,0,0,0,4,3,0,9,0,7,12,6,4,6,38,3,16,48,27,25,25,9,3,6,164,0,0,5,0,5,3,0,0,0,13,0,0,0,0,0,0,0,0,0,4,0,4,18,6,7,11,0,0,0,50,0,0,8,12,8,11,3,3,0,45,4,5,8,4,4,4,3,0,0,35,0,0,3,0,0,0,0,0,0,7,0,0,0,3,0,3,0,0,0,7,4,6,9,11,8,8,3,0,0,48,0,0,0,3,0,0,0,0,0,3,6,9,11,5,4,12,11,3,0,55,9,19,55,33,31,48,15,6,0,225,0,0,7,5,7,7,0,0,0,17,0,0,3,3,0,0,0,0,0,5,0,3,15,10,0,7,3,0,0,38,0,0,5,11,7,9,5,0,0,38,0,4,12,6,4,5,0,0,0,31
5RWAU,1156,2708,4875,4703,3759,1841,564,223,50,19877,44,121,395,567,614,474,218,131,25,2584,1965,1309,3037,3865,3553,2997,2410,2282,1020,22437,3251,5948,15533,16819,14776,9240,4788,3136,1220,74704,0,26,458,504,443,346,100,11,0,1892,3,64,704,845,719,548,131,29,4,3049,0,1077,5623,5324,3504,2403,1168,373,85,19552,121,751,2634,3567,3693,2664,1200,412,120,15152,891,2397,5082,4529,3803,2282,802,475,223,20474,577,653,1024,732,556,360,113,28,6,4050,116,276,775,1013,901,644,257,91,29,4097,1581,3328,6878,6274,5262,3279,1169,593,262,28622,60,161,404,611,845,899,575,254,89,3911,1621,1327,3019,3233,2972,2473,1943,1622,748,18940,3384,6733,19717,20353,17429,12612,6286,3298,1303,91119,0,28,751,821,641,537,236,39,5,3063,4,95,790,1008,882,778,284,59,5,3901,14,1037,6137,6102,4226,3151,1673,636,135,23106,108,720,3234,3674,3969,3684,1934,691,178,18198,803,2442,6123,5244,4853,3235,1193,274,90,24259
5GPER,3550,9476,15463,14811,12297,7201,2673,1419,458,67335,188,536,1612,2301,2362,1722,1055,637,229,10636,6188,4829,8657,10424,10557,9706,9194,9955,5153,74680,10795,28503,65925,66692,58505,37106,20478,15136,6648,309786,0,442,6369,5848,4317,2726,837,213,34,20786,14,431,3714,4363,3846,2344,729,195,34,15683,59,10571,35462,27239,18189,11589,4981,2037,545,110677,763,5096,13202,15624,15323,10412,4999,2047,618,68083,3075,8655,15469,13618,11478,6841,2548,1351,519,63541,993,1581,2361,1908,1636,1081,419,149,46,10176,372,1120,2443,3358,3359,2614,1352,527,190,15336,4443,11356,20267,18882,16477,10535,4323,2030,755,89057,237,795,1912,2558,3220,3280,2589,1376,560,16528,4765,4191,8331,7994,7491,7514,7065,7826,5265,60443,10278,32878,89254,82507,68871,48407,25530,15712,7816,381260,8,575,10648,9843,6399,3885,1697,391,81,33532,21,561,4788,5422,4916,3622,1339,364,84,21116,78,12296,46083,35847,23572,14949,7888,3065,813,144603,845,5128,16669,17426,17258,13347,7263,2963,924,81829,2837,9419,20382,16090,14862,9626,4039,1260,477,78999
59799,0,0,5,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,10,4,3,0,0,0,0,15,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,6,0,4,10,3,5,0,4,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4
59499,14,58,62,35,66,46,4,0,0,281,0,5,13,11,13,12,7,0,0,53,9,33,43,59,53,75,41,3,8,318,26,162,325,204,211,217,66,10,7,1231,0,3,21,13,6,10,0,0,0,59,0,3,18,19,10,14,3,0,0,61,0,50,186,82,40,60,14,0,0,439,3,15,61,25,45,59,22,0,0,238,5,33,76,38,56,42,13,0,0,264,4,11,14,5,3,13,3,0,0,48,0,0,12,5,13,17,4,0,0,47,12,47,99,47,69,68,20,0,0,364,0,11,16,13,12,20,9,3,0,81,25,36,95,101,62,74,27,12,4,428,39,169,489,297,247,309,96,17,4,1666,0,3,26,11,9,4,0,0,0,54,0,0,6,5,4,17,0,0,0,32,0,37,136,50,30,25,18,3,0,302,0,7,46,13,24,45,22,3,0,155,3,29,52,25,32,54,17,0,0,217
4RSAU,639,2012,3929,3893,3186,1687,554,242,62,16207,31,131,304,442,466,358,204,127,31,2094,1203,595,1351,1929,1974,2336,2392,2876,1348,16005,1903,3801,9723,10737,10716,7813,4458,3801,1587,54537,0,13,271,296,257,262,95,16,5,1219,0,17,267,449,506,517,173,24,7,1957,6,758,3325,2727,2167,1907,967,343,111,12300,31,323,1270,2247,2706,2290,1115,352,102,10450,437,1596,3595,3490,3452,2130,676,231,57,15667,324,475,932,671,481,242,90,22,8,3244,60,176,551,754,618,501,227,67,28,2969,818,2246,5082,4920,4547,2867,992,318,88,21888,19,56,165,296,346,307,209,139,50,1595,1067,548,1137,1508,1805,2144,2443,2536,1360,14548,1948,3969,11514,12444,12339,10284,5996,3727,1724,63949,0,32,427,425,356,366,209,41,5,1866,0,48,334,427,555,653,314,71,7,2411,3,786,3527,3266,2349,2364,1474,511,142,14413,52,440,1729,2284,3079,3133,1868,531,167,13277,593,1825,4239,3881,4096,3084,1312,310,106,19435
4GADE,2160,7651,13102,11934,9639,5419,2173,1360,376,53803,142,419,1002,1344,1407,1071,665,489,178,6722,3938,2802,4859,6005,6330,6424,6909,9147,4663,51072,6449,19975,46467,45073,42409,27747,15002,13690,6142,222956,4,336,4629,3885,3158,2261,764,160,35,15239,0,187,1920,2714,2825,2395,735,163,36,10971,33,6741,23059,17311,12491,8927,3627,1475,470,74132,166,2481,7613,10019,10130,7847,3499,1434,582,43780,1435,5815,11970,10120,9154,5512,1936,1002,340,47285,866,1410,2230,1547,1223,709,247,87,26,8350,261,772,1823,2391,2108,1734,874,333,145,10438,2552,8002,16030,14049,12489,7957,3058,1427,512,66074,92,344,782,981,1154,969,701,464,193,5687,3207,2488,4364,4792,5458,5894,6266,7357,5640,45469,6059,20578,58395,53754,47701,36256,18663,12472,7460,261335,5,405,7380,6416,4231,3111,1576,352,63,23540,10,293,2432,3194,3027,2926,1466,322,61,13726,46,7325,26542,21615,14218,11055,6115,2152,803,89866,195,2551,9130,10525,11800,10068,5641,2033,851,52798,1903,6359,14041,11446,11542,7932,3472,1076,457,58233
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49499,10,16,35,14,17,22,3,0,0,122,0,0,0,4,3,4,0,0,0,12,9,15,16,23,28,21,13,9,6,138,21,69,136,81,72,75,26,8,6,506,0,0,14,5,4,3,0,0,0,33,0,0,4,3,0,9,0,0,0,19,0,16,55,19,12,16,3,0,0,127,0,4,26,17,13,9,4,0,0,83,6,11,31,13,18,11,3,0,0,88,0,8,4,3,5,4,0,0,0,26,3,10,9,11,6,3,0,0,0,45,8,24,37,30,34,21,3,0,0,155,0,5,3,3,3,6,0,0,0,17,10,12,28,23,41,28,25,37,39,251,23,64,178,99,105,84,41,37,39,674,0,0,14,6,0,3,0,0,0,26,0,0,3,3,0,3,0,0,0,17,0,10,48,21,15,9,7,0,0,111,0,4,19,14,24,11,7,0,0,82,8,4,25,11,23,23,9,0,0,102
3RQLD,4851,13396,22659,21562,17461,9641,2995,1339,361,94266,257,693,1714,2549,2838,2229,1421,786,177,12664,8074,5546,10946,13567,13587,13210,13261,14119,6912,99230,13729,30818,72530,74896,66719,44543,25825,19348,8196,356606,3,264,3423,4077,3605,2501,807,153,35,14862,12,296,2256,3591,3457,2465,839,167,36,13120,73,7563,28762,25252,18326,12246,5661,1862,505,100247,623,4218,14035,18841,17622,12248,5992,2114,518,76214,4465,11431,23162,21270,19135,11426,3635,1124,315,95963,2611,2707,3855,2951,2413,1501,485,110,30,16673,659,1422,2984,4001,3781,2860,1389,410,126,17632,7737,15564,30001,28226,25329,15792,5508,1645,472,130262,236,553,1456,1866,2546,2640,1812,961,304,12371,7311,5542,10793,12033,12985,12702,13160,12198,7585,94302,16008,33990,90726,93880,83866,60587,33776,19097,9455,441393,3,382,5250,6110,5169,3920,1726,346,74,22978,33,514,3408,4285,4498,3743,1615,417,58,18572,94,8812,33339,31009,22372,16513,9043,3124,820,125118,1125,5241,17583,20977,22184,17404,9558,3443,926,98453,5602,13154,27809,25331,24538,17345,6918,1535,495,122731
3GBRI,4041,11836,19831,17464,14589,7674,2314,1166,372,79282,241,655,1685,2357,2245,1684,941,618,204,10628,6685,5636,9763,11050,10308,9915,8930,10857,6441,79586,11859,36668,85912,78427,64251,40035,19611,15876,7920,360563,0,646,9109,8270,6344,3696,1079,261,45,29454,14,470,4078,5440,4346,2933,884,202,42,18409,91,13218,44508,33915,21092,13033,5222,1939,568,133590,916,6107,16047,18527,15574,10649,4982,1934,578,75319,3606,9896,19513,16734,14543,8534,2412,959,319,76525,2105,2244,3211,2353,1809,1202,341,99,27,13393,502,1323,2875,3596,3405,2529,1033,401,167,15838,6220,13463,25599,22683,19760,12269,3791,1461,511,105751,187,565,1317,1644,1989,1847,1234,685,258,9722,5904,4945,9387,9433,9235,8918,8491,8671,6351,71338,13331,39409,110039,99914,78345,53349,25680,15147,8356,443580,3,770,13529,12672,8812,5478,2320,446,104,44127,36,689,5341,6404,5763,4115,1839,491,80,24761,98,15350,50361,42039,26924,16933,8827,2840,857,164230,1434,7748,20124,21081,20238,14013,7556,2865,848,95905,5275,12175,24423,20563,19072,12906,4918,1136,417,100882
39799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,3,5,0,0,0,0,9,0,0,4,0,3,0,0,0,0,6,3,4,3,3,6,3,0,0,0,18,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,3,4,4,3,9,4,0,0,0,28,0,0,0,0,0,0,0,0,0,3,0,0,3,7,7,10,10,6,3,40,3,10,14,7,23,13,12,9,4,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,3,0,0,3,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,6
39499,32,89,113,77,103,100,18,0,3,529,0,9,16,19,29,28,12,0,0,112,45,64,127,95,127,158,71,23,16,725,85,286,626,357,404,489,152,29,18,2445,0,4,46,23,15,15,5,0,0,117,0,5,14,12,14,18,4,0,0,74,0,102,245,84,64,96,36,4,0,635,0,31,71,68,83,105,34,8,0,393,18,61,77,60,77,93,23,4,0,419,10,19,10,0,11,11,7,0,0,72,3,11,13,14,17,31,13,3,0,106,36,89,104,77,106,139,35,3,0,601,0,4,13,6,15,21,6,3,3,84,57,76,120,105,101,151,78,26,8,717,94,317,616,383,411,545,201,44,14,2616,0,7,54,18,23,18,10,0,0,123,0,3,10,9,10,21,12,0,0,71,3,127,283,80,55,79,58,9,3,701,12,52,72,48,64,133,64,7,0,452,19,36,94,71,100,120,58,3,0,508
2RVIC,2581,8426,13855,13965,11825,6425,2108,1057,311,60549,119,360,956,1278,1535,1321,841,549,172,7131,4552,2236,4342,6900,7821,8631,10300,12351,5767,62895,7419,17189,40869,44780,45406,31650,19627,16773,6919,230634,0,113,1538,2230,2188,1763,572,106,23,8542,4,204,2314,3238,3278,2758,909,180,39,12926,23,3876,15668,14348,11484,9504,4212,1562,371,61047,169,2486,7496,9922,10151,8838,4729,1895,579,46258,1811,7043,13716,13149,12787,7868,2477,940,262,60053,928,1340,2271,1758,1655,1118,346,84,34,9541,251,813,1630,2065,2097,1725,848,334,133,9900,2988,9201,17622,16976,16545,10703,3673,1355,435,79497,83,279,624,931,1380,1579,1172,669,256,6971,4252,2212,4060,5457,6910,8392,9507,10074,6017,56891,7518,18372,49321,53110,51938,43537,24780,15844,7713,272132,3,357,2946,3422,2849,2661,1341,246,45,13870,16,289,2873,3787,3836,3724,1728,376,55,16687,35,4322,18248,17591,12645,11700,6818,2387,679,74426,265,3132,9853,11400,12724,11782,7545,2863,1013,60587,1835,7733,16208,14130,14761,10992,4703,1167,438,71971
2GMEL,4445,17613,32974,31624,23957,14226,5504,3322,979,134643,327,1333,3793,4856,4215,3247,1936,1359,481,21537,14135,11813,21871,24866,23581,22822,21427,25898,13931,180348,20019,70138,191313,168922,132908,85007,45803,38226,17600,769951,16,1801,25716,19702,12852,7967,2563,668,162,71438,13,987,11491,13822,11138,7704,2407,570,110,48237,164,28623,102040,73552,45140,27683,11229,4410,1290,294136,900,14020,36391,38236,30789,21662,10550,4636,1502,158679,3999,15278,30435,27340,23626,13597,5055,2485,882,122690,1657,2341,4589,4013,3405,2196,669,227,74,19187,663,2099,4644,6670,6486,4571,2321,1060,482,28987,6313,19717,39659,38024,33523,20360,8042,3776,1446,170861,248,1101,2846,3359,3653,3450,2441,1463,639,19192,11451,10411,20378,19831,19967,20205,20285,20537,14359,157425,19105,76650,238519,206528,157057,109032,57514,36060,19506,919972,18,3097,43823,32911,18877,11531,5120,1167,294,116849,83,1444,13856,15385,13770,10531,4518,1127,229,60941,224,35842,122232,92027,56986,36094,18264,6747,2200,370617,1405,15303,44323,43075,39045,27371,15483,6458,2325,194798,3888,16009,36714,31303,31011,19692,8495,2830,1187,151130
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29499,18,74,80,53,31,28,7,0,0,293,0,9,15,5,6,9,5,0,0,39,25,48,82,46,43,42,31,28,21,363,50,225,514,232,150,132,55,35,23,1398,0,6,79,25,9,8,3,0,0,133,0,0,22,25,4,3,3,0,0,65,3,72,263,92,47,37,10,0,3,515,3,38,74,40,27,32,5,5,0,225,9,43,75,34,50,33,3,0,0,252,5,14,11,9,9,8,0,0,0,54,4,3,3,16,5,13,3,4,0,57,22,63,98,65,65,51,6,4,0,366,0,0,11,3,7,6,5,0,0,36,71,97,139,106,91,52,30,13,11,597,92,276,684,359,246,184,56,24,10,1938,0,9,51,30,9,3,9,0,0,106,0,0,26,4,12,11,3,0,0,60,0,87,204,63,40,39,21,3,0,449,7,40,61,40,33,23,15,0,0,219,4,48,70,44,36,30,7,0,0,242
1RNSW,4892,15392,28057,30397,25857,13848,5147,2718,686,126998,323,811,2069,4070,5232,3842,2377,1261,332,20315,8929,4631,9563,14033,15421,16203,18492,20662,8875,116815,14624,31321,78506,90995,92621,61849,38118,29724,11132,448878,3,230,3436,4780,4591,3908,1372,277,45,18653,5,240,2472,3878,4590,4252,1281,299,53,17083,33,6559,27432,26797,21268,16838,7651,2831,793,110198,432,4298,12657,18537,20141,16421,8858,3563,918,85825,3266,12953,25899,25667,24955,13780,4395,1959,631,113499,1676,2760,4337,4222,4130,2635,954,250,83,21050,518,1450,2897,4886,6013,5375,2855,1112,374,25475,5465,17167,33131,34779,35095,21780,8194,3326,1082,160023,210,641,1226,2295,4367,4466,2929,1478,578,18194,7945,4546,8083,11041,13906,15887,17974,18405,10625,108418,14096,33682,88444,102109,103953,83551,48260,30181,14107,518383,7,300,6036,7025,6223,5591,2773,608,100,28666,31,368,3374,4422,4660,5713,2564,592,105,21821,34,7351,32392,32328,23768,21517,12261,4332,1229,135225,647,4988,16604,19993,23097,22589,13427,5306,1551,108207,3699,14565,30255,27580,28586,20683,7948,2139,946,136401
1GSYD,5816,20781,40935,38602,30202,17520,6908,4350,1488,166608,516,1768,5067,7302,7144,5176,2651,1835,618,32065,16603,15649,32557,32563,30091,26432,23182,26988,14205,218271,24669,81066,229470,203199,161358,100647,52138,42416,19017,913978,25,2501,32133,25669,17137,10394,3320,829,182,92186,19,688,7643,8938,8132,6231,1984,550,116,34304,225,28943,109013,81398,52988,31563,12106,4937,1501,322671,1387,14593,38484,44646,36481,25702,12713,5649,1840,181495,3935,16165,33018,29261,24459,13663,5349,2675,1112,129635,1519,2725,5613,5620,4963,3065,1017,376,146,25045,623,2138,5250,8646,9240,7497,3742,1640,775,39549,6079,21028,43887,43519,38665,24218,10108,4685,2034,194227,470,1965,5223,6874,9077,8410,5453,3227,1406,42100,12258,11669,24794,22756,22080,21118,19419,19723,14628,168448,20467,81389,261174,233801,184562,127641,65100,39602,21702,1035436,34,3483,50318,40494,24015,14719,6589,1530,357,141535,74,1022,9035,10430,9174,8159,4015,980,218,43101,314,37725,132132,100456,65051,41899,20679,7429,2331,408013,1670,14335,43232,46285,43617,31778,18300,7546,2748,209509,3921,15664,36224,32239,30104,19537,8370,2878,1360,150288
