GCCSA_CODE_2016,C06_M_15_19_Em_FT,C06_M_15_19_Em_PT,C06_M_15_19_Em_AFW,C06_M_15_19_Em_Hrs_NS,C06_M_15_19_Em_Tot,C06_M_15_19_Unem_Look_FT,C06_M_15_19_Unem_Look_PT,C06_M_15_19_Unem_Tot,C06_M_15_19_Tot_LF,C06_M_15_19_Notin_LF,C06_M_15_19_LF_NS,C06_M_15_19_Tot,C06_M_20_24_Em_FT,C06_M_20_24_Em_PT,C06_M_20_24_Em_AFW,C06_M_20_24_Em_Hrs_NS,C06_M_20_24_Em_Tot,C06_M_20_24_Unem_Look_FT,C06_M_20_24_Unem_Look_PT,C06_M_20_24_Unem_Tot,C06_M_20_24_Tot_LF,C06_M_20_24_Notin_LF,C06_M_20_24_LF_NS,C06_M_20_24_Tot,C06_M_25_29_Em_FT,C06_M_25_29_Em_PT,C06_M_25_29_Em_AFW,C06_M_25_29_Em_Hrs_NS,C06_M_25_29_Em_Tot,C06_M_25_29_Unem_Look_FT,C06_M_25_29_Unem_Look_PT,C06_M_25_29_Unem_Tot,C06_M_25_29_Tot_LF,C06_M_25_29_Notin_LF,C06_M_25_29_LF_NS,C06_M_25_29_Tot,C06_M_30_34_Em_FT,C06_M_30_34_Em_PT,C06_M_30_34_Em_AFW,C06_M_30_34_Em_Hrs_NS,C06_M_30_34_Em_Tot,C06_M_30_34_Unem_Look_FT,C06_M_30_34_Unem_Look_PT,C06_M_30_34_Unem_Tot,C06_M_30_34_Tot_LF,C06_M_30_34_Notin_LF,C06_M_30_34_LF_NS,C06_M_30_34_Tot,C06_M_35_39_Em_FT,C06_M_35_39_Em_PT,C06_M_35_39_Em_AFW,C06_M_35_39_Em_Hrs_NS,C06_M_35_39_Em_Tot,C06_M_35_39_Unem_Look_FT,C06_M_35_39_Unem_Look_PT,C06_M_35_39_Unem_Tot,C06_M_35_39_Tot_LF,C06_M_35_39_Notin_LF,C06_M_35_39_LF_NS,C06_M_35_39_Tot,C06_M_40_44_Em_FT,C06_M_40_44_Em_PT,C06_M_40_44_Em_AFW,C06_M_40_44_Em_Hrs_NS,C06_M_40_44_Em_Tot,C06_M_40_44_Unem_Look_FT,C06_M_40_44_Unem_Look_PT,C06_M_40_44_Unem_Tot,C06_M_40_44_Tot_LF,C06_M_40_44_Notin_LF,C06_M_40_44_LF_NS,C06_M_40_44_Tot,C06_M_45_49_Em_FT,C06_M_45_49_Em_PT,C06_M_45_49_Em_AFW,C06_M_45_49_Em_Hrs_NS,C06_M_45_49_Em_Tot,C06_M_45_49_Unem_Look_FT,C06_M_45_49_Unem_Look_PT,C06_M_45_49_Unem_Tot,C06_M_45_49_Tot_LF,C06_M_45_49_Notin_LF,C06_M_45_49_LF_NS,C06_M_45_49_Tot,C06_M_50_54_Em_FT,C06_M_50_54_Em_PT,C06_M_50_54_Em_AFW,C06_M_50_54_Em_Hrs_NS,C06_M_50_54_Em_Tot,C06_M_50_54_Unem_Look_FT,C06_M_50_54_Unem_Look_PT,C06_M_50_54_Unem_Tot,C06_M_50_54_Tot_LF,C06_M_50_54_Notin_LF,C06_M_50_54_LF_NS,C06_M_50_54_Tot,C06_M_55_59_Em_FT,C06_M_55_59_Em_PT,C06_M_55_59_Em_AFW,C06_M_55_59_Em_Hrs_NS,C06_M_55_59_Em_Tot,C06_M_55_59_Unem_Look_FT,C06_M_55_59_Unem_Look_PT,C06_M_55_59_Unem_Tot,C06_M_55_59_Tot_LF,C06_M_55_59_Notin_LF,C06_M_55_59_LF_NS,C06_M_55_59_Tot,C06_M_60_64_Em_FT,C06_M_60_64_Em_PT,C06_M_60_64_Em_AFW,C06_M_60_64_Em_Hrs_NS,C06_M_60_64_Em_Tot,C06_M_60_64_Unem_Look_FT,C06_M_60_64_Unem_Look_PT,C06_M_60_64_Unem_Tot,C06_M_60_64_Tot_LF,C06_M_60_64_Notin_LF,C06_M_60_64_LF_NS,C06_M_60_64_Tot,C06_M_65_69_Em_FT,C06_M_65_69_Em_PT,C06_M_65_69_Em_AFW,C06_M_65_69_Em_Hrs_NS,C06_M_65_69_Em_Tot,C06_M_65_69_Unem_Look_FT,C06_M_65_69_Unem_Look_PT,C06_M_65_69_Unem_Tot,C06_M_65_69_Tot_LF,C06_M_65_69_Notin_LF,C06_M_65_69_LF_NS,C06_M_65_69_Tot,C06_M_70_74_Em_FT,C06_M_70_74_Em_PT,C06_M_70_74_Em_AFW,C06_M_70_74_Em_Hrs_NS,C06_M_70_74_Em_Tot,C06_M_70_74_Unem_Look_FT,C06_M_70_74_Unem_Look_PT,C06_M_70_74_Unem_Tot,C06_M_70_74_Tot_LF,C06_M_70_74_Notin_LF,C06_M_70_74_LF_NS,C06_M_70_74_Tot,C06_M_75over_Em_FT,C06_M_75over_Em_PT,C06_M_75ov_Em_AFW,C06_M_75ov_Em_Hrs_NS,C06_M_75ov_Em_Tot,C06_M_75ov_Unem_Look_FT,C06_M_75ov_Unem_Look_PT,C06_M_75ov_Unem_Tot,C06_M_75over_Tot_LF,C06_M_75ove_Notin_LF,C06_M_75over_LF_NS,C06_M_75over_Tot,C06_M_Tot_Em_FT,C06_M_Tot_Em_PT,C06_M_Tot_Em_AFW,C06_M_Tot_Em_Hrs_NS,C06_M_Tot_Em_Tot,C06_M_Tot_Unem_Look_FT,C06_M_Tot_Unem_Look_PT,C06_M_Tot_Unem_Tot,C06_M_T_T_labo_for,C06_M_Tot_Notin_LF,C06_M_Tot_LF_NS,C06_M_T_T,C11_M_15_19_Em_FT,C11_M_15_19_Em_PT,C11_M_15_19_Em_AFW,C11_M_15_19_Em_Hrs_NS,C11_M_15_19_Em_Tot,C11_M_15_19_Unem_Look_FT,C11_M_15_19_Unem_Look_PT,C11_M_15_19_Unem_Tot,C11_M_15_19_Tot_LF,C11_M_15_19_Notin_LF,C11_M_15_19_LF_NS,C11_M_15_19_Tot,C11_M_20_24_Em_FT,C11_M_20_24_Em_PT,C11_M_20_24_Em_AFW,C11_M_20_24_Em_Hrs_NS,C11_M_20_24_Em_Tot,C11_M_20_24_Unem_Look_FT,C11_M_20_24_Unem_Look_PT,C11_M_20_24_Unem_Tot,C11_M_20_24_Tot_LF,C11_M_20_24_Notin_LF,C11_M_20_24_LF_NS,C11_M_20_24_Tot,C11_M_25_29_Em_FT,C11_M_25_29_Em_PT,C11_M_25_29_Em_AFW,C11_M_25_29_Em_Hrs_NS,C11_M_25_29_Em_Tot,C11_M_25_29_Unem_Look_FT,C11_M_25_29_Unem_Look_PT,C11_M_25_29_Unem_Tot
6RTAS,2005,1592,117,198,3916,465,256,721,4638,4451,408,9497,3795,1064,202,219,5284,606,128,728,6013,1026,377,7410,4123,661,189,187,5163,396,81,475,5636,636,308,6581,4880,785,244,194,6112,381,69,445,6555,802,347,7699,5815,893,234,230,7179,382,69,455,7628,970,404,8999,6310,940,280,242,7772,357,70,430,8200,1159,386,9744,6463,1061,296,218,8046,326,63,389,8428,1338,442,10217,5715,1080,284,160,7234,284,76,361,7595,1740,400,9737,4303,1231,329,164,6024,312,91,402,6421,2908,376,9707,2228,927,195,70,3419,222,109,334,3751,3926,357,8029,624,500,86,43,1248,11,15,20,1268,4726,355,6350,189,226,22,20,451,3,3,5,457,4066,384,4907,176,150,27,31,381,6,5,11,386,6403,1001,7789,46624,11109,2506,1975,62213,3740,1036,4774,66990,34141,5547,106676,1745,1719,165,139,3766,448,353,803,4570,4857,349,9779,3795,1181,230,161,5365,584,156,738,6110,1092,330,7535,4327,835,177,133,5475,402,77,475
6GHOB,1105,1438,113,143,2790,310,282,587,3384,3549,393,7329,2900,1381,153,190,4626,458,185,643,5269,1319,423,7017,3235,699,133,128,4192,316,71,385,4577,715,322,5616,3814,732,152,140,4827,238,46,283,5113,618,301,6034,4327,714,200,139,5373,208,55,263,5636,666,334,6635,4510,755,160,151,5581,184,45,231,5811,737,331,6879,4867,742,182,154,5939,175,40,216,6158,867,381,7399,4360,710,186,120,5375,186,34,220,5595,983,286,6867,3181,799,176,87,4237,123,53,175,4418,1744,308,6473,1402,636,125,53,2219,96,54,147,2368,2262,252,4883,349,357,50,24,781,0,8,7,793,2826,248,3870,65,141,14,16,232,6,0,8,242,2588,249,3074,65,98,8,11,187,0,0,0,186,4892,654,5737,34178,9188,1650,1356,46371,2311,873,3185,49551,23778,4486,77812,874,1485,120,71,2543,282,308,584,3135,3626,256,7014,2793,1601,153,110,4658,502,235,737,5392,1565,368,7326,3815,937,151,119,5030,355,89,445
69799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,8,0,0,0,8,0,0,8,8,0,0,0,8,0,0,0,8,0,0,9,17,0,0,0,17,0,0,0,17,0,0,16,9,0,0,0,9,0,0,0,9,0,0,15,3,0,0,0,3,0,0,0,3,0,0,3,12,0,0,0,12,0,0,0,12,0,0,11,7,0,0,0,7,0,0,0,7,0,0,7,6,0,0,0,4,0,0,0,4,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,66,0,0,0,66,3,4,78,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,0,3,0,0,0,3,0,0,3,7,0,0,0,10,0,0,0
69499,5,0,0,0,8,7,0,11,14,12,5,30,14,9,3,0,21,17,0,14,35,17,6,54,21,3,3,0,26,8,0,13,36,7,3,45,28,3,0,0,34,14,0,14,45,5,6,59,15,6,0,0,18,3,0,3,26,17,3,41,8,0,0,3,14,4,0,7,21,6,0,26,14,3,0,0,20,0,0,0,20,10,3,31,5,0,0,0,7,3,0,3,13,10,6,32,3,7,0,0,9,0,0,0,13,12,0,25,3,0,0,0,3,0,0,0,3,16,7,22,0,0,0,0,0,0,0,0,0,14,5,15,0,0,0,0,0,0,0,0,0,5,0,7,0,0,0,0,0,0,0,0,0,9,5,14,115,28,9,5,159,54,10,63,222,150,38,405,0,8,0,0,8,10,3,15,17,13,8,44,13,5,0,0,16,14,0,18,32,15,7,59,20,8,0,0,29,11,0,8
5RWAU,4251,2642,294,447,7635,471,245,716,8347,5609,1182,15138,7301,1330,363,425,9420,524,98,621,10041,1204,1253,12492,8467,1098,473,424,10465,428,67,498,10963,986,1345,13295,10089,1288,540,460,12377,373,63,439,12822,1120,1472,15413,11404,1375,656,471,13911,392,66,464,14370,1179,1625,17169,11861,1503,577,463,14407,324,67,392,14800,1391,1600,17787,11678,1522,638,393,14238,317,70,386,14621,1451,1509,17582,10248,1336,690,327,12596,241,65,313,12911,1725,1372,16002,7949,1544,568,253,10310,226,87,316,10630,2783,1152,14567,4038,1353,372,156,5917,161,95,251,6167,3733,842,10750,1436,846,169,99,2545,16,18,38,2585,5056,699,8337,436,405,79,41,954,0,12,11,966,4468,574,6011,328,307,60,58,755,0,3,8,766,7013,1238,9015,89495,16558,5473,4014,115532,3490,959,4447,119981,37725,15864,173567,3915,2641,348,311,7215,675,376,1050,8264,6508,1282,16055,8684,1506,492,348,11034,756,155,917,11946,1910,1943,15798,11436,1304,661,382,13785,553,99,654
5GPER,11847,13715,897,1497,27950,1290,1502,2787,30741,22284,3589,56614,27649,10779,1252,1824,41498,1663,930,2595,44090,8058,4701,56850,31595,5049,1348,1311,39311,1266,324,1589,40894,4131,4023,49042,35831,4304,1603,1284,43022,1125,207,1334,44355,3692,3664,51716,38981,4614,1695,1265,46556,1033,219,1250,47808,3910,3934,55649,39137,4426,1689,1265,46522,879,188,1065,47592,4154,3669,55413,38002,4582,1653,1195,45439,844,185,1032,46471,4302,3499,54272,33826,4369,1745,943,40876,685,172,854,41733,5028,3215,49972,27595,5071,1586,703,34957,619,242,857,35812,8691,2824,47326,13746,4877,974,423,20024,446,253,701,20720,12256,2243,35217,3413,2856,373,188,6828,54,71,126,6953,17987,1925,26865,646,1165,108,79,1998,16,18,31,2028,17051,1700,20777,408,707,67,101,1282,17,22,40,1318,30026,4344,35692,302680,66525,14988,12079,396268,9927,4334,14260,410526,141563,43333,595422,10011,14166,1005,985,26171,1988,2498,4488,30652,26560,3068,60287,30104,13691,1759,1465,47024,2766,1593,4356,51380,9968,4677,66024,43183,7766,2003,1252,54202,2131,597,2730
59799,3,0,3,0,7,0,0,0,7,0,0,7,21,0,3,0,24,0,0,0,24,4,3,35,41,3,0,6,45,0,0,0,45,0,3,50,30,0,4,3,37,0,0,0,37,4,3,45,40,0,3,0,43,0,0,0,43,0,5,52,36,0,0,4,41,0,0,0,41,0,3,46,23,0,3,3,28,0,0,0,28,0,4,31,21,0,0,0,22,0,0,0,22,0,0,27,6,0,0,0,6,0,0,0,6,0,0,7,7,0,0,0,7,0,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236,8,19,16,276,0,0,0,276,4,27,312,3,0,0,0,3,0,0,0,3,0,0,4,16,0,0,0,22,0,0,0,22,3,8,30,57,0,0,0,55,0,0,0
59499,28,17,3,3,51,15,0,11,61,37,16,120,122,47,7,9,192,29,10,37,231,72,52,353,180,38,13,10,243,36,6,40,281,66,53,403,150,28,23,3,204,26,3,28,233,81,52,365,147,21,13,3,195,27,9,32,221,62,45,339,99,13,14,8,139,22,4,26,159,59,49,265,104,11,4,3,120,21,3,25,150,65,43,258,93,10,7,3,119,17,3,18,138,70,29,247,69,14,12,0,98,8,8,19,109,151,31,295,28,16,7,3,52,7,8,18,66,155,31,249,5,4,0,0,14,0,0,4,21,140,17,172,0,3,0,0,5,0,0,0,5,76,13,93,0,0,0,0,0,0,0,0,0,31,8,42,1033,223,105,55,1421,207,50,262,1682,1079,451,3210,14,11,0,0,29,9,4,19,41,48,37,119,132,26,15,4,174,21,6,29,202,69,63,335,222,45,25,3,293,20,12,33
4RSAU,2554,2317,211,295,5380,534,260,791,6171,5155,604,11923,5293,1033,270,276,6873,596,103,704,7578,970,527,9076,5595,764,258,218,6833,428,70,499,7335,879,462,8675,6467,903,286,252,7912,350,73,422,8336,1075,529,9935,7961,1073,357,278,9667,426,98,525,10190,1284,622,12096,8523,1218,398,267,10409,444,78,527,10930,1522,695,13151,8940,1348,432,268,10985,362,73,432,11417,1640,671,13720,8080,1246,451,215,10001,305,79,388,10389,1872,661,12915,6417,1409,449,167,8437,267,120,391,8826,3245,548,12622,3529,1228,312,116,5181,206,117,322,5506,4646,509,10664,1141,750,136,72,2102,7,15,25,2127,6137,531,8794,424,353,49,50,881,0,6,7,886,5478,490,6855,303,244,59,59,659,9,4,9,670,9617,1310,11589,65229,13889,3670,2539,85332,3939,1086,5025,90360,43519,8152,142026,2146,2594,211,177,5125,489,394,880,6003,5430,528,11969,5386,1197,257,241,7071,674,132,804,7881,1190,520,9595,5959,882,344,216,7406,464,74,537
4GADE,5653,9243,550,825,16275,1443,1583,3025,19297,18923,1769,39992,18775,8796,907,1128,29599,2150,895,3045,32645,6697,2347,41687,22272,4440,830,818,28364,1658,358,2015,30380,3705,1959,36041,25641,3780,966,792,31181,1362,262,1628,32805,3530,1707,38045,27782,3780,1100,925,33591,1225,213,1436,35024,4160,1942,41122,28244,3937,976,784,33952,1195,222,1415,35367,4476,1913,41756,28299,3824,1084,825,34029,941,181,1122,35149,4773,1874,41804,24949,3609,1121,642,30321,844,209,1047,31369,5181,1635,38181,19832,4057,1053,499,25442,681,238,918,26360,8626,1539,36522,9364,3542,569,265,13742,374,216,595,14332,12054,1164,27547,2262,1957,226,127,4571,33,44,74,4648,15518,1146,21309,490,804,78,59,1426,16,19,29,1457,15437,1200,18099,354,567,70,85,1074,9,17,26,1099,30876,3745,35717,213907,52329,9544,7776,283559,11938,4443,16380,299940,133959,23929,457822,4620,9646,582,578,15426,1423,1979,3405,18830,20707,1511,41041,17438,10418,973,862,29688,2434,1358,3792,33477,8650,2112,44230,25800,6111,997,724,33635,1848,560,2411
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,6,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0
49499,12,7,0,0,31,18,3,14,48,30,6,81,48,24,3,6,78,27,0,27,110,53,15,173,62,15,4,0,89,15,0,22,110,36,19,158,59,18,5,3,84,15,0,13,99,39,19,156,47,11,7,3,71,18,3,18,91,41,10,140,54,15,3,7,81,16,3,15,95,38,16,151,34,4,0,0,38,5,0,11,45,26,11,78,33,8,3,0,42,11,3,18,58,45,15,116,27,8,0,0,36,3,3,3,40,39,12,86,12,3,0,0,20,3,0,3,21,70,9,105,0,0,0,0,3,3,0,3,9,51,6,64,0,0,0,0,0,0,0,0,0,23,0,27,0,0,0,0,0,0,0,0,0,28,3,28,389,121,38,23,567,132,13,147,717,507,134,1356,11,7,0,3,23,12,5,12,36,35,11,74,36,27,8,3,67,20,3,25,90,40,18,154,63,13,10,0,93,18,3,22
3RQLD,16496,16849,1055,1792,36197,2574,1874,4448,40644,25444,4683,70777,35937,8781,1299,1943,47965,2985,843,3830,51799,6315,5833,63947,38363,5756,1317,1653,47094,2151,446,2592,49682,4640,5190,59508,44778,6047,1630,1739,54193,1874,360,2232,56426,4904,5080,66414,48204,6176,1674,1829,57886,1652,382,2036,59920,5621,5155,70701,49352,6442,1723,1756,59270,1673,371,2042,61310,6609,5292,73211,49288,6789,1825,1557,59460,1567,368,1929,61391,7644,5373,74406,42800,6534,1787,1348,52470,1441,369,1814,54278,8965,4876,68123,34154,7405,1784,1027,44368,1325,464,1791,46158,16315,4499,66971,18678,6238,1175,658,26745,946,497,1436,28179,22817,3685,54684,5591,3484,441,329,9853,91,127,223,10073,29556,3283,42917,1755,1530,175,192,3648,27,23,46,3698,26033,3152,32880,1154,1037,198,258,2651,19,18,32,2686,42938,7637,53256,386560,83072,16084,16080,501798,18320,6135,24457,526254,207796,63738,797786,14362,18298,1304,1359,35316,3839,3260,7099,42423,30293,4583,77296,35119,10355,1625,1727,48827,4431,1247,5681,54508,8277,5678,68465,43526,7373,1715,1588,54209,3131,657,3790
3GBRI,12404,17202,975,1668,32255,2067,2409,4470,36725,26791,3619,67138,35174,13382,1301,1954,51809,2699,1236,3933,55740,9630,5158,70537,41654,6802,1318,1565,51344,1869,480,2353,53696,5567,4456,63721,47887,5728,1510,1559,56681,1596,324,1921,58606,4891,3975,67468,49298,5533,1543,1626,57998,1340,311,1652,59652,5116,3762,68529,48113,5162,1386,1514,56182,1225,284,1508,57690,5467,3715,66866,45149,4916,1427,1394,52888,1032,244,1275,54166,5938,3364,63465,40038,4956,1467,1052,47515,989,236,1225,48746,6810,3125,58676,31737,5722,1568,834,39853,872,295,1166,41021,11838,3016,55876,16161,4934,961,477,22528,642,292,935,23466,16278,2292,42041,4144,2740,297,192,7377,61,80,142,7518,20896,2010,30425,874,1103,107,79,2160,19,36,53,2212,18417,1791,22418,553,719,105,136,1511,16,14,29,1539,33018,5299,39851,373186,78893,13972,14051,480109,14424,6252,20678,500783,170650,45580,717012,9762,17699,1065,1152,29677,3235,4017,7253,36927,32591,3334,72847,34720,16696,1652,1773,54840,4456,2095,6549,61386,12226,4880,78501,49456,9919,1638,1492,62513,3203,842,4046
39799,3,0,0,0,4,0,0,0,4,0,0,4,8,0,0,0,10,0,0,0,10,0,0,11,4,0,0,0,11,0,0,0,11,0,0,11,4,0,0,0,8,0,0,0,8,0,0,8,5,0,0,0,5,0,0,0,5,0,0,9,9,0,0,0,10,0,0,0,10,0,0,10,4,0,0,0,4,0,0,0,5,0,0,11,9,0,0,0,9,0,0,0,9,0,0,9,11,0,0,0,11,0,0,0,10,0,3,14,3,0,0,0,3,0,0,0,4,0,3,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,66,3,3,0,67,0,0,4,71,4,8,83,4,0,0,0,4,0,3,3,8,3,0,14,21,5,0,3,27,0,0,0,25,4,3,37,16,0,0,3,21,0,0,0
39499,55,23,5,9,93,29,6,36,128,86,39,253,282,85,23,22,405,88,13,107,507,137,105,750,261,60,27,13,361,57,10,67,435,136,107,677,249,53,20,12,340,43,8,53,394,121,94,604,209,46,21,14,292,44,12,52,349,130,93,574,211,39,20,6,277,30,7,41,315,124,82,520,177,51,19,9,252,28,7,34,284,122,98,511,166,37,18,5,223,30,8,45,262,198,93,552,140,51,14,0,214,31,15,40,254,378,78,714,64,24,8,4,99,7,11,18,116,386,56,562,13,10,3,0,30,3,3,3,33,410,49,496,0,3,0,3,8,0,0,3,10,213,19,245,9,0,0,0,8,0,0,0,9,125,28,162,1836,477,174,99,2589,400,103,503,3095,2583,929,6608,38,23,0,3,62,42,12,57,121,81,63,269,180,49,9,7,251,64,13,77,322,118,128,572,254,68,15,15,354,69,16,89
2RVIC,8420,9937,728,963,20048,1692,1280,2972,23022,21467,1824,46309,19350,5066,775,996,26182,2367,560,2925,29112,4300,1788,35196,20369,2821,750,768,24707,1531,246,1773,26486,2982,1407,30873,24350,3047,947,921,29271,1444,224,1664,30931,3192,1588,35710,27910,3520,1026,1030,33481,1327,245,1574,35055,3764,1757,40574,30262,3824,1176,1044,36307,1377,227,1599,37904,4380,1904,44187,31962,4040,1139,986,38128,1254,238,1490,39612,4838,2002,46453,29024,4289,1444,853,35615,1162,276,1433,37048,5893,1878,44822,22272,5180,1449,631,29540,1118,354,1468,31010,10425,1932,43365,11390,4645,1032,451,17509,679,345,1025,18531,14518,1632,34681,3916,2620,453,257,7250,38,70,110,7362,19829,1694,28890,1419,1209,200,139,2976,12,18,33,3006,18647,1863,23519,1200,896,224,230,2554,26,13,35,2592,33619,5207,41409,231852,51105,11346,9273,303571,14013,4089,18101,321670,147842,26469,495983,7698,10628,743,834,19903,1589,1660,3250,23155,22241,1914,47312,20041,6020,834,866,27766,2240,649,2881,30651,5458,1871,37978,22446,3379,843,739,27418,1513,291,1804
2GMEL,14249,26211,1509,2642,44614,3226,4781,8005,52616,65591,6855,125058,54861,29385,2389,4158,90789,5945,3759,9713,100501,24610,10357,135470,82394,14346,2564,3124,102418,4972,1335,6310,108730,11306,9825,129855,95443,11609,2938,3114,113107,4364,746,5112,118218,9363,8786,136367,99680,11746,3091,3269,117786,3904,601,4507,122289,9935,8418,140646,94501,11336,2735,3222,111792,3549,618,4162,115957,10515,7727,134206,89389,10958,2604,2917,105866,3212,542,3751,109625,11226,7093,127939,76002,9987,2585,2408,90977,2964,560,3527,94507,12915,6252,113675,58323,11416,2495,1805,74039,2561,773,3338,77373,20964,5820,104164,30231,10824,1863,1025,43949,1514,738,2251,46206,29971,4904,81079,8565,6465,743,445,16223,138,183,325,16541,41936,4491,62976,1874,2760,306,192,5130,47,67,111,5241,40895,4472,50604,1310,1897,264,243,3714,56,53,105,3820,75792,11995,91611,706814,158948,26090,28555,920403,36455,14759,51217,971621,365031,97003,1433651,12374,26302,1651,1791,42117,2955,6510,9470,51585,72369,5509,129460,57721,35975,2877,3726,100297,6420,4956,11379,111671,31202,9295,152174,98205,21361,2893,3452,125915,5583,1787,7372
29799,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,3,5,0,0,0,5,0,0,0,5,0,0,4,6,0,0,0,8,0,0,0,8,0,0,9,3,0,0,0,6,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,4,0,0,4,4,0,0,0,8,0,0,0,8,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,3,0,36,0,0,0,35,3,5,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0
29499,37,19,0,10,68,26,12,42,111,81,18,206,140,54,11,13,226,45,19,67,290,127,45,465,214,59,16,11,298,41,3,48,347,95,48,489,193,55,20,14,290,55,13,64,350,81,61,492,143,36,9,12,191,45,8,47,240,95,40,378,112,20,8,7,150,25,11,28,185,86,23,290,75,29,4,3,109,18,0,18,125,65,28,222,53,16,7,9,77,17,3,17,96,50,19,170,48,6,8,0,64,10,3,13,71,72,20,161,24,3,3,3,36,10,0,10,46,71,16,126,0,7,0,0,8,0,0,0,8,68,13,88,0,3,0,0,3,0,0,0,3,43,5,48,0,0,3,0,3,0,0,0,3,48,19,70,1048,304,86,84,1521,281,73,352,1874,980,353,3210,28,11,0,0,36,27,17,42,81,96,60,232,137,68,12,10,224,47,14,66,282,137,109,532,177,68,5,8,259,50,13,63
1RNSW,15982,16881,1429,1802,36088,4473,2841,7314,43403,38411,4106,85913,33950,10636,1482,1848,47912,5193,1427,6619,54527,9790,3929,68249,36100,6109,1321,1520,45047,3695,605,4297,49349,6719,3211,59280,44048,6442,1682,1732,53901,3214,575,3786,57691,6931,3438,68056,48817,7161,1764,1963,59706,3090,606,3699,63406,8127,3627,75162,53598,8149,1954,1990,65692,3021,618,3643,69329,9700,4134,83159,56124,8993,2131,1815,69072,2907,654,3564,72631,11426,4271,88326,49924,8923,2208,1496,62558,2597,698,3291,65847,13465,3885,83201,38842,9454,2365,1161,51823,2243,767,3012,54837,22503,3837,81180,19201,7917,1347,701,29162,1497,780,2280,31448,32620,3248,67313,6525,4396,625,382,11931,78,141,225,12153,40868,3297,56323,2314,2077,283,213,4880,26,46,74,4954,37901,3388,46237,1838,1585,286,325,4034,37,29,66,4101,66226,8450,78782,407250,98731,18878,16958,541817,32073,9795,41867,583685,304683,52823,941187,14484,17725,1501,1337,35046,3796,3439,7228,42272,39679,3966,85914,35034,11761,1657,1587,50034,4777,1672,6452,56486,11343,4045,71870,40433,7002,1484,1334,50251,3290,704,3997
1GSYD,17789,25919,2049,2870,48626,4146,4605,8748,57372,73355,8622,139346,64366,28737,2775,4772,100655,6758,3479,10233,110888,24788,13624,149293,92820,16128,2850,3892,115688,5406,1380,6787,122475,13253,14710,150433,109155,13226,3313,3680,129374,4843,912,5748,135121,10921,13409,159451,106895,13008,3164,3762,126832,4466,843,5309,132140,11378,11767,155286,105285,13544,2994,3713,125537,4249,843,5094,130631,12564,11014,154207,97968,12963,2770,3453,117156,3870,775,4642,121798,13396,10007,145208,82983,12134,2696,2740,100552,3288,784,4070,104618,14986,8451,128049,66682,12607,2792,2055,84138,2805,936,3738,87881,23505,8021,119399,33907,11942,1852,1197,48898,1721,860,2578,51476,33699,6416,91587,9950,7019,844,501,18316,193,278,472,18785,44118,5511,68416,2371,3300,337,199,6210,41,91,135,6344,42731,5110,54182,1516,2336,280,275,4404,57,73,126,4539,82202,12585,99326,791699,172849,28714,33119,1026384,41831,15847,57682,1084064,400890,129227,1614187,14202,25518,1980,1901,43599,3862,6297,10164,53765,81218,6942,141924,59547,34238,2858,3811,100446,7310,5111,12416,112866,30870,10644,154382,102616,21490,2961,3695,130755,6057,1905,7961
