GCCSA_CODE_2016,C11_85o_T_M,C11_85o_T_F,C11_85o_T_P,C11_T_Married_M,C11_T_Married_F,C11_Tot_Sep_M,C11_Tot_Sep_F,C11_Tot_Div_M,C11_Tot_Div_F,C11_Tot_Wid_M,C11_Tot_Wid_F,C11_Tot_nver_marrie_M,C11_Tot_nver_marrie_F,C11_Tot_T_M,C11_Tot_T_F,C11_Tot_T_P,C16_15_19_Married_M,C16_15_19_Married_F,C16_15_19_Sep_M,C16_15_19_Sep_F,C16_15_19_Div_M,C16_15_19_Div_F,C16_15_19_Wid_M,C16_15_19_Wid_F,C16_15_19_Nvr_marrd_M,C16_15_19_Nvr_marrd_F,C16_15_19_T_M,C16_15_19_T_F,C16_15_19_T_P,C16_20_24_Married_M,C16_20_24_Married_F,C16_20_24_Sep_M,C16_20_24_Sep_F,C16_20_24_Div_M,C16_20_24_Div_F,C16_20_24_Wid_M,C16_20_24_Wid_F,C16_20_24_Nvr_marrd_M,C16_20_24_Nvr_marrd_F,C16_20_24_T_M,C16_20_24_T_F,C16_20_24_T_P,C16_25_29_Married_M,C16_25_29_Married_F,C16_25_29_Sep_M,C16_25_29_Sep_F,C16_25_29_Div_M,C16_25_29_Div_F,C16_25_29_Wid_M,C16_25_29_Wid_F,C16_25_29_Nvr_marrd_M,C16_25_29_Nvr_marrd_F,C16_25_29_T_M,C16_25_29_T_F,C16_25_29_T_P,C16_30_34_Married_M,C16_30_34_Married_F,C16_30_34_Sep_M,C16_30_34_Sep_F,C16_30_34_Div_M,C16_30_34_Div_F,C16_30_34_Wid_M,C16_30_34_Wid_F,C16_30_34_Nvr_marrd_M,C16_30_34_Nvr_marrd_F,C16_30_34_T_M,C16_30_34_T_F,C16_30_34_T_P,C16_35_39_Married_M,C16_35_39_Married_F,C16_35_39_Sep_M,C16_35_39_Sep_F,C16_35_39_Div_M,C16_35_39_Div_F,C16_35_39_Wid_M,C16_35_39_Wid_F,C16_35_39_Nvr_marrd_M,C16_35_39_Nvr_marrd_F,C16_35_39_T_M,C16_35_39_T_F,C16_35_39_T_P,C16_40_44_Married_M,C16_40_44_Married_F,C16_40_44_Sep_M,C16_40_44_Sep_F,C16_40_44_Div_M,C16_40_44_Div_F,C16_40_44_Wid_M,C16_40_44_Wid_F,C16_40_44_Nvr_marrd_M,C16_40_44_Nvr_marrd_F,C16_40_44_T_M,C16_40_44_T_F,C16_40_44_T_P,C16_45_49_Married_M,C16_45_49_Married_F,C16_45_49_Sep_M,C16_45_49_Sep_F,C16_45_49_Div_M,C16_45_49_Div_F,C16_45_49_Wid_M,C16_45_49_Wid_F,C16_45_49_Nvr_marrd_M,C16_45_49_Nvr_marrd_F,C16_45_49_T_M,C16_45_49_T_F,C16_45_49_T_P,C16_50_54_Married_M,C16_50_54_Married_F,C16_50_54_Sep_M,C16_50_54_Sep_F,C16_50_54_Div_M,C16_50_54_Div_F,C16_50_54_Wid_M,C16_50_54_Wid_F,C16_50_54_Nvr_marrd_M,C16_50_54_Nvr_marrd_F,C16_50_54_T_M,C16_50_54_T_F,C16_50_54_T_P,C16_55_59_Married_M,C16_55_59_Married_F,C16_55_59_Sep_M,C16_55_59_Sep_F,C16_55_59_Div_M,C16_55_59_Div_F,C16_55_59_Wid_M,C16_55_59_Wid_F,C16_55_59_Nvr_marrd_M,C16_55_59_Nvr_marrd_F,C16_55_59_T_M,C16_55_59_T_F,C16_55_59_T_P,C16_60_64_Married_M,C16_60_64_Married_F,C16_60_64_Sep_M,C16_60_64_Sep_F,C16_60_64_Div_M,C16_60_64_Div_F,C16_60_64_Wid_M,C16_60_64_Wid_F,C16_60_64_Nvr_marrd_M,C16_60_64_Nvr_marrd_F,C16_60_64_T_M,C16_60_64_T_F,C16_60_64_T_P,C16_65_69_Married_M,C16_65_69_Married_F,C16_65_69_Sep_M,C16_65_69_Sep_F,C16_65_69_Div_M,C16_65_69_Div_F,C16_65_69_Wid_M,C16_65_69_Wid_F,C16_65_69_Nvr_marrd_M,C16_65_69_Nvr_marrd_F,C16_65_69_T_M,C16_65_69_T_F,C16_65_69_T_P,C16_70_74_Married_M,C16_70_74_Married_F,C16_70_74_Sep_M,C16_70_74_Sep_F,C16_70_74_Div_M,C16_70_74_Div_F,C16_70_74_Wid_M,C16_70_74_Wid_F,C16_70_74_Nvr_marrd_M,C16_70_74_Nvr_marrd_F,C16_70_74_T_M,C16_70_74_T_F,C16_70_74_T_P,C16_75_79_Married_M,C16_75_79_Married_F,C16_75_79_Sep_M,C16_75_79_Sep_F,C16_75_79_Div_M,C16_75_79_Div_F,C16_75_79_Wid_M,C16_75_79_Wid_F,C16_75_79_Nvr_marrd_M,C16_75_79_Nvr_marrd_F,C16_75_79_T_M,C16_75_79_T_F,C16_75_79_T_P,C16_80_84_Married_M,C16_80_84_Married_F,C16_80_84_Sep_M,C16_80_84_Sep_F,C16_80_84_Div_M,C16_80_84_Div_F,C16_80_84_Wid_M,C16_80_84_Wid_F,C16_80_84_Nvr_marrd_M,C16_80_84_Nvr_marrd_F,C16_80_84_T_M,C16_80_84_T_F,C16_80_84_T_P,C16_85o_Married_M,C16_85o_Married_F
6RTAS,1996,3697,5691,56454,56432,3605,3918,10138,12278,3478,11832,37824,32553,111496,117014,228513,16,24,5,9,7,0,7,7,9014,8355,9049,8395,17443,315,545,23,54,3,12,4,10,7798,6959,8144,7579,15724,1457,2141,87,207,55,83,10,17,5427,4916,7037,7362,14396,3111,3779,195,315,189,298,10,46,3719,3288,7219,7725,14943,3640,4211,267,428,362,574,25,62,2777,2576,7067,7851,14916,4390,4926,440,513,703,1031,27,95,2703,2345,8263,8914,17180,5216,5756,555,629,1178,1636,51,191,2446,2001,9440,10212,19651,5733,6175,571,633,1574,1888,110,342,2096,1527,10084,10558,20644,6591,6851,559,527,1867,2197,168,538,1480,1085,10664,11196,21863,6664,6640,478,427,1810,1992,262,778,1043,631,10258,10475,20730,6858,6357,440,341,1515,1756,453,1273,679,425,9943,10145,20085,5348,4393,236,167,959,1058,550,1652,403,249,7505,7517,15015,3595,2598,141,88,508,523,583,2060,236,157,5065,5422,10489,2107,1345,78,27,236,279,660,2044,135,99,3212,3795,7012,1278,656
6GHOB,1516,3037,4551,38842,38930,2462,3030,7026,9976,2299,8600,31770,28951,82400,89482,171886,8,18,3,7,3,0,4,3,6859,6663,6880,6684,13565,196,350,11,38,6,12,8,9,6868,6550,7088,6952,14042,1252,1821,64,115,53,103,7,6,5610,5163,6986,7212,14194,2863,3396,133,276,194,218,7,29,3761,3407,6959,7327,14289,3298,3615,255,325,279,446,9,33,2564,2500,6403,6924,13329,3649,4090,311,416,532,831,23,88,2246,2057,6767,7482,14249,3956,4059,358,473,876,1279,25,97,1949,1714,7160,7623,14785,4061,4207,412,494,1065,1602,75,197,1507,1192,7121,7689,14811,4411,4624,382,448,1257,1726,136,314,1186,967,7380,8083,15459,4330,4218,287,290,1118,1640,157,532,816,595,6706,7280,13984,4335,3847,211,249,974,1343,223,785,463,369,6201,6594,12795,3070,2740,163,123,624,869,275,1058,251,222,4378,5006,9384,2309,1752,73,64,360,515,374,1366,147,152,3263,3846,7113,1447,948,44,27,146,265,400,1522,84,91,2128,2849,4976,1037,529
69799,0,0,0,30,8,5,0,13,7,4,0,26,16,82,29,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,6,4,8,3,0,0,0,0,0,0,0,5,0,8,0,14,3,3,0,0,0,0,0,0,3,4,5,6,11,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,7,0,7,3,0,0,0,3,0,0,0,0,0,5,0,9,5,0,0,0,0,0,0,0,0,0,5,3,4,4,0,0,0,0,0,0,0,0,0,4,0,4,0,3,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69499,0,0,0,110,100,46,36,72,69,10,16,326,187,566,409,976,0,0,0,0,0,0,0,0,34,33,34,33,62,4,0,0,0,0,0,0,0,57,32,56,29,90,6,3,3,0,0,0,0,0,52,33,66,38,103,7,10,0,3,3,0,0,0,40,18,55,29,79,3,6,8,9,3,4,0,0,40,14,53,30,80,8,5,6,0,4,4,0,0,22,16,36,24,65,3,3,3,6,11,11,0,0,16,10,37,29,67,8,8,4,3,12,5,0,0,13,13,38,36,69,6,7,4,6,4,11,0,0,13,9,28,25,55,11,16,3,3,7,8,0,5,3,3,24,30,58,11,13,3,0,12,11,0,4,4,3,34,31,62,6,3,0,0,4,7,0,3,3,0,12,13,22,0,3,0,0,0,3,0,0,0,0,4,3,7,3,0,0,0,0,0,0,0,0,0,3,0,7,0,0
5RWAU,2222,3727,5949,100777,92985,7131,6305,17116,16494,4096,13131,79154,58343,208286,187255,395538,73,103,8,12,12,3,3,4,15541,13963,15633,14085,29712,658,1023,50,95,19,19,11,17,13197,11293,13936,12444,26382,3804,5123,256,351,109,181,19,40,13465,10487,17657,16181,33831,8452,9271,521,619,407,545,21,63,9806,7515,19206,18012,37225,10063,9744,724,802,762,868,36,84,6623,5204,18201,16706,34902,11096,10367,942,911,1297,1481,52,156,5735,4462,19115,17375,36491,11519,10609,1075,1089,2047,2398,102,250,4993,3744,19738,18083,37816,11567,10613,1138,1038,2691,2929,190,458,4012,2749,19602,17783,37385,11590,10771,949,897,3149,3267,297,753,2859,1814,18852,17496,36346,10534,9854,808,629,2825,2721,393,1090,1824,1035,16378,15326,31706,9849,8474,675,467,2382,2037,549,1515,1041,554,14502,13039,27537,6947,5643,384,264,1378,1200,605,1823,570,291,9883,9230,19120,4709,3430,183,122,768,668,659,2296,380,179,6692,6701,13398,2734,1731,97,49,332,320,652,2396,190,107,4001,4596,8599,1794,844
5GPER,9692,18560,28253,339074,341564,18102,21799,48691,67629,13101,52679,268637,225184,687602,708859,1396460,150,226,18,25,31,20,25,14,61182,58446,61400,58729,120129,2368,4987,116,304,57,119,41,41,65769,59629,68351,65083,133434,16246,24938,723,1371,480,951,61,83,57369,48102,74881,75449,150329,37983,44069,1631,2480,1661,2552,73,182,36972,28760,78313,78040,156352,42260,44201,2148,2940,2813,4035,100,336,21437,17359,68747,68877,137621,43279,44177,2674,3546,4381,6627,177,498,16218,13411,66728,68258,134986,43409,43201,3140,3774,6362,9398,271,908,13289,10433,66480,67715,134195,40425,39841,2965,3344,7800,10870,482,1418,9914,7455,61581,62922,124498,36992,36486,2481,2754,7931,11341,691,2373,6861,5106,54954,58065,113020,33519,32442,2000,2087,7365,10268,952,3662,4344,3311,48183,51757,99944,31305,28079,1595,1584,6116,8638,1377,5369,2738,1972,43125,45643,88770,22807,18805,1078,896,3777,5430,1617,6446,1588,1168,30857,32742,63597,16654,12719,546,475,2238,3380,1926,8352,937,807,22310,25731,48038,10524,7182,299,237,1130,1773,2327,9472,521,499,14794,19170,33960,7384,3711
59799,0,0,0,138,9,11,0,21,0,0,3,212,20,381,33,417,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,14,3,17,3,20,7,0,0,0,0,0,0,0,35,4,43,4,47,34,0,0,0,0,0,0,0,42,5,74,3,78,31,0,0,0,0,0,0,0,29,0,63,3,60,34,0,3,0,0,0,0,0,22,0,59,4,65,28,0,3,0,8,6,0,0,11,0,54,7,60,27,0,0,0,8,0,0,0,6,0,43,0,44,17,0,0,0,5,0,0,0,0,0,27,0,27,11,3,0,0,3,0,0,0,3,0,17,3,15,3,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59499,9,6,19,1176,1022,303,164,509,339,67,94,1919,1100,3975,2711,6693,0,0,0,0,0,0,0,0,80,65,84,65,151,5,10,0,0,0,0,0,0,254,235,254,242,503,30,32,9,7,3,0,0,0,349,264,391,309,698,58,60,33,4,7,8,3,0,282,154,382,230,607,64,41,29,9,20,8,0,0,190,99,294,155,449,64,36,30,17,40,17,0,9,172,75,313,147,458,41,27,46,13,66,26,3,4,160,64,314,137,453,82,74,33,22,87,42,4,3,119,50,324,185,505,103,112,19,22,92,51,3,8,65,24,287,216,500,115,145,23,13,72,42,7,12,36,11,256,218,474,149,120,32,4,66,37,7,10,14,0,273,176,442,58,49,7,0,30,21,3,8,6,4,108,83,191,25,13,3,0,7,3,4,5,3,0,43,24,72,6,11,0,0,3,0,0,3,0,0,9,15,22,3,0
4RSAU,2932,5484,8415,77339,76487,4804,4735,13196,13546,4543,16098,49640,37875,149522,148734,298257,41,48,4,3,3,6,5,4,10880,10131,10933,10195,21132,402,700,27,67,10,8,8,11,9113,7844,9562,8629,18193,2151,3115,133,214,57,90,20,16,7474,5980,9833,9415,19247,4482,5222,270,413,218,332,11,32,5033,3972,10026,9978,19997,5254,5683,392,497,421,574,28,52,3696,2959,9792,9763,19557,6078,6422,566,665,805,1134,32,126,3657,2745,11130,11099,22227,7153,7403,633,793,1440,1725,80,229,3489,2487,12796,12640,25436,7665,8041,752,764,1973,2236,103,389,3098,1872,13594,13304,26897,8589,9065,765,670,2445,2503,204,589,2236,1230,14234,14052,28286,9256,9074,673,511,2369,2259,380,953,1349,698,14019,13492,27505,9559,8965,578,396,2078,1813,487,1628,873,443,13574,13245,26827,7671,6587,363,199,1313,1167,660,2145,548,288,10553,10384,20935,5320,4148,206,109,674,571,723,2514,357,155,7270,7494,14768,3167,2044,90,45,366,312,853,2758,201,95,4670,5259,9931,2218,1147
4GADE,10040,19621,29664,238982,239928,13215,15980,37867,53735,12475,49755,186554,160112,489094,519510,1008605,111,160,13,11,30,23,21,25,40317,38678,40489,38894,79385,1378,2923,75,173,49,65,28,37,43958,40850,45495,44039,89535,9060,14060,410,844,313,556,34,47,33670,28814,43487,44324,87807,21276,25125,972,1518,1048,1693,42,147,21250,17431,44579,45916,90495,24245,25334,1380,2017,1846,2704,62,207,13644,11588,41184,41853,83037,25045,25523,1795,2402,3055,4543,114,372,11794,9586,41800,42425,84217,25473,26183,2202,2702,4657,6661,235,672,10681,8478,43247,44698,87943,25415,25496,2140,2451,5787,8318,338,1113,8512,6570,42190,43942,86131,25246,25262,1763,2080,6490,9012,555,1819,6260,4920,40311,43097,83406,23452,23265,1520,1528,5743,8179,786,2766,3859,3206,35369,38948,74316,23324,21973,1176,1102,4894,7017,1201,4336,2364,1892,32956,36325,69278,17784,15742,675,679,2992,4454,1343,5489,1260,1118,24055,27481,51538,13186,10625,390,339,1713,2449,1724,7314,693,637,17705,21370,39078,9089,6024,241,187,863,1501,2129,8511,429,440,12752,16674,29423,6921,3657
49799,0,0,0,3,0,0,0,0,0,0,0,3,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49499,34,40,77,367,334,143,91,242,139,50,79,824,501,1628,1142,2764,0,0,0,0,0,0,0,0,95,74,95,80,173,3,4,0,3,0,0,0,0,161,91,161,99,266,12,14,10,0,0,0,0,0,169,101,187,118,304,25,18,11,9,10,4,0,0,113,61,164,93,259,23,21,12,11,12,4,0,0,94,40,136,80,221,15,16,23,7,14,6,0,0,88,28,141,61,205,25,26,21,16,27,19,0,0,69,33,142,96,238,28,33,11,15,30,20,0,0,70,24,143,91,235,46,34,19,17,29,14,7,5,25,16,122,81,207,34,55,16,8,30,21,8,0,29,7,114,82,198,52,51,10,0,38,6,4,3,11,6,108,68,183,34,20,7,3,19,4,3,5,5,0,59,27,85,10,6,5,0,8,0,9,3,4,4,27,8,37,0,3,0,0,0,0,7,0,0,0,9,11,23,4,0
3RQLD,13854,23597,37453,434302,434769,28736,32858,78046,93885,21137,74880,322749,272092,884963,908486,1793448,167,222,39,43,34,21,29,55,76191,72496,76455,72830,149284,2744,5008,226,476,91,123,55,78,70078,66104,73189,71787,144979,15847,23057,979,1757,587,1074,87,141,55733,49471,73236,75497,148732,33242,40004,2009,3156,1963,3055,80,220,36969,31722,74265,78159,152423,39336,43243,2805,4122,3591,5387,138,420,25826,22296,71682,75472,147156,45319,48634,3998,5303,6375,9461,229,779,22707,18737,78620,82915,161537,47563,49571,4587,5784,9416,13464,456,1206,19039,15267,81063,85294,166356,47787,49607,4536,5150,11904,15971,721,2186,15557,11191,80501,84100,164603,48433,49264,4159,4438,13356,16605,1177,3516,11702,7943,78817,81760,160585,46658,45474,3374,3378,12528,14657,1602,5432,7405,4600,71564,73541,145106,46999,42290,3115,2511,11527,12673,2517,8380,4980,2799,69141,68658,137801,36320,30696,1973,1467,7675,8158,3081,10484,3132,1660,52174,52467,104645,25303,18541,1145,751,4194,4463,3478,12699,1896,1040,36013,37488,73504,15086,9494,616,322,2061,2189,3753,13116,1086,697,22604,25810,48416,9957,5040
3GBRI,10771,21519,32290,390139,391706,23518,28510,59501,81631,15565,61530,317919,281476,806640,844853,1651498,164,271,20,32,26,21,29,29,74280,71702,74523,72056,146581,2949,5668,197,445,97,174,56,68,82239,78855,85533,85209,170741,18369,26627,1023,1878,687,1133,56,104,64031,56754,84171,86492,170661,40238,47194,2192,3198,2134,3201,85,216,40248,33878,84890,87680,172568,45416,48583,2860,3972,3675,5331,155,389,25166,21774,77269,80046,157315,48679,50192,3729,4776,6059,8743,225,658,19905,17653,78597,82021,160613,47714,48888,3951,4808,8174,11808,366,1079,15788,13278,76005,79858,155861,44629,44484,3635,4291,9473,13439,553,1870,11698,9131,69989,73211,143199,41962,41271,3105,3521,9546,13346,864,2805,7936,6160,63409,67104,130519,37859,36155,2461,2624,8725,11854,1185,4207,5100,4107,55331,58942,114276,35223,31933,2032,2024,7407,10222,1752,6403,3397,2730,49807,53313,103118,26246,21343,1309,1173,4659,6499,2112,8092,2011,1648,36333,38754,75090,17619,13105,747,501,2607,3497,2420,9380,1233,1164,24632,27648,52275,10306,6762,351,268,1238,1784,2549,10326,782,866,15228,20001,35231,7431,3856
39799,3,3,6,101,70,7,6,27,28,8,33,123,52,265,187,453,0,0,0,0,0,0,0,0,3,5,3,5,11,0,0,0,0,0,0,0,0,3,4,3,4,11,0,3,0,0,0,0,0,0,0,0,3,4,5,0,0,0,0,0,0,0,0,3,0,3,3,7,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,3,4,3,12,3,5,0,0,0,0,0,0,0,0,5,5,6,6,3,0,0,0,3,0,0,0,0,5,3,14,5,8,0,0,0,4,0,3,0,0,5,14,19,0,3,0,0,0,4,0,0,3,0,8,3,12,4,3,0,0,6,0,0,9,0,0,5,12,19,6,0,0,0,0,3,3,3,0,0,11,9,16,0,0,0,0,0,0,0,3,0,0,0,4,6,6,3,0,0,0,0,0,0,0,0,5,0,5,0,0
39499,22,27,51,2166,1993,527,269,979,588,148,172,2780,1857,6606,4879,11485,0,0,0,0,0,0,0,0,209,201,212,203,408,0,4,5,0,0,0,0,0,554,564,559,576,1133,40,61,22,8,7,4,0,3,649,554,714,627,1349,77,83,31,16,14,14,3,0,445,260,573,374,948,82,83,60,19,38,23,4,3,299,129,479,261,738,84,65,69,25,48,35,7,3,280,124,487,256,742,96,100,63,39,79,58,3,3,218,107,455,298,752,138,199,71,22,137,84,3,9,177,74,518,393,914,205,334,51,34,125,134,5,19,101,77,489,592,1080,342,440,72,26,150,125,23,19,81,22,660,639,1294,379,388,58,15,198,97,26,22,54,20,716,539,1253,223,167,33,8,97,43,35,27,18,5,403,254,661,101,76,17,3,32,15,11,19,15,8,177,118,295,30,5,4,0,10,0,6,15,9,7,53,34,82,5,0
2RVIC,10903,20800,31704,271557,271532,16873,19189,42637,53192,16161,58607,181447,155944,528671,558463,1087136,86,110,16,10,33,19,19,31,44777,41871,44925,42043,86967,1146,2049,80,202,32,42,17,43,39652,36263,40923,38606,79529,7957,11642,450,853,222,393,29,53,29876,26371,38530,39310,77842,18216,21391,943,1541,822,1252,47,119,18261,16571,38294,40864,79154,21481,23485,1448,2064,1605,2403,89,213,13108,12124,37726,40290,78014,24729,26211,2110,2842,2987,4642,143,421,12461,10959,42442,45080,87518,26698,28167,2548,3194,5033,7283,260,783,10933,9030,45471,48463,93933,28431,30208,2696,3128,6693,9053,448,1274,9214,7032,47486,50695,98187,30902,31908,2554,2794,7714,9779,782,2296,7276,5360,49225,52136,101361,31811,31643,2317,2266,7765,9256,1216,3597,5165,3335,48271,50095,98363,32318,30416,2093,1636,6833,7893,1820,5561,3454,2065,46519,47572,94086,24895,21596,1255,943,4401,4736,2264,7285,2096,1263,34911,35831,70745,17962,13825,671,443,2409,2607,2627,9485,1273,912,24939,27264,52199,11165,7566,343,220,1114,1257,2957,10686,770,550,16351,20282,36633,7869,4227
2GMEL,25344,47893,73236,795332,797075,39114,49665,98426,144379,33237,134447,620872,548255,1586977,1673822,3260797,409,617,50,62,57,64,50,63,136179,131463,136742,132275,269015,4811,11244,236,580,153,325,105,126,163048,152725,168363,165007,333367,37795,57911,1407,2577,1165,2139,128,187,137990,121128,178485,183944,362435,92161,106122,3085,4803,3537,5893,171,369,81848,69929,180801,187112,367913,102118,104141,4278,6118,6033,9196,243,614,49080,43498,161748,163566,325319,100347,101903,5487,7708,9499,15016,364,1150,37538,34743,153241,160525,313768,96899,99273,6691,8656,13637,21114,639,2033,31070,27569,148946,158634,307580,90429,89080,6386,7679,15990,23541,1014,3352,23003,19259,136829,142906,279728,83326,81885,5611,6549,16597,23866,1549,5600,16617,14220,123698,132121,255824,73965,71076,4447,5005,14285,21091,2289,8553,10911,9454,105899,115182,221078,67800,63098,3671,3727,11658,17990,3201,12978,7068,5813,93402,103599,197002,52055,44418,2211,2114,7473,11252,3834,16303,4134,3479,69714,77568,147281,38849,29811,1437,1227,4369,6423,4792,21182,2490,2261,51936,60898,112832,25827,16992,743,589,2254,3563,5834,24343,1494,1580,36158,47062,83219,18855,9506
29799,0,0,0,15,0,0,0,6,0,0,0,17,0,36,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,6,4,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29499,22,32,55,745,676,361,237,479,372,75,96,2473,1757,4134,3136,7268,0,0,0,0,4,0,0,0,175,173,180,178,357,10,20,0,5,0,4,0,0,438,420,447,453,898,33,54,12,17,0,4,0,0,494,372,542,450,994,98,76,35,23,17,15,0,0,367,229,513,345,856,65,50,44,28,28,25,0,3,298,150,441,253,693,47,43,68,24,40,35,5,3,216,116,372,229,601,49,31,60,21,56,49,6,5,183,65,349,170,524,46,50,39,33,64,44,0,3,119,53,277,177,451,65,86,30,15,69,45,0,11,73,34,237,188,425,81,78,28,10,72,57,5,11,44,10,219,169,390,73,78,27,9,36,37,12,9,21,9,170,141,311,56,28,6,7,31,15,10,9,14,8,112,62,174,15,19,3,0,11,3,3,8,12,3,48,32,78,14,6,3,0,7,3,3,6,5,0,32,16,45,3,3
1RNSW,20565,37979,58543,496142,495935,32422,36647,85694,104449,31473,109925,343000,289161,988731,1036112,2024844,189,159,26,40,61,28,23,26,81534,77433,81832,77694,159525,2356,4436,177,443,78,121,48,66,72789,67036,75449,72109,147560,15289,22583,869,1656,516,903,76,117,54751,47373,71505,72628,144133,32917,39118,1902,2949,1654,2687,89,224,35167,29541,71734,74519,146254,38734,42283,2704,3920,3176,4930,140,397,25031,21979,69787,73506,143294,45376,48229,3927,5069,6063,9111,238,753,23131,19743,78729,82902,161625,46891,50265,4537,5620,9358,13335,461,1448,21159,16710,82400,87382,169780,50426,53207,4788,5619,12512,16306,839,2481,18929,13667,87489,91280,178773,55249,57263,4880,5273,14716,18646,1419,4195,15120,10521,91386,95897,187279,55520,55674,4289,3996,14816,17013,2162,6575,10261,6379,87041,89638,176678,57697,52978,3870,3061,13378,14865,3418,10409,6408,3998,84775,85317,170095,46058,39643,2371,1713,8924,9749,4257,14115,3901,2411,65512,67630,133140,32969,25984,1416,907,5191,5490,5189,17829,2425,1622,47188,51835,99023,21061,14125,691,438,2463,2856,5592,19976,1434,1090,31228,38484,69716,14454,7450
1GSYD,27271,53794,81066,881092,883059,44066,56344,108532,160934,35559,147159,659327,572396,1728563,1819896,3548457,456,851,50,65,63,57,58,59,147352,139348,147983,140387,288362,6395,14808,279,710,201,424,110,112,165305,152394,172289,168451,340737,43188,66138,1486,2954,1566,2728,151,207,141758,121283,188149,193306,381451,100418,116258,3502,5407,4415,6995,147,375,85070,70359,193554,199397,392950,113802,116971,4710,6753,7118,10935,222,687,51097,43161,176949,178510,355460,111572,112993,5798,8099,10666,16618,394,1243,39083,34111,167516,173063,340580,103680,105818,6406,8444,14104,22106,632,2290,31794,26481,156617,165145,321762,100390,97794,6599,8039,16902,24851,1072,3842,25808,20516,150766,155048,305817,92304,90057,5976,6938,17649,25542,1610,6566,19328,15584,136868,144692,281558,81659,77027,4809,5533,15421,22435,2253,9957,12600,10756,116752,125704,242452,73385,65660,4236,4147,13183,19214,3419,14200,8876,7198,103106,110423,213531,55306,45293,2748,2418,8651,12664,4112,17921,5492,4348,76315,82644,158961,39682,29888,1660,1239,4948,7205,5058,22166,3370,2855,54715,63350,118061,26212,16687,862,676,2608,4133,5819,24894,2101,2003,37598,48394,85988,19666,9780
19799,0,0,0,31,28,0,0,10,6,0,16,10,3,51,55,110,0,0,0,0,0,0,0,0,3,7,3,7,12,0,0,0,0,0,0,0,0,5,3,9,4,9,0,3,0,0,0,0,0,0,3,10,5,12,12,6,8,0,0,0,0,0,0,3,0,6,14,20,3,3,0,0,0,0,0,0,0,3,3,3,9,9,10,0,0,0,0,0,0,0,4,10,12,21,6,4,0,0,0,0,0,0,4,4,10,7,16,6,14,0,0,4,3,0,0,3,0,15,22,35,10,14,0,0,0,5,0,0,0,3,12,23,35,16,17,0,0,0,5,0,0,0,0,16,26,42,20,26,0,0,0,8,3,3,0,0,26,36,63,11,14,0,0,3,4,0,11,0,0,21,28,46,5,4,0,0,0,0,0,6,0,0,5,14,22,10,3,0,0,0,0,0,4,0,0,10,10,19,0,3
