GCCSA_CODE_2016,Age_0_C06_M,Age_0_C06_F,Age_0_C06_P,Age_0_C11_M,Age_0_C11_F,Age_0_C11_P,Age_0_C16_M,Age_0_C16_F,Age_0_C16_P,Age_1_C06_M,Age_1_C06_F,Age_1_C06_P,Age_1_C11_M,Age_1_C11_F,Age_1_C11_P,Age_1_C16_M,Age_1_C16_F,Age_1_C16_P,Age_2_C06_M,Age_2_C06_F,Age_2_C06_P,Age_2_C11_M,Age_2_C11_F,Age_2_C11_P,Age_2_C16_M,Age_2_C16_F,Age_2_C16_P,Age_3_C06_M,Age_3_C06_F,Age_3_C06_P,Age_3_C11_M,Age_3_C11_F,Age_3_C11_P,Age_3_C16_M,Age_3_C16_F,Age_3_C16_P,Age_4_C06_M,Age_4_C06_F,Age_4_C06_P,Age_4_C11_M,Age_4_C11_F,Age_4_C11_P,Age_4_C16_M,Age_4_C16_F,Age_4_C16_P,Age_0_4_C06_M,Age_0_4_C06_F,Age_0_4_C06_P,Age_0_4_C11_M,Age_0_4_C11_F,Age_0_4_C11_P,Age_0_4_C16_M,Age_0_4_C16_F,Age_0_4_C16_P,Age_5_C06_M,Age_5_C06_F,Age_5_C06_P,Age_5_C11_M,Age_5_C11_F,Age_5_C11_P,Age_5_C16_M,Age_5_C16_F,Age_5_C16_P,Age_6_C06_M,Age_6_C06_F,Age_6_C06_P,Age_6_C11_M,Age_6_C11_F,Age_6_C11_P,Age_6_C16_M,Age_6_C16_F,Age_6_C16_P,Age_7_C06_M,Age_7_C06_F,Age_7_C06_P,Age_7_C11_M,Age_7_C11_F,Age_7_C11_P,Age_7_C16_M,Age_7_C16_F,Age_7_C16_P,Age_8_C06_M,Age_8_C06_F,Age_8_C06_P,Age_8_C11_M,Age_8_C11_F,Age_8_C11_P,Age_8_C16_M,Age_8_C16_F,Age_8_C16_P,Age_9_C06_M,Age_9_C06_F,Age_9_C06_P,Age_9_C11_M,Age_9_C11_F,Age_9_C11_P,Age_9_C16_M,Age_9_C16_F,Age_9_C16_P,Age_5_9_C06_M,Age_5_9_C06_F,Age_5_9_C06_P,Age_5_9_C11_M,Age_5_9_C11_F,Age_5_9_C11_P,Age_5_9_C16_M,Age_5_9_C16_F,Age_5_9_C16_P,Age_10_C06_M,Age_10_C06_F,Age_10_C06_P,Age_10_C11_M,Age_10_C11_F,Age_10_C11_P,Age_10_C16_M,Age_10_C16_F,Age_10_C16_P,Age_11_C06_M,Age_11_C06_F,Age_11_C06_P,Age_11_C11_M,Age_11_C11_F,Age_11_C11_P,Age_11_C16_M,Age_11_C16_F,Age_11_C16_P,Age_12_C06_M,Age_12_C06_F,Age_12_C06_P,Age_12_C11_M,Age_12_C11_F,Age_12_C11_P,Age_12_C16_M,Age_12_C16_F,Age_12_C16_P,Age_13_C06_M,Age_13_C06_F,Age_13_C06_P,Age_13_C11_M,Age_13_C11_F,Age_13_C11_P,Age_13_C16_M,Age_13_C16_F,Age_13_C16_P,Age_14_C06_M,Age_14_C06_F,Age_14_C06_P,Age_14_C11_M,Age_14_C11_F,Age_14_C11_P,Age_14_C16_M,Age_14_C16_F,Age_14_C16_P,Age_10_14_C06_M,Age_10_14_C06_F,Age_10_14_C06_P,Age_10_14_C11_M,Age_10_14_C11_F,Age_10_14_C11_P,Age_10_14_C16_M,Age_10_14_C16_F,Age_10_14_C16_P,Age_15_C06_M,Age_15_C06_F,Age_15_C06_P,Age_15_C11_M,Age_15_C11_F,Age_15_C11_P,Age_15_C16_M,Age_15_C16_F,Age_15_C16_P,Age_16_C06_M,Age_16_C06_F,Age_16_C06_P,Age_16_C11_M,Age_16_C11_F,Age_16_C11_P,Age_16_C16_M,Age_16_C16_F,Age_16_C16_P,Age_17_C06_M,Age_17_C06_F,Age_17_C06_P,Age_17_C11_M,Age_17_C11_F,Age_17_C11_P,Age_17_C16_M,Age_17_C16_F,Age_17_C16_P,Age_18_C06_M,Age_18_C06_F,Age_18_C06_P,Age_18_C11_M,Age_18_C11_F,Age_18_C11_P,Age_18_C16_M,Age_18_C16_F,Age_18_C16_P,Age_19_C06_M,Age_19_C06_F
6RTAS,1718,1632,3349,1707,1569,3274,1491,1383,2873,1657,1526,3182,1742,1650,3395,1551,1515,3068,1674,1570,3237,1863,1724,3586,1562,1574,3136,1629,1567,3197,1838,1767,3603,1625,1564,3186,1780,1702,3477,1897,1816,3715,1625,1543,3167,8447,7999,16443,9049,8525,17573,7854,7575,15434,1775,1731,3500,1835,1766,3603,1727,1591,3319,1902,1830,3731,1779,1670,3452,1718,1668,3387,1986,1845,3834,1737,1653,3389,1846,1706,3559,1905,1761,3671,1681,1665,3343,1865,1740,3609,2012,1934,3953,1809,1782,3590,1865,1777,3641,9582,9100,18688,8838,8538,17373,9025,8483,17506,2044,1895,3940,1819,1759,3575,1857,1736,3597,2183,2007,4187,1940,1873,3816,1732,1666,3393,2115,1981,4095,2047,1908,3952,1708,1629,3333,2086,1924,4010,1918,1818,3732,1634,1659,3293,2015,1952,3972,1993,1978,3977,1778,1703,3476,10439,9759,20201,9713,9335,19052,8706,8389,17095,2084,2022,4108,2044,1878,3923,1772,1693,3462,2113,1818,3925,2093,1978,4067,1915,1763,3681,1969,1762,3729,2026,1805,3830,1917,1773,3689,1709,1692,3399,1874,1747,3620,1745,1593,3333,1627,1541
6GHOB,1309,1188,2495,1379,1282,2662,1293,1175,2466,1297,1171,2469,1396,1288,2689,1336,1238,2569,1251,1164,2409,1367,1359,2729,1341,1261,2606,1231,1138,2374,1433,1323,2761,1354,1298,2648,1249,1177,2427,1370,1360,2733,1335,1365,2704,6340,5836,12171,6948,6617,13569,6666,6338,12995,1394,1234,2632,1376,1309,2683,1458,1348,2809,1296,1211,2505,1402,1219,2617,1436,1273,2709,1304,1318,2625,1276,1179,2460,1412,1422,2840,1313,1233,2538,1338,1203,2543,1436,1391,2825,1331,1262,2601,1308,1216,2527,1411,1393,2806,6637,6257,12894,6692,6130,12829,7158,6830,13986,1322,1314,2634,1418,1269,2689,1382,1321,2705,1382,1333,2717,1337,1284,2620,1404,1300,2699,1432,1291,2723,1319,1375,2695,1340,1203,2545,1408,1340,2746,1379,1302,2679,1309,1233,2544,1362,1330,2699,1388,1299,2687,1348,1270,2616,6908,6610,13518,6836,6535,13377,6780,6330,13108,1445,1441,2893,1352,1371,2720,1419,1318,2729,1500,1395,2891,1481,1361,2845,1362,1277,2641,1457,1456,2914,1422,1330,2752,1352,1411,2764,1430,1375,2808,1372,1327,2697,1376,1348,2718,1491,1434
69799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69499,3,4,12,7,3,8,4,0,11,3,8,12,5,0,7,5,5,10,3,3,6,4,3,7,4,0,6,4,5,14,8,6,9,8,7,7,4,5,8,6,9,13,0,9,7,21,24,48,22,21,40,27,20,40,6,0,6,5,4,3,4,0,4,4,0,5,4,6,9,0,4,4,4,6,12,6,0,10,0,0,3,0,0,0,0,5,5,3,3,4,3,7,6,3,3,5,3,4,5,19,14,39,13,20,29,7,12,21,0,5,5,0,4,4,0,0,6,4,0,6,0,0,0,4,0,3,0,4,3,0,0,4,0,4,5,3,0,3,4,3,6,0,3,3,0,3,5,7,3,7,0,3,3,12,10,26,14,11,30,8,9,20,0,0,3,0,8,8,0,3,8,6,3,7,14,7,20,5,6,4,7,8,13,8,9,19,6,7,6,7,6,17,9,12,24,8,10,19,9,6
5RWAU,3256,3294,6545,3522,3212,6732,3368,3077,6438,3212,3088,6295,3709,3545,7249,3603,3430,7033,3172,3001,6164,3729,3458,7186,3672,3438,7105,3114,3072,6187,3756,3592,7346,3752,3417,7168,3368,3143,6516,3928,3734,7660,3645,3466,7107,16116,15597,31711,18648,17536,36183,18037,16823,34861,3555,3336,6893,3707,3659,7371,3826,3424,7255,3475,3425,6899,3630,3492,7121,3742,3675,7414,3728,3421,7147,3568,3376,6951,3801,3531,7332,3591,3381,6975,3451,3391,6846,3783,3735,7516,3595,3413,7007,3602,3480,7082,3918,3744,7666,17942,16978,34922,17966,17404,35368,19070,18117,37183,3689,3332,7023,3741,3540,7278,3696,3694,7389,3644,3428,7071,3686,3605,7292,3554,3368,6921,3641,3363,7008,3851,3505,7350,3435,3158,6595,3537,3261,6794,3556,3252,6803,3253,3179,6433,3382,3184,6570,3484,3290,6780,3338,3251,6583,17901,16566,34465,18313,17192,35510,17282,16644,33920,3467,3171,6633,3491,3133,6621,3416,3115,6526,3325,3129,6458,3423,3155,6579,3332,3161,6490,3113,2817,5934,3307,2948,6258,3403,3009,6413,2719,2414,5134,3032,2597,5629,2893,2541,5430,2510,2219
5GPER,9856,9497,19348,11539,11092,22634,12701,11921,24625,9465,8921,18383,11904,11214,23118,13302,12389,25689,9594,8852,18448,11786,10859,22647,12948,12546,25487,9294,9020,18310,11801,11364,23165,13172,12415,25591,9459,8941,18396,12052,11205,23257,12916,12408,25324,47661,45227,92888,59080,55739,114820,65040,61672,126713,9776,9260,19027,11561,11038,22602,12995,12635,25634,9728,9258,18985,11076,10414,21492,13154,12350,25506,10050,9643,19694,11066,10248,21314,12929,12022,24956,9982,9465,19449,10728,10376,21106,13075,12439,25517,10312,9612,19927,10594,10100,20694,12977,12238,25223,49847,47238,97081,55026,52176,107200,65142,61685,126833,10449,9732,20179,10938,10450,21386,12570,11864,24434,10725,10106,20829,11017,10498,21516,12014,11332,23349,10919,10277,21200,11516,10985,22496,12118,11286,23405,10823,10337,21154,11511,10943,22453,11643,11333,22973,10992,10522,21515,11617,10913,22529,11624,11001,22626,53909,50971,104882,56597,53789,110387,59965,56820,116781,11117,10730,21850,11901,11190,23084,11990,11397,23387,11427,10854,22282,12010,11340,23344,11979,11618,23596,11232,10946,22177,12015,11392,23408,12292,11715,24001,11208,10611,21817,12037,11581,23618,12289,11696,23988,11622,11113
59799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,0,0,0,0,0,0,3,0
59499,29,29,57,28,24,47,19,20,38,11,21,31,30,22,56,17,12,32,18,25,44,29,32,59,16,21,32,17,14,37,14,27,41,15,12,26,20,27,43,30,30,57,15,17,30,99,111,216,125,134,260,81,79,161,24,19,45,25,26,46,12,15,24,18,15,32,21,16,41,15,18,28,13,20,30,15,9,25,14,17,34,16,22,39,22,23,45,14,12,22,11,14,18,25,23,48,17,15,28,76,83,160,110,94,206,66,72,134,16,15,23,19,13,33,12,11,26,15,10,25,17,14,26,13,7,24,13,13,21,13,18,29,3,13,13,9,15,15,14,9,24,11,3,13,11,7,19,9,11,28,6,10,25,57,54,109,68,67,137,54,46,102,12,9,28,16,9,26,11,8,17,13,13,31,17,18,32,11,8,18,16,10,24,26,23,49,12,14,23,34,30,58,31,20,45,17,12,36,44,39
4RSAU,2111,2001,4117,2155,2035,4185,1906,1926,3839,2162,2160,4323,2253,2128,4382,2068,1986,4054,2186,2051,4238,2389,2191,4576,2148,2062,4212,2264,2097,4358,2371,2236,4610,2213,2091,4298,2229,2246,4478,2401,2289,4691,2285,2141,4431,10946,10561,21507,11576,10877,22448,10628,10211,20840,2292,2257,4553,2356,2225,4583,2365,2061,4424,2536,2318,4852,2385,2254,4635,2379,2218,4599,2470,2428,4895,2372,2184,4560,2456,2250,4709,2502,2368,4870,2341,2202,4547,2400,2240,4640,2571,2462,5028,2324,2324,4650,2426,2334,4760,12362,11832,24191,11783,11187,22976,12027,11104,23131,2578,2516,5096,2371,2299,4671,2326,2256,4579,2686,2454,5133,2596,2380,4983,2450,2252,4703,2654,2572,5220,2497,2460,4954,2339,2196,4536,2674,2608,5287,2506,2409,4919,2345,2135,4482,2647,2576,5228,2566,2489,5059,2301,2270,4566,13237,12730,25968,12544,12037,24577,11767,11107,22869,2696,2360,5053,2544,2398,4942,2251,2214,4468,2558,2326,4887,2573,2295,4866,2357,2218,4581,2519,2148,4660,2501,2373,4878,2326,2248,4570,2184,1839,4023,2299,1989,4289,2036,1859,3900,1971,1589
4GADE,6879,6413,13289,7364,7067,14435,7351,6930,14284,6664,6234,12898,7577,7137,14713,7811,7377,15179,6857,6327,13187,7476,7198,14676,7908,7447,15348,6637,6468,13105,7566,7258,14826,8044,7494,15538,6835,6388,13222,7514,7392,14909,8123,7662,15786,33864,31832,65697,37499,36057,73556,39238,36906,76145,6774,6689,13465,7535,6965,14496,7764,7550,15312,7120,6630,13756,7045,6904,13943,8102,7464,15563,7202,6859,14056,7288,6689,13974,7843,7547,15386,7121,6841,13961,7001,6805,13799,7884,7682,15568,7217,6905,14123,7222,6681,13897,7782,7657,15439,35433,33926,69356,36089,34033,70121,39373,37897,77270,7544,7014,14559,7205,6900,14102,7725,7200,14920,7692,7215,14911,7427,6997,14421,7332,7009,14338,7341,7108,14445,7575,7246,14820,7466,7039,14508,7662,7164,14829,7577,7209,14779,7279,7039,14314,7765,7314,15085,7550,7276,14826,7481,6967,14452,38004,35822,73830,37330,35620,72954,37283,35243,72533,7856,7376,15232,7959,7456,15410,7597,7306,14903,7905,7608,15515,8289,7717,15999,7950,7447,15392,8163,7492,15653,7980,7646,15629,8113,7650,15762,7944,7749,15691,8241,7966,16210,8222,7996,16220,8128,8181
