GCCSA_CODE_2016,Age_74_C16_P,Age_70_74_C06_M,Age_70_74_C06_F,Age_70_74_C06_P,Age_70_74_C11_M,Age_70_74_C11_F,Age_70_74_C11_P,Age_70_74_C16_M,Age_70_74_C16_F,Age_70_74_C16_P,Age_75_C06_M,Age_75_C06_F,Age_75_C06_P,Age_75_C11_M,Age_75_C11_F,Age_75_C11_P,Age_75_C16_M,Age_75_C16_F,Age_75_C16_P,Age_76_C06_M,Age_76_C06_F,Age_76_C06_P,Age_76_C11_M,Age_76_C11_F,Age_76_C11_P,Age_76_C16_M,Age_76_C16_F,Age_76_C16_P,Age_77_C06_M,Age_77_C06_F,Age_77_C06_P,Age_77_C11_M,Age_77_C11_F,Age_77_C11_P,Age_77_C16_M,Age_77_C16_F,Age_77_C16_P,Age_78_C06_M,Age_78_C06_F,Age_78_C06_P,Age_78_C11_M,Age_78_C11_F,Age_78_C11_P,Age_78_C16_M,Age_78_C16_F,Age_78_C16_P,Age_79_C06_M,Age_79_C06_F,Age_79_C06_P,Age_79_C11_M,Age_79_C11_F,Age_79_C11_P,Age_79_C16_M,Age_79_C16_F,Age_79_C16_P,Age_75_79_C06_M,Age_75_79_C06_F,Age_75_79_C06_P,Age_75_79_C11_M,Age_75_79_C11_F,Age_75_79_C11_P,Age_75_79_C16_M,Age_75_79_C16_F,Age_75_79_C16_P,Age_80_84_C06_M,Age_80_84_C06_F,Age_80_84_C06_P,Age_80_84_C11_M,Age_80_84_C11_F,Age_80_84_C11_P,Age_80_84_C16_M,Age_80_84_C16_F,Age_80_84_C16_P,Age_85ov_C06_M,Age_85ov_C06_F,Age_85ov_C06_P,Age_85ov_C11_M,Age_85ov_C11_F,Age_85ov_C11_P,Age_85ov_C16_M,Age_85ov_C16_F,Age_85ov_C16_P,Tot_C06_M,Tot_C06_F,Tot_C06_P,Tot_C11_M,Tot_C11_F,Tot_C11_P,Tot_C16_M,Tot_C16_F,Tot_C16_P
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,6,5,0,5,6,0,3
49499,16,27,23,51,60,31,91,59,27,85,6,8,12,4,3,10,10,3,10,3,3,4,5,4,10,3,0,3,0,3,3,6,0,7,11,3,15,0,0,0,5,3,10,6,0,6,3,5,6,8,6,8,0,3,5,8,11,23,23,21,44,27,8,37,13,5,18,19,21,39,9,11,23,10,13,26,34,40,77,13,7,22,1494,1125,2618,1778,1287,3069,1734,1129,2863
3RQLD,18545,32880,32570,65452,40001,39724,79725,52174,52467,104645,5793,6221,12013,6704,6645,13342,8418,8538,16959,5577,5985,11566,5855,6295,12156,7779,8036,15818,5300,5671,10974,5447,5702,11145,7165,7554,14712,4858,5608,10463,5182,5534,10713,6551,6815,13372,4434,5088,9523,4828,5277,10099,6102,6543,12639,25962,28578,54533,28011,29449,57459,36013,37488,73504,16632,21578,38216,19304,23838,43143,22604,25810,48416,10664,19301,29965,13854,23597,37453,18069,29061,47131,1017264,1021871,2039128,1121239,1132488,2253723,1197426,1222294,2419724
3GBRI,13102,22418,24785,47199,27411,29232,56643,36333,38754,75090,4269,4911,9185,4349,4888,9239,5707,6146,11853,3936,4726,8669,4086,4795,8877,5435,5872,11313,3562,4682,8246,3679,4474,8159,4926,5563,10485,3516,4571,8087,3525,4450,7976,4479,5102,9578,3306,4302,7605,3435,4182,7616,4080,4965,9044,18598,23198,41790,19079,22789,41867,24632,27648,52275,12767,19292,32060,14180,19555,33738,15228,20001,35231,8490,18138,26625,10771,21519,32290,13676,24673,38357,910766,941733,1852501,1019555,1046438,2065998,1117452,1153351,2270800
39799,0,3,0,3,9,19,21,11,9,16,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,7,14,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,8,0,3,3,0,0,0,12,14,25,0,4,6,0,0,0,7,13,18,5,0,5,0,0,0,3,3,6,0,0,4,83,11,99,275,193,473,66,87,150
39499,83,245,107,347,325,166,496,403,254,661,23,11,34,36,20,58,57,22,77,18,13,32,43,12,50,39,31,69,15,13,32,27,19,43,35,33,67,23,12,32,25,13,36,20,17,40,12,9,21,16,10,29,29,15,46,95,54,146,146,72,220,177,118,295,38,23,63,53,22,75,53,34,82,28,46,67,22,27,51,19,18,44,7268,5542,12806,7153,5396,12543,6937,5572,12510
2RVIC,12994,23519,25263,48776,27281,28439,55717,34911,35831,70745,4287,4920,9211,4670,4955,9623,5813,6038,11850,4289,4801,9096,4247,4692,8944,5177,5792,10974,4002,4776,8776,4001,4605,8603,5097,5401,10495,3847,4698,8544,3917,4614,8530,4534,5219,9756,3629,4432,8066,3506,4205,7715,4315,4817,9129,20059,23632,43694,20347,23069,43418,24939,27264,52199,13118,18998,32112,15246,19920,35163,16351,20282,36633,8232,17083,25314,10903,20800,31704,14351,24446,38801,628734,650228,1278965,661408,684305,1345717,704128,729694,1433818
2GMEL,26407,50604,57697,108304,57515,63926,121442,69714,77568,147281,9590,11059,20649,9937,11632,21570,11543,13071,24610,9301,11353,20652,9159,10848,20012,11187,12743,23934,8632,10491,19124,9001,10524,19527,10331,12196,22532,8306,10208,18519,8215,10072,18288,9695,11796,21491,7612,10147,17758,7767,9695,17468,9179,11092,20275,43438,53257,96696,44081,52776,96854,51936,60898,112832,29345,43544,72890,33622,45190,78808,36158,47062,83219,18830,39671,58500,25344,47893,73236,33202,55950,89151,1788040,1858982,3647019,1966504,2033479,3999981,2199597,2285616,4485211
29799,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,3,51,36,0,36,28,4,29
29499,31,48,45,96,102,51,154,112,62,174,10,10,14,15,3,17,15,8,15,4,9,11,10,5,12,7,4,16,10,5,9,11,7,12,7,11,15,8,9,12,5,7,9,15,8,24,3,4,12,9,3,15,8,7,9,31,29,62,50,18,65,48,32,78,27,34,56,26,21,44,32,16,45,15,45,56,22,32,55,9,28,38,3598,2798,6394,4672,3636,8307,4331,3238,7565
1RNSW,24008,46237,49351,95587,52619,55109,107724,65512,67630,133140,8566,9544,18113,9169,9941,19111,10657,11283,21945,8250,9370,17623,8169,9424,17595,9985,10845,20829,7741,9044,16788,7718,8707,16422,9407,10395,19798,7503,8687,16189,7394,8438,15830,8771,9752,18530,6688,8317,15002,7175,8347,15522,8361,9563,17922,38747,44967,83718,39623,44855,84478,47188,51835,99023,25101,35034,60141,29254,37522,66771,31228,38484,69716,14929,30593,45519,20565,37979,58543,26562,44829,71398,1193752,1226014,2419769,1239007,1273940,2512952,1301717,1341813,2643536
1GSYD,27637,54182,60928,115105,61572,67688,129254,76315,82644,158961,9992,11956,21950,10461,12041,22498,12306,13937,26244,9832,12008,21840,9638,11422,21057,11895,13155,25055,9258,11672,20928,9227,10735,19963,10891,12656,23549,8860,11380,20240,8712,10660,19375,10026,12057,22084,8350,10935,19289,8277,10229,18509,9592,11533,21129,46300,57951,104247,46317,55081,101401,54715,63350,118061,31946,48540,80490,35352,48487,83838,37598,48394,85988,21077,44996,66072,27271,53794,81066,35147,60875,96022,2028727,2090459,4119190,2162221,2229453,4391673,2376766,2447221,4823991
19799,12,0,0,0,11,7,21,21,28,46,0,0,0,0,0,0,0,10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,3,3,0,3,4,0,0,0,0,0,0,0,3,3,0,0,0,3,3,6,5,14,22,0,0,0,8,9,20,10,10,19,0,0,0,0,0,0,3,7,10,37,7,50,56,55,112,171,239,412
19499,62,134,73,203,227,132,366,266,154,413,21,14,37,29,11,42,37,24,61,8,11,25,25,7,30,26,17,46,12,6,23,15,12,29,28,11,38,14,5,18,23,9,33,22,16,32,18,12,31,6,3,9,11,11,24,77,48,125,95,46,144,121,78,199,34,46,76,51,51,97,43,38,83,27,35,66,50,71,122,32,48,78,5924,4248,10175,7593,5327,12917,7351,4939,12288
