GCCSA_CODE_2016,C11_850_949_Oth_lan_typ,C11_850_949_LLT_NS,C11_850_949_Tot,C11_950_over_REA,C11_950_over_ST_HA,C11_950over_Pe_no_sa_ho,C11_950ov_H_co_op_c_ch_gr,C11_950over_Oth_lan_typ,C11_950over_LLT_NS,C11_950_over_Tot,C11_R_NS_REA,C11_R_NS_ST_HA,C11_R_NS_Pe_no_sa_ho,C11_R_NS_H_co_op_c_ch_gr,C11_R_NS_Oth_lan_typ,C11_R_NS_Land_typ_ns,C11_Rent_not_statd_Tot,C11_Tot_REA,C11_Tot_ST_HA,C11_T_Pe_no_sa_ho,C11_Tot_Ho_co_op_co_ch_gr,C11_Tot_Oth_lan_typ,C11_Tot_LLT_NS,C11_T_T,C16_0_74_REA,C16_0_74_ST_HA,C16_0_74_Per_no_sa_ho,C16_0_74_Ho_co_op_c_c_g,C16_0_74_Oth_land_typ,C16_0_74_LLT_NS,C16_0_74_Tot,C16_75_99_REA,C16_75_99_ST_HA,C16_75_99_Pe_no_sa_ho,C16_75_99_H_c_op_c_c_gr,C16_75_99_Oth_lan_typ,C16_75_99_Lan_type_ns,C16_75_99_Tot,C16_100_149_REA,C16_100_149_ST_HA,C16_100_149_Pe_no_sa_ho,C16_100_149_H_c_o_c_c_g,C16_100_149_Ot_lan_ty,C16_100_149_Lan_typ_ns,C16_100_149_Tot,C16_150_199_REA,C16_150_199_ST_HA,C16_150_199_Pe_no_sa_ho,C16_150_199_H_c_o_c_c_g,C16_150_199_Ot_lan_ty,C16_150_199_Lan_ty_ns,C16_150_199_Tot,C16_200_224_REA,C16_200_224_ST_HA,C16_200_224_Pe_no_sa_ho,C16_200_224_H_c_o_c_c_g,C16_200_224_Ot_lan_ty,C16_200_224_Lan_ty_ns,C16_200_224_Tot,C16_225_274_REA,C16_225_274_ST_HA,C16_225_274_Pe_no_sa_ho,C16_225_274_H_c_o_c_c_g,C16_225_274_Ot_la_typ,C16_225_274_Lan_ty_ns,C16_225_274_Tot,C16_275_349_REA,C16_275_349_ST_HA,C16_275_349_Pe_no_sa_ho,C16_275_349_H_c_o_c_c_g,C16_275_349_Ot_lan_ty,C16_275_349_Lan_ty_ns,C16_275_349_Tot,C16_350_449_REA,C16_350_449_ST_HA,C16_350_449_Pe_no_sa_ho,C16_350_449_H_c_o_c_c_g,C16_350_449_Ot_lan_ty,C16_350_449_Lan_ty_ns,C16_350_449_Tot,C16_450_549_REA,C16_450_549_ST_HA,C16_450_549_Pe_no_sa_ho,C16_450_549_H_c_o_c_c_g,C16_450_549_Oth_lan_typ,C16_450_549_Lan_ty_ns,C16_450_549_Tot,C16_550_649_REA,C16_550_649_ST_HA,C16_550_649_Pe_no_sa_ho,C16_550_649_H_c_o_c_c_g,C16_550_649_Ot_lan_ty,C16_550_649_Lan_ty_ns,C16_550_649_Tot,C16_650_749_REA,C16_650_749_ST_HA,C16_650_749_Pe_no_sa_ho,C16_650_749_H_co_op_c_ch_gr,C16_650_749_Oth_lan_typ,C16_650_749_LLT_NS,C16_650_749_Tot,C16_750_849_REA,C16_750_849_ST_HA,C16_750_849_Pe_no_sa_ho,C16_750_849_H_co_op_c_ch_gr,C16_750_849_Oth_lan_typ,C16_750_849_LLT_NS,C16_750_849_Tot,C16_850_950_REA,C16_850_949_ST_HA,C16_850_949_Pe_no_sa_ho,C16_850_949_H_co_op_c_ch_gr,C16_850_949_Oth_lan_typ,C16_850_949_LLT_NS,C16_850_949_Tot,C16_950_over_REA,C16_950_over_ST_HA,C16_950over_Pe_no_sa_ho,C16_950ov_H_co_op_c_ch_gr,C16_950over_Oth_lan_typ,C16_950over_LLT_NS,C16_950_over_Tot,C16_R_NS_REA,C16_R_NS_ST_HA,C16_R_NS_Pe_no_sa_ho,C16_R_NS_H_co_op_c_ch_gr,C16_R_NS_Oth_lan_typ,C16_R_NS_Land_typ_ns,C16_Rent_not_statd_Tot,C16_Tot_REA,C16_Tot_ST_HA,C16_T_Pe_no_sa_ho,C16_Tot_Ho_co_op_co_ch_gr,C16_Tot_Oth_lan_typ,C16_Tot_LLT_NS,C16_T_T
6RTAS,0,0,12,37,6,36,0,8,0,92,167,232,316,58,232,64,1064,10167,5495,9303,815,2090,1065,28943,53,346,806,79,522,644,2455,45,666,133,95,65,14,1023,516,1461,951,282,225,54,3484,1901,1193,1684,351,278,77,5480,1733,605,1612,132,196,33,4309,3549,217,2138,32,207,42,6196,2879,57,1445,27,148,24,4578,835,25,326,17,45,5,1254,121,14,62,4,5,0,211,15,4,29,0,5,0,59,9,4,14,0,10,0,29,6,0,6,0,3,0,20,3,0,4,0,0,3,13,9,10,24,0,7,0,52,171,264,308,59,231,55,1087,11847,4866,9554,1079,1943,953,30250
6GHOB,0,0,12,23,4,48,0,7,5,92,101,230,199,28,63,35,665,8418,4901,7694,675,838,467,23000,41,303,346,32,32,269,1017,8,673,49,40,15,12,796,144,1363,357,220,63,26,2170,702,985,729,244,90,33,2791,784,444,721,82,52,16,2101,2131,322,1530,56,156,25,4221,3457,137,2140,48,197,16,5994,2309,44,1113,29,76,6,3569,673,12,277,11,10,4,987,205,4,79,0,9,0,303,58,0,35,0,3,0,97,27,3,13,0,5,0,45,4,0,0,0,0,0,13,20,12,18,0,3,0,54,141,212,194,52,45,35,674,10700,4509,7595,811,757,447,24820
69799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5RWAU,50,0,160,865,5,326,0,358,16,1569,694,764,776,143,1742,169,4287,18249,11207,14293,2370,14230,2664,63021,188,1486,1498,339,4782,1853,10150,36,864,145,192,473,24,1737,274,3187,1040,349,1690,52,6584,911,2228,1406,391,1257,79,6275,992,897,1397,86,796,37,4212,2498,1010,2055,106,946,41,6657,5677,637,3055,93,829,51,10341,6243,222,2359,43,477,55,9385,1900,64,551,15,204,14,2744,665,27,189,5,85,3,973,346,16,100,8,82,6,561,217,7,61,4,56,0,352,97,0,42,0,40,0,185,237,8,165,0,153,11,580,606,873,716,109,1519,96,3919,20883,11532,14798,1738,13392,2318,64653
5GPER,22,8,755,1347,9,582,0,105,20,2072,1292,1368,1879,276,549,379,5747,86610,21029,55893,2841,6298,3280,175957,239,1119,3243,173,301,1791,6866,41,1343,183,198,57,30,1848,299,7873,1408,496,252,96,10423,736,3869,2156,943,377,79,8160,1104,1476,2103,226,232,42,5180,4670,1343,3713,182,805,69,10788,19692,1102,10128,193,1073,154,32345,41297,479,17261,161,1557,227,60987,19192,82,7146,43,526,88,27077,6635,29,2206,17,133,13,9037,2790,22,897,6,51,15,3785,1498,13,468,3,34,12,2026,792,13,215,3,21,9,1053,1347,12,523,4,66,5,1958,1366,1096,1857,259,483,254,5318,101707,19864,53497,2906,5976,2883,186840
59799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4RSAU,8,0,27,48,3,90,0,28,3,177,250,578,516,118,540,92,2093,13548,8630,10778,1472,4643,1598,40675,74,616,1269,151,977,1092,4182,67,1562,241,221,133,42,2273,966,2364,1520,320,744,70,5989,3117,1664,2370,311,759,90,8315,2140,515,1746,82,309,36,4842,4539,293,1796,66,256,51,7000,3332,91,1151,31,133,19,4760,900,27,273,7,53,14,1273,102,14,59,0,27,0,206,32,3,24,3,34,0,99,12,3,16,0,34,0,70,7,3,18,0,22,0,50,0,4,0,0,15,0,27,15,13,60,3,36,0,136,255,473,544,136,507,93,2016,15563,7653,11095,1342,4056,1518,41230
4GADE,6,0,138,266,12,180,3,41,14,523,766,1856,1314,488,326,306,5047,54368,29601,38591,5443,4786,2530,135313,175,1671,1993,264,197,1120,5423,59,4850,168,534,71,78,5769,464,8147,1465,981,280,116,11463,1624,4381,2590,1585,344,87,10611,2413,1658,2799,548,324,54,7798,11177,2103,6636,593,1121,124,21751,25413,1494,11373,379,1111,165,39937,18455,398,6750,112,444,81,26235,4802,44,1639,42,103,25,6657,1462,30,506,15,70,15,2097,607,21,208,13,28,6,874,271,21,111,4,25,0,434,141,17,57,3,12,3,227,190,63,111,0,26,8,398,1012,1407,1247,452,307,214,4648,68262,26297,37655,5529,4457,2106,144309
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3RQLD,53,3,476,1099,14,630,8,274,21,2036,2690,1742,2881,390,2831,707,11252,146580,27079,68304,5991,26075,8282,282311,524,2364,4598,391,6396,4472,18737,173,2606,438,309,941,54,4526,1633,9181,3371,878,1718,178,16956,7650,5922,5878,1205,1812,263,22734,9215,1792,6258,450,1210,177,19108,23859,1935,9641,479,2740,272,38929,46274,1346,13814,322,2159,363,64283,51091,428,12681,282,1462,312,66258,20153,63,4202,56,488,102,25060,6294,31,1430,15,234,21,8025,2491,25,602,16,167,11,3312,1042,10,277,4,116,4,1457,503,7,139,3,67,3,719,786,14,456,0,201,18,1472,2626,1504,2605,336,2240,490,9798,174316,27239,66396,4746,21947,6735,301382
3GBRI,11,3,626,1104,12,441,3,97,24,1677,2187,1737,2006,292,633,498,7352,145952,27227,54751,3849,9331,3896,244992,327,1386,2662,162,429,1726,6699,79,2109,157,130,63,19,2557,617,8692,1440,445,411,109,11717,1852,5140,2496,916,904,128,11432,2383,1928,2675,323,625,87,8029,11377,2409,5033,564,2428,138,21947,41761,1978,11143,570,1668,320,57443,74101,639,14012,433,1270,349,90795,29065,103,5468,104,408,94,35243,10086,33,2037,36,166,30,12387,3947,19,852,12,67,16,4911,1772,18,429,6,44,8,2282,849,10,216,4,13,0,1101,1248,8,410,6,46,7,1732,2522,1493,1871,382,536,373,7172,181992,25976,50897,4081,9076,3406,275441
39799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2RVIC,14,0,86,309,8,341,4,86,12,759,1179,1169,1691,239,1067,334,5677,63034,18131,32561,3198,8194,4442,129555,201,1013,3525,231,1529,2785,9293,197,1056,564,254,253,41,2358,2686,6772,3456,674,897,217,14697,9143,3319,5673,820,924,210,20094,7866,1460,4565,436,581,109,15014,18810,1030,5585,302,896,141,26760,21841,365,4415,118,614,118,27464,10557,113,1897,70,268,64,12962,1653,30,476,13,88,21,2282,395,16,142,3,49,7,617,138,8,93,0,38,3,278,63,4,65,0,23,0,161,35,12,48,5,14,0,108,206,4,284,3,73,12,575,1212,965,1588,260,911,233,5166,74998,16152,32363,3185,7173,3948,137824
2GMEL,36,9,1726,3882,15,1008,8,143,45,5105,5205,2617,4335,547,980,827,14508,258151,37155,77770,5855,9706,7417,396051,954,1831,7344,415,587,4166,15295,252,1674,445,370,115,43,2901,1235,14123,2831,892,554,194,19827,3513,5781,4666,1554,839,154,16505,5257,2892,4051,719,652,113,13689,23643,2760,8187,923,1452,228,37194,92379,2824,18544,722,2384,467,117321,111564,1371,15184,309,1369,373,130165,47623,263,7259,141,496,155,55930,22032,100,3463,49,252,65,25961,9978,57,1677,27,117,28,11888,4933,31,1019,24,74,21,6104,2565,20,515,3,49,10,3158,5828,15,1294,8,150,45,7334,6491,2353,4747,666,925,688,15873,338241,36088,81232,6824,10028,6747,479163
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1RNSW,24,3,248,719,15,509,0,170,34,1447,2191,2370,2818,703,1927,509,10527,133091,40052,63028,7435,17542,8248,269394,413,1835,5765,641,3262,4971,16897,271,1622,653,664,455,69,3728,3221,13182,4629,1425,1532,337,24326,11841,8116,7401,2044,1877,381,31655,9829,3329,6669,641,1072,197,21743,22498,3123,8707,538,2186,251,37298,39699,2775,11599,396,1526,298,56294,40671,983,9166,197,906,180,52106,13217,123,2730,41,300,52,16462,3903,24,888,9,140,15,4985,1242,30,429,7,107,6,1825,492,19,193,4,71,5,792,225,6,89,8,51,7,385,463,16,377,0,187,21,1068,2232,2090,2823,615,1706,426,9891,150224,37283,62127,7240,15381,7210,279461
1GSYD,54,25,5467,8000,28,2296,13,174,76,10591,5267,4582,4385,939,1144,996,17312,303598,69505,84303,10034,12194,7812,487441,945,3662,6988,591,797,4234,17211,117,3134,219,556,99,45,4161,688,24518,1455,1250,510,217,28639,1896,11834,2744,2275,748,183,19679,2507,5610,3054,863,478,104,12608,7191,4781,4425,999,1993,131,19517,30770,5089,9388,1138,1572,281,48225,97975,4018,17166,1036,2219,478,122896,89560,1123,13545,371,1383,333,106316,58842,361,8420,141,676,171,68601,34041,174,5119,99,357,113,39901,17641,70,3188,58,198,53,21207,9943,39,1855,29,101,28,11994,17030,32,3899,17,274,48,21290,6224,3835,4761,1064,1134,812,17825,375355,68273,86210,10473,12528,7235,560063
