GCCSA_CODE_2016,C16_650_799_1PF_1C,C16_650_799_1PF_2C,C16_650_799_1PF_3C,C16_650_799_1PF_4mC,C16_650_799_1PF_T,C16_800_999_1PF_1C,C16_800_999_1PF_2C,C16_800_999_1PF_3C,C16_800_999_1PF_4mC,C16_800_999_1PF_T,C16_1000_1499_1PF_1C,C16_1000_1499_1PF_2C,C16_1000_1499_1PF_3C,C16_1000_1499_1PF_4mC,C16_1000_1499_1PF_T,C16_1500_1999_1PF_1C,C16_1500_1999_1PF_2C,C16_1500_1999_1PF_3C,C16_1500_1999_1PF_4mC,C16_1500_1999_1PF_T,C16_2000_2499_1PF_1C,C16_2000_2499_1PF_2C,C16_2000_2499_1PF_3C,C16_2000_2499_1PF_4mC,C16_2000_2499_1PF_T,C16_2500_2999_1PF_1C,C16_2500_2999_1PF_2C,C16_2500_2999_1PF_3C,C16_2500_2999_1PF_4mC,C16_2500_2999_1PF_T,C16_3000_3999_1PF_1C,C16_3000_3999_1PF_2C,C16_3000_3999_1PF_3C,C16_3000_3999_1PF_4mC,C16_3000_3999_1PF_T,C16_4000m_1PF_1C,C16_4000m_1PF_2C,C16_4000m_1PF_3C,C16_4000m_1PF_4mo_ch,C16_4000m_1PF_T,C16_Par_inc_st_1PF_1C,C16_Par_inc_st_1PF_2C,C16_Par_inc_st_1PF_3C,C16_Par_inc_st_1PF_4mC,C16_Par_inc_st_1PF_T,C16_All_inc_ns_1PF_1Ch,C16_All_inc_ns_1PF_2C,C16_All_inc_ns_1PF_3C,C16_All_inc_ns_1PF_4mC,C16_All_inc_ns_1PF_T,C16_Tot_1PF_1C,C16_Tot_1PF_2C,C16_Tot_1PF_3C,C16_Tot_1PF_4mC,C16_Tot_1PF_T
6RTAS,882,476,229,76,1666,905,365,123,74,1468,1335,578,193,92,2205,560,299,83,28,965,259,144,34,15,453,94,35,14,0,145,53,35,8,3,102,42,12,3,0,57,548,382,168,83,1182,187,79,27,16,312,7092,3645,1300,503,12544
6GHOB,663,350,149,74,1235,739,343,145,61,1289,1330,606,169,67,2172,644,349,80,32,1106,335,187,60,13,598,112,62,10,0,185,81,48,16,13,158,41,18,7,3,63,439,357,137,54,987,109,54,20,15,200,6046,3284,1104,443,10877
69799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5RWAU,1075,610,305,139,2136,1023,479,187,133,1818,1754,845,278,168,3045,940,466,149,70,1618,616,306,99,26,1049,219,91,19,12,339,221,128,21,18,388,125,60,15,8,212,784,550,295,188,1811,305,159,81,55,596,10066,5515,2111,1098,18789
5GPER,3595,1957,783,337,6668,4073,1987,663,333,7053,8366,4058,1183,426,14029,5113,2573,637,192,8520,3435,1804,420,130,5798,1443,762,204,59,2462,1099,882,255,69,2304,624,420,156,30,1230,3219,2365,944,393,6914,743,311,131,79,1264,41649,22821,7282,2800,74556
59799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4RSAU,955,541,290,118,1902,1029,442,172,99,1747,1499,646,225,98,2464,671,334,92,34,1137,292,120,54,13,484,92,47,18,11,156,61,51,18,3,132,40,17,3,4,71,590,457,200,101,1348,276,107,48,34,464,8141,4234,1624,709,14707
4GADE,3556,1855,770,271,6456,4047,1684,587,274,6594,7186,3239,891,301,11620,3772,1982,492,143,6387,1965,1135,268,64,3427,681,468,121,39,1307,451,392,109,39,988,281,148,71,13,509,2424,1883,727,289,5329,646,277,100,63,1085,33458,17507,5460,1996,58427
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3RQLD,6530,3529,1784,851,12695,7312,3232,1280,692,12528,12403,5624,1768,901,20710,5881,2980,865,338,10064,3074,1562,449,159,5244,1051,572,148,62,1836,761,561,188,65,1574,433,204,85,20,737,3893,2789,1187,684,8555,1323,612,248,138,2317,58423,30467,10980,5107,104978
3GBRI,4997,2731,1361,630,9710,6019,2774,992,654,10436,11837,5595,1711,802,19945,6645,3534,965,335,11479,3918,2168,556,198,6842,1591,834,252,85,2767,998,931,284,85,2293,594,384,126,57,1166,3345,2640,1058,578,7627,951,447,178,106,1686,53011,29012,9803,4499,96326
39799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2RVIC,3995,2039,959,420,7419,4273,1774,725,372,7155,6601,3029,1036,383,11051,2985,1482,434,173,5067,1418,747,225,68,2452,475,273,82,36,865,298,265,100,33,692,250,77,45,21,390,2561,1873,820,416,5675,977,392,148,80,1594,33460,17291,6412,2671,59832
2GMEL,9052,4395,1640,628,15717,10907,4589,1513,679,17691,20699,9448,2550,931,33632,11897,6272,1652,533,20355,7151,4135,1040,303,12636,2768,1857,556,131,5311,2142,2091,585,196,5021,1280,946,333,95,2650,7426,5992,2313,972,16698,2217,976,328,235,3760,98742,53468,16349,6200,174769
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1RNSW,7904,3922,1958,843,14631,8799,3419,1316,814,14348,13762,6054,1969,876,22654,6423,3381,980,355,11133,3370,1790,484,183,5833,1182,670,184,63,2103,771,604,198,70,1637,514,234,88,24,860,5141,3579,1552,838,11107,1900,843,309,194,3244,68016,34480,12684,5675,120862
1GSYD,9161,4210,1919,830,16121,11002,4285,1557,767,17620,22048,9551,2872,1147,35615,13967,6733,1822,649,23165,9192,5081,1293,420,15985,4138,2456,665,209,7470,3428,3089,925,304,7750,2047,1546,505,215,4310,7561,5954,2361,1063,16939,2185,962,333,198,3677,108019,56219,18395,7416,190048
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
