GCCSA_CODE_2016,C11_F_NatPhy_sci_15_19,C11_F_NatPhy_sci_20_24,C11_F_NatPhy_sci_25_34,C11_F_NatPhy_sci_35_44,C11_F_NatPhy_sci_45_54,C11_F_NatPhy_sci_55_64,C11_F_NatPhy_sci_65_74,C11_F_NatPhy_sci_75_84,C11_F_NatPhy_sci_85o,C11_F_NatPhy_sci_T,C11_F_InfTec_15_19,C11_F_InfTec_20_24,C11_F_InfTec_25_34,C11_F_InfTec_35_44,C11_F_InfTec_45_54,C11_F_InfTec_55_64,C11_F_InfTec_65_74,C11_F_InfTec_75_84,C11_F_InfTec_85_ov,C11_F_InfTec_Tot,C11_F_EngRT_15_19,C11_F_EngRT_20_24,C11_F_EngRT_25_34,C11_F_EngRT_35_44,C11_F_EngRT_45_54,C11_F_EngRT_55_64,C11_F_EngRT_65_74,C11_F_EngRT_75_84,C11_F_EngRT_85_ov,C11_F_EngRT_Tot,C11_F_ArchBuild_15_19,C11_F_ArchBuild_20_24,C11_F_ArchBuild_25_34,C11_F_ArchBuild_35_44,C11_F_ArchBuild_45_54,C11_F_ArchBuild_55_64,C11_F_ArchBuild_65_74,C11_F_ArchBuild_75_84,C11_F_ArchBuild_85o,C11_F_Arch_building_Tot,C11_F_AgEnv_RS_15_19,C11_F_AgEnv_RS_20_24,C11_F_AgEnv_RS_25_34,C11_F_AgEnv_RS_35_44,C11_F_AgEnv_RS_45_54,C11_F_AgEnv_RS_55_64,C11_F_AgEnv_RS_65_74,C11_F_AgEnv_RS_75_84,C11_F_Agr_env_re_st_85o,C11_F_AgEnv_RS_Tot,C11_F_Health_15_19,C11_F_Health_20_24,C11_F_Health_25_34,C11_F_Health_35_44,C11_F_Health_45_54,C11_F_Health_55_64,C11_F_Health_65_74,C11_F_Health_75_84,C11_F_Health_85o,C11_F_Healt_To,C11_F_Educ_15_19,C11_F_Educ_20_24,C11_F_Educ_25_34,C11_F_Educ_35_44,C11_F_Educ_45_54,C11_F_Educ_55_64,C11_F_Educ_65_74,C11_F_Educ_75_84,C11_F_Educ_85o,C11_F_Educ_Tot,C11_F_MngtCom_15_19,C11_F_MngtCom_20_24,C11_F_MngtCom_25_34,C11_F_MngtCom_35_44,C11_F_MngtCom_45_54,C11_F_MngtCom_55_64,C11_F_MngtCom_65_74,C11_F_MngtCom_75_84,C11_F_MngtCom_85o,C11_F_MngtCom_Tot,C11_F_Soc_cult_15_19,C11_F_Soc_cult_20_24,C11_F_Soc_cult_25_34,C11_F_Soc_cult_35_44,C11_F_Soc_cult_45_54,C11_F_Soc_cult_55_64,C11_F_Soc_cult_65_74,C11_F_Soc_cult_75_84,C11_F_Soc_cult_85o,C11_F_Society_cultur_Tot,C11_F_Creative_art_15_19,C11_F_Creative_art_20_24,C11_F_Creative_art_25_34,C11_F_Creative_art_35_44,C11_F_Creative_art_45_54,C11_F_Creative_art_55_64,C11_F_Creative_art_65_74,C11_F_Creative_art_75_84,C11_F_Create_arts_85ov,C11_F_Creative_arts_Tot,C11_F_FoodHos_PS_15_19,C11_F_FoodHos_PS_20_24,C11_F_FoodHos_PS_25_34,C11_F_FoodHos_PS_35_44,C11_F_FoodHos_PS_45_54,C11_F_FoodHos_PS_55_64,C11_F_FoodHos_PS_65_74,C11_F_FoodHos_PS_75_84,C11_F_FoodHos_PS_85o,C11_F_Foo_hos_pers_S_Tot,C11_F_MixFld_pr_15_19,C11_F_MixFld_pr_20_24,C11_F_MixFld_pr_25_34,C11_F_MixFld_pr_35_44,C11_F_MixFld_pr_45_54,C11_F_MixFld_pr_55_64,C11_F_MixFld_pr_65_74,C11_F_MixFld_pr_75_84,C11_F_MixFld_pr_85_ov,C11_F_MixFld_pr_Tot,C11_F_FldStu_ID_15_19,C11_F_FldStu_ID_20_24,C11_F_FldStu_ID_25_34,C11_F_FldStu_ID_35_44,C11_F_FldStu_ID_45_54,C11_F_FldStu_ID_55_64,C11_F_FldStu_ID_65_74,C11_F_FldStu_ID_75_84,C11_F_FldStu_ID_85o,C11_F_FldStu_ID_Tot,C11_F_FldStu_NS_15_19,C11_F_FldStu_NS_20_24,C11_F_FldStu_NS_25_34,C11_F_FldStu_NS_35_44,C11_F_FldStu_NS_45_54,C11_F_FldStu_NS_55_64,C11_F_FldStu_NS_65_74,C11_F_FldStu_NS_75_84,C11_F_FldStu_NS_85o,C11_F_FldStu_NS_T,C11_F_Tot_15_19,C11_F_Tot_20_24,C11_F_Tot_25_34,C11_F_Tot_35_44,C11_F_Tot_45_54,C11_F_Tot_55_64,C11_F_Tot_65_74,C11_F_Tot_75_84,C11_F_Tot_85o,C11_F_T_T,C16_F_NatPhy_sci_15_19,C16_F_NatPhy_sci_20_24,C16_F_NatPhy_sci_25_34,C16_F_NatPhy_sci_35_44,C16_F_NatPhy_sci_45_54,C16_F_NatPhy_sci_55_64,C16_F_NatPhy_sci_65_74,C16_F_NatPhy_sci_75_84,C16_F_NatPhy_sci_85_ov,C16_F_NatPhy_sci_Tot,C16_F_InfTec_15_19,C16_F_InfTec_20_24,C16_F_InfTec_25_34,C16_F_InfTec_35_44,C16_F_InfTec_45_54,C16_F_InfTec_55_64,C16_F_InfTec_65_74,C16_F_InfTec_75_84,C16_F_InfTec_85_o,C16_F_InfTec_T,C16_F_EngRT_15_19,C16_F_EngRT_20_24,C16_F_EngRT_25_34,C16_F_EngRT_35_44,C16_F_EngRT_45_54,C16_F_EngRT_55_64,C16_F_EngRT_65_74,C16_F_EngRT_75_84,C16_F_EngRT_85_o,C16_F_EngRT_T,C16_F_ArchBuild_15_19,C16_F_ArchBuild_20_24,C16_F_ArchBuild_25_34,C16_F_ArchBuild_35_44,C16_F_ArchBuild_45_54,C16_F_ArchBuild_55_64,C16_F_ArchBuild_65_74,C16_F_ArchBuild_75_84,C16_F_ArchBuild_85o,C16_F_ArchBuild_T,C16_F_AgEnv_RS_15_19,C16_F_AgEnv_RS_20_24,C16_F_AgEnv_RS_25_34,C16_F_AgEnv_RS_35_44,C16_F_AgEnv_RS_45_54,C16_F_AgEnv_RS_55_64,C16_F_AgEnv_RS_65_74,C16_F_AgEnv_RS_75_84,C16_F_AgEnv_RE_85o,C16_F_AgEnv_RS_T
6RTAS,3,53,216,219,186,138,51,22,3,889,11,18,92,100,101,60,17,7,0,412,19,55,179,243,232,158,109,57,26,1075,3,42,82,81,65,28,18,0,0,318,23,76,259,289,237,90,26,13,3,1026,25,355,1103,1431,2038,1890,964,376,153,8334,8,152,1011,1198,1461,1517,1012,380,109,6848,216,873,2309,2170,2055,1366,496,207,72,9758,193,524,1480,1940,1898,1409,387,103,19,7951,25,102,338,352,350,296,153,56,18,1689,239,681,1106,1017,602,464,197,62,15,4390,7,4,7,4,11,11,12,3,5,70,5,17,87,113,99,97,42,11,0,482,805,367,749,1061,1176,1391,1710,1705,878,9854,1580,3325,9026,10220,10514,8919,5204,3005,1299,53079,4,30,194,251,200,172,101,23,5,987,3,14,63,88,82,86,35,7,0,371,16,48,126,221,227,180,149,85,33,1098,5,60,86,65,84,63,27,3,4,396,32,104,258,303,246,148,59,19,3,1175
6GHOB,0,115,406,437,272,174,53,27,8,1499,3,28,144,106,83,48,15,3,0,425,10,35,180,194,181,118,83,83,20,895,4,26,83,94,52,28,10,3,0,301,13,44,158,179,122,57,19,10,5,604,15,393,1186,1353,1731,1414,695,360,133,7273,5,103,711,929,1332,1382,689,343,131,5624,213,911,2372,1967,1629,1047,439,236,94,8920,98,645,1759,1798,1727,1227,420,134,44,7852,25,167,428,410,309,223,130,67,29,1788,150,500,759,672,448,290,150,54,16,3044,0,11,7,3,4,3,8,9,3,55,4,56,118,133,126,96,43,13,14,599,607,426,722,799,905,991,1068,1142,699,7346,1150,3454,9029,9071,8938,7111,3804,2481,1203,46233,3,136,500,508,361,218,118,44,17,1902,3,46,101,135,92,59,44,5,0,491,7,60,187,220,178,134,98,71,47,992,3,21,105,109,66,49,11,0,4,375,8,42,144,185,183,117,36,12,4,732
69799,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,5,3,3,3,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69499,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,0,0,13,4,6,9,7,0,0,46,0,0,3,3,3,5,3,0,0,16,0,3,10,8,3,3,0,0,0,30,0,4,5,6,13,9,0,0,0,41,0,0,3,3,0,0,0,0,0,9,0,0,5,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,9,5,3,9,10,3,0,52,9,19,55,33,31,48,15,6,0,225,0,0,7,0,0,3,3,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
5RWAU,12,125,585,547,342,153,51,20,5,1834,21,45,173,158,142,66,16,3,0,636,43,170,516,437,288,131,131,104,41,1868,16,58,171,162,91,51,16,3,0,565,106,228,851,721,429,181,62,15,0,2605,97,602,2395,2833,3296,2681,1414,515,128,13967,61,520,2558,3226,2988,2319,974,305,119,13070,641,1596,4242,3926,2976,1901,705,254,72,16319,267,803,2446,2479,2293,1641,499,105,18,10557,65,214,621,619,460,312,152,61,19,2513,311,949,1847,1719,940,607,254,68,18,6728,19,16,28,20,22,20,17,7,3,146,10,36,152,181,139,93,61,8,3,685,1715,1376,3122,3317,3036,2439,1936,1825,877,19641,3384,6733,19717,20353,17429,12612,6286,3298,1303,91119,9,127,621,706,420,261,89,18,3,2259,16,42,168,202,136,103,43,6,0,726,38,186,655,530,335,219,127,95,53,2243,11,50,209,176,151,72,33,4,0,716,94,226,746,799,559,313,96,32,4,2875
5GPER,45,1330,4129,3217,2167,1108,394,160,50,12606,79,283,1547,1261,950,371,74,13,0,4572,113,702,2695,2126,1479,877,595,534,217,9337,43,504,1219,918,591,271,79,25,6,3666,125,460,1537,1082,658,320,76,30,6,4302,321,4004,12198,12008,12572,8742,4532,2137,647,57170,331,1966,8079,10590,11230,8763,3971,1489,519,46934,1538,7937,23016,20378,14776,9012,4354,1877,635,83524,985,4718,13584,12285,10317,7203,2587,863,193,52748,404,2248,4838,3153,1885,1249,675,309,105,14867,1157,4002,6848,6175,3872,2578,1132,432,131,26327,86,96,85,69,84,93,66,33,31,638,31,248,822,873,702,457,236,107,44,3516,5018,4388,8649,8373,7576,7355,6756,7707,5233,61050,10278,32878,89254,82507,68871,48407,25530,15712,7816,381260,59,1953,5097,4232,2835,1657,705,202,79,16818,80,339,1954,1740,1109,573,181,38,0,6010,120,934,3729,3066,1922,1169,671,621,277,12515,47,574,1801,1228,825,428,138,36,12,5095,81,463,1572,1476,924,456,182,62,16,5244
59799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,7,0,4,10,3,5,0,4,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59499,0,6,20,11,6,6,0,0,0,51,0,0,0,0,0,3,0,0,0,9,0,3,14,10,3,0,3,0,0,30,0,3,6,0,0,0,0,0,0,14,0,0,16,7,3,0,0,0,0,29,0,17,64,42,39,75,18,0,0,263,0,3,38,26,23,48,17,0,0,150,4,21,101,44,50,50,21,3,0,297,0,31,69,34,27,26,11,0,0,199,0,22,34,7,6,7,3,0,0,84,4,16,30,17,23,15,5,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,7,4,8,0,0,0,0,17,23,40,97,100,65,68,23,12,4,427,39,169,489,297,247,309,96,17,4,1666,0,4,21,0,5,0,0,0,0,33,0,0,3,3,0,5,0,0,0,7,0,3,14,5,8,4,3,0,0,42,0,0,9,3,0,0,0,0,0,16,0,3,13,6,3,3,0,0,0,27
4RSAU,0,43,232,224,171,118,57,18,6,870,5,25,91,81,84,62,18,0,0,373,19,74,218,266,204,125,148,99,42,1195,3,19,64,71,55,36,10,3,0,269,36,154,507,457,299,133,49,8,0,1658,44,438,1462,2105,3167,2505,1177,524,155,11585,4,330,1467,1416,1423,1923,1023,306,125,8016,307,937,2939,2761,2131,1233,564,208,65,11154,197,651,1717,2082,2192,1543,513,116,18,9028,13,99,309,285,168,157,107,36,25,1198,248,643,1303,1147,714,563,243,100,15,4980,6,11,32,29,28,20,7,8,10,153,4,9,86,123,111,88,40,13,12,481,1058,525,1093,1390,1584,1776,2035,2286,1244,12985,1948,3969,11514,12444,12339,10284,5996,3727,1724,63949,3,51,239,245,202,148,101,24,8,1024,12,24,58,90,68,62,34,11,0,360,26,77,244,270,254,169,164,113,65,1383,3,20,68,73,56,37,22,4,0,290,52,165,444,516,402,223,103,14,6,1920
4GADE,15,690,2313,1817,1303,860,310,120,47,7469,43,178,1089,840,549,274,59,4,0,3029,41,314,1292,1236,879,594,535,530,227,5641,15,302,688,640,378,216,69,29,15,2344,64,325,810,672,491,215,60,26,8,2674,206,2767,9412,9582,10556,7556,3327,1706,626,45730,23,818,4405,5034,6008,6855,3196,1161,498,27996,926,5326,15405,12931,9452,5570,2191,997,410,53205,563,3481,10333,9573,8530,6168,2122,628,169,41567,107,1182,2976,2110,1420,824,445,211,81,9355,831,2513,4654,3993,2640,1788,870,367,110,17759,40,83,62,84,87,75,49,35,10,524,23,197,723,761,601,424,216,121,32,3097,3168,2407,4250,4476,4811,4835,5227,6537,5225,40946,6059,20578,58395,53754,47701,36256,18663,12472,7460,261335,20,834,2524,2339,1621,1119,542,186,71,9261,33,137,1182,1077,687,386,118,20,3,3638,46,435,1565,1369,1149,780,637,520,298,6799,33,383,1022,699,526,292,138,41,13,3152,78,287,861,737,569,332,127,45,3,3041
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49499,0,0,8,7,0,0,0,0,0,13,0,0,5,3,0,0,0,0,0,12,0,0,9,0,0,0,0,0,0,12,0,0,3,0,0,0,0,0,0,7,0,3,9,0,3,0,0,0,0,13,0,3,20,8,14,20,3,0,0,67,0,0,12,9,8,11,3,0,0,48,3,20,29,17,14,10,4,0,0,100,4,8,31,20,24,9,0,0,0,95,0,4,12,11,4,3,0,0,0,27,0,3,17,8,5,3,3,0,0,43,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,10,14,29,25,37,23,26,32,39,230,23,64,178,99,105,84,41,37,39,674,0,3,6,3,3,0,0,0,0,17,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,5,0,0,0,10
3RQLD,35,692,2153,1898,1470,890,407,125,37,7701,208,204,826,934,722,401,112,21,5,3433,132,543,1614,1692,1448,969,765,523,179,7876,46,264,763,789,527,301,113,29,4,2838,299,678,2118,1616,1115,456,137,52,6,6489,451,3700,11711,14046,16369,11825,6091,2508,745,67444,123,1911,10365,12843,12689,10329,5072,1636,451,55417,3045,8944,23003,21453,17034,10628,4419,1591,455,90573,1567,4715,13598,13760,12209,8344,2782,640,136,57749,380,1584,3657,3088,2044,1329,772,350,94,13295,2149,4996,9499,9059,5632,3701,1654,516,138,37352,107,83,116,90,95,88,80,48,20,729,77,211,746,1054,904,587,268,125,41,4017,7377,5458,10555,11550,11607,10752,11091,10940,7135,86473,16008,33990,90726,93880,83866,60587,33776,19097,9455,441393,69,842,2351,2365,1871,1298,671,216,56,9738,120,264,764,1020,747,513,245,38,0,3722,195,653,2105,1943,1732,1278,918,627,264,9712,59,279,1063,914,782,411,222,77,20,3830,295,738,1942,2033,1360,824,304,91,21,7606
3GBRI,75,1355,4006,3091,2013,1198,467,176,45,12424,313,391,2123,1848,1096,473,92,6,5,6343,105,671,2616,2310,1731,1005,644,492,176,9744,49,508,1560,1179,624,291,86,33,13,4341,140,360,1503,1189,727,319,89,25,11,4373,360,4278,14504,14946,14664,9819,4824,2186,730,66310,97,1782,9609,11976,11642,9940,4304,1513,506,51369,2588,11037,30609,25966,18007,9915,3436,1353,497,103419,1390,6122,18776,16049,12159,8282,2669,727,156,66322,560,3031,6216,4296,2345,1287,641,368,120,18851,1536,4510,7993,6664,3936,2540,1034,416,127,28756,116,149,97,91,92,96,64,37,26,774,53,311,1264,1274,1055,610,293,105,39,5009,5951,4893,9167,9043,8252,7577,7048,7712,5901,65543,13331,39409,110039,99914,78345,53349,25680,15147,8356,443580,93,1553,4535,3904,2696,1636,815,234,76,15550,196,564,2247,2376,1429,704,225,29,4,7773,128,849,3318,2806,2125,1352,801,597,271,12242,77,589,1958,1399,919,421,172,38,11,5588,117,481,1335,1402,909,503,173,39,14,4984
39799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,0,0,0,10,0,0,4,0,3,0,0,0,0,10,0,0,7,0,3,0,0,3,0,10,0,3,0,0,8,3,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4,3,10,10,3,3,35,3,10,14,7,23,13,12,9,4,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39499,0,16,25,16,5,13,3,0,0,74,0,0,8,12,5,5,4,0,0,36,0,9,22,10,7,10,8,0,0,60,0,0,9,4,5,0,0,0,0,23,3,10,12,8,8,3,0,0,0,45,0,22,78,43,73,104,38,9,5,373,0,19,44,35,38,70,27,3,0,228,12,52,118,66,87,86,29,3,0,455,11,50,94,52,52,68,13,0,0,339,0,26,44,13,8,14,3,3,0,116,12,35,39,18,25,35,16,0,0,185,0,4,3,0,0,0,0,0,0,11,0,3,6,4,3,0,0,0,0,15,57,76,110,98,89,126,58,23,10,653,94,317,616,383,411,545,201,44,14,2616,4,13,15,5,9,6,0,0,0,53,0,3,9,3,4,5,0,0,0,21,0,8,23,7,3,10,11,7,0,62,0,3,9,3,3,3,0,0,0,27,0,4,13,6,8,4,3,0,0,44
2RVIC,9,390,1272,1359,936,607,225,64,29,4885,19,99,469,514,501,311,75,3,3,1993,51,211,831,1050,845,525,451,426,143,4549,16,162,440,508,302,152,61,29,12,1682,158,539,1679,1585,1105,482,207,46,13,5811,206,2586,8108,9632,12006,9753,4959,2374,746,50364,45,1036,5458,6413,7560,8851,4655,1558,485,36065,829,3849,11054,10394,8304,5259,2189,937,401,43209,606,3163,7940,9157,9197,7129,2147,524,87,39953,130,796,1958,1847,1414,960,496,245,101,7943,1125,3221,5575,4682,3111,2311,1162,395,117,21693,32,45,49,41,34,27,26,20,8,282,22,135,559,741,589,437,179,83,37,2782,4269,2153,3935,5183,6036,6744,7943,9136,5538,50927,7518,18372,49321,53110,51938,43537,24780,15844,7713,272132,20,522,1287,1736,1096,910,381,108,55,6115,10,94,429,532,465,428,189,11,10,2174,73,251,896,1060,1027,769,602,461,226,5367,18,210,595,577,446,254,113,29,15,2259,175,577,1630,1807,1348,810,325,101,43,6802
2GMEL,69,3180,10437,8467,5373,2929,987,401,149,32001,66,921,7801,5698,3266,1209,228,32,10,19227,147,1350,6045,5377,3869,2369,1891,1534,563,23147,48,1149,3661,2793,1564,699,272,71,23,10289,150,759,2614,2108,1416,524,193,67,31,7862,368,8549,29578,27720,24872,17603,8873,4472,1468,123506,99,3151,18246,20393,22048,20926,10005,3557,1107,99539,2432,19307,64420,52766,33148,18171,7400,3641,1592,202870,1411,11591,37878,34612,26677,17599,6119,1935,518,138338,535,6435,16412,10456,5709,3139,1460,780,258,45174,2143,8504,16960,12938,8211,5230,2443,1037,306,57769,140,235,174,157,176,146,96,83,40,1249,91,1388,4431,4290,2906,1798,730,369,149,16156,11403,10110,19857,18747,17837,16690,16816,18089,13306,142865,19105,76650,238519,206528,157057,109032,57514,36060,19506,919972,137,4902,12042,10565,7125,4112,1823,626,225,41548,47,1194,9246,8133,4113,1982,557,71,18,25375,146,1821,8018,6514,4740,3091,2121,1896,808,29156,82,1472,5131,3388,2271,1066,415,123,48,13983,164,1004,2698,2534,1680,928,319,125,38,9496
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29499,0,3,29,13,4,0,0,0,0,54,0,4,15,9,0,0,0,0,0,25,0,3,17,11,0,0,0,0,0,32,0,3,12,5,0,0,0,0,0,24,3,0,10,3,0,3,0,0,0,22,0,14,69,38,31,34,9,0,0,201,0,5,29,21,15,20,10,0,0,100,7,50,129,65,40,29,6,6,0,324,3,31,110,59,36,33,4,3,0,271,3,27,82,20,6,6,0,0,0,148,9,32,36,20,18,10,0,0,0,128,0,0,0,0,0,0,0,0,0,6,0,8,10,3,0,3,0,0,0,24,64,91,143,105,89,45,28,14,5,584,92,276,684,359,246,184,56,24,10,1938,0,14,23,11,0,7,4,0,0,60,0,3,6,4,3,0,0,0,0,23,0,6,15,11,3,0,0,0,0,43,0,3,6,3,4,0,0,0,0,21,0,9,12,3,3,0,0,0,0,27
1RNSW,21,596,1882,2270,1951,1548,640,195,53,9146,82,252,885,1267,1309,864,306,62,3,5029,65,433,1514,1857,1829,1305,1074,966,397,9437,12,193,694,717,603,344,151,41,13,2762,295,840,2248,2460,1889,953,362,109,21,9165,577,3925,12991,16526,21291,16783,8585,3962,1228,85873,79,1920,10060,12750,14665,15036,7139,2801,735,65176,2015,8949,22583,25369,23783,17146,8188,3274,1168,112470,1121,5510,14162,15598,15294,10498,3776,1036,233,67234,224,1500,3772,3675,3000,2126,1233,531,163,16217,1501,4774,9015,8125,5609,3734,1745,725,216,35439,81,96,78,101,116,77,89,58,28,717,47,213,668,1016,907,709,318,162,62,4112,7980,4483,7886,10398,11714,12434,14656,16265,9784,95599,14096,33682,88444,102109,103953,83551,48260,30181,14107,518383,23,698,2261,2619,2212,1921,1114,323,82,11248,37,185,862,1053,1154,986,492,111,11,4881,82,455,1838,1873,1983,1631,1239,1002,587,10685,38,231,839,870,811,498,241,87,20,3641,290,1008,2265,2650,2274,1434,669,189,44,10820
1GSYD,62,2586,8934,8307,6501,3741,1544,552,176,32405,118,985,8448,6594,3937,1495,321,47,6,21951,74,1074,5597,5563,5443,3039,2193,1666,737,25395,59,1001,3493,2817,1849,872,313,121,33,10550,163,679,2158,1798,1333,707,289,90,36,7247,561,7123,27134,27130,26385,18638,9183,4574,1596,122324,159,4234,20544,22371,22343,21208,9753,4170,1271,106057,2834,23287,80658,70979,49827,30018,12497,5441,2457,277991,1468,12483,40333,35302,26932,17655,6537,2276,602,143588,558,7128,18931,12980,7642,3971,1770,954,369,54305,1791,7454,15579,12878,7850,4958,2193,979,335,54027,204,252,227,237,300,261,116,95,42,1740,91,1033,3454,3581,2597,1621,741,345,131,13593,12328,12069,25686,23275,21618,19449,17639,18291,13912,164268,20467,81389,261174,233801,184562,127641,65100,39602,21702,1035436,93,3505,10314,9355,7680,5184,2629,925,262,39961,71,1156,9205,8986,5013,2332,701,107,14,27575,115,1661,7985,6249,5779,4208,2543,2024,939,31502,91,1282,4573,3445,2383,1319,487,188,45,13824,128,733,2162,2054,1562,1012,426,162,42,8289
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,11,0,0,0,0,3,5,9,8,0,22,0,0,0,0,0,4,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19499,0,11,24,19,3,6,3,0,0,67,0,7,8,5,0,3,0,0,0,34,0,4,21,11,8,12,4,3,0,56,0,3,12,7,4,0,0,0,0,21,4,6,11,11,6,3,0,0,0,36,3,23,86,43,61,65,23,3,0,316,0,16,56,25,27,46,8,3,3,179,10,66,175,94,71,67,17,3,0,517,5,48,134,71,57,53,14,0,0,386,0,28,68,32,21,8,5,0,0,166,16,29,55,21,22,13,5,0,0,149,0,0,0,0,0,0,0,0,0,6,0,0,13,10,5,0,0,0,0,32,68,81,197,167,131,102,82,45,33,920,109,333,872,499,422,381,169,57,38,2883,0,7,32,9,8,5,3,0,0,60,0,3,12,9,0,0,0,0,0,27,0,14,22,7,3,6,3,4,0,67,0,0,11,8,0,0,7,0,0,30,0,7,11,12,4,8,5,0,0,42
