GCCSA_CODE_2016,C11_2500_2999_R650m,C11_2500_2999_R_NS,C11_2500_2999_R_Tot,C11_3000_3999_R0_74,C11_3000_3999_R75_99,C11_3000_3999_R100_149,C11_3000_3999_R150_199,C11_3000_3999_R200_224,C11_3000_3999_R225_274,C11_3000_3999_R275_349,C11_3000_3999_R350_449,C11_3000_3999_R450_549,C11_3000_3999_R550_649,C11_3000_3999_R650mo,C11_3000_3999_R_NS,C11_3000_3999_R_Tot,C11_4000m_R0_74,C11_4000m_R75_99,C11_4000m_R100_149,C11_4000m_R150_199,C11_4000m_R200_224,C11_4000m_R225_274,C11_4000m_R275_349,C11_4000m_R350_449,C11_4000m_R450_549,C11_4000m_R550_649,C11_4000m_R650m,C11_4000m_R_NS,C11_4000m_R_Tot,C11_PI_S_R0_74,C11_PI_S_R75_99,C11_PI_S_R100_149,C11_PI_S_R150_199,C11_PI_S_R200_224,C11_PI_S_R225_274,C11_PI_S_R275_349,C11_PI_S_R350_449,C11_PI_S_R450_549,C11_PI_S_R550_649,C11_PI_S_R650m,C11_PI_S_R_NS,C11_PI_S_R_Tot,C11_AI_NS_R0_74,C11_AI_NS_R75_99,C11_AI_NS_R100_149,C11_AI_NS_R150_199,C11_AI_NS_R200_224,C11_AI_NS_R225_274,C11_AI_NS_R275_349,C11_AI_NS_R350_449,C11_AI_NS_R450_549,C11_AI_NS_R550_649,C11_AI_NS_R650m,C11_AI_NS_R_NS,C11_AI_NS_R_Tot,C11_Tot_R0_74,C11_Tot_R75_99,C11_Tot_R100_149,C11_Tot_R150_199,C11_Tot_R200_224,C11_Tot_R225_274,C11_Tot_R275_349,C11_Tot_R350_449,C11_Tot_R450_549,C11_Tot_R550_649,C11_Tot_R650m,C11_Tot_R_NS,C11_Tot_R_Tot,C16_N_inc_R0_74,C16_N_inc_R75_99,C16_Ne_Ni_inc_R100_149,C16_Ne_Ni_inc_R150_199,C16_Ne_Ni_inc_R200_224,C16_Ne_Ni_inc_R225_274,C16_Ne_Ni_inc_R275_349,C16_Ne_Ni_inc_R350_449,C16_Ne_Ni_inc_R450_549,C16_Ne_Ni_inc_R550_649,C16_Ne_Ni_inc_R650m,C16_Ne_Nil_inc_R_NS,C16_N_inc_R_Tot,C16_1_149_R0_74,C16_1_149_R75_99,C16_1_149_R100_149,C16_1_149_R150_149,C16_1_149_R200_224,C16_1_149_R225_274,C16_1_149_R275_349,C16_1_149_R350_449,C16_1_149_R450_549,C16_1_149_R550_649,C16_1_149_R650m,C16_1_149_R_NS,C16_1_149_R_Tot,C16_150_299_R0_74,C16_150_299_R75_99,C16_150_299_R100_149,C16_150_299_R150_199,C16_150_299_R150_224,C16_150_299_R225_274,C16_150_299_R275_349,C16_150_299_R350_449,C16_150_299_R450_549,C16_150_299_R550_649,C16_150_299_R650m,C16_150_299_R_NS,C16_150_299_R_Tot,C16_300_399_R0_74,C16_300_399_R75_99,C16_300_399_R100_149,C16_300_399_R150_199,C16_300_399_R200_224,C16_300_399_R225_274,C16_300_399_R275_349,C16_300_399_R350_449,C16_300_399_R450_549,C16_300_399_R550_649,C16_300_399_R650m,C16_300_399_R_NS,C16_300_399_R_Tot,C16_400_499_R0_74,C16_400_499_R75_99,C16_400_499_R100_149,C16_400_499_R150_199,C16_400_499_R200_224,C16_400_499_R225_274,C16_400_499_R275_349,C16_400_499_R350_449,C16_400_499_R450_549,C16_400_499_R550_649,C16_400_499_R650m,C16_400_499_R_NS,C16_400_499_R_Tot,C16_500_649_R0_74,C16_500_649_R75_99,C16_500_649_R100_149,C16_500_649_R150_199,C16_500_649_R200_224,C16_500_649_R225_274,C16_500_649_R275_349,C16_500_649_R350_449,C16_500_649_R450_549,C16_500_649_R550_649,C16_500_649_R650m,C16_500_649_R_NS,C16_500_649_R_Tot,C16_650_799_R0_74,C16_650_799_R75_99,C16_650_799_R100_149,C16_650_799_R150_199,C16_650_799_R200_224,C16_650_799_R225_274,C16_650_799_R275_349,C16_650_799_R350_449,C16_650_799_R450_549,C16_650_799_R550_649,C16_650_799_R650m,C16_650_799_R_NS,C16_650_799_R_Tot,C16_800_999_R0_74,C16_800_999_R75_99,C16_800_999_R100_149,C16_800_999_R150_199,C16_800_999_R200_224,C16_800_999_R225_274,C16_800_999_R275_349,C16_800_999_R350_449,C16_800_999_R450_549,C16_800_999_R550_649,C16_800_999_R650m,C16_800_999_R_NS,C16_800_999_R_Tot,C16_1000_1249_R0_74,C16_1000_1249_R75_99,C16_1000_1249_R100_149,C16_1000_1249_R150_199,C16_1000_1249_R200_224,C16_1000_1249_R225_274,C16_1000_1249_R275_349,C16_1000_1249_R350_449,C16_1000_1249_R450_549,C16_1000_1249_R550_649,C16_1000_1249_R650m,C16_1000_1249_R_NS,C16_1000_1249_R_Tot,C16_1250_1499_R0_74,C16_1250_1499_R75_99,C16_1250_1499_R100_149,C16_1250_1499_R150_199,C16_1250_1499_R200_224,C16_1250_1499_R225_274,C16_1250_1499_R275_349,C16_1250_1499_R350_449,C16_1250_1499_R450_549,C16_1250_1499_R550_649,C16_1250_1499_R650m,C16_1250_1499_R_NS,C16_1250_1499_R_Tot,C16_1500_1999_R0_74,C16_1500_1999_R75_99
6RTAS,4,35,610,34,0,14,27,20,46,62,30,14,4,3,15,266,21,3,7,7,3,8,11,12,9,3,3,7,98,120,44,145,292,204,291,245,77,16,8,8,73,1529,97,139,136,126,72,75,28,10,4,0,7,220,920,3126,2510,4259,6117,3507,4624,2757,647,129,43,148,1063,28914,25,12,46,63,49,56,50,27,4,4,0,34,372,56,23,50,61,27,28,25,15,5,0,3,21,308,272,144,340,339,160,156,61,9,3,0,7,74,1569,147,223,542,628,261,226,102,21,0,0,11,74,2235,285,308,843,954,526,551,215,45,8,0,9,111,3855,145,49,340,763,548,653,322,49,9,5,5,83,2973,200,76,307,770,637,849,451,67,8,7,4,66,3443,202,42,238,522,506,763,469,89,5,8,7,79,2921,202,20,185,386,466,827,578,114,16,4,10,66,2873,187,18,107,220,317,560,549,118,19,3,3,48,2152,204,15
6GHOB,27,15,634,14,0,5,13,14,27,72,130,86,31,11,12,407,5,3,3,10,3,7,6,27,24,12,12,0,106,57,20,103,129,107,216,338,242,91,23,19,41,1386,54,115,80,77,48,49,65,22,8,4,13,122,645,1251,1953,2305,2917,1980,3917,4630,2369,598,180,206,663,22973,31,9,27,50,28,61,70,48,25,14,7,36,408,39,13,39,36,22,30,27,19,17,0,3,10,260,184,86,196,145,89,123,105,25,17,5,0,38,1006,57,224,455,309,143,183,133,43,8,7,9,57,1625,106,256,562,495,272,403,292,99,18,7,9,55,2582,76,29,215,377,265,465,469,140,18,10,13,54,2132,77,44,187,401,260,512,576,195,26,9,13,40,2341,74,28,90,256,264,541,740,250,31,3,11,37,2323,65,15,82,185,247,533,850,343,67,12,7,32,2439,45,6,49,131,131,421,711,382,50,20,13,38,1992,81,9
69799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5RWAU,507,576,6142,1096,121,476,293,157,230,350,448,166,91,352,312,4080,732,45,250,144,55,80,132,158,70,56,399,199,2331,873,166,578,541,347,531,867,643,164,71,219,385,5383,388,150,233,155,78,122,110,64,24,14,71,459,1863,12812,3431,7859,6892,4116,6509,8061,4729,1272,622,2378,4272,62948,129,25,75,58,38,58,105,88,19,12,5,84,701,90,40,81,67,24,38,52,42,12,6,14,51,508,379,134,371,285,128,146,122,89,8,3,12,103,1780,303,180,793,415,170,227,239,125,16,3,14,110,2580,572,229,1006,702,323,427,437,190,24,4,28,168,4111,382,94,373,537,322,536,672,310,39,8,28,124,3422,491,124,453,688,356,641,871,436,62,15,37,171,4352,505,97,358,454,367,618,880,525,83,13,38,201,4134,637,100,395,399,386,632,1084,807,128,35,54,210,4877,592,78,291,391,317,543,1031,822,147,31,72,197,4510,1014,125
5GPER,1852,266,13977,243,14,75,95,152,276,1148,2957,1827,755,839,133,8511,127,9,32,41,37,99,334,1012,928,496,818,81,4002,444,163,461,615,500,1084,3390,5266,2011,744,858,661,16196,392,364,328,268,155,288,587,570,210,103,215,980,4464,9619,6944,9263,9179,7766,16320,39955,45001,14458,5056,6539,5723,175812,327,58,249,189,109,255,657,978,459,168,160,342,3952,211,71,191,130,56,114,198,314,128,42,40,109,1592,736,368,1013,533,232,367,728,749,247,53,50,271,5348,423,392,2419,835,367,574,1034,907,191,57,62,296,7549,712,372,2873,1392,647,1009,1883,1708,360,83,66,352,11451,422,98,743,1003,515,1044,2654,2533,549,108,103,234,10008,479,108,597,1177,647,1188,2959,3485,734,172,133,289,11958,461,63,373,519,603,1222,3619,4534,1086,230,187,275,13168,484,52,314,529,492,1243,4103,6393,1775,372,287,336,16373,381,25,175,339,282,823,3275,6406,1887,379,296,263,14529,547,30
59799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4RSAU,33,80,1352,121,14,94,100,47,56,100,77,29,6,16,34,702,45,5,37,32,7,14,29,36,14,7,15,24,276,264,72,334,538,276,342,209,73,22,8,18,116,2267,171,139,203,218,67,64,30,11,7,3,21,341,1278,6053,3549,7626,9195,3911,4399,2351,728,246,134,345,2082,40629,73,15,73,95,43,55,33,5,5,4,8,68,478,84,47,76,101,33,42,21,3,0,0,0,32,445,381,277,481,389,168,153,55,19,4,0,3,106,2033,213,497,839,611,236,280,96,26,0,0,8,127,2940,444,496,1264,1066,503,495,176,42,12,0,9,160,4672,236,117,445,954,487,662,350,60,4,0,9,99,3406,338,123,516,1127,598,838,446,71,13,3,13,143,4233,337,119,397,783,540,734,455,72,13,8,17,136,3607,390,88,354,720,522,839,536,95,13,12,25,168,3768,313,71,291,540,393,707,492,107,13,9,23,118,3074,375,63
4GADE,229,80,4604,65,13,37,54,82,211,575,857,383,145,122,50,2591,19,3,15,8,7,41,126,222,165,101,80,23,816,249,175,543,639,574,1375,2233,1291,417,141,172,371,8180,352,472,394,279,170,340,404,166,51,21,82,874,3605,8510,10845,12045,12927,11043,24218,30297,14251,3364,1194,1484,5006,135184,212,117,231,244,159,390,688,613,316,106,74,276,3419,223,112,232,164,88,171,266,132,62,19,18,111,1585,1136,776,1090,635,313,606,724,349,78,30,40,279,6052,429,1767,2519,1033,493,922,1084,359,60,21,45,366,9105,602,1711,3075,1837,890,1785,2002,633,126,29,53,392,13146,326,229,1012,1391,888,2314,2959,1018,135,51,25,287,10637,358,286,816,1698,1138,2682,3881,1412,173,48,52,357,12891,322,162,563,853,1114,2912,4529,1759,299,97,59,285,12952,327,107,383,744,793,2917,5591,2598,373,109,90,314,14334,230,41,195,489,485,2019,4602,2771,425,102,77,206,11645,325,32
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
