GCCSA_CODE_2016,C16_1500_1999_R100_149,C16_1500_1999_R150_199,C16_1500_1999_R200_224,C16_1500_1999_R225_274,C16_1500_1999_R275_349,C16_1500_1999_R350_449,C16_1500_1999_R450_549,C16_1500_1999_R550_649,C16_1500_1999_R650m,C16_1500_1999_R_NS,C16_1500_1999_R_Tot,C16_2000_2499_R0_74,C16_2000_2499_R75_99,C16_2000_2499_R100_149,C16_2000_2499_R150_199,C16_2000_2499_R200_224,C16_2000_2499_R225_274,C16_2000_2499_R275_349,C16_2000_2499_R350_449,C16_2000_2499_R450_549,C16_2000_2499_R550_649,C16_2000_2499_R650m,C16_2000_2499_R_NS,C16_2000_2499_R_Tot,C16_2500_2999_R0_74,C16_2500_2999_R75_99,C16_2500_2999_R100_149,C16_2500_2999_R150_199,C16_2500_2999_R200_224,C16_2500_2999_R225_274,C16_2500_2999_R275_349,C16_2500_2999_R350_449,C16_2500_2999_R450_549,C16_2500_2999_R550_649,C16_2500_2999_R650m,C16_2500_2999_R_NS,C16_2500_2999_R_Tot,C16_3000_3999_R0_74,C16_3000_3999_R75_99,C16_3000_3999_R100_149,C16_3000_3999_R150_199,C16_3000_3999_R200_224,C16_3000_3999_R225_274,C16_3000_3999_R275_349,C16_3000_3999_R350_449,C16_3000_3999_R450_549,C16_3000_3999_R550_649,C16_3000_3999_R650m,C16_3000_3999_R_NS,C16_3000_3999_R_Tot,C16_4000m_R0_74,C16_4000m_R75_99,C16_4000m_R100_149,C16_4000m_R150_199,C16_4000m_R200_224,C16_4000m_R225_274,C16_4000m_R275_349,C16_4000m_R350_449,C16_4000m_R450_549,C16_4000m_R550_649,C16_4000m_R650m,C16_4000m_R_NS,C16_4000m_R_Tot,C16_PI_S_R0_74,C16_PI_S_R75_99,C16_PI_S_R100_149,C16_PI_S_R150_199,C16_PI_S_R200_224,C16_PI_S_R225_274,C16_PI_S_R275_349,C16_PI_S_R350_449,C16_PI_S_R450_549,C16_PI_S_R550_649,C16_PI_S_R650m,C16_PI_S_R_NS,C16_PI_S_R_Tot,C16_AI_NS_R0_74,C16_AI_NS_R75_99,C16_AI_NS_R100_149,C16_AI_NS_R150_199,C16_AI_NS_R200_224,C16_AI_NS_R225_274,C16_AI_NS_R275_349,C16_AI_NS_R350_449,C16_AI_NS_R450_549,C16_AI_NS_R550_649,C16_AI_NS_R650m,C16_AI_NS_R_NS,C16_AI_NS_R_Tot,C16_Tot_R0_74,C16_Tot_R75_99,C16_Tot_R100_149,C16_Tot_R150_199,C16_Tot_R200_224,C16_Tot_R225_274,C16_Tot_R275_349,C16_Tot_R350_449,C16_Tot_R450_549,C16_Tot_R550_649,C16_Tot_R650m,C16_Tot_R_NS,C16_Tot_R_Tot
6RTAS,90,219,265,575,643,196,16,4,7,64,2306,170,12,57,103,132,291,375,167,23,3,5,43,1383,76,0,23,30,42,85,141,74,11,3,3,19,516,74,10,31,36,27,72,128,79,19,8,6,34,516,26,0,11,10,24,32,49,48,22,5,8,13,248,119,22,113,199,216,358,364,124,24,11,5,75,1628,64,46,151,167,103,108,45,18,9,0,15,185,920,2449,1023,3479,5479,4304,6187,4573,1254,205,59,111,1081,30215
6GHOB,41,106,117,382,823,623,138,36,10,42,2416,52,0,24,55,37,167,472,478,161,33,16,21,1522,23,0,8,9,21,49,169,260,76,18,16,16,663,29,5,20,23,8,46,91,207,132,46,22,22,649,11,0,3,10,9,16,26,85,69,30,31,8,288,36,11,57,113,112,206,370,350,134,48,19,56,1510,33,54,102,87,69,81,55,23,8,8,4,112,639,1016,795,2168,2789,2098,4221,5982,3562,992,303,203,671,24797
69799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5RWAU,428,523,470,829,1535,1518,350,111,139,413,7462,1347,113,388,455,373,608,1065,1364,454,149,228,424,6954,499,44,187,206,174,268,486,812,314,98,131,168,3381,1091,102,356,296,221,305,513,749,395,171,309,381,4889,1051,77,343,215,140,181,247,404,293,164,368,269,3749,782,95,413,366,294,480,853,1002,367,132,122,375,5285,275,75,271,199,104,112,134,103,35,16,73,469,1863,10136,1737,6579,6268,4206,6647,10330,9378,2745,973,1674,3906,64574
5GPER,203,329,340,984,4147,10014,3869,913,616,347,22334,423,19,151,225,217,595,2609,8416,4365,1311,836,299,19462,208,9,87,101,97,214,915,3861,2783,838,560,164,9849,252,17,99,96,87,229,759,3403,3333,1655,1814,247,11992,187,11,47,74,45,107,278,1242,1801,1305,2295,122,7507,393,53,332,406,308,597,2023,5451,3289,1262,1178,549,15850,235,99,559,270,127,209,466,563,193,69,132,807,3730,6862,1845,10421,8146,5179,10775,32315,60943,27052,9026,8816,5287,186672
59799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4RSAU,306,619,425,810,659,197,22,17,32,147,3677,311,39,220,324,273,437,488,139,26,18,37,109,2423,163,15,71,144,105,177,246,93,12,3,17,39,1082,130,25,108,159,91,135,172,120,26,7,21,63,1050,57,11,51,80,39,45,75,70,20,10,29,29,520,199,90,217,341,275,483,373,128,17,7,14,139,2284,136,174,262,248,114,124,69,11,10,6,16,316,1486,4182,2271,5980,8306,4841,6996,4749,1268,206,99,280,2005,41183
4GADE,215,386,462,2050,5584,4559,855,211,142,224,15044,235,12,130,191,248,963,3168,3827,1025,234,171,158,10367,115,3,48,81,85,304,1096,1727,629,157,110,66,4429,132,23,81,80,64,218,722,1510,820,328,298,84,4359,59,8,34,33,32,73,215,527,450,281,381,59,2134,196,72,325,423,344,1082,2392,2210,727,234,240,372,8620,185,325,530,325,203,332,398,222,86,37,55,768,3444,5412,5763,11460,10600,7790,21737,39902,26219,6653,2095,1925,4601,144162
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3RQLD,782,1238,1389,3840,8814,11270,4192,1109,734,791,36275,1926,242,587,816,826,2239,5573,8691,3901,1135,815,632,27383,946,117,238,291,283,812,2128,4077,2250,838,579,304,12869,1406,172,307,312,282,697,1576,3043,2202,1036,964,395,12380,909,95,147,131,143,262,650,1195,1080,624,1070,262,6576,1154,176,760,1115,917,2259,4364,5620,2647,957,775,859,21613,511,222,724,818,512,793,917,649,265,127,207,1470,7202,18729,4520,16940,22708,19088,38890,64229,66195,25044,8025,6948,9751,301067
3GBRI,284,492,460,1992,7870,17207,5655,1412,772,504,37212,351,23,157,270,261,1059,4399,13757,6228,1741,1095,385,29722,186,22,72,115,105,453,1616,6288,3863,1310,737,172,14938,227,18,129,141,117,291,1088,4536,4254,2150,1847,238,15038,155,5,49,63,43,106,385,1398,1771,1498,2317,129,7931,313,55,357,533,392,1099,3238,6603,3506,1440,1285,765,19599,198,131,489,331,220,444,635,736,293,99,135,1083,4798,6688,2557,11703,11418,8021,21935,57401,90720,35230,12380,10020,7139,275212
39799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2RVIC,472,1077,1134,2823,4097,2184,280,66,117,355,13485,595,43,267,458,525,1462,2737,1860,307,73,126,295,8738,266,36,98,153,170,526,1118,926,208,44,43,123,3718,257,29,147,157,155,365,735,952,302,72,108,121,3408,168,8,52,83,75,134,296,468,213,74,163,85,1825,458,78,469,874,724,1519,2007,1241,262,68,84,344,8124,326,164,825,754,401,500,324,129,27,12,47,886,4390,9284,2359,14684,20073,15003,26736,27448,12953,2277,617,1119,5150,137706
2GMEL,507,772,780,3510,17613,22691,7246,2471,2246,1206,60413,969,59,300,515,480,1934,11047,20651,9119,3297,2725,903,52010,509,32,150,202,191,687,4477,10038,5708,2386,1988,449,26805,637,40,199,216,178,539,3210,8709,7759,4507,4758,574,31325,387,18,98,106,79,225,1046,3127,3970,3523,6538,382,19504,801,124,644,863,638,1675,6701,8982,4899,2765,3434,1752,33276,487,118,989,519,400,789,1446,1367,591,301,491,2141,9653,15283,2900,19809,16487,13682,37170,117245,130097,55901,25946,28461,15839,478824
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1RNSW,672,1445,1505,3544,7369,8803,2706,653,409,687,29536,1207,104,379,850,846,1889,4394,6570,2542,721,443,522,20465,582,38,152,260,267,718,1595,3045,1467,487,279,222,9121,552,59,228,309,247,564,1295,2394,1568,696,528,303,8750,262,30,100,148,93,194,499,964,843,476,617,154,4385,955,130,827,1292,1024,2084,3478,4204,1702,599,485,758,17534,562,170,1372,1299,620,798,840,514,136,41,86,1531,7979,16883,3727,24297,31625,21729,37259,56253,52055,16446,4983,4069,9828,279167
1GSYD,388,631,687,1633,5490,21169,17754,9032,7826,1308,67397,1123,34,252,398,395,1129,3422,15203,18531,11738,10580,1052,63860,608,14,117,176,216,615,1363,6470,9558,7336,7822,541,34841,809,44,232,217,222,554,1163,5348,10285,10441,18473,766,48546,583,21,103,148,120,275,532,1855,4042,5970,22240,601,36485,885,138,781,988,684,1329,2669,7333,7435,5506,10093,2060,39899,534,181,1552,720,368,400,856,1344,972,601,1077,2453,11058,17193,4156,28614,19647,12594,19496,48168,122801,106228,68557,94321,17774,559546
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
