GCCSA_CODE_2016,C16_75_99_CF_CU15_NDS,C16_75_99_CF_NCU15_DS,C16_75_99_CF_NDCO,C16_75_99_CF_T,C16_100_149_CF_NC,C16_100_149_CF_Cu15DS_,C16_100_149_CF_CU15_NDS,C16_100_149_CF_NCU15_DS,C16_100_149_CF_NDCO,C16_100_149_CF_T,C16_150_199_CF_NC,C16_150_199_CF_Cu15DS_,C16_150_199_CF_CU15_NDS,C16_150_199_CF_NCU15_DS,C16_150_199_CF_NDCO,C16_150_199_CF_T,C16_200_224_CF_NC,C16_200_224_CF_Cu15DS_,C16_200_224_CF_CU15_NDS,C16_200_224_CF_NCU15_DS,C16_200_224_CF_NDCO,C16_200_224_CF_T,C16_225_274_CF_NC,C16_225_274_CF_Cu15DS_,C16_225_274_CF_CU15_NDS,C16_225_274_CF_NCU15_DS,C16_225_274_CF_NDCO,C16_225_274_CF_T,C16_275_349_CF_NC,C16_275_349_CF_Cu15DS_,C16_275_349_CF_CU15_NDS,C16_275_349_CF_NCU15_DS,C16_275_349_CF_NDCO,C16_275_349_CF_T,C16_350_449_CF_NC,C16_350_449_CF_Cu15DS_,C16_350_449_CF_CU15_NDS,C16_350_449_CF_NCU15_DS,C16_350_449_CF_NDCO,C16_350_449_CF_T,C16_450_549_CF_NC,C16_450_549_CF_Cu15DS_,C16_450_549_CF_CU15_NDS,C16_450_549_CF_NCU15_DS,C16_450_549_CF_NDCO,C16_450_549_CF_T,C16_550_649_CF_NC,C16_550_649_CF_Cu15DS_,C16_550_649_CF_CU15_NDS,C16_550_649_CF_NCU15_DS,C16_550_649_CF_NDCO,C16_550_649_CF_T,C16_650_749_CF_NC,C16_650_749_CF_Cu15DS_,C16_650_749_CF_CU15_NDS,C16_650_749_CF_NCU15_DS,C16_650_749_CF_NDCO,C16_650_749_CF_T,C16_750_849_CF_NC,C16_750_849_CF_Cu15DS_,C16_750_849_CF_CU15_NDS,C16_750_849_CF_NCU15_DS,C16_750_849_CF_NDCO,C16_750_849_CF_T,C16_850_949_CF_NC,C16_850_949_CF_Cu15DS_,C16_850_949_CF_CU15_NDS,C16_850_949_CF_NCU15_DS,C16_850_949_CF_NDCO,C16_850_949_CF_T,C16_950over_CF_NC,C16_950ov_CF_Cu15DS_,C16_950ov_CF_CU15_NDS,C16_950ov_CF_NCU15_DS,C16_950ov_CF_NDCO,C16_950ov_CF_T,C16_Rns_CF_NC,C16_Rns_CF_Cu15DS_,C16_Rns_CF_CU15_NDS,C16_Rns_CF_NCU15_DS,C16_Rns_CF_NDCO,C16_Rns_CF_T,C16_Tot_CF_NC,C16_Tot_CF_Cu15DS_,C16_Tot_CF_CU15_NDS,C16_Tot_CF_NCU15_DS,C16_Tot_CF_NDCO,C16_Tot_CF_Tot
6RTAS,19,3,3,82,300,21,172,14,22,532,817,55,385,43,72,1373,743,74,530,44,105,1489,1145,136,986,82,133,2481,844,211,1029,100,104,2295,207,98,317,34,48,704,41,15,43,3,10,105,13,0,10,3,0,28,3,0,3,0,0,3,0,0,4,0,0,7,0,0,3,0,0,3,3,3,3,0,0,17,159,12,111,11,22,312,4748,666,3979,373,564,10333
6GHOB,6,0,0,21,150,5,37,3,11,206,393,23,152,16,34,625,302,22,164,25,36,546,705,53,503,56,70,1387,1210,119,1040,101,109,2580,799,148,743,84,87,1857,211,43,188,28,18,493,52,14,58,4,10,133,17,4,29,0,0,56,5,5,5,0,0,16,4,0,3,0,0,4,12,3,3,0,0,12,80,15,41,6,16,164,4073,473,3060,340,422,8370
69799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5RWAU,315,21,26,652,897,109,1015,58,115,2198,1189,115,904,65,120,2386,828,79,709,39,73,1737,1215,135,1153,71,122,2703,2232,242,2076,149,211,4912,2104,389,2645,210,296,5638,702,154,841,88,99,1878,238,47,308,23,28,647,128,18,172,11,15,347,78,12,110,4,11,220,33,8,53,9,6,110,82,12,101,15,10,220,631,90,718,65,90,1600,12893,1696,13688,971,1452,30698
5GPER,36,0,12,169,690,30,211,23,48,1001,1649,71,410,58,108,2292,981,84,423,44,90,1624,2091,132,1276,92,173,3760,6926,464,5050,321,486,13246,14791,1732,13447,1167,1307,32455,6781,1261,6394,892,874,16200,2126,445,2220,390,333,5519,787,199,1026,213,129,2355,406,110,604,146,67,1330,192,83,345,76,36,727,333,155,668,139,74,1366,834,118,564,90,111,1725,39960,4981,33384,3732,3958,86019
59799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4RSAU,189,13,27,446,792,44,338,38,49,1254,1512,121,914,75,116,2735,829,111,712,53,86,1791,1398,159,1229,94,171,3046,951,174,1184,114,114,2540,218,88,371,36,51,764,43,14,31,4,3,99,8,3,10,3,0,33,6,0,3,0,0,15,4,0,3,0,0,6,0,0,3,0,0,9,17,0,4,0,6,28,262,30,191,21,39,548,7073,867,5869,505,740,15057
4GADE,28,7,5,186,871,25,204,24,50,1172,2062,80,635,98,148,3015,1330,95,749,78,131,2387,3950,317,3401,215,399,8289,7689,837,7046,641,759,16975,5596,903,5475,737,653,13365,1322,315,1368,292,216,3507,360,103,501,123,65,1152,139,58,215,64,31,511,65,29,112,21,6,235,36,12,46,12,11,116,48,22,78,14,0,172,602,57,385,51,89,1186,24906,2919,20668,2440,2650,53581
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3RQLD,552,23,70,1216,1690,151,1406,86,230,3567,3199,249,1902,131,353,5834,3056,231,1891,146,283,5616,6983,624,5469,367,660,14113,13596,1397,11404,842,1405,28645,15160,2369,15088,1393,1915,35924,5357,1326,6825,979,1114,15603,1623,528,2122,445,447,5156,650,233,881,175,192,2132,272,98,374,82,73,901,123,55,169,45,52,444,207,52,225,70,40,593,1486,219,1286,156,243,3388,57981,8031,53175,5226,7459,131869
3GBRI,24,4,12,150,750,37,245,34,91,1157,1761,134,575,84,159,2707,1091,123,574,74,126,1990,3602,355,2850,197,429,7435,11413,1188,10393,722,1218,24930,22369,2944,20393,1826,2430,49960,8858,1456,7691,1099,1148,20247,2841,571,2717,505,412,7040,1054,265,1084,242,174,2820,390,144,568,136,95,1325,202,53,287,66,38,650,297,112,477,112,64,1063,1048,177,751,113,204,2292,56898,7663,49355,5333,6730,125982
39799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2RVIC,94,13,13,334,1154,78,625,59,110,2021,2934,210,1571,136,262,5115,2310,214,1578,140,280,4520,4730,481,3948,292,465,9915,5418,750,5740,463,557,12932,2427,623,3605,396,357,7412,412,134,633,101,72,1353,96,21,160,28,17,326,35,11,46,4,8,101,23,8,17,3,0,54,11,3,13,0,0,28,70,3,56,11,9,145,721,109,538,79,117,1570,22209,2875,20031,1870,2438,49420
2GMEL,91,11,24,443,1211,52,514,71,112,1960,2689,143,1008,164,236,4227,1912,156,980,134,176,3355,6293,483,4653,404,653,12486,25169,2518,23612,1853,2392,55538,33324,3619,27128,2785,2961,69823,15326,1443,10530,1451,1186,29933,6497,722,4764,703,517,13197,2523,381,2603,413,245,6165,1217,239,1447,249,151,3300,566,141,865,180,92,1845,1259,432,1944,440,212,4282,2549,329,1895,317,454,5542,103619,10930,83940,9440,9757,217692
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1RNSW,173,13,33,629,1795,124,870,84,171,3044,4611,262,2189,223,486,7779,3351,296,2080,147,358,6240,6246,557,4976,359,752,12888,10481,1158,9776,747,1389,23550,10311,1888,12319,1173,1591,27280,3146,877,4423,577,612,9636,982,304,1376,210,187,3058,300,103,486,68,51,1005,120,38,168,23,27,383,62,23,65,15,12,173,132,24,141,22,22,342,1426,182,995,122,217,2938,46662,6245,42725,4066,6256,105963
1GSYD,71,16,32,476,1391,61,415,68,140,2081,4108,168,981,271,409,5947,2035,195,879,185,376,3672,3402,445,2307,363,633,7145,8797,948,7401,811,1357,19311,27702,3211,28695,2665,3578,65847,29139,3607,24845,2858,3591,64035,20011,2203,15296,2007,2133,41647,11461,1236,8895,1243,1215,24048,5623,638,4834,740,611,12447,2771,403,3104,431,334,7052,4124,1144,6227,1254,677,13427,3007,387,2152,470,591,6600,126981,14983,108417,13725,16076,280178
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
