SA2_NAME16	Year	Sex	overseas_visitors
Lithgow	2016	M	16
Lithgow Region	2006	F	3
Lithgow Region	2006	M	3
Lithgow Region	2011	F	13
Lithgow Region	2011	M	15
Lithgow Region	2016	F	8
Lithgow Region	2016	M	10
Mudgee	2006	F	21
Mudgee	2006	M	9
Mudgee	2011	F	20
Mudgee	2011	M	19
Mudgee	2016	F	16
Mudgee	2016	M	12
Mudgee Region - East	2006	F	4
Mudgee Region - East	2006	M	4
Mudgee Region - East	2011	F	6
Mudgee Region - East	2011	M	0
Mudgee Region - East	2016	F	10
Mudgee Region - East	2016	M	6
Mudgee Region - West	2006	F	9
Mudgee Region - West	2006	M	8
Mudgee Region - West	2011	F	8
Mudgee Region - West	2011	M	5
Mudgee Region - West	2016	F	17
Mudgee Region - West	2016	M	11
Wollangambe - Wollemi	2006	F	0
Wollangambe - Wollemi	2006	M	0
Wollangambe - Wollemi	2011	F	0
Wollangambe - Wollemi	2011	M	0
Wollangambe - Wollemi	2016	F	0
Wollangambe - Wollemi	2016	M	0
Blayney	2006	F	4
Blayney	2006	M	5
Blayney	2011	F	4
Blayney	2011	M	3
Blayney	2016	F	10
Blayney	2016	M	0
Orange	2006	F	10
Orange	2006	M	21
Orange	2011	F	20
Orange	2011	M	32
Orange	2016	F	20
Orange	2016	M	20
Orange - North	2006	F	10
Orange - North	2006	M	9
Orange - North	2011	F	21
Orange - North	2011	M	24
Orange - North	2016	F	32
Orange - North	2016	M	24
Orange Region	2006	F	9
Orange Region	2006	M	8
Orange Region	2011	F	31
Orange Region	2011	M	24
Orange Region	2016	F	26
Orange Region	2016	M	14
Grafton	2006	F	25
Grafton	2006	M	22
Grafton	2011	F	10
Grafton	2011	M	21
Grafton	2016	F	24
Grafton	2016	M	20
Grafton Region	2006	F	20
Grafton Region	2006	M	17
Grafton Region	2011	F	10
Grafton Region	2011	M	14
Grafton Region	2016	F	30
Grafton Region	2016	M	25
Maclean - Yamba - Iluka	2006	F	28
Maclean - Yamba - Iluka	2006	M	28
Maclean - Yamba - Iluka	2011	F	43
Maclean - Yamba - Iluka	2011	M	30
Maclean - Yamba - Iluka	2016	F	45
Maclean - Yamba - Iluka	2016	M	44
Bellingen	2006	F	22
Bellingen	2006	M	21
Bellingen	2011	F	19
Bellingen	2011	M	14
Bellingen	2016	F	16
Bellingen	2016	M	8
Coffs Harbour - North	2006	F	50
Coffs Harbour - North	2006	M	36
Coffs Harbour - North	2011	F	102
Coffs Harbour - North	2011	M	81
Coffs Harbour - North	2016	F	79
Coffs Harbour - North	2016	M	74
Coffs Harbour - South	2006	F	66
Coffs Harbour - South	2006	M	41
Coffs Harbour - South	2011	F	50
Coffs Harbour - South	2011	M	38
Coffs Harbour - South	2016	F	46
Coffs Harbour - South	2016	M	43
Coramba - Nana Glen - Bucca	2006	F	7
Coramba - Nana Glen - Bucca	2006	M	3
Coramba - Nana Glen - Bucca	2011	F	3
Coramba - Nana Glen - Bucca	2011	M	4
Coramba - Nana Glen - Bucca	2016	F	7
Coramba - Nana Glen - Bucca	2016	M	0
Dorrigo	2006	F	14
Dorrigo	2006	M	5
Dorrigo	2011	F	10
Dorrigo	2011	M	10
Dorrigo	2016	F	7
Dorrigo	2016	M	3
Korora - Emerald Beach	2006	F	49
Korora - Emerald Beach	2006	M	42
Korora - Emerald Beach	2011	F	42
Korora - Emerald Beach	2011	M	33
Korora - Emerald Beach	2016	F	49
Korora - Emerald Beach	2016	M	41
Sawtell - Boambee	2006	F	35
Sawtell - Boambee	2006	M	42
Sawtell - Boambee	2011	F	41
Sawtell - Boambee	2011	M	26
Sawtell - Boambee	2016	F	48
Sawtell - Boambee	2016	M	34
Urunga	2006	F	4
Urunga	2006	M	3
Urunga	2011	F	11
Urunga	2011	M	9
Urunga	2016	F	0
Urunga	2016	M	3
Woolgoolga - Arrawarra	2006	F	12
Woolgoolga - Arrawarra	2006	M	12
Woolgoolga - Arrawarra	2011	F	41
Woolgoolga - Arrawarra	2011	M	30
Woolgoolga - Arrawarra	2016	F	143
Woolgoolga - Arrawarra	2016	M	106
Bourke - Brewarrina	2006	F	15
Bourke - Brewarrina	2006	M	17
Bourke - Brewarrina	2011	F	13
Bourke - Brewarrina	2011	M	17
Bourke - Brewarrina	2016	F	9
Bourke - Brewarrina	2016	M	11
Cobar	2006	F	3
Cobar	2006	M	3
Cobar	2011	F	8
Cobar	2011	M	14
Cobar	2016	F	6
Cobar	2016	M	3
Coonamble	2006	F	4
Coonamble	2006	M	3
Coonamble	2011	F	5
Coonamble	2011	M	6
Coonamble	2016	F	8
Coonamble	2016	M	4
Nyngan - Warren	2006	F	6
Nyngan - Warren	2006	M	3
Nyngan - Warren	2011	F	11
Nyngan - Warren	2011	M	11
Nyngan - Warren	2016	F	4
Nyngan - Warren	2016	M	5
Walgett - Lightning Ridge	2006	F	21
Walgett - Lightning Ridge	2006	M	15
Walgett - Lightning Ridge	2011	F	14
Walgett - Lightning Ridge	2011	M	31
Walgett - Lightning Ridge	2016	F	6
Walgett - Lightning Ridge	2016	M	4
Broken Hill	2006	F	21
Broken Hill	2006	M	19
Broken Hill	2011	F	19
Broken Hill	2011	M	30
Broken Hill	2016	F	26
Broken Hill	2016	M	36
Far West	2006	F	19
Far West	2006	M	15
Far West	2011	F	23
Far West	2011	M	27
Far West	2016	F	16
Far West	2016	M	5
Coonabarabran	2006	F	9
Coonabarabran	2006	M	6
Coonabarabran	2011	F	12
Coonabarabran	2011	M	16
Coonabarabran	2016	F	34
Coonabarabran	2016	M	23
Dubbo - East	2006	F	9
Dubbo - East	2006	M	12
Dubbo - East	2011	F	17
Dubbo - East	2011	M	22
Dubbo - East	2016	F	33
Dubbo - East	2016	M	14
Dubbo - South	2006	F	19
Dubbo - South	2006	M	18
Dubbo - South	2011	F	29
Dubbo - South	2011	M	15
Dubbo - South	2016	F	42
Dubbo - South	2016	M	35
Dubbo - West	2006	F	5
Dubbo - West	2006	M	10
Dubbo - West	2011	F	6
Dubbo - West	2011	M	11
Dubbo - West	2016	F	23
Dubbo - West	2016	M	9
Dubbo Region	2006	F	12
Dubbo Region	2006	M	0
Dubbo Region	2011	F	3
Dubbo Region	2011	M	3
Dubbo Region	2016	F	4
Dubbo Region	2016	M	0
Gilgandra	2006	F	0
Gilgandra	2006	M	0
Gilgandra	2011	F	0
Gilgandra	2011	M	3
Gilgandra	2016	F	0
Gilgandra	2016	M	3
Narromine	2006	F	3
Narromine	2006	M	8
Narromine	2011	F	8
Narromine	2011	M	9
Narromine	2016	F	8
Narromine	2016	M	3
Wellington	2006	F	7
Wellington	2006	M	9
Wellington	2011	F	4
Wellington	2011	M	5
Wellington	2016	F	15
Wellington	2016	M	12
Branxton - Greta - Pokolbin	2006	F	47
Branxton - Greta - Pokolbin	2006	M	44
Branxton - Greta - Pokolbin	2011	F	50
Branxton - Greta - Pokolbin	2011	M	57
Branxton - Greta - Pokolbin	2016	F	49
Branxton - Greta - Pokolbin	2016	M	44
Cessnock	2006	F	21
Cessnock	2006	M	17
Cessnock	2011	F	23
Cessnock	2011	M	22
Cessnock	2016	F	20
Cessnock	2016	M	14
Cessnock Region	2006	F	7
Cessnock Region	2006	M	7
Cessnock Region	2011	F	8
Cessnock Region	2011	M	6
Cessnock Region	2016	F	29
Cessnock Region	2016	M	13
Dungog	2006	F	13
Dungog	2006	M	11
Dungog	2011	F	12
Dungog	2011	M	4
Dungog	2016	F	5
Dungog	2016	M	9
Kurri Kurri - Abermain	2006	F	6
Kurri Kurri - Abermain	2006	M	7
Kurri Kurri - Abermain	2011	F	3
Kurri Kurri - Abermain	2011	M	7
Kurri Kurri - Abermain	2016	F	5
Kurri Kurri - Abermain	2016	M	12
Singleton	2006	F	14
Singleton	2006	M	19
Singleton	2011	F	35
Singleton	2011	M	26
Singleton	2016	F	25
Singleton	2016	M	20
Singleton Region	2006	F	4
Singleton Region	2006	M	4
Singleton Region	2011	F	3
Singleton Region	2011	M	3
Singleton Region	2016	F	9
Singleton Region	2016	M	3
Maitland	2006	F	0
Maitland	2006	M	5
Maitland	2011	F	0
Maitland	2011	M	4
Maitland	2016	F	12
Maitland	2016	M	13
Maitland - East	2006	F	30
Maitland - East	2006	M	15
Maitland - East	2011	F	20
Maitland - East	2011	M	20
Maitland - East	2016	F	37
Maitland - East	2016	M	38
Maitland - North	2006	F	9
Maitland - North	2006	M	6
Maitland - North	2011	F	6
Maitland - North	2011	M	5
Maitland - North	2016	F	12
Maitland - North	2016	M	8
Maitland - West	2006	F	9
Maitland - West	2006	M	14
Maitland - West	2011	F	16
Maitland - West	2011	M	13
Maitland - West	2016	F	34
Maitland - West	2016	M	17
Thornton - Millers Forest	2006	F	10
Thornton - Millers Forest	2006	M	3
Thornton - Millers Forest	2011	F	3
Thornton - Millers Forest	2011	M	3
Thornton - Millers Forest	2016	F	8
Thornton - Millers Forest	2016	M	9
Anna Bay	2006	F	11
Anna Bay	2006	M	7
Anna Bay	2011	F	19
Anna Bay	2011	M	9
Anna Bay	2016	F	12
Anna Bay	2016	M	6
Lemon Tree Passage - Tanilba Bay	2006	F	3
Lemon Tree Passage - Tanilba Bay	2006	M	0
Lemon Tree Passage - Tanilba Bay	2011	F	3
Lemon Tree Passage - Tanilba Bay	2011	M	3
Lemon Tree Passage - Tanilba Bay	2016	F	11
Lemon Tree Passage - Tanilba Bay	2016	M	3
Nelson Bay Peninsula	2006	F	68
Nelson Bay Peninsula	2006	M	81
Nelson Bay Peninsula	2011	F	67
Nelson Bay Peninsula	2011	M	47
Nelson Bay Peninsula	2016	F	84
Nelson Bay Peninsula	2016	M	68
Raymond Terrace	2006	F	13
Raymond Terrace	2006	M	13
Raymond Terrace	2011	F	7
Raymond Terrace	2011	M	3
Raymond Terrace	2016	F	25
Raymond Terrace	2016	M	9
Seaham - Woodville	2006	F	3
Seaham - Woodville	2006	M	5
Seaham - Woodville	2011	F	4
Seaham - Woodville	2011	M	7
Seaham - Woodville	2016	F	6
Seaham - Woodville	2016	M	8
Tea Gardens - Hawks Nest	2006	F	10
Tea Gardens - Hawks Nest	2006	M	8
Tea Gardens - Hawks Nest	2011	F	10
Tea Gardens - Hawks Nest	2011	M	8
Tea Gardens - Hawks Nest	2016	F	7
Tea Gardens - Hawks Nest	2016	M	6
Williamtown - Medowie - Karuah	2006	F	12
Williamtown - Medowie - Karuah	2006	M	3
Williamtown - Medowie - Karuah	2011	F	11
Williamtown - Medowie - Karuah	2011	M	10
Williamtown - Medowie - Karuah	2016	F	17
Williamtown - Medowie - Karuah	2016	M	11
Muswellbrook	2006	F	12
Muswellbrook	2006	M	12
Muswellbrook	2011	F	4
Muswellbrook	2011	M	5
Muswellbrook	2016	F	21
Muswellbrook	2016	M	12
Muswellbrook Region	2006	F	12
Muswellbrook Region	2006	M	22
Muswellbrook Region	2011	F	19
Muswellbrook Region	2011	M	5
Muswellbrook Region	2016	F	22
Muswellbrook Region	2016	M	22
Scone	2006	F	9
Scone	2006	M	10
Scone	2011	F	17
Scone	2011	M	12
Scone	2016	F	22
Scone	2016	M	13
Scone Region	2006	F	13
Scone Region	2006	M	15
Scone Region	2011	F	14
Scone Region	2011	M	24
Scone Region	2016	F	33
Scone Region	2016	M	20
Dapto - Avondale	2006	F	19
Dapto - Avondale	2006	M	12
Dapto - Avondale	2011	F	23
Dapto - Avondale	2011	M	30
Dapto - Avondale	2016	F	29
Dapto - Avondale	2016	M	29
Horsley - Kembla Grange	2006	F	6
Horsley - Kembla Grange	2006	M	5
Horsley - Kembla Grange	2011	F	18
Horsley - Kembla Grange	2011	M	14
Horsley - Kembla Grange	2016	F	15
Horsley - Kembla Grange	2016	M	12
Port Kembla Industrial	2006	F	0
Port Kembla Industrial	2006	M	0
Port Kembla Industrial	2011	F	0
Port Kembla Industrial	2011	M	0
Port Kembla Industrial	2016	F	0
Port Kembla Industrial	2016	M	0
Unanderra - Mount Kembla	2006	F	29
Unanderra - Mount Kembla	2006	M	26
Unanderra - Mount Kembla	2011	F	20
Unanderra - Mount Kembla	2011	M	14
Unanderra - Mount Kembla	2016	F	32
Unanderra - Mount Kembla	2016	M	31
Berkeley - Lake Heights - Cringila	2006	F	15
Berkeley - Lake Heights - Cringila	2006	M	11
Berkeley - Lake Heights - Cringila	2011	F	30
Berkeley - Lake Heights - Cringila	2011	M	11
Berkeley - Lake Heights - Cringila	2016	F	28
Berkeley - Lake Heights - Cringila	2016	M	13
Port Kembla - Warrawong	2006	F	4
Port Kembla - Warrawong	2006	M	4
Port Kembla - Warrawong	2011	F	5
Port Kembla - Warrawong	2011	M	5
Port Kembla - Warrawong	2016	F	22
Port Kembla - Warrawong	2016	M	11
Windang - Primbee	2006	F	3
Windang - Primbee	2006	M	25
Windang - Primbee	2011	F	4
Windang - Primbee	2011	M	8
Windang - Primbee	2016	F	14
Windang - Primbee	2016	M	3
Illawarra Catchment Reserve	2006	F	0
Illawarra Catchment Reserve	2006	M	0
Illawarra Catchment Reserve	2011	F	0
Illawarra Catchment Reserve	2011	M	0
Illawarra Catchment Reserve	2016	F	0
Illawarra Catchment Reserve	2016	M	0
Albion Park - Macquarie Pass	2006	F	10
Albion Park - Macquarie Pass	2006	M	7
Albion Park - Macquarie Pass	2011	F	8
Albion Park - Macquarie Pass	2011	M	4
Albion Park - Macquarie Pass	2016	F	15
Albion Park - Macquarie Pass	2016	M	11
Albion Park Rail	2006	F	9
Albion Park Rail	2006	M	9
Albion Park Rail	2011	F	8
Albion Park Rail	2011	M	0
Albion Park Rail	2016	F	11
Albion Park Rail	2016	M	8
Kiama	2006	F	10
Kiama	2006	M	14
Kiama	2011	F	26
Kiama	2011	M	21
Kiama	2016	F	28
Kiama	2016	M	11
