SA2_NAME16	Year	Sex	unemployment
Erina - Green Point	2006	F	5.2
Erina - Green Point	2006	M	5.5
Erina - Green Point	2011	F	4.4
Erina - Green Point	2011	M	5.3
Erina - Green Point	2016	F	4.9
Erina - Green Point	2016	M	5.4
Gosford - Springfield	2006	F	7.3
Gosford - Springfield	2006	M	7.1
Gosford - Springfield	2011	F	6.8
Gosford - Springfield	2011	M	7.1
Gosford - Springfield	2016	F	7
Gosford - Springfield	2016	M	7.9
Kariong	2006	F	6
Kariong	2006	M	5
Kariong	2011	F	5.9
Kariong	2011	M	4.6
Kariong	2016	F	6.6
Kariong	2016	M	5.9
Kincumber - Picketts Valley	2006	F	6
Kincumber - Picketts Valley	2006	M	5.9
Kincumber - Picketts Valley	2011	F	5.4
Kincumber - Picketts Valley	2011	M	6.5
Kincumber - Picketts Valley	2016	F	5.9
Kincumber - Picketts Valley	2016	M	5.9
Narara	2006	F	5.2
Narara	2006	M	5.3
Narara	2011	F	6.2
Narara	2011	M	5.8
Narara	2016	F	6.2
Narara	2016	M	5.3
Niagara Park - Lisarow	2006	F	5
Niagara Park - Lisarow	2006	M	5.3
Niagara Park - Lisarow	2011	F	5.6
Niagara Park - Lisarow	2011	M	5.1
Niagara Park - Lisarow	2016	F	5.8
Niagara Park - Lisarow	2016	M	5.9
Point Clare - Koolewong	2006	F	5.8
Point Clare - Koolewong	2006	M	5
Point Clare - Koolewong	2011	F	5.3
Point Clare - Koolewong	2011	M	5.4
Point Clare - Koolewong	2016	F	6
Point Clare - Koolewong	2016	M	6.5
Saratoga - Davistown	2006	F	5.1
Saratoga - Davistown	2006	M	6
Saratoga - Davistown	2011	F	5.8
Saratoga - Davistown	2011	M	5.5
Saratoga - Davistown	2016	F	4.8
Saratoga - Davistown	2016	M	4.9
Terrigal - North Avoca	2006	F	4.4
Terrigal - North Avoca	2006	M	4.3
Terrigal - North Avoca	2011	F	5.1
Terrigal - North Avoca	2011	M	5.4
Terrigal - North Avoca	2016	F	4.9
Terrigal - North Avoca	2016	M	5.3
Umina - Booker Bay - Patonga	2006	F	9.5
Umina - Booker Bay - Patonga	2006	M	9.2
Umina - Booker Bay - Patonga	2011	F	8
Umina - Booker Bay - Patonga	2011	M	8.5
Umina - Booker Bay - Patonga	2016	F	7.9
Umina - Booker Bay - Patonga	2016	M	7.8
Wamberal - Forresters Beach	2006	F	4.2
Wamberal - Forresters Beach	2006	M	5.5
Wamberal - Forresters Beach	2011	F	4.4
Wamberal - Forresters Beach	2011	M	4.4
Wamberal - Forresters Beach	2016	F	3.9
Wamberal - Forresters Beach	2016	M	4.1
Woy Woy - Blackwall	2006	F	8
Woy Woy - Blackwall	2006	M	9.1
Woy Woy - Blackwall	2011	F	7.8
Woy Woy - Blackwall	2011	M	9.1
Woy Woy - Blackwall	2016	F	8
Woy Woy - Blackwall	2016	M	8.4
Wyoming	2006	F	6.9
Wyoming	2006	M	7.3
Wyoming	2011	F	5.6
Wyoming	2011	M	7.5
Wyoming	2016	F	7
Wyoming	2016	M	8
Bateau Bay - Killarney Vale	2006	F	7
Bateau Bay - Killarney Vale	2006	M	7.5
Bateau Bay - Killarney Vale	2011	F	7.1
Bateau Bay - Killarney Vale	2011	M	7.4
Bateau Bay - Killarney Vale	2016	F	6.6
Bateau Bay - Killarney Vale	2016	M	6.1
Blue Haven - San Remo	2006	F	10.5
Blue Haven - San Remo	2006	M	9.5
Blue Haven - San Remo	2011	F	8.8
Blue Haven - San Remo	2011	M	9
Blue Haven - San Remo	2016	F	9.7
Blue Haven - San Remo	2016	M	8.8
Budgewoi - Buff Point - Halekulani	2006	F	10.6
Budgewoi - Buff Point - Halekulani	2006	M	8.8
Budgewoi - Buff Point - Halekulani	2011	F	7.2
Budgewoi - Buff Point - Halekulani	2011	M	8.2
Budgewoi - Buff Point - Halekulani	2016	F	9
Budgewoi - Buff Point - Halekulani	2016	M	8.8
Chittaway Bay - Tumbi Umbi	2006	F	5.6
Chittaway Bay - Tumbi Umbi	2006	M	6.1
Chittaway Bay - Tumbi Umbi	2011	F	5.7
Chittaway Bay - Tumbi Umbi	2011	M	6
Chittaway Bay - Tumbi Umbi	2016	F	6.1
Chittaway Bay - Tumbi Umbi	2016	M	5.8
Gorokan - Kanwal - Charmhaven	2006	F	9.3
Gorokan - Kanwal - Charmhaven	2006	M	9.6
Gorokan - Kanwal - Charmhaven	2011	F	8.5
Gorokan - Kanwal - Charmhaven	2011	M	8.8
Gorokan - Kanwal - Charmhaven	2016	F	9.3
Gorokan - Kanwal - Charmhaven	2016	M	8.7
Jilliby - Yarramalong	2006	F	4.1
Jilliby - Yarramalong	2006	M	3.7
Jilliby - Yarramalong	2011	F	4.3
Jilliby - Yarramalong	2011	M	3.6
Jilliby - Yarramalong	2016	F	3.9
Jilliby - Yarramalong	2016	M	2.7
Lake Munmorah - Mannering Park	2006	F	8.4
Lake Munmorah - Mannering Park	2006	M	8.8
Lake Munmorah - Mannering Park	2011	F	7.3
Lake Munmorah - Mannering Park	2011	M	8.1
Lake Munmorah - Mannering Park	2016	F	6.8
Lake Munmorah - Mannering Park	2016	M	8.4
Ourimbah - Fountaindale	2006	F	6.8
Ourimbah - Fountaindale	2006	M	5.1
Ourimbah - Fountaindale	2011	F	6.3
Ourimbah - Fountaindale	2011	M	5.4
Ourimbah - Fountaindale	2016	F	4.7
Ourimbah - Fountaindale	2016	M	5.6
Summerland Point - Gwandalan	2006	F	9.1
Summerland Point - Gwandalan	2006	M	9
Summerland Point - Gwandalan	2011	F	8
Summerland Point - Gwandalan	2011	M	8.2
Summerland Point - Gwandalan	2016	F	7.9
Summerland Point - Gwandalan	2016	M	8.1
The Entrance	2006	F	9.3
The Entrance	2006	M	12
The Entrance	2011	F	11.3
The Entrance	2011	M	10.9
The Entrance	2016	F	8.1
The Entrance	2016	M	8.4
Toukley - Norah Head	2006	F	8.7
Toukley - Norah Head	2006	M	9.8
Toukley - Norah Head	2011	F	8.5
Toukley - Norah Head	2011	M	9.2
Toukley - Norah Head	2016	F	8.6
Toukley - Norah Head	2016	M	7.5
Tuggerah - Kangy Angy	2006	F	7.1
Tuggerah - Kangy Angy	2006	M	6.6
Tuggerah - Kangy Angy	2011	F	5.6
Tuggerah - Kangy Angy	2011	M	6.2
Tuggerah - Kangy Angy	2016	F	6
Tuggerah - Kangy Angy	2016	M	6.4
Warnervale - Wadalba	2006	F	6.8
Warnervale - Wadalba	2006	M	4.7
Warnervale - Wadalba	2011	F	6.9
Warnervale - Wadalba	2011	M	5.7
Warnervale - Wadalba	2016	F	6.5
Warnervale - Wadalba	2016	M	5.7
Wyong	2006	F	12
Wyong	2006	M	10.8
Wyong	2011	F	11.6
Wyong	2011	M	10.6
Wyong	2016	F	9.7
Wyong	2016	M	10.3
Bathurst	2006	F	7.2
Bathurst	2006	M	6.6
Bathurst	2011	F	6.3
Bathurst	2011	M	6.1
Bathurst	2016	F	5.7
Bathurst	2016	M	7.2
Bathurst - East	2006	F	5.4
Bathurst - East	2006	M	5.7
Bathurst - East	2011	F	4.8
Bathurst - East	2011	M	4.5
Bathurst - East	2016	F	5.5
Bathurst - East	2016	M	6.3
Bathurst Region	2006	F	4.1
Bathurst Region	2006	M	3.9
Bathurst Region	2011	F	3.1
Bathurst Region	2011	M	3.4
Bathurst Region	2016	F	4
Bathurst Region	2016	M	4.6
Oberon	2006	F	5.8
Oberon	2006	M	3.7
Oberon	2011	F	6
Oberon	2011	M	4.8
Oberon	2016	F	6.2
Oberon	2016	M	5.9
Condobolin	2006	F	6.1
Condobolin	2006	M	6.8
Condobolin	2011	F	4.1
Condobolin	2011	M	5.4
Condobolin	2016	F	6.8
Condobolin	2016	M	6.5
Cowra	2006	F	7.2
Cowra	2006	M	7.1
Cowra	2011	F	7.1
Cowra	2011	M	7.6
Cowra	2016	F	7.2
Cowra	2016	M	7.3
Cowra Region	2006	F	4.9
Cowra Region	2006	M	5.7
Cowra Region	2011	F	7.2
Cowra Region	2011	M	5
Cowra Region	2016	F	5.6
Cowra Region	2016	M	5.5
Forbes	2006	F	5.8
Forbes	2006	M	6.1
Forbes	2011	F	4.8
Forbes	2011	M	5.7
Forbes	2016	F	5.7
Forbes	2016	M	5.5
Grenfell	2006	F	5.1
Grenfell	2006	M	5.7
Grenfell	2011	F	4.9
Grenfell	2011	M	5.1
Grenfell	2016	F	5.3
Grenfell	2016	M	5.2
Parkes (NSW)	2006	F	7.9
Parkes (NSW)	2006	M	9
Parkes (NSW)	2011	F	4.4
Parkes (NSW)	2011	M	4.6
Parkes (NSW)	2016	F	7
Parkes (NSW)	2016	M	7.5
Parkes Region	2006	F	6.8
Parkes Region	2006	M	8
Parkes Region	2011	F	6.4
Parkes Region	2011	M	5.6
Parkes Region	2016	F	7.6
Parkes Region	2016	M	8.8
West Wyalong	2006	F	4.3
West Wyalong	2006	M	4.4
West Wyalong	2011	F	4.5
West Wyalong	2011	M	2.7
West Wyalong	2016	F	3.2
West Wyalong	2016	M	4.1
Lithgow	2006	F	8.6
Lithgow	2006	M	10
Lithgow	2011	F	7.4
Lithgow	2011	M	9.1
Lithgow	2016	F	7.3
Lithgow	2016	M	9.8
Lithgow Region	2006	F	6.7
Lithgow Region	2006	M	7.3
Lithgow Region	2011	F	5.3
Lithgow Region	2011	M	5.9
Lithgow Region	2016	F	6
Lithgow Region	2016	M	6.7
Mudgee	2006	F	6.5
Mudgee	2006	M	7
Mudgee	2011	F	5.6
Mudgee	2011	M	4.9
Mudgee	2016	F	5.9
Mudgee	2016	M	5.4
Mudgee Region - East	2006	F	9.5
Mudgee Region - East	2006	M	7.6
Mudgee Region - East	2011	F	7.8
Mudgee Region - East	2011	M	10.4
Mudgee Region - East	2016	F	8.3
Mudgee Region - East	2016	M	12.8
Mudgee Region - West	2006	F	7.2
Mudgee Region - West	2006	M	7.1
Mudgee Region - West	2011	F	6.1
Mudgee Region - West	2011	M	5.3
Mudgee Region - West	2016	F	7.2
Mudgee Region - West	2016	M	6.9
Wollangambe - Wollemi	2006	F	0
Wollangambe - Wollemi	2006	M	0
Wollangambe - Wollemi	2011	F	0
Wollangambe - Wollemi	2011	M	0
Wollangambe - Wollemi	2016	F	0
Wollangambe - Wollemi	2016	M	0
Blayney	2006	F	7.3
Blayney	2006	M	6.1
Blayney	2011	F	5
Blayney	2011	M	4.5
Blayney	2016	F	5.3
Blayney	2016	M	6.3
Orange	2006	F	6.1
Orange	2006	M	7.4
Orange	2011	F	5.2
Orange	2011	M	5.3
Orange	2016	F	6.9
Orange	2016	M	8.2
Orange - North	2006	F	5.2
Orange - North	2006	M	4.9
Orange - North	2011	F	3.9
Orange - North	2011	M	3.5
Orange - North	2016	F	5.2
Orange - North	2016	M	5.8
Orange Region	2006	F	3.5
Orange Region	2006	M	2.9
Orange Region	2011	F	3.2
Orange Region	2011	M	2.9
Orange Region	2016	F	3.7
Orange Region	2016	M	3.5
Grafton	2006	F	9.8
Grafton	2006	M	8.6
Grafton	2011	F	9.2
Grafton	2011	M	9
Grafton	2016	F	9.6
Grafton	2016	M	10.5
Grafton Region	2006	F	9.8
Grafton Region	2006	M	10.7
Grafton Region	2011	F	8.4
Grafton Region	2011	M	9.4
Grafton Region	2016	F	8.6
Grafton Region	2016	M	9.6
Maclean - Yamba - Iluka	2006	F	10
Maclean - Yamba - Iluka	2006	M	10.9
Maclean - Yamba - Iluka	2011	F	7.1
Maclean - Yamba - Iluka	2011	M	9.9
Maclean - Yamba - Iluka	2016	F	6.1
Maclean - Yamba - Iluka	2016	M	8.9
Bellingen	2006	F	9.9
Bellingen	2006	M	11
Bellingen	2011	F	8.6
Bellingen	2011	M	9.6
Bellingen	2016	F	5.6
Bellingen	2016	M	9.3
Coffs Harbour - North	2006	F	8.8
Coffs Harbour - North	2006	M	10
Coffs Harbour - North	2011	F	7.7
Coffs Harbour - North	2011	M	9.9
Coffs Harbour - North	2016	F	6.6
Coffs Harbour - North	2016	M	8.8
Coffs Harbour - South	2006	F	7.8
Coffs Harbour - South	2006	M	11.3
Coffs Harbour - South	2011	F	7.5
Coffs Harbour - South	2011	M	10.4
Coffs Harbour - South	2016	F	6.1
Coffs Harbour - South	2016	M	8
Coramba - Nana Glen - Bucca	2006	F	7.2
Coramba - Nana Glen - Bucca	2006	M	9.2
Coramba - Nana Glen - Bucca	2011	F	6
Coramba - Nana Glen - Bucca	2011	M	8.1
Coramba - Nana Glen - Bucca	2016	F	5.1
Coramba - Nana Glen - Bucca	2016	M	7.4
Dorrigo	2006	F	11
Dorrigo	2006	M	12.6
Dorrigo	2011	F	9
Dorrigo	2011	M	10.3
Dorrigo	2016	F	7.1
Dorrigo	2016	M	9.7
Korora - Emerald Beach	2006	F	5.5
Korora - Emerald Beach	2006	M	6.4
Korora - Emerald Beach	2011	F	6.2
Korora - Emerald Beach	2011	M	7
Korora - Emerald Beach	2016	F	5.5
Korora - Emerald Beach	2016	M	5.3
Sawtell - Boambee	2006	F	7.8
Sawtell - Boambee	2006	M	9
Sawtell - Boambee	2011	F	7.1
Sawtell - Boambee	2011	M	8.3
Sawtell - Boambee	2016	F	7.3
Sawtell - Boambee	2016	M	8.5
Urunga	2006	F	10
Urunga	2006	M	11.4
Urunga	2011	F	5.8
Urunga	2011	M	9.1
Urunga	2016	F	7.3
Urunga	2016	M	7.5
Woolgoolga - Arrawarra	2006	F	10.6
Woolgoolga - Arrawarra	2006	M	9.9
Woolgoolga - Arrawarra	2011	F	7.9
Woolgoolga - Arrawarra	2011	M	10.3
Woolgoolga - Arrawarra	2016	F	6.7
Woolgoolga - Arrawarra	2016	M	8.6
Bourke - Brewarrina	2006	F	7.7
Bourke - Brewarrina	2006	M	11.6
Bourke - Brewarrina	2011	F	6.1
Bourke - Brewarrina	2011	M	8.2
Bourke - Brewarrina	2016	F	8
Bourke - Brewarrina	2016	M	10.7
Cobar	2006	F	6.5
Cobar	2006	M	4.4
Cobar	2011	F	4.6
Cobar	2011	M	4.2
Cobar	2016	F	5.1
Cobar	2016	M	6.3
Coonamble	2006	F	6
Coonamble	2006	M	7.1
Coonamble	2011	F	6.7
Coonamble	2011	M	8.2
Coonamble	2016	F	8.2
Coonamble	2016	M	9.2
Nyngan - Warren	2006	F	5.8
Nyngan - Warren	2006	M	7.5
Nyngan - Warren	2011	F	6.1
Nyngan - Warren	2011	M	5.7
Nyngan - Warren	2016	F	6.4
Nyngan - Warren	2016	M	6.7
Walgett - Lightning Ridge	2006	F	7.6
Walgett - Lightning Ridge	2006	M	12.5
Walgett - Lightning Ridge	2011	F	5.7
Walgett - Lightning Ridge	2011	M	9.9
Walgett - Lightning Ridge	2016	F	9.5
Walgett - Lightning Ridge	2016	M	12
Broken Hill	2006	F	8.2
Broken Hill	2006	M	9.9
Broken Hill	2011	F	7.3
Broken Hill	2011	M	9.2
Broken Hill	2016	F	7.3
Broken Hill	2016	M	10.4
Far West	2006	F	8.2
Far West	2006	M	6.7
Far West	2011	F	6.5
Far West	2011	M	7.4
Far West	2016	F	7.2
Far West	2016	M	6.7
Coonabarabran	2006	F	8.1
Coonabarabran	2006	M	9.6
Coonabarabran	2011	F	5.7
Coonabarabran	2011	M	8.2
Coonabarabran	2016	F	6.9
Coonabarabran	2016	M	8.4
Dubbo - East	2006	F	4.9
Dubbo - East	2006	M	5.5
Dubbo - East	2011	F	5.4
Dubbo - East	2011	M	5.2
Dubbo - East	2016	F	5.6
Dubbo - East	2016	M	6.7
Dubbo - South	2006	F	4.5
Dubbo - South	2006	M	5.1
Dubbo - South	2011	F	3.8
Dubbo - South	2011	M	4.7
Dubbo - South	2016	F	5.1
Dubbo - South	2016	M	5.1
Dubbo - West	2006	F	7.8
Dubbo - West	2006	M	9.2
Dubbo - West	2011	F	6.3
Dubbo - West	2011	M	6.8
Dubbo - West	2016	F	6
Dubbo - West	2016	M	6.4
Dubbo Region	2006	F	2.8
Dubbo Region	2006	M	3.9
Dubbo Region	2011	F	3.9
Dubbo Region	2011	M	2.9
Dubbo Region	2016	F	3.4
Dubbo Region	2016	M	3.8
Gilgandra	2006	F	5.4
Gilgandra	2006	M	5.7
Gilgandra	2011	F	6.4
Gilgandra	2011	M	6.4
Gilgandra	2016	F	4.7
Gilgandra	2016	M	6.5
Narromine	2006	F	6.1
Narromine	2006	M	5.4
Narromine	2011	F	6.4
Narromine	2011	M	5.2
Narromine	2016	F	6.5
Narromine	2016	M	7.8
Wellington	2006	F	7.9
Wellington	2006	M	8.5
Wellington	2011	F	7
Wellington	2011	M	10
Wellington	2016	F	8.6
Wellington	2016	M	9.4
Branxton - Greta - Pokolbin	2006	F	6.2
Branxton - Greta - Pokolbin	2006	M	4.3
Branxton - Greta - Pokolbin	2011	F	4.6
Branxton - Greta - Pokolbin	2011	M	2.9
Branxton - Greta - Pokolbin	2016	F	5.8
Branxton - Greta - Pokolbin	2016	M	5.7
Cessnock	2006	F	8.5
Cessnock	2006	M	9.4
Cessnock	2011	F	7.4
Cessnock	2011	M	6.2
Cessnock	2016	F	9.7
Cessnock	2016	M	10.5
Cessnock Region	2006	F	7.2
Cessnock Region	2006	M	7.1
Cessnock Region	2011	F	6.6
Cessnock Region	2011	M	6.3
Cessnock Region	2016	F	5.7
Cessnock Region	2016	M	6.2
Dungog	2006	F	5
Dungog	2006	M	4.9
Dungog	2011	F	3.6
Dungog	2011	M	5.1
Dungog	2016	F	5.4
Dungog	2016	M	5.5
Kurri Kurri - Abermain	2006	F	9.9
Kurri Kurri - Abermain	2006	M	9.8
Kurri Kurri - Abermain	2011	F	7.2
Kurri Kurri - Abermain	2011	M	7.5
Kurri Kurri - Abermain	2016	F	8.5
Kurri Kurri - Abermain	2016	M	10.4
Singleton	2006	F	6.2
Singleton	2006	M	3.4
Singleton	2011	F	5.1
Singleton	2011	M	2.8
Singleton	2016	F	8.3
Singleton	2016	M	5.8
Singleton Region	2006	F	5.1
Singleton Region	2006	M	3.2
Singleton Region	2011	F	3.3
Singleton Region	2011	M	2
Singleton Region	2016	F	5.1
Singleton Region	2016	M	4.1
Maitland	2006	F	9.4
Maitland	2006	M	9.5
Maitland	2011	F	7.6
Maitland	2011	M	6.4
Maitland	2016	F	8.2
Maitland	2016	M	7.8
Maitland - East	2006	F	7
Maitland - East	2006	M	6
Maitland - East	2011	F	5.2
Maitland - East	2011	M	4.8
Maitland - East	2016	F	7.5
Maitland - East	2016	M	7.5
Maitland - North	2006	F	4.1
Maitland - North	2006	M	4.4
Maitland - North	2011	F	3.4
Maitland - North	2011	M	2.5
Maitland - North	2016	F	4.1
Maitland - North	2016	M	4.3
Maitland - West	2006	F	7.7
Maitland - West	2006	M	6.5
Maitland - West	2011	F	5.9
Maitland - West	2011	M	4.6
Maitland - West	2016	F	8.7
Maitland - West	2016	M	7.5
Thornton - Millers Forest	2006	F	5.8
Thornton - Millers Forest	2006	M	4.6
Thornton - Millers Forest	2011	F	5
Thornton - Millers Forest	2011	M	3.6
Thornton - Millers Forest	2016	F	5.3
Thornton - Millers Forest	2016	M	5.7
Anna Bay	2006	F	6.3
Anna Bay	2006	M	5.8
Anna Bay	2011	F	5.3
Anna Bay	2011	M	7.1
Anna Bay	2016	F	5.3
Anna Bay	2016	M	7.3
Lemon Tree Passage - Tanilba Bay	2006	F	10.3
Lemon Tree Passage - Tanilba Bay	2006	M	9
Lemon Tree Passage - Tanilba Bay	2011	F	8.5
Lemon Tree Passage - Tanilba Bay	2011	M	7.2
Lemon Tree Passage - Tanilba Bay	2016	F	8.7
Lemon Tree Passage - Tanilba Bay	2016	M	9
Nelson Bay Peninsula	2006	F	6.6
Nelson Bay Peninsula	2006	M	7.4
Nelson Bay Peninsula	2011	F	6.1
Nelson Bay Peninsula	2011	M	5.8
Nelson Bay Peninsula	2016	F	6.8
Nelson Bay Peninsula	2016	M	7.6
Raymond Terrace	2006	F	10.2
Raymond Terrace	2006	M	9
Raymond Terrace	2011	F	8.6
Raymond Terrace	2011	M	7.9
Raymond Terrace	2016	F	9.9
Raymond Terrace	2016	M	9.9
Seaham - Woodville	2006	F	4.6
Seaham - Woodville	2006	M	3.2
Seaham - Woodville	2011	F	4
Seaham - Woodville	2011	M	2.9
Seaham - Woodville	2016	F	4.3
Seaham - Woodville	2016	M	4.7
Tea Gardens - Hawks Nest	2006	F	8.9
Tea Gardens - Hawks Nest	2006	M	6.8
Tea Gardens - Hawks Nest	2011	F	6.8
Tea Gardens - Hawks Nest	2011	M	6.8
Tea Gardens - Hawks Nest	2016	F	8.8
Tea Gardens - Hawks Nest	2016	M	7.8
Williamtown - Medowie - Karuah	2006	F	6.8
Williamtown - Medowie - Karuah	2006	M	4.9
Williamtown - Medowie - Karuah	2011	F	5.7
Williamtown - Medowie - Karuah	2011	M	4.5
Williamtown - Medowie - Karuah	2016	F	6.4
Williamtown - Medowie - Karuah	2016	M	5.5
Muswellbrook	2006	F	7.1
Muswellbrook	2006	M	5.1
Muswellbrook	2011	F	6.6
Muswellbrook	2011	M	4.7
Muswellbrook	2016	F	9.7
Muswellbrook	2016	M	9.6
Muswellbrook Region	2006	F	5.2
Muswellbrook Region	2006	M	2.3
Muswellbrook Region	2011	F	3.9
Muswellbrook Region	2011	M	2.8
Muswellbrook Region	2016	F	4.6
Muswellbrook Region	2016	M	3.9
Scone	2006	F	4.7
Scone	2006	M	3.3
Scone	2011	F	3.6
Scone	2011	M	2.8
Scone	2016	F	4.7
