SA2_NAME16	Year	Age	adults
Queanbeyan Region	2016	45-54	2934
Queanbeyan Region	2016	55-64	2427
Queanbeyan Region	2016	65-74	1436
Queanbeyan Region	2016	75-84	408
Queanbeyan Region	2016	85+	86
Queanbeyan West - Jerrabomberra	2006	15-19	796
Queanbeyan West - Jerrabomberra	2006	20-24	595
Queanbeyan West - Jerrabomberra	2006	25-34	1673
Queanbeyan West - Jerrabomberra	2006	35-44	2504
Queanbeyan West - Jerrabomberra	2006	45-54	1582
Queanbeyan West - Jerrabomberra	2006	55-64	761
Queanbeyan West - Jerrabomberra	2006	65-74	364
Queanbeyan West - Jerrabomberra	2006	75-84	140
Queanbeyan West - Jerrabomberra	2006	85+	28
Queanbeyan West - Jerrabomberra	2011	15-19	955
Queanbeyan West - Jerrabomberra	2011	20-24	750
Queanbeyan West - Jerrabomberra	2011	25-34	1531
Queanbeyan West - Jerrabomberra	2011	35-44	2379
Queanbeyan West - Jerrabomberra	2011	45-54	2032
Queanbeyan West - Jerrabomberra	2011	55-64	1084
Queanbeyan West - Jerrabomberra	2011	65-74	440
Queanbeyan West - Jerrabomberra	2011	75-84	182
Queanbeyan West - Jerrabomberra	2011	85+	39
Queanbeyan West - Jerrabomberra	2016	15-19	1018
Queanbeyan West - Jerrabomberra	2016	20-24	727
Queanbeyan West - Jerrabomberra	2016	25-34	1461
Queanbeyan West - Jerrabomberra	2016	35-44	1906
Queanbeyan West - Jerrabomberra	2016	45-54	2381
Queanbeyan West - Jerrabomberra	2016	55-64	1308
Queanbeyan West - Jerrabomberra	2016	65-74	597
Queanbeyan West - Jerrabomberra	2016	75-84	257
Queanbeyan West - Jerrabomberra	2016	85+	74
Bombala	2006	15-19	136
Bombala	2006	20-24	104
Bombala	2006	25-34	222
Bombala	2006	35-44	343
Bombala	2006	45-54	406
Bombala	2006	55-64	370
Bombala	2006	65-74	222
Bombala	2006	75-84	161
Bombala	2006	85+	73
Bombala	2011	15-19	131
Bombala	2011	20-24	78
Bombala	2011	25-34	217
Bombala	2011	35-44	279
Bombala	2011	45-54	374
Bombala	2011	55-64	401
Bombala	2011	65-74	255
Bombala	2011	75-84	148
Bombala	2011	85+	87
Bombala	2016	15-19	120
Bombala	2016	20-24	99
Bombala	2016	25-34	220
Bombala	2016	35-44	231
Bombala	2016	45-54	337
Bombala	2016	55-64	391
Bombala	2016	65-74	340
Bombala	2016	75-84	145
Bombala	2016	85+	89
Cooma	2006	15-19	471
Cooma	2006	20-24	340
Cooma	2006	25-34	708
Cooma	2006	35-44	926
Cooma	2006	45-54	934
Cooma	2006	55-64	817
Cooma	2006	65-74	586
Cooma	2006	75-84	457
Cooma	2006	85+	168
Cooma	2011	15-19	430
Cooma	2011	20-24	350
Cooma	2011	25-34	686
Cooma	2011	35-44	852
Cooma	2011	45-54	987
Cooma	2011	55-64	834
Cooma	2011	65-74	634
Cooma	2011	75-84	438
Cooma	2011	85+	227
Cooma	2016	15-19	402
Cooma	2016	20-24	356
Cooma	2016	25-34	760
Cooma	2016	35-44	751
Cooma	2016	45-54	943
Cooma	2016	55-64	907
Cooma	2016	65-74	784
Cooma	2016	75-84	523
Cooma	2016	85+	241
Cooma Region	2006	15-19	170
Cooma Region	2006	20-24	66
Cooma Region	2006	25-34	197
Cooma Region	2006	35-44	390
Cooma Region	2006	45-54	467
Cooma Region	2006	55-64	462
Cooma Region	2006	65-74	296
Cooma Region	2006	75-84	128
Cooma Region	2006	85+	30
Cooma Region	2011	15-19	189
Cooma Region	2011	20-24	102
Cooma Region	2011	25-34	188
Cooma Region	2011	35-44	420
Cooma Region	2011	45-54	568
Cooma Region	2011	55-64	513
Cooma Region	2011	65-74	403
Cooma Region	2011	75-84	163
Cooma Region	2011	85+	40
Cooma Region	2016	15-19	206
Cooma Region	2016	20-24	105
Cooma Region	2016	25-34	218
Cooma Region	2016	35-44	350
Cooma Region	2016	45-54	540
Cooma Region	2016	55-64	560
Cooma Region	2016	65-74	477
Cooma Region	2016	75-84	212
Cooma Region	2016	85+	48
Jindabyne - Berridale	2006	15-19	399
Jindabyne - Berridale	2006	20-24	386
Jindabyne - Berridale	2006	25-34	931
Jindabyne - Berridale	2006	35-44	1096
Jindabyne - Berridale	2006	45-54	1048
Jindabyne - Berridale	2006	55-64	709
Jindabyne - Berridale	2006	65-74	374
Jindabyne - Berridale	2006	75-84	153
Jindabyne - Berridale	2006	85+	39
Jindabyne - Berridale	2011	15-19	503
Jindabyne - Berridale	2011	20-24	405
Jindabyne - Berridale	2011	25-34	809
Jindabyne - Berridale	2011	35-44	1041
Jindabyne - Berridale	2011	45-54	1055
Jindabyne - Berridale	2011	55-64	798
Jindabyne - Berridale	2011	65-74	429
Jindabyne - Berridale	2011	75-84	211
Jindabyne - Berridale	2011	85+	56
Jindabyne - Berridale	2016	15-19	390
Jindabyne - Berridale	2016	20-24	478
Jindabyne - Berridale	2016	25-34	956
Jindabyne - Berridale	2016	35-44	987
Jindabyne - Berridale	2016	45-54	1081
Jindabyne - Berridale	2016	55-64	913
Jindabyne - Berridale	2016	65-74	592
Jindabyne - Berridale	2016	75-84	232
Jindabyne - Berridale	2016	85+	74
Batemans Bay	2006	15-19	461
Batemans Bay	2006	20-24	292
Batemans Bay	2006	25-34	706
Batemans Bay	2006	35-44	866
Batemans Bay	2006	45-54	1036
Batemans Bay	2006	55-64	1190
Batemans Bay	2006	65-74	866
Batemans Bay	2006	75-84	581
Batemans Bay	2006	85+	171
Batemans Bay	2011	15-19	401
Batemans Bay	2011	20-24	279
Batemans Bay	2011	25-34	657
Batemans Bay	2011	35-44	800
Batemans Bay	2011	45-54	891
Batemans Bay	2011	55-64	1277
Batemans Bay	2011	65-74	1061
Batemans Bay	2011	75-84	587
Batemans Bay	2011	85+	227
Batemans Bay	2016	15-19	356
Batemans Bay	2016	20-24	283
Batemans Bay	2016	25-34	656
Batemans Bay	2016	35-44	729
Batemans Bay	2016	45-54	868
Batemans Bay	2016	55-64	1251
Batemans Bay	2016	65-74	1315
Batemans Bay	2016	75-84	701
Batemans Bay	2016	85+	291
Batemans Bay - South	2006	15-19	453
Batemans Bay - South	2006	20-24	300
Batemans Bay - South	2006	25-34	615
Batemans Bay - South	2006	35-44	847
Batemans Bay - South	2006	45-54	1070
Batemans Bay - South	2006	55-64	1244
Batemans Bay - South	2006	65-74	1038
Batemans Bay - South	2006	75-84	743
Batemans Bay - South	2006	85+	208
Batemans Bay - South	2011	15-19	497
Batemans Bay - South	2011	20-24	258
Batemans Bay - South	2011	25-34	585
Batemans Bay - South	2011	35-44	856
Batemans Bay - South	2011	45-54	1037
Batemans Bay - South	2011	55-64	1304
Batemans Bay - South	2011	65-74	1277
Batemans Bay - South	2011	75-84	705
Batemans Bay - South	2011	85+	300
Batemans Bay - South	2016	15-19	421
Batemans Bay - South	2016	20-24	291
Batemans Bay - South	2016	25-34	576
Batemans Bay - South	2016	35-44	788
Batemans Bay - South	2016	45-54	1007
Batemans Bay - South	2016	55-64	1370
Batemans Bay - South	2016	65-74	1560
Batemans Bay - South	2016	75-84	817
Batemans Bay - South	2016	85+	338
Bega - Tathra	2006	15-19	535
Bega - Tathra	2006	20-24	331
Bega - Tathra	2006	25-34	694
Bega - Tathra	2006	35-44	926
Bega - Tathra	2006	45-54	1187
Bega - Tathra	2006	55-64	908
Bega - Tathra	2006	65-74	705
Bega - Tathra	2006	75-84	507
Bega - Tathra	2006	85+	183
Bega - Tathra	2011	15-19	581
Bega - Tathra	2011	20-24	335
Bega - Tathra	2011	25-34	741
Bega - Tathra	2011	35-44	899
Bega - Tathra	2011	45-54	1255
Bega - Tathra	2011	55-64	1170
Bega - Tathra	2011	65-74	832
Bega - Tathra	2011	75-84	501
Bega - Tathra	2011	85+	208
Bega - Tathra	2016	15-19	506
Bega - Tathra	2016	20-24	361
Bega - Tathra	2016	25-34	756
Bega - Tathra	2016	35-44	884
Bega - Tathra	2016	45-54	1165
Bega - Tathra	2016	55-64	1361
Bega - Tathra	2016	65-74	986
Bega - Tathra	2016	75-84	593
Bega - Tathra	2016	85+	246
Bega-Eden Hinterland	2006	15-19	667
Bega-Eden Hinterland	2006	20-24	244
Bega-Eden Hinterland	2006	25-34	555
Bega-Eden Hinterland	2006	35-44	1281
Bega-Eden Hinterland	2006	45-54	1820
Bega-Eden Hinterland	2006	55-64	1369
Bega-Eden Hinterland	2006	65-74	668
Bega-Eden Hinterland	2006	75-84	297
Bega-Eden Hinterland	2006	85+	59
Bega-Eden Hinterland	2011	15-19	592
Bega-Eden Hinterland	2011	20-24	256
Bega-Eden Hinterland	2011	25-34	538
Bega-Eden Hinterland	2011	35-44	1034
Bega-Eden Hinterland	2011	45-54	1673
Bega-Eden Hinterland	2011	55-64	1715
Bega-Eden Hinterland	2011	65-74	822
Bega-Eden Hinterland	2011	75-84	357
Bega-Eden Hinterland	2011	85+	77
Bega-Eden Hinterland	2016	15-19	540
Bega-Eden Hinterland	2016	20-24	260
Bega-Eden Hinterland	2016	25-34	596
Bega-Eden Hinterland	2016	35-44	795
Bega-Eden Hinterland	2016	45-54	1477
Bega-Eden Hinterland	2016	55-64	1940
Bega-Eden Hinterland	2016	65-74	1214
Bega-Eden Hinterland	2016	75-84	407
Bega-Eden Hinterland	2016	85+	100
Broulee - Tomakin	2006	15-19	169
Broulee - Tomakin	2006	20-24	71
Broulee - Tomakin	2006	25-34	168
Broulee - Tomakin	2006	35-44	329
Broulee - Tomakin	2006	45-54	350
Broulee - Tomakin	2006	55-64	354
Broulee - Tomakin	2006	65-74	267
Broulee - Tomakin	2006	75-84	252
Broulee - Tomakin	2006	85+	70
Broulee - Tomakin	2011	15-19	171
Broulee - Tomakin	2011	20-24	89
Broulee - Tomakin	2011	25-34	165
Broulee - Tomakin	2011	35-44	297
Broulee - Tomakin	2011	45-54	436
Broulee - Tomakin	2011	55-64	470
Broulee - Tomakin	2011	65-74	359
Broulee - Tomakin	2011	75-84	262
Broulee - Tomakin	2011	85+	98
Broulee - Tomakin	2016	15-19	169
Broulee - Tomakin	2016	20-24	123
Broulee - Tomakin	2016	25-34	214
Broulee - Tomakin	2016	35-44	329
Broulee - Tomakin	2016	45-54	410
Broulee - Tomakin	2016	55-64	552
Broulee - Tomakin	2016	65-74	497
Broulee - Tomakin	2016	75-84	342
Broulee - Tomakin	2016	85+	158
Deua - Wadbilliga	2006	15-19	0
Deua - Wadbilliga	2006	20-24	0
Deua - Wadbilliga	2006	25-34	0
Deua - Wadbilliga	2006	35-44	0
Deua - Wadbilliga	2006	45-54	0
Deua - Wadbilliga	2006	55-64	0
Deua - Wadbilliga	2006	65-74	0
Deua - Wadbilliga	2006	75-84	0
Deua - Wadbilliga	2006	85+	0
Deua - Wadbilliga	2011	15-19	0
Deua - Wadbilliga	2011	20-24	0
Deua - Wadbilliga	2011	25-34	4
Deua - Wadbilliga	2011	35-44	3
Deua - Wadbilliga	2011	45-54	8
Deua - Wadbilliga	2011	55-64	15
Deua - Wadbilliga	2011	65-74	4
Deua - Wadbilliga	2011	75-84	0
Deua - Wadbilliga	2011	85+	0
Deua - Wadbilliga	2016	15-19	0
Deua - Wadbilliga	2016	20-24	0
Deua - Wadbilliga	2016	25-34	0
Deua - Wadbilliga	2016	35-44	3
Deua - Wadbilliga	2016	45-54	5
Deua - Wadbilliga	2016	55-64	3
Deua - Wadbilliga	2016	65-74	13
Deua - Wadbilliga	2016	75-84	0
Deua - Wadbilliga	2016	85+	3
Eden	2006	15-19	221
Eden	2006	20-24	139
Eden	2006	25-34	261
Eden	2006	35-44	382
Eden	2006	45-54	463
Eden	2006	55-64	416
Eden	2006	65-74	323
Eden	2006	75-84	161
Eden	2006	85+	42
Eden	2011	15-19	216
Eden	2011	20-24	131
Eden	2011	25-34	274
Eden	2011	35-44	339
Eden	2011	45-54	464
Eden	2011	55-64	517
Eden	2011	65-74	380
Eden	2011	75-84	239
Eden	2011	85+	86
Eden	2016	15-19	161
Eden	2016	20-24	127
Eden	2016	25-34	268
Eden	2016	35-44	319
Eden	2016	45-54	392
Eden	2016	55-64	538
Eden	2016	65-74	501
Eden	2016	75-84	267
Eden	2016	85+	133
Eurobodalla Hinterland	2006	15-19	170
Eurobodalla Hinterland	2006	20-24	78
Eurobodalla Hinterland	2006	25-34	206
Eurobodalla Hinterland	2006	35-44	373
Eurobodalla Hinterland	2006	45-54	449
Eurobodalla Hinterland	2006	55-64	437
Eurobodalla Hinterland	2006	65-74	208
Eurobodalla Hinterland	2006	75-84	103
Eurobodalla Hinterland	2006	85+	42
Eurobodalla Hinterland	2011	15-19	210
Eurobodalla Hinterland	2011	20-24	80
Eurobodalla Hinterland	2011	25-34	209
Eurobodalla Hinterland	2011	35-44	386
Eurobodalla Hinterland	2011	45-54	575
Eurobodalla Hinterland	2011	55-64	639
Eurobodalla Hinterland	2011	65-74	350
Eurobodalla Hinterland	2011	75-84	153
Eurobodalla Hinterland	2011	85+	37
Eurobodalla Hinterland	2016	15-19	198
Eurobodalla Hinterland	2016	20-24	137
Eurobodalla Hinterland	2016	25-34	210
Eurobodalla Hinterland	2016	35-44	312
Eurobodalla Hinterland	2016	45-54	558
Eurobodalla Hinterland	2016	55-64	652
Eurobodalla Hinterland	2016	65-74	544
Eurobodalla Hinterland	2016	75-84	163
Eurobodalla Hinterland	2016	85+	47
Merimbula - Tura Beach	2006	15-19	519
Merimbula - Tura Beach	2006	20-24	312
Merimbula - Tura Beach	2006	25-34	680
Merimbula - Tura Beach	2006	35-44	1100
Merimbula - Tura Beach	2006	45-54	1319
Merimbula - Tura Beach	2006	55-64	1452
Merimbula - Tura Beach	2006	65-74	1206
Merimbula - Tura Beach	2006	75-84	789
Merimbula - Tura Beach	2006	85+	269
Merimbula - Tura Beach	2011	15-19	576
Merimbula - Tura Beach	2011	20-24	325
Merimbula - Tura Beach	2011	25-34	652
Merimbula - Tura Beach	2011	35-44	1038
Merimbula - Tura Beach	2011	45-54	1361
Merimbula - Tura Beach	2011	55-64	1646
Merimbula - Tura Beach	2011	65-74	1489
Merimbula - Tura Beach	2011	75-84	867
Merimbula - Tura Beach	2011	85+	363
Merimbula - Tura Beach	2016	15-19	496
Merimbula - Tura Beach	2016	20-24	390
Merimbula - Tura Beach	2016	25-34	747
Merimbula - Tura Beach	2016	35-44	954
Merimbula - Tura Beach	2016	45-54	1360
Merimbula - Tura Beach	2016	55-64	1821
Merimbula - Tura Beach	2016	65-74	1874
Merimbula - Tura Beach	2016	75-84	1070
Merimbula - Tura Beach	2016	85+	438
Moruya - Tuross Head	2006	15-19	501
Moruya - Tuross Head	2006	20-24	240
Moruya - Tuross Head	2006	25-34	545
Moruya - Tuross Head	2006	35-44	971
Moruya - Tuross Head	2006	45-54	1312
Moruya - Tuross Head	2006	55-64	1277
Moruya - Tuross Head	2006	65-74	1048
Moruya - Tuross Head	2006	75-84	538
Moruya - Tuross Head	2006	85+	146
Moruya - Tuross Head	2011	15-19	472
Moruya - Tuross Head	2011	20-24	233
Moruya - Tuross Head	2011	25-34	473
Moruya - Tuross Head	2011	35-44	803
Moruya - Tuross Head	2011	45-54	1164
Moruya - Tuross Head	2011	55-64	1349
Moruya - Tuross Head	2011	65-74	1115
Moruya - Tuross Head	2011	75-84	606
Moruya - Tuross Head	2011	85+	168
Moruya - Tuross Head	2016	15-19	415
Moruya - Tuross Head	2016	20-24	259
Moruya - Tuross Head	2016	25-34	550
Moruya - Tuross Head	2016	35-44	729
Moruya - Tuross Head	2016	45-54	1066
Moruya - Tuross Head	2016	55-64	1585
Moruya - Tuross Head	2016	65-74	1370
Moruya - Tuross Head	2016	75-84	706
Moruya - Tuross Head	2016	85+	215
Narooma - Bermagui	2006	15-19	497
Narooma - Bermagui	2006	20-24	244
Narooma - Bermagui	2006	25-34	554
Narooma - Bermagui	2006	35-44	955
Narooma - Bermagui	2006	45-54	1427
Narooma - Bermagui	2006	55-64	1543
Narooma - Bermagui	2006	65-74	1199
Narooma - Bermagui	2006	75-84	857
Narooma - Bermagui	2006	85+	271
Narooma - Bermagui	2011	15-19	409
Narooma - Bermagui	2011	20-24	238
Narooma - Bermagui	2011	25-34	477
Narooma - Bermagui	2011	35-44	820
Narooma - Bermagui	2011	45-54	1159
Narooma - Bermagui	2011	55-64	1751
Narooma - Bermagui	2011	65-74	1363
Narooma - Bermagui	2011	75-84	852
Narooma - Bermagui	2011	85+	363
Narooma - Bermagui	2016	15-19	337
Narooma - Bermagui	2016	20-24	240
Narooma - Bermagui	2016	25-34	525
Narooma - Bermagui	2016	35-44	695
Narooma - Bermagui	2016	45-54	1026
Narooma - Bermagui	2016	55-64	1903
Narooma - Bermagui	2016	65-74	1832
Narooma - Bermagui	2016	75-84	859
Narooma - Bermagui	2016	85+	410
Goulburn	2006	15-19	1461
Goulburn	2006	20-24	1352
Goulburn	2006	25-34	2627
Goulburn	2006	35-44	2878
Goulburn	2006	45-54	2802
Goulburn	2006	55-64	2345
Goulburn	2006	65-74	1621
Goulburn	2006	75-84	1235
Goulburn	2006	85+	384
Goulburn	2011	15-19	1419
Goulburn	2011	20-24	1270
Goulburn	2011	25-34	2562
Goulburn	2011	35-44	2826
Goulburn	2011	45-54	2937
Goulburn	2011	55-64	2610
Goulburn	2011	65-74	1955
Goulburn	2011	75-84	1301
Goulburn	2011	85+	533
Goulburn	2016	15-19	1364
Goulburn	2016	20-24	1400
Goulburn	2016	25-34	2997
Goulburn	2016	35-44	2756
Goulburn	2016	45-54	2959
Goulburn	2016	55-64	2855
Goulburn	2016	65-74	2346
Goulburn	2016	75-84	1395
Goulburn	2016	85+	667
Goulburn Region	2006	15-19	699
Goulburn Region	2006	20-24	367
Goulburn Region	2006	25-34	918
Goulburn Region	2006	35-44	1617
Goulburn Region	2006	45-54	1752
Goulburn Region	2006	55-64	1831
Goulburn Region	2006	65-74	1195
Goulburn Region	2006	75-84	520
Goulburn Region	2006	85+	136
Goulburn Region	2011	15-19	746
Goulburn Region	2011	20-24	415
Goulburn Region	2011	25-34	828
Goulburn Region	2011	35-44	1448
Goulburn Region	2011	45-54	1830
Goulburn Region	2011	55-64	1888
Goulburn Region	2011	65-74	1396
Goulburn Region	2011	75-84	691
Goulburn Region	2011	85+	185
Goulburn Region	2016	15-19	735
Goulburn Region	2016	20-24	487
Goulburn Region	2016	25-34	1008
Goulburn Region	2016	35-44	1369
Goulburn Region	2016	45-54	1964
Goulburn Region	2016	55-64	2055
Goulburn Region	2016	65-74	1743
Goulburn Region	2016	75-84	833
Goulburn Region	2016	85+	224
Yass	2006	15-19	389
Yass	2006	20-24	263
Yass	2006	25-34	582
Yass	2006	35-44	839
Yass	2006	45-54	769
Yass	2006	55-64	657
Yass	2006	65-74	487
Yass	2006	75-84	372
Yass	2006	85+	123
Yass	2011	15-19	410
Yass	2011	20-24	363
Yass	2011	25-34	660
Yass	2011	35-44	918
Yass	2011	45-54	832
Yass	2011	55-64	740
Yass	2011	65-74	514
Yass	2011	75-84	397
Yass	2011	85+	169
Yass	2016	15-19	385
Yass	2016	20-24	337
Yass	2016	25-34	717
Yass	2016	35-44	782
Yass	2016	45-54	868
Yass	2016	55-64	800
Yass	2016	65-74	661
Yass	2016	75-84	413
Yass	2016	85+	227
Yass Region	2006	15-19	558
Yass Region	2006	20-24	321
Yass Region	2006	25-34	865
Yass Region	2006	35-44	1462
Yass Region	2006	45-54	1590
Yass Region	2006	55-64	1345
Yass Region	2006	65-74	592
Yass Region	2006	75-84	258
Yass Region	2006	85+	58
Yass Region	2011	15-19	672
Yass Region	2011	20-24	357
Yass Region	2011	25-34	863
Yass Region	2011	35-44	1708
Yass Region	2011	45-54	1738
Yass Region	2011	55-64	1529
Yass Region	2011	65-74	886
Yass Region	2011	75-84	281
Yass Region	2011	85+	63
Yass Region	2016	15-19	759
Yass Region	2016	20-24	471
Yass Region	2016	25-34	911
Yass Region	2016	35-44	1646
Yass Region	2016	45-54	1922
Yass Region	2016	55-64	1687
Yass Region	2016	65-74	1162
Yass Region	2016	75-84	421
Yass Region	2016	85+	103
Young	2006	15-19	697
Young	2006	20-24	560
Young	2006	25-34	1151
Young	2006	35-44	1293
Young	2006	45-54	1252
Young	2006	55-64	1153
Young	2006	65-74	871
Young	2006	75-84	637
Young	2006	85+	236
Young	2011	15-19	704
Young	2011	20-24	513
Young	2011	25-34	1050
Young	2011	35-44	1252
Young	2011	45-54	1273
Young	2011	55-64	1282
Young	2011	65-74	976
Young	2011	75-84	635
Young	2011	85+	303
Young	2016	15-19	689
Young	2016	20-24	551
Young	2016	25-34	1065
Young	2016	35-44	1234
Young	2016	45-54	1301
Young	2016	55-64	1258
Young	2016	65-74	1213
Young	2016	75-84	719
Young	2016	85+	321
Young Region	2006	15-19	380
Young Region	2006	20-24	267
Young Region	2006	25-34	654
Young Region	2006	35-44	956
Young Region	2006	45-54	1054
Young Region	2006	55-64	1131
Young Region	2006	65-74	729
Young Region	2006	75-84	436
Young Region	2006	85+	127
Young Region	2011	15-19	437
Young Region	2011	20-24	285
Young Region	2011	25-34	568
Young Region	2011	35-44	902
Young Region	2011	45-54	1060
Young Region	2011	55-64	1169
Young Region	2011	65-74	887
Young Region	2011	75-84	462
Young Region	2011	85+	158
Young Region	2016	15-19	407
Young Region	2016	20-24	328
Young Region	2016	25-34	578
Young Region	2016	35-44	723
Young Region	2016	45-54	1064
Young Region	2016	55-64	1167
Young Region	2016	65-74	1117
Young Region	2016	75-84	501
Young Region	2016	85+	189
Avoca Beach - Copacabana	2006	15-19	585
Avoca Beach - Copacabana	2006	20-24	382
Avoca Beach - Copacabana	2006	25-34	641
Avoca Beach - Copacabana	2006	35-44	1133
Avoca Beach - Copacabana	2006	45-54	1140
Avoca Beach - Copacabana	2006	55-64	699
Avoca Beach - Copacabana	2006	65-74	420
Avoca Beach - Copacabana	2006	75-84	263
Avoca Beach - Copacabana	2006	85+	62
Avoca Beach - Copacabana	2011	15-19	512
Avoca Beach - Copacabana	2011	20-24	372
Avoca Beach - Copacabana	2011	25-34	585
Avoca Beach - Copacabana	2011	35-44	1066
Avoca Beach - Copacabana	2011	45-54	1156
Avoca Beach - Copacabana	2011	55-64	925
Avoca Beach - Copacabana	2011	65-74	503
Avoca Beach - Copacabana	2011	75-84	241
Avoca Beach - Copacabana	2011	85+	90
Avoca Beach - Copacabana	2016	15-19	547
Avoca Beach - Copacabana	2016	20-24	346
Avoca Beach - Copacabana	2016	25-34	625
Avoca Beach - Copacabana	2016	35-44	995
Avoca Beach - Copacabana	2016	45-54	1188
Avoca Beach - Copacabana	2016	55-64	990
Avoca Beach - Copacabana	2016	65-74	677
Avoca Beach - Copacabana	2016	75-84	283
Avoca Beach - Copacabana	2016	85+	85
Box Head - MacMasters Beach	2006	15-19	708
Box Head - MacMasters Beach	2006	20-24	421
Box Head - MacMasters Beach	2006	25-34	838
Box Head - MacMasters Beach	2006	35-44	1335
Box Head - MacMasters Beach	2006	45-54	1619
Box Head - MacMasters Beach	2006	55-64	1430
Box Head - MacMasters Beach	2006	65-74	1020
Box Head - MacMasters Beach	2006	75-84	723
Box Head - MacMasters Beach	2006	85+	185
Box Head - MacMasters Beach	2011	15-19	646
Box Head - MacMasters Beach	2011	20-24	475
Box Head - MacMasters Beach	2011	25-34	726
Box Head - MacMasters Beach	2011	35-44	1263
Box Head - MacMasters Beach	2011	45-54	1580
Box Head - MacMasters Beach	2011	55-64	1579
