SA2_NAME16	Year	labourForceParticipation
Coramba - Nana Glen - Bucca	2016	60.3
Dorrigo	2006	53.3
Dorrigo	2011	50.9
Dorrigo	2016	47.2
Korora - Emerald Beach	2006	61.5
Korora - Emerald Beach	2011	62.8
Korora - Emerald Beach	2016	61.1
Sawtell - Boambee	2006	55.7
Sawtell - Boambee	2011	55.9
Sawtell - Boambee	2016	54.8
Urunga	2006	43.9
Urunga	2011	48.1
Urunga	2016	47.9
Woolgoolga - Arrawarra	2006	50
Woolgoolga - Arrawarra	2011	51.9
Woolgoolga - Arrawarra	2016	51.3
Bourke - Brewarrina	2006	59.2
Bourke - Brewarrina	2011	57.1
Bourke - Brewarrina	2016	50.7
Cobar	2006	62.4
Cobar	2011	63.6
Cobar	2016	59.2
Coonamble	2006	59.3
Coonamble	2011	56.5
Coonamble	2016	51.2
Nyngan - Warren	2006	62.8
Nyngan - Warren	2011	60.2
Nyngan - Warren	2016	56.2
Walgett - Lightning Ridge	2006	52.1
Walgett - Lightning Ridge	2011	50
Walgett - Lightning Ridge	2016	47.4
Broken Hill	2006	48.6
Broken Hill	2011	50.3
Broken Hill	2016	51.3
Far West	2006	60.4
Far West	2011	61.7
Far West	2016	50
Coonabarabran	2006	52.7
Coonabarabran	2011	51
Coonabarabran	2016	47.5
Dubbo - East	2006	65.5
Dubbo - East	2011	65.7
Dubbo - East	2016	62.2
Dubbo - South	2006	60.6
Dubbo - South	2011	63.1
Dubbo - South	2016	62.9
Dubbo - West	2006	58
Dubbo - West	2011	62.9
Dubbo - West	2016	60.2
Dubbo Region	2006	67.3
Dubbo Region	2011	66.9
Dubbo Region	2016	65.3
Gilgandra	2006	57.7
Gilgandra	2011	56.3
Gilgandra	2016	55.2
Narromine	2006	60.3
Narromine	2011	60
Narromine	2016	55.3
Wellington	2006	51.9
Wellington	2011	48.3
Wellington	2016	43.9
Branxton - Greta - Pokolbin	2006	62.6
Branxton - Greta - Pokolbin	2011	65.3
Branxton - Greta - Pokolbin	2016	64.7
Cessnock	2006	50.6
Cessnock	2011	51.6
Cessnock	2016	49.1
Cessnock Region	2006	57.9
Cessnock Region	2011	59.3
Cessnock Region	2016	55.1
Dungog	2006	57.1
Dungog	2011	57.6
Dungog	2016	56.2
Kurri Kurri - Abermain	2006	54.7
Kurri Kurri - Abermain	2011	55.8
Kurri Kurri - Abermain	2016	54.2
Singleton	2006	63.9
Singleton	2011	66.9
Singleton	2016	64.3
Singleton Region	2006	67.7
Singleton Region	2011	65.7
Singleton Region	2016	58.9
Maitland	2006	55.5
Maitland	2011	57.1
Maitland	2016	61.1
Maitland - East	2006	59.9
Maitland - East	2011	60.9
Maitland - East	2016	59.4
Maitland - North	2006	63.5
Maitland - North	2011	65.8
Maitland - North	2016	65.8
Maitland - West	2006	60
Maitland - West	2011	62.2
Maitland - West	2016	61.8
Thornton - Millers Forest	2006	70.6
Thornton - Millers Forest	2011	70.8
Thornton - Millers Forest	2016	70.2
Anna Bay	2006	57.4
Anna Bay	2011	56.6
Anna Bay	2016	52.9
Lemon Tree Passage - Tanilba Bay	2006	45.9
Lemon Tree Passage - Tanilba Bay	2011	49.1
Lemon Tree Passage - Tanilba Bay	2016	45.5
Nelson Bay Peninsula	2006	46.7
Nelson Bay Peninsula	2011	47.1
Nelson Bay Peninsula	2016	46.9
Raymond Terrace	2006	55.3
Raymond Terrace	2011	56
Raymond Terrace	2016	53.4
Seaham - Woodville	2006	69.7
Seaham - Woodville	2011	69.1
Seaham - Woodville	2016	67
Tea Gardens - Hawks Nest	2006	35.4
Tea Gardens - Hawks Nest	2011	36.4
Tea Gardens - Hawks Nest	2016	33.8
Williamtown - Medowie - Karuah	2006	62.4
Williamtown - Medowie - Karuah	2011	62.6
Williamtown - Medowie - Karuah	2016	59.6
