SA2_MAINCODE_2016,C16_1PF_lf_ns_Fi_1000_1499,C16_1PF_lf_ns_Fi_1500_1999,C16_1PF_lf_ns_Fi_2000_2499,C16_1PF_lf_ns_Fi_2500_2999,C16_1PF_lf_ns_Fi_3000_3999,C16_1PF_LFns_4000mo,C16_1PF_LFns_Ns,C16_1PF_LF_NS_T,C16_1PF_TFI_N,C16_1PF_TFI_1_149,C16_1PF_TFI_150_299,C16_1PF_TFI_300_399,C16_1PF_TFI_400_499,C16_1PF_TFI_500_649,C16_1PF_T_Fi_650_799,C16_1PF_T_Fi_800_999,C16_1PF_T_Fi_1000_1499,C16_1PF_T_Fi_1500_1999,C16_1PF_T_Fi_2000_2499,C16_1PF_T_Fi_2500_2999,C16_1PF_T_Fi_3000_3999,C16_1PF_TFI_4000_mr,C16_One_par_f_TFI_Ns,C16_One_parent_f_T_T,C16_TFI_N,C16_TFI_1_149,C16_TFI_150_299,C16_TFI_300_399,C16_TFI_400_499,C16_TFI_500_649,C16_TFI_650_799,C16_TFI_800_999,C16_TFI_1000_1499,C16_TFI_1500_1999,C16_TFI_2000_2499,C16_TFI_2500_2999,C16_TFI_3000_3999,C16_TFI_4000_more,C16_TFI_Ns,C16_T_T
309101268,0,0,0,0,0,0,0,0,7,0,4,3,3,12,21,30,31,24,16,5,7,3,13,190,16,15,9,6,24,32,81,84,173,122,143,85,134,183,140,1241
309101269,0,0,0,0,0,0,0,0,3,0,0,3,4,7,8,8,14,13,11,0,4,3,12,110,12,3,9,5,29,19,41,39,130,111,122,73,101,128,86,906
309101270,0,0,0,0,0,0,3,5,21,4,21,24,41,71,75,75,142,78,41,10,11,9,76,706,86,31,55,51,157,177,400,374,988,626,520,258,273,343,468,4806
310011271,0,0,0,0,0,0,0,0,0,0,7,6,10,18,25,30,27,27,16,4,5,0,21,200,16,4,8,15,48,49,95,95,181,176,136,94,66,38,120,1129
310011272,0,0,0,0,0,0,0,5,10,8,21,11,25,29,35,34,61,36,21,8,11,3,44,347,28,13,33,26,63,71,165,136,365,259,227,120,104,37,200,1857
310011273,0,0,0,0,0,0,11,14,28,6,31,23,63,91,106,144,279,176,121,44,28,17,116,1270,84,23,58,42,148,179,433,387,1215,1137,1159,722,702,347,700,7342
310011274,0,0,0,0,0,0,22,30,52,15,80,95,117,167,142,161,247,84,38,12,10,3,154,1389,123,42,110,120,293,281,472,420,863,437,288,123,78,43,445,4128
310011275,0,0,0,0,0,0,5,3,3,0,9,0,18,14,18,34,74,44,24,10,7,4,32,293,16,3,15,6,53,32,107,96,292,216,319,239,268,158,174,2005
310011276,0,0,0,0,0,0,0,0,10,3,16,16,19,29,37,23,49,14,10,3,0,0,23,249,13,10,19,22,45,43,86,65,136,78,43,18,11,6,79,670
310021277,0,0,0,0,0,0,4,5,6,0,8,15,25,41,51,61,70,47,21,3,3,0,36,387,30,26,28,18,111,115,340,271,626,459,350,205,213,107,379,3282
310021278,0,0,0,0,0,0,3,6,0,3,3,11,24,26,31,29,23,10,4,0,0,3,26,194,23,12,14,11,88,59,244,135,278,141,112,46,43,30,161,1399
310021279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310021280,0,0,0,0,0,0,10,14,10,0,25,31,63,139,120,105,154,69,42,10,6,3,94,887,41,31,56,40,193,230,566,452,932,675,552,341,245,108,612,5066
310021281,0,0,0,0,0,0,4,10,11,7,18,34,46,87,86,89,142,53,17,9,11,4,71,668,26,25,28,42,133,163,382,290,707,478,414,228,176,89,419,3614
