SA2_MAINCODE_2016,C06_N_in_CF_1C,C06_N_in_CF_2C,C06_N_in_CF_3C,C06_N_in_Cou_fa_4mor_c,C06_N_in_CF_T,C06_1_149_CF_1C,C06_1_149_CF_2C,C06_1_149_CF_3C,C06_1_149_CF_4mC,C06_1_149_CF_T,C06_150_299_CF_1C,C06_150_299_CF_2C,C06_150_299_CF_3C,C06_150_299_CF_4mC,C06_150_299_CF_T,C06_300_399_CF_1C,C06_300_399_CF_2C,C06_300_399_CF_3C,C06_300_399_CF_4mC,C06_300_399_CF_T,C06_400_499_CF_1C,C06_400_499_CF_2C,C06_400_499_CF_3C,C06_400_499_CF_4mC,C06_400_499_CF_T,C06_500_649_CF_1C,C06_500_649_CF_2C,C06_500_649_CF_3C,C06_500_649_CF_4mC,C06_500_649_CF_T,C06_650_799_CF_1C,C06_650_799_CF_2C,C06_650_799_CF_3C,C06_650_799_CF_4mC,C06_650_799_CF_T,C06_800_999_CF_1C,C06_800_999_CF_2C,C06_800_999_CF_3C,C06_800_999_CF_4mC,C06_800_999_CF_T,C06_1000_1499_CF_1C,C06_1000_1499_CF_2C,C06_1000_1499_CF_3C,C06_1000_1499_CF_4mC,C06_1000_1499_CF_T,C06_1500_1999_CF_1C,C06_1500_1999_CF_2C,C06_1500_1999_CF_3C,C06_1500_1999_CF_4mC,C06_1500_1999_CF_T,C06_2000_2499_CF_1C,C06_2000_2499_CF_2C,C06_2000_2499_CF_3C,C06_2000_2499_CF_4mC,C06_2000_2499_CF_T,C06_2500_2999_CF_1C,C06_2500_2999_CF_2C,C06_2500_2999_CF_3C,C06_2500_2999_CF_4mC,C06_2500_2999_CF_T,C06_3000_3999_CF_1C,C06_3000_3999_CF_2C,C06_3000_3999_CF_3C,C06_3000_3999_CF_4mC,C06_3000_3999_CF_T,C06_4000m_CF_1C,C06_4000m_CF_2C,C06_4000m_CF_3C,C06_4000m_Cou_fa_4mo_ch,C06_4000m_CF_T,C06_Par_inc_st_CF_1C,C06_Par_inc_st_CF_2C,C06_Par_inc_st_CF_3C,C06_Par_inc_st_CF_4mC,C06_Par_inc_st_CF_T,C06_All_inc_ns_CF_1Ch,C06_All_inc_ns_CF_2C,C06_All_inc_ns_CF_3C,C06_All_inc_ns_CF_4mC,C06_All_inc_ns_CF_T,C06_Tot_CF_1C,C06_Tot_CF_2C,C06_Tot_CF_3C,C06_Tot_CF_4mC,C06_Tot_CF_T,C11_N_in_CF_1C,C11_N_in_CF_2C,C11_N_in_CF_3C,C11_N_in_Cou_fa_4mor_c,C11_N_in_CF_T,C11_1_149_CF_1C,C11_1_149_CF_2C,C11_1_149_CF_3C,C11_1_149_CF_4mC,C11_1_149_CF_T,C11_150_299_CF_1C,C11_150_299_CF_2C,C11_150_299_CF_3C,C11_150_299_CF_4mC,C11_150_299_CF_T,C11_300_399_CF_1C,C11_300_399_CF_2C,C11_300_399_CF_3C,C11_300_399_CF_4mC,C11_300_399_CF_T,C11_400_499_CF_1C,C11_400_499_CF_2C,C11_400_499_CF_3C,C11_400_499_CF_4mC,C11_400_499_CF_T,C11_500_649_CF_1C,C11_500_649_CF_2C,C11_500_649_CF_3C,C11_500_649_CF_4mC,C11_500_649_CF_T,C11_650_799_CF_1C,C11_650_799_CF_2C,C11_650_799_CF_3C,C11_650_799_CF_4mC,C11_650_799_CF_T,C11_800_999_CF_1C,C11_800_999_CF_2C,C11_800_999_CF_3C,C11_800_999_CF_4mC,C11_800_999_CF_T,C11_1000_1499_CF_1C,C11_1000_1499_CF_2C,C11_1000_1499_CF_3C,C11_1000_1499_CF_4mC,C11_1000_1499_CF_T,C11_1500_1999_CF_1C,C11_1500_1999_CF_2C,C11_1500_1999_CF_3C,C11_1500_1999_CF_4mC,C11_1500_1999_CF_T,C11_2000_2499_CF_1C,C11_2000_2499_CF_2C,C11_2000_2499_CF_3C,C11_2000_2499_CF_4mC,C11_2000_2499_CF_T,C11_2500_2999_CF_1C,C11_2500_2999_CF_2C,C11_2500_2999_CF_3C,C11_2500_2999_CF_4mC,C11_2500_2999_CF_T,C11_3000_3999_CF_1C,C11_3000_3999_CF_2C,C11_3000_3999_CF_3C,C11_3000_3999_CF_4mC,C11_3000_3999_CF_T,C11_4000m_CF_1C,C11_4000m_CF_2C,C11_4000m_CF_3C,C11_4000m_Cou_fa_4mo_ch,C11_4000m_CF_T,C11_Par_inc_st_CF_1C,C11_Par_inc_st_CF_2C,C11_Par_inc_st_CF_3C,C11_Par_inc_st_CF_4mC,C11_Par_inc_st_CF_T,C11_All_inc_ns_CF_1Ch,C11_All_inc_ns_CF_2C,C11_All_inc_ns_CF_3C,C11_All_inc_ns_CF_4mC,C11_All_inc_ns_CF_T,C11_Tot_CF_1C,C11_Tot_CF_2C,C11_Tot_CF_3C,C11_Tot_CF_4mC,C11_Tot_CF_T,C16_N_in_CF_1C,C16_N_in_CF_2C,C16_N_in_CF_3C,C16_N_in_Cou_fa_4mor_c,C16_N_in_CF_T,C16_1_149_CF_1C,C16_1_149_CF_2C,C16_1_149_CF_3C,C16_1_149_CF_4mC,C16_1_149_CF_T,C16_150_299_CF_1C,C16_150_299_CF_2C,C16_150_299_CF_3C,C16_150_299_CF_4mC,C16_150_299_CF_T,C16_300_399_CF_1C,C16_300_399_CF_2C,C16_300_399_CF_3C,C16_300_399_CF_4mC,C16_300_399_CF_T,C16_400_499_CF_1C,C16_400_499_CF_2C,C16_400_499_CF_3C,C16_400_499_CF_4mC,C16_400_499_CF_T,C16_500_649_CF_1C,C16_500_649_CF_2C,C16_500_649_CF_3C,C16_500_649_CF_4mC,C16_500_649_CF_T
101041017,0,0,3,0,3,3,4,4,0,11,0,0,0,0,7,4,0,0,0,3,5,3,4,0,16,28,12,9,7,58,17,27,7,9,57,22,18,16,8,57,70,75,36,13,192,27,32,16,12,85,18,14,5,0,40,5,11,4,5,23,7,0,3,0,8,0,0,0,0,3,23,29,11,17,83,5,3,3,0,15,242,236,114,61,660,0,0,0,0,3,0,0,0,0,0,3,0,0,0,5,0,0,0,0,3,3,3,0,0,10,10,10,0,0,21,11,15,6,3,34,20,17,18,5,62,51,60,25,14,159,38,25,15,7,90,18,27,6,7,69,20,23,11,0,48,11,12,6,0,29,6,0,0,0,6,24,29,14,13,71,8,5,0,0,14,223,223,115,59,621,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,3,4,3,0,0,4,8,6,0,0,9
101041018,0,0,0,0,0,3,4,0,0,3,0,0,0,0,4,6,0,0,0,11,14,4,0,3,20,32,23,9,3,59,14,17,7,6,54,24,26,9,3,65,66,81,24,16,181,29,48,14,11,94,17,15,3,0,42,9,13,3,0,25,6,10,3,0,15,0,3,4,0,5,32,37,11,9,88,6,4,0,0,18,260,293,92,51,696,0,0,0,0,3,0,0,0,0,0,3,0,0,0,6,5,0,0,0,6,3,0,0,0,3,13,7,0,3,26,19,10,6,3,37,21,26,8,10,65,65,56,24,13,157,34,36,8,4,85,24,28,8,0,57,13,14,7,4,38,15,16,3,0,34,9,4,3,0,14,41,38,21,14,114,7,4,0,0,7,267,235,97,48,650,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,3,3,0,0,3,3,3,0,0,8
101041019,0,0,0,0,0,0,3,0,0,3,3,0,0,0,4,0,6,0,0,6,6,10,3,0,23,19,25,7,9,58,13,23,6,5,47,26,32,9,7,66,75,101,57,18,250,40,44,23,5,123,15,18,12,0,51,8,16,3,4,33,4,4,7,0,14,0,3,0,0,3,30,42,18,5,103,0,3,5,0,10,257,323,157,59,797,0,0,0,0,0,0,0,0,0,0,3,0,3,0,5,3,0,0,0,3,0,3,0,0,3,5,8,5,3,27,18,16,8,3,43,31,25,7,0,68,72,79,35,14,197,54,70,20,14,155,41,47,23,14,119,19,20,3,3,43,17,19,10,0,44,9,3,0,0,9,41,38,25,3,107,4,9,3,0,11,316,337,133,52,840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,3,0,3,10,3,0,0,16
101041020,3,4,0,0,9,6,0,0,0,6,12,3,8,3,18,10,4,3,0,14,10,16,5,0,41,33,36,21,7,101,25,30,14,3,74,36,47,22,16,113,97,122,46,31,298,44,47,18,4,110,18,16,5,3,44,14,17,5,0,37,8,3,3,5,14,0,0,0,0,3,55,59,29,23,164,10,5,0,3,20,382,419,183,100,1077,3,9,0,0,8,0,0,0,0,0,3,3,0,0,5,0,9,3,0,13,4,8,0,0,12,22,22,5,7,53,27,19,12,6,58,37,41,16,3,97,80,67,41,24,208,53,47,24,9,133,22,29,24,9,89,15,21,4,0,42,7,16,4,4,35,4,7,4,0,13,61,61,33,11,164,9,3,3,0,15,351,356,180,70,953,0,3,0,0,0,0,5,0,0,7,0,0,0,0,0,0,3,0,0,3,6,4,0,0,10,5,14,0,0,25
101041021,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,3,0,0,0,3,3,3,0,0,6,6,6,0,3,18,6,8,5,0,14,7,7,5,0,22,24,19,8,8,59,9,13,12,3,31,4,7,3,0,17,0,0,3,0,8,0,5,0,0,6,0,0,0,0,0,11,14,12,0,40,0,5,0,0,5,66,88,56,14,222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,3,0,0,3,3,9,3,0,12,10,3,0,0,12,21,19,8,0,53,14,17,4,3,34,14,7,10,5,32,7,10,0,0,17,7,4,3,0,17,4,3,3,0,11,21,10,13,3,42,0,0,0,0,0,91,89,51,17,249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
101041022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101041023,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,7,9,0,0,16,11,4,0,0,14,7,5,7,3,22,13,13,7,0,38,20,30,17,10,77,15,11,12,0,37,7,4,0,0,21,0,3,0,0,4,3,0,0,0,4,0,0,0,0,0,23,20,16,7,58,3,0,0,0,3,114,101,63,26,304,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,12,4,3,3,0,12,11,4,4,0,18,21,31,16,4,74,26,8,10,0,44,18,18,0,0,33,7,3,3,0,12,0,0,4,0,6,3,0,0,0,3,13,13,10,4,44,4,0,0,0,6,113,87,53,12,263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,3,0,0,3
101041024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,7,6,3,0,0,14,8,12,3,5,26,14,11,0,3,26,15,7,12,0,35,33,32,16,4,88,14,8,3,3,25,3,5,3,0,12,0,3,0,0,7,0,0,0,0,6,0,0,0,0,0,8,17,10,3,40,0,0,0,0,0,120,97,49,25,277,0,0,0,0,0,0,3,0,0,3,3,0,0,0,8,0,0,0,0,0,0,3,0,0,3,15,4,3,0,17,11,8,0,0,13,10,13,7,4,40,40,22,11,5,69,14,20,13,0,44,13,5,8,3,27,0,7,4,0,10,8,3,0,0,14,0,3,0,0,3,24,23,6,7,64,0,3,0,0,4,133,110,50,21,326,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,3,0,0,3,0,3,0,0,9,0,0,0,0,0
101041025,0,0,0,0,0,3,0,0,0,6,6,4,0,0,10,0,4,0,0,3,9,3,0,0,13,25,20,4,4,54,23,18,7,3,55,30,33,8,4,80,81,131,44,10,269,57,67,24,6,151,26,24,11,3,62,17,18,7,3,39,5,7,0,0,11,0,3,0,0,3,47,44,17,8,113,5,3,0,0,9,324,381,126,42,873,0,0,0,0,0,0,0,0,0,0,5,3,0,3,10,0,3,0,0,3,3,0,0,0,3,8,9,3,3,24,23,13,5,3,43,22,30,10,5,66,81,66,25,9,185,43,51,33,9,136,50,47,15,8,121,19,24,8,3,62,24,31,8,0,65,3,3,0,3,12,45,35,21,6,110,0,4,0,4,9,326,328,138,50,838,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,7,7,3,5,0,10
101041026,0,5,0,0,3,0,3,0,0,5,0,4,3,0,10,4,3,3,0,7,3,7,0,0,15,28,33,17,0,76,26,19,5,4,52,27,25,12,7,66,68,85,25,16,185,35,42,17,4,102,8,14,4,0,29,11,8,3,0,24,3,6,0,0,10,0,0,3,0,3,53,40,21,8,125,5,5,0,0,13,281,296,115,42,735,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,4,13,11,7,0,24,16,7,11,3,28,20,27,10,6,58,78,59,23,11,178,44,50,17,10,124,30,24,12,5,67,6,10,3,3,25,10,8,4,0,28,3,0,0,0,5,34,44,21,8,103,6,3,3,0,10,268,253,104,46,665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,9,5,6,0,0,8
