SA2_MAINCODE_2016,C11_850_949_Oth_lan_typ,C11_850_949_LLT_NS,C11_850_949_Tot,C11_950_over_REA,C11_950_over_ST_HA,C11_950over_Pe_no_sa_ho,C11_950ov_H_co_op_c_ch_gr,C11_950over_Oth_lan_typ,C11_950over_LLT_NS,C11_950_over_Tot,C11_R_NS_REA,C11_R_NS_ST_HA,C11_R_NS_Pe_no_sa_ho,C11_R_NS_H_co_op_c_ch_gr,C11_R_NS_Oth_lan_typ,C11_R_NS_Land_typ_ns,C11_Rent_not_statd_Tot,C11_Tot_REA,C11_Tot_ST_HA,C11_T_Pe_no_sa_ho,C11_Tot_Ho_co_op_co_ch_gr,C11_Tot_Oth_lan_typ,C11_Tot_LLT_NS,C11_T_T,C16_0_74_REA,C16_0_74_ST_HA,C16_0_74_Per_no_sa_ho,C16_0_74_Ho_co_op_c_c_g,C16_0_74_Oth_land_typ,C16_0_74_LLT_NS,C16_0_74_Tot,C16_75_99_REA,C16_75_99_ST_HA,C16_75_99_Pe_no_sa_ho,C16_75_99_H_c_op_c_c_gr,C16_75_99_Oth_lan_typ,C16_75_99_Lan_type_ns,C16_75_99_Tot,C16_100_149_REA,C16_100_149_ST_HA,C16_100_149_Pe_no_sa_ho,C16_100_149_H_c_o_c_c_g,C16_100_149_Ot_lan_ty,C16_100_149_Lan_typ_ns,C16_100_149_Tot,C16_150_199_REA,C16_150_199_ST_HA,C16_150_199_Pe_no_sa_ho,C16_150_199_H_c_o_c_c_g,C16_150_199_Ot_lan_ty,C16_150_199_Lan_ty_ns,C16_150_199_Tot,C16_200_224_REA,C16_200_224_ST_HA,C16_200_224_Pe_no_sa_ho,C16_200_224_H_c_o_c_c_g,C16_200_224_Ot_lan_ty,C16_200_224_Lan_ty_ns,C16_200_224_Tot,C16_225_274_REA,C16_225_274_ST_HA,C16_225_274_Pe_no_sa_ho,C16_225_274_H_c_o_c_c_g,C16_225_274_Ot_la_typ,C16_225_274_Lan_ty_ns,C16_225_274_Tot,C16_275_349_REA,C16_275_349_ST_HA,C16_275_349_Pe_no_sa_ho,C16_275_349_H_c_o_c_c_g,C16_275_349_Ot_lan_ty,C16_275_349_Lan_ty_ns,C16_275_349_Tot,C16_350_449_REA,C16_350_449_ST_HA,C16_350_449_Pe_no_sa_ho,C16_350_449_H_c_o_c_c_g,C16_350_449_Ot_lan_ty,C16_350_449_Lan_ty_ns,C16_350_449_Tot,C16_450_549_REA,C16_450_549_ST_HA,C16_450_549_Pe_no_sa_ho,C16_450_549_H_c_o_c_c_g,C16_450_549_Oth_lan_typ,C16_450_549_Lan_ty_ns,C16_450_549_Tot,C16_550_649_REA,C16_550_649_ST_HA,C16_550_649_Pe_no_sa_ho,C16_550_649_H_c_o_c_c_g,C16_550_649_Ot_lan_ty,C16_550_649_Lan_ty_ns,C16_550_649_Tot,C16_650_749_REA,C16_650_749_ST_HA,C16_650_749_Pe_no_sa_ho,C16_650_749_H_co_op_c_ch_gr,C16_650_749_Oth_lan_typ,C16_650_749_LLT_NS,C16_650_749_Tot,C16_750_849_REA,C16_750_849_ST_HA,C16_750_849_Pe_no_sa_ho,C16_750_849_H_co_op_c_ch_gr,C16_750_849_Oth_lan_typ,C16_750_849_LLT_NS,C16_750_849_Tot,C16_850_950_REA,C16_850_949_ST_HA,C16_850_949_Pe_no_sa_ho,C16_850_949_H_co_op_c_ch_gr,C16_850_949_Oth_lan_typ,C16_850_949_LLT_NS,C16_850_949_Tot,C16_950_over_REA,C16_950_over_ST_HA,C16_950over_Pe_no_sa_ho,C16_950ov_H_co_op_c_ch_gr,C16_950over_Oth_lan_typ,C16_950over_LLT_NS,C16_950_over_Tot,C16_R_NS_REA,C16_R_NS_ST_HA,C16_R_NS_Pe_no_sa_ho,C16_R_NS_H_co_op_c_ch_gr,C16_R_NS_Oth_lan_typ,C16_R_NS_Land_typ_ns,C16_Rent_not_statd_Tot,C16_Tot_REA,C16_Tot_ST_HA,C16_T_Pe_no_sa_ho,C16_Tot_Ho_co_op_co_ch_gr,C16_Tot_Oth_lan_typ,C16_Tot_LLT_NS,C16_T_T
101041017,0,0,0,3,0,3,0,0,0,8,7,7,3,0,10,0,24,476,152,247,33,50,27,979,0,3,3,0,4,11,23,0,7,3,4,0,0,11,3,56,9,12,3,4,84,25,41,21,12,14,0,110,33,11,41,4,8,0,90,105,17,47,4,5,0,180,161,25,63,0,4,0,255,135,0,28,0,6,0,170,14,0,4,0,4,0,18,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,12,5,3,8,0,39,489,176,222,32,52,12,989
101041018,0,0,0,0,0,0,0,0,0,3,3,6,9,0,3,0,28,561,63,225,16,38,23,922,0,0,15,0,0,12,26,0,0,0,0,0,0,7,3,13,11,3,3,0,28,27,18,28,11,4,0,85,47,5,17,0,4,3,78,129,3,28,3,0,3,175,166,10,56,6,4,0,237,168,3,45,0,0,0,218,11,0,7,0,0,0,18,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,11,3,5,0,26,564,62,216,24,18,18,905
101041019,0,0,0,4,0,0,0,0,0,4,7,15,11,3,4,0,41,409,153,205,42,42,31,889,0,3,17,0,3,9,34,0,14,0,3,0,0,17,3,41,18,16,3,4,84,26,32,22,3,5,0,92,44,7,26,3,3,0,84,95,14,35,3,3,0,152,197,12,50,3,9,0,277,114,0,16,3,0,0,130,9,0,0,0,0,0,11,3,0,0,0,0,0,6,0,0,0,0,3,0,3,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,12,9,0,9,0,31,489,146,193,41,32,25,923
101041020,0,0,0,0,0,3,0,0,0,3,3,0,17,0,12,0,30,128,7,260,7,47,37,482,0,0,53,0,19,30,103,0,0,4,0,0,0,3,3,3,36,4,0,0,55,6,0,34,0,6,0,51,15,0,37,0,10,3,61,37,0,31,0,3,0,73,32,0,30,0,4,0,71,14,0,3,0,0,0,22,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,16,0,0,3,19,115,8,246,9,41,37,461
101041021,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,3,9,162,0,95,8,18,4,296,0,0,6,0,4,13,25,0,0,0,0,0,0,7,0,0,3,0,3,0,10,3,0,10,3,8,0,32,8,0,9,0,0,0,15,33,0,24,0,0,0,55,40,0,25,0,0,0,67,39,0,15,0,3,0,52,12,0,4,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,10,0,0,0,10,135,3,107,6,21,17,289
101041022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101041023,0,0,0,0,0,0,0,0,0,0,0,5,3,0,10,0,21,198,128,92,8,26,13,476,3,3,4,0,3,5,17,0,0,0,0,3,0,3,0,41,8,4,5,0,60,27,23,9,3,3,0,60,25,9,9,0,0,0,49,57,7,18,4,0,0,82,74,14,21,0,0,0,103,29,0,5,0,7,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,9,212,102,81,10,23,11,437
101041024,0,0,0,0,0,0,0,0,0,3,0,0,9,0,5,0,13,33,14,125,16,25,17,230,0,0,21,0,6,12,47,0,0,0,0,0,0,0,3,3,16,0,0,0,21,3,7,20,6,3,0,39,3,0,15,0,3,0,21,5,0,7,0,3,0,19,16,0,16,0,0,0,25,10,0,11,0,0,0,21,3,0,3,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,10,36,12,118,5,28,17,219
101041025,0,0,0,4,0,8,0,3,0,11,17,0,17,6,4,3,41,639,40,276,42,54,30,1080,3,3,16,0,9,20,42,0,0,0,0,6,0,11,3,11,21,13,3,0,55,64,9,31,10,3,0,124,62,4,45,3,3,0,114,117,3,41,0,3,0,169,136,0,58,0,9,0,204,180,0,41,0,0,3,230,21,0,10,0,0,0,29,3,0,3,0,0,0,4,3,0,0,0,0,0,4,0,0,0,0,0,0,4,3,0,0,0,0,0,3,4,0,0,0,0,0,9,11,4,18,0,10,0,45,612,41,293,29,54,24,1050
101041026,0,0,0,3,0,0,0,0,0,3,4,6,17,0,6,0,28,346,128,213,15,35,25,756,3,4,20,0,3,17,51,0,5,0,3,0,0,4,7,30,20,0,0,0,55,36,19,32,5,3,0,100,27,10,30,3,3,0,67,89,16,50,4,6,0,159,120,13,58,0,0,0,193,55,0,28,0,3,0,88,13,0,3,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,12,8,3,0,0,26,343,112,242,16,25,22,766
101041027,0,0,0,0,0,0,0,0,0,3,8,5,9,8,7,4,35,433,80,250,42,59,29,896,0,0,24,0,5,23,61,0,0,0,0,6,0,10,17,39,19,5,8,3,90,57,10,37,17,11,5,137,59,12,40,0,4,3,118,102,10,52,0,3,0,165,135,10,41,0,4,4,195,33,0,14,0,0,0,53,0,0,0,0,3,0,6,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,3,4,0,0,0,3,0,8,9,0,16,0,7,0,33,409,89,261,30,51,36,882
101051539,0,0,0,0,0,9,0,0,0,13,21,28,20,7,12,3,92,1299,559,531,60,132,41,2630,12,42,27,4,10,19,108,3,34,3,6,0,0,48,34,189,28,20,17,3,299,152,105,66,39,16,11,388,116,36,69,0,5,0,228,302,49,87,3,13,3,456,576,26,120,3,22,4,750,336,8,56,0,8,3,409,37,0,4,0,0,0,48,3,0,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,34,29,17,10,11,0,97,1607,516,477,91,94,40,2835
101051540,0,0,0,0,0,3,0,0,0,6,3,0,26,4,14,0,54,246,15,317,22,97,73,771,0,0,72,5,32,62,165,0,0,10,0,0,0,16,17,3,31,10,10,0,68,21,7,41,0,3,0,82,32,4,43,0,3,0,85,61,4,37,0,3,0,107,66,0,48,0,0,0,110,40,0,18,0,4,0,59,11,0,3,0,0,0,16,0,0,0,0,0,0,3,0,0,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,24,0,13,0,38,263,21,325,19,71,61,764
101061541,0,0,0,0,0,3,0,0,0,3,0,8,5,0,3,0,16,241,69,160,42,36,12,551,0,0,18,0,6,6,28,0,0,0,16,3,0,17,3,0,7,4,0,0,25,9,22,12,6,0,0,49,9,3,3,0,3,0,24,23,16,18,0,0,0,63,116,19,51,0,5,0,183,95,0,29,0,4,0,135,16,0,3,0,0,0,21,3,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,4,0,0,3,17,280,74,155,31,23,13,571
101061542,0,0,0,0,0,0,0,0,0,0,0,0,12,0,19,3,30,137,0,288,3,88,56,576,0,0,55,0,27,49,135,0,0,0,0,3,0,7,0,0,17,0,5,0,23,12,0,19,0,5,0,33,4,0,26,0,6,0,38,19,0,35,0,6,0,58,26,0,48,0,3,0,72,31,0,38,0,4,0,71,19,0,26,0,3,0,57,18,0,6,0,0,0,27,4,0,5,0,0,0,7,0,0,3,0,0,0,7,4,0,0,0,0,0,3,0,0,6,0,0,0,6,3,3,16,4,21,0,37,138,3,298,9,84,51,578
101061543,0,0,0,0,0,4,0,0,0,3,3,7,13,0,3,3,29,669,123,220,26,36,25,1114,3,5,22,0,12,21,60,4,8,0,0,0,0,14,31,26,29,7,3,3,94,125,30,40,9,8,7,212,108,30,46,3,7,3,193,262,13,44,3,5,0,334,165,0,24,0,3,0,196,45,0,6,0,0,0,49,3,0,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,11,8,10,3,3,0,37,755,116,226,28,41,32,1206
101061544,0,0,0,0,0,3,0,3,0,3,0,0,14,3,14,0,31,151,23,258,14,117,76,640,0,0,57,0,48,62,168,0,0,3,0,0,0,3,14,4,41,9,8,0,78,41,18,56,0,5,0,125,26,0,48,0,7,0,78,37,0,31,0,7,0,72,25,0,16,0,0,0,37,0,0,4,0,0,0,5,0,0,3,0,0,0,3,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,15,0,22,0,40,146,25,275,20,101,67,626
102011028,0,0,3,3,0,0,0,0,0,5,5,0,7,4,0,0,12,392,0,116,6,15,10,539,0,0,10,0,3,9,29,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,7,5,0,7,0,0,0,13,19,0,10,0,4,0,32,32,0,16,0,0,0,50,106,0,28,0,0,0,138,101,0,24,0,0,0,124,49,0,11,0,0,0,59,18,0,3,0,0,0,19,17,0,0,0,0,0,18,10,0,0,0,0,0,10,6,0,0,0,0,0,6,4,0,4,0,0,0,7,365,0,119,0,12,16,505
102011029,0,0,0,0,0,0,0,0,0,3,4,0,4,0,0,3,12,372,0,157,6,40,26,600,0,0,13,3,3,14,29,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,0,11,0,14,0,31,6,0,13,0,10,0,28,13,0,15,0,10,0,34,34,0,32,0,0,0,71,100,0,25,0,3,0,131,78,0,11,0,0,0,96,39,0,7,0,0,0,51,12,0,3,0,0,0,15,7,0,0,0,0,0,8,4,0,0,0,0,0,4,0,0,0,0,0,0,3,5,0,13,0,0,0,19,321,4,143,6,36,22,523
102011030,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,16,114,0,162,0,54,29,361,0,0,30,0,17,32,72,0,0,0,0,3,0,3,0,0,8,0,3,0,12,7,0,17,0,5,0,26,19,0,29,0,0,0,41,17,0,18,0,4,0,39,21,0,14,0,8,0,47,33,0,25,0,3,0,57,20,0,11,0,4,0,36,4,0,3,0,0,0,8,0,0,0,0,0,0,0,3,0,3,0,0,0,7,0,0,0,0,0,0,0,3,0,4,0,0,0,6,12,0,14,0,8,0,32,141,0,176,0,42,33,403
102011031,0,0,0,0,0,0,0,0,0,0,3,7,9,3,7,3,38,404,133,181,31,91,24,868,0,8,17,0,3,9,33,0,4,0,0,0,0,3,0,47,6,4,3,0,67,0,20,8,8,25,3,66,0,13,12,3,0,0,31,18,13,12,10,17,0,67,68,18,33,3,11,0,129,150,7,35,0,3,0,198,115,0,21,0,0,0,140,69,0,4,0,0,0,73,21,0,5,0,0,0,31,11,0,4,0,0,0,11,4,0,0,0,0,0,4,0,0,0,0,3,0,4,5,8,4,0,7,0,28,460,128,170,29,68,19,874
102011032,0,0,4,0,0,4,0,0,0,6,27,45,15,4,4,6,108,2129,640,431,118,47,48,3413,0,33,18,4,5,17,80,0,28,3,6,0,0,38,4,250,13,25,3,4,305,44,123,21,59,3,5,259,41,36,32,16,0,0,124,136,39,62,12,6,0,247,688,57,95,5,4,3,847,1081,15,112,7,5,0,1225,227,0,32,0,0,0,258,60,0,4,0,0,0,63,9,0,0,0,0,0,9,0,0,4,0,0,0,7,4,0,0,0,0,0,3,0,0,0,0,0,0,7,25,43,18,13,8,3,103,2325,622,415,142,41,32,3574
102011033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,253,70,64,4,7,0,399,0,0,8,0,0,3,12,0,0,0,0,0,0,3,0,18,3,0,0,0,23,3,10,3,0,0,0,11,3,7,10,0,0,0,19,7,5,5,0,0,0,13,13,8,16,0,0,0,35,126,14,31,0,0,0,176,88,0,16,0,0,0,104,19,0,0,0,0,0,19,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,9,259,62,87,0,8,6,421
102011034,0,0,0,0,0,0,0,0,0,3,6,7,3,0,0,0,13,230,143,97,19,16,11,518,0,8,7,0,0,3,26,0,4,0,0,0,0,8,0,58,3,9,8,0,79,0,23,8,3,0,0,30,3,10,7,0,0,0,20,8,9,3,3,0,0,19,33,18,14,0,0,0,72,115,0,31,0,3,0,147,60,0,13,0,0,0,74,15,0,4,0,0,0,17,0,0,0,0,0,0,3,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,11,0,0,0,0,17,237,139,91,18,17,9,515
102011035,0,0,0,3,0,0,0,0,0,3,0,7,4,0,0,0,20,201,88,99,7,4,10,411,0,3,6,0,0,3,14,0,0,0,0,0,0,0,0,21,0,4,0,0,27,0,9,3,0,0,0,16,0,10,0,0,0,0,16,3,5,13,0,0,0,19,41,13,30,0,0,0,88,113,4,30,3,0,0,162,52,0,5,0,0,0,62,20,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,4,0,0,0,14,238,79,96,11,8,3,438
