SA2_MAINCODE_2016,C16_1500_1999_R100_149,C16_1500_1999_R150_199,C16_1500_1999_R200_224,C16_1500_1999_R225_274,C16_1500_1999_R275_349,C16_1500_1999_R350_449,C16_1500_1999_R450_549,C16_1500_1999_R550_649,C16_1500_1999_R650m,C16_1500_1999_R_NS,C16_1500_1999_R_Tot,C16_2000_2499_R0_74,C16_2000_2499_R75_99,C16_2000_2499_R100_149,C16_2000_2499_R150_199,C16_2000_2499_R200_224,C16_2000_2499_R225_274,C16_2000_2499_R275_349,C16_2000_2499_R350_449,C16_2000_2499_R450_549,C16_2000_2499_R550_649,C16_2000_2499_R650m,C16_2000_2499_R_NS,C16_2000_2499_R_Tot,C16_2500_2999_R0_74,C16_2500_2999_R75_99,C16_2500_2999_R100_149,C16_2500_2999_R150_199,C16_2500_2999_R200_224,C16_2500_2999_R225_274,C16_2500_2999_R275_349,C16_2500_2999_R350_449,C16_2500_2999_R450_549,C16_2500_2999_R550_649,C16_2500_2999_R650m,C16_2500_2999_R_NS,C16_2500_2999_R_Tot,C16_3000_3999_R0_74,C16_3000_3999_R75_99,C16_3000_3999_R100_149,C16_3000_3999_R150_199,C16_3000_3999_R200_224,C16_3000_3999_R225_274,C16_3000_3999_R275_349,C16_3000_3999_R350_449,C16_3000_3999_R450_549,C16_3000_3999_R550_649,C16_3000_3999_R650m,C16_3000_3999_R_NS,C16_3000_3999_R_Tot,C16_4000m_R0_74,C16_4000m_R75_99,C16_4000m_R100_149,C16_4000m_R150_199,C16_4000m_R200_224,C16_4000m_R225_274,C16_4000m_R275_349,C16_4000m_R350_449,C16_4000m_R450_549,C16_4000m_R550_649,C16_4000m_R650m,C16_4000m_R_NS,C16_4000m_R_Tot,C16_PI_S_R0_74,C16_PI_S_R75_99,C16_PI_S_R100_149,C16_PI_S_R150_199,C16_PI_S_R200_224,C16_PI_S_R225_274,C16_PI_S_R275_349,C16_PI_S_R350_449,C16_PI_S_R450_549,C16_PI_S_R550_649,C16_PI_S_R650m,C16_PI_S_R_NS,C16_PI_S_R_Tot,C16_AI_NS_R0_74,C16_AI_NS_R75_99,C16_AI_NS_R100_149,C16_AI_NS_R150_199,C16_AI_NS_R200_224,C16_AI_NS_R225_274,C16_AI_NS_R275_349,C16_AI_NS_R350_449,C16_AI_NS_R450_549,C16_AI_NS_R550_649,C16_AI_NS_R650m,C16_AI_NS_R_NS,C16_AI_NS_R_Tot,C16_Tot_R0_74,C16_Tot_R75_99,C16_Tot_R100_149,C16_Tot_R150_199,C16_Tot_R200_224,C16_Tot_R225_274,C16_Tot_R275_349,C16_Tot_R350_449,C16_Tot_R450_549,C16_Tot_R550_649,C16_Tot_R650m,C16_Tot_R_NS,C16_Tot_R_Tot
309061247,0,7,3,0,13,43,19,6,0,0,94,0,0,0,0,0,0,12,27,12,4,5,0,65,0,0,0,0,0,3,0,11,9,3,4,0,27,0,0,0,0,0,0,3,7,6,3,0,0,21,0,0,0,0,0,0,0,3,4,0,3,0,11,0,0,0,0,0,3,3,22,13,3,3,0,48,0,0,0,0,0,0,0,0,0,0,0,0,6,11,0,20,18,8,28,112,258,91,31,22,12,613
309061248,0,3,0,3,35,174,62,5,3,0,298,0,0,0,0,0,8,26,100,52,4,0,4,195,0,0,0,0,0,0,6,45,16,10,3,0,85,0,0,3,0,3,0,8,22,13,3,3,4,53,0,0,0,0,0,0,0,4,7,4,0,0,22,3,0,6,4,3,5,22,66,21,10,0,8,143,0,4,12,5,3,4,7,6,0,0,0,12,63,61,40,152,170,61,106,423,929,253,62,27,82,2363
309061249,0,0,0,0,15,212,122,12,3,3,372,3,0,0,0,0,3,3,140,96,13,7,4,278,0,0,0,0,0,0,0,61,59,9,0,0,130,0,0,0,0,0,0,3,34,49,6,10,0,111,0,0,0,0,0,0,0,9,12,9,13,0,44,0,0,0,3,0,3,8,73,63,6,3,9,160,0,0,0,0,0,0,0,6,4,0,0,3,22,24,0,6,12,14,20,112,1081,570,69,52,44,1984
309061250,0,0,3,3,0,6,4,10,8,0,33,3,0,0,0,0,3,0,10,3,5,10,0,30,0,0,0,0,0,0,0,3,3,5,6,0,19,0,0,0,0,0,0,0,0,0,3,9,0,20,0,0,0,0,0,0,0,0,0,3,9,0,12,0,0,0,0,5,0,0,0,6,3,0,0,19,0,0,0,0,0,0,0,0,0,0,3,0,6,11,0,9,5,12,12,24,35,37,37,55,11,249
309071251,3,0,0,0,47,243,102,14,6,3,426,0,0,0,0,0,0,20,158,110,23,8,3,324,0,0,0,0,0,0,4,71,64,10,7,0,160,0,0,0,0,0,0,4,45,58,18,9,3,134,0,0,0,0,0,0,3,10,27,14,13,0,64,0,0,0,0,0,0,19,84,31,13,4,3,163,0,0,0,0,0,0,6,9,4,3,0,12,35,15,4,14,9,6,18,410,1206,518,118,71,31,2413
309071252,0,0,0,3,8,67,40,13,23,3,163,0,0,0,0,0,3,9,44,43,20,9,0,135,0,0,0,0,0,0,8,11,31,16,9,0,80,0,0,0,0,0,0,3,9,20,22,30,3,91,0,0,0,0,0,0,0,3,4,8,33,5,54,4,0,0,3,0,0,17,24,16,19,13,0,102,0,0,0,0,0,0,0,3,0,0,0,7,14,29,4,23,19,15,36,165,356,225,126,141,42,1179
309071253,0,0,4,0,0,54,62,20,26,3,172,3,0,0,0,3,3,4,32,47,31,27,3,157,3,0,0,0,0,0,0,19,33,19,22,0,97,0,0,0,0,0,4,0,18,28,31,42,0,127,0,0,0,0,0,0,0,3,15,17,51,0,88,11,0,0,0,0,0,0,22,29,12,26,0,98,0,0,0,0,0,0,0,4,0,0,5,6,12,41,0,3,13,13,23,28,351,341,159,243,24,1242
309071254,0,0,0,0,3,15,0,0,5,0,39,7,0,0,0,0,0,3,10,3,0,3,0,36,0,0,0,0,0,0,3,0,5,0,0,0,11,3,0,0,0,0,0,0,4,3,0,4,0,18,0,0,0,0,0,0,0,3,0,0,0,0,9,3,0,0,3,0,0,0,9,5,3,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,5,33,3,12,13,14,28,46,90,31,17,15,14,322
309071255,0,0,0,3,18,247,62,7,3,3,347,4,0,0,0,3,3,9,233,44,14,3,4,318,0,0,0,3,0,0,3,104,29,9,3,0,153,0,0,0,0,0,0,3,44,26,7,5,3,87,0,0,0,0,0,0,0,21,13,0,9,0,53,0,0,0,0,0,0,6,111,30,7,3,3,164,0,0,0,0,0,0,3,9,0,0,0,6,16,32,0,5,27,4,62,111,1193,288,63,35,42,1855
309071256,0,0,3,3,22,102,71,8,7,3,218,0,0,0,0,0,0,15,76,57,10,4,0,171,0,0,0,3,0,3,3,29,35,7,4,0,92,0,0,0,0,0,0,4,10,26,6,3,0,57,0,0,0,0,0,0,0,10,6,10,3,0,21,0,0,0,0,0,3,19,44,25,5,8,7,106,0,0,0,0,0,0,8,3,0,0,0,3,19,17,0,8,24,16,31,304,536,305,60,33,26,1358
309071257,0,0,0,0,32,256,44,0,6,0,339,0,0,0,0,0,0,18,187,49,3,0,0,257,0,0,0,0,0,0,5,77,26,4,0,3,118,0,0,0,0,0,0,0,45,20,4,3,0,74,0,0,0,0,0,0,0,22,5,0,0,0,31,0,0,0,0,0,0,8,76,27,3,0,0,116,0,0,0,0,0,0,0,12,3,0,0,8,20,4,0,10,9,9,11,252,1269,254,16,11,21,1871
309071258,0,3,0,0,25,500,180,17,6,8,741,5,0,0,0,0,0,17,328,148,20,6,7,527,0,0,0,0,0,3,3,162,75,23,6,0,276,0,0,0,0,0,0,0,99,69,27,12,0,215,0,0,0,0,0,0,0,30,31,13,13,3,91,0,0,0,0,3,3,13,199,77,12,6,9,321,3,0,0,0,0,0,3,13,4,0,0,8,37,37,0,14,27,19,43,168,2392,815,130,72,68,3793
309081259,0,0,0,0,0,13,10,3,6,0,41,0,0,0,0,0,0,4,14,13,5,11,0,51,3,0,0,0,0,0,0,4,5,0,6,0,19,0,0,0,0,0,0,0,5,10,8,13,0,34,0,0,0,0,0,0,0,0,0,0,9,0,14,3,0,0,0,0,0,4,5,4,6,7,0,25,0,0,0,0,0,0,5,0,0,0,0,4,7,16,0,4,5,9,17,48,73,68,45,68,12,358
