SA2_MAINCODE_2016,C16_75_99_CF_CU15_NDS,C16_75_99_CF_NCU15_DS,C16_75_99_CF_NDCO,C16_75_99_CF_T,C16_100_149_CF_NC,C16_100_149_CF_Cu15DS_,C16_100_149_CF_CU15_NDS,C16_100_149_CF_NCU15_DS,C16_100_149_CF_NDCO,C16_100_149_CF_T,C16_150_199_CF_NC,C16_150_199_CF_Cu15DS_,C16_150_199_CF_CU15_NDS,C16_150_199_CF_NCU15_DS,C16_150_199_CF_NDCO,C16_150_199_CF_T,C16_200_224_CF_NC,C16_200_224_CF_Cu15DS_,C16_200_224_CF_CU15_NDS,C16_200_224_CF_NCU15_DS,C16_200_224_CF_NDCO,C16_200_224_CF_T,C16_225_274_CF_NC,C16_225_274_CF_Cu15DS_,C16_225_274_CF_CU15_NDS,C16_225_274_CF_NCU15_DS,C16_225_274_CF_NDCO,C16_225_274_CF_T,C16_275_349_CF_NC,C16_275_349_CF_Cu15DS_,C16_275_349_CF_CU15_NDS,C16_275_349_CF_NCU15_DS,C16_275_349_CF_NDCO,C16_275_349_CF_T,C16_350_449_CF_NC,C16_350_449_CF_Cu15DS_,C16_350_449_CF_CU15_NDS,C16_350_449_CF_NCU15_DS,C16_350_449_CF_NDCO,C16_350_449_CF_T,C16_450_549_CF_NC,C16_450_549_CF_Cu15DS_,C16_450_549_CF_CU15_NDS,C16_450_549_CF_NCU15_DS,C16_450_549_CF_NDCO,C16_450_549_CF_T,C16_550_649_CF_NC,C16_550_649_CF_Cu15DS_,C16_550_649_CF_CU15_NDS,C16_550_649_CF_NCU15_DS,C16_550_649_CF_NDCO,C16_550_649_CF_T,C16_650_749_CF_NC,C16_650_749_CF_Cu15DS_,C16_650_749_CF_CU15_NDS,C16_650_749_CF_NCU15_DS,C16_650_749_CF_NDCO,C16_650_749_CF_T,C16_750_849_CF_NC,C16_750_849_CF_Cu15DS_,C16_750_849_CF_CU15_NDS,C16_750_849_CF_NCU15_DS,C16_750_849_CF_NDCO,C16_750_849_CF_T,C16_850_949_CF_NC,C16_850_949_CF_Cu15DS_,C16_850_949_CF_CU15_NDS,C16_850_949_CF_NCU15_DS,C16_850_949_CF_NDCO,C16_850_949_CF_T,C16_950over_CF_NC,C16_950ov_CF_Cu15DS_,C16_950ov_CF_CU15_NDS,C16_950ov_CF_NCU15_DS,C16_950ov_CF_NDCO,C16_950ov_CF_T,C16_Rns_CF_NC,C16_Rns_CF_Cu15DS_,C16_Rns_CF_CU15_NDS,C16_Rns_CF_NCU15_DS,C16_Rns_CF_NDCO,C16_Rns_CF_T,C16_Tot_CF_NC,C16_Tot_CF_Cu15DS_,C16_Tot_CF_CU15_NDS,C16_Tot_CF_NCU15_DS,C16_Tot_CF_NDCO,C16_Tot_CF_Tot
702011049,0,0,0,0,3,0,4,0,0,13,0,0,4,0,0,5,0,0,0,0,0,3,12,0,3,0,0,14,11,0,12,0,0,24,34,0,20,4,3,62,30,3,18,0,4,55,17,5,4,0,0,24,3,0,6,0,4,15,7,3,9,0,0,20,3,0,0,0,0,9,0,0,0,0,0,0,18,5,15,4,0,39,169,18,133,15,12,346
702011050,11,0,0,26,31,0,12,0,3,38,37,3,14,0,0,52,10,0,4,0,0,16,0,0,0,0,0,9,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,17,0,0,40,148,11,95,3,5,266
702011051,0,0,0,0,3,0,4,0,4,10,5,0,6,0,0,12,4,0,0,0,0,10,3,0,0,0,0,5,13,0,8,0,0,21,5,0,3,0,0,12,3,0,3,0,0,8,4,0,3,0,0,6,0,0,3,0,0,4,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,8,0,3,0,0,7,61,3,38,5,9,115
702011052,27,0,0,32,13,0,12,0,3,26,3,0,7,0,0,12,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,11,0,0,17,125,11,218,5,24,383
702011053,22,0,0,38,10,0,12,0,0,17,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,33,3,3,51,125,18,172,6,22,346
702011054,33,0,5,63,4,3,13,0,0,18,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,14,111,13,169,3,25,321
702021055,35,0,3,53,13,3,39,0,0,55,0,3,9,0,3,11,0,0,7,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,17,0,3,35,83,12,189,3,18,300
702021056,7,0,3,11,19,0,16,3,10,46,13,0,6,0,4,23,11,0,7,0,0,23,4,3,10,0,0,20,7,0,5,0,3,16,17,3,5,0,6,30,6,0,6,0,0,11,3,0,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,15,0,4,42,127,12,102,8,25,278
702031057,11,0,3,29,13,0,5,0,0,16,4,0,5,0,0,10,5,0,3,0,0,9,9,0,3,0,0,10,8,0,10,0,0,14,3,0,3,0,0,11,0,0,4,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,12,0,0,25,150,7,130,4,13,316
702031058,20,0,0,36,0,0,6,0,0,10,0,0,10,0,0,13,0,0,3,0,0,3,3,0,0,0,0,3,0,0,3,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,10,0,5,16,53,16,114,3,12,195
702031059,62,0,3,86,0,3,16,0,0,25,0,0,3,0,0,3,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,14,0,3,26,61,35,175,4,29,300
702031060,19,0,3,39,15,4,19,0,3,46,8,5,14,0,0,26,0,5,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,12,0,5,28,136,31,169,8,31,374
702031061,60,0,3,96,27,4,47,4,8,97,15,3,34,0,4,56,3,0,8,0,0,13,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,4,32,0,5,63,218,45,418,18,43,735
702041062,67,0,8,121,0,0,3,0,0,9,3,0,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,6,33,3,5,67,149,30,221,6,32,439
702041063,31,4,5,68,20,16,65,5,6,112,32,24,91,5,10,159,10,7,25,3,6,50,3,3,8,0,0,15,0,0,5,0,0,3,0,0,3,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,13,97,9,10,172,235,110,478,32,54,905
702041064,8,0,0,21,13,0,7,0,3,22,9,0,12,0,0,18,3,0,4,0,0,8,3,0,6,0,0,13,3,0,0,0,0,8,3,0,7,0,0,10,6,0,9,0,0,19,0,0,7,0,0,13,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,49,0,0,72,192,28,293,20,25,563
702051065,22,0,0,25,15,6,42,0,0,62,14,3,28,0,0,46,0,0,6,0,0,8,0,0,3,0,0,4,0,0,5,0,0,6,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,3,27,0,3,44,91,19,175,8,10,304
