SA4_NAME16	Year	IndustryOfEmployment	workers
Far West and Orana	2006	Agriculture forestry and fishing	7245
Far West and Orana	2006	Arts and recreation services	471
Far West and Orana	2006	Construction	2632
Far West and Orana	2006	Education and training	4053
Far West and Orana	2006	Electricity gas water and waste services	669
Far West and Orana	2006	Financial and insurance services	791
Far West and Orana	2006	Health care and social assistance	5582
Far West and Orana	2006	Information media and telecommunications	479
Far West and Orana	2006	Manufacturing	2347
Far West and Orana	2006	Mining	1707
Far West and Orana	2006	Other services	1652
Far West and Orana	2006	Professional scientific and technical services	1377
Far West and Orana	2006	Public administration and safety	3481
Far West and Orana	2006	Rental hiring and real estate services	464
Far West and Orana	2006	Retail trade	5318
Far West and Orana	2006	Transport postal and warehousing	1979
Far West and Orana	2006	Wholesale trade	1544
Far West and Orana	2011		1122
Far West and Orana	2011	Accommodation and food services	3293
Far West and Orana	2011	Administrative and support services	1112
Far West and Orana	2011	Agriculture forestry and fishing	6506
Far West and Orana	2011	Arts and recreation services	587
Far West and Orana	2011	Construction	2773
Far West and Orana	2011	Education and training	4352
Far West and Orana	2011	Electricity gas water and waste services	764
Far West and Orana	2011	Financial and insurance services	744
Far West and Orana	2011	Health care and social assistance	6359
Far West and Orana	2011	Information media and telecommunications	378
Far West and Orana	2011	Manufacturing	2160
Far West and Orana	2011	Mining	1908
Far West and Orana	2011	Other services	1812
Far West and Orana	2011	Professional scientific and technical services	1482
Far West and Orana	2011	Public administration and safety	3754
Far West and Orana	2011	Rental hiring and real estate services	449
Far West and Orana	2011	Retail trade	5082
Far West and Orana	2011	Transport postal and warehousing	2009
Far West and Orana	2011	Wholesale trade	1447
Far West and Orana	2016		1758
Far West and Orana	2016	Accommodation and food services	3274
Far West and Orana	2016	Administrative and support services	1221
Far West and Orana	2016	Agriculture forestry and fishing	5952
Far West and Orana	2016	Arts and recreation services	542
Far West and Orana	2016	Construction	2997
Far West and Orana	2016	Education and training	4437
Far West and Orana	2016	Electricity gas water and waste services	623
Far West and Orana	2016	Financial and insurance services	621
Far West and Orana	2016	Health care and social assistance	6600
Far West and Orana	2016	Information media and telecommunications	355
Far West and Orana	2016	Manufacturing	1783
Far West and Orana	2016	Mining	1957
Far West and Orana	2016	Other services	1829
Far West and Orana	2016	Professional scientific and technical services	1452
Far West and Orana	2016	Public administration and safety	3604
Far West and Orana	2016	Rental hiring and real estate services	411
Far West and Orana	2016	Retail trade	4505
Far West and Orana	2016	Transport postal and warehousing	1738
Far West and Orana	2016	Wholesale trade	1067
Hunter Valley exc Newcastle	2006		2308
Hunter Valley exc Newcastle	2006	Accommodation and food services	7358
Hunter Valley exc Newcastle	2006	Administrative and support services	2575
Hunter Valley exc Newcastle	2006	Agriculture forestry and fishing	4215
Hunter Valley exc Newcastle	2006	Arts and recreation services	1009
Hunter Valley exc Newcastle	2006	Construction	7420
Hunter Valley exc Newcastle	2006	Education and training	5852
Hunter Valley exc Newcastle	2006	Electricity gas water and waste services	1621
Hunter Valley exc Newcastle	2006	Financial and insurance services	1801
Hunter Valley exc Newcastle	2006	Health care and social assistance	8982
Hunter Valley exc Newcastle	2006	Information media and telecommunications	819
Hunter Valley exc Newcastle	2006	Manufacturing	10331
Hunter Valley exc Newcastle	2006	Mining	6501
Hunter Valley exc Newcastle	2006	Other services	4093
Hunter Valley exc Newcastle	2006	Professional scientific and technical services	3965
Hunter Valley exc Newcastle	2006	Public administration and safety	6274
Hunter Valley exc Newcastle	2006	Rental hiring and real estate services	1562
Hunter Valley exc Newcastle	2006	Retail trade	11434
Hunter Valley exc Newcastle	2006	Transport postal and warehousing	4154
Hunter Valley exc Newcastle	2006	Wholesale trade	2919
Hunter Valley exc Newcastle	2011		2416
Hunter Valley exc Newcastle	2011	Accommodation and food services	8417
Hunter Valley exc Newcastle	2011	Administrative and support services	3345
Hunter Valley exc Newcastle	2011	Agriculture forestry and fishing	3674
Hunter Valley exc Newcastle	2011	Arts and recreation services	1184
Hunter Valley exc Newcastle	2011	Construction	8447
Hunter Valley exc Newcastle	2011	Education and training	6571
Hunter Valley exc Newcastle	2011	Electricity gas water and waste services	1783
Hunter Valley exc Newcastle	2011	Financial and insurance services	1803
Hunter Valley exc Newcastle	2011	Health care and social assistance	10914
Hunter Valley exc Newcastle	2011	Information media and telecommunications	699
Hunter Valley exc Newcastle	2011	Manufacturing	10788
Hunter Valley exc Newcastle	2011	Mining	9826
Hunter Valley exc Newcastle	2011	Other services	5130
Hunter Valley exc Newcastle	2011	Professional scientific and technical services	4564
Hunter Valley exc Newcastle	2011	Public administration and safety	6777
Hunter Valley exc Newcastle	2011	Rental hiring and real estate services	1703
Hunter Valley exc Newcastle	2011	Retail trade	11513
Hunter Valley exc Newcastle	2011	Transport postal and warehousing	4652
Hunter Valley exc Newcastle	2011	Wholesale trade	3084
Hunter Valley exc Newcastle	2016		4379
Hunter Valley exc Newcastle	2016	Accommodation and food services	9025
Hunter Valley exc Newcastle	2016	Administrative and support services	4120
Hunter Valley exc Newcastle	2016	Agriculture forestry and fishing	3730
Hunter Valley exc Newcastle	2016	Arts and recreation services	1162
Hunter Valley exc Newcastle	2016	Construction	9434
Hunter Valley exc Newcastle	2016	Education and training	7454
Hunter Valley exc Newcastle	2016	Electricity gas water and waste services	1813
Hunter Valley exc Newcastle	2016	Financial and insurance services	2019
Hunter Valley exc Newcastle	2016	Health care and social assistance	12952
Hunter Valley exc Newcastle	2016	Information media and telecommunications	698
Hunter Valley exc Newcastle	2016	Manufacturing	7436
Hunter Valley exc Newcastle	2016	Mining	9936
Hunter Valley exc Newcastle	2016	Other services	5028
Hunter Valley exc Newcastle	2016	Professional scientific and technical services	4509
Hunter Valley exc Newcastle	2016	Public administration and safety	7336
Hunter Valley exc Newcastle	2016	Rental hiring and real estate services	1680
Hunter Valley exc Newcastle	2016	Retail trade	11201
Hunter Valley exc Newcastle	2016	Transport postal and warehousing	4826
Hunter Valley exc Newcastle	2016	Wholesale trade	2217
Illawarra	2006		2458
Illawarra	2006	Accommodation and food services	7390
Illawarra	2006	Administrative and support services	3304
Illawarra	2006	Agriculture forestry and fishing	513
Illawarra	2006	Arts and recreation services	1604
Illawarra	2006	Construction	8943
Illawarra	2006	Education and training	10882
Illawarra	2006	Electricity gas water and waste services	1135
Illawarra	2006	Financial and insurance services	3898
Illawarra	2006	Health care and social assistance	12783
Illawarra	2006	Information media and telecommunications	1658
Illawarra	2006	Manufacturing	13612
Illawarra	2006	Mining	2208
Illawarra	2006	Other services	4324
Illawarra	2006	Professional scientific and technical services	5739
Illawarra	2006	Public administration and safety	7344
Illawarra	2006	Rental hiring and real estate services	1960
Illawarra	2006	Retail trade	12764
Illawarra	2006	Transport postal and warehousing	5361
Illawarra	2006	Wholesale trade	2997
Illawarra	2011		2371
Illawarra	2011	Accommodation and food services	8595
Illawarra	2011	Administrative and support services	3734
Illawarra	2011	Agriculture forestry and fishing	497
Illawarra	2011	Arts and recreation services	1680
Illawarra	2011	Construction	9383
Illawarra	2011	Education and training	12382
Illawarra	2011	Electricity gas water and waste services	1326
Illawarra	2011	Financial and insurance services	4259
Illawarra	2011	Health care and social assistance	15858
Illawarra	2011	Information media and telecommunications	1455
Illawarra	2011	Manufacturing	11862
Illawarra	2011	Mining	3058
Illawarra	2011	Other services	4827
Illawarra	2011	Professional scientific and technical services	6259
Illawarra	2011	Public administration and safety	8393
Illawarra	2011	Rental hiring and real estate services	1824
Illawarra	2011	Retail trade	12529
Illawarra	2011	Transport postal and warehousing	6061
Illawarra	2011	Wholesale trade	3070
Illawarra	2016		4744
Illawarra	2016	Accommodation and food services	9506
Illawarra	2016	Administrative and support services	4270
Illawarra	2016	Agriculture forestry and fishing	603
Illawarra	2016	Arts and recreation services	1823
Illawarra	2016	Construction	12139
Illawarra	2016	Education and training	13921
Illawarra	2016	Electricity gas water and waste services	1349
Illawarra	2016	Financial and insurance services	4493
Illawarra	2016	Health care and social assistance	18725
Illawarra	2016	Information media and telecommunications	1394
Illawarra	2016	Manufacturing	7607
Illawarra	2016	Mining	2574
Illawarra	2016	Other services	5133
Illawarra	2016	Professional scientific and technical services	6695
Illawarra	2016	Public administration and safety	9269
Illawarra	2016	Rental hiring and real estate services	1868
Illawarra	2016	Retail trade	12817
Illawarra	2016	Transport postal and warehousing	5878
Illawarra	2016	Wholesale trade	2533
Mid North Coast	2006		1509
Mid North Coast	2006	Accommodation and food services	5964
Mid North Coast	2006	Administrative and support services	1746
Mid North Coast	2006	Agriculture forestry and fishing	3497
Mid North Coast	2006	Arts and recreation services	872
Mid North Coast	2006	Construction	6366
Mid North Coast	2006	Education and training	5379
Mid North Coast	2006	Electricity gas water and waste services	1312
Mid North Coast	2006	Financial and insurance services	1335
Mid North Coast	2006	Health care and social assistance	8854
Mid North Coast	2006	Information media and telecommunications	687
Mid North Coast	2006	Manufacturing	5284
Mid North Coast	2006	Mining	253
Mid North Coast	2006	Other services	2673
Mid North Coast	2006	Professional scientific and technical services	2442
Mid North Coast	2006	Public administration and safety	3408
Mid North Coast	2006	Rental hiring and real estate services	1322
Mid North Coast	2006	Retail trade	9739
Mid North Coast	2006	Transport postal and warehousing	2650
Mid North Coast	2006	Wholesale trade	1820
Mid North Coast	2011		1476
Mid North Coast	2011	Accommodation and food services	6386
Mid North Coast	2011	Administrative and support services	2247
Mid North Coast	2011	Agriculture forestry and fishing	3085
Mid North Coast	2011	Arts and recreation services	922
Mid North Coast	2011	Construction	6387
Mid North Coast	2011	Education and training	5988
Mid North Coast	2011	Electricity gas water and waste services	1772
Mid North Coast	2011	Financial and insurance services	1300
Mid North Coast	2011	Health care and social assistance	11163
Mid North Coast	2011	Information media and telecommunications	649
Mid North Coast	2011	Manufacturing	4786
Mid North Coast	2011	Mining	562
Mid North Coast	2011	Other services	2818
Mid North Coast	2011	Professional scientific and technical services	2683
Mid North Coast	2011	Public administration and safety	3698
Mid North Coast	2011	Rental hiring and real estate services	1196
Mid North Coast	2011	Retail trade	9650
Mid North Coast	2011	Transport postal and warehousing	2778
Mid North Coast	2011	Wholesale trade	1755
Mid North Coast	2016		2731
Mid North Coast	2016	Accommodation and food services	6783
Mid North Coast	2016	Administrative and support services	2709
Mid North Coast	2016	Agriculture forestry and fishing	3259
Mid North Coast	2016	Arts and recreation services	868
Mid North Coast	2016	Construction	7562
Mid North Coast	2016	Education and training	6607
Mid North Coast	2016	Electricity gas water and waste services	1468
Mid North Coast	2016	Financial and insurance services	1145
Mid North Coast	2016	Health care and social assistance	12736
Mid North Coast	2016	Information media and telecommunications	540
Mid North Coast	2016	Manufacturing	3607
Mid North Coast	2016	Mining	490
Mid North Coast	2016	Other services	2928
Mid North Coast	2016	Professional scientific and technical services	2818
Mid North Coast	2016	Public administration and safety	3789
Mid North Coast	2016	Rental hiring and real estate services	1226
Mid North Coast	2016	Retail trade	8900
Mid North Coast	2016	Transport postal and warehousing	2795
Mid North Coast	2016	Wholesale trade	1211
Murray	2006		1241
Murray	2006	Accommodation and food services	3916
Murray	2006	Administrative and support services	1048
Murray	2006	Agriculture forestry and fishing	6959
Murray	2006	Arts and recreation services	423
Murray	2006	Construction	3619
Murray	2006	Education and training	3422
Murray	2006	Electricity gas water and waste services	531
Murray	2006	Financial and insurance services	923
Murray	2006	Health care and social assistance	4896
Murray	2006	Information media and telecommunications	529
Murray	2006	Manufacturing	5683
Murray	2006	Mining	109
Murray	2006	Other services	1670
Murray	2006	Professional scientific and technical services	1818
Murray	2006	Public administration and safety	2853
Murray	2006	Rental hiring and real estate services	523
Murray	2006	Retail trade	5794
Murray	2006	Transport postal and warehousing	2222
Murray	2006	Wholesale trade	1693
Murray	2011		1195
Murray	2011	Accommodation and food services	3907
Murray	2011	Administrative and support services	1211
Murray	2011	Agriculture forestry and fishing	5664
Murray	2011	Arts and recreation services	496
Murray	2011	Construction	3789
Murray	2011	Education and training	3759
Murray	2011	Electricity gas water and waste services	583
Murray	2011	Financial and insurance services	871
Murray	2011	Health care and social assistance	5870
Murray	2011	Information media and telecommunications	434
Murray	2011	Manufacturing	5367
Murray	2011	Mining	220
Murray	2011	Other services	1755
Murray	2011	Professional scientific and technical services	1821
Murray	2011	Public administration and safety	3159
Murray	2011	Rental hiring and real estate services	501
Murray	2011	Retail trade	5522
Murray	2011	Transport postal and warehousing	2250
Murray	2011	Wholesale trade	1490
Murray	2016		2008
Murray	2016	Accommodation and food services	4026
Murray	2016	Administrative and support services	1393
Murray	2016	Agriculture forestry and fishing	5704
Murray	2016	Arts and recreation services	482
Murray	2016	Construction	4160
Murray	2016	Education and training	4184
Murray	2016	Electricity gas water and waste services	544
Murray	2016	Financial and insurance services	776
Murray	2016	Health care and social assistance	6411
Murray	2016	Information media and telecommunications	396
Murray	2016	Manufacturing	4132
Murray	2016	Mining	160
Murray	2016	Other services	1891
Murray	2016	Professional scientific and technical services	1807
Murray	2016	Public administration and safety	3074
Murray	2016	Rental hiring and real estate services	497
Murray	2016	Retail trade	5008
Murray	2016	Transport postal and warehousing	2302
Murray	2016	Wholesale trade	1141
New England and North West	2006		1838
New England and North West	2006	Accommodation and food services	4650
New England and North West	2006	Administrative and support services	1528
New England and North West	2006	Agriculture forestry and fishing	12256
New England and North West	2006	Arts and recreation services	604
New England and North West	2006	Construction	4414
New England and North West	2006	Education and training	6988
New England and North West	2006	Electricity gas water and waste services	664
New England and North West	2006	Financial and insurance services	1428
New England and North West	2006	Health care and social assistance	7605
New England and North West	2006	Information media and telecommunications	762
New England and North West	2006	Manufacturing	5084
New England and North West	2006	Mining	373
New England and North West	2006	Other services	2988
New England and North West	2006	Professional scientific and technical services	2761
New England and North West	2006	Public administration and safety	4285
New England and North West	2006	Rental hiring and real estate services	823
New England and North West	2006	Retail trade	8171
New England and North West	2006	Transport postal and warehousing	3207
New England and North West	2006	Wholesale trade	2240
New England and North West	2011		1697
New England and North West	2011	Accommodation and food services	5035
New England and North West	2011	Administrative and support services	1659
New England and North West	2011	Agriculture forestry and fishing	11190
New England and North West	2011	Arts and recreation services	642
New England and North West	2011	Construction	4833
New England and North West	2011	Education and training	7459
New England and North West	2011	Electricity gas water and waste services	810
New England and North West	2011	Financial and insurance services	1460
New England and North West	2011	Health care and social assistance	9006
New England and North West	2011	Information media and telecommunications	629
New England and North West	2011	Manufacturing	5004
New England and North West	2011	Mining	1112
New England and North West	2011	Other services	3051
New England and North West	2011	Professional scientific and technical services	2857
New England and North West	2011	Public administration and safety	4353
New England and North West	2011	Rental hiring and real estate services	884
New England and North West	2011	Retail trade	8252
New England and North West	2011	Transport postal and warehousing	3342
New England and North West	2011	Wholesale trade	2313
New England and North West	2016		3050
New England and North West	2016	Accommodation and food services	5008
New England and North West	2016	Administrative and support services	2227
New England and North West	2016	Agriculture forestry and fishing	10811
New England and North West	2016	Arts and recreation services	591
New England and North West	2016	Construction	5089
New England and North West	2016	Education and training	7883
New England and North West	2016	Electricity gas water and waste services	710
New England and North West	2016	Financial and insurance services	1237
New England and North West	2016	Health care and social assistance	9710
New England and North West	2016	Information media and telecommunications	571
New England and North West	2016	Manufacturing	4067
New England and North West	2016	Mining	1632
New England and North West	2016	Other services	2951
New England and North West	2016	Professional scientific and technical services	2907
New England and North West	2016	Public administration and safety	4300
New England and North West	2016	Rental hiring and real estate services	844
New England and North West	2016	Retail trade	7584
New England and North West	2016	Transport postal and warehousing	2990
New England and North West	2016	Wholesale trade	1823
Newcastle and Lake Macquarie	2006		3095
Newcastle and Lake Macquarie	2006	Accommodation and food services	9486
Newcastle and Lake Macquarie	2006	Administrative and support services	3797
Newcastle and Lake Macquarie	2006	Agriculture forestry and fishing	687
Newcastle and Lake Macquarie	2006	Arts and recreation services	1606
Newcastle and Lake Macquarie	2006	Construction	11328
Newcastle and Lake Macquarie	2006	Education and training	12318
Newcastle and Lake Macquarie	2006	Electricity gas water and waste services	2272
Newcastle and Lake Macquarie	2006	Financial and insurance services	4817
Newcastle and Lake Macquarie	2006	Health care and social assistance	19642
Newcastle and Lake Macquarie	2006	Information media and telecommunications	1853
Newcastle and Lake Macquarie	2006	Manufacturing	14940
Newcastle and Lake Macquarie	2006	Mining	2084
Newcastle and Lake Macquarie	2006	Other services	5688
Newcastle and Lake Macquarie	2006	Professional scientific and technical services	8327
Newcastle and Lake Macquarie	2006	Public administration and safety	8775
Newcastle and Lake Macquarie	2006	Rental hiring and real estate services	2282
Newcastle and Lake Macquarie	2006	Retail trade	17112
Newcastle and Lake Macquarie	2006	Transport postal and warehousing	5932
Newcastle and Lake Macquarie	2006	Wholesale trade	4899
Newcastle and Lake Macquarie	2011		3017
Newcastle and Lake Macquarie	2011	Accommodation and food services	10834
Newcastle and Lake Macquarie	2011	Administrative and support services	4634
Newcastle and Lake Macquarie	2011	Agriculture forestry and fishing	460
Newcastle and Lake Macquarie	2011	Arts and recreation services	1910
Newcastle and Lake Macquarie	2011	Construction	12344
Newcastle and Lake Macquarie	2011	Education and training	13861
Newcastle and Lake Macquarie	2011	Electricity gas water and waste services	2807
Newcastle and Lake Macquarie	2011	Financial and insurance services	5163
Newcastle and Lake Macquarie	2011	Health care and social assistance	23588
Newcastle and Lake Macquarie	2011	Information media and telecommunications	1693
Newcastle and Lake Macquarie	2011	Manufacturing	15357
Newcastle and Lake Macquarie	2011	Mining	3346
Newcastle and Lake Macquarie	2011	Other services	6233
Newcastle and Lake Macquarie	2011	Professional scientific and technical services	9871
Newcastle and Lake Macquarie	2011	Public administration and safety	9678
