SA4_NAME16	Year	medianTotalFamilyIncomeWeekly
Moreton Bay - North	2006	1039
Moreton Bay - South	2006	1364
Queensland - Outback	2006	1107
Sunshine Coast	2006	1054
Toowoomba	2006	1119
Townsville	2006	1199
Wide Bay	2006	839
Migratory - Offshore - Shipping (Qld)	2006	0
No usual address (Qld)	2006	0
Adelaide - Central and Hills	2006	1382
Adelaide - North	2006	1075
Adelaide - South	2006	1169
Adelaide - West	2006	1081
Barossa - Yorke - Mid North	2006	963
South Australia - Outback	2006	1047
South Australia - South East	2006	992
Migratory - Offshore - Shipping (SA)	2006	0
No usual address (SA)	2006	0
Bunbury	2006	1154
Mandurah	2006	1046
Perth - Inner	2006	1930
Perth - North East	2006	1219
Perth - North West	2006	1322
Perth - South East	2006	1233
Perth - South West	2006	1294
Western Australia - Wheat Belt	2006	1046
Western Australia - Outback (North)	2006	1756
Western Australia - Outback (South)	2006	1213
Migratory - Offshore - Shipping (WA)	2006	0
No usual address (WA)	2006	0
Hobart	2006	1121
Launceston and North East	2006	1003
South East	2006	860
West and North West	2006	958
Migratory - Offshore - Shipping (Tas.)	2006	0
No usual address (Tas.)	2006	0
Darwin	2006	1487
Northern Territory - Outback	2006	1006
Migratory - Offshore - Shipping (NT)	2006	0
No usual address (NT)	2006	0
Australian Capital Territory	2006	1789
Migratory - Offshore - Shipping (ACT)	2006	0
No usual address (ACT)	2006	0
Other Territories	2006	1229
Migratory - Offshore - Shipping (OT)	2006	0
No usual address (OT)	2006	0
Capital Region	2011	1314
Central Coast	2011	1284
Central West	2011	1254
Coffs Harbour - Grafton	2011	998
Far West and Orana	2011	1121
Hunter Valley exc Newcastle	2011	1407
Illawarra	2011	1413
Mid North Coast	2011	940
Murray	2011	1188
New England and North West	2011	1123
Newcastle and Lake Macquarie	2011	1443
Richmond - Tweed	2011	1061
Riverina	2011	1263
Southern Highlands and Shoalhaven	2011	1097
Sydney - Baulkham Hills and Hawkesbury	2011	2163
Sydney - Blacktown	2011	1492
Sydney - City and Inner South	2011	2039
Sydney - Eastern Suburbs	2011	2368
Sydney - Inner South West	2011	1315
Sydney - Inner West	2011	1984
Sydney - North Sydney and Hornsby	2011	2558
Sydney - Northern Beaches	2011	2188
Sydney - Outer South West	2011	1542
Sydney - Outer West and Blue Mountains	2011	1580
Sydney - Parramatta	2011	1360
Sydney - Ryde	2011	1991
Sydney - South West	2011	1235
Sydney - Sutherland	2011	2013
Migratory - Offshore - Shipping (NSW)	2011	0
No usual address (NSW)	2011	0
Ballarat	2011	1188
Bendigo	2011	1220
Geelong	2011	1366
Hume	2011	1192
Latrobe - Gippsland	2011	1155
Melbourne - Inner	2011	2070
Melbourne - Inner East	2011	1983
Melbourne - Inner South	2011	1995
Melbourne - North East	2011	1526
Melbourne - North West	2011	1366
Melbourne - Outer East	2011	1602
Melbourne - South East	2011	1377
Melbourne - West	2011	1427
Mornington Peninsula	2011	1372
North West	2011	1074
Shepparton	2011	1129
Warrnambool and South West	2011	1217
Migratory - Offshore - Shipping (Vic.)	2011	0
No usual address (Vic.)	2011	0
Brisbane - East	2011	1675
Brisbane - North	2011	1709
Brisbane - South	2011	1717
Brisbane - West	2011	2170
Brisbane Inner City	2011	2349
Cairns	2011	1294
Darling Downs - Maranoa	2011	1157
Central Queensland	2011	1677
Gold Coast	2011	1377
Ipswich	2011	1348
Logan - Beaudesert	2011	1370
Mackay - Isaac - Whitsunday	2011	1827
Moreton Bay - North	2011	1222
Moreton Bay - South	2011	1767
Queensland - Outback	2011	1358
Sunshine Coast	2011	1219
Toowoomba	2011	1345
Townsville	2011	1532
Wide Bay	2011	944
Migratory - Offshore - Shipping (Qld)	2011	0
No usual address (Qld)	2011	0
Adelaide - Central and Hills	2011	1736
Adelaide - North	2011	1252
Adelaide - South	2011	1439
Adelaide - West	2011	1317
Barossa - Yorke - Mid North	2011	1091
South Australia - Outback	2011	1271
South Australia - South East	2011	1060
Migratory - Offshore - Shipping (SA)	2011	0
No usual address (SA)	2011	0
Bunbury	2011	1454
Mandurah	2011	1263
Perth - Inner	2011	2574
Perth - North East	2011	1664
Perth - North West	2011	1829
Perth - South East	2011	1688
Perth - South West	2011	1814
Western Australia - Wheat Belt	2011	1221
Western Australia - Outback (North)	2011	2512
Western Australia - Outback (South)	2011	1608
Migratory - Offshore - Shipping (WA)	2011	0
No usual address (WA)	2011	0
Hobart	2011	1359
Launceston and North East	2011	1140
South East	2011	999
West and North West	2011	1090
Migratory - Offshore - Shipping (Tas.)	2011	0
No usual address (Tas.)	2011	0
Darwin	2011	2040
Northern Territory - Outback	2011	1247
Migratory - Offshore - Shipping (NT)	2011	0
No usual address (NT)	2011	0
Australian Capital Territory	2011	2277
Migratory - Offshore - Shipping (ACT)	2011	0
No usual address (ACT)	2011	0
Other Territories	2011	1768
Migratory - Offshore - Shipping (OT)	2011	0
No usual address (OT)	2011	0
Capital Region	2016	1561
Central Coast	2016	1560
Central West	2016	1473
Coffs Harbour - Grafton	2016	1249
Far West and Orana	2016	1386
Hunter Valley exc Newcastle	2016	1548
Illawarra	2016	1679
Mid North Coast	2016	1174
Murray	2016	1422
New England and North West	2016	1378
Newcastle and Lake Macquarie	2016	1670
Richmond - Tweed	2016	1333
Riverina	2016	1517
Southern Highlands and Shoalhaven	2016	1340
Sydney - Baulkham Hills and Hawkesbury	2016	2397
Sydney - Blacktown	2016	1818
Sydney - City and Inner South	2016	2369
Sydney - Eastern Suburbs	2016	2756
Sydney - Inner South West	2016	1576
Sydney - Inner West	2016	2282
Sydney - North Sydney and Hornsby	2016	2814
Sydney - Northern Beaches	2016	2528
Sydney - Outer South West	2016	1794
Sydney - Outer West and Blue Mountains	2016	1852
Sydney - Parramatta	2016	1631
Sydney - Ryde	2016	2236
Sydney - South West	2016	1489
Sydney - Sutherland	2016	2312
Migratory - Offshore - Shipping (NSW)	2016	0
No usual address (NSW)	2016	0
Ballarat	2016	1409
Bendigo	2016	1443
Geelong	2016	1615
Hume	2016	1417
Latrobe - Gippsland	2016	1338
Melbourne - Inner	2016	2323
Melbourne - Inner East	2016	2183
Melbourne - Inner South	2016	2309
Melbourne - North East	2016	1767
Melbourne - North West	2016	1598
Melbourne - Outer East	2016	1851
Melbourne - South East	2016	1593
Melbourne - West	2016	1644
Mornington Peninsula	2016	1635
North West	2016	1306
Shepparton	2016	1364
Warrnambool and South West	2016	1411
Migratory - Offshore - Shipping (Vic.)	2016	0
No usual address (Vic.)	2016	0
Brisbane - East	2016	1902
Brisbane - North	2016	1977
Brisbane - South	2016	1930
Brisbane - West	2016	2322
Brisbane Inner City	2016	2495
Cairns	2016	1475
Darling Downs - Maranoa	2016	1366
Central Queensland	2016	1740
Gold Coast	2016	1655
Ipswich	2016	1523
Logan - Beaudesert	2016	1531
Mackay - Isaac - Whitsunday	2016	1793
Moreton Bay - North	2016	1407
Moreton Bay - South	2016	1921
Queensland - Outback	2016	1540
Sunshine Coast	2016	1478
Toowoomba	2016	1583
Townsville	2016	1640
Wide Bay	2016	1133
Migratory - Offshore - Shipping (Qld)	2016	0
No usual address (Qld)	2016	0
Adelaide - Central and Hills	2016	1967
Adelaide - North	2016	1407
Adelaide - South	2016	1622
Adelaide - West	2016	1554
Barossa - Yorke - Mid North	2016	1318
South Australia - Outback	2016	1418
South Australia - South East	2016	1266
Migratory - Offshore - Shipping (SA)	2016	0
No usual address (SA)	2016	0
Bunbury	2016	1606
Mandurah	2016	1437
Perth - Inner	2016	2769
Perth - North East	2016	1851
Perth - North West	2016	2018
Perth - South East	2016	1818
Perth - South West	2016	1997
Western Australia - Wheat Belt	2016	1481
Western Australia - Outback (North)	2016	2416
Western Australia - Outback (South)	2016	1836
Migratory - Offshore - Shipping (WA)	2016	0
No usual address (WA)	2016	0
Hobart	2016	1569
Launceston and North East	2016	1319
South East	2016	1210
West and North West	2016	1274
Migratory - Offshore - Shipping (Tas.)	2016	0
No usual address (Tas.)	2016	0
Darwin	2016	2386
Northern Territory - Outback	2016	1352
Migratory - Offshore - Shipping (NT)	2016	0
No usual address (NT)	2016	0
Australian Capital Territory	2016	2445
Migratory - Offshore - Shipping (ACT)	2016	0
No usual address (ACT)	2016	0
Other Territories	2016	1568
Migratory - Offshore - Shipping (OT)	2016	0
No usual address (OT)	2016	0
