SA4_NAME16	Year	overseas_visitors
Barossa - Yorke - Mid North	2006	290
Barossa - Yorke - Mid North	2011	323
Barossa - Yorke - Mid North	2016	375
South Australia - Outback	2006	430
South Australia - Outback	2011	347
South Australia - Outback	2016	503
South Australia - South East	2006	879
South Australia - South East	2011	1042
South Australia - South East	2016	1565
Migratory - Offshore - Shipping (SA)	2006	35
Migratory - Offshore - Shipping (SA)	2011	35
Migratory - Offshore - Shipping (SA)	2016	18
No usual address (SA)	2006	0
No usual address (SA)	2011	0
No usual address (SA)	2016	0
Bunbury	2006	1083
Bunbury	2011	1181
Bunbury	2016	1792
Mandurah	2006	264
Mandurah	2011	398
Mandurah	2016	462
Perth - Inner	2006	5479
Perth - Inner	2011	5679
Perth - Inner	2016	5936
Perth - North East	2006	1018
Perth - North East	2011	1309
Perth - North East	2016	2079
Perth - North West	2006	3184
Perth - North West	2011	3657
Perth - North West	2016	4810
Perth - South East	2006	3396
Perth - South East	2011	4463
Perth - South East	2016	6582
Perth - South West	2006	2539
Perth - South West	2011	3018
Perth - South West	2016	3994
Western Australia - Wheat Belt	2006	899
Western Australia - Wheat Belt	2011	922
Western Australia - Wheat Belt	2016	1118
Western Australia - Outback (North)	2006	1646
Western Australia - Outback (North)	2011	2272
Western Australia - Outback (North)	2016	2466
Western Australia - Outback (South)	2006	1373
Western Australia - Outback (South)	2011	1544
Western Australia - Outback (South)	2016	1544
Migratory - Offshore - Shipping (WA)	2006	376
Migratory - Offshore - Shipping (WA)	2011	459
Migratory - Offshore - Shipping (WA)	2016	465
No usual address (WA)	2006	0
No usual address (WA)	2011	0
No usual address (WA)	2016	0
Hobart	2006	925
Hobart	2011	1097
Hobart	2016	1607
Launceston and North East	2006	463
Launceston and North East	2011	572
Launceston and North East	2016	663
South East	2006	125
South East	2011	152
South East	2016	233
West and North West	2006	258
West and North West	2011	345
West and North West	2016	420
Migratory - Offshore - Shipping (Tas.)	2006	31
Migratory - Offshore - Shipping (Tas.)	2011	26
Migratory - Offshore - Shipping (Tas.)	2016	43
No usual address (Tas.)	2006	0
No usual address (Tas.)	2011	0
No usual address (Tas.)	2016	0
Darwin	2006	2646
Darwin	2011	2505
Darwin	2016	4838
Northern Territory - Outback	2006	3897
Northern Territory - Outback	2011	3549
Northern Territory - Outback	2016	4066
Migratory - Offshore - Shipping (NT)	2006	122
Migratory - Offshore - Shipping (NT)	2011	107
Migratory - Offshore - Shipping (NT)	2016	75
No usual address (NT)	2006	0
No usual address (NT)	2011	0
No usual address (NT)	2016	0
Australian Capital Territory	2006	2919
Australian Capital Territory	2011	3656
Australian Capital Territory	2016	4874
Migratory - Offshore - Shipping (ACT)	2006	0
Migratory - Offshore - Shipping (ACT)	2011	0
Migratory - Offshore - Shipping (ACT)	2016	0
No usual address (ACT)	2006	0
No usual address (ACT)	2011	0
No usual address (ACT)	2016	0
Other Territories	2006	73
Other Territories	2011	41
Other Territories	2016	117
Migratory - Offshore - Shipping (OT)	2006	0
Migratory - Offshore - Shipping (OT)	2011	0
Migratory - Offshore - Shipping (OT)	2016	0
No usual address (OT)	2006	0
No usual address (OT)	2011	0
No usual address (OT)	2016	0
