SA4_NAME16	Year	medianAgeOfPersons
Migratory - Offshore - Shipping (NSW)	2011	64
No usual address (NSW)	2011	37
Ballarat	2011	40
Bendigo	2011	40
Geelong	2011	39
Hume	2011	42
Latrobe - Gippsland	2011	42
Melbourne - Inner	2011	33
Melbourne - Inner East	2011	39
Melbourne - Inner South	2011	39
Melbourne - North East	2011	36
Melbourne - North West	2011	36
Melbourne - Outer East	2011	38
Melbourne - South East	2011	35
Melbourne - West	2011	33
Mornington Peninsula	2011	40
North West	2011	42
Shepparton	2011	40
Warrnambool and South West	2011	41
Migratory - Offshore - Shipping (Vic.)	2011	48
No usual address (Vic.)	2011	32
Brisbane - East	2011	38
Brisbane - North	2011	37
Brisbane - South	2011	34
Brisbane - West	2011	35
Brisbane Inner City	2011	32
Cairns	2011	37
Darling Downs - Maranoa	2011	39
Central Queensland	2011	35
Gold Coast	2011	38
Ipswich	2011	33
Logan - Beaudesert	2011	33
Mackay - Isaac - Whitsunday	2011	35
Moreton Bay - North	2011	39
Moreton Bay - South	2011	35
Queensland - Outback	2011	32
Sunshine Coast	2011	42
Toowoomba	2011	36
Townsville	2011	34
Wide Bay	2011	43
Migratory - Offshore - Shipping (Qld)	2011	47
No usual address (Qld)	2011	44
Adelaide - Central and Hills	2011	40
Adelaide - North	2011	36
Adelaide - South	2011	40
Adelaide - West	2011	40
Barossa - Yorke - Mid North	2011	44
South Australia - Outback	2011	38
South Australia - South East	2011	43
Migratory - Offshore - Shipping (SA)	2011	31
No usual address (SA)	2011	39
Bunbury	2011	39
Mandurah	2011	42
Perth - Inner	2011	36
Perth - North East	2011	36
Perth - North West	2011	36
Perth - South East	2011	35
Perth - South West	2011	36
Western Australia - Wheat Belt	2011	41
Western Australia - Outback (North)	2011	32
Western Australia - Outback (South)	2011	35
Migratory - Offshore - Shipping (WA)	2011	36
No usual address (WA)	2011	40
Hobart	2011	39
Launceston and North East	2011	41
South East	2011	44
West and North West	2011	41
Migratory - Offshore - Shipping (Tas.)	2011	43
No usual address (Tas.)	2011	37
Darwin	2011	33
Northern Territory - Outback	2011	29
Migratory - Offshore - Shipping (NT)	2011	34
No usual address (NT)	2011	45
Australian Capital Territory	2011	34
Migratory - Offshore - Shipping (ACT)	2011	0
No usual address (ACT)	2011	31
Other Territories	2011	32
Migratory - Offshore - Shipping (OT)	2011	0
No usual address (OT)	2011	30
Capital Region	2016	44
Central Coast	2016	42
Central West	2016	41
Coffs Harbour - Grafton	2016	46
Far West and Orana	2016	40
Hunter Valley exc Newcastle	2016	39
Illawarra	2016	39
Mid North Coast	2016	50
Murray	2016	43
New England and North West	2016	41
Newcastle and Lake Macquarie	2016	40
Richmond - Tweed	2016	46
Riverina	2016	39
Southern Highlands and Shoalhaven	2016	48
Sydney - Baulkham Hills and Hawkesbury	2016	39
Sydney - Blacktown	2016	33
Sydney - City and Inner South	2016	33
Sydney - Eastern Suburbs	2016	35
Sydney - Inner South West	2016	35
Sydney - Inner West	2016	36
Sydney - North Sydney and Hornsby	2016	38
Sydney - Northern Beaches	2016	40
Sydney - Outer South West	2016	35
Sydney - Outer West and Blue Mountains	2016	37
Sydney - Parramatta	2016	33
Sydney - Ryde	2016	37
Sydney - South West	2016	35
Sydney - Sutherland	2016	40
Migratory - Offshore - Shipping (NSW)	2016	58
No usual address (NSW)	2016	39
Ballarat	2016	42
Bendigo	2016	42
Geelong	2016	40
Hume	2016	44
Latrobe - Gippsland	2016	45
Melbourne - Inner	2016	33
Melbourne - Inner East	2016	39
Melbourne - Inner South	2016	40
Melbourne - North East	2016	36
Melbourne - North West	2016	35
Melbourne - Outer East	2016	39
Melbourne - South East	2016	35
Melbourne - West	2016	34
Mornington Peninsula	2016	42
North West	2016	44
Shepparton	2016	43
Warrnambool and South West	2016	44
Migratory - Offshore - Shipping (Vic.)	2016	49
No usual address (Vic.)	2016	34
Brisbane - East	2016	40
Brisbane - North	2016	37
Brisbane - South	2016	34
Brisbane - West	2016	36
Brisbane Inner City	2016	33
Cairns	2016	39
Darling Downs - Maranoa	2016	41
Central Queensland	2016	36
Gold Coast	2016	39
Ipswich	2016	34
Logan - Beaudesert	2016	34
Mackay - Isaac - Whitsunday	2016	37
Moreton Bay - North	2016	41
Moreton Bay - South	2016	35
Queensland - Outback	2016	33
Sunshine Coast	2016	44
Toowoomba	2016	37
Townsville	2016	36
Wide Bay	2016	46
Migratory - Offshore - Shipping (Qld)	2016	56
No usual address (Qld)	2016	45
Adelaide - Central and Hills	2016	40
Adelaide - North	2016	36
Adelaide - South	2016	41
Adelaide - West	2016	40
Barossa - Yorke - Mid North	2016	47
South Australia - Outback	2016	40
South Australia - South East	2016	46
Migratory - Offshore - Shipping (SA)	2016	45
No usual address (SA)	2016	40
Bunbury	2016	41
Mandurah	2016	43
Perth - Inner	2016	36
Perth - North East	2016	36
Perth - North West	2016	36
Perth - South East	2016	35
Perth - South West	2016	36
Western Australia - Wheat Belt	2016	44
Western Australia - Outback (North)	2016	33
Western Australia - Outback (South)	2016	37
Migratory - Offshore - Shipping (WA)	2016	40
No usual address (WA)	2016	41
Hobart	2016	40
Launceston and North East	2016	43
South East	2016	48
West and North West	2016	44
Migratory - Offshore - Shipping (Tas.)	2016	41
No usual address (Tas.)	2016	38
Darwin	2016	33
Northern Territory - Outback	2016	30
Migratory - Offshore - Shipping (NT)	2016	36
No usual address (NT)	2016	44
Australian Capital Territory	2016	35
Migratory - Offshore - Shipping (ACT)	2016	0
No usual address (ACT)	2016	36
Other Territories	2016	42
Migratory - Offshore - Shipping (OT)	2016	39
No usual address (OT)	2016	42
