SA4_NAME16	Year	Age5yr	ChildrenEverBorn	females
Capital Region	2006	55-59	2	2515
Capital Region	2006	55-59	3	1708
Capital Region	2006	55-59	4	811
Capital Region	2006	55-59	5	208
Capital Region	2006	55-59	6	126
Capital Region	2006	60-64		256
Capital Region	2006	60-64	0	614
Capital Region	2006	60-64	1	436
Capital Region	2006	60-64	2	1883
Capital Region	2006	60-64	3	1546
Capital Region	2006	60-64	4	747
Capital Region	2006	60-64	5	242
Capital Region	2006	60-64	6	158
Capital Region	2006	65-69		244
Capital Region	2006	65-69	0	397
Capital Region	2006	65-69	1	261
Capital Region	2006	65-69	2	1194
Capital Region	2006	65-69	3	1246
Capital Region	2006	65-69	4	753
Capital Region	2006	65-69	5	316
Capital Region	2006	65-69	6	266
Capital Region	2006	70-74		232
Capital Region	2006	70-74	0	347
Capital Region	2006	70-74	1	256
Capital Region	2006	70-74	2	763
Capital Region	2006	70-74	3	913
Capital Region	2006	70-74	4	633
Capital Region	2006	70-74	5	307
Capital Region	2006	70-74	6	312
Capital Region	2006	75-79		262
Capital Region	2006	75-79	0	285
Capital Region	2006	75-79	1	254
Capital Region	2006	75-79	2	677
Capital Region	2006	75-79	3	731
Capital Region	2006	75-79	4	510
Capital Region	2006	75-79	5	236
Capital Region	2006	75-79	6	331
Capital Region	2006	80-84		205
Capital Region	2006	80-84	0	248
Capital Region	2006	80-84	1	242
Capital Region	2006	80-84	2	579
Capital Region	2006	80-84	3	524
Capital Region	2006	80-84	4	371
Capital Region	2006	80-84	5	195
Capital Region	2006	80-84	6	188
Capital Region	2006	85+		225
Capital Region	2006	85+	0	235
Capital Region	2006	85+	1	248
Capital Region	2006	85+	2	495
Capital Region	2006	85+	3	387
Capital Region	2006	85+	4	255
Capital Region	2006	85+	5	157
Capital Region	2006	85+	6	140
Capital Region	2011	15-19		592
Capital Region	2011	15-19	0	5598
Capital Region	2011	15-19	1	119
Capital Region	2011	15-19	2	10
Capital Region	2011	15-19	3	5
Capital Region	2011	15-19	4	0
Capital Region	2011	15-19	5	0
Capital Region	2011	15-19	6	0
Capital Region	2011	20-24		290
Capital Region	2011	20-24	0	3392
Capital Region	2011	20-24	1	622
Capital Region	2011	20-24	2	250
Capital Region	2011	20-24	3	72
Capital Region	2011	20-24	4	16
Capital Region	2011	20-24	5	3
Capital Region	2011	20-24	6	0
Capital Region	2011	25-29		276
Capital Region	2011	25-29	0	2403
Capital Region	2011	25-29	1	970
Capital Region	2011	25-29	2	812
Capital Region	2011	25-29	3	304
Capital Region	2011	25-29	4	110
Capital Region	2011	25-29	5	22
Capital Region	2011	25-29	6	20
Capital Region	2011	30-34		285
Capital Region	2011	30-34	0	1440
Capital Region	2011	30-34	1	1074
Capital Region	2011	30-34	2	1550
Capital Region	2011	30-34	3	743
Capital Region	2011	30-34	4	241
Capital Region	2011	30-34	5	67
Capital Region	2011	30-34	6	49
Capital Region	2011	35-39		307
Capital Region	2011	35-39	0	1037
Capital Region	2011	35-39	1	894
Capital Region	2011	35-39	2	2290
Capital Region	2011	35-39	3	1314
Capital Region	2011	35-39	4	439
Capital Region	2011	35-39	5	148
Capital Region	2011	35-39	6	92
Capital Region	2011	40-44		332
Capital Region	2011	40-44	0	1089
Capital Region	2011	40-44	1	907
Capital Region	2011	40-44	2	2744
Capital Region	2011	40-44	3	1612
Capital Region	2011	40-44	4	611
Capital Region	2011	40-44	5	164
Capital Region	2011	40-44	6	110
Capital Region	2011	45-49		312
Capital Region	2011	45-49	0	1106
Capital Region	2011	45-49	1	902
Capital Region	2011	45-49	2	2633
Capital Region	2011	45-49	3	1690
Capital Region	2011	45-49	4	662
Capital Region	2011	45-49	5	183
Capital Region	2011	45-49	6	121
Capital Region	2011	50-54		346
Capital Region	2011	50-54	0	1137
Capital Region	2011	50-54	1	849
Capital Region	2011	50-54	2	2665
Capital Region	2011	50-54	3	1826
Capital Region	2011	50-54	4	773
Capital Region	2011	50-54	5	211
Capital Region	2011	50-54	6	117
Capital Region	2011	55-59		332
Capital Region	2011	55-59	0	1022
Capital Region	2011	55-59	1	739
Capital Region	2011	55-59	2	2632
Capital Region	2011	55-59	3	1756
Capital Region	2011	55-59	4	756
Capital Region	2011	55-59	5	208
Capital Region	2011	55-59	6	99
Capital Region	2011	60-64		342
Capital Region	2011	60-64	0	826
Capital Region	2011	60-64	1	620
Capital Region	2011	60-64	2	2601
Capital Region	2011	60-64	3	1789
Capital Region	2011	60-64	4	777
Capital Region	2011	60-64	5	229
Capital Region	2011	60-64	6	116
Capital Region	2011	65-69		306
Capital Region	2011	65-69	0	566
Capital Region	2011	65-69	1	430
Capital Region	2011	65-69	2	1861
Capital Region	2011	65-69	3	1499
Capital Region	2011	65-69	4	745
Capital Region	2011	65-69	5	250
Capital Region	2011	65-69	6	145
Capital Region	2011	70-74		267
Capital Region	2011	70-74	0	358
Capital Region	2011	70-74	1	248
Capital Region	2011	70-74	2	1128
Capital Region	2011	70-74	3	1153
Capital Region	2011	70-74	4	675
Capital Region	2011	70-74	5	304
Capital Region	2011	70-74	6	238
Capital Region	2011	75-79		264
Capital Region	2011	75-79	0	296
Capital Region	2011	75-79	1	226
Capital Region	2011	75-79	2	669
Capital Region	2011	75-79	3	806
Capital Region	2011	75-79	4	560
Capital Region	2011	75-79	5	267
Capital Region	2011	75-79	6	248
Capital Region	2011	80-84		278
Capital Region	2011	80-84	0	227
Capital Region	2011	80-84	1	212
Capital Region	2011	80-84	2	544
Capital Region	2011	80-84	3	594
Capital Region	2011	80-84	4	433
Capital Region	2011	80-84	5	191
Capital Region	2011	80-84	6	246
Capital Region	2011	85+		415
Capital Region	2011	85+	0	242
Capital Region	2011	85+	1	246
Capital Region	2011	85+	2	634
Capital Region	2011	85+	3	548
Capital Region	2011	85+	4	359
Capital Region	2011	85+	5	190
Capital Region	2011	85+	6	174
Capital Region	2016	15-19		862
Capital Region	2016	15-19	0	5201
Capital Region	2016	15-19	1	86
Capital Region	2016	15-19	2	13
Capital Region	2016	15-19	3	3
Capital Region	2016	15-19	4	0
Capital Region	2016	15-19	5	0
Capital Region	2016	15-19	6	3
Capital Region	2016	20-24		477
Capital Region	2016	20-24	0	3678
Capital Region	2016	20-24	1	545
Capital Region	2016	20-24	2	254
Capital Region	2016	20-24	3	59
Capital Region	2016	20-24	4	7
Capital Region	2016	20-24	5	0
Capital Region	2016	20-24	6	3
Capital Region	2016	25-29		476
Capital Region	2016	25-29	0	2675
Capital Region	2016	25-29	1	1073
Capital Region	2016	25-29	2	788
Capital Region	2016	25-29	3	303
Capital Region	2016	25-29	4	82
Capital Region	2016	25-29	5	24
Capital Region	2016	25-29	6	10
Capital Region	2016	30-34		459
Capital Region	2016	30-34	0	1647
Capital Region	2016	30-34	1	1163
Capital Region	2016	30-34	2	1534
Capital Region	2016	30-34	3	721
Capital Region	2016	30-34	4	236
Capital Region	2016	30-34	5	76
Capital Region	2016	30-34	6	43
Capital Region	2016	35-39		407
Capital Region	2016	35-39	0	998
Capital Region	2016	35-39	1	857
Capital Region	2016	35-39	2	1942
Capital Region	2016	35-39	3	1144
Capital Region	2016	35-39	4	412
Capital Region	2016	35-39	5	122
Capital Region	2016	35-39	6	91
Capital Region	2016	40-44		462
Capital Region	2016	40-44	0	963
Capital Region	2016	40-44	1	878
Capital Region	2016	40-44	2	2384
Capital Region	2016	40-44	3	1489
Capital Region	2016	40-44	4	491
Capital Region	2016	40-44	5	168
Capital Region	2016	40-44	6	117
Capital Region	2016	45-49		551
Capital Region	2016	45-49	0	1204
Capital Region	2016	45-49	1	910
Capital Region	2016	45-49	2	2729
Capital Region	2016	45-49	3	1613
Capital Region	2016	45-49	4	619
Capital Region	2016	45-49	5	169
Capital Region	2016	45-49	6	111
Capital Region	2016	50-54		593
Capital Region	2016	50-54	0	1179
Capital Region	2016	50-54	1	951
Capital Region	2016	50-54	2	2704
Capital Region	2016	50-54	3	1678
Capital Region	2016	50-54	4	680
Capital Region	2016	50-54	5	194
Capital Region	2016	50-54	6	123
Capital Region	2016	55-59		624
Capital Region	2016	55-59	0	1199
Capital Region	2016	55-59	1	863
Capital Region	2016	55-59	2	2733
Capital Region	2016	55-59	3	1887
Capital Region	2016	55-59	4	770
Capital Region	2016	55-59	5	216
Capital Region	2016	55-59	6	116
Capital Region	2016	60-64		603
Capital Region	2016	60-64	0	1064
Capital Region	2016	60-64	1	767
Capital Region	2016	60-64	2	2697
Capital Region	2016	60-64	3	1825
Capital Region	2016	60-64	4	787
Capital Region	2016	60-64	5	223
Capital Region	2016	60-64	6	106
Capital Region	2016	65-69		589
Capital Region	2016	65-69	0	772
Capital Region	2016	65-69	1	597
Capital Region	2016	65-69	2	2563
Capital Region	2016	65-69	3	1726
Capital Region	2016	65-69	4	803
Capital Region	2016	65-69	5	235
Capital Region	2016	65-69	6	137
Capital Region	2016	70-74		524
Capital Region	2016	70-74	0	518
Capital Region	2016	70-74	1	425
Capital Region	2016	70-74	2	1709
Capital Region	2016	70-74	3	1372
Capital Region	2016	70-74	4	692
Capital Region	2016	70-74	5	245
Capital Region	2016	70-74	6	145
Capital Region	2016	75-79		474
Capital Region	2016	75-79	0	305
Capital Region	2016	75-79	1	200
Capital Region	2016	75-79	2	968
Capital Region	2016	75-79	3	1013
Capital Region	2016	75-79	4	596
Capital Region	2016	75-79	5	256
Capital Region	2016	75-79	6	185
Capital Region	2016	80-84		373
Capital Region	2016	80-84	0	224
Capital Region	2016	80-84	1	165
Capital Region	2016	80-84	2	539
Capital Region	2016	80-84	3	654
Capital Region	2016	80-84	4	453
Capital Region	2016	80-84	5	229
Capital Region	2016	80-84	6	189
Capital Region	2016	85+		691
Capital Region	2016	85+	0	222
Capital Region	2016	85+	1	227
Capital Region	2016	85+	2	612
Capital Region	2016	85+	3	625
Capital Region	2016	85+	4	466
Capital Region	2016	85+	5	208
Capital Region	2016	85+	6	239
Central Coast	2006	15-19		1021
Central Coast	2006	15-19	0	8597
Central Coast	2006	15-19	1	188
Central Coast	2006	15-19	2	27
Central Coast	2006	15-19	3	6
Central Coast	2006	15-19	4	7
Central Coast	2006	15-19	5	0
Central Coast	2006	15-19	6	3
Central Coast	2006	20-24		520
Central Coast	2006	20-24	0	5818
Central Coast	2006	20-24	1	954
Central Coast	2006	20-24	2	391
Central Coast	2006	20-24	3	81
Central Coast	2006	20-24	4	13
Central Coast	2006	20-24	5	0
Central Coast	2006	20-24	6	4
Central Coast	2006	25-29		400
Central Coast	2006	25-29	0	3415
Central Coast	2006	25-29	1	1552
Central Coast	2006	25-29	2	1320
Central Coast	2006	25-29	3	454
Central Coast	2006	25-29	4	99
Central Coast	2006	25-29	5	48
Central Coast	2006	25-29	6	9
Central Coast	2006	30-34		446
Central Coast	2006	30-34	0	2132
Central Coast	2006	30-34	1	1862
Central Coast	2006	30-34	2	2892
Central Coast	2006	30-34	3	1282
Central Coast	2006	30-34	4	376
Central Coast	2006	30-34	5	91
Central Coast	2006	30-34	6	39
Central Coast	2006	35-39		499
Central Coast	2006	35-39	0	1391
Central Coast	2006	35-39	1	1504
Central Coast	2006	35-39	2	3792
Central Coast	2006	35-39	3	2154
Central Coast	2006	35-39	4	677
Central Coast	2006	35-39	5	185
Central Coast	2006	35-39	6	103
Central Coast	2006	40-44		535
Central Coast	2006	40-44	0	1202
Central Coast	2006	40-44	1	1300
Central Coast	2006	40-44	2	4096
Central Coast	2006	40-44	3	2538
Central Coast	2006	40-44	4	910
Central Coast	2006	40-44	5	249
Central Coast	2006	40-44	6	109
Central Coast	2006	45-49		591
Central Coast	2006	45-49	0	1193
Central Coast	2006	45-49	1	1238
Central Coast	2006	45-49	2	4093
Central Coast	2006	45-49	3	2691
Central Coast	2006	45-49	4	965
Central Coast	2006	45-49	5	249
Central Coast	2006	45-49	6	102
Central Coast	2006	50-54		478
Central Coast	2006	50-54	0	1029
Central Coast	2006	50-54	1	984
Central Coast	2006	50-54	2	3741
Central Coast	2006	50-54	3	2401
Central Coast	2006	50-54	4	851
Central Coast	2006	50-54	5	199
Central Coast	2006	50-54	6	115
Central Coast	2006	55-59		495
Central Coast	2006	55-59	0	936
Central Coast	2006	55-59	1	929
Central Coast	2006	55-59	2	3505
Central Coast	2006	55-59	3	2322
Central Coast	2006	55-59	4	839
Central Coast	2006	55-59	5	207
Central Coast	2006	55-59	6	107
Central Coast	2006	60-64		445
Central Coast	2006	60-64	0	777
Central Coast	2006	60-64	1	729
Central Coast	2006	60-64	2	2841
Central Coast	2006	60-64	3	2071
Central Coast	2006	60-64	4	865
Central Coast	2006	60-64	5	269
Central Coast	2006	60-64	6	125
Central Coast	2006	65-69		487
Central Coast	2006	65-69	0	642
Central Coast	2006	65-69	1	583
Central Coast	2006	65-69	2	2101
Central Coast	2006	65-69	3	1875
Central Coast	2006	65-69	4	956
Central Coast	2006	65-69	5	330
Central Coast	2006	65-69	6	248
Central Coast	2006	70-74		553
Central Coast	2006	70-74	0	628
Central Coast	2006	70-74	1	522
Central Coast	2006	70-74	2	1658
Central Coast	2006	70-74	3	1587
Central Coast	2006	70-74	4	982
Central Coast	2006	70-74	5	412
Central Coast	2006	70-74	6	303
Central Coast	2006	75-79		704
Central Coast	2006	75-79	0	629
Central Coast	2006	75-79	1	585
Central Coast	2006	75-79	2	1708
Central Coast	2006	75-79	3	1460
Central Coast	2006	75-79	4	830
Central Coast	2006	75-79	5	408
Central Coast	2006	75-79	6	368
Central Coast	2006	80-84		679
Central Coast	2006	80-84	0	573
Central Coast	2006	80-84	1	601
Central Coast	2006	80-84	2	1432
Central Coast	2006	80-84	3	1040
Central Coast	2006	80-84	4	610
Central Coast	2006	80-84	5	236
Central Coast	2006	80-84	6	234
Central Coast	2006	85+		873
Central Coast	2006	85+	0	481
Central Coast	2006	85+	1	569
Central Coast	2006	85+	2	1115
Central Coast	2006	85+	3	842
Central Coast	2006	85+	4	417
Central Coast	2006	85+	5	163
Central Coast	2006	85+	6	167
Central Coast	2011	15-19		868
Central Coast	2011	15-19	0	9113
Central Coast	2011	15-19	1	157
Central Coast	2011	15-19	2	17
Central Coast	2011	15-19	3	5
Central Coast	2011	15-19	4	0
Central Coast	2011	15-19	5	0
Central Coast	2011	15-19	6	0
Central Coast	2011	20-24		473
Central Coast	2011	20-24	0	6511
Central Coast	2011	20-24	1	977
Central Coast	2011	20-24	2	371
Central Coast	2011	20-24	3	95
Central Coast	2011	20-24	4	16
Central Coast	2011	20-24	5	3
Central Coast	2011	20-24	6	5
Central Coast	2011	25-29		364
Central Coast	2011	25-29	0	4167
Central Coast	2011	25-29	1	1664
Central Coast	2011	25-29	2	1342
Central Coast	2011	25-29	3	464
Central Coast	2011	25-29	4	126
Central Coast	2011	25-29	5	22
Central Coast	2011	25-29	6	11
Central Coast	2011	30-34		366
Central Coast	2011	30-34	0	2109
Central Coast	2011	30-34	1	1790
Central Coast	2011	30-34	2	2561
Central Coast	2011	30-34	3	1200
Central Coast	2011	30-34	4	362
Central Coast	2011	30-34	5	95
Central Coast	2011	30-34	6	56
Central Coast	2011	35-39		409
Central Coast	2011	35-39	0	1472
Central Coast	2011	35-39	1	1470
Central Coast	2011	35-39	2	3830
Central Coast	2011	35-39	3	1980
Central Coast	2011	35-39	4	678
Central Coast	2011	35-39	5	206
Central Coast	2011	35-39	6	103
Central Coast	2011	40-44		474
Central Coast	2011	40-44	0	1284
Central Coast	2011	40-44	1	1424
Central Coast	2011	40-44	2	4146
Central Coast	2011	40-44	3	2411
Central Coast	2011	40-44	4	841
Central Coast	2011	40-44	5	237
Central Coast	2011	40-44	6	150
Central Coast	2011	45-49		436
Central Coast	2011	45-49	0	1260
Central Coast	2011	45-49	1	1330
Central Coast	2011	45-49	2	4159
Central Coast	2011	45-49	3	2552
Central Coast	2011	45-49	4	929
Central Coast	2011	45-49	5	262
Central Coast	2011	45-49	6	126
Central Coast	2011	50-54		512
Central Coast	2011	50-54	0	1230
Central Coast	2011	50-54	1	1267
Central Coast	2011	50-54	2	4124
Central Coast	2011	50-54	3	2712
Central Coast	2011	50-54	4	973
Central Coast	2011	50-54	5	261
Central Coast	2011	50-54	6	124
Central Coast	2011	55-59		420
Central Coast	2011	55-59	0	1104
Central Coast	2011	55-59	1	1032
Central Coast	2011	55-59	2	3821
Central Coast	2011	55-59	3	2430
Central Coast	2011	55-59	4	878
Central Coast	2011	55-59	5	228
Central Coast	2011	55-59	6	105
Central Coast	2011	60-64		453
Central Coast	2011	60-64	0	999
Central Coast	2011	60-64	1	987
Central Coast	2011	60-64	2	3765
Central Coast	2011	60-64	3	2527
Central Coast	2011	60-64	4	852
Central Coast	2011	60-64	5	230
Central Coast	2011	60-64	6	108
Central Coast	2011	65-69		474
Central Coast	2011	65-69	0	837
Central Coast	2011	65-69	1	775
Central Coast	2011	65-69	2	2986
Central Coast	2011	65-69	3	2221
Central Coast	2011	65-69	4	942
Central Coast	2011	65-69	5	279
Central Coast	2011	65-69	6	116
Central Coast	2011	70-74		463
Central Coast	2011	70-74	0	615
Central Coast	2011	70-74	1	573
Central Coast	2011	70-74	2	2070
Central Coast	2011	70-74	3	1866
Central Coast	2011	70-74	4	950
Central Coast	2011	70-74	5	322
Central Coast	2011	70-74	6	241
Central Coast	2011	75-79		479
Central Coast	2011	75-79	0	583
Central Coast	2011	75-79	1	492
Central Coast	2011	75-79	2	1519
Central Coast	2011	75-79	3	1458
Central Coast	2011	75-79	4	888
Central Coast	2011	75-79	5	367
Central Coast	2011	75-79	6	299
Central Coast	2011	80-84		602
Central Coast	2011	80-84	0	521
Central Coast	2011	80-84	1	494
Central Coast	2011	80-84	2	1408
Central Coast	2011	80-84	3	1171
Central Coast	2011	80-84	4	685
Central Coast	2011	80-84	5	320
Central Coast	2011	80-84	6	299
Central Coast	2011	85+		1022
Central Coast	2011	85+	0	588
Central Coast	2011	85+	1	674
Central Coast	2011	85+	2	1497
Central Coast	2011	85+	3	997
Central Coast	2011	85+	4	553
Central Coast	2011	85+	5	234
Central Coast	2011	85+	6	238
Central Coast	2016	15-19		995
Central Coast	2016	15-19	0	8686
Central Coast	2016	15-19	1	97
Central Coast	2016	15-19	2	20
Central Coast	2016	15-19	3	5
Central Coast	2016	15-19	4	0
Central Coast	2016	15-19	5	0
Central Coast	2016	15-19	6	0
Central Coast	2016	20-24		738
Central Coast	2016	20-24	0	6905
Central Coast	2016	20-24	1	837
Central Coast	2016	20-24	2	351
Central Coast	2016	20-24	3	62
Central Coast	2016	20-24	4	11
Central Coast	2016	20-24	5	0
Central Coast	2016	20-24	6	3
Central Coast	2016	25-29		534
Central Coast	2016	25-29	0	4704
Central Coast	2016	25-29	1	1661
Central Coast	2016	25-29	2	1285
Central Coast	2016	25-29	3	401
Central Coast	2016	25-29	4	86
Central Coast	2016	25-29	5	18
Central Coast	2016	25-29	6	13
Central Coast	2016	30-34		493
Central Coast	2016	30-34	0	2549
Central Coast	2016	30-34	1	2030
Central Coast	2016	30-34	2	2663
Central Coast	2016	30-34	3	1132
Central Coast	2016	30-34	4	322
Central Coast	2016	30-34	5	87
Central Coast	2016	30-34	6	47
Central Coast	2016	35-39		490
Central Coast	2016	35-39	0	1396
Central Coast	2016	35-39	1	1446
Central Coast	2016	35-39	2	3491
Central Coast	2016	35-39	3	1826
Central Coast	2016	35-39	4	605
Central Coast	2016	35-39	5	181
Central Coast	2016	35-39	6	94
Central Coast	2016	40-44		565
Central Coast	2016	40-44	0	1332
Central Coast	2016	40-44	1	1416
Central Coast	2016	40-44	2	4066
Central Coast	2016	40-44	3	2245
Central Coast	2016	40-44	4	808
Central Coast	2016	40-44	5	246
Central Coast	2016	40-44	6	137
Central Coast	2016	45-49		613
Central Coast	2016	45-49	0	1356
Central Coast	2016	45-49	1	1456
Central Coast	2016	45-49	2	4192
Central Coast	2016	45-49	3	2422
Central Coast	2016	45-49	4	876
Central Coast	2016	45-49	5	242
Central Coast	2016	45-49	6	164
Central Coast	2016	50-54		621
Central Coast	2016	50-54	0	1350
Central Coast	2016	50-54	1	1348
Central Coast	2016	50-54	2	4078
Central Coast	2016	50-54	3	2542
Central Coast	2016	50-54	4	905
Central Coast	2016	50-54	5	270
Central Coast	2016	50-54	6	138
Central Coast	2016	55-59		666
Central Coast	2016	55-59	0	1291
Central Coast	2016	55-59	1	1340
Central Coast	2016	55-59	2	4210
Central Coast	2016	55-59	3	2698
Central Coast	2016	55-59	4	972
Central Coast	2016	55-59	5	279
Central Coast	2016	55-59	6	151
Central Coast	2016	60-64		615
Central Coast	2016	60-64	0	1137
Central Coast	2016	60-64	1	1122
Central Coast	2016	60-64	2	3957
Central Coast	2016	60-64	3	2583
Central Coast	2016	60-64	4	924
Central Coast	2016	60-64	5	238
Central Coast	2016	60-64	6	123
Central Coast	2016	65-69		725
Central Coast	2016	65-69	0	995
Central Coast	2016	65-69	1	1038
Central Coast	2016	65-69	2	3914
Central Coast	2016	65-69	3	2611
Central Coast	2016	65-69	4	937
Central Coast	2016	65-69	5	275
Central Coast	2016	65-69	6	129
Central Coast	2016	70-74		632
Central Coast	2016	70-74	0	788
Central Coast	2016	70-74	1	757
Central Coast	2016	70-74	2	2958
Central Coast	2016	70-74	3	2251
Central Coast	2016	70-74	4	919
Central Coast	2016	70-74	5	280
Central Coast	2016	70-74	6	127
Central Coast	2016	75-79		651
Central Coast	2016	75-79	0	531
Central Coast	2016	75-79	1	497
Central Coast	2016	75-79	2	1916
Central Coast	2016	75-79	3	1703
Central Coast	2016	75-79	4	881
Central Coast	2016	75-79	5	310
Central Coast	2016	75-79	6	224
Central Coast	2016	80-84		650
Central Coast	2016	80-84	0	469
Central Coast	2016	80-84	1	331
Central Coast	2016	80-84	2	1232
Central Coast	2016	80-84	3	1263
Central Coast	2016	80-84	4	770
Central Coast	2016	80-84	5	292
Central Coast	2016	80-84	6	246
Central Coast	2016	85+		1272
Central Coast	2016	85+	0	501
Central Coast	2016	85+	1	535
Central Coast	2016	85+	2	1463
Central Coast	2016	85+	3	1245
Central Coast	2016	85+	4	745
Central Coast	2016	85+	5	320
Central Coast	2016	85+	6	326
Central West	2006	15-19		545
Central West	2006	15-19	0	5842
Central West	2006	15-19	1	189
Central West	2006	15-19	2	27
Central West	2006	15-19	3	9
Central West	2006	15-19	4	5
Central West	2006	15-19	5	0
Central West	2006	15-19	6	0
Central West	2006	20-24		270
Central West	2006	20-24	0	3671
Central West	2006	20-24	1	742
Central West	2006	20-24	2	349
Central West	2006	20-24	3	113
Central West	2006	20-24	4	15
Central West	2006	20-24	5	3
Central West	2006	20-24	6	0
Central West	2006	25-29		183
Central West	2006	25-29	0	1917
Central West	2006	25-29	1	1005
Central West	2006	25-29	2	904
Central West	2006	25-29	3	422
Central West	2006	25-29	4	126
Central West	2006	25-29	5	43
Central West	2006	25-29	6	27
Central West	2006	30-34		206
Central West	2006	30-34	0	1146
Central West	2006	30-34	1	950
Central West	2006	30-34	2	1780
Central West	2006	30-34	3	1020
Central West	2006	30-34	4	380
Central West	2006	30-34	5	113
Central West	2006	30-34	6	67
Central West	2006	35-39		218
Central West	2006	35-39	0	773
Central West	2006	35-39	1	677
Central West	2006	35-39	2	2188
Central West	2006	35-39	3	1516
Central West	2006	35-39	4	602
Central West	2006	35-39	5	189
Central West	2006	35-39	6	119
Central West	2006	40-44		240
Central West	2006	40-44	0	727
Central West	2006	40-44	1	664
Central West	2006	40-44	2	2243
Central West	2006	40-44	3	1790
Central West	2006	40-44	4	716
Central West	2006	40-44	5	237
Central West	2006	40-44	6	120
Central West	2006	45-49		202
Central West	2006	45-49	0	707
Central West	2006	45-49	1	591
Central West	2006	45-49	2	2191
Central West	2006	45-49	3	1781
Central West	2006	45-49	4	829
Central West	2006	45-49	5	236
Central West	2006	45-49	6	113
Central West	2006	50-54		220
Central West	2006	50-54	0	621
Central West	2006	50-54	1	509
Central West	2006	50-54	2	2021
Central West	2006	50-54	3	1688
Central West	2006	50-54	4	797
Central West	2006	50-54	5	242
Central West	2006	50-54	6	135
Central West	2006	55-59		261
Central West	2006	55-59	0	545
Central West	2006	55-59	1	489
Central West	2006	55-59	2	2125
Central West	2006	55-59	3	1601
Central West	2006	55-59	4	789
Central West	2006	55-59	5	249
Central West	2006	55-59	6	157
Central West	2006	60-64		266
Central West	2006	60-64	0	491
Central West	2006	60-64	1	355
Central West	2006	60-64	2	1499
Central West	2006	60-64	3	1377
Central West	2006	60-64	4	758
Central West	2006	60-64	5	274
Central West	2006	60-64	6	168
Central West	2006	65-69		233
Central West	2006	65-69	0	363
Central West	2006	65-69	1	239
Central West	2006	65-69	2	979
Central West	2006	65-69	3	1122
Central West	2006	65-69	4	729
Central West	2006	65-69	5	320
Central West	2006	65-69	6	274
Central West	2006	70-74		228
Central West	2006	70-74	0	312
Central West	2006	70-74	1	241
Central West	2006	70-74	2	676
Central West	2006	70-74	3	853
Central West	2006	70-74	4	638
Central West	2006	70-74	5	340
Central West	2006	70-74	6	358
Central West	2006	75-79		254
Central West	2006	75-79	0	306
Central West	2006	75-79	1	221
Central West	2006	75-79	2	636
Central West	2006	75-79	3	677
Central West	2006	75-79	4	520
Central West	2006	75-79	5	294
Central West	2006	75-79	6	324
Central West	2006	80-84		231
Central West	2006	80-84	0	216
Central West	2006	80-84	1	232
Central West	2006	80-84	2	532
Central West	2006	80-84	3	529
Central West	2006	80-84	4	363
Central West	2006	80-84	5	182
Central West	2006	80-84	6	245
Central West	2006	85+		266
Central West	2006	85+	0	287
Central West	2006	85+	1	224
