SA4_NAME16	Year	medianMortgageRepaymentMonthly
Sydney - City and Inner South	2016	2500
Sydney - Eastern Suburbs	2016	2900
Sydney - Inner South West	2016	2167
Sydney - Inner West	2016	2500
Sydney - North Sydney and Hornsby	2016	2600
Sydney - Northern Beaches	2016	2800
Sydney - Outer South West	2016	2000
Sydney - Outer West and Blue Mountains	2016	1950
Sydney - Parramatta	2016	2037
Sydney - Ryde	2016	2383
Sydney - South West	2016	2000
Sydney - Sutherland	2016	2427
Migratory - Offshore - Shipping (NSW)	2016	0
No usual address (NSW)	2016	0
Ballarat	2016	1300
Bendigo	2016	1382
Geelong	2016	1560
Hume	2016	1300
Latrobe - Gippsland	2016	1300
Melbourne - Inner	2016	2100
Melbourne - Inner East	2016	2167
Melbourne - Inner South	2016	2167
Melbourne - North East	2016	1829
Melbourne - North West	2016	1733
Melbourne - Outer East	2016	1768
Melbourne - South East	2016	1733
Melbourne - West	2016	1733
Mornington Peninsula	2016	1700
North West	2016	1083
Shepparton	2016	1300
Warrnambool and South West	2016	1300
Migratory - Offshore - Shipping (Vic.)	2016	0
No usual address (Vic.)	2016	0
Brisbane - East	2016	2000
Brisbane - North	2016	1950
Brisbane - South	2016	2000
Brisbane - West	2016	2134
Brisbane Inner City	2016	2200
Cairns	2016	1597
Darling Downs - Maranoa	2016	1300
Central Queensland	2016	1733
Gold Coast	2016	1950
Ipswich	2016	1603
Logan - Beaudesert	2016	1733
Mackay - Isaac - Whitsunday	2016	1876
Moreton Bay - North	2016	1719
Moreton Bay - South	2016	1928
Queensland - Outback	2016	1500
Sunshine Coast	2016	1777
Toowoomba	2016	1560
Townsville	2016	1668
Wide Bay	2016	1300
Migratory - Offshore - Shipping (Qld)	2016	0
No usual address (Qld)	2016	0
Adelaide - Central and Hills	2016	1734
Adelaide - North	2016	1413
Adelaide - South	2016	1517
Adelaide - West	2016	1625
Barossa - Yorke - Mid North	2016	1170
South Australia - Outback	2016	1250
South Australia - South East	2016	1127
Migratory - Offshore - Shipping (SA)	2016	0
No usual address (SA)	2016	0
Bunbury	2016	1733
Mandurah	2016	1826
Perth - Inner	2016	2448
Perth - North East	2016	2000
Perth - North West	2016	2037
Perth - South East	2016	1950
Perth - South West	2016	2000
Western Australia - Wheat Belt	2016	1400
Western Australia - Outback (North)	2016	2443
Western Australia - Outback (South)	2016	1722
Migratory - Offshore - Shipping (WA)	2016	0
No usual address (WA)	2016	0
Hobart	2016	1402
Launceston and North East	2016	1260
South East	2016	1192
West and North West	2016	1165
Migratory - Offshore - Shipping (Tas.)	2016	0
No usual address (Tas.)	2016	0
Darwin	2016	2200
Northern Territory - Outback	2016	1816
Migratory - Offshore - Shipping (NT)	2016	0
No usual address (NT)	2016	0
Australian Capital Territory	2016	2058
Migratory - Offshore - Shipping (ACT)	2016	0
No usual address (ACT)	2016	0
Other Territories	2016	1400
Migratory - Offshore - Shipping (OT)	2016	0
No usual address (OT)	2016	0
