SA4_NAME16	Year	medianTotalPersonalIncomeWeekly
Sydney - Northern Beaches	2016	916
Sydney - Outer South West	2016	686
Sydney - Outer West and Blue Mountains	2016	715
Sydney - Parramatta	2016	586
Sydney - Ryde	2016	760
Sydney - South West	2016	500
Sydney - Sutherland	2016	836
Migratory - Offshore - Shipping (NSW)	2016	540
No usual address (NSW)	2016	405
Ballarat	2016	559
Bendigo	2016	593
Geelong	2016	616
Hume	2016	599
Latrobe - Gippsland	2016	540
Melbourne - Inner	2016	883
Melbourne - Inner East	2016	707
Melbourne - Inner South	2016	802
Melbourne - North East	2016	645
Melbourne - North West	2016	579
Melbourne - Outer East	2016	674
Melbourne - South East	2016	586
Melbourne - West	2016	625
Mornington Peninsula	2016	643
North West	2016	549
Shepparton	2016	565
Warrnambool and South West	2016	582
Migratory - Offshore - Shipping (Vic.)	2016	3000
No usual address (Vic.)	2016	398
Brisbane - East	2016	717
Brisbane - North	2016	772
Brisbane - South	2016	700
Brisbane - West	2016	779
Brisbane Inner City	2016	938
Cairns	2016	642
Darling Downs - Maranoa	2016	582
Central Queensland	2016	664
Gold Coast	2016	665
Ipswich	2016	626
Logan - Beaudesert	2016	629
Mackay - Isaac - Whitsunday	2016	717
Moreton Bay - North	2016	572
Moreton Bay - South	2016	758
Queensland - Outback	2016	648
Sunshine Coast	2016	612
Toowoomba	2016	649
Townsville	2016	672
Wide Bay	2016	478
Migratory - Offshore - Shipping (Qld)	2016	606
No usual address (Qld)	2016	407
Adelaide - Central and Hills	2016	700
Adelaide - North	2016	563
Adelaide - South	2016	635
Adelaide - West	2016	597
Barossa - Yorke - Mid North	2016	535
South Australia - Outback	2016	594
South Australia - South East	2016	544
Migratory - Offshore - Shipping (SA)	2016	1749
No usual address (SA)	2016	370
Bunbury	2016	637
Mandurah	2016	553
Perth - Inner	2016	957
Perth - North East	2016	717
Perth - North West	2016	746
Perth - South East	2016	691
Perth - South West	2016	732
Western Australia - Wheat Belt	2016	623
Western Australia - Outback (North)	2016	1239
Western Australia - Outback (South)	2016	732
Migratory - Offshore - Shipping (WA)	2016	2654
No usual address (WA)	2016	434
Hobart	2016	637
Launceston and North East	2016	537
South East	2016	498
West and North West	2016	523
Migratory - Offshore - Shipping (Tas.)	2016	1089
No usual address (Tas.)	2016	385
Darwin	2016	1052
Northern Territory - Outback	2016	525
Migratory - Offshore - Shipping (NT)	2016	700
No usual address (NT)	2016	449
Australian Capital Territory	2016	1000
Migratory - Offshore - Shipping (ACT)	2016	0
No usual address (ACT)	2016	447
Other Territories	2016	715
Migratory - Offshore - Shipping (OT)	2016	1833
No usual address (OT)	2016	412
