SA4_NAME16	Year	Age	NonSchoolQualification	adults
Capital Region	2011	35-44	Certificate III and IV Level	6284
Capital Region	2011	35-44	Advanced Diploma and Diploma	2751
Capital Region	2011	35-44	Bachelor	3848
Capital Region	2011	35-44	Graduate Diploma and Graduate Certificate	660
Capital Region	2011	35-44	Postgraduate	1095
Capital Region	2011	45-54		3089
Capital Region	2011	45-54	Certificate nfd	684
Capital Region	2011	45-54	Certificate I and II Level	454
Capital Region	2011	45-54	Certificate III and IV Level	6759
Capital Region	2011	45-54	Advanced Diploma and Diploma	2901
Capital Region	2011	45-54	Bachelor	3570
Capital Region	2011	45-54	Graduate Diploma and Graduate Certificate	827
Capital Region	2011	45-54	Postgraduate	1105
Capital Region	2011	55-64		3301
Capital Region	2011	55-64	Certificate nfd	728
Capital Region	2011	55-64	Certificate I and II Level	309
Capital Region	2011	55-64	Certificate III and IV Level	5255
Capital Region	2011	55-64	Advanced Diploma and Diploma	2751
Capital Region	2011	55-64	Bachelor	3241
Capital Region	2011	55-64	Graduate Diploma and Graduate Certificate	871
Capital Region	2011	55-64	Postgraduate	1097
Capital Region	2011	65-74		3065
Capital Region	2011	65-74	Certificate nfd	373
Capital Region	2011	65-74	Certificate I and II Level	120
Capital Region	2011	65-74	Certificate III and IV Level	2998
Capital Region	2011	65-74	Advanced Diploma and Diploma	1487
Capital Region	2011	65-74	Bachelor	1681
Capital Region	2011	65-74	Graduate Diploma and Graduate Certificate	313
Capital Region	2011	65-74	Postgraduate	521
Capital Region	2011	75-84		2509
Capital Region	2011	75-84	Certificate nfd	149
Capital Region	2011	75-84	Certificate I and II Level	36
Capital Region	2011	75-84	Certificate III and IV Level	1279
Capital Region	2011	75-84	Advanced Diploma and Diploma	565
Capital Region	2011	75-84	Bachelor	579
Capital Region	2011	75-84	Graduate Diploma and Graduate Certificate	60
Capital Region	2011	75-84	Postgraduate	132
Capital Region	2011	85+		1201
Capital Region	2011	85+	Certificate nfd	52
Capital Region	2011	85+	Certificate I and II Level	16
Capital Region	2011	85+	Certificate III and IV Level	317
Capital Region	2011	85+	Advanced Diploma and Diploma	170
Capital Region	2011	85+	Bachelor	166
Capital Region	2011	85+	Graduate Diploma and Graduate Certificate	10
Capital Region	2011	85+	Postgraduate	20
Capital Region	2016	15-19		1546
Capital Region	2016	15-19	Certificate nfd	72
Capital Region	2016	15-19	Certificate I and II Level	175
Capital Region	2016	15-19	Certificate III and IV Level	479
Capital Region	2016	15-19	Advanced Diploma and Diploma	38
Capital Region	2016	15-19	Bachelor	8
Capital Region	2016	15-19	Graduate Diploma and Graduate Certificate	0
Capital Region	2016	15-19	Postgraduate	0
Capital Region	2016	20-24		1071
Capital Region	2016	20-24	Certificate nfd	181
Capital Region	2016	20-24	Certificate I and II Level	328
Capital Region	2016	20-24	Certificate III and IV Level	2362
Capital Region	2016	20-24	Advanced Diploma and Diploma	515
Capital Region	2016	20-24	Bachelor	712
Capital Region	2016	20-24	Graduate Diploma and Graduate Certificate	38
Capital Region	2016	20-24	Postgraduate	22
Capital Region	2016	25-34		2365
Capital Region	2016	25-34	Certificate nfd	362
Capital Region	2016	25-34	Certificate I and II Level	411
Capital Region	2016	25-34	Certificate III and IV Level	5878
Capital Region	2016	25-34	Advanced Diploma and Diploma	2055
Capital Region	2016	25-34	Bachelor	3543
Capital Region	2016	25-34	Graduate Diploma and Graduate Certificate	407
Capital Region	2016	25-34	Postgraduate	796
Capital Region	2016	35-44		2603
Capital Region	2016	35-44	Certificate nfd	574
Capital Region	2016	35-44	Certificate I and II Level	359
Capital Region	2016	35-44	Certificate III and IV Level	6030
Capital Region	2016	35-44	Advanced Diploma and Diploma	2867
Capital Region	2016	35-44	Bachelor	4133
Capital Region	2016	35-44	Graduate Diploma and Graduate Certificate	680
Capital Region	2016	35-44	Postgraduate	1249
Capital Region	2016	45-54		3315
Capital Region	2016	45-54	Certificate nfd	845
Capital Region	2016	45-54	Certificate I and II Level	454
Capital Region	2016	45-54	Certificate III and IV Level	6954
Capital Region	2016	45-54	Advanced Diploma and Diploma	3551
Capital Region	2016	45-54	Bachelor	3891
Capital Region	2016	45-54	Graduate Diploma and Graduate Certificate	843
Capital Region	2016	45-54	Postgraduate	1481
Capital Region	2016	55-64		3655
Capital Region	2016	55-64	Certificate nfd	994
Capital Region	2016	55-64	Certificate I and II Level	416
Capital Region	2016	55-64	Certificate III and IV Level	6366
Capital Region	2016	55-64	Advanced Diploma and Diploma	3399
Capital Region	2016	55-64	Bachelor	3740
Capital Region	2016	55-64	Graduate Diploma and Graduate Certificate	1054
Capital Region	2016	55-64	Postgraduate	1329
Capital Region	2016	65-74		3813
Capital Region	2016	65-74	Certificate nfd	836
Capital Region	2016	65-74	Certificate I and II Level	243
Capital Region	2016	65-74	Certificate III and IV Level	4030
Capital Region	2016	65-74	Advanced Diploma and Diploma	2283
Capital Region	2016	65-74	Bachelor	2543
Capital Region	2016	65-74	Graduate Diploma and Graduate Certificate	569
Capital Region	2016	65-74	Postgraduate	882
Capital Region	2016	75-84		2859
Capital Region	2016	75-84	Certificate nfd	309
Capital Region	2016	75-84	Certificate I and II Level	52
Capital Region	2016	75-84	Certificate III and IV Level	1685
Capital Region	2016	75-84	Advanced Diploma and Diploma	821
Capital Region	2016	75-84	Bachelor	847
Capital Region	2016	75-84	Graduate Diploma and Graduate Certificate	109
Capital Region	2016	75-84	Postgraduate	223
Capital Region	2016	85+		1550
Capital Region	2016	85+	Certificate nfd	94
Capital Region	2016	85+	Certificate I and II Level	20
Capital Region	2016	85+	Certificate III and IV Level	431
Capital Region	2016	85+	Advanced Diploma and Diploma	217
Capital Region	2016	85+	Bachelor	241
Capital Region	2016	85+	Graduate Diploma and Graduate Certificate	19
Capital Region	2016	85+	Postgraduate	48
Central Coast	2006	15-19		2563
Central Coast	2006	15-19	Certificate nfd	107
Central Coast	2006	15-19	Certificate I and II Level	284
Central Coast	2006	15-19	Certificate III and IV Level	680
Central Coast	2006	15-19	Advanced Diploma and Diploma	128
Central Coast	2006	15-19	Bachelor	5
Central Coast	2006	15-19	Graduate Diploma and Graduate Certificate	0
Central Coast	2006	15-19	Postgraduate	0
Central Coast	2006	20-24		1586
Central Coast	2006	20-24	Certificate nfd	333
Central Coast	2006	20-24	Certificate I and II Level	502
Central Coast	2006	20-24	Certificate III and IV Level	3297
Central Coast	2006	20-24	Advanced Diploma and Diploma	867
Central Coast	2006	20-24	Bachelor	997
Central Coast	2006	20-24	Graduate Diploma and Graduate Certificate	22
Central Coast	2006	20-24	Postgraduate	17
Central Coast	2006	25-34		3156
Central Coast	2006	25-34	Certificate nfd	791
Central Coast	2006	25-34	Certificate I and II Level	688
Central Coast	2006	25-34	Certificate III and IV Level	7473
Central Coast	2006	25-34	Advanced Diploma and Diploma	2865
Central Coast	2006	25-34	Bachelor	4083
Central Coast	2006	25-34	Graduate Diploma and Graduate Certificate	303
Central Coast	2006	25-34	Postgraduate	351
Central Coast	2006	35-44		4569
Central Coast	2006	35-44	Certificate nfd	1114
Central Coast	2006	35-44	Certificate I and II Level	646
Central Coast	2006	35-44	Certificate III and IV Level	8999
Central Coast	2006	35-44	Advanced Diploma and Diploma	3828
Central Coast	2006	35-44	Bachelor	3788
Central Coast	2006	35-44	Graduate Diploma and Graduate Certificate	502
Central Coast	2006	35-44	Postgraduate	768
Central Coast	2006	45-54		4814
Central Coast	2006	45-54	Certificate nfd	1077
Central Coast	2006	45-54	Certificate I and II Level	556
Central Coast	2006	45-54	Certificate III and IV Level	8429
Central Coast	2006	45-54	Advanced Diploma and Diploma	3664
Central Coast	2006	45-54	Bachelor	3936
Central Coast	2006	45-54	Graduate Diploma and Graduate Certificate	756
Central Coast	2006	45-54	Postgraduate	848
Central Coast	2006	55-64		4586
Central Coast	2006	55-64	Certificate nfd	874
Central Coast	2006	55-64	Certificate I and II Level	292
Central Coast	2006	55-64	Certificate III and IV Level	5816
Central Coast	2006	55-64	Advanced Diploma and Diploma	2461
Central Coast	2006	55-64	Bachelor	2241
Central Coast	2006	55-64	Graduate Diploma and Graduate Certificate	404
Central Coast	2006	55-64	Postgraduate	604
Central Coast	2006	65-74		5054
Central Coast	2006	65-74	Certificate nfd	452
Central Coast	2006	65-74	Certificate I and II Level	99
Central Coast	2006	65-74	Certificate III and IV Level	3823
Central Coast	2006	65-74	Advanced Diploma and Diploma	1416
Central Coast	2006	65-74	Bachelor	1166
Central Coast	2006	65-74	Graduate Diploma and Graduate Certificate	183
Central Coast	2006	65-74	Postgraduate	264
Central Coast	2006	75-84		6017
Central Coast	2006	75-84	Certificate nfd	274
Central Coast	2006	75-84	Certificate I and II Level	62
Central Coast	2006	75-84	Certificate III and IV Level	2473
Central Coast	2006	75-84	Advanced Diploma and Diploma	893
Central Coast	2006	75-84	Bachelor	677
Central Coast	2006	75-84	Graduate Diploma and Graduate Certificate	60
Central Coast	2006	75-84	Postgraduate	120
Central Coast	2006	85+		2600
Central Coast	2006	85+	Certificate nfd	56
Central Coast	2006	85+	Certificate I and II Level	10
Central Coast	2006	85+	Certificate III and IV Level	497
Central Coast	2006	85+	Advanced Diploma and Diploma	206
Central Coast	2006	85+	Bachelor	135
Central Coast	2006	85+	Graduate Diploma and Graduate Certificate	10
Central Coast	2006	85+	Postgraduate	11
Central Coast	2011	15-19		2161
Central Coast	2011	15-19	Certificate nfd	125
Central Coast	2011	15-19	Certificate I and II Level	367
Central Coast	2011	15-19	Certificate III and IV Level	839
Central Coast	2011	15-19	Advanced Diploma and Diploma	99
Central Coast	2011	15-19	Bachelor	10
Central Coast	2011	15-19	Graduate Diploma and Graduate Certificate	0
Central Coast	2011	15-19	Postgraduate	3
Central Coast	2011	20-24		1350
Central Coast	2011	20-24	Certificate nfd	332
Central Coast	2011	20-24	Certificate I and II Level	497
Central Coast	2011	20-24	Certificate III and IV Level	3817
Central Coast	2011	20-24	Advanced Diploma and Diploma	948
Central Coast	2011	20-24	Bachelor	1099
Central Coast	2011	20-24	Graduate Diploma and Graduate Certificate	33
Central Coast	2011	20-24	Postgraduate	26
Central Coast	2011	25-34		2492
Central Coast	2011	25-34	Certificate nfd	626
Central Coast	2011	25-34	Certificate I and II Level	776
Central Coast	2011	25-34	Certificate III and IV Level	8759
Central Coast	2011	25-34	Advanced Diploma and Diploma	2959
Central Coast	2011	25-34	Bachelor	4816
Central Coast	2011	25-34	Graduate Diploma and Graduate Certificate	357
Central Coast	2011	25-34	Postgraduate	562
Central Coast	2011	35-44		3485
Central Coast	2011	35-44	Certificate nfd	931
Central Coast	2011	35-44	Certificate I and II Level	724
Central Coast	2011	35-44	Certificate III and IV Level	9700
Central Coast	2011	35-44	Advanced Diploma and Diploma	4700
Central Coast	2011	35-44	Bachelor	5166
Central Coast	2011	35-44	Graduate Diploma and Graduate Certificate	598
Central Coast	2011	35-44	Postgraduate	1009
Central Coast	2011	45-54		4307
Central Coast	2011	45-54	Certificate nfd	1107
Central Coast	2011	45-54	Certificate I and II Level	629
Central Coast	2011	45-54	Certificate III and IV Level	10174
Central Coast	2011	45-54	Advanced Diploma and Diploma	4266
Central Coast	2011	45-54	Bachelor	4195
Central Coast	2011	45-54	Graduate Diploma and Graduate Certificate	755
Central Coast	2011	45-54	Postgraduate	1103
Central Coast	2011	55-64		4383
Central Coast	2011	55-64	Certificate nfd	1105
Central Coast	2011	55-64	Certificate I and II Level	490
Central Coast	2011	55-64	Certificate III and IV Level	7264
Central Coast	2011	55-64	Advanced Diploma and Diploma	3353
Central Coast	2011	55-64	Bachelor	3446
Central Coast	2011	55-64	Graduate Diploma and Graduate Certificate	716
Central Coast	2011	55-64	Postgraduate	963
Central Coast	2011	65-74		4735
Central Coast	2011	65-74	Certificate nfd	706
Central Coast	2011	65-74	Certificate I and II Level	174
Central Coast	2011	65-74	Certificate III and IV Level	4758
Central Coast	2011	65-74	Advanced Diploma and Diploma	2000
Central Coast	2011	65-74	Bachelor	1710
Central Coast	2011	65-74	Graduate Diploma and Graduate Certificate	264
Central Coast	2011	65-74	Postgraduate	460
Central Coast	2011	75-84		4865
Central Coast	2011	75-84	Certificate nfd	269
Central Coast	2011	75-84	Certificate I and II Level	85
Central Coast	2011	75-84	Certificate III and IV Level	2628
Central Coast	2011	75-84	Advanced Diploma and Diploma	1015
Central Coast	2011	75-84	Bachelor	810
Central Coast	2011	75-84	Graduate Diploma and Graduate Certificate	93
Central Coast	2011	75-84	Postgraduate	168
Central Coast	2011	85+		2914
Central Coast	2011	85+	Certificate nfd	87
Central Coast	2011	85+	Certificate I and II Level	26
Central Coast	2011	85+	Certificate III and IV Level	813
Central Coast	2011	85+	Advanced Diploma and Diploma	241
Central Coast	2011	85+	Bachelor	228
Central Coast	2011	85+	Graduate Diploma and Graduate Certificate	13
Central Coast	2011	85+	Postgraduate	31
Central Coast	2016	15-19		1618
Central Coast	2016	15-19	Certificate nfd	122
Central Coast	2016	15-19	Certificate I and II Level	312
Central Coast	2016	15-19	Certificate III and IV Level	902
Central Coast	2016	15-19	Advanced Diploma and Diploma	156
Central Coast	2016	15-19	Bachelor	14
Central Coast	2016	15-19	Graduate Diploma and Graduate Certificate	8
Central Coast	2016	15-19	Postgraduate	3
Central Coast	2016	20-24		1330
Central Coast	2016	20-24	Certificate nfd	320
Central Coast	2016	20-24	Certificate I and II Level	460
Central Coast	2016	20-24	Certificate III and IV Level	3891
Central Coast	2016	20-24	Advanced Diploma and Diploma	1050
Central Coast	2016	20-24	Bachelor	1365
Central Coast	2016	20-24	Graduate Diploma and Graduate Certificate	58
Central Coast	2016	20-24	Postgraduate	48
Central Coast	2016	25-34		2612
Central Coast	2016	25-34	Certificate nfd	658
Central Coast	2016	25-34	Certificate I and II Level	588
Central Coast	2016	25-34	Certificate III and IV Level	9913
Central Coast	2016	25-34	Advanced Diploma and Diploma	3844
Central Coast	2016	25-34	Bachelor	6032
Central Coast	2016	25-34	Graduate Diploma and Graduate Certificate	468
Central Coast	2016	25-34	Postgraduate	984
Central Coast	2016	35-44		2915
Central Coast	2016	35-44	Certificate nfd	882
Central Coast	2016	35-44	Certificate I and II Level	638
Central Coast	2016	35-44	Certificate III and IV Level	9941
Central Coast	2016	35-44	Advanced Diploma and Diploma	5220
Central Coast	2016	35-44	Bachelor	6459
Central Coast	2016	35-44	Graduate Diploma and Graduate Certificate	711
Central Coast	2016	35-44	Postgraduate	1481
Central Coast	2016	45-54		3681
Central Coast	2016	45-54	Certificate nfd	1306
Central Coast	2016	45-54	Certificate I and II Level	645
Central Coast	2016	45-54	Certificate III and IV Level	10768
Central Coast	2016	45-54	Advanced Diploma and Diploma	5346
Central Coast	2016	45-54	Bachelor	4867
Central Coast	2016	45-54	Graduate Diploma and Graduate Certificate	769
Central Coast	2016	45-54	Postgraduate	1429
Central Coast	2016	55-64		4076
Central Coast	2016	55-64	Certificate nfd	1516
Central Coast	2016	55-64	Certificate I and II Level	573
Central Coast	2016	55-64	Certificate III and IV Level	8948
Central Coast	2016	55-64	Advanced Diploma and Diploma	4440
Central Coast	2016	55-64	Bachelor	4422
Central Coast	2016	55-64	Graduate Diploma and Graduate Certificate	927
Central Coast	2016	55-64	Postgraduate	1290
Central Coast	2016	65-74		4789
Central Coast	2016	65-74	Certificate nfd	1341
Central Coast	2016	65-74	Certificate I and II Level	348
Central Coast	2016	65-74	Certificate III and IV Level	6092
Central Coast	2016	65-74	Advanced Diploma and Diploma	2954
Central Coast	2016	65-74	Bachelor	2793
Central Coast	2016	65-74	Graduate Diploma and Graduate Certificate	481
Central Coast	2016	65-74	Postgraduate	828
Central Coast	2016	75-84		4288
Central Coast	2016	75-84	Certificate nfd	539
Central Coast	2016	75-84	Certificate I and II Level	90
Central Coast	2016	75-84	Certificate III and IV Level	3077
Central Coast	2016	75-84	Advanced Diploma and Diploma	1247
Central Coast	2016	75-84	Bachelor	1126
Central Coast	2016	75-84	Graduate Diploma and Graduate Certificate	148
Central Coast	2016	75-84	Postgraduate	260
Central Coast	2016	85+		3035
Central Coast	2016	85+	Certificate nfd	197
Central Coast	2016	85+	Certificate I and II Level	34
Central Coast	2016	85+	Certificate III and IV Level	1023
Central Coast	2016	85+	Advanced Diploma and Diploma	413
Central Coast	2016	85+	Bachelor	324
Central Coast	2016	85+	Graduate Diploma and Graduate Certificate	34
Central Coast	2016	85+	Postgraduate	83
Central West	2006	15-19		1562
Central West	2006	15-19	Certificate nfd	69
Central West	2006	15-19	Certificate I and II Level	240
Central West	2006	15-19	Certificate III and IV Level	531
Central West	2006	15-19	Advanced Diploma and Diploma	35
Central West	2006	15-19	Bachelor	3
Central West	2006	15-19	Graduate Diploma and Graduate Certificate	0
Central West	2006	15-19	Postgraduate	0
Central West	2006	20-24		1126
Central West	2006	20-24	Certificate nfd	146
Central West	2006	20-24	Certificate I and II Level	460
Central West	2006	20-24	Certificate III and IV Level	2286
Central West	2006	20-24	Advanced Diploma and Diploma	345
Central West	2006	20-24	Bachelor	636
Central West	2006	20-24	Graduate Diploma and Graduate Certificate	21
Central West	2006	20-24	Postgraduate	11
Central West	2006	25-34		2212
Central West	2006	25-34	Certificate nfd	461
Central West	2006	25-34	Certificate I and II Level	542
Central West	2006	25-34	Certificate III and IV Level	4891
Central West	2006	25-34	Advanced Diploma and Diploma	1252
Central West	2006	25-34	Bachelor	2650
Central West	2006	25-34	Graduate Diploma and Graduate Certificate	196
Central West	2006	25-34	Postgraduate	198
Central West	2006	35-44		2744
Central West	2006	35-44	Certificate nfd	648
Central West	2006	35-44	Certificate I and II Level	506
Central West	2006	35-44	Certificate III and IV Level	5459
Central West	2006	35-44	Advanced Diploma and Diploma	1887
Central West	2006	35-44	Bachelor	2415
Central West	2006	35-44	Graduate Diploma and Graduate Certificate	329
Central West	2006	35-44	Postgraduate	385
Central West	2006	45-54		2846
Central West	2006	45-54	Certificate nfd	680
Central West	2006	45-54	Certificate I and II Level	377
Central West	2006	45-54	Certificate III and IV Level	4864
Central West	2006	45-54	Advanced Diploma and Diploma	2042
Central West	2006	45-54	Bachelor	2447
Central West	2006	45-54	Graduate Diploma and Graduate Certificate	529
Central West	2006	45-54	Postgraduate	535
Central West	2006	55-64		2965
Central West	2006	55-64	Certificate nfd	521
Central West	2006	55-64	Certificate I and II Level	210
Central West	2006	55-64	Certificate III and IV Level	3410
Central West	2006	55-64	Advanced Diploma and Diploma	1553
Central West	2006	55-64	Bachelor	1579
Central West	2006	55-64	Graduate Diploma and Graduate Certificate	301
Central West	2006	55-64	Postgraduate	422
Central West	2006	65-74		2750
Central West	2006	65-74	Certificate nfd	220
Central West	2006	65-74	Certificate I and II Level	69
Central West	2006	65-74	Certificate III and IV Level	1774
Central West	2006	65-74	Advanced Diploma and Diploma	746
Central West	2006	65-74	Bachelor	582
Central West	2006	65-74	Graduate Diploma and Graduate Certificate	92
Central West	2006	65-74	Postgraduate	144
Central West	2006	75-84		2430
Central West	2006	75-84	Certificate nfd	81
Central West	2006	75-84	Certificate I and II Level	22
Central West	2006	75-84	Certificate III and IV Level	759
Central West	2006	75-84	Advanced Diploma and Diploma	328
Central West	2006	75-84	Bachelor	305
Central West	2006	75-84	Graduate Diploma and Graduate Certificate	33
Central West	2006	75-84	Postgraduate	34
Central West	2006	85+		874
Central West	2006	85+	Certificate nfd	23
Central West	2006	85+	Certificate I and II Level	3
Central West	2006	85+	Certificate III and IV Level	155
Central West	2006	85+	Advanced Diploma and Diploma	71
Central West	2006	85+	Bachelor	75
Central West	2006	85+	Graduate Diploma and Graduate Certificate	0
Central West	2006	85+	Postgraduate	3
Central West	2011	15-19		1552
Central West	2011	15-19	Certificate nfd	69
Central West	2011	15-19	Certificate I and II Level	223
Central West	2011	15-19	Certificate III and IV Level	578
Central West	2011	15-19	Advanced Diploma and Diploma	41
Central West	2011	15-19	Bachelor	3
Central West	2011	15-19	Graduate Diploma and Graduate Certificate	0
Central West	2011	15-19	Postgraduate	0
Central West	2011	20-24		1187
Central West	2011	20-24	Certificate nfd	180
Central West	2011	20-24	Certificate I and II Level	378
Central West	2011	20-24	Certificate III and IV Level	2711
Central West	2011	20-24	Advanced Diploma and Diploma	389
Central West	2011	20-24	Bachelor	705
Central West	2011	20-24	Graduate Diploma and Graduate Certificate	16
Central West	2011	20-24	Postgraduate	17
Central West	2011	25-34		1996
Central West	2011	25-34	Certificate nfd	337
Central West	2011	25-34	Certificate I and II Level	537
Central West	2011	25-34	Certificate III and IV Level	5740
Central West	2011	25-34	Advanced Diploma and Diploma	1338
Central West	2011	25-34	Bachelor	3076
Central West	2011	25-34	Graduate Diploma and Graduate Certificate	230
Central West	2011	25-34	Postgraduate	277
Central West	2011	35-44		2495
Central West	2011	35-44	Certificate nfd	554
Central West	2011	35-44	Certificate I and II Level	497
Central West	2011	35-44	Certificate III and IV Level	5981
Central West	2011	35-44	Advanced Diploma and Diploma	2123
Central West	2011	35-44	Bachelor	3076
Central West	2011	35-44	Graduate Diploma and Graduate Certificate	357
Central West	2011	35-44	Postgraduate	530
Central West	2011	45-54		2829
Central West	2011	45-54	Certificate nfd	644
Central West	2011	45-54	Certificate I and II Level	445
Central West	2011	45-54	Certificate III and IV Level	5978
Central West	2011	45-54	Advanced Diploma and Diploma	2291
Central West	2011	45-54	Bachelor	2376
Central West	2011	45-54	Graduate Diploma and Graduate Certificate	488
Central West	2011	45-54	Postgraduate	542
Central West	2011	55-64		3058
Central West	2011	55-64	Certificate nfd	602
Central West	2011	55-64	Certificate I and II Level	318
Central West	2011	55-64	Certificate III and IV Level	4223
Central West	2011	55-64	Advanced Diploma and Diploma	2034
Central West	2011	55-64	Bachelor	2162
Central West	2011	55-64	Graduate Diploma and Graduate Certificate	468
Central West	2011	55-64	Postgraduate	568
Central West	2011	65-74		2882
Central West	2011	65-74	Certificate nfd	324
Central West	2011	65-74	Certificate I and II Level	112
Central West	2011	65-74	Certificate III and IV Level	2289
Central West	2011	65-74	Advanced Diploma and Diploma	1106
Central West	2011	65-74	Bachelor	986
Central West	2011	65-74	Graduate Diploma and Graduate Certificate	159
Central West	2011	65-74	Postgraduate	255
Central West	2011	75-84		2361
Central West	2011	75-84	Certificate nfd	106
Central West	2011	75-84	Certificate I and II Level	33
Central West	2011	75-84	Certificate III and IV Level	1027
Central West	2011	75-84	Advanced Diploma and Diploma	461
Central West	2011	75-84	Bachelor	395
Central West	2011	75-84	Graduate Diploma and Graduate Certificate	49
Central West	2011	75-84	Postgraduate	67
Central West	2011	85+		978
Central West	2011	85+	Certificate nfd	40
Central West	2011	85+	Certificate I and II Level	6
Central West	2011	85+	Certificate III and IV Level	226
Central West	2011	85+	Advanced Diploma and Diploma	113
Central West	2011	85+	Bachelor	118
Central West	2011	85+	Graduate Diploma and Graduate Certificate	4
Central West	2011	85+	Postgraduate	15
Central West	2016	15-19		1757
Central West	2016	15-19	Certificate nfd	92
Central West	2016	15-19	Certificate I and II Level	221
Central West	2016	15-19	Certificate III and IV Level	593
