SA4_NAME16	Year	Rent.min	TotalHouseholdIncome.min	occupied_private_dwellings_being_rented
Capital Region	2011	28875	15600	4
Capital Region	2011	28875	20800	6
Capital Region	2011	28875	26000	0
Capital Region	2011	28875	33800	4
Capital Region	2011	28875	41600	13
Capital Region	2011	28875	52000	22
Capital Region	2011	28875	65000	14
Capital Region	2011	28875	78000	31
Capital Region	2011	28875	104000	24
Capital Region	2011	28875	130000	27
Capital Region	2011	28875	156000	40
Capital Region	2011	28875	208000	27
Capital Region	2011	34125		33
Capital Region	2011	34125	-1	4
Capital Region	2011	34125	52	3
Capital Region	2011	34125	7800	13
Capital Region	2011	34125	15600	8
Capital Region	2011	34125	20800	21
Capital Region	2011	34125	26000	6
Capital Region	2011	34125	33800	30
Capital Region	2011	34125	41600	25
Capital Region	2011	34125	52000	23
Capital Region	2011	34125	65000	23
Capital Region	2011	34125	78000	42
Capital Region	2011	34125	104000	39
Capital Region	2011	34125	130000	36
Capital Region	2011	34125	156000	50
Capital Region	2011	34125	208000	53
Capital Region	2016			177
Capital Region	2016		-1	39
Capital Region	2016		52	10
Capital Region	2016		7800	37
Capital Region	2016		15600	40
Capital Region	2016		20800	65
Capital Region	2016		26000	41
Capital Region	2016		33800	48
Capital Region	2016		41600	54
Capital Region	2016		52000	59
Capital Region	2016		65000	45
Capital Region	2016		78000	57
Capital Region	2016		104000	55
Capital Region	2016		130000	22
Capital Region	2016		156000	39
Capital Region	2016		208000	15
Capital Region	2016	0		143
Capital Region	2016	0	-1	23
Capital Region	2016	0	52	32
Capital Region	2016	0	7800	106
Capital Region	2016	0	15600	91
Capital Region	2016	0	20800	170
Capital Region	2016	0	26000	90
Capital Region	2016	0	33800	143
Capital Region	2016	0	41600	118
Capital Region	2016	0	52000	116
Capital Region	2016	0	65000	103
Capital Region	2016	0	78000	158
Capital Region	2016	0	104000	118
Capital Region	2016	0	130000	55
Capital Region	2016	0	156000	53
Capital Region	2016	0	208000	25
Capital Region	2016	3937		23
Capital Region	2016	3937	-1	4
Capital Region	2016	3937	52	9
Capital Region	2016	3937	7800	39
Capital Region	2016	3937	15600	37
Capital Region	2016	3937	20800	58
Capital Region	2016	3937	26000	10
Capital Region	2016	3937	33800	19
Capital Region	2016	3937	41600	16
Capital Region	2016	3937	52000	17
Capital Region	2016	3937	65000	8
Capital Region	2016	3937	78000	3
Capital Region	2016	3937	104000	8
Capital Region	2016	3937	130000	3
Capital Region	2016	3937	156000	8
Capital Region	2016	3937	208000	0
Capital Region	2016	5250		133
Capital Region	2016	5250	-1	23
Capital Region	2016	5250	52	37
Capital Region	2016	5250	7800	126
Capital Region	2016	5250	15600	305
Capital Region	2016	5250	20800	383
Capital Region	2016	5250	26000	129
Capital Region	2016	5250	33800	120
Capital Region	2016	5250	41600	101
Capital Region	2016	5250	52000	58
Capital Region	2016	5250	65000	52
Capital Region	2016	5250	78000	46
Capital Region	2016	5250	104000	30
Capital Region	2016	5250	130000	13
Capital Region	2016	5250	156000	18
Capital Region	2016	5250	208000	11
Capital Region	2016	7875		182
Capital Region	2016	7875	-1	29
Capital Region	2016	7875	52	30
Capital Region	2016	7875	7800	139
Capital Region	2016	7875	15600	250
Capital Region	2016	7875	20800	462
Capital Region	2016	7875	26000	327
Capital Region	2016	7875	33800	311
Capital Region	2016	7875	41600	241
Capital Region	2016	7875	52000	198
Capital Region	2016	7875	65000	122
Capital Region	2016	7875	78000	127
Capital Region	2016	7875	104000	75
Capital Region	2016	7875	130000	20
Capital Region	2016	7875	156000	28
Capital Region	2016	7875	208000	9
