SA4_NAME16	Year	labourForceParticipation
Sydney - Outer West and Blue Mountains	2011	64.7
Sydney - Outer West and Blue Mountains	2016	63.6
Sydney - Parramatta	2006	55.8
Sydney - Parramatta	2011	57
Sydney - Parramatta	2016	58
Sydney - Ryde	2006	60.8
Sydney - Ryde	2011	62.1
Sydney - Ryde	2016	62.4
Sydney - South West	2006	55.7
Sydney - South West	2011	54.8
Sydney - South West	2016	54.6
Sydney - Sutherland	2006	66.9
Sydney - Sutherland	2011	67.1
Sydney - Sutherland	2016	66.1
Migratory - Offshore - Shipping (NSW)	2006	86
Migratory - Offshore - Shipping (NSW)	2011	29.1
Migratory - Offshore - Shipping (NSW)	2016	34.8
No usual address (NSW)	2006	47.9
No usual address (NSW)	2011	40.2
No usual address (NSW)	2016	37
Ballarat	2006	57.1
Ballarat	2011	57.8
Ballarat	2016	56.3
Bendigo	2006	58.1
Bendigo	2011	58.5
Bendigo	2016	56.7
Geelong	2006	58.2
Geelong	2011	59.5
Geelong	2016	58.5
Hume	2006	60.5
Hume	2011	60
Hume	2016	56.9
Latrobe - Gippsland	2006	55.5
Latrobe - Gippsland	2011	56
Latrobe - Gippsland	2016	53.1
Melbourne - Inner	2006	62.5
Melbourne - Inner	2011	66.3
Melbourne - Inner	2016	65.4
Melbourne - Inner East	2006	61
Melbourne - Inner East	2011	61.1
Melbourne - Inner East	2016	60
Melbourne - Inner South	2006	61.6
Melbourne - Inner South	2011	63.7
Melbourne - Inner South	2016	63.5
Melbourne - North East	2006	60.9
Melbourne - North East	2011	62.3
Melbourne - North East	2016	62
Melbourne - North West	2006	57.4
Melbourne - North West	2011	58.5
Melbourne - North West	2016	58.6
Melbourne - Outer East	2006	65.6
Melbourne - Outer East	2011	65.8
Melbourne - Outer East	2016	64
Melbourne - South East	2006	60.2
Melbourne - South East	2011	60.9
Melbourne - South East	2016	60.1
Melbourne - West	2006	60.5
Melbourne - West	2011	62.1
Melbourne - West	2016	62.2
Mornington Peninsula	2006	57.8
Mornington Peninsula	2011	59.4
Mornington Peninsula	2016	58.5
North West	2006	58.2
North West	2011	56.7
North West	2016	54.5
Shepparton	2006	59.3
Shepparton	2011	57.5
Shepparton	2016	55
Warrnambool and South West	2006	61.1
Warrnambool and South West	2011	60.8
Warrnambool and South West	2016	57.9
Migratory - Offshore - Shipping (Vic.)	2006	78.4
Migratory - Offshore - Shipping (Vic.)	2011	91.7
Migratory - Offshore - Shipping (Vic.)	2016	92
No usual address (Vic.)	2006	53.8
No usual address (Vic.)	2011	43.7
No usual address (Vic.)	2016	38.8
Brisbane - East	2006	64.1
Brisbane - East	2011	65.7
Brisbane - East	2016	64
Brisbane - North	2006	63.4
Brisbane - North	2011	65.7
Brisbane - North	2016	65.7
Brisbane - South	2006	64.8
Brisbane - South	2011	65.6
Brisbane - South	2016	64.8
Brisbane - West	2006	66.7
Brisbane - West	2011	66.9
Brisbane - West	2016	65.1
Brisbane Inner City	2006	66.9
Brisbane Inner City	2011	70.6
Brisbane Inner City	2016	69.4
Cairns	2006	63
Cairns	2011	62.7
Cairns	2016	59.8
Darling Downs - Maranoa	2006	62.1
Darling Downs - Maranoa	2011	60.7
Darling Downs - Maranoa	2016	57.8
Central Queensland	2006	63
Central Queensland	2011	64.3
Central Queensland	2016	61.8
Gold Coast	2006	60.1
Gold Coast	2011	62.1
Gold Coast	2016	61.5
Ipswich	2006	60
Ipswich	2011	61
Ipswich	2016	59.7
Logan - Beaudesert	2006	64.1
Logan - Beaudesert	2011	63.9
Logan - Beaudesert	2016	61.2
Mackay - Isaac - Whitsunday	2006	64.3
Mackay - Isaac - Whitsunday	2011	67.1
Mackay - Isaac - Whitsunday	2016	63.2
Moreton Bay - North	2006	55.7
Moreton Bay - North	2011	56.9
Moreton Bay - North	2016	54.9
Moreton Bay - South	2006	70.7
Moreton Bay - South	2011	70.9
Moreton Bay - South	2016	68.7
Queensland - Outback	2006	65
Queensland - Outback	2011	62.9
Queensland - Outback	2016	60
Sunshine Coast	2006	57.1
Sunshine Coast	2011	58.4
Sunshine Coast	2016	57.3
Toowoomba	2006	60.7
Toowoomba	2011	61.3
Toowoomba	2016	59.9
Townsville	2006	64.2
Townsville	2011	65
Townsville	2016	62.1
Wide Bay	2006	51
Wide Bay	2011	50.1
Wide Bay	2016	47
Migratory - Offshore - Shipping (Qld)	2006	82.8
Migratory - Offshore - Shipping (Qld)	2011	54.3
Migratory - Offshore - Shipping (Qld)	2016	47.2
No usual address (Qld)	2006	43.1
No usual address (Qld)	2011	39.7
No usual address (Qld)	2016	34.8
Adelaide - Central and Hills	2006	61.1
Adelaide - Central and Hills	2011	62.1
Adelaide - Central and Hills	2016	60.5
Adelaide - North	2006	59.2
Adelaide - North	2011	59.8
Adelaide - North	2016	58.4
Adelaide - South	2006	61.1
Adelaide - South	2011	62.1
Adelaide - South	2016	60.2
Adelaide - West	2006	55.4
Adelaide - West	2011	58.4
Adelaide - West	2016	58.8
Barossa - Yorke - Mid North	2006	55.4
Barossa - Yorke - Mid North	2011	55.8
Barossa - Yorke - Mid North	2016	53.8
South Australia - Outback	2006	59.3
South Australia - Outback	2011	59.8
South Australia - Outback	2016	56.4
South Australia - South East	2006	58.2
South Australia - South East	2011	57
South Australia - South East	2016	54
Migratory - Offshore - Shipping (SA)	2006	100
Migratory - Offshore - Shipping (SA)	2011	100
Migratory - Offshore - Shipping (SA)	2016	100
No usual address (SA)	2006	48.7
No usual address (SA)	2011	42.1
No usual address (SA)	2016	39.2
Bunbury	2006	62
Bunbury	2011	62.3
Bunbury	2016	59.4
Mandurah	2006	49.4
Mandurah	2011	52.8
Mandurah	2016	52.5
Perth - Inner	2006	60.7
Perth - Inner	2011	64.3
Perth - Inner	2016	63.5
Perth - North East	2006	63.4
Perth - North East	2011	65.2
Perth - North East	2016	64.3
Perth - North West	2006	64.9
Perth - North West	2011	66.5
Perth - North West	2016	66
Perth - South East	2006	62.7
Perth - South East	2011	64.3
Perth - South East	2016	63.3
Perth - South West	2006	61
Perth - South West	2011	64.4
Perth - South West	2016	63.4
Western Australia - Wheat Belt	2006	61.1
Western Australia - Wheat Belt	2011	60.5
Western Australia - Wheat Belt	2016	56.7
Western Australia - Outback (North)	2006	64.3
Western Australia - Outback (North)	2011	64.9
Western Australia - Outback (North)	2016	65.8
Western Australia - Outback (South)	2006	63.7
Western Australia - Outback (South)	2011	64.2
Western Australia - Outback (South)	2016	60.8
Migratory - Offshore - Shipping (WA)	2006	87.9
Migratory - Offshore - Shipping (WA)	2011	80.3
Migratory - Offshore - Shipping (WA)	2016	78.6
No usual address (WA)	2006	48
No usual address (WA)	2011	45.7
No usual address (WA)	2016	39.8
Hobart	2006	58.7
Hobart	2011	59.8
Hobart	2016	58
Launceston and North East	2006	56.8
Launceston and North East	2011	57.4
Launceston and North East	2016	54.5
South East	2006	53.9
South East	2011	53.6
South East	2016	50.5
West and North West	2006	56.3
West and North West	2011	56
West and North West	2016	53.5
Migratory - Offshore - Shipping (Tas.)	2006	83.1
Migratory - Offshore - Shipping (Tas.)	2011	74.5
Migratory - Offshore - Shipping (Tas.)	2016	68.5
No usual address (Tas.)	2006	50.1
No usual address (Tas.)	2011	42.4
No usual address (Tas.)	2016	41.3
Darwin	2006	68.5
Darwin	2011	68.7
Darwin	2016	68.5
Northern Territory - Outback	2006	55.8
Northern Territory - Outback	2011	57.5
Northern Territory - Outback	2016	51.5
Migratory - Offshore - Shipping (NT)	2006	80.9
Migratory - Offshore - Shipping (NT)	2011	77.6
Migratory - Offshore - Shipping (NT)	2016	34.7
No usual address (NT)	2006	38.7
No usual address (NT)	2011	39.4
No usual address (NT)	2016	28.4
Australian Capital Territory	2006	69.6
Australian Capital Territory	2011	69.9
Australian Capital Territory	2016	66.9
Migratory - Offshore - Shipping (ACT)	2006	0
Migratory - Offshore - Shipping (ACT)	2011	0
Migratory - Offshore - Shipping (ACT)	2016	0
No usual address (ACT)	2006	60.8
No usual address (ACT)	2011	57
No usual address (ACT)	2016	49
Other Territories	2006	64.5
Other Territories	2011	48
Other Territories	2016	59.2
Migratory - Offshore - Shipping (OT)	2006	0
Migratory - Offshore - Shipping (OT)	2011	0
Migratory - Offshore - Shipping (OT)	2016	100
No usual address (OT)	2006	64
No usual address (OT)	2011	91.7
No usual address (OT)	2016	39.1
