SA4_NAME16	Year	SpeaksEnglishOnly	persons
Logan - Beaudesert	2006	0	25712
Logan - Beaudesert	2006	1	221441
Logan - Beaudesert	2011	0	35797
Logan - Beaudesert	2011	1	240034
Logan - Beaudesert	2016	0	48706
Logan - Beaudesert	2016	1	248473
Mackay - Isaac - Whitsunday	2006	0	4410
Mackay - Isaac - Whitsunday	2006	1	133374
Mackay - Isaac - Whitsunday	2011	0	7379
Mackay - Isaac - Whitsunday	2011	1	147447
Mackay - Isaac - Whitsunday	2016	0	9358
Mackay - Isaac - Whitsunday	2016	1	143999
Moreton Bay - North	2006	0	7375
Moreton Bay - North	2006	1	170544
Moreton Bay - North	2011	0	10518
Moreton Bay - North	2011	1	193359
Moreton Bay - North	2016	0	13558
Moreton Bay - North	2016	1	206017
Moreton Bay - South	2006	0	6149
Moreton Bay - South	2006	1	130375
Moreton Bay - South	2011	0	10184
Moreton Bay - South	2011	1	152440
Moreton Bay - South	2016	0	16253
Moreton Bay - South	2016	1	170090
Queensland - Outback	2006	0	11931
Queensland - Outback	2006	1	59488
Queensland - Outback	2011	0	14140
Queensland - Outback	2011	1	60746
Queensland - Outback	2016	0	14620
Queensland - Outback	2016	1	56253
Sunshine Coast	2006	0	9451
Sunshine Coast	2006	1	252770
Sunshine Coast	2011	0	12590
Sunshine Coast	2011	1	281334
Sunshine Coast	2016	0	17477
Sunshine Coast	2016	1	308716
Toowoomba	2006	0	5037
Toowoomba	2006	1	119008
Toowoomba	2011	0	7665
Toowoomba	2011	1	126242
Toowoomba	2016	0	11340
Toowoomba	2016	1	128349
Townsville	2006	0	9838
Townsville	2006	1	176073
Townsville	2011	0	13058
Townsville	2011	1	191391
Townsville	2016	0	15694
Townsville	2016	1	195766
Wide Bay	2006	0	6342
Wide Bay	2006	1	231397
Wide Bay	2011	0	8431
Wide Bay	2011	1	251427
Wide Bay	2016	0	10001
Wide Bay	2016	1	255645
Migratory - Offshore - Shipping (Qld)	2006	0	15
Migratory - Offshore - Shipping (Qld)	2006	1	76
Migratory - Offshore - Shipping (Qld)	2011	0	40
Migratory - Offshore - Shipping (Qld)	2011	1	359
Migratory - Offshore - Shipping (Qld)	2016	0	21
Migratory - Offshore - Shipping (Qld)	2016	1	110
No usual address (Qld)	2006	0	859
No usual address (Qld)	2006	1	10476
No usual address (Qld)	2011	0	1019
No usual address (Qld)	2011	1	9760
No usual address (Qld)	2016	0	1293
No usual address (Qld)	2016	1	8697
Adelaide - Central and Hills	2006	0	44881
Adelaide - Central and Hills	2006	1	207349
Adelaide - Central and Hills	2011	0	54756
Adelaide - Central and Hills	2011	1	211198
Adelaide - Central and Hills	2016	0	63193
Adelaide - Central and Hills	2016	1	212516
Adelaide - North	2006	0	47458
Adelaide - North	2006	1	299276
Adelaide - North	2011	0	64916
Adelaide - North	2011	1	310845
Adelaide - North	2016	0	87385
Adelaide - North	2016	1	313805
Adelaide - South	2006	0	27386
Adelaide - South	2006	1	285192
Adelaide - South	2011	0	33799
Adelaide - South	2011	1	294834
Adelaide - South	2016	0	40776
Adelaide - South	2016	1	298048
Adelaide - West	2006	0	50460
Adelaide - West	2006	1	145324
Adelaide - West	2011	0	58562
Adelaide - West	2011	1	149073
Adelaide - West	2016	0	63780
Adelaide - West	2016	1	152766
Barossa - Yorke - Mid North	2006	0	2062
Barossa - Yorke - Mid North	2006	1	96891
Barossa - Yorke - Mid North	2011	0	2493
Barossa - Yorke - Mid North	2011	1	100721
Barossa - Yorke - Mid North	2016	0	2713
Barossa - Yorke - Mid North	2016	1	101093
South Australia - Outback	2006	0	5088
South Australia - Outback	2006	1	71627
South Australia - Outback	2011	0	6025
South Australia - Outback	2011	1	73093
South Australia - Outback	2016	0	5815
South Australia - Outback	2016	1	69328
South Australia - South East	2006	0	6864
South Australia - South East	2006	1	155039
South Australia - South East	2011	0	8664
South Australia - South East	2011	1	161060
South Australia - South East	2016	0	10108
South Australia - South East	2016	1	162043
Migratory - Offshore - Shipping (SA)	2006	0	4
Migratory - Offshore - Shipping (SA)	2006	1	8
Migratory - Offshore - Shipping (SA)	2011	0	3
Migratory - Offshore - Shipping (SA)	2011	1	7
Migratory - Offshore - Shipping (SA)	2016	0	4
Migratory - Offshore - Shipping (SA)	2016	1	0
No usual address (SA)	2006	0	312
No usual address (SA)	2006	1	2075
No usual address (SA)	2011	0	336
No usual address (SA)	2011	1	2231
No usual address (SA)	2016	0	347
No usual address (SA)	2016	1	1933
Bunbury	2006	0	5408
Bunbury	2006	1	125426
Bunbury	2011	0	8376
Bunbury	2011	1	141406
Bunbury	2016	0	10999
Bunbury	2016	1	151997
Mandurah	2006	0	1894
Mandurah	2006	1	60372
Mandurah	2011	0	3743
Mandurah	2011	1	74646
Mandurah	2016	0	5947
Mandurah	2016	1	84395
Perth - Inner	2006	0	20532
Perth - Inner	2006	1	108562
Perth - Inner	2011	0	27851
Perth - Inner	2011	1	117202
Perth - Inner	2016	0	34330
Perth - Inner	2016	1	121504
Perth - North East	2006	0	28365
Perth - North East	2006	1	156479
Perth - North East	2011	0	36789
Perth - North East	2011	1	170388
Perth - North East	2016	0	50500
Perth - North East	2016	1	182922
Perth - North West	2006	0	63049
Perth - North West	2006	1	336151
Perth - North West	2011	0	85714
Perth - North West	2011	1	374444
Perth - North West	2016	0	108109
Perth - North West	2016	1	398308
Perth - South East	2006	0	52812
Perth - South East	2006	1	302189
Perth - South East	2011	0	86210
Perth - South East	2011	1	321693
Perth - South East	2016	0	128060
Perth - South East	2016	1	329028
Perth - South West	2006	0	35902
Perth - South West	2006	1	252021
Perth - South West	2011	0	47893
Perth - South West	2011	1	287312
Perth - South West	2016	0	64018
Perth - South West	2016	1	312660
Western Australia - Wheat Belt	2006	0	3969
Western Australia - Wheat Belt	2006	1	112233
Western Australia - Wheat Belt	2011	0	5967
Western Australia - Wheat Belt	2011	1	116704
Western Australia - Wheat Belt	2016	0	7036
Western Australia - Wheat Belt	2016	1	115599
Western Australia - Outback (North)	2006	0	8449
Western Australia - Outback (North)	2006	1	50603
Western Australia - Outback (North)	2011	0	12767
Western Australia - Outback (North)	2011	1	65501
Western Australia - Outback (North)	2016	0	15169
Western Australia - Outback (North)	2016	1	65039
Western Australia - Outback (South)	2006	0	5958
Western Australia - Outback (South)	2006	1	93873
Western Australia - Outback (South)	2011	0	9003
Western Australia - Outback (South)	2011	1	101001
Western Australia - Outback (South)	2016	0	10526
Western Australia - Outback (South)	2016	1	95453
Migratory - Offshore - Shipping (WA)	2006	0	27
Migratory - Offshore - Shipping (WA)	2006	1	281
Migratory - Offshore - Shipping (WA)	2011	0	39
Migratory - Offshore - Shipping (WA)	2011	1	311
Migratory - Offshore - Shipping (WA)	2016	0	53
Migratory - Offshore - Shipping (WA)	2016	1	309
No usual address (WA)	2006	0	460
No usual address (WA)	2006	1	4837
No usual address (WA)	2011	0	698
No usual address (WA)	2011	1	5334
No usual address (WA)	2016	0	585
No usual address (WA)	2016	1	3819
Hobart	2006	0	10184
Hobart	2006	1	181279
Hobart	2011	0	13617
Hobart	2011	1	189360
Hobart	2016	0	16993
Hobart	2016	1	192382
Launceston and North East	2006	0	3927
Launceston and North East	2006	1	123980
Launceston and North East	2011	0	5304
Launceston and North East	2011	1	127448
Launceston and North East	2016	0	6612
Launceston and North East	2016	1	124207
South East	2006	0	618
South East	2006	1	31638
South East	2011	0	844
South East	2011	1	33578
South East	2016	0	976
South East	2016	1	33425
West and North West	2006	0	1899
West and North West	2006	1	100417
West and North West	2011	0	2303
West and North West	2011	1	102772
West and North West	2016	0	2640
West and North West	2016	1	99663
Migratory - Offshore - Shipping (Tas.)	2006	0	4
Migratory - Offshore - Shipping (Tas.)	2006	1	73
Migratory - Offshore - Shipping (Tas.)	2011	0	7
Migratory - Offshore - Shipping (Tas.)	2011	1	101
Migratory - Offshore - Shipping (Tas.)	2016	0	10
Migratory - Offshore - Shipping (Tas.)	2016	1	60
No usual address (Tas.)	2006	0	40
No usual address (Tas.)	2006	1	769
No usual address (Tas.)	2011	0	77
No usual address (Tas.)	2011	1	855
No usual address (Tas.)	2016	0	67
No usual address (Tas.)	2016	1	680
Darwin	2006	0	13225
Darwin	2006	1	81406
Darwin	2011	0	19002
Darwin	2011	1	87619
Darwin	2016	0	27712
Darwin	2016	1	92942
Northern Territory - Outback	2006	0	31349
Northern Territory - Outback	2006	1	44341
Northern Territory - Outback	2011	0	37462
Northern Territory - Outback	2011	1	43893
Northern Territory - Outback	2016	0	39350
Northern Territory - Outback	2016	1	38304
Migratory - Offshore - Shipping (NT)	2006	0	14
Migratory - Offshore - Shipping (NT)	2006	1	67
Migratory - Offshore - Shipping (NT)	2011	0	18
Migratory - Offshore - Shipping (NT)	2011	1	78
Migratory - Offshore - Shipping (NT)	2016	0	37
Migratory - Offshore - Shipping (NT)	2016	1	27
No usual address (NT)	2006	0	125
No usual address (NT)	2006	1	1470
No usual address (NT)	2011	0	198
No usual address (NT)	2011	1	1429
No usual address (NT)	2016	0	455
No usual address (NT)	2016	1	1364
Australian Capital Territory	2006	0	47049
Australian Capital Territory	2006	1	261913
Australian Capital Territory	2011	0	64573
Australian Capital Territory	2011	1	277564
Australian Capital Territory	2016	0	86585
Australian Capital Territory	2016	1	288639
Migratory - Offshore - Shipping (ACT)	2006	0	0
Migratory - Offshore - Shipping (ACT)	2006	1	0
Migratory - Offshore - Shipping (ACT)	2011	0	0
Migratory - Offshore - Shipping (ACT)	2011	1	0
Migratory - Offshore - Shipping (ACT)	2016	0	0
Migratory - Offshore - Shipping (ACT)	2016	1	0
No usual address (ACT)	2006	0	117
No usual address (ACT)	2006	1	536
No usual address (ACT)	2011	0	97
No usual address (ACT)	2011	1	475
No usual address (ACT)	2016	0	82
No usual address (ACT)	2016	1	355
Other Territories	2006	0	1198
Other Territories	2006	1	955
Other Territories	2011	0	1224
Other Territories	2011	1	920
Other Territories	2016	0	2118
Other Territories	2016	1	1688
Migratory - Offshore - Shipping (OT)	2006	0	0
Migratory - Offshore - Shipping (OT)	2006	1	0
Migratory - Offshore - Shipping (OT)	2011	0	0
Migratory - Offshore - Shipping (OT)	2011	1	0
Migratory - Offshore - Shipping (OT)	2016	0	0
Migratory - Offshore - Shipping (OT)	2016	1	4
No usual address (OT)	2006	0	3
No usual address (OT)	2006	1	16
No usual address (OT)	2011	0	3
No usual address (OT)	2011	1	21
No usual address (OT)	2016	0	10
No usual address (OT)	2016	1	40
