SA4_NAME16	Year	EduInstitutionType	students
Newcastle and Lake Macquarie	2011	Technical or Further Educational Institution	7996
Newcastle and Lake Macquarie	2011	University or other tertiary	17122
Newcastle and Lake Macquarie	2016		22029
Newcastle and Lake Macquarie	2016	Infants/Primary	28358
Newcastle and Lake Macquarie	2016	Pre-school	6784
Newcastle and Lake Macquarie	2016	Secondary	21560
Newcastle and Lake Macquarie	2016	Technical or Further Educational Institution	7302
Newcastle and Lake Macquarie	2016	University or other tertiary	19334
Richmond - Tweed	2006		18003
Richmond - Tweed	2006	Infants/Primary	19033
Richmond - Tweed	2006	Pre-school	3678
Richmond - Tweed	2006	Secondary	15429
Richmond - Tweed	2006	Technical or Further Educational Institution	4688
Richmond - Tweed	2006	University or other tertiary	5898
Richmond - Tweed	2011		16434
Richmond - Tweed	2011	Infants/Primary	18404
Richmond - Tweed	2011	Pre-school	3827
Richmond - Tweed	2011	Secondary	15398
Richmond - Tweed	2011	Technical or Further Educational Institution	5389
Richmond - Tweed	2011	University or other tertiary	6387
Richmond - Tweed	2016		23106
Richmond - Tweed	2016	Infants/Primary	18380
Richmond - Tweed	2016	Pre-school	3732
Richmond - Tweed	2016	Secondary	14584
Richmond - Tweed	2016	Technical or Further Educational Institution	4508
Richmond - Tweed	2016	University or other tertiary	6417
Riverina	2006		11534
Riverina	2006	Infants/Primary	14269
Riverina	2006	Pre-school	2873
Riverina	2006	Secondary	10599
Riverina	2006	Technical or Further Educational Institution	4044
Riverina	2006	University or other tertiary	3758
Riverina	2011		11427
Riverina	2011	Infants/Primary	13385
Riverina	2011	Pre-school	2968
Riverina	2011	Secondary	10533
Riverina	2011	Technical or Further Educational Institution	4317
Riverina	2011	University or other tertiary	4384
Riverina	2016		15285
Riverina	2016	Infants/Primary	13537
Riverina	2016	Pre-school	2901
Riverina	2016	Secondary	10196
Riverina	2016	Technical or Further Educational Institution	3184
Riverina	2016	University or other tertiary	4339
Southern Highlands and Shoalhaven	2006		10492
Southern Highlands and Shoalhaven	2006	Infants/Primary	11344
Southern Highlands and Shoalhaven	2006	Pre-school	2337
Southern Highlands and Shoalhaven	2006	Secondary	9604
Southern Highlands and Shoalhaven	2006	Technical or Further Educational Institution	3110
Southern Highlands and Shoalhaven	2006	University or other tertiary	1741
Southern Highlands and Shoalhaven	2011		10635
Southern Highlands and Shoalhaven	2011	Infants/Primary	10578
Southern Highlands and Shoalhaven	2011	Pre-school	2583
Southern Highlands and Shoalhaven	2011	Secondary	9303
Southern Highlands and Shoalhaven	2011	Technical or Further Educational Institution	3202
Southern Highlands and Shoalhaven	2011	University or other tertiary	2533
Southern Highlands and Shoalhaven	2016		13287
Southern Highlands and Shoalhaven	2016	Infants/Primary	11114
Southern Highlands and Shoalhaven	2016	Pre-school	2616
Southern Highlands and Shoalhaven	2016	Secondary	8750
Southern Highlands and Shoalhaven	2016	Technical or Further Educational Institution	2403
Southern Highlands and Shoalhaven	2016	University or other tertiary	2904
Sydney - Baulkham Hills and Hawkesbury	2006		11464
Sydney - Baulkham Hills and Hawkesbury	2006	Infants/Primary	19704
Sydney - Baulkham Hills and Hawkesbury	2006	Pre-school	4251
Sydney - Baulkham Hills and Hawkesbury	2006	Secondary	17360
Sydney - Baulkham Hills and Hawkesbury	2006	Technical or Further Educational Institution	4679
Sydney - Baulkham Hills and Hawkesbury	2006	University or other tertiary	8948
Sydney - Baulkham Hills and Hawkesbury	2011		10290
Sydney - Baulkham Hills and Hawkesbury	2011	Infants/Primary	20358
Sydney - Baulkham Hills and Hawkesbury	2011	Pre-school	4600
Sydney - Baulkham Hills and Hawkesbury	2011	Secondary	17676
Sydney - Baulkham Hills and Hawkesbury	2011	Technical or Further Educational Institution	4604
Sydney - Baulkham Hills and Hawkesbury	2011	University or other tertiary	10821
Sydney - Baulkham Hills and Hawkesbury	2016		10858
Sydney - Baulkham Hills and Hawkesbury	2016	Infants/Primary	22534
Sydney - Baulkham Hills and Hawkesbury	2016	Pre-school	4631
Sydney - Baulkham Hills and Hawkesbury	2016	Secondary	18693
Sydney - Baulkham Hills and Hawkesbury	2016	Technical or Further Educational Institution	3806
Sydney - Baulkham Hills and Hawkesbury	2016	University or other tertiary	12453
Sydney - Blacktown	2006		24796
Sydney - Blacktown	2006	Infants/Primary	27865
Sydney - Blacktown	2006	Pre-school	5179
Sydney - Blacktown	2006	Secondary	19919
Sydney - Blacktown	2006	Technical or Further Educational Institution	7738
Sydney - Blacktown	2006	University or other tertiary	7372
Sydney - Blacktown	2011		22445
Sydney - Blacktown	2011	Infants/Primary	29087
Sydney - Blacktown	2011	Pre-school	6052
Sydney - Blacktown	2011	Secondary	22724
Sydney - Blacktown	2011	Technical or Further Educational Institution	8535
Sydney - Blacktown	2011	University or other tertiary	11034
Sydney - Blacktown	2016		23806
Sydney - Blacktown	2016	Infants/Primary	33465
Sydney - Blacktown	2016	Pre-school	6455
Sydney - Blacktown	2016	Secondary	24567
Sydney - Blacktown	2016	Technical or Further Educational Institution	6877
Sydney - Blacktown	2016	University or other tertiary	15689
Sydney - City and Inner South	2006		51567
Sydney - City and Inner South	2006	Infants/Primary	7847
Sydney - City and Inner South	2006	Pre-school	1845
Sydney - City and Inner South	2006	Secondary	6802
Sydney - City and Inner South	2006	Technical or Further Educational Institution	6584
Sydney - City and Inner South	2006	University or other tertiary	20731
Sydney - City and Inner South	2011		35414
Sydney - City and Inner South	2011	Infants/Primary	9230
Sydney - City and Inner South	2011	Pre-school	2369
Sydney - City and Inner South	2011	Secondary	6888
Sydney - City and Inner South	2011	Technical or Further Educational Institution	7507
Sydney - City and Inner South	2011	University or other tertiary	25923
Sydney - City and Inner South	2016		42912
Sydney - City and Inner South	2016	Infants/Primary	11332
Sydney - City and Inner South	2016	Pre-school	2851
Sydney - City and Inner South	2016	Secondary	8282
Sydney - City and Inner South	2016	Technical or Further Educational Institution	8101
Sydney - City and Inner South	2016	University or other tertiary	37745
Sydney - Eastern Suburbs	2006		34039
Sydney - Eastern Suburbs	2006	Infants/Primary	12383
Sydney - Eastern Suburbs	2006	Pre-school	3285
Sydney - Eastern Suburbs	2006	Secondary	10934
Sydney - Eastern Suburbs	2006	Technical or Further Educational Institution	4194
Sydney - Eastern Suburbs	2006	University or other tertiary	17044
Sydney - Eastern Suburbs	2011		28210
Sydney - Eastern Suburbs	2011	Infants/Primary	14395
Sydney - Eastern Suburbs	2011	Pre-school	4030
Sydney - Eastern Suburbs	2011	Secondary	11154
Sydney - Eastern Suburbs	2011	Technical or Further Educational Institution	4299
Sydney - Eastern Suburbs	2011	University or other tertiary	20861
Sydney - Eastern Suburbs	2016		27983
Sydney - Eastern Suburbs	2016	Infants/Primary	17266
Sydney - Eastern Suburbs	2016	Pre-school	4442
Sydney - Eastern Suburbs	2016	Secondary	12656
Sydney - Eastern Suburbs	2016	Technical or Further Educational Institution	3948
Sydney - Eastern Suburbs	2016	University or other tertiary	25297
Sydney - Inner South West	2006		49038
Sydney - Inner South West	2006	Infants/Primary	38654
Sydney - Inner South West	2006	Pre-school	7534
Sydney - Inner South West	2006	Secondary	30501
Sydney - Inner South West	2006	Technical or Further Educational Institution	13352
Sydney - Inner South West	2006	University or other tertiary	19227
Sydney - Inner South West	2011		45036
Sydney - Inner South West	2011	Infants/Primary	39940
Sydney - Inner South West	2011	Pre-school	8379
Sydney - Inner South West	2011	Secondary	33206
Sydney - Inner South West	2011	Technical or Further Educational Institution	13359
Sydney - Inner South West	2011	University or other tertiary	25728
Sydney - Inner South West	2016		43270
Sydney - Inner South West	2016	Infants/Primary	45055
Sydney - Inner South West	2016	Pre-school	9045
Sydney - Inner South West	2016	Secondary	36075
Sydney - Inner South West	2016	Technical or Further Educational Institution	11693
Sydney - Inner South West	2016	University or other tertiary	36877
Sydney - Inner West	2006		24967
Sydney - Inner West	2006	Infants/Primary	15021
Sydney - Inner West	2006	Pre-school	3251
Sydney - Inner West	2006	Secondary	12760
Sydney - Inner West	2006	Technical or Further Educational Institution	5570
Sydney - Inner West	2006	University or other tertiary	15467
Sydney - Inner West	2011		21821
